All_ranked,All_ranked_likelihood,WT_ranked,WT_ranked_likelihood,KO_ranked,KO_ranked_likelihood,WT_unique,KO_unique,WT-KO_common
E2f3,0.29442196212520394,Lef1,0.29154063400070945,Tcf7,0.31775583502551974,,E2f2,Scml4
Bard1,0.2935684398747377,Il18rap,0.28504083863790564,Itgb1,0.3118157355440906,,Nr4a2,Ccr7
Stat1,0.29308892687684596,Cd53,0.2833121662975774,Tnfsf8,0.31089398885708963,,Stat1,Ezh2
Brip1,0.29298926832478384,Brca1,0.2798003821504489,Nfkbia,0.31007893434829187,,Rbl1,Mcm4
Klf3,0.29223406367166016,Cx3cr1,0.2774399768371063,Brip1,0.3087948845895434,,Zdhhc2,Il7r
Wdhd1,0.2860780228804528,Il4ra,0.27682062733948043,Il4ra,0.30783493813675644,,Klf13,Itga1
Selplg,0.28527277472818774,Kntc1,0.2743111716873914,Slamf6,0.3033687970216578,,Alcam,Cd74
Dnmt1,0.28383316408571796,Kdm5b,0.27287216302689643,Klra8,0.3032603518019514,,Rel,Mcm7
Cenpk,0.2820595301682482,Itga1,0.269860246939565,S1pr1,0.3030966652108467,,,Ssbp2
Mcm3,0.28053845924090987,Havcr2,0.26435226593749056,Crtam,0.3006106374551536,,,Ncr1
Alcam,0.2801351099815318,Klf3,0.26221409974811793,Wdhd1,0.2995141798017603,,,Uhrf1
Kntc1,0.27914762611493,Ets1,0.2607438909264723,Foxp1,0.29298305001532327,,,Il4ra
E2f1,0.27688403872858547,Padi2,0.25567622819001135,Il6ra,0.29250537116483566,,,Havcr2
Sell,0.2768729776146602,Timeless,0.25113351521268223,Pecam1,0.28919387081548464,,,E2f1
Pecam1,0.2760030826519121,Wdhd1,0.24950661185379502,Bard1,0.2885020341072427,,,Itga4
Il7r,0.2755341236493544,Cenpk,0.24686874816644983,Ccr9,0.287494992761694,,,Lef1
Zdhhc2,0.275125091161012,Scml4,0.24552365855395955,Stat1,0.28731284872358276,,,
Klrg1,0.2725735231326363,Hat1,0.2425551390390729,E2f1,0.2839238828194416,,,
Klra3,0.27160176053611657,Zeb2,0.2382378443436282,Rel,0.28390535736469513,,,
Slamf6,0.2708878278181703,E2f1,0.23717586388850725,Klf10,0.28221294805368735,,,
Tnfrsf9,0.268026519699778,Runx3,0.23607001176834344,Smad4,0.27823386716105447,,,
Foxo1,0.2646374728590935,Klra9,0.23359512758609566,Kntc1,0.27468744797846584,,,
Rbl1,0.26066231924755806,Selplg,0.23274015194525507,Zdhhc2,0.27450997846228065,,,
Crtam,0.2539535967043693,Chd3,0.2265478797709838,Klrc1,0.27319503763850017,,,
Ccr7,0.2529508526126506,Cd96,0.22358319304955282,Cd55,0.2708135439185903,,,
Havcr2,0.25009599475401145,Pecam1,0.22271627122788246,Tnfrsf9,0.2690277801686378,,,
Klrc1,0.2489212712404583,Ccr7,0.22092850112512263,Tfdp1,0.2675435678724298,,,
Slamf7,0.24672946651173458,Patz1,0.21481265989105558,Cd74,0.2657350186887615,,,
Cx3cr1,0.24641689382989593,Tox,0.21076415719705785,Prdm1,0.26313792113264667,,,
Nfkbia,0.24155256794925684,Klrk1,0.21002022842595353,Trim28,0.2618179553237048,,,
E2f2,0.24123679158176436,Slamf6,0.21000622155184065,Alcam,0.2615771869601968,,,
Zhx2,0.2331661792227145,Myb,0.1971936469168417,Klrg1,0.2598965100004107,,,
Dpp4,0.23311212093940528,Ikzf2,0.19069707670641597,Ifngr2,0.2585910261991173,,,
Zeb2,0.23257886093297184,Igf1r,0.18255445163308262,Zeb2,0.25776365580510596,,,
Cd44,0.23134992872075252,Entpd1,0.1675789545690572,Slamf7,0.2566537849962019,,,
Il6st,0.2305595585108064,H2-Eb1,0.07983036248639615,Il6st,0.2552330327749062,,,
Itga1,0.23041852794529707,Cd74,0.008322750861259238,Klrk1,0.2511084472199338,,,
Nrp1,0.22972643612532997,Plaur,1.3615465887841832e-05,Havcr2,0.2498383621453629,,,
Cd55,0.2294447719925857,,,Fasl,0.24817719766285073,,,
Cd28,0.22904889677320261,,,Cxcr6,0.238950911925792,,,
Klra1,0.22676866356303485,,,Ccr7,0.23858112846533944,,,
Timeless,0.22315355134586345,,,Itga1,0.23673575654199397,,,
Kdm5b,0.2187352901806631,,,Chaf1b,0.2348663508025432,,,
Fasl,0.21869676330227994,,,Cx3cr1,0.23098077419300256,,,
Klra9,0.2160235081018774,,,Rbl1,0.23040110593387153,,,
Cxcr6,0.21068676530465053,,,Cd6,0.22449516115720122,,,
Smyd3,0.20175940953794497,,,Dtx1,0.22441268078947152,,,
Ikzf2,0.19909202064850537,,,Klf3,0.21994549537828115,,,
Igf1r,0.19787698861175976,,,Itgae,0.2178943348880738,,,
Chaf1a,0.19497533990579238,,,Nrp1,0.21787126332236004,,,
Ddx5,0.19468554463427334,,,Ddx5,0.20438613170773054,,,
Cd9,0.16688404319392533,,,Timeless,0.19823815795866573,,,
Plaur,0.15269558416972714,,,Igf1r,0.18756110318932395,,,
Itgae,0.14422437220758125,,,Cd44,0.17855240903370073,,,
Ccr9,0.14185994147945596,,,H2-Eb1,0.16934679998720054,,,
Klrk1,0.1287117034962962,,,Chaf1a,0.150954218452776,,,
Myb,0.09115204859031141,,,Ncr1,0.030672809104761747,,,
Mxd1,0.052311326036953355,,,,,,,
Entpd1,0.028203937807817304,,,,,,,
Cd74,0.005042211340906475,,,,,,,
