gene_name,Ctrl_vs_Chd7_1,Ctrl_vs_Chd7_2,Ctrl_vs_Chd7_3,Chd7_1_vs_Ctrl,Chd7_1_vs_Chd7_2,Chd7_1_vs_Chd7_3,Chd7_2_vs_Ctrl,Chd7_2_vs_Chd7_1,Chd7_2_vs_Chd7_3,Chd7_3_vs_Ctrl,Chd7_3_vs_Chd7_1,Chd7_3_vs_Chd7_2
Ap1s3,-0.46,-1.877,-1.593,0.46,-1.293,-1.032,1.877,1.293,0.263,1.593,1.032,-0.263
Gm11259,,,,,,,,,,,,
Nploc4,-0.325,-1.754,-0.098,0.325,-1.304,0.208,1.754,1.304,1.515,0.098,-0.208,-1.515
Lzic,-0.433,1.127,-0.499,0.433,1.423,-0.059,-1.127,-1.423,-1.487,0.499,0.059,1.487
Gm17954,,,,,,,,,,,,
Fxyd1,-0.046,0.059,1.25,0.046,0.095,1.195,-0.059,-0.095,1.104,-1.25,-1.195,-1.104
Olfr906,-0.571,-0.171,-0.981,0.571,0.368,-0.369,0.171,-0.368,-0.74,0.981,0.369,0.74
Slc17a7,1.067,0.737,0.552,-1.067,-0.324,-0.496,-0.737,0.324,-0.175,-0.552,0.496,0.175
Mcl1,0.78,1.792,1.858,-0.78,0.924,0.984,-1.792,-0.924,0.06,-1.858,-0.984,-0.06
Cables2,-0.99,0.555,-0.786,0.99,1.411,0.19,-0.555,-1.411,-1.226,0.786,-0.19,1.226
Aco1,-1.066,-0.029,-0.096,1.066,0.947,0.889,0.029,-0.947,-0.061,0.096,-0.889,0.061
Jakmip1,0.547,-0.352,0.505,-0.547,-0.821,-0.039,0.352,0.821,0.783,-0.505,0.039,-0.783
Gm1043,0.393,0.475,0.822,-0.393,0.074,0.388,-0.475,-0.074,0.314,-0.822,-0.388,-0.314
Xlr,0.441,-0.007,-0.149,-0.441,-0.409,-0.542,0.007,0.409,-0.129,0.149,0.542,0.129
Isca2,0.207,0.861,1.29,-0.207,0.595,0.987,-0.861,-0.595,0.394,-1.29,-0.987,-0.394
Rdh7,,,,,,,,,,,,
Cd209g,,,,,,,,,,,,
Myoz1,0.217,0.244,0.266,-0.217,0.0,0.0,-0.244,0.0,0.0,-0.266,0.0,0.0
Gm14200,,,,,,,,,,,,
Drc3,0.376,-0.955,-0.285,-0.376,-1.214,-0.607,0.955,1.214,0.616,0.285,0.607,-0.616
Slc2a10,-0.208,0.982,-0.3,0.208,1.1,-0.083,-0.982,-1.1,-1.188,0.3,0.083,1.188
Gm38017,,,,,,,,,,,,
Plekhs1,0.645,0.827,0.297,-0.645,0.161,-0.327,-0.827,-0.161,-0.493,-0.297,0.327,0.493
Gm14648,-0.249,1.116,-0.001,0.249,1.248,0.226,-1.116,-1.248,-1.029,0.001,-0.226,1.029
Rhoc,1.575,0.266,1.895,-1.575,-1.206,0.296,-0.266,1.206,1.502,-1.895,-0.296,-1.502
Polr2e,0.85,1.156,0.606,-0.85,0.277,-0.227,-1.156,-0.277,-0.506,-0.606,0.227,0.506
Mgrn1,0.975,1.032,0.891,-0.975,0.045,-0.088,-1.032,-0.045,-0.134,-0.891,0.088,0.134
Olfr367-ps,,,,,,,,,,,,
4931406B18Rik,-0.649,-0.898,-0.149,0.649,-0.224,0.459,0.898,0.224,0.686,0.149,-0.459,-0.686
Gm13679,-0.759,-0.155,0.767,0.759,0.555,1.412,0.155,-0.555,0.861,-0.767,-1.412,-0.861
Gm43922,,,,,,,,,,,,
Gm43424,,,,,,,,,,,,
Gm13046,,,,,,,,,,,,
H2-Ob,-1.375,-1.389,-1.534,1.375,-0.012,-0.142,1.389,0.012,-0.13,1.534,0.142,0.13
Krt26,0.081,0.324,-0.552,-0.081,0.222,-0.576,-0.324,-0.222,-0.802,0.552,0.576,0.802
AC165294.3,,,,,,,,,,,,
Gm43704,0.217,0.244,0.266,-0.217,0.0,0.0,-0.244,0.0,0.0,-0.266,0.0,0.0
Klk1b15-ps,,,,,,,,,,,,
Ube2e1,-0.688,0.159,0.454,0.688,0.774,1.044,-0.159,-0.774,0.27,-0.454,-1.044,-0.27
Gm2389,,,,,,,,,,,,
Gm29623,,,,,,,,,,,,
Gm8428,-0.318,0.0,-0.536,0.318,0.32,-0.191,0.0,-0.32,-0.518,0.536,0.191,0.518
Gm11109,,,,,,,,,,,,
Gm16218,0.218,-0.079,-0.037,-0.218,-0.272,-0.233,0.079,0.272,0.039,0.037,0.233,-0.039
Hnrnpul1,0.278,0.37,0.347,-0.278,0.084,0.063,-0.37,-0.084,-0.021,-0.347,-0.063,0.021
Ikzf3,-1.038,0.125,-1.912,1.038,1.061,-0.798,-0.125,-1.061,-1.86,1.912,0.798,1.86
Olfr937,,,,,,,,,,,,
2310039H08Rik,1.759,0.513,0.027,-1.759,-1.152,-1.598,-0.513,1.152,-0.446,-0.027,1.598,0.446
Nsmaf,-0.062,0.046,0.187,0.062,0.099,0.227,-0.046,-0.099,0.129,-0.187,-0.227,-0.129
Olfr350,,,,,,,,,,,,
Gm49918,,,,,,,,,,,,
Il27,0.464,0.151,0.137,-0.464,-0.283,-0.298,-0.151,0.283,-0.013,-0.137,0.298,0.013
Krtap21-1,,,,,,,,,,,,
Thap11,0.677,0.288,0.671,-0.677,-0.357,-0.009,-0.288,0.357,0.35,-0.671,0.009,-0.35
Gm13735,,,,,,,,,,,,
Dsg3,0.425,0.121,0.474,-0.425,-0.275,0.0,-0.121,0.275,0.32,-0.474,0.0,-0.32
2210409E12Rik,,,,,,,,,,,,
Mapkap1,-0.839,0.423,0.045,0.839,1.155,0.81,-0.423,-1.155,-0.346,-0.045,-0.81,0.346
Gm8762,-0.142,-0.264,0.63,0.142,-0.111,0.712,0.264,0.111,0.827,-0.63,-0.712,-0.827
Gm48179,,,,,,,,,,,,
Brd3os,-0.096,0.244,0.266,0.096,0.311,0.331,-0.244,-0.311,0.0,-0.266,-0.331,0.0
Gm10075,-0.221,1.934,0.524,0.221,1.999,0.681,-1.934,-1.999,-1.386,-0.524,-0.681,1.386
Cry2,2.275,1.95,-0.066,-2.275,-0.269,-2.15,-1.95,0.269,-1.855,0.066,2.15,1.855
Scaper,-0.247,0.715,0.566,0.247,0.879,0.743,-0.715,-0.879,-0.137,-0.566,-0.743,0.137
Cox6c,0.394,-0.477,-0.169,-0.394,-0.795,-0.515,0.477,0.795,0.281,0.169,0.515,-0.281
Gm8784,0.001,-0.373,0.084,-0.001,-0.34,0.076,0.373,0.34,0.419,-0.084,-0.076,-0.419
Mep1a,,,,,,,,,,,,
Wdr54,-0.524,-1.103,-0.1,0.524,-0.519,0.396,1.103,0.519,0.93,0.1,-0.396,-0.93
Nelfa,-0.229,1.035,-0.464,0.229,1.155,-0.214,-1.035,-1.155,-1.372,0.464,0.214,1.372
Rgs3,-0.557,0.35,-0.355,0.557,0.829,0.185,-0.35,-0.829,-0.645,0.355,-0.185,0.645
Klk1b16,,,,,,,,,,,,
Smox,1.264,-0.088,1.609,-1.264,-1.245,0.309,0.088,1.245,1.563,-1.609,-0.309,-1.563
Gm48577,,,,,,,,,,,,
Rtl5,0.892,1.523,0.988,-0.892,0.575,0.077,-1.523,-0.575,-0.504,-0.988,-0.077,0.504
Kcng2,0.217,-0.315,0.266,-0.217,-0.489,0.0,0.315,0.489,0.534,-0.266,0.0,-0.534
Gm8128,,,,,,,,,,,,
Vmn1r49,0.066,0.779,0.093,-0.066,0.656,0.023,-0.779,-0.656,-0.639,-0.093,-0.023,0.639
Olfr1256,-1.459,-0.954,-1.184,1.459,0.467,0.262,0.954,-0.467,-0.208,1.184,-0.262,0.208
BC064078,0.31,-0.404,-0.3,-0.31,-0.653,-0.558,0.404,0.653,0.095,0.3,0.558,-0.095
Gm18558,-0.726,-0.42,-0.699,0.726,0.285,0.028,0.42,-0.285,-0.258,0.699,-0.028,0.258
Natd1,-0.781,0.136,0.849,0.781,0.839,1.492,-0.136,-0.839,0.653,-0.849,-1.492,-0.653
Gm13144,,,,,,,,,,,,
AC169509.1,-0.515,-1.089,-2.013,0.515,-0.521,-1.361,1.089,0.521,-0.842,2.013,1.361,0.842
Ubiad1,0.181,-0.374,-1.347,-0.181,-0.507,-1.393,0.374,0.507,-0.89,1.347,1.393,0.89
Gm37450,,,,,,,,,,,,
Trav13n-3,,,,,,,,,,,,
Gm28329,,,,,,,,,,,,
Gab1,0.512,-0.306,0.151,-0.512,-0.756,-0.329,0.306,0.756,0.417,-0.151,0.329,-0.417
Gm8871,-1.482,-1.761,-0.897,1.482,-0.263,0.537,1.761,0.263,0.797,0.897,-0.537,-0.797
AC140413.3,,,,,,,,,,,,
Rnf180,0.708,0.741,0.059,-0.708,0.0,-0.597,-0.741,0.0,-0.627,-0.059,0.597,0.627
Nck1,-1.053,-0.498,-0.147,1.053,0.508,0.828,0.498,-0.508,0.321,0.147,-0.828,-0.321
Speer6-ps1,-0.295,-0.476,-0.791,0.295,-0.163,-0.448,0.476,0.163,-0.285,0.791,0.448,0.285
Ankrd10,-0.269,0.901,0.175,0.269,1.069,0.406,-0.901,-1.069,-0.665,-0.175,-0.406,0.665
Gm44281,,,,,,,,,,,,
Olfr1564,0.728,0.127,0.692,-0.728,-0.553,-0.04,-0.127,0.553,0.518,-0.692,0.04,-0.518
Gm5035,,,,,,,,,,,,
Gm49812,,,,,,,,,,,,
Gm7102,-0.264,-0.002,-0.082,0.264,0.24,0.168,0.002,-0.24,-0.073,0.082,-0.168,0.073
Olfr1031,0.77,0.803,-0.164,-0.77,0.0,-0.859,-0.803,0.0,-0.89,0.164,0.859,0.89
Gm44221,,,,,,,,,,,,
Galnt10,0.697,-1.263,1.003,-0.697,-1.79,0.278,1.263,1.79,2.071,-1.003,-0.278,-2.071
Gm37732,,,,,,,,,,,,
Sfn,-0.457,-0.188,0.248,0.457,0.246,0.644,0.188,-0.246,0.399,-0.248,-0.644,-0.399
Tle2,0.004,0.761,0.285,-0.004,0.691,0.256,-0.761,-0.691,-0.435,-0.285,-0.256,0.435
Cyp3a61-ps1,,,,,,,,,,,,
Ammecr1,-0.064,1.047,0.416,0.064,1.015,0.439,-1.047,-1.015,-0.581,-0.416,-0.439,0.581
Npm2,0.84,0.77,1.425,-0.84,-0.064,0.534,-0.77,0.064,0.597,-1.425,-0.534,-0.597
Gm48088,0.857,-0.182,0.092,-0.857,-0.962,-0.711,0.182,0.962,0.251,-0.092,0.711,-0.251
Gm16103,,,,,,,,,,,,
Gm47563,,,,,,,,,,,,
Tmem81,0.372,-0.152,0.165,-0.372,-0.48,-0.192,0.152,0.48,0.291,-0.165,0.192,-0.291
Spc24,-0.094,-0.684,-0.133,0.094,-0.538,-0.036,0.684,0.538,0.503,0.133,0.036,-0.503
