gene_name,Ctrl_vs_Chd7_1,Ctrl_vs_Chd7_2,Ctrl_vs_Chd7_3,Chd7_1_vs_Ctrl,Chd7_1_vs_Chd7_2,Chd7_1_vs_Chd7_3,Chd7_2_vs_Ctrl,Chd7_2_vs_Chd7_1,Chd7_2_vs_Chd7_3,Chd7_3_vs_Ctrl,Chd7_3_vs_Chd7_1,Chd7_3_vs_Chd7_2
Gm5587,0.513,0.495,0.481,0.513,1.0,1.0,0.495,1.0,1.0,0.481,1.0,1.0
Gabre,0.269,0.026,0.124,0.269,0.289,0.711,0.026,0.289,0.474,0.124,0.711,0.474
Fkbp14,,,,,,,,,,,,
Ovol2,0.904,0.306,0.754,0.904,0.419,0.694,0.306,0.419,0.221,0.754,0.694,0.221
Ifitm7,0.879,0.566,0.702,0.879,0.696,0.831,0.566,0.696,0.858,0.702,0.831,0.858
Gm45315,0.475,0.458,0.445,0.475,1.0,1.0,0.458,1.0,1.0,0.445,1.0,1.0
Btnl10,0.746,0.991,0.381,0.746,0.773,0.615,0.991,0.773,0.426,0.381,0.615,0.426
Vmn1r39,0.588,0.895,0.881,0.588,0.536,0.524,0.895,0.536,0.987,0.881,0.524,0.987
Eya3,0.359,0.792,0.981,0.359,0.55,0.413,0.792,0.55,0.826,0.981,0.413,0.826
Arrb2,0.768,0.711,0.683,0.768,0.543,0.521,0.711,0.543,0.973,0.683,0.521,0.973
Podxl,0.689,0.998,0.609,0.689,0.714,0.922,0.998,0.714,0.64,0.609,0.922,0.64
Fgfr4,1.0,0.767,1.0,1.0,0.783,1.0,0.767,0.783,0.749,1.0,1.0,0.749
Sp6,0.93,0.909,0.721,0.93,0.981,0.683,0.909,0.981,0.664,0.721,0.683,0.664
Gm2420,0.998,0.539,0.896,0.998,0.57,0.903,0.539,0.57,0.652,0.896,0.903,0.652
Gm9006,0.337,0.916,0.91,0.337,0.429,0.432,0.916,0.429,0.994,0.91,0.432,0.994
Alg3,0.637,0.388,0.693,0.637,0.224,0.94,0.388,0.224,0.249,0.693,0.94,0.249
Olfr644,,,,,,,,,,,,
Soat1,0.26,0.137,0.317,0.26,0.741,0.908,0.137,0.741,0.655,0.317,0.908,0.655
Rad51d,0.481,0.636,0.811,0.481,0.831,0.669,0.636,0.831,0.83,0.811,0.669,0.83
Slc38a9,0.858,0.026,0.686,0.858,0.061,0.838,0.026,0.061,0.095,0.686,0.838,0.095
Gm28429,,,,,,,,,,,,
Gm45770,,,,,,,,,,,,
Amer2,0.476,0.894,0.267,0.476,0.598,0.707,0.894,0.598,0.371,0.267,0.707,0.371
Gm13122,,,,,,,,,,,,
Abca15,,,,,,,,,,,,
Gm45135,,,,,,,,,,,,
Olfr339,0.574,0.591,0.786,0.574,0.322,0.446,0.591,0.322,0.807,0.786,0.446,0.807
Gm2611,,,,,,,,,,,,
Gm35595,,,,,,,,,,,,
Ecd,0.462,0.783,0.832,0.462,0.355,0.386,0.783,0.355,0.954,0.832,0.386,0.954
Gm9974,0.355,0.385,0.76,0.355,0.102,0.569,0.385,0.102,0.28,0.76,0.569,0.28
Rpsa-ps3,0.709,0.673,0.642,0.709,0.965,0.935,0.673,0.965,0.97,0.642,0.935,0.97
Gm42652,,,,,,,,,,,,
Gm46427,1.0,0.78,1.0,1.0,0.795,1.0,0.78,0.795,0.761,1.0,1.0,0.761
Shld1,0.651,0.983,0.584,0.651,0.664,0.933,0.983,0.664,0.603,0.584,0.933,0.603
Gm3739,0.873,0.377,0.247,0.873,0.525,0.38,0.377,0.525,0.797,0.247,0.38,0.797
Pink1,0.88,0.298,0.404,0.88,0.417,0.533,0.298,0.417,0.85,0.404,0.533,0.85
Rps16-ps3,,,,,,,,,,,,
Gm7951,,,,,,,,,,,,
Tmem45a2,0.842,0.608,0.78,0.842,0.515,0.66,0.608,0.515,0.829,0.78,0.66,0.829
Vmn1r51,0.633,0.856,0.313,0.633,0.78,0.641,0.856,0.78,0.443,0.313,0.641,0.443
Pex1,0.848,0.578,0.578,0.848,0.494,0.74,0.578,0.494,0.308,0.578,0.74,0.308
Gpr84,,,,,,,,,,,,
2310050C09Rik,,,,,,,,,,,,
Glul,0.312,0.919,0.583,0.312,0.406,0.673,0.919,0.406,0.682,0.583,0.673,0.682
Gm13932,0.809,0.496,0.767,0.809,0.398,1.0,0.496,0.398,0.37,0.767,1.0,0.37
Gm5449,1.0,0.767,1.0,1.0,0.783,1.0,0.767,0.783,0.749,1.0,1.0,0.749
Ankrd53,,,,,,,,,,,,
Polr3d,0.729,0.92,0.353,0.729,0.822,0.244,0.92,0.822,0.348,0.353,0.244,0.348
Gm28934,,,,,,,,,,,,
Rmdn1,0.437,0.315,0.788,0.437,0.838,0.639,0.315,0.838,0.499,0.788,0.639,0.499
Boll,0.126,0.825,0.868,0.126,0.106,0.112,0.825,0.106,0.957,0.868,0.112,0.957
Hdgf,0.804,0.349,0.798,0.804,0.53,0.994,0.349,0.53,0.534,0.798,0.994,0.534
Gm8524,0.687,0.667,0.882,0.687,1.0,0.816,0.667,1.0,0.797,0.882,0.816,0.797
Defa-ps4,,,,,,,,,,,,
Isg20l2,0.845,0.885,0.505,0.845,0.756,0.667,0.885,0.756,0.458,0.505,0.667,0.458
Gm16327,,,,,,,,,,,,
Map7d3,0.948,0.854,0.577,0.948,0.819,0.568,0.854,0.819,0.738,0.577,0.568,0.738
Prr36,0.996,0.52,0.238,0.996,0.552,0.274,0.52,0.552,0.615,0.238,0.274,0.615
Gm18147,0.843,0.563,0.482,0.843,0.484,0.635,0.563,0.484,0.251,0.482,0.635,0.251
Gm20793,,,,,,,,,,,,
Gm6025,,,,,,,,,,,,
Klf2,0.226,0.358,0.465,0.226,0.789,0.66,0.358,0.789,0.863,0.465,0.66,0.863
Gm5873,0.717,0.927,0.771,0.717,0.808,0.547,0.927,0.808,0.726,0.771,0.547,0.726
Gm14786,,,,,,,,,,,,
Vmn2r-ps114,,,,,,,,,,,,
Gm12192,1.0,0.767,1.0,1.0,0.783,1.0,0.767,0.783,0.749,1.0,1.0,0.749
Gm30341,,,,,,,,,,,,
Gm6518,,,,,,,,,,,,
4933428G20Rik,,,,,,,,,,,,
Gm19239,0.891,0.661,0.569,0.891,0.79,0.703,0.661,0.79,0.907,0.569,0.703,0.907
1700024G13Rik,,,,,,,,,,,,
Vegfa,0.127,0.645,0.785,0.127,0.306,0.245,0.645,0.306,0.869,0.785,0.245,0.869
Ccl22,0.662,0.471,0.788,0.662,0.794,0.52,0.471,0.794,0.372,0.788,0.52,0.372
1700086L19Rik,,,,,,,,,,,,
Zfp69,0.705,0.578,0.94,0.705,0.87,0.678,0.578,0.87,0.563,0.94,0.678,0.563
Gm11870,0.614,0.991,0.445,0.614,0.65,0.817,0.991,0.65,0.49,0.445,0.817,0.49
A930035D04Rik,0.461,0.912,0.621,0.461,0.566,0.265,0.912,0.566,0.578,0.621,0.265,0.578
Ap3d1,0.818,0.592,0.825,0.818,0.484,0.993,0.592,0.484,0.489,0.825,0.993,0.489
Gm9700,,,,,,,,,,,,
Olfr700,,,,,,,,,,,,
Gm2424,,,,,,,,,,,,
Mov10,0.006,0.165,0.032,0.006,0.219,0.588,0.165,0.219,0.491,0.032,0.588,0.491
Gm8043,,,,,,,,,,,,
Wdr83os,0.577,0.966,0.951,0.577,0.636,0.648,0.966,0.636,0.986,0.951,0.648,0.986
Tomm7,0.661,0.749,0.795,0.661,0.488,0.523,0.749,0.488,0.956,0.795,0.523,0.956
Fcgr2b,0.997,0.042,0.399,0.997,0.062,0.443,0.042,0.062,0.008,0.399,0.443,0.008
1700080O16Rik,,,,,,,,,,,,
Alkbh6,0.783,0.823,0.724,0.783,0.961,0.563,0.823,0.961,0.595,0.724,0.563,0.595
Gm6211,0.519,0.233,0.795,0.519,0.618,0.407,0.233,0.618,0.183,0.795,0.407,0.183
Gm46498,,,,,,,,,,,,
Slc36a3,0.572,0.131,0.469,0.572,0.391,0.889,0.131,0.391,0.467,0.469,0.889,0.467
Notch2,0.676,0.556,0.45,0.676,0.877,0.759,0.556,0.877,0.879,0.45,0.759,0.879
Art3,0.362,0.664,0.47,0.362,0.653,0.845,0.664,0.653,0.794,0.47,0.845,0.794
Mat2b,0.708,0.398,0.226,0.708,0.667,0.446,0.398,0.667,0.739,0.226,0.446,0.739
Gm19243,1.0,0.767,1.0,1.0,0.783,1.0,0.767,0.783,0.749,1.0,1.0,0.749
Gm28608,,,,,,,,,,,,
Zfp91,0.147,0.415,0.471,0.147,0.56,0.504,0.415,0.56,0.932,0.471,0.504,0.932
Hibch,0.768,0.602,0.412,0.768,0.457,0.31,0.602,0.457,0.785,0.412,0.31,0.785
Gm11660,0.828,0.807,0.791,0.828,1.0,1.0,0.807,1.0,1.0,0.791,1.0,1.0
Srsf2,0.703,0.42,0.936,0.703,0.698,0.782,0.42,0.698,0.507,0.936,0.782,0.507
Gm3605,,,,,,,,,,,,
Pik3c3,0.467,0.501,0.748,0.467,0.958,0.709,0.501,0.958,0.748,0.748,0.709,0.748
Thoc2,0.72,0.86,0.907,0.72,0.868,0.665,0.86,0.868,0.789,0.907,0.665,0.789
Gm48126,1.0,1.0,0.803,1.0,1.0,0.815,1.0,1.0,0.796,0.803,0.815,0.796
Trav7-6,0.422,0.308,0.881,0.422,0.109,0.404,0.308,0.109,0.423,0.881,0.404,0.423
Gm44589,0.918,0.807,0.79,0.918,0.751,0.735,0.807,0.751,1.0,0.79,0.735,1.0
Ces2g,0.903,0.828,0.926,0.903,0.757,0.844,0.828,0.757,0.908,0.926,0.844,0.908
Plppr5,,,,,,,,,,,,
H2-T-ps,0.894,0.476,0.462,0.894,0.44,0.583,0.476,0.44,0.184,0.462,0.583,0.184
Kcnj3,0.141,0.905,0.865,0.141,0.218,0.137,0.905,0.218,0.789,0.865,0.137,0.789
Gipr,,,,,,,,,,,,
Txndc17,0.615,0.0,0.39,0.615,0.001,0.746,0.0,0.001,0.002,0.39,0.746,0.002
Gm29159,1.0,0.767,1.0,1.0,0.783,1.0,0.767,0.783,0.749,1.0,1.0,0.749
Dusp19,0.209,0.31,0.545,0.209,0.82,0.544,0.31,0.82,0.703,0.545,0.544,0.703
Zfp419,,,,,,,,,,,,
Olfr756-ps1,,,,,,,,,,,,
Ap1s3,0.646,0.06,0.111,0.646,0.196,0.302,0.06,0.196,0.792,0.111,0.302,0.792
Gm11259,,,,,,,,,,,,
Nploc4,0.745,0.079,0.922,0.745,0.192,0.835,0.079,0.192,0.13,0.922,0.835,0.13
Lzic,0.665,0.26,0.618,0.665,0.155,0.953,0.26,0.155,0.137,0.618,0.953,0.137
Gm17954,,,,,,,,,,,,
Fxyd1,0.964,0.953,0.211,0.964,0.924,0.232,0.953,0.924,0.269,0.211,0.232,0.269
Olfr906,0.568,0.864,0.326,0.568,0.713,0.712,0.864,0.713,0.459,0.326,0.712,0.459
Slc17a7,0.286,0.461,0.581,0.286,0.746,0.62,0.461,0.746,0.861,0.581,0.62,0.861
Mcl1,0.436,0.073,0.063,0.436,0.355,0.325,0.073,0.355,0.952,0.063,0.325,0.952
Cables2,0.322,0.579,0.432,0.322,0.158,0.849,0.579,0.158,0.22,0.432,0.849,0.22
Aco1,0.286,0.977,0.924,0.286,0.344,0.374,0.977,0.344,0.951,0.924,0.374,0.951
Jakmip1,0.584,0.725,0.613,0.584,0.412,0.969,0.725,0.412,0.434,0.613,0.969,0.434
Gm1043,0.694,0.634,0.411,0.694,0.941,0.698,0.634,0.941,0.753,0.411,0.698,0.753
Xlr,0.66,0.994,0.882,0.66,0.682,0.588,0.994,0.682,0.897,0.882,0.588,0.897
Isca2,0.836,0.389,0.197,0.836,0.552,0.324,0.389,0.552,0.693,0.197,0.324,0.693
Rdh7,,,,,,,,,,,,
Cd209g,,,,,,,,,,,,
Myoz1,0.828,0.807,0.791,0.828,1.0,1.0,0.807,1.0,1.0,0.791,1.0,1.0
Gm14200,,,,,,,,,,,,
Drc3,0.707,0.34,0.775,0.707,0.225,0.544,0.34,0.225,0.538,0.775,0.544,0.538
Slc2a10,0.836,0.326,0.764,0.836,0.271,0.934,0.326,0.271,0.235,0.764,0.934,0.235
Gm38017,,,,,,,,,,,,
Plekhs1,0.519,0.408,0.767,0.519,0.872,0.744,0.408,0.872,0.622,0.767,0.744,0.622
Gm14648,0.803,0.264,0.999,0.803,0.212,0.821,0.264,0.212,0.303,0.999,0.821,0.303
Rhoc,0.115,0.79,0.058,0.115,0.228,0.767,0.79,0.228,0.133,0.058,0.767,0.133
Polr2e,0.395,0.248,0.545,0.395,0.781,0.821,0.248,0.781,0.613,0.545,0.821,0.613
Mgrn1,0.33,0.302,0.373,0.33,0.964,0.93,0.302,0.964,0.894,0.373,0.93,0.894
Olfr367-ps,,,,,,,,,,,,
4931406B18Rik,0.517,0.369,0.882,0.517,0.823,0.646,0.369,0.823,0.493,0.882,0.646,0.493
Gm13679,0.448,0.877,0.443,0.448,0.579,0.158,0.877,0.579,0.389,0.443,0.158,0.389
Gm43922,,,,,,,,,,,,
Gm43424,,,,,,,,,,,,
Gm13046,,,,,,,,,,,,
H2-Ob,0.169,0.165,0.125,0.169,0.99,0.887,0.165,0.99,0.896,0.125,0.887,0.896
Krt26,0.935,0.746,0.581,0.935,0.824,0.564,0.746,0.824,0.422,0.581,0.564,0.422
AC165294.3,,,,,,,,,,,,
Gm43704,0.828,0.807,0.791,0.828,1.0,1.0,0.807,1.0,1.0,0.791,1.0,1.0
Klk1b15-ps,,,,,,,,,,,,
Ube2e1,0.491,0.874,0.65,0.491,0.439,0.297,0.874,0.439,0.787,0.65,0.297,0.787
Gm2389,,,,,,,,,,,,
Gm29623,,,,,,,,,,,,
Gm8428,0.751,1.0,0.592,0.751,0.749,0.849,1.0,0.749,0.605,0.592,0.849,0.605
Gm11109,,,,,,,,,,,,
Gm16218,0.827,0.937,0.971,0.827,0.786,0.815,0.937,0.786,0.969,0.971,0.815,0.969
Hnrnpul1,0.781,0.711,0.728,0.781,0.933,0.95,0.711,0.933,0.983,0.728,0.95,0.983
Ikzf3,0.299,0.901,0.056,0.299,0.288,0.425,0.901,0.288,0.063,0.056,0.425,0.063
Olfr937,,,,,,,,,,,,
2310039H08Rik,0.079,0.608,0.978,0.079,0.249,0.11,0.608,0.249,0.655,0.978,0.11,0.655
Nsmaf,0.951,0.963,0.852,0.951,0.921,0.82,0.963,0.921,0.898,0.852,0.82,0.898
Olfr350,,,,,,,,,,,,
Gm49918,,,,,,,,,,,,
Il27,0.643,0.88,0.891,0.643,0.777,0.766,0.88,0.777,0.989,0.891,0.766,0.989
Krtap21-1,,,,,,,,,,,,
Thap11,0.499,0.773,0.502,0.499,0.721,0.993,0.773,0.721,0.726,0.502,0.993,0.726
Gm13735,,,,,,,,,,,,
Dsg3,0.671,0.904,0.635,0.671,0.783,1.0,0.904,0.783,0.749,0.635,1.0,0.749
2210409E12Rik,,,,,,,,,,,,
Mapkap1,0.401,0.672,0.964,0.401,0.248,0.418,0.672,0.248,0.729,0.964,0.418,0.729
Gm8762,0.887,0.792,0.529,0.887,0.912,0.476,0.792,0.912,0.408,0.529,0.476,0.408
Gm48179,,,,,,,,,,,,
Brd3os,0.923,0.807,0.79,0.923,0.756,0.741,0.807,0.756,1.0,0.79,0.741,1.0
Gm10075,0.825,0.053,0.6,0.825,0.046,0.496,0.053,0.046,0.166,0.6,0.496,0.166
Cry2,0.023,0.051,0.947,0.023,0.788,0.032,0.051,0.788,0.064,0.947,0.032,0.064
Scaper,0.805,0.475,0.572,0.805,0.38,0.458,0.475,0.38,0.891,0.572,0.458,0.891
Cox6c,0.694,0.633,0.866,0.694,0.426,0.607,0.633,0.426,0.779,0.866,0.607,0.779
Gm8784,0.999,0.709,0.933,0.999,0.734,0.939,0.709,0.734,0.675,0.933,0.939,0.675
Mep1a,,,,,,,,,,,,
Wdr54,0.6,0.27,0.92,0.6,0.604,0.692,0.27,0.604,0.353,0.92,0.692,0.353
Nelfa,0.819,0.301,0.642,0.819,0.248,0.831,0.301,0.248,0.17,0.642,0.831,0.17
Rgs3,0.577,0.726,0.722,0.577,0.407,0.854,0.726,0.407,0.519,0.722,0.854,0.519
Klk1b16,,,,,,,,,,,,
Smox,0.206,0.93,0.108,0.206,0.213,0.757,0.93,0.213,0.118,0.108,0.757,0.118
Gm48577,,,,,,,,,,,,
Rtl5,0.373,0.128,0.323,0.373,0.565,0.938,0.128,0.565,0.614,0.323,0.938,0.614
Kcng2,0.828,0.753,0.791,0.828,0.625,1.0,0.753,0.625,0.593,0.791,1.0,0.593
Gm8128,,,,,,,,,,,,
Vmn1r49,0.947,0.436,0.926,0.947,0.512,0.982,0.436,0.512,0.523,0.926,0.982,0.523
Olfr1256,0.144,0.34,0.236,0.144,0.64,0.794,0.34,0.64,0.835,0.236,0.794,0.835
BC064078,0.756,0.686,0.765,0.756,0.513,0.577,0.686,0.513,0.924,0.765,0.577,0.924
Gm18558,0.468,0.674,0.485,0.468,0.776,0.978,0.674,0.776,0.797,0.485,0.978,0.797
Natd1,0.435,0.892,0.396,0.435,0.401,0.136,0.892,0.401,0.514,0.396,0.136,0.514
Gm13144,,,,,,,,,,,,
AC169509.1,0.607,0.276,0.044,0.607,0.602,0.173,0.276,0.602,0.4,0.044,0.173,0.4
Ubiad1,0.856,0.708,0.178,0.856,0.612,0.164,0.708,0.612,0.373,0.178,0.164,0.373
Gm37450,,,,,,,,,,,,
Trav13n-3,,,,,,,,,,,,
Gm28329,,,,,,,,,,,,
Gab1,0.608,0.76,0.88,0.608,0.45,0.742,0.76,0.45,0.677,0.88,0.742,0.677
Gm8871,0.138,0.078,0.37,0.138,0.793,0.591,0.078,0.793,0.426,0.37,0.591,0.426
AC140413.3,,,,,,,,,,,,
Rnf180,0.479,0.459,0.953,0.479,1.0,0.551,0.459,1.0,0.531,0.953,0.551,0.531
Nck1,0.292,0.618,0.883,0.292,0.612,0.408,0.618,0.612,0.748,0.883,0.408,0.748
Speer6-ps1,0.768,0.634,0.429,0.768,0.87,0.654,0.634,0.87,0.776,0.429,0.654,0.776
Ankrd10,0.788,0.367,0.861,0.788,0.285,0.685,0.367,0.285,0.506,0.861,0.685,0.506
Gm44281,,,,,,,,,,,,
Olfr1564,0.466,0.899,0.489,0.466,0.58,0.968,0.899,0.58,0.605,0.489,0.968,0.605
Gm5035,,,,,,,,,,,,
Gm49812,,,,,,,,,,,,
Gm7102,0.792,0.998,0.935,0.792,0.81,0.867,0.998,0.81,0.942,0.935,0.867,0.942
Olfr1031,0.441,0.422,0.87,0.441,1.0,0.39,0.422,1.0,0.374,0.87,0.39,0.374
Gm44221,,,,,,,,,,,,
Galnt10,0.486,0.206,0.316,0.486,0.074,0.781,0.206,0.074,0.038,0.316,0.781,0.038
Gm37732,,,,,,,,,,,,
Sfn,0.648,0.851,0.804,0.648,0.806,0.52,0.851,0.806,0.69,0.804,0.52,0.69
Tle2,0.997,0.447,0.775,0.997,0.49,0.798,0.447,0.49,0.664,0.775,0.798,0.664
Cyp3a61-ps1,,,,,,,,,,,,
Ammecr1,0.949,0.295,0.677,0.949,0.31,0.661,0.295,0.31,0.561,0.677,0.661,0.561
Npm2,0.401,0.441,0.154,0.401,0.949,0.593,0.441,0.949,0.55,0.154,0.593,0.55
Gm48088,0.391,0.856,0.927,0.391,0.336,0.477,0.856,0.336,0.802,0.927,0.477,0.802
Gm16103,,,,,,,,,,,,
Gm47563,,,,,,,,,,,,
Tmem81,0.71,0.88,0.869,0.71,0.631,0.847,0.88,0.631,0.771,0.869,0.847,0.771
Spc24,0.925,0.494,0.894,0.925,0.59,0.972,0.494,0.59,0.615,0.894,0.972,0.615
Myorg,0.724,0.764,0.763,0.724,0.961,0.96,0.764,0.961,0.999,0.763,0.96,0.999
Olfr740,0.534,0.709,0.752,0.534,0.82,0.778,0.709,0.82,0.957,0.752,0.778,0.957
Gm48915,,,,,,,,,,,,
Imp4,0.837,0.4,0.797,0.837,0.339,0.672,0.4,0.339,0.592,0.797,0.672,0.592
Rnase10,0.971,0.734,0.857,0.971,0.73,0.843,0.734,0.73,0.882,0.857,0.843,0.882
Strada,0.235,0.69,0.921,0.235,0.146,0.238,0.69,0.146,0.783,0.921,0.238,0.783
Ap3s1-ps1,0.562,0.28,0.27,0.562,0.132,0.127,0.28,0.132,1.0,0.27,0.127,1.0
Pgk1-rs7,,,,,,,,,,,,
Gm29484,,,,,,,,,,,,
Ism2,0.548,0.576,0.659,0.548,0.973,0.341,0.576,0.973,0.361,0.659,0.341,0.361
Gm18860,0.544,0.928,0.808,0.544,0.632,0.731,0.928,0.632,0.889,0.808,0.731,0.889
Gm6522,,,,,,,,,,,,
Rtl4,0.617,0.559,0.465,0.617,0.324,0.262,0.559,0.324,0.892,0.465,0.262,0.892
Gm5674,0.828,0.807,0.791,0.828,1.0,1.0,0.807,1.0,1.0,0.791,1.0,1.0
Gm4133,,,,,,,,,,,,
Olfr1351,0.966,0.798,0.75,0.966,0.784,0.803,0.798,0.784,0.599,0.75,0.803,0.599
Dnajc8,0.883,0.958,0.647,0.883,0.932,0.777,0.958,0.932,0.711,0.647,0.777,0.711
Gm50090,,,,,,,,,,,,
Gm5228,0.55,0.749,0.749,0.55,0.806,0.806,0.749,0.806,1.0,0.749,0.806,1.0
Cand2,0.323,0.095,0.787,0.323,0.537,0.508,0.095,0.537,0.199,0.787,0.508,0.199
Cby1,0.555,0.697,0.66,0.555,0.37,0.889,0.697,0.37,0.447,0.66,0.889,0.447
Fga,,,,,,,,,,,,
Ighv8-16,,,,,,,,,,,,
Stk17b,0.503,0.341,0.688,0.503,0.796,0.807,0.341,0.796,0.615,0.688,0.807,0.615
Gm7647,,,,,,,,,,,,
Klhdc8a,0.594,0.768,1.0,0.594,0.833,0.592,0.768,0.833,0.749,1.0,0.592,0.749
