gene_name,Ctrl_vs_Chd7_1,Ctrl_vs_Chd7_2,Ctrl_vs_Chd7_3,Chd7_1_vs_Ctrl,Chd7_1_vs_Chd7_2,Chd7_1_vs_Chd7_3,Chd7_2_vs_Ctrl,Chd7_2_vs_Chd7_1,Chd7_2_vs_Chd7_3,Chd7_3_vs_Ctrl,Chd7_3_vs_Chd7_1,Chd7_3_vs_Chd7_2
Akap13,0.023,0.187,0.024,-0.023,0.164,0.001,-0.187,-0.164,-0.163,-0.024,-0.001,0.163
Trim12a,0.066,0.256,0.18,-0.066,0.189,0.113,-0.256,-0.189,-0.076,-0.18,-0.113,0.076
Gpx4-ps1,0.0,-2.354,-1.141,0.0,-2.382,-1.169,2.354,2.382,1.213,1.141,1.169,-1.213
Igkv1-108,,,,,,,,,,,,
Cntd1,-0.19,-0.426,-0.41,0.19,-0.236,-0.22,0.426,0.236,0.016,0.41,0.22,-0.016
Gm7244,-1.448,0.0,0.0,1.448,1.598,1.698,0.0,-1.598,0.0,0.0,-1.698,0.0
Cetn4,-0.189,-0.471,0.149,0.189,-0.283,0.337,0.471,0.283,0.62,-0.149,-0.337,-0.62
Prkar1a,0.064,0.237,0.004,-0.064,0.173,-0.06,-0.237,-0.173,-0.233,-0.004,0.06,0.233
Vsig10l,0.453,0.368,0.205,-0.453,-0.084,-0.248,-0.368,0.084,-0.163,-0.205,0.248,0.163
Thrb,0.055,0.516,-0.249,-0.055,0.46,-0.304,-0.516,-0.46,-0.765,0.249,0.304,0.765
Gm44251,-1.433,-3.32,-3.424,1.433,-1.887,-1.991,3.32,1.887,-0.104,3.424,1.991,0.104
Krt75,-1.448,0.0,0.0,1.448,1.598,1.698,0.0,-1.598,0.0,0.0,-1.698,0.0
Gm28439,,,,,,,,,,,,
Gpx1,0.137,-0.061,0.033,-0.137,-0.198,-0.104,0.061,0.198,0.094,-0.033,0.104,-0.094
Pcna-ps2,3.419,0.723,-0.475,-3.419,-2.697,-3.895,-0.723,2.697,-1.198,0.475,3.895,1.198
Atxn1,-0.112,0.187,-0.098,0.112,0.299,0.014,-0.187,-0.299,-0.286,0.098,-0.014,0.286
Akr1b3,0.056,0.211,0.091,-0.056,0.155,0.036,-0.211,-0.155,-0.119,-0.091,-0.036,0.119
Rims1,2.834,0.456,-0.308,-2.834,-2.377,-3.142,-0.456,2.377,-0.764,0.308,3.142,0.764
Serf2,0.082,0.029,0.132,-0.082,-0.053,0.049,-0.029,0.053,0.103,-0.132,-0.049,-0.103
Gm45612,1.0,-0.348,1.222,-1.0,-1.348,0.0,0.348,1.348,1.57,-1.222,0.0,-1.57
Hes7,-0.262,-0.207,-0.75,0.262,0.055,-0.487,0.207,-0.055,-0.543,0.75,0.487,0.543
Tceal6,,,,,,,,,,,,
Gm21541,,,,,,,,,,,,
B4galt6,-0.407,-0.279,-0.476,0.407,0.127,-0.069,0.279,-0.127,-0.197,0.476,0.069,0.197
Gm47335,,,,,,,,,,,,
Romo1,0.09,0.17,0.094,-0.09,0.08,0.005,-0.17,-0.08,-0.075,-0.094,-0.005,0.075
1700028B04Rik,0.155,-0.106,0.001,-0.155,-0.261,-0.154,0.106,0.261,0.107,-0.001,0.154,-0.107
Gm35876,-0.589,2.554,0.206,0.589,3.143,0.795,-2.554,-3.143,-2.348,-0.206,-0.795,2.348
Gm5587,2.923,3.046,3.146,-2.923,0.0,0.0,-3.046,0.0,0.0,-3.146,0.0,0.0
Gabre,1.127,2.396,1.548,-1.127,1.268,0.42,-2.396,-1.268,-0.848,-1.548,-0.42,0.848
Fkbp14,,,,,,,,,,,,
Ovol2,-0.083,-0.675,0.211,0.083,-0.592,0.294,0.675,0.592,0.886,-0.211,-0.294,-0.886
Ifitm7,-0.152,-0.565,-0.377,0.152,-0.413,-0.225,0.565,0.413,0.188,0.377,0.225,-0.188
Gm45315,3.183,3.305,3.406,-3.183,0.0,0.0,-3.305,0.0,0.0,-3.406,0.0,0.0
Btnl10,0.194,0.007,0.527,-0.194,-0.187,0.333,-0.007,0.187,0.52,-0.527,-0.333,-0.52
Vmn1r39,0.357,-0.084,-0.096,-0.357,-0.442,-0.453,0.084,0.442,-0.012,0.096,0.453,0.012
Eya3,-0.141,-0.04,-0.004,0.141,0.1,0.137,0.04,-0.1,0.037,0.004,-0.137,-0.037
Arrb2,-0.038,0.048,0.053,0.038,0.086,0.091,-0.048,-0.086,0.005,-0.053,-0.091,-0.005
Podxl,0.41,0.003,0.521,-0.41,-0.407,0.111,-0.003,0.407,0.518,-0.521,-0.111,-0.518
Fgfr4,0.0,-1.347,0.0,0.0,-1.374,0.0,1.347,1.374,1.597,0.0,0.0,-1.597
Sp6,-0.112,-0.145,0.464,0.112,-0.033,0.576,0.145,0.033,0.609,-0.464,-0.576,-0.609
Gm2420,-0.005,1.407,0.284,0.005,1.412,0.289,-1.407,-1.412,-1.123,-0.284,-0.289,1.123
Gm9006,0.688,0.073,0.078,-0.688,-0.615,-0.61,-0.073,0.615,0.005,-0.078,0.61,-0.005
Alg3,0.136,-0.243,0.112,-0.136,-0.379,-0.024,0.243,0.379,0.355,-0.112,0.024,-0.355
Olfr644,,,,,,,,,,,,
Soat1,0.184,0.243,0.163,-0.184,0.059,-0.021,-0.243,-0.059,-0.08,-0.163,0.021,0.08
Rad51d,0.135,0.09,0.045,-0.135,-0.045,-0.089,-0.09,0.045,-0.045,-0.045,0.089,0.045
Slc38a9,0.036,0.443,0.08,-0.036,0.407,0.044,-0.443,-0.407,-0.363,-0.08,-0.044,0.363
Gm28429,,,,,,,,,,,,
Gm45770,,,,,,,,,,,,
Amer2,0.739,0.141,1.163,-0.739,-0.598,0.425,-0.141,0.598,1.022,-1.163,-0.425,-1.022
Gm13122,,,,,,,,,,,,
Abca15,,,,,,,,,,,,
Gm45135,,,,,,,,,,,,
Olfr339,1.161,-0.998,-0.509,-1.161,-2.159,-1.671,0.998,2.159,0.488,0.509,1.671,-0.488
Gm2611,,,,,,,,,,,,
Gm35595,,,,,,,,,,,,
Ecd,0.11,-0.041,-0.032,-0.11,-0.151,-0.142,0.041,0.151,0.009,0.032,0.142,-0.009
Gm9974,-0.483,0.471,-0.16,0.483,0.954,0.322,-0.471,-0.954,-0.632,0.16,-0.322,0.632
Rpsa-ps3,0.797,0.901,0.992,-0.797,0.104,0.196,-0.901,-0.104,0.091,-0.992,-0.196,-0.091
Gm42652,,,,,,,,,,,,
Gm46427,0.0,-1.271,0.0,0.0,-1.299,0.0,1.271,1.299,1.522,0.0,0.0,-1.522
Shld1,-0.098,0.005,-0.117,0.098,0.102,-0.02,-0.005,-0.102,-0.122,0.117,0.02,0.122
Gm3739,-0.471,-2.361,-3.047,0.471,-1.89,-2.576,2.361,1.89,-0.686,3.047,2.576,0.686
Pink1,0.023,0.156,0.125,-0.023,0.133,0.102,-0.156,-0.133,-0.031,-0.125,-0.102,0.031
Rps16-ps3,,,,,,,,,,,,
Gm7951,,,,,,,,,,,,
Tmem45a2,0.859,-2.14,-1.171,-0.859,-2.999,-2.03,2.14,2.999,0.969,1.171,2.03,-0.969
Vmn1r51,1.477,0.53,3.132,-1.477,-0.947,1.655,-0.53,0.947,2.602,-3.132,-1.655,-2.602
Pex1,-0.043,0.125,-0.125,0.043,0.169,-0.082,-0.125,-0.169,-0.25,0.125,0.082,0.25
Gpr84,,,,,,,,,,,,
2310050C09Rik,,,,,,,,,,,,
Glul,0.151,0.015,0.082,-0.151,-0.135,-0.069,-0.015,0.135,0.067,-0.082,0.069,-0.067
Gm13932,0.988,-2.643,1.211,-0.988,-3.632,0.0,2.643,3.632,3.854,-1.211,0.0,-3.854
Gm5449,0.0,-1.347,0.0,0.0,-1.374,0.0,1.347,1.374,1.597,0.0,0.0,-1.597
Ankrd53,,,,,,,,,,,,
Polr3d,0.088,0.025,-0.233,-0.088,-0.062,-0.321,-0.025,0.062,-0.258,0.233,0.321,0.258
Gm28934,,,,,,,,,,,,
Rmdn1,0.202,0.261,0.069,-0.202,0.059,-0.133,-0.261,-0.059,-0.191,-0.069,0.133,0.191
Boll,1.199,-0.16,-0.118,-1.199,-1.359,-1.317,0.16,1.359,0.042,0.118,1.317,-0.042
Hdgf,-0.049,-0.186,-0.051,0.049,-0.137,-0.002,0.186,0.137,0.135,0.051,0.002,-0.135
Gm8524,1.827,1.949,0.67,-1.827,0.0,-1.158,-1.949,0.0,-1.28,-0.67,1.158,1.28
Defa-ps4,,,,,,,,,,,,
Isg20l2,0.028,-0.02,0.094,-0.028,-0.048,0.066,0.02,0.048,0.114,-0.094,-0.066,-0.114
Gm16327,,,,,,,,,,,,
Map7d3,0.054,-0.152,-0.445,-0.054,-0.206,-0.499,0.152,0.206,-0.293,0.445,0.499,0.293
Prr36,-0.005,0.579,1.096,0.005,0.584,1.101,-0.579,-0.584,0.517,-1.096,-1.101,-0.517
Gm18147,0.448,-1.215,1.734,-0.448,-1.663,1.286,1.215,1.663,2.949,-1.734,-1.286,-2.949
Gm20793,,,,,,,,,,,,
Gm6025,,,,,,,,,,,,
Klf2,0.154,0.117,0.093,-0.154,-0.037,-0.061,-0.117,0.037,-0.024,-0.093,0.061,0.024
Gm5873,-1.459,-0.381,1.21,1.459,1.078,2.669,0.381,-1.078,1.591,-1.21,-2.669,-1.591
Gm14786,,,,,,,,,,,,
Vmn2r-ps114,,,,,,,,,,,,
Gm12192,0.0,-1.347,0.0,0.0,-1.374,0.0,1.347,1.374,1.597,0.0,0.0,-1.597
Gm30341,,,,,,,,,,,,
Gm6518,,,,,,,,,,,,
4933428G20Rik,,,,,,,,,,,,
Gm19239,-0.457,-1.389,-1.775,0.457,-0.932,-1.318,1.389,0.932,-0.386,1.775,1.318,0.386
1700024G13Rik,,,,,,,,,,,,
Vegfa,1.616,0.463,0.282,-1.616,-1.153,-1.335,-0.463,1.153,-0.182,-0.282,1.335,0.182
Ccl22,-1.084,-1.745,0.733,1.084,-0.661,1.817,1.745,0.661,2.477,-0.733,-1.817,-2.477
1700086L19Rik,,,,,,,,,,,,
Zfp69,-0.097,-0.143,0.019,0.097,-0.046,0.117,0.143,0.046,0.163,-0.019,-0.117,-0.163
Gm11870,-0.2,-0.004,-0.298,0.2,0.196,-0.098,0.004,-0.196,-0.294,0.298,0.098,0.294
A930035D04Rik,-1.204,-0.186,0.877,1.204,1.018,2.081,0.186,-1.018,1.063,-0.877,-2.081,-1.063
Ap3d1,-0.035,0.082,-0.034,0.035,0.116,0.001,-0.082,-0.116,-0.115,0.034,-0.001,0.115
Gm9700,,,,,,,,,,,,
Olfr700,,,,,,,,,,,,
Gm2424,,,,,,,,,,,,
Mov10,-0.448,-0.228,-0.351,0.448,0.22,0.097,0.228,-0.22,-0.123,0.351,-0.097,0.123
Gm8043,,,,,,,,,,,,
Wdr83os,-0.097,-0.007,-0.011,0.097,0.089,0.086,0.007,-0.089,-0.003,0.011,-0.086,0.003
Tomm7,0.065,-0.047,-0.038,-0.065,-0.113,-0.104,0.047,0.113,0.009,0.038,0.104,-0.009
Fcgr2b,-0.001,0.562,-0.231,0.001,0.563,-0.23,-0.562,-0.563,-0.793,0.231,0.23,0.793
1700080O16Rik,,,,,,,,,,,,
Alkbh6,0.071,0.057,-0.09,-0.071,-0.014,-0.16,-0.057,0.014,-0.147,0.09,0.16,0.147
Gm6211,0.156,0.289,-0.062,-0.156,0.133,-0.219,-0.289,-0.133,-0.352,0.062,0.219,0.352
Gm46498,,,,,,,,,,,,
Slc36a3,-0.563,-1.443,-0.708,0.563,-0.88,-0.146,1.443,0.88,0.735,0.708,0.146,-0.735
Notch2,0.055,0.078,0.1,-0.055,0.022,0.045,-0.078,-0.022,0.022,-0.1,-0.045,-0.022
Art3,0.619,0.285,0.473,-0.619,-0.334,-0.146,-0.285,0.334,0.189,-0.473,0.146,-0.189
Mat2b,0.063,0.142,0.204,-0.063,0.079,0.141,-0.142,-0.079,0.061,-0.204,-0.141,-0.061
Gm19243,0.0,-1.347,0.0,0.0,-1.374,0.0,1.347,1.374,1.597,0.0,0.0,-1.597
Gm28608,,,,,,,,,,,,
Zfp91,0.208,0.117,0.103,-0.208,-0.091,-0.105,-0.117,0.091,-0.013,-0.103,0.105,0.013
Hibch,-0.057,0.1,0.157,0.057,0.157,0.214,-0.1,-0.157,0.057,-0.157,-0.214,-0.057
Gm11660,0.989,1.112,1.212,-0.989,0.0,0.0,-1.112,0.0,0.0,-1.212,0.0,0.0
Srsf2,-0.055,-0.116,-0.011,0.055,-0.061,0.043,0.116,0.061,0.104,0.011,-0.043,-0.104
Gm3605,,,,,,,,,,,,
Pik3c3,0.098,0.091,0.043,-0.098,-0.008,-0.055,-0.091,0.008,-0.047,-0.043,0.055,0.047
Thoc2,-0.087,-0.043,0.028,0.087,0.044,0.115,0.043,-0.044,0.071,-0.028,-0.115,-0.071
Gm48126,0.0,0.0,-1.137,0.0,0.0,-1.164,0.0,0.0,-1.286,1.137,1.164,1.286
Trav7-6,-1.026,1.623,0.212,1.026,2.649,1.237,-1.623,-2.649,-1.412,-0.212,-1.237,1.412
Gm44589,-0.471,1.116,1.216,0.471,1.587,1.687,-1.116,-1.587,0.0,-1.216,-1.687,0.0
Ces2g,-0.096,0.173,0.073,0.096,0.269,0.169,-0.173,-0.269,-0.1,-0.073,-0.169,0.1
Plppr5,,,,,,,,,,,,
H2-T-ps,0.023,-0.12,0.124,-0.023,-0.142,0.102,0.12,0.142,0.244,-0.124,-0.102,-0.244
Kcnj3,-1.891,-0.166,0.244,1.891,1.725,2.135,0.166,-1.725,0.41,-0.244,-2.135,-0.41
Gipr,,,,,,,,,,,,
Txndc17,0.073,0.612,0.124,-0.073,0.54,0.051,-0.612,-0.54,-0.489,-0.124,-0.051,0.489
Gm29159,0.0,-1.347,0.0,0.0,-1.374,0.0,1.347,1.374,1.597,0.0,0.0,-1.597
Dusp19,0.289,0.232,0.137,-0.289,-0.057,-0.152,-0.232,0.057,-0.095,-0.137,0.152,0.095
Zfp419,,,,,,,,,,,,
Olfr756-ps1,,,,,,,,,,,,
Ap1s3,-0.073,-0.295,-0.25,0.073,-0.223,-0.178,0.295,0.223,0.045,0.25,0.178,-0.045
Gm11259,,,,,,,,,,,,
Nploc4,-0.046,-0.245,-0.014,0.046,-0.2,0.032,0.245,0.2,0.231,0.014,-0.032,-0.231
Lzic,-0.095,0.247,-0.109,0.095,0.342,-0.014,-0.247,-0.342,-0.356,0.109,0.014,0.356
Gm17954,,,,,,,,,,,,
Fxyd1,-0.102,0.132,3.085,0.102,0.235,3.187,-0.132,-0.235,2.952,-3.085,-3.187,-2.952
Olfr906,-0.269,-0.081,-0.454,0.269,0.188,-0.186,0.081,-0.188,-0.374,0.454,0.186,0.374
Slc17a7,0.821,0.548,0.406,-0.821,-0.273,-0.415,-0.548,0.273,-0.142,-0.406,0.415,0.142
Mcl1,0.124,0.285,0.295,-0.124,0.161,0.171,-0.285,-0.161,0.01,-0.295,-0.171,-0.01
Cables2,-0.159,0.089,-0.126,0.159,0.248,0.033,-0.089,-0.248,-0.215,0.126,-0.033,0.215
Aco1,-0.172,-0.005,-0.015,0.172,0.167,0.157,0.005,-0.167,-0.011,0.015,-0.157,0.011
Jakmip1,0.095,-0.061,0.088,-0.095,-0.156,-0.007,0.061,0.156,0.149,-0.088,0.007,-0.149
Gm1043,0.145,0.175,0.301,-0.145,0.03,0.156,-0.175,-0.03,0.126,-0.301,-0.156,-0.126
Xlr,0.331,-0.005,-0.11,-0.331,-0.336,-0.44,0.005,0.336,-0.105,0.11,0.44,0.105
Isca2,0.039,0.162,0.243,-0.039,0.123,0.204,-0.162,-0.123,0.081,-0.243,-0.204,-0.081
Rdh7,,,,,,,,,,,,
Cd209g,,,,,,,,,,,,
Myoz1,0.989,1.112,1.212,-0.989,0.0,0.0,-1.112,0.0,0.0,-1.212,0.0,0.0
Gm14200,,,,,,,,,,,,
Drc3,0.141,-0.349,-0.105,-0.141,-0.491,-0.246,0.349,0.491,0.244,0.105,0.246,-0.244
Slc2a10,-0.502,2.637,-0.714,0.502,3.139,-0.213,-2.637,-3.139,-3.352,0.714,0.213,3.352
Gm38017,,,,,,,,,,,,
Plekhs1,0.455,0.581,0.204,-0.455,0.126,-0.251,-0.581,-0.126,-0.377,-0.204,0.251,0.377
Gm14648,-1.045,4.937,-0.006,1.045,5.982,1.039,-4.937,-5.982,-4.943,0.006,-1.039,4.943
Rhoc,0.492,0.082,0.594,-0.492,-0.41,0.102,-0.082,0.41,0.512,-0.594,-0.102,-0.512
Polr2e,0.141,0.191,0.1,-0.141,0.05,-0.041,-0.191,-0.05,-0.091,-0.1,0.041,0.091
Mgrn1,0.263,0.276,0.237,-0.263,0.013,-0.026,-0.276,-0.013,-0.039,-0.237,0.026,0.039
Olfr367-ps,,,,,,,,,,,,
4931406B18Rik,-0.385,-0.528,-0.089,0.385,-0.143,0.296,0.528,0.143,0.439,0.089,-0.296,-0.439
Gm13679,-1.864,-0.399,2.13,1.864,1.464,3.993,0.399,-1.464,2.529,-2.13,-3.993,-2.529
Gm43922,,,,,,,,,,,,
Gm43424,,,,,,,,,,,,
Gm13046,,,,,,,,,,,,
H2-Ob,-0.694,-0.7,-0.771,0.694,-0.007,-0.078,0.7,0.007,-0.071,0.771,0.078,0.071
Krt26,0.065,0.262,-0.43,-0.065,0.197,-0.495,-0.262,-0.197,-0.692,0.43,0.495,0.692
AC165294.3,,,,,,,,,,,,
Gm43704,0.989,1.112,1.212,-0.989,0.0,0.0,-1.112,0.0,0.0,-1.212,0.0,0.0
Klk1b15-ps,,,,,,,,,,,,
Ube2e1,-0.145,0.033,0.095,0.145,0.178,0.24,-0.033,-0.178,0.062,-0.095,-0.24,-0.062
Gm2389,,,,,,,,,,,,
Gm29623,,,,,,,,,,,,
Gm8428,-1.447,0.0,-2.377,1.447,1.597,-0.93,0.0,-1.597,-2.527,2.377,0.93,2.527
Gm11109,,,,,,,,,,,,
Gm16218,0.996,-0.36,-0.168,-0.996,-1.357,-1.164,0.36,1.357,0.192,0.168,1.164,-0.192
Hnrnpul1,0.043,0.058,0.054,-0.043,0.014,0.011,-0.058,-0.014,-0.004,-0.054,-0.011,0.004
Ikzf3,-0.125,0.015,-0.23,0.125,0.14,-0.105,-0.015,-0.14,-0.245,0.23,0.105,0.245
Olfr937,,,,,,,,,,,,
2310039H08Rik,0.502,0.143,0.008,-0.502,-0.359,-0.495,-0.143,0.359,-0.136,-0.008,0.495,0.136
Nsmaf,-0.009,0.007,0.027,0.009,0.016,0.036,-0.007,-0.016,0.021,-0.027,-0.036,-0.021
Olfr350,,,,,,,,,,,,
Gm49918,,,,,,,,,,,,
Il27,1.92,0.623,0.562,-1.92,-1.298,-1.359,-0.623,1.298,-0.061,-0.562,1.359,0.061
Krtap21-1,,,,,,,,,,,,
Thap11,0.112,0.047,0.11,-0.112,-0.064,-0.002,-0.047,0.064,0.063,-0.11,0.002,-0.063
Gm13735,,,,,,,,,,,,
Dsg3,1.921,0.547,2.143,-1.921,-1.374,0.0,-0.547,1.374,1.596,-2.143,0.0,-1.596
2210409E12Rik,,,,,,,,,,,,
Mapkap1,-0.122,0.061,0.007,0.122,0.183,0.128,-0.061,-0.183,-0.055,-0.007,-0.128,0.055
Gm8762,-0.478,-0.877,2.218,0.478,-0.399,2.696,0.877,0.399,3.095,-2.218,-2.696,-3.095
Gm48179,,,,,,,,,,,,
Brd3os,-0.44,1.112,1.212,0.44,1.551,1.652,-1.112,-1.551,0.0,-1.212,-1.652,0.0
Gm10075,-0.39,4.313,0.969,0.39,4.704,1.359,-4.313,-4.704,-3.345,-0.969,-1.359,3.345
Cry2,0.548,0.476,-0.016,-0.548,-0.072,-0.563,-0.476,0.072,-0.491,0.016,0.563,0.491
Scaper,-0.046,0.133,0.105,0.046,0.18,0.152,-0.133,-0.18,-0.028,-0.105,-0.152,0.028
Cox6c,0.054,-0.065,-0.023,-0.054,-0.118,-0.077,0.065,0.118,0.042,0.023,0.077,-0.042
Gm8784,0.003,-0.934,0.22,-0.003,-0.937,0.217,0.934,0.937,1.154,-0.22,-0.217,-1.154
Mep1a,,,,,,,,,,,,
Wdr54,-0.407,-0.839,-0.077,0.407,-0.432,0.331,0.839,0.432,0.762,0.077,-0.331,-0.762
Nelfa,-0.043,0.195,-0.087,0.043,0.238,-0.044,-0.195,-0.238,-0.282,0.087,0.044,0.282
Rgs3,-0.082,0.052,-0.052,0.082,0.134,0.03,-0.052,-0.134,-0.104,0.052,-0.03,0.104
Klk1b16,,,,,,,,,,,,
Smox,0.296,-0.02,0.375,-0.296,-0.316,0.079,0.02,0.316,0.395,-0.375,-0.079,-0.395
Gm48577,,,,,,,,,,,,
Rtl5,0.385,0.663,0.422,-0.385,0.277,0.037,-0.663,-0.277,-0.241,-0.422,-0.037,0.241
Kcng2,0.989,-1.399,1.212,-0.989,-2.389,0.0,1.399,2.389,2.611,-1.212,0.0,-2.611
Gm8128,,,,,,,,,,,,
Vmn1r49,0.056,0.684,0.078,-0.056,0.628,0.021,-0.684,-0.628,-0.606,-0.078,-0.021,0.606
Olfr1256,-0.544,-0.356,-0.439,0.544,0.187,0.104,0.356,-0.187,-0.083,0.439,-0.104,0.083
BC064078,0.1,-0.128,-0.095,-0.1,-0.228,-0.195,0.128,0.228,0.033,0.095,0.195,-0.033
Gm18558,-1.866,-1.099,-1.791,1.866,0.766,0.074,1.099,-0.766,-0.692,1.791,-0.074,0.692
Natd1,-0.141,0.025,0.154,0.141,0.165,0.294,-0.025,-0.165,0.129,-0.154,-0.294,-0.129
Gm13144,,,,,,,,,,,,
AC169509.1,-0.097,-0.204,-0.373,0.097,-0.107,-0.276,0.204,0.107,-0.17,0.373,0.276,0.17
Ubiad1,0.044,-0.09,-0.322,-0.044,-0.134,-0.366,0.09,0.134,-0.232,0.322,0.366,0.232
Gm37450,,,,,,,,,,,,
Trav13n-3,,,,,,,,,,,,
Gm28329,,,,,,,,,,,,
Gab1,1.898,-1.073,0.554,-1.898,-2.972,-1.344,1.073,2.972,1.627,-0.554,1.344,-1.627
Gm8871,-4.191,-4.937,-2.612,4.191,-0.745,1.58,4.937,0.745,2.325,2.612,-1.58,-2.325
AC140413.3,,,,,,,,,,,,
Rnf180,2.622,2.744,0.208,-2.622,0.0,-2.413,-2.744,0.0,-2.535,-0.208,2.413,2.535
Nck1,-0.18,-0.085,-0.025,0.18,0.095,0.155,0.085,-0.095,0.06,0.025,-0.155,-0.06
Speer6-ps1,-0.155,-0.248,-0.407,0.155,-0.093,-0.252,0.248,0.093,-0.159,0.407,0.252,0.159
Ankrd10,-0.035,0.116,0.022,0.035,0.15,0.057,-0.116,-0.15,-0.093,-0.022,-0.057,0.093
Gm44281,,,,,,,,,,,,
Olfr1564,0.429,0.074,0.404,-0.429,-0.356,-0.026,-0.074,0.356,0.33,-0.404,0.026,-0.33
Gm5035,,,,,,,,,,,,
Gm49812,,,,,,,,,,,,
Gm7102,-0.084,-0.001,-0.026,0.084,0.083,0.058,0.001,-0.083,-0.025,0.026,-0.058,0.025
Olfr1031,2.839,2.962,-0.568,-2.839,0.0,-3.407,-2.962,0.0,-3.529,0.568,3.407,3.529
Gm44221,,,,,,,,,,,,
Galnt10,0.113,-0.204,0.163,-0.113,-0.318,0.05,0.204,0.318,0.367,-0.163,-0.05,-0.367
Gm37732,,,,,,,,,,,,
Sfn,-0.073,-0.03,0.04,0.073,0.043,0.113,0.03,-0.043,0.07,-0.04,-0.113,-0.07
Tle2,0.003,0.537,0.2,-0.003,0.534,0.197,-0.537,-0.534,-0.337,-0.2,-0.197,0.337
Cyp3a61-ps1,,,,,,,,,,,,
Ammecr1,-0.012,0.193,0.076,0.012,0.204,0.088,-0.193,-0.204,-0.117,-0.076,-0.088,0.117
Npm2,0.889,0.814,1.525,-0.889,-0.075,0.636,-0.814,0.075,0.711,-1.525,-0.636,-0.711
Gm48088,2.476,-0.479,0.249,-2.476,-2.955,-2.227,0.479,2.955,0.728,-0.249,2.227,-0.728
Gm16103,,,,,,,,,,,,
Gm47563,,,,,,,,,,,,
Tmem81,0.081,-0.033,0.036,-0.081,-0.114,-0.046,0.033,0.114,0.068,-0.036,0.046,-0.068
Spc24,-0.023,-0.165,-0.032,0.023,-0.143,-0.009,0.165,0.143,0.133,0.032,0.009,-0.133
