gene_name,Ctrl_vs_Chd7_1,Ctrl_vs_Chd7_2,Ctrl_vs_Chd7_3,Chd7_1_vs_Ctrl,Chd7_1_vs_Chd7_2,Chd7_1_vs_Chd7_3,Chd7_2_vs_Ctrl,Chd7_2_vs_Chd7_1,Chd7_2_vs_Chd7_3,Chd7_3_vs_Ctrl,Chd7_3_vs_Chd7_1,Chd7_3_vs_Chd7_2
Ovol2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ifitm7,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Gm45315,,,,,,1.0,,,,,1.0,
Btnl10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Vmn1r39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Eya3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Arrb2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Podxl,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Fgfr4,,,,,,1.0,,,,,1.0,
Sp6,1.0,,,1.0,,1.0,,,,,1.0,
Gm2420,1.0,,,1.0,,1.0,,,,,1.0,
Gm9006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Alg3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Olfr644,,,,,,,,,,,,
Soat1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rad51d,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Slc38a9,1.0,0.902,1.0,1.0,1.0,1.0,0.902,1.0,1.0,1.0,1.0,1.0
Gm28429,,,,,,,,,,,,
Gm45770,,,,,,,,,,,,
Amer2,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Gm13122,,,,,,,,,,,,
Abca15,,,,,,,,,,,,
Gm45135,,,,,,,,,,,,
Olfr339,1.0,,,1.0,,1.0,,,,,1.0,
Gm2611,,,,,,,,,,,,
Gm35595,,,,,,,,,,,,
Ecd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm9974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rpsa-ps3,,,,,,1.0,,,,,1.0,
Gm42652,,,,,,,,,,,,
Gm46427,,,,,,1.0,,,,,1.0,
Shld1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm3739,,,,,,1.0,,,,,1.0,
Pink1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rps16-ps3,,,,,,,,,,,,
Gm7951,,,,,,,,,,,,
Tmem45a2,,,,,,1.0,,,,,1.0,
Vmn1r51,,,,,,1.0,,,,,1.0,
Pex1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gpr84,,,,,,,,,,,,
2310050C09Rik,,,,,,,,,,,,
Glul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm13932,,,,,,1.0,,,,,1.0,
Gm5449,,,,,,1.0,,,,,1.0,
Ankrd53,,,,,,,,,,,,
Polr3d,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm28934,,,,,,,,,,,,
Rmdn1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Boll,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Hdgf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm8524,,,,,,1.0,,,,,1.0,
Defa-ps4,,,,,,,,,,,,
Isg20l2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm16327,,,,,,,,,,,,
Map7d3,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Prr36,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Gm18147,1.0,,,1.0,,1.0,,,,,1.0,
Gm20793,,,,,,,,,,,,
Gm6025,,,,,,,,,,,,
Klf2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm5873,,,,,,1.0,,,,,1.0,
Gm14786,,,,,,,,,,,,
Vmn2r-ps114,,,,,,,,,,,,
Gm12192,,,,,,1.0,,,,,1.0,
Gm30341,,,,,,,,,,,,
Gm6518,,,,,,,,,,,,
4933428G20Rik,,,,,,,,,,,,
Gm19239,,,,,,1.0,,,,,1.0,
1700024G13Rik,,,,,,,,,,,,
Vegfa,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Ccl22,,,,,,1.0,,,,,1.0,
1700086L19Rik,,,,,,,,,,,,
Zfp69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm11870,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A930035D04Rik,1.0,,,1.0,,1.0,,,,,1.0,
Ap3d1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm9700,,,,,,,,,,,,
Olfr700,,,,,,,,,,,,
Gm2424,,,,,,,,,,,,
Mov10,0.965,1.0,1.0,0.965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm8043,,,,,,,,,,,,
Wdr83os,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tomm7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fcgr2b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,0.975
1700080O16Rik,,,,,,,,,,,,
Alkbh6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm6211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm46498,,,,,,,,,,,,
Slc36a3,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Notch2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Art3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mat2b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm19243,,,,,,1.0,,,,,1.0,
Gm28608,,,,,,,,,,,,
Zfp91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hibch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm11660,,,,,,1.0,,,,,1.0,
Srsf2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm3605,,,,,,,,,,,,
Pik3c3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thoc2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm48126,,,,,,1.0,,,,,1.0,
Trav7-6,1.0,,,1.0,,1.0,,,,,1.0,
Gm44589,,,,,,1.0,,,,,1.0,
Ces2g,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Plppr5,,,,,,,,,,,,
H2-T-ps,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kcnj3,1.0,,,1.0,,1.0,,,,,1.0,
Gipr,,,,,,,,,,,,
Txndc17,1.0,0.012,1.0,1.0,0.187,1.0,0.012,0.187,0.521,1.0,1.0,0.521
Gm29159,,,,,,1.0,,,,,1.0,
Dusp19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Zfp419,,,,,,,,,,,,
Olfr756-ps1,,,,,,,,,,,,
Ap1s3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm11259,,,,,,,,,,,,
Nploc4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lzic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm17954,,,,,,,,,,,,
Fxyd1,1.0,,,1.0,,1.0,,,,,1.0,
Olfr906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Slc17a7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mcl1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cables2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Aco1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jakmip1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm1043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Xlr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Isca2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rdh7,,,,,,,,,,,,
Cd209g,,,,,,,,,,,,
Myoz1,,,,,,1.0,,,,,1.0,
Gm14200,,,,,,,,,,,,
Drc3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Slc2a10,,,,,,1.0,,,,,1.0,
Gm38017,,,,,,,,,,,,
Plekhs1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm14648,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Rhoc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Polr2e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mgrn1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Olfr367-ps,,,,,,,,,,,,
4931406B18Rik,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm13679,,,,,,1.0,,,,,1.0,
Gm43922,,,,,,,,,,,,
Gm43424,,,,,,,,,,,,
Gm13046,,,,,,,,,,,,
H2-Ob,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Krt26,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
AC165294.3,,,,,,,,,,,,
Gm43704,,,,,,1.0,,,,,1.0,
Klk1b15-ps,,,,,,,,,,,,
Ube2e1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm2389,,,,,,,,,,,,
Gm29623,,,,,,,,,,,,
Gm8428,,,,,,1.0,,,,,1.0,
Gm11109,,,,,,,,,,,,
Gm16218,,,,,,1.0,,,,,1.0,
Hnrnpul1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ikzf3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Olfr937,,,,,,,,,,,,
2310039H08Rik,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nsmaf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Olfr350,,,,,,,,,,,,
Gm49918,,,,,,,,,,,,
Il27,,,,,,1.0,,,,,1.0,
Krtap21-1,,,,,,,,,,,,
Thap11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm13735,,,,,,,,,,,,
Dsg3,,,,,,1.0,,,,,1.0,
2210409E12Rik,,,,,,,,,,,,
Mapkap1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm8762,,,,,,1.0,,,,,1.0,
Gm48179,,,,,,,,,,,,
Brd3os,,,,,,1.0,,,,,1.0,
Gm10075,1.0,,,1.0,,1.0,,,,,1.0,
Cry2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Scaper,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cox6c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm8784,,,,,,1.0,,,,,1.0,
Mep1a,,,,,,,,,,,,
Wdr54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nelfa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rgs3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Klk1b16,,,,,,,,,,,,
Smox,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm48577,,,,,,,,,,,,
Rtl5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kcng2,,,,,,1.0,,,,,1.0,
Gm8128,,,,,,,,,,,,
Vmn1r49,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Olfr1256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BC064078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm18558,1.0,,,1.0,,1.0,,,,,1.0,
Natd1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm13144,,,,,,,,,,,,
AC169509.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ubiad1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm37450,,,,,,,,,,,,
Trav13n-3,,,,,,,,,,,,
Gm28329,,,,,,,,,,,,
Gab1,,,,,,1.0,,,,,1.0,
Gm8871,1.0,,,1.0,,1.0,,,,,1.0,
AC140413.3,,,,,,,,,,,,
Rnf180,,,,,,1.0,,,,,1.0,
Nck1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Speer6-ps1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ankrd10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm44281,,,,,,,,,,,,
Olfr1564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm5035,,,,,,,,,,,,
Gm49812,,,,,,,,,,,,
Gm7102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Olfr1031,,,,,,1.0,,,,,1.0,
Gm44221,,,,,,,,,,,,
Galnt10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm37732,,,,,,,,,,,,
Sfn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tle2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cyp3a61-ps1,,,,,,,,,,,,
Ammecr1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Npm2,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Gm48088,,,,,,1.0,,,,,1.0,
Gm16103,,,,,,,,,,,,
Gm47563,,,,,,,,,,,,
Tmem81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spc24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Myorg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Olfr740,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm48915,,,,,,,,,,,,
Imp4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rnase10,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Strada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ap3s1-ps1,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Pgk1-rs7,,,,,,,,,,,,
Gm29484,,,,,,,,,,,,
Ism2,,,,,,1.0,,,,,1.0,
Gm18860,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0
Gm6522,,,,,,,,,,,,
Rtl4,1.0,,,1.0,,1.0,,,,,1.0,
Gm5674,,,,,,1.0,,,,,1.0,
Gm4133,,,,,,,,,,,,
Olfr1351,1.0,,,1.0,,1.0,,,,,1.0,
Dnajc8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm50090,,,,,,,,,,,,
Gm5228,,,,,,1.0,,,,,1.0,
Cand2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cby1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fga,,,,,,,,,,,,
Ighv8-16,,,,,,,,,,,,
Stk17b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm7647,,,,,,,,,,,,
Klhdc8a,,,,,,1.0,,,,,1.0,
Thoc1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Oaz2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E230015B07Rik,,,,,,1.0,,,,,1.0,
Rlbp1,,,,,,1.0,,,,,1.0,
Polr2f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm5724,,,,,,,,,,,,
Zfp345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nthl1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Slc25a41,,,,,,1.0,,,,,1.0,
Gm7678,,,,,,1.0,,,,,1.0,
Gpc4,,,,,,1.0,,,,,1.0,
Phldb3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kyat3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Enkd1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yif1b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm14409,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Krtap22-2,,,,,,,,,,,,
Commd6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tvp23a,1.0,,,1.0,,1.0,,,,,1.0,
Gm37597,,,,,,,,,,,,
Gm29730,,,,,,,,,,,,
Gm3699,,,,,,1.0,,,,,1.0,
Gm8371,,,,,,1.0,,,,,1.0,
Fam186b,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Pgam1-ps2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nhlrc3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Plod1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Socs3,1.0,0.467,1.0,1.0,1.0,1.0,0.467,1.0,0.553,1.0,1.0,0.553
Gm48035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ndufa5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ttc9c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm6263,,,,,,1.0,,,,,1.0,
Slc35b4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rpl7a,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm49392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gm7731,,,,,,1.0,,,,,1.0,
Olfr1502,,,,,,,,,,,,
Gm19093,,,,,,,,,,,,
Lrig3,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Gm21293,,,,,,1.0,,,,,1.0,
Angptl2,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Umpk-ps,,,,,,1.0,,,,,1.0,
Kirrel,,,,,,,,,,,,
Gm12133,,,,,,,,,,,,
Nop10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Igkj2,,,,,,1.0,,,,,1.0,
Dydc1,,,,,,,,,,,,
Vmn1r93,,,,,,,,,,,,
Selenbp1,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
Hspd1-ps3,1.0,,,1.0,,1.0,,,,,1.0,
Klk1b14-ps,,,,,,,,,,,,
Ugt2a2,,,,,,,,,,,,
