complex,gene_name
Histone Acetylation,Gtf3c4
Bromodomain,Carm1
Bromodomain,Phip
Bromodomain,Brpf1
Bromodomain,Smarca4
Bromodomain,Brd9
Bromodomain,Brd6
Bromodomain,Bptf
Bromodomain,Kmt2a
Bromodomain,Brd7
Bromodomain,Brd5
Bromodomain,Trim24
Bromodomain,Taf1
Bromodomain,Brwd3
Bromodomain,Brd8
Bromodomain,Brd4
Bromodomain,Brd3
Bromodomain,Brpf3
Bromodomain,Baz2a
Bromodomain,Brwd1
Bromodomain,Brdt
Bromodomain,Zmynd8
Bromodomain,Brd2
Bromodomain,Mll1
Bromodomain,Brd1
Bromodomain,Atad2b
DNA Methylation - Demethylation,Tet1
DNA Methylation - Demethylation,Dub2a
DNA Methylation - Demethylation,Ehmt2
DNA Methylation - Demethylation,Prdm14
DNA Methylation - Demethylation,Mll5
DNA Methylation - Demethylation,Uhrf1
DNA Methylation - Demethylation,Hells
DNA Methylation - Demethylation,Dnmt3b
DNA Methylation - Demethylation,Kmt2a
DNA Methylation - Demethylation,Brca1
DNA Methylation - Demethylation,Kmt2e
DNA Methylation - Demethylation,Tet2
DNA Methylation - Demethylation,Mbd3
DNA Methylation - Demethylation,Dnmt1
DNA Methylation - Demethylation,Dnmt3l
DNA Methylation - Demethylation,Bmi1
DNA Methylation - Demethylation,Ehmt1
DNA Methylation - Demethylation,Mecp2
DNA Methylation - Demethylation,Tet3
DNA Methylation - Demethylation,Baz2a
DNA Methylation - Demethylation,Mbd4
DNA Methylation - Demethylation,Parp1
DNA Methylation - Demethylation,Mbd2
DNA Methylation - Demethylation,Mbd1
DNA Methylation - Demethylation,Prmt5
DNA Methylation - Demethylation,Ezh2
DNA Methylation - Demethylation,Mta2
DNA Methylation - Demethylation,Tdg
DNA Methylation - Demethylation,Mll1
DNA Methylation - Demethylation,Dnmt3a
Histone Demethylation,Jarid2
Histone Demethylation,Kdm3b
Histone Demethylation,Kdm3a
Histone Demethylation,Kdm1b
Histone Demethylation,Kdm6b
Histone Demethylation,Kdm1a
Histone Demethylation,Kdm5a
Histone Demethylation,Kdm4a
Histone Demethylation,Phf8
Histone Demethylation,Kdm2b
Histone Demethylation,Kdm2a
Histone Demethylation,Kdm6a
Histone Demethylation,Kdm4d
Histone Demethylation,Kdm7a
Histone Demethylation,Jmjd8
Histone Demethylation,Kdm5d
Histone Demethylation,Jmjd6
Histone Demethylation,Kdm5b
Histone Demethylation,Jmjd4
Histone Demethylation,Kdm8
Histone Demethylation,Kdm5c
Histone Demethylation,Kdm4b
Histone Demethylation,Jmjd1c
Histone Demethylation,Kdm4c
Histone Ubiquitination,Ube2i
Histone Ubiquitination,Uhrf1
Histone Ubiquitination,Ube2a
Histone Ubiquitination,Dub2a
Histone Ubiquitination,Brca1
Histone Ubiquitination,Rnf2
Histone Ubiquitination,Ube2b
Histone Ubiquitination,Trim24
Histone Ubiquitination,Rnf217
Histone Ubiquitination,Trim28
Histone Ubiquitination,Rnf20
Histone Ubiquitination,Ube2e1
Histone Ubiquitination,Rnf40
Arginine Methylation,Carm1
Arginine Methylation,Prmt2
Arginine Methylation,Prmt1
Arginine Methylation,Prmt7
Arginine Methylation,Prmt5
Arginine Methylation,Prmt6
Arginine Methylation,Prmt8
Arginine Methylation,Prmt3
Chd,Chd1
Chd,Chd5
Chd,Chd3
Chd,Chd6
Chd,Chd4
Chd,Chd2
Chd,Chd1l
Chd,Chd9
Chd,Chd7
Chd,Chd8
ISWI - Ino80,Baz1b
ISWI - Ino80,Smarca1
ISWI - Ino80,Smarca5
ISWI - Ino80,Baz2a
ISWI - Ino80,Actl6a
ISWI - Ino80,Ino80
