complex,gene_name,complex_simp
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Chd7,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Clock,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Dnmt3a,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Eed,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Ep300,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Ezh2,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,H2afz,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Hdac1,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Hdac2,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Hdac4,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Hdac5,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Hdac6,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Hltf,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Kdm1a,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Kdm2b,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Kdm6a,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Kdm6b,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Mta1,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Nsd1,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Prdm1,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Prdm15,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Prdm4,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Prdm5,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Rbbp4,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Smarca4,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Smyd3,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Sp140,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Suz12,Pol II Proximal Promoter \n DNA Binding
DNA methylation,Baz2a,DNA Methylation
DNA methylation,Bmi1,DNA Methylation
DNA methylation,Dnmt1,DNA Methylation
DNA methylation,Dnmt3a,DNA Methylation
DNA methylation,Dnmt3b,DNA Methylation
DNA methylation,Dnmt3l,DNA Methylation
DNA methylation,Ehmt1,DNA Methylation
DNA methylation,Ehmt2,DNA Methylation
DNA methylation,Ezh2,DNA Methylation
DNA methylation,Hells,DNA Methylation
DNA methylation,Mbd4,DNA Methylation
DNA methylation,Kmt2a,DNA Methylation
DNA methylation,Kmt2e,DNA Methylation
DNA methylation,Mta2,DNA Methylation
DNA methylation,Mll1,DNA Methylation
DNA methylation,Mll5,DNA Methylation
ubiquitin-protein transferase activity,Brca1,Ubiquitin-protein \n Transferase Activity
ubiquitin-protein transferase activity,Rnf2,Ubiquitin-protein \n Transferase Activity
ubiquitin-protein transferase activity,Rnf20,Ubiquitin-protein \n Transferase Activity
ubiquitin-protein transferase activity,Rnf217,Ubiquitin-protein \n Transferase Activity
ubiquitin-protein transferase activity,Rnf40,Ubiquitin-protein \n Transferase Activity
ubiquitin-protein transferase activity,Trim24,Ubiquitin-protein \n Transferase Activity
ubiquitin-protein transferase activity,Trim28,Ubiquitin-protein \n Transferase Activity
ubiquitin-protein transferase activity,Ube2a,Ubiquitin-protein \n Transferase Activity
ubiquitin-protein transferase activity,Ube2b,Ubiquitin-protein \n Transferase Activity
ubiquitin-protein transferase activity,Ube2e1,Ubiquitin-protein \n Transferase Activity
ubiquitin-protein transferase activity,Ube2i,Ubiquitin-protein \n Transferase Activity
ubiquitin-protein transferase activity,Uhrf1,Ubiquitin-protein \n Transferase Activity
ubiquitin-protein transferase activity,Dub2a,Ubiquitin-protein \n Transferase Activity
histone-arginine N-methyltransferase activity,Carm1,Histone-arginine \n N-methyltransferase Activity
histone-arginine N-methyltransferase activity,Prmt1,Histone-arginine \n N-methyltransferase Activity
histone-arginine N-methyltransferase activity,Prmt2,Histone-arginine \n N-methyltransferase Activity
histone-arginine N-methyltransferase activity,Prmt3,Histone-arginine \n N-methyltransferase Activity
histone-arginine N-methyltransferase activity,Prmt5,Histone-arginine \n N-methyltransferase Activity
histone-arginine N-methyltransferase activity,Prmt6,Histone-arginine \n N-methyltransferase Activity
histone-arginine N-methyltransferase activity,Prmt7,Histone-arginine \n N-methyltransferase Activity
histone-arginine N-methyltransferase activity,Prmt8,Histone-arginine \n N-methyltransferase Activity
histone arginine methylation,Carm1,Histone Arginine \n Methylation
histone arginine methylation,Prmt1,Histone Arginine \n Methylation
histone arginine methylation,Prmt2,Histone Arginine \n Methylation
histone arginine methylation,Prmt3,Histone Arginine \n Methylation
histone arginine methylation,Prmt5,Histone Arginine \n Methylation
histone arginine methylation,Prmt6,Histone Arginine \n Methylation
histone arginine methylation,Prmt7,Histone Arginine \n Methylation
histone arginine methylation,Prmt8,Histone Arginine \n Methylation
regulation of DNA methylation,Brca1,Regulation of \n DNA Methylation
regulation of DNA methylation,Ehmt2,Regulation of \n DNA Methylation
regulation of DNA methylation,Kdm1b,Regulation of \n DNA Methylation
regulation of DNA methylation,Mecp2,Regulation of \n DNA Methylation
regulation of DNA methylation,Parp1,Regulation of \n DNA Methylation
regulation of DNA methylation,Prdm14,Regulation of \n DNA Methylation
regulation of DNA methylation,Prmt5,Regulation of \n DNA Methylation
regulation of DNA methylation,Tet1,Regulation of \n DNA Methylation
regulation of DNA methylation,Dub2a,Regulation of \n DNA Methylation
RNA polymerase II core promoter sequence-specific DNA binding,Ezh2,Pol II Core Promoter \n DNA Binding
RNA polymerase II core promoter sequence-specific DNA binding,Gadd45a,Pol II Core Promoter \n DNA Binding
RNA polymerase II core promoter sequence-specific DNA binding,Gtf2b,Pol II Core Promoter \n DNA Binding
RNA polymerase II core promoter sequence-specific DNA binding,H2afz,Pol II Core Promoter \n DNA Binding
RNA polymerase II core promoter sequence-specific DNA binding,Hdac1,Pol II Core Promoter \n DNA Binding
RNA polymerase II core promoter sequence-specific DNA binding,Kdm3a,Pol II Core Promoter \n DNA Binding
RNA polymerase II core promoter sequence-specific DNA binding,Prdm10,Pol II Core Promoter \n DNA Binding
RNA polymerase II distal enhancer sequence-specific DNA binding,Clock,Pol II Distal Enhancer \n DNA Binding
RNA polymerase II distal enhancer sequence-specific DNA binding,H2afz,Pol II Distal Enhancer \n DNA Binding
RNA polymerase II distal enhancer sequence-specific DNA binding,Kmt2a,Pol II Distal Enhancer \n DNA Binding
RNA polymerase II distal enhancer sequence-specific DNA binding,Mta1,Pol II Distal Enhancer \n DNA Binding
RNA polymerase II distal enhancer sequence-specific DNA binding,Sirt1,Pol II Distal Enhancer \n DNA Binding
RNA polymerase II distal enhancer sequence-specific DNA binding,Mll1,Pol II Distal Enhancer \n DNA Binding
maintenance of DNA methylation,Dnmt1,Maintenance of \n DNA Methylation
maintenance of DNA methylation,Dnmt3a,Maintenance of \n DNA Methylation
maintenance of DNA methylation,Hells,Maintenance of \n DNA Methylation
maintenance of DNA methylation,Uhrf1,Maintenance of \n DNA Methylation
RNA polymerase II regulatory region DNA binding,Ncoa1,Pol II Regulatory \n Region DNA Binding
RNA polymerase II regulatory region DNA binding,Ncoa3,Pol II Regulatory \n Region DNA Binding
RNA polymerase II regulatory region DNA binding,Ncor1,Pol II Regulatory \n Region DNA Binding
RNA polymerase II regulatory region DNA binding,Ncor2,Pol II Regulatory \n Region DNA Binding
Ino80 complex,Actl6a,Ino80 Complex
Ino80 complex,Ino80,Ino80 Complex
Chd,Chd1,Chd
Chd,Chd1l,Chd
Chd,Chd2,Chd
Chd,Chd3,Chd
Chd,Chd4,Chd
Chd,Chd5,Chd
Chd,Chd6,Chd
Chd,Chd7,Chd
Chd,Chd8,Chd
Chd,Chd9,Chd
