type,Il2ra_ref_repressed,Il2ra_d6_repressed,Il2ra_24h_repressed,Il2ra_48h_repressed,Brg1_repressed,Ccnt1_repressed,runx3_D5EEC_repressed,runx3_D5SLEC_repressed,runx3_D8EEC_repressed,runx3_D8SLEC_repressed,runx3_D8MPEC_repressed,Blimp1_repressed,Blimp1_repressed2,Tbet_ref_repressed,Hobit_ref_repressed,Tcf7_ref_repressed,Tcf7_ref_repressed2,Tox_ref_repressed,Tox_ref_repressed2,Klf2_ref_repressed,Chd7_1_Chd7_D5_repressed,Chd7_2_Chd7_D5_repressed,Chd7_3_Chd7_D5_repressed,Chd7_Naive_repressed,Chd7_DP_repressed,Chd7_48h_repressed,Chd7_EE_repressed,Chd7_MP_repressed,Chd7_TE_repressed
Hobit_ref_repressed,0.0979020979020979,0.06993006993006994,0.13986013986013987,0.20279720279720279,0.14685314685314685,0.08391608391608392,0.0,0.0,0.0,0.0,0.0,0.13286713286713286,0.3006993006993007,0.11188811188811189,1.0,0.08695652173913043,0.013986013986013986,0.1048951048951049,0.16083916083916083,0.0,0.0,0.0,0.0,0.0979020979020979,0.03496503496503497,0.013986013986013986,0.04895104895104895,0.04895104895104895,0.04895104895104895
Tcf7_ref_repressed,0.0,0.0,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,1.0,0.17391304347826086,0.391304347826087,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216
Tcf7_ref_repressed2,0.029411764705882353,0.025735294117647058,0.09191176470588236,0.07720588235294118,0.19852941176470587,0.04044117647058824,0.0,0.0,0.0,0.0,0.0,0.007352941176470588,0.035897435897435895,0.0661764705882353,0.013986013986013986,0.17391304347826086,1.0,0.45588235294117646,0.09558823529411764,0.0,0.0,0.0,0.0,0.08455882352941177,0.0661764705882353,0.08455882352941177,0.08088235294117647,0.12867647058823528,0.08823529411764706
Tox_ref_repressed,0.035483870967741936,0.06231454005934718,0.09801762114537445,0.12344582593250444,0.19982920580700256,0.1099554234769688,0.0,0.0,0.0,0.0,0.0,0.033846153846153845,0.10256410256410256,0.059743954480796585,0.1048951048951049,0.391304347826087,0.45588235294117646,1.0,0.15798462852263023,0.0,0.0,0.0,0.0,0.08710503842869342,0.07213114754098361,0.2199074074074074,0.13012477718360071,0.19575856443719414,0.0970556161395856
Tox_ref_repressed2,0.06666666666666667,0.17507418397626112,0.1277533039647577,0.15985790408525755,0.17745454545454545,0.19167904903417535,0.0,0.0,0.0,0.0,0.0,0.09230769230769231,0.16923076923076924,0.112375533428165,0.16083916083916083,0.0,0.09558823529411764,0.15798462852263023,1.0,0.0,0.0,0.0,0.0,0.10981818181818181,0.08360655737704918,0.13194444444444445,0.0962566844919786,0.12071778140293637,0.08287895310796074
Klf2_ref_repressed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chd7_1_Chd7_D5_repressed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.30606860158311344,0.3403693931398417,0.0,0.0,0.0,0.0,0.0,0.0
Chd7_2_Chd7_D5_repressed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30606860158311344,1.0,0.29133858267716534,0.0,0.0,0.0,0.0,0.0,0.0
Chd7_3_Chd7_D5_repressed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3403693931398417,0.29133858267716534,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Chd7_Naive_repressed,0.17956989247311828,0.34718100890207715,0.04955947136563876,0.1127886323268206,0.0725359911406423,0.0713224368499257,0.0,0.0,0.0,0.0,0.0,0.09230769230769231,0.12307692307692308,0.09388335704125178,0.0979020979020979,0.043478260869565216,0.08455882352941177,0.08710503842869342,0.10981818181818181,0.0,0.0,0.0,0.0,1.0,0.19508196721311474,0.14814814814814814,0.1265597147950089,0.21207177814029363,0.17448200654307525
Chd7_DP_repressed,0.05573770491803279,0.03560830860534125,0.05573770491803279,0.11311475409836065,0.1180327868852459,0.04918032786885246,0.0,0.0,0.0,0.0,0.0,0.043076923076923075,0.06153846153846154,0.07213114754098361,0.03496503496503497,0.043478260869565216,0.0661764705882353,0.07213114754098361,0.08360655737704918,0.0,0.0,0.0,0.0,0.19508196721311474,1.0,0.12731481481481483,0.24955436720142601,0.3590163934426229,0.45901639344262296
Chd7_48h_repressed,0.05555555555555555,0.04747774480712166,0.10648148148148148,0.16898148148148148,0.19907407407407407,0.0787037037037037,0.0,0.0,0.0,0.0,0.0,0.04,0.03076923076923077,0.07175925925925926,0.013986013986013986,0.043478260869565216,0.08455882352941177,0.2199074074074074,0.13194444444444445,0.0,0.0,0.0,0.0,0.14814814814814814,0.12731481481481483,1.0,0.1550925925925926,0.16203703703703703,0.18518518518518517
Chd7_EE_repressed,0.05169340463458111,0.03857566765578635,0.0659536541889483,0.1051693404634581,0.16934046345811052,0.06951871657754011,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,0.05641025641025641,0.040998217468805706,0.04895104895104895,0.043478260869565216,0.08088235294117647,0.13012477718360071,0.0962566844919786,0.0,0.0,0.0,0.0,0.1265597147950089,0.24955436720142601,0.1550925925925926,1.0,0.3244206773618538,0.34402852049910876
Chd7_MP_repressed,0.037520391517128875,0.032640949554896145,0.0701468189233279,0.13376835236541598,0.17944535073409462,0.048939641109298535,0.0,0.0,0.0,0.0,0.0,0.021538461538461538,0.06666666666666667,0.03588907014681892,0.04895104895104895,0.08695652173913043,0.12867647058823528,0.19575856443719414,0.12071778140293637,0.0,0.0,0.0,0.0,0.21207177814029363,0.3590163934426229,0.16203703703703703,0.3244206773618538,1.0,0.4535073409461664
Chd7_TE_repressed,0.05779716466739367,0.06824925816023739,0.051762114537444934,0.12213740458015267,0.1723009814612868,0.06835066864784546,0.0,0.0,0.0,0.0,0.0,0.08307692307692308,0.08717948717948718,0.10810810810810811,0.04895104895104895,0.043478260869565216,0.08823529411764706,0.0970556161395856,0.08287895310796074,0.0,0.0,0.0,0.0,0.17448200654307525,0.45901639344262296,0.18518518518518517,0.34402852049910876,0.4535073409461664,1.0
