type,Il2ra_ref_promoted,Il2ra_ref_repressed,Il2ra_d6_promoted,Il2ra_d6_repressed,Il2ra_24h_promoted,Il2ra_24h_repressed,Il2ra_48h_promoted,Il2ra_48h_repressed,Brg1_repressed,Brg1_promoted,Ccnt1_repressed,Ccnt1_promoted,runx3_D5EEC_promoted,runx3_D5EEC_repressed,runx3_D5SLEC_promoted,runx3_D5SLEC_repressed,runx3_D8EEC_promoted,runx3_D8EEC_repressed,runx3_D8SLEC_promoted,runx3_D8SLEC_repressed,runx3_D8MPEC_promoted,runx3_D8MPEC_repressed,Blimp1_ref_promoted,Blimp1_repressed,Blimp1_ref_promoted2,Blimp1_repressed2,Tbet_ref_promoted,Tbet_ref_repressed,Hobit_ref_promoted,Hobit_ref_repressed,Tcf7_ref_repressed,Tcf7_ref_promoted,Tcf7_ref_repressed2,Tcf7_ref_promoted2,Tox_ref_repressed,Tox_ref_promoted,Tox_ref_repressed2,Tox_ref_promoted2,Klf2_ref_promoted,Klf2_ref_repressed,Chd7_1_Chd7_D5_promoted,Chd7_1_Chd7_D5_repressed,Chd7_2_Chd7_D5_promoted,Chd7_2_Chd7_D5_repressed,Chd7_3_Chd7_D5_promoted,Chd7_3_Chd7_D5_repressed,Chd7_Naive_promoted,Chd7_Naive_repressed,Chd7_DP_promoted,Chd7_DP_repressed,Chd7_48h_promoted,Chd7_48h_repressed,Chd7_EE_promoted,Chd7_EE_repressed,Chd7_MP_promoted,Chd7_MP_repressed,Chd7_TE_promoted,Chd7_TE_repressed
Ccnt1_repressed,0.08469539375928678,0.1025260029717682,0.06983655274888559,0.17507418397626112,0.05714285714285714,0.10401188707280833,0.08320950965824665,0.21099554234769688,0.46805349182763745,0.06537890044576523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020967741935483872,0.13538461538461538,0.08125,0.11282051282051282,0.04011887072808321,0.13224368499257058,0.072,0.08391608391608392,0.0,0.32558139534883723,0.04044117647058824,0.19140625,0.1099554234769688,0.24814264487369986,0.19167904903417535,0.06983655274888559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11144130757800892,0.0713224368499257,0.09104938271604938,0.04918032786885246,0.051194539249146756,0.0787037037037037,0.07536764705882353,0.06951871657754011,0.08798646362098139,0.048939641109298535,0.06339144215530904,0.06835066864784546
Ccnt1_promoted,0.15789473684210525,0.05263157894736842,0.22105263157894736,0.008902077151335312,0.06857142857142857,0.06842105263157895,0.11052631578947368,0.06491228070175438,0.08070175438596491,0.35964912280701755,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14210526315789473,0.018461538461538463,0.08125,0.06666666666666667,0.1631578947368421,0.031578947368421054,0.104,0.03496503496503497,0.21739130434782608,0.0,0.1948529411764706,0.015625,0.22456140350877193,0.07719298245614035,0.04912280701754386,0.13508771929824562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06842105263157895,0.14210526315789473,0.04912280701754386,0.03859649122807018,0.04736842105263158,0.06712962962962964,0.04044117647058824,0.06060606060606061,0.017543859649122806,0.08070175438596491,0.05263157894736842,0.06842105263157895
runx3_D5EEC_promoted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3825088339222615,0.029151943462897525,0.14664310954063603,0.05963302752293578,0.27400468384074944,0.022408963585434174,0.32332155477031804,0.044169611307420496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D5EEC_repressed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03171806167400881,0.3894273127753304,0.04140969162995595,0.31995412844036697,0.09601873536299765,0.2815126050420168,0.06255506607929516,0.3392070484581498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D5SLEC_promoted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3825088339222615,0.03171806167400881,1.0,0.0,0.14369345396487493,0.058486238532110095,0.3255269320843091,0.04481792717086835,0.14757160647571607,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D5SLEC_repressed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029151943462897525,0.3894273127753304,0.0,1.0,0.025013304949441192,0.3394495412844037,0.06791569086651054,0.27310924369747897,0.23038605230386053,0.14665841584158415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D8EEC_promoted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14664310954063603,0.04140969162995595,0.14369345396487493,0.025013304949441192,1.0,0.0,0.38875878220140514,0.018207282913165267,0.19613947696139478,0.014232673267326733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D8EEC_repressed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05963302752293578,0.31995412844036697,0.058486238532110095,0.3394495412844037,0.0,1.0,0.00936768149882904,0.3487394957983193,0.010321100917431193,0.43922018348623854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D8SLEC_promoted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27400468384074944,0.09601873536299765,0.3255269320843091,0.06791569086651054,0.38875878220140514,0.00936768149882904,1.0,0.0,0.5035128805620609,0.03044496487119438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D8SLEC_repressed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022408963585434174,0.2815126050420168,0.04481792717086835,0.27310924369747897,0.018207282913165267,0.3487394957983193,0.0,1.0,0.02100840336134454,0.41456582633053224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D8MPEC_promoted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32332155477031804,0.06255506607929516,0.14757160647571607,0.23038605230386053,0.19613947696139478,0.010321100917431193,0.5035128805620609,0.02100840336134454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D8MPEC_repressed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044169611307420496,0.3392070484581498,0.125,0.14665841584158415,0.014232673267326733,0.43922018348623854,0.03044496487119438,0.41456582633053224,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blimp1_ref_promoted,0.3370967741935484,0.012903225806451613,0.23225806451612904,0.005934718100890208,0.05142857142857143,0.1,0.09032258064516129,0.07580645161290323,0.11290322580645161,0.22903225806451613,0.020967741935483872,0.14210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08125,0.035897435897435895,0.22741935483870968,0.037096774193548385,0.112,0.06993006993006994,0.13043478260869565,0.0,0.21323529411764705,0.0234375,0.2064516129032258,0.12741935483870967,0.06290322580645161,0.12741935483870967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11612903225806452,0.06129032258064516,0.05161290322580645,0.040983606557377046,0.03924914675767918,0.04398148148148148,0.05514705882352941,0.05525846702317291,0.0338409475465313,0.0734094616639478,0.07903225806451612,0.0532258064516129
Blimp1_repressed,0.009230769230769232,0.40307692307692305,0.024615384615384615,0.09230769230769231,0.04,0.07384615384615385,0.10461538461538461,0.12307692307692308,0.17846153846153845,0.06769230769230769,0.13538461538461538,0.018461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0375,0.10256410256410256,0.03076923076923077,0.3353846153846154,0.04,0.13286713286713286,0.043478260869565216,0.20930232558139536,0.007352941176470588,0.140625,0.033846153846153845,0.2523076923076923,0.09230769230769231,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06153846153846154,0.09230769230769231,0.07384615384615385,0.043076923076923075,0.03076923076923077,0.04,0.08307692307692308,0.03076923076923077,0.07076923076923076,0.021538461538461538,0.06153846153846154,0.08307692307692308
Blimp1_ref_promoted2,0.09375,0.06875,0.075,0.05625,0.025,0.11875,0.09375,0.15625,0.225,0.1,0.08125,0.08125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08125,0.0375,1.0,0.0,0.0875,0.10625,0.2,0.006993006993006993,0.0,0.023255813953488372,0.0625,0.0125,0.125,0.1625,0.0625,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.04375,0.0625,0.05,0.025,0.04375,0.0625,0.075,0.0875,0.0375,0.0625,0.05
Blimp1_repressed2,0.1076923076923077,0.1282051282051282,0.1282051282051282,0.07692307692307693,0.041025641025641026,0.18461538461538463,0.09743589743589744,0.26666666666666666,0.20512820512820512,0.11282051282051282,0.11282051282051282,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035897435897435895,0.10256410256410256,0.0,1.0,0.11282051282051282,0.13846153846153847,0.008,0.3006993006993007,0.043478260869565216,0.11627906976744186,0.035897435897435895,0.08205128205128205,0.10256410256410256,0.22564102564102564,0.16923076923076924,0.07179487179487179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041025641025641026,0.12307692307692308,0.035897435897435895,0.06153846153846154,0.046153846153846156,0.03076923076923077,0.05128205128205128,0.05641025641025641,0.05128205128205128,0.06666666666666667,0.05641025641025641,0.08717948717948718
Tbet_ref_promoted,0.22771213748657357,0.013978494623655914,0.17293233082706766,0.01483679525222552,0.07428571428571429,0.06277533039647577,0.07518796992481203,0.07626208378088077,0.11815252416756176,0.1611170784103115,0.04011887072808321,0.1631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22741935483870968,0.03076923076923077,0.0875,0.11282051282051282,1.0,0.0,0.088,0.0979020979020979,0.13043478260869565,0.06976744186046512,0.16911764705882354,0.04296875,0.1933404940923738,0.08055853920515575,0.079484425349087,0.07841031149301826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08485499462943072,0.07089151450053706,0.07561728395061729,0.040983606557377046,0.05802047781569966,0.0787037037037037,0.0625,0.06417112299465241,0.047377326565143825,0.08972267536704731,0.09033280507131537,0.04143947655398037
Tbet_ref_repressed,0.05405405405405406,0.2773826458036984,0.07112375533428165,0.18397626112759644,0.11714285714285715,0.11379800853485064,0.11522048364153627,0.16927453769559034,0.2375533428165007,0.1251778093883357,0.13224368499257058,0.031578947368421054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037096774193548385,0.3353846153846154,0.10625,0.13846153846153847,0.0,1.0,0.128,0.11188811188811189,0.043478260869565216,0.37209302325581395,0.0661764705882353,0.203125,0.059743954480796585,0.27880512091038406,0.112375533428165,0.07396870554765292,0.0020325203252032522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06401137980085349,0.09388335704125178,0.06327160493827161,0.07213114754098361,0.05460750853242321,0.07175925925925926,0.08823529411764706,0.040998217468805706,0.06429780033840947,0.03588907014681892,0.05229793977812995,0.10810810810810811
Hobit_ref_promoted,0.128,0.048,0.088,0.016,0.016,0.104,0.088,0.08,0.168,0.152,0.072,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.04,0.2,0.008,0.088,0.128,1.0,0.0,0.08695652173913043,0.046511627906976744,0.056,0.032,0.136,0.096,0.024,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.048,0.072,0.04,0.056,0.04,0.104,0.04,0.04,0.016,0.088,0.048
Hobit_ref_repressed,0.0979020979020979,0.0979020979020979,0.06293706293706294,0.06993006993006994,0.04895104895104895,0.13986013986013987,0.06993006993006994,0.20279720279720279,0.14685314685314685,0.08391608391608392,0.08391608391608392,0.03496503496503497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06993006993006994,0.13286713286713286,0.006993006993006993,0.3006993006993007,0.0979020979020979,0.11188811188811189,0.0,1.0,0.08695652173913043,0.09302325581395349,0.013986013986013986,0.08391608391608392,0.1048951048951049,0.16783216783216784,0.16083916083916083,0.04195804195804196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03496503496503497,0.0979020979020979,0.07692307692307693,0.03496503496503497,0.03496503496503497,0.013986013986013986,0.027972027972027972,0.04895104895104895,0.06293706293706294,0.04895104895104895,0.03496503496503497,0.04895104895104895
Tcf7_ref_repressed,0.13043478260869565,0.0,0.08695652173913043,0.0,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.13043478260869565,0.2608695652173913,0.0,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.043478260869565216,0.0,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.08695652173913043,1.0,0.0,0.17391304347826086,0.0,0.391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216
Tcf7_ref_promoted,0.046511627906976744,0.3023255813953488,0.046511627906976744,0.13953488372093023,0.023255813953488372,0.18604651162790697,0.11627906976744186,0.27906976744186046,0.27906976744186046,0.11627906976744186,0.32558139534883723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20930232558139536,0.023255813953488372,0.11627906976744186,0.06976744186046512,0.37209302325581395,0.046511627906976744,0.09302325581395349,0.0,1.0,0.0,0.5348837209302325,0.046511627906976744,0.5813953488372093,0.18604651162790697,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.11627906976744186,0.13953488372093023,0.09302325581395349,0.023255813953488372,0.023255813953488372,0.2558139534883721,0.06976744186046512,0.23255813953488372,0.023255813953488372,0.09302325581395349,0.13953488372093023
Tcf7_ref_repressed2,0.18382352941176472,0.029411764705882353,0.23161764705882354,0.025735294117647058,0.07352941176470588,0.09191176470588236,0.13970588235294118,0.07720588235294118,0.19852941176470587,0.1801470588235294,0.04044117647058824,0.1948529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21323529411764705,0.007352941176470588,0.0625,0.035897435897435895,0.16911764705882354,0.0661764705882353,0.056,0.013986013986013986,0.17391304347826086,0.0,1.0,0.0,0.45588235294117646,0.029411764705882353,0.09558823529411764,0.08455882352941177,0.003676470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06985294117647059,0.08455882352941177,0.025735294117647058,0.0661764705882353,0.04044117647058824,0.08455882352941177,0.03676470588235294,0.08088235294117647,0.01838235294117647,0.12867647058823528,0.03308823529411765,0.08823529411764706
