type,Il2ra_ref_promoted,Il2ra_d6_promoted,Il2ra_24h_promoted,Il2ra_48h_promoted,Brg1_promoted,Ccnt1_promoted,runx3_D5EEC_promoted,runx3_D5SLEC_promoted,runx3_D8EEC_promoted,runx3_D8SLEC_promoted,runx3_D8MPEC_promoted,Blimp1_ref_promoted,Blimp1_ref_promoted2,Tbet_ref_promoted,Hobit_ref_promoted,Tcf7_ref_promoted,Tcf7_ref_promoted2,Tox_ref_promoted,Tox_ref_promoted2,Klf2_ref_promoted,Chd7_1_Chd7_D5_promoted,Chd7_2_Chd7_D5_promoted,Chd7_3_Chd7_D5_promoted,Chd7_Naive_promoted,Chd7_DP_promoted,Chd7_48h_promoted,Chd7_EE_promoted,Chd7_MP_promoted,Chd7_TE_promoted
runx3_D8MPEC_promoted,0.0,0.0,0.0,0.0,0.0,0.0,0.32332155477031804,0.14757160647571607,0.19613947696139478,0.5035128805620609,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D5EEC_promoted,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3825088339222615,0.14664310954063603,0.27400468384074944,0.32332155477031804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blimp1_ref_promoted,0.3370967741935484,0.23225806451612904,0.05142857142857143,0.09032258064516129,0.22903225806451613,0.14210526315789473,0.0,0.0,0.0,0.0,0.0,1.0,0.08125,0.22741935483870968,0.112,0.0,0.0234375,0.12741935483870967,0.12741935483870967,0.0,0.0,0.0,0.0,0.11612903225806452,0.05161290322580645,0.03924914675767918,0.05514705882352941,0.0338409475465313,0.07903225806451612
Blimp1_ref_promoted2,0.09375,0.075,0.025,0.09375,0.1,0.08125,0.0,0.0,0.0,0.0,0.0,0.08125,1.0,0.0875,0.2,0.023255813953488372,0.0125,0.1625,0.11875,0.0,0.0,0.0,0.0,0.09375,0.0625,0.025,0.0625,0.0875,0.0625
Tbet_ref_promoted,0.22771213748657357,0.17293233082706766,0.07428571428571429,0.07518796992481203,0.1611170784103115,0.1631578947368421,0.0,0.0,0.0,0.0,0.0,0.22741935483870968,0.0875,1.0,0.088,0.06976744186046512,0.04296875,0.08055853920515575,0.07841031149301826,0.0,0.0,0.0,0.0,0.08485499462943072,0.07561728395061729,0.05802047781569966,0.0625,0.047377326565143825,0.09033280507131537
Hobit_ref_promoted,0.128,0.088,0.016,0.088,0.152,0.104,0.0,0.0,0.0,0.0,0.0,0.112,0.2,0.088,1.0,0.046511627906976744,0.032,0.096,0.072,0.0,0.0,0.0,0.0,0.064,0.072,0.056,0.104,0.04,0.088
Tcf7_ref_promoted,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.11627906976744186,0.11627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.06976744186046512,0.046511627906976744,1.0,0.5348837209302325,0.5813953488372093,0.046511627906976744,0.0,0.0,0.0,0.0,0.06976744186046512,0.13953488372093023,0.023255813953488372,0.2558139534883721,0.23255813953488372,0.09302325581395349
Tcf7_ref_promoted2,0.03515625,0.01171875,0.01953125,0.09765625,0.0859375,0.015625,0.0,0.0,0.0,0.0,0.0,0.0234375,0.0125,0.04296875,0.032,0.5348837209302325,1.0,0.44140625,0.0625,0.0,0.0,0.0,0.0,0.05859375,0.0625,0.04296875,0.09375,0.09765625,0.03515625
Tox_ref_promoted,0.11414565826330532,0.22567287784679088,0.12285714285714286,0.21209964412811388,0.1592814371257485,0.07719298245614035,0.0,0.0,0.0,0.0,0.0,0.12741935483870967,0.1625,0.08055853920515575,0.096,0.5813953488372093,0.44140625,1.0,0.2230861244019139,0.0020325203252032522,0.0,0.0,0.0,0.13459950454170108,0.13734567901234568,0.18771331058020477,0.19852941176470587,0.18274111675126903,0.1410459587955626
Tox_ref_promoted2,0.08123249299719888,0.26973684210526316,0.15142857142857144,0.15800711743772242,0.20059880239520958,0.13508771929824562,0.0,0.0,0.0,0.0,0.0,0.12741935483870967,0.11875,0.07841031149301826,0.072,0.046511627906976744,0.0625,0.2230861244019139,1.0,0.0,0.0,0.0,0.0,0.0726672171758877,0.08024691358024691,0.17918088737201365,0.13051470588235295,0.07952622673434856,0.098256735340729
Klf2_ref_promoted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020325203252032522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chd7_1_Chd7_D5_promoted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28599221789883267,0.31494252873563217,0.0,0.0,0.0,0.0,0.0,0.0
Chd7_2_Chd7_D5_promoted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28599221789883267,1.0,0.3057471264367816,0.0,0.0,0.0,0.0,0.0,0.0
Chd7_3_Chd7_D5_promoted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31494252873563217,0.3057471264367816,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Chd7_Naive_promoted,0.16019818331957061,0.1568951279933939,0.07142857142857142,0.09661436829066887,0.08422791081750619,0.06842105263157895,0.0,0.0,0.0,0.0,0.0,0.11612903225806452,0.09375,0.08485499462943072,0.064,0.06976744186046512,0.05859375,0.13459950454170108,0.0726672171758877,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.05802047781569966,0.10477941176470588,0.13874788494077833,0.14896988906497624
Chd7_DP_promoted,0.14506172839506173,0.10493827160493827,0.07142857142857142,0.12037037037037036,0.1419753086419753,0.04912280701754386,0.0,0.0,0.0,0.0,0.0,0.05161290322580645,0.0625,0.07561728395061729,0.072,0.13953488372093023,0.0625,0.13734567901234568,0.08024691358024691,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.07508532423208192,0.2426470588235294,0.24027072758037224,0.2662440570522979
Chd7_48h_promoted,0.08361774744027303,0.2781569965870307,0.022857142857142857,0.10409556313993173,0.19112627986348124,0.04736842105263158,0.0,0.0,0.0,0.0,0.0,0.03924914675767918,0.025,0.05802047781569966,0.056,0.023255813953488372,0.04296875,0.18771331058020477,0.17918088737201365,0.0,0.0,0.0,0.0,0.05802047781569966,0.07508532423208192,1.0,0.11397058823529412,0.05460750853242321,0.08361774744027303
Chd7_EE_promoted,0.0900735294117647,0.12867647058823528,0.022857142857142857,0.0900735294117647,0.15441176470588236,0.04044117647058824,0.0,0.0,0.0,0.0,0.0,0.05514705882352941,0.0625,0.0625,0.104,0.2558139534883721,0.09375,0.19852941176470587,0.13051470588235295,0.0,0.0,0.0,0.0,0.10477941176470588,0.2426470588235294,0.11397058823529412,1.0,0.24632352941176472,0.28860294117647056
Chd7_MP_promoted,0.0676818950930626,0.077834179357022,0.05142857142857143,0.12013536379018612,0.09983079526226735,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0338409475465313,0.0875,0.047377326565143825,0.04,0.23255813953488372,0.09765625,0.18274111675126903,0.07952622673434856,0.0,0.0,0.0,0.0,0.13874788494077833,0.24027072758037224,0.05460750853242321,0.24632352941176472,1.0,0.2927241962774958
Chd7_TE_promoted,0.12995245641838352,0.12836767036450078,0.04857142857142857,0.08874801901743265,0.1537242472266244,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.07903225806451612,0.0625,0.09033280507131537,0.088,0.09302325581395349,0.03515625,0.1410459587955626,0.098256735340729,0.0,0.0,0.0,0.0,0.14896988906497624,0.2662440570522979,0.08361774744027303,0.28860294117647056,0.2927241962774958,1.0
