MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:3612191	Nlrc5	NLR family, CARD domain containing 5	8		positive regulation of type I interferon-mediated signaling pathway			ISO	Q86WI3 	J:164563 	
MGI:2180852	Oas2	2'-5' oligoadenylate synthetase 2	5		type I interferon signaling pathway			IDA		J:248944 	
MGI:2180850	Oas3	2'-5' oligoadenylate synthetase 3	5		negative regulation of type I interferon-mediated signaling pathway			ISO	Q9Y6K5 	J:164563 	
MGI:97806	Ptpn2	protein tyrosine phosphatase, non-receptor type 2	18		negative regulation of type I interferon-mediated signaling pathway			IMP		J:115366 J:197518 	
MGI:97806	Ptpn2	protein tyrosine phosphatase, non-receptor type 2	18		negative regulation of type I interferon-mediated signaling pathway			ISO	P17706 	J:164563 	
MGI:1927468	Samhd1	SAM domain and HD domain, 1	2		negative regulation of type I interferon-mediated signaling pathway			IMP		J:202757 	
MGI:1927468	Samhd1	SAM domain and HD domain, 1	2		negative regulation of type I interferon-mediated signaling pathway			ISO	Q9Y3Z3 	J:164563 	
MGI:103063	Stat1	signal transducer and activator of transcription 1	1		type I interferon signaling pathway			IBA	PTN002623830 	J:265628 	
MGI:103063	Stat1	signal transducer and activator of transcription 1	1		type I interferon signaling pathway			IMP		J:197518 J:219043 	
MGI:103063	Stat1	signal transducer and activator of transcription 1	1		type I interferon signaling pathway			ISO	P42224 	J:164563 	
MGI:103039	Stat2	signal transducer and activator of transcription 2	10		negative regulation of type I interferon-mediated signaling pathway			IMP		J:302465 	
MGI:103039	Stat2	signal transducer and activator of transcription 2	10		negative regulation of type I interferon-mediated signaling pathway			ISO	P52630 	J:164563 	
MGI:103039	Stat2	signal transducer and activator of transcription 2	10		type I interferon signaling pathway			IBA	PTN002623821 	J:265628 	
MGI:103039	Stat2	signal transducer and activator of transcription 2	10		type I interferon signaling pathway			IMP		J:219043 J:302465 	
MGI:103039	Stat2	signal transducer and activator of transcription 2	10		type I interferon signaling pathway			ISO	P52630 	J:164563 	
MGI:1929658	Tbk1	TANK-binding kinase 1	10		positive regulation of type I interferon-mediated signaling pathway			IMP		J:235021 	
MGI:1328317	Trex1	three prime repair exonuclease 1	9		negative regulation of type I interferon-mediated signaling pathway			IMP	MGI:3052754 	J:145466 	
MGI:1328317	Trex1	three prime repair exonuclease 1	9		type I interferon signaling pathway			IMP	MGI:3052754 	J:243357 	
MGI:2137352	Trim6	tripartite motif-containing 6	7		positive regulation of type I interferon-mediated signaling pathway	happens in lung		IMP		J:222665 	
MGI:2137352	Trim6	tripartite motif-containing 6	7		positive regulation of type I interferon-mediated signaling pathway			ISO	Q9C030 	J:164563 	
MGI:3039573	Ttll12	tubulin tyrosine ligase-like family, member 12	15		negative regulation of type I interferon-mediated signaling pathway			ISO	Q14166 	J:164563 	
MGI:1858216	Ube2k	ubiquitin-conjugating enzyme E2K	5		positive regulation of type I interferon-mediated signaling pathway			ISO	P61086 	J:164563 	
MGI:1344364	Usp18	ubiquitin specific peptidase 18	6		negative regulation of type I interferon-mediated signaling pathway			ISO	Q9UMW8 	J:164563 	
MGI:98958	Wnt5a	wingless-type MMTV integration site family, member 5A	14		positive regulation of type I interferon-mediated signaling pathway			ISO	P41221 	J:164563 	
MGI:2444233	Ythdf2	YTH N6-methyladenosine RNA binding protein 2	4		negative regulation of type I interferon-mediated signaling pathway			ISO	Q9Y5A9 	J:164563 	
MGI:1918850	Ythdf3	YTH N6-methyladenosine RNA binding protein 3	3		negative regulation of type I interferon-mediated signaling pathway			IMP		J:276397 	
MGI:1927449	Zbp1	Z-DNA binding protein 1	2		positive regulation of type I interferon-mediated signaling pathway			IBA	PTN000384307 	J:265628 	
MGI:1927449	Zbp1	Z-DNA binding protein 1	2		positive regulation of type I interferon-mediated signaling pathway			IMP		J:123411 	

