gene_name,P2_Arm,P3_Arm,P4_Arm,P5_Arm,P6_Arm,P7_Arm,P8_Arm,P9_Arm,P10_Arm,P2_Cl13,P3_Cl13,P4_Cl13,P5_Cl13,P6_Cl13,P7_Cl13,P8_Cl13,P9_Cl13,P10_Cl13
Fam168b,0.51015013,0.47954437,0.45397162,0.48578852,0.5123089,0.5328525,0.40748268,0.51012856,0.59694153,0.43855295,0.531393,0.45749727,0.54167086,0.55070204,0.5067446,0.63732374,0.48358098,0.78571403
Uggt1,0.37773603,0.40680996,0.44754213,0.43949437,0.39352092,0.43112236,0.40235606,0.40019265,0.4671129,0.29886928,0.3681162,0.3944395,0.43387657,0.48948032,0.39816037,0.35405958,0.3741282,0.4269117
Neurl3,0.053935353,0.06533798,0.09215586,0.060059566,0.0742485,0.14954177,0.27560708,0.25895387,0.15223588,0.03482124,0.06284162,0.0482814,0.03183442,0.074322365,0.08737877,0.1434743,0.13781324,0.09294081
Kansl3,0.1569279,0.122411445,0.13084145,0.14282891,0.13742708,0.20349813,0.23288122,0.20041667,0.29466188,0.1667275,0.16612379,0.13324617,0.17516647,0.14003147,0.17639603,0.2414452,0.18211019,0.17263395
Actr1b,0.3275837,0.28668925,0.31754655,0.3020223,0.2869711,0.2922537,0.43582758,0.28153738,0.23705706,0.33155572,0.26729804,0.2916569,0.29755747,0.24330987,0.2618974,0.2874359,0.27567288,0.23382351
Tmem131,0.15687251,0.1566997,0.16888025,0.15465844,0.13856775,0.1561059,0.15716496,0.18774547,0.18867418,0.1436459,0.12024335,0.11443151,0.13509887,0.11832569,0.18554085,0.17974745,0.13892333,0.20200902
Coa5,0.4579869,0.3911148,0.4863222,0.47443756,0.48359996,0.5499189,0.68224895,0.5140293,0.44241753,0.463579,0.38972005,0.42572272,0.47349834,0.55481833,0.47962725,0.6174083,0.6774505,0.7492423
Mgat4a,0.0678215,0.0732195,0.06809489,0.07622646,0.06082695,0.0712119,0.06514571,0.11244017,0.072191685,0.044081558,0.035607338,0.036245793,0.026897052,0.04432366,0.022366617,0.059028365,0.083543025,0.06727631
Tsga10,0.00889436,0.01516657,0.010947158,0.004717685,0.014350859,0.009737625,0.020344526,0.007927772,0.020518573,0.016037796,0.012738752,0.011775514,0.0068801506,0.015661651,0.0071608466,0.016691593,0.026643643,0.014460316
Mitd1,0.22554901,0.19345208,0.2251785,0.21801142,0.27613106,0.2679335,0.27257457,0.2189063,0.13666874,0.21963152,0.26182777,0.24902453,0.23329964,0.30446807,0.35118824,0.34886792,0.47162122,0.39297295
Txndc9,0.8365065,1.0434277,0.9355766,0.8632834,0.7228617,0.8198017,1.0848387,0.72829473,0.7064129,0.8500363,1.0800136,1.0438471,0.8818319,0.7647675,0.95930237,0.938223,1.0426039,1.1151927
Rev1,0.10507129,0.025466558,0.06670001,0.10908255,0.07539074,0.09312471,0.040609524,0.056445163,0.077734105,0.15742756,0.045011196,0.047248196,0.1589402,0.051608656,0.07429324,0.107388355,0.049430117,0.031165246
Aff3,0.03496221,0.025699671,0.049448486,0.021261547,0.011345742,0.40749314,0.0013777405,0.08638206,0.016300315,0.04123697,0.11650977,0.045193773,0.03534218,0.033013448,0.46147895,0.022666365,0.10132053,0.13695338
Rnf149,0.3327267,0.17035778,0.26265633,0.27431673,0.26338065,0.23367716,0.24481918,0.24386856,0.2714168,0.30279368,0.18755195,0.2082595,0.23213544,0.23309995,0.24991581,0.28600493,0.27464354,0.53086215
Tgfbrap1,0.08295607,0.08588574,0.091037825,0.106571995,0.0859704,0.10554522,0.13542007,0.11242211,0.16539247,0.09257195,0.07200945,0.06741047,0.1020196,0.08715455,0.123809814,0.15549752,0.12704946,0.23708242
Fhl2,0.3720164,0.8105762,0.6278046,0.58925587,0.5216211,0.292971,0.8861949,0.3784466,0.34304914,0.36828855,0.69615245,0.69989467,0.68809366,0.5016277,0.39459985,0.4285517,0.8284235,1.2092277
Uxs1,0.13267013,0.111108676,0.11529474,0.15267725,0.114329256,0.10747756,0.1469217,0.07498813,0.055125833,0.13554704,0.10978679,0.10077529,0.15223415,0.080124594,0.087902814,0.16547932,0.08369099,0.078921355
Tex30,1.0295948,0.9203454,0.89570767,0.90458965,0.7826402,0.5265691,0.4550261,0.45339257,0.48156148,0.9831928,0.9124301,0.9678431,0.9238202,0.6677802,0.3810625,0.42087016,0.45827144,0.2812522
Poglut2,0.08818619,0.03361293,0.04528958,0.04794489,0.044643644,0.050258692,0.027503794,0.030764949,0.019884566,0.06717237,0.03560638,0.057942785,0.050148215,0.022445878,0.039236322,0.052574843,0.020285258,0.0
Slc39a10,0.18279198,0.069873594,0.1056212,0.11955831,0.11669118,0.08328362,0.09742421,0.095851384,0.1185975,0.2015196,0.0669544,0.088114366,0.11526434,0.09178763,0.13529176,0.089864925,0.055466615,0.08528004
Nabp1,0.124298155,0.2748689,0.19559832,0.17685495,0.20697542,0.18048708,0.30718648,0.28936875,0.19551279,0.12358018,0.24741493,0.22326653,0.15259962,0.26296678,0.19801074,0.3154443,0.30106455,0.4398709
Gls,0.40046847,0.37913436,0.3794681,0.28216782,0.3333348,0.4227516,0.5030971,0.44806826,0.55535114,0.47775623,0.49473795,0.5028196,0.39520997,0.35629255,0.4423374,0.4613539,0.41903883,0.49236137
Nab1,1.3037755,1.4038007,1.3942121,1.2820188,1.3786706,1.2664348,1.4788336,1.1985209,1.5367603,1.7488309,1.7954026,1.8107413,1.6251973,1.6177175,1.5235229,1.738471,1.6392086,1.5536785
Mfsd6,0.074703924,0.077756464,0.08012116,0.06606085,0.07929193,0.14931978,0.11831403,0.14136979,0.11251504,0.058995813,0.07867833,0.06902477,0.07369421,0.052101728,0.10530125,0.07293287,0.033463053,0.04861346
Inpp1,0.32648367,0.62043667,0.4638473,0.37886494,0.5660671,0.74788743,1.1175429,1.0184119,0.7495588,0.27574807,0.5897779,0.49725828,0.4275643,0.68371516,0.6474598,0.87907356,1.0153837,0.7592015
Pms1,0.11033907,0.075860046,0.082235,0.12872414,0.083581306,0.11104865,0.09808646,0.09521142,0.03980058,0.1165091,0.08073864,0.09372467,0.12042446,0.06922063,0.09407024,0.08328237,0.04381091,0.0
Stk17b,2.1323066,4.0903935,3.197269,2.8776913,3.192654,4.5723925,6.5894012,6.6053553,5.871614,1.9809918,3.6854694,3.2009144,3.1786754,3.3078244,4.0200605,4.02096,5.041999,5.0624256
Gtf3c3,0.14507963,0.13078175,0.14269865,0.120098546,0.12904045,0.12921524,0.121207066,0.1243795,0.20111597,0.14720961,0.10535181,0.13392684,0.119702466,0.11659017,0.14792973,0.13281268,0.15183888,0.238662
Pgap1,0.04380055,0.032102123,0.048538733,0.04531449,0.06604718,0.10869004,0.047361705,0.10298823,0.062409867,0.034679797,0.04240316,0.03385091,0.04065012,0.0625919,0.09187471,0.06192087,0.089235224,0.1333522
Ankrd44,0.5797476,1.0830498,0.81778014,0.66913086,0.6756189,0.93460333,1.0930259,1.2661831,1.4618441,0.47762108,0.9553529,0.8715859,0.6767374,0.72438073,0.6810544,0.9954834,1.260534,1.2715181
Sf3b1,4.2960973,5.121769,4.9389396,4.0642896,4.109072,4.819444,4.594463,4.737892,4.7014585,4.1798615,4.8827457,5.066013,4.2135305,4.3528023,4.076341,3.6984458,4.3076754,4.068427
Hspd1,8.770881,2.333725,4.4012284,4.0049434,3.4076746,2.4110422,1.4823425,1.0750899,1.0053916,8.354433,2.237389,4.260094,3.442647,2.7762825,2.4002638,1.3588796,1.3047363,1.1831393
Rftn2,0.011495717,0.014567104,0.016284468,0.014330094,0.015678206,0.013558724,0.022722626,0.01731084,0.011217051,0.018952746,0.023195935,0.020587139,0.020826813,0.020726437,0.021175474,0.012561828,0.02996496,0.028444272
Boll,0.0046214866,0.001130058,0.0062559466,0.0030363735,0.0042993766,0.0040497757,0.0024241568,0.004547904,0.0008926481,0.0039350917,0.0032018202,0.0014371808,0.004146261,0.0044705477,0.0019024725,0.007374401,0.005938495,0.0
Tyw5,0.20706384,0.12784019,0.15630423,0.16221516,0.17489006,0.12871416,0.08974305,0.1130493,0.08304236,0.20363508,0.14544123,0.16199113,0.16169961,0.17281716,0.15443806,0.14431617,0.13476683,0.067856506
Kctd18,0.08005574,0.12446255,0.098071516,0.09056322,0.095033005,0.143631,0.08984698,0.13976438,0.11247164,0.07247161,0.11510974,0.08684851,0.09521782,0.103075534,0.11493937,0.13931681,0.09978846,0.047392044
Clk1,0.54538333,0.7329122,0.66886514,0.6073025,0.7221808,1.2682097,1.1573882,1.3662534,1.4390334,0.4975309,0.8112394,0.67650604,0.65313184,0.80849534,1.0967382,0.96707857,1.1576619,0.9739532
Ppil3,0.5346209,0.42427984,0.47209865,0.4699401,0.5047084,0.57367444,0.7320894,0.4853696,0.46704832,0.5849413,0.38790944,0.46172848,0.40719995,0.46177056,0.5746552,0.4075048,0.43732145,0.38363484
Orc2,0.55889386,0.29059887,0.4190381,0.44973773,0.3220753,0.29225814,0.21431734,0.19242042,0.19604483,0.51245123,0.2684861,0.341523,0.38821805,0.26407456,0.22794749,0.23901774,0.19393466,0.11221334
Fam126b,0.10803068,0.1055143,0.10578437,0.10596193,0.103392586,0.11784885,0.117889225,0.12581779,0.15026824,0.12817158,0.10953166,0.099510856,0.10612519,0.14080717,0.1106704,0.262121,0.112068534,0.105450496
Trak2,0.14150114,0.16974564,0.16167799,0.16250902,0.18005721,0.17357348,0.19518308,0.25550273,0.21827911,0.10578357,0.15613596,0.16080603,0.1313281,0.12982509,0.121334724,0.14762603,0.14780444,0.21011141
Tmem237,0.19820496,0.16076475,0.19249839,0.18716916,0.18061961,0.12361689,0.10526335,0.06890507,0.07193282,0.17949854,0.19903103,0.1915101,0.19149382,0.17470771,0.13822676,0.121596016,0.13330275,0.15438488
Als2,0.008024061,0.016349515,0.009163599,0.01266867,0.0063302186,0.013245753,0.0019449163,0.015519379,0.0067976285,0.014030068,0.0076276977,0.00851975,0.016925383,0.017435782,0.015284599,0.015886135,0.0110043455,0.0
Sumo1,0.08487517,0.08904163,0.09381741,0.07169415,0.08143775,0.08546685,0.04797965,0.06607559,0.060091764,0.10710276,0.07631175,0.0784224,0.07381704,0.0988505,0.07602848,0.071938135,0.045257337,0.017021906
Wdr12,0.43229526,0.20545612,0.28727654,0.27934644,0.250836,0.38184455,0.2500727,0.24924651,0.14095463,0.510503,0.22083013,0.3047865,0.32037878,0.30601946,0.43304324,0.23290762,0.23579222,0.21209203
Raph1,0.05065947,0.052689575,0.060170405,0.048263133,0.04988329,0.045455,0.0083590485,0.049176726,0.03979914,0.064138606,0.065299064,0.07067398,0.04987443,0.06852445,0.03507277,0.054988947,0.046879575,0.09015833
Ino80d,0.09860801,0.12376583,0.092282765,0.08602878,0.12400737,0.13064842,0.15729174,0.14057323,0.15610015,0.08873185,0.13248008,0.11583771,0.113157086,0.13263871,0.14821085,0.1433572,0.12955348,0.088443264
Ndufs1,0.6842723,0.5086288,0.6024045,0.522588,0.56123364,0.45267743,0.45077044,0.37865776,0.3431996,0.5887489,0.453741,0.54716265,0.4248855,0.47963315,0.42288178,0.37012112,0.33958188,0.41550964
Klf7,0.23785304,0.27666843,0.24805366,0.22779502,0.2482207,0.4853899,0.47293794,0.55463094,0.49506894,0.1560524,0.18657131,0.15605307,0.19354661,0.17105703,0.315183,0.40506163,0.36767322,0.50868
Mettl21a,0.088849664,0.05677501,0.084535494,0.09000396,0.091734864,0.09397831,0.16039385,0.10690377,0.09809392,0.06625705,0.081978,0.073552266,0.109445475,0.089169145,0.12699287,0.12200661,0.10106843,0.037924368
Plekhm3,0.004701853,0.0076412032,0.0074347635,0.0017056608,0.0020109802,0.009502535,0.0,0.007745308,0.025652818,0.0025007203,0.0010730077,0.0040897857,0.0032515917,0.0014851216,0.00018885644,0.014506459,0.0033710008,0.0
Idh1,0.04914537,0.035398617,0.047554396,0.033400893,0.058259536,0.044352364,0.08704162,0.03697796,0.05273404,0.020251246,0.02854494,0.023464534,0.0145997,0.045009755,0.022196542,0.057410415,0.053293556,0.042081192
Kansl1l,0.017519804,0.0302009,0.02126646,0.021304341,0.020567596,0.046102382,0.059856612,0.04661746,0.039574973,0.019142462,0.059549883,0.037067663,0.025659025,0.023466872,0.030511955,0.018129034,0.030097215,0.0
Acadl,1.6366735,2.0929184,2.0738695,2.0906305,2.1502051,1.1383499,1.6685687,1.0803869,0.8801224,1.686681,2.1632447,2.1442702,2.0684905,2.2085543,1.513654,1.6423451,1.4792202,1.3901098
Lancl1,0.12776117,0.14312038,0.14315148,0.12525232,0.113841556,0.18365672,0.062404644,0.19252169,0.15402234,0.11566089,0.14045505,0.13118553,0.14493868,0.14353687,0.21710812,0.20648934,0.18003303,0.07648665
Ikzf2,0.075255536,0.102234095,0.09487556,0.09142812,0.13484243,0.29925394,0.38904548,0.06801069,0.032177173,0.3110036,0.22713068,0.2163254,0.2554436,0.17384751,0.70241684,0.13964272,0.198896,0.20928746
Bard1,0.35265347,0.45083517,0.36409608,0.44262415,0.24590348,0.12560628,0.08683658,0.04561647,0.044618804,0.3687167,0.4379672,0.39279923,0.47191098,0.16666174,0.10433569,0.14635009,0.04412802,0.07604809
Mreg,0.0005102613,0.0,0.00031872987,0.0002907681,0.00013676267,0.0,0.0,2.125398e-06,0.0,0.0070284815,0.0,0.0018938781,0.00026787008,0.0012536707,0.0012266297,0.00079468166,0.005019766,0.024656948
Pecr,0.07244057,0.015813464,0.03565273,0.03171336,0.025066791,0.030195832,0.027928395,0.0115089705,0.0039057792,0.053414393,0.01131412,0.02210513,0.028918179,0.018647773,0.05365122,0.027706021,0.025835909,0.0
Aamp,0.7852017,0.7486091,0.7515549,0.7212521,0.7748583,0.8174461,0.9534821,0.9527076,1.0028496,0.7085078,0.74806875,0.6827467,0.6663611,0.7569669,0.9070657,0.76296717,0.69122314,0.8197786
Usp37,0.4104811,0.22375709,0.3294145,0.44827643,0.3694035,0.24147289,0.15845676,0.17573892,0.21355216,0.44722936,0.2705832,0.27189848,0.492325,0.3577957,0.2701127,0.3228985,0.30738047,0.18889439
Zfp142,0.07402026,0.07763014,0.07112193,0.08477864,0.079735585,0.06822032,0.08006052,0.066723354,0.0892459,0.09175387,0.062860385,0.06081874,0.08203459,0.089789696,0.055448603,0.09023049,0.08416556,0.16134661
Rnf25,0.046655398,0.07150569,0.059479922,0.055480592,0.06150074,0.07680461,0.06447756,0.07216804,0.059212007,0.03135695,0.059170984,0.040908538,0.035504095,0.02949777,0.07580654,0.12230996,0.07166959,0.05549257
Nhej1,0.06047582,0.09217153,0.07674589,0.0545297,0.08044269,0.054138634,0.010239075,0.047304284,0.05348103,0.04543948,0.08214123,0.08293499,0.07932879,0.06363027,0.06514935,0.05179546,0.10121569,0.07768664
Cnppd1,0.30793595,0.4913451,0.41289207,0.3649148,0.46607086,0.48507437,0.73814934,0.6421419,0.68939966,0.34058607,0.3838446,0.364939,0.39722767,0.4727851,0.51895404,0.6180552,0.62298775,0.6211896
Atg9a,0.04385204,0.045638353,0.047541663,0.05106771,0.048865616,0.0733619,0.13041887,0.110802904,0.10320049,0.029981282,0.03586549,0.04237454,0.045117445,0.03622223,0.0834678,0.0759983,0.10176047,0.036517557
Tuba4a,2.3701253,1.66851,1.9294968,1.689819,1.6302663,0.9298581,0.7299231,0.7572533,0.56926435,1.935239,1.3491074,1.5976075,1.3024645,1.2097142,0.600531,0.62457323,0.6793624,0.46386838
Dnpep,0.27932817,0.31974298,0.31803575,0.30371594,0.32875836,0.29283178,0.36746183,0.29670042,0.29634345,0.2672571,0.29461527,0.31977522,0.31400502,0.29365876,0.26655927,0.32593468,0.3836206,0.28734362
Farsb,0.47195962,0.24236852,0.3355649,0.28740168,0.2616078,0.38524592,0.33494148,0.2451635,0.21031623,0.55812603,0.30337018,0.41101763,0.3709865,0.34960243,0.52720696,0.3887506,0.29187894,0.36451992
Ap1s3,0.24090095,0.21573721,0.22250657,0.23207556,0.23905504,0.2657071,0.23825468,0.18939795,0.10788483,0.26703078,0.22826762,0.25381994,0.2560914,0.3008414,0.260356,0.27261138,0.3327161,0.24270144
Wdfy1,0.057155073,0.082866654,0.08335729,0.074084334,0.07789701,0.1866046,0.24938798,0.26807174,0.18175359,0.07678353,0.03416732,0.03826746,0.046949487,0.060004514,0.1354226,0.21192063,0.1591828,0.1546664
Serpine2,0.04825041,0.012190822,0.031976882,0.024856009,0.030212315,0.02508199,0.09148698,0.012195713,0.0017737228,0.057053756,0.020106,0.042382285,0.02512137,0.018856855,0.022705005,0.05376412,0.07739739,0.0
Cul3,1.2508004,1.2632416,1.2412235,1.0648683,1.1308244,1.2125981,1.0256207,1.1574875,1.2208183,1.3731648,1.218037,1.3298312,1.0557923,1.1409365,1.1088324,0.97730917,1.1127049,1.0971184
Dock10,0.78837866,1.0510155,0.9756181,0.8821674,0.90787876,0.9701516,1.3608049,1.3921319,1.2692406,0.70725465,1.0889963,0.9711494,0.8954639,0.7997679,0.91881204,1.0895659,1.1068883,1.2866523
Trip12,0.80483156,0.8229466,0.88022417,0.7425998,0.8399236,0.98328304,0.8716655,0.9915478,1.1566577,0.87807643,0.84901714,0.9138475,0.81069714,0.83119065,0.97108126,0.86549103,0.9622585,1.0062406
Sp110,0.5422159,1.0056533,0.7962418,0.7611997,0.65617466,1.5832756,1.8362051,2.1888933,1.9568119,0.4869336,0.96533465,0.71037483,0.8368349,0.7017427,1.3628174,1.3735586,1.3920996,1.3225884
A630001G21Rik,0.25099015,0.32581243,0.32055494,0.28370896,0.3179799,0.56083006,0.4778495,0.5493142,0.526464,0.2845723,0.3817202,0.29903445,0.3506735,0.3888035,0.593003,0.623967,0.5593244,0.8573912
Gpr55,0.06820079,0.09106261,0.09266246,0.0875446,0.104443334,0.17610087,0.3106024,0.21983428,0.13126975,0.13606912,0.22589424,0.21154204,0.16700885,0.21685359,0.18182996,0.329003,0.31429127,0.06500875
Ncl,16.46889,6.7374473,9.447788,9.047504,7.3907213,7.4801598,5.670036,5.7272987,5.340349,16.834444,7.2641263,9.438806,8.793662,6.748115,7.2840896,5.3933544,5.1780024,5.67201
Pde6d,0.027439628,0.047485612,0.031653088,0.027518911,0.023108933,0.052885145,0.05380345,0.036530543,0.050989706,0.023791503,0.035613712,0.044098817,0.030356027,0.019509815,0.03428312,0.038598344,0.04113519,0.060566343
Usp40,0.030736007,0.021677982,0.021526335,0.015947223,0.022217477,0.02637655,0.08067489,0.04160487,0.042040393,0.046212416,0.031088043,0.0362057,0.029661722,0.025943443,0.05360672,0.07243178,0.06499238,0.15401435
Hjurp,0.49183413,0.9991006,0.67937386,0.59601384,0.3498351,0.31572053,0.20444056,0.16594487,0.17843986,0.46214926,1.0490856,0.73728955,0.6151138,0.39833552,0.23245144,0.26115236,0.20850348,0.14474928
Arl4c,0.047122456,0.10940943,0.09160761,0.06293092,0.10242652,0.16116522,0.10088435,0.1771714,0.22871287,0.016182877,0.056036804,0.051130354,0.056417804,0.045140922,0.02678606,0.043586202,0.06535431,0.07177101
Ilkap,0.5389438,0.4665189,0.48496214,0.50312674,0.46083108,0.31671727,0.47911355,0.37792152,0.36229742,0.48841745,0.4669474,0.49019226,0.50704753,0.45295373,0.37796786,0.40608716,0.44524294,0.6245047
Hdac4,0.09419841,0.120547324,0.11734463,0.09224104,0.083748594,0.15555447,0.1591963,0.18742199,0.14414436,0.094010554,0.10685358,0.10938362,0.0986953,0.07905518,0.12238648,0.124678515,0.12863852,0.15132819
Ndufa10,1.8063574,1.6130029,1.7914199,1.7450484,1.679813,1.4715331,1.3872368,1.3795335,1.5381311,1.7803562,1.384525,1.6637057,1.6005265,1.5125642,1.4222721,1.2580565,1.3776433,1.6770573
Cops9,1.7476614,1.8170246,1.8757925,2.1098046,2.2011538,2.131335,2.16681,2.102722,2.0852284,1.7881762,1.7907759,1.9367735,2.1312816,2.3550868,2.0791848,2.04688,2.419975,2.356546
Mterf4,0.11401365,0.097084425,0.09374308,0.09533357,0.09316642,0.1123629,0.058611732,0.1085662,0.09298151,0.10591341,0.08360301,0.078486435,0.109618425,0.123505674,0.14867495,0.13809223,0.13557479,0.16512106
Pask,0.104753025,0.051695313,0.07843677,0.14267617,0.04955382,0.040091738,0.010992966,0.0023824906,0.0049042464,0.07642399,0.04351986,0.06422944,0.16385314,0.033590138,0.017451683,0.033141915,0.015810981,0.013276992
Hdlbp,1.5391445,0.9729467,1.2638206,1.2671071,1.0693405,0.8200481,0.67479837,0.55705416,0.51850355,1.3980193,0.9155056,1.2133762,1.2123436,0.9619494,0.82504565,0.67778623,0.76617193,0.9700262
Stk25,0.1797133,0.1834267,0.19855306,0.16520774,0.2000762,0.21790901,0.22884038,0.23592183,0.20247515,0.15460506,0.19629027,0.17235829,0.19342153,0.20113087,0.22443695,0.2761403,0.18945186,0.20581414
Thap4,0.10876029,0.06453077,0.07687309,0.08103994,0.078792594,0.087246455,0.049940243,0.0962614,0.09008236,0.1690039,0.08784761,0.110059,0.096196346,0.09984136,0.10708193,0.12091689,0.13345657,0.13331921
Dtymk,1.0705675,0.8609389,0.9561292,1.0461754,0.80678684,0.61550504,0.5312345,0.39007664,0.35597456,1.1732918,0.97322345,0.9177738,1.1183702,0.7875482,0.5597443,0.6888411,0.48049933,0.5678954
Pdcd1,0.38953304,0.24724798,0.36514473,0.38251975,0.29276273,0.3456755,0.5486918,0.15476081,0.107894145,1.3874836,1.0855054,1.1546606,1.2758882,1.0463055,1.1736236,1.6092559,0.9895963,0.9176544
St8sia4,0.15909487,0.27180183,0.20779862,0.18106134,0.2088449,0.2966653,0.18799862,0.3321433,0.29333955,0.10088139,0.2238512,0.17239918,0.13503823,0.16284464,0.1446006,0.16950722,0.18118063,0.04423271
D1Ertd622e,0.41280985,0.47839776,0.46180773,0.5774007,0.5301311,0.30111223,0.57852376,0.46766302,0.7878541,0.46329296,0.43457338,0.4106294,0.55507046,0.49704865,0.2080258,0.40071046,0.4559809,0.5700453
Ppip5k2,0.28897968,0.23043586,0.25633684,0.2638854,0.2543254,0.2810541,0.36033523,0.25335076,0.29435295,0.36331138,0.30092183,0.31289324,0.338817,0.31003287,0.33832744,0.41968226,0.42117447,0.26935685
Pam,0.0030506386,0.0027450712,0.0035421667,0.0021245596,0.00483655,0.004268975,0.0,0.0064119436,0.00028360245,0.0,0.0006106334,0.0,0.0029175368,0.0,0.0001373745,0.0026951786,0.0,0.0
Pign,0.0490577,0.05107205,0.043850366,0.05501013,0.04475276,0.036688834,0.093380354,0.05262056,0.062588036,0.05105793,0.06830797,0.072051026,0.045557607,0.060737003,0.06629523,0.07367552,0.051020388,0.08310375
Bcl2,0.20522934,0.17442249,0.24153225,0.16938427,0.20558903,0.8003871,0.34220043,0.6168367,0.36710232,0.273256,0.32732618,0.25084752,0.37378567,0.27224594,1.0436735,0.95748854,0.6213487,0.844912
