0,1,10,2,3,4,5,6,7,8,9
Itgal,Rpa3,Pa2g4,Id2,Kmt2a,Snrpb,Ggt1,Rad51,Lamp1,Maf,Treml2
Klrk1,Snrpb,Nap1l1,Klrk1,Ikbkb,Chaf1b,Mcm5,Phf5a,Cd28,Nfatc1,Zbtb20
Klf6,Ybx1,Cbx3,Tnfaip3,Ifngr2,Fkbp2,Mcm4,Ruvbl1,Pecam1,Ikzf3,Cxcr4
Sp110,Espl1,Rad51,Fasl,Tcf12,Baz1b,Mcm6,Dnajc2,Tgif1,Kmt2e,Bst2
Il18rap,Ly6e,Phf5a,Bcl11b,Zfp36l1,Tcf19,Pcbd2,Supt16,Pdcd1,Cd44,Fosb
Ifngr1,Supt16,Lgals3,Klrb1c,Pecam1,Chaf1a,Hells,Suz12,Zbtb32,Fkbp1a,Zfp36
Thy1,Trip13,Ssb,Atp1b3,Il4ra,Rbbp4,Polr2j,Smarcc1,Zfp36l1,Il1rl1,Nsd3
Cd37,Rad51,Baz1b,Mxd4,Thra,Actb,Mcm2,Chaf1a,Bst2,Btg1,Hexim1
Il2rg,Lgals3,Tfdp1,Tbx21,Zeb1,Cbx5,Ube2a,Bsg,Nfat5,Fkbp5,Tcf12
Itgb1,Cbx1,Cbx1,Gtf2i,Kmt2c,Tfdp1,Dpy30,Polr2h,Nfkbia,Il10ra,Zeb1
Runx2,Ly6a,Hdac1,Fcgr2b,Smarca2,E2f1,Phf5a,Rpa3,Max,Zbtb38,Irf7
Klrc1,Nfyb,Smarcc1,Thy1,Pdlim1,E2f8,Havcr2,Cbx3,Il1rl1,Zbtb32,Foxo1
Klrc2,Mcm5,Trip13,Adgre5,Hdac4,Rfc1,Gtf2f1,Cbx5,Tcf12,Irf2,Klf13
Pbxip1,Cbfb,Hat1,Kdm7a,Chd6,Rbbp7,Supt16,Hmgb2,Eif2ak2,Tnfrsf18,Myc
Vsir,Nono,Edf1,Rara,Zkscan3,Suz12,Tnfrsf9,Dek,Tnfrsf25,Klrc1,Scml4
Cd226,Ifngr1,Suz12,Cd37,Top2b,Smarca5,Actl6a,Gtf3a,Btla,Pou2f2,Zbtb10
Fasl,Mcm7,Uhrf1,Ikzf3,Bptf,Sub1,Rpa3,Polr3k,Tox2,Alcam,Tnfsf8
Cnot6l,Suz12,Med30,Chd7,Pcgf5,Phf5a,Dnajc2,Mybbp1a,Irf7,Sin3b,Cebpb
Elf1,Atad2,Kmt5a,Vsir,Cd27,Pa2g4,Xbp1,Ssb,Cnot6l,Tulp4,Pcgf5
Itga1,Ube2a,Hnrnpd,Itgam,Asxl2,Mybl2,Batf,Eif5b,Churc1,Klrb1c,Maff
Icos,Cenpk,Hmgb3,Foxn3,Aff3,Wdhd1,Mcm7,Dnmt1,Dpp4,Tnfrsf13b,Kmt2c
Gtf2i,Rbl1,Atad2,Il18r1,Sox4,Supt16,Yeats4,Mybl2,Tnfrsf4,Stat1,Fosl2
Cd69,Pbrm1,Rbbp4,Nr4a1,Tlr1,Polr2f,Bin1,Hdac2,Cd200,Irf7,Atf4
Slc3a2,Nsd2,Ddb1,Itgax,Klf7,Fkbp1a,Cbx1,Tcerg1,Trbc1,Cd80,Cd55
Cd44,Hdac1,Gtf2f1,Kdm6b,Nsd3,Brca1,Ctbp1,Polr2e,Cxcr4,Vax2,Il21r
Stat4,Hnrnpd,Dnajc2,Il17ra,Smad1,Actl6a,Gtf3a,Hnrnpk,Ccr6,Sema4d,Ythdc1
Adgre5,Pcbd2,Mxd3,Arntl,Setd7,Timeless,Ddb1,Kmt5a,Cd5,Setbp1,Nt5e
Igkc,Ilf2,Actl6a,Nfkbia,Cd55,Fkbp5,Tnfrsf13c,E2f8,Nfkb1,Entpd1,Izumo1r
Cd96,Maz,Ctcf,Irf2,Zfp281,Cbx1,Snapc5,Trim28,Cd72,Baz1a,Jmy
Klf13,Polr2a,Mcm2,Klf6,Ash1l,Rnps1,Cbfb,Cbx1,Gadd45b,Mlxip,Kdm6b
Zfp36,Smarcc1,Ube2a,Sp110,Rai1,Ssb,Timeless,Ddb1,Cd83,Tsc22d3,Nr4a1
Kdm7a,Dpy30,Runx3,Nfic,Kdm5b,Psip1,Cxcr3,Tardbp,Pbxip1,Sema7a,Ifngr2
Rbl2,Brip1,Parp1,Pogk,Smad7,Dnajc2,Polr2c,Atad2,Rnf19a,Rbpj,Il6st
Nfkbia,Pcmt1,Prmt1,Phf20l1,Cd7,Ubtf,Cops5,Trip13,Jaml,Nfkbiz,Hdac4
Smad7,Ssb,Fkbp5,Dennd4a,Cd72,Gtf3a,Ctla4,Nsd2,Plxnc1,Adam8,Irf1
Igf2r,Sap30,Polr3k,Tsc22d3,Igf1r,Smarcc1,Nfkbib,Hmgb3,Ar,Nab1,Klf3
Ctla4,E2f8,Baz1a,Nfatc3,Cux1,Brip1,Ccr5,Znhit3,Mllt3,Cd38,Kdm7a
Zfp36l1,Hat1,Polr2f,Slamf7,Nfix,Bsg,Chaf1b,Rfc1,Tle3,Jaml,Skil
Cd6,E2f2,Chaf1b,Baz2a,Zfp1,Pnn,E2f4,Rbbp4,Polr2h,Tnfrsf1b,Matr3
Mxd4,Brd9,Gtf3a,Stat4,Nrip1,Polr2j,Polr2d,Baz1b,Stat5a,Irf9,Cd7
Mxd1,Wbp11,Sfpq,Phf1,Ctsl,Hdgf,Rae1,Ruvbl2,Klf4,Hivep3,Klf9
Irf7,Hnrnpul1,Chaf1a,Zfhx2,Myc,Bard1,Uhrf1,Apex1,Nfkb2,Itga1,Ighm
Irf1,Myef2,Cenpk,Smad4,Insr,Baz1a,Cd9,Cenpk,Cxcr5,Trps1,Arid4b
Il7r,Fhl2,Nono,Mef2a,Atf7ip,Paxip1,Gadd45b,Tcof1,Etv6,Slamf1,Rere
Nfkbiz,Suv39h1,Polr2c,Cd6,Rere,Brca2,Cxcr6,Cops5,Cd22,Cd86,Jmjd1c
Egr1,Bard1,Hells,Cd84,Maml3,Hdac1,Orc1,Rnps1,Hivep3,Ighm,Kdm5b
Cd86,Ttf2,Polr2k,Itga1,Rreb1,Polr2k,Gatad1,Chaf1b,Hivep2,Atf6,S1pr1
Zfp292,Taf15,Nsd2,Elf4,Rarg,Phb2,Smarcb1,Nono,Mxd4,Tbx21,Zfp292
Mef2d,Aip,Zbtb32,Nr1d2,Tcf20,Maz,Fkbp5,Mbd3,Myc,Lamp2,Mxd1
Trip4,Hnrnpr,Polr2j,Adam17,Zfp644,Aurkb,Il2ra,Hmmr,Jdp2,Sla2,Ikbkb
Cd84,Il2rb,Foxm1,Ctnnbip1,Tet3,Nono,Zdhhc2,Fkbp1a,Elk4,Mxd1,Aff3
Arntl,Psip1,Espl1,Cry1,Bbx,E2f2,Tdg,Actl6a,Myb,Igkc,Pdlim1
Zfhx2,Baz1a,Khdrbs1,,Cbx7,Taf15,Taf13,Fkbp5,Per1,Eif2ak2,
Hbp1,Baz1b,Eif5b,,Mybbp1a,Ube2a,Chaf1a,Fkbp2,Relb,Med13,
Tnfrsf18,Polr2c,Tcerg1,,Il21r,Zdhhc2,Sema7a,Polr2c,Nfatc1,Dnmt3a,
Pou6f1,Polr2j,Thrap3,,Hdac7,Trip13,Prdm1,E2f4,Izumo1r,Jarid2,
Pou2f2,Hcfc1,Ggt1,,Trp53,Kmt5a,Parp2,Wdhd1,Rest,Pogk,
Tnfrsf25,Taf12,Rnps1,,Dtx1,Hmgb3,Zdhhc7,Polr2j,Ascc1,Ankra2,
Nr4a2,Kntc1,Sap18,,Atf7,Parp1,Plrg1,Zbtb32,Cd274,Itgav,
Maf1,Gtf2f1,Bard1,,Eng,Mxd3,Rbm14,Sfpq,Mafk,Zfhx2,
Kdm5b,Rbm15,E2f2,,Smad4,Zranb2,Mtf1,Pnn,Tnfsf11,Adam10,
Nr4a1,Yeats4,Cops5,,Tet1,Znhit3,Tnfsf9,Ubtf,Pdcd1lg2,Lilrb4a,
Kdm6b,Hif1a,Mybl2,,Art4,Tcerg1,Creb3l1,Baz1a,Cd7,Klra3,
Rara,Ehmt2,Rae1,,Tnfsf8,E2f3,Trip13,Khdrbs1,Atad2b,Stat2,
Kmt5b,Actl6a,Phb2,,Fos,Ggt1,Mycbp,Tnfrsf9,Fubp3,Htatip2,
Nr4a3,Ctbp1,Taf12,,Phf1,Cbfb,Cd24a,Rbm14,Kdm2b,Prdm1,
Lilrb4a,Rnps1,Sf1,,Crebl2,Tnfrsf9,Cd244a,Sf1,Il3ra,Dido1,
Btbd11,Zdhhc2,E2f8,,Cd84,Hdac2,Irf4,Trim27,Rbpj,Nrp1,
Fcgr2b,Tfdp1,Wbp11,,Kdm7a,Pcbd2,Cd79b,Gtf2e2,Lamp2,Nr2c2,
,Uhrf1,Nfyb,,Patz1,Taf12,Csrp2,Batf,Zmynd8,Mxd4,
,Asxl1,Tnfrsf9,,,Havcr2,Arid3a,Maz,Fosb,Pecam1,
,Ing1,Ilf2,,,Rbm14,Itgam,Il2ra,Kdm5b,Arid5b,
,Tcf19,Smarce1,,,Eed,Gtf2h3,Gatad1,Trim25,,
,Polr2k,Havcr2,,,Fmr1,Ifitm1,Wbp11,Foxp4,,
,Znrd1,Tardbp,,,Trim27,Phf13,Zfpm1,Cd320,,
,Polr3k,Brip1,,,Polr3k,Mbd4,Brca1,Phc2,,
,Zbtb32,Mta2,,,Pcmt1,Adam8,Hdac1,Xrcc5,,
,Taf5,Rfc1,,,Sfmbt1,Lztr1,Tcf19,Pbx4,,
,Zfp207,Polr2a,,,Orc1,Asb1,Papola,Epcam,,
,Smarca4,Cdc5l,,,Cebpg,Prdm4,Smarca4,Zfp62,,
,Atf1,Pcmt1,,,Polr2h,Blzf1,Eed,Ankrd55,,
,Ctla4,Polr2b,,,Trim28,Epas1,Zranb2,Tnfrsf1b,,
,Ggt1,Smarca4,,,Hnrnpul1,Klf11,Srrm1,Tnfrsf13b,,
,Slamf7,E2f4,,,Mta2,Il3ra,Mycbp,Zfp296,,
,Batf,Polr2h,,,Csrp2,Tnf,E2f1,Arid5b,,
,Pa2g4,Timeless,,,Fhl2,Coil,Timeless,Bcl6,,
,Brca1,Polr2d,,,Zbtb32,,Trp53,Ahr,,
,Rbmx,Brd8,,,Ctla4,,Wdr5,Tcf4,,
,Nab1,Yeats4,,,Ilf2,,Gtf2f1,Pou6f1,,
,Mcm3,Toe1,,,Rbl1,,Polr2d,Tlr1,,
,Trim28,Gtf2e2,,,Gtf2f2,,Smyd2,Pou2af1,,
,Med4,Tial1,,,Mbd4,,Prmt5,Nfkbil1,,
,Brca2,Smarcb1,,,Mcm8,,Psip1,Daxx,,
,Pttg1,Sap30,,,Tsg101,,Polr2b,Fas,,
,Zfpm1,Ctbp1,,,Suv39h1,,Tfrc,Zfp560,,
,Mcm6,Hcfc1,,,Prmt5,,Bop1,Alcam,,
,Chaf1a,Suv39h1,,,Suv39h2,,Ube2e1,Nt5e,,
,Sla2,Znhit3,,,Tardbp,,Hax1,Ncoa1,,
,Gata3,Gtf2f2,,,Kntc1,,Brca2,Cd68,,
,Lag3,Rbm14,,,Htatsf1,,Rae1,Tnfsf14,,
,Klrc1,Zdhhc2,,,Apex1,,Htatsf1,Calcoco1,,
,Tcerg1,Trim27,,,Mycbp,,Tial1,Zbtb17,,
,Cxcr3,Hif1a,,,Prdm1,,Orc1,Rnf2,,
,Sp1,Parp2,,,Tfrc,,Thrap3,,,
,Hdac3,Med21,,,Pdcd1,,Ilf2,,,
,Suv39h2,Tcof1,,,Smarcb1,,Xrcc6,,,
,Med21,Snd1,,,Taf1,,Cnot6,,,
,Taf1,Tcf3,,,Toe1,,Tcea1,,,
,Med8,Cnot6,,,Zfpm1,,Smarcb1,,,
,Safb,Xbp1,,,Ivns1abp,,Gtf2f2,,,
,Mlx,Ruvbl2,,,Lair1,,Zfp593,,,
,Iws1,Gatad1,,,Msl3,,Sap30,,,
,Cxcr4,Cxcr3,,,Polr2d,,Mphosph8,,,
,Tnfrsf9,Ruvbl1,,,Gatad1,,Tdg,,,
,Smarcb1,Zfpm1,,,Sap30,,Hcfc1,,,
,Nfyc,Htatsf1,,,Irf8,,Sap18,,,
,Polr2b,Paxip1,,,Il2ra,,Parp2,,,
,Tsg101,Eed,,,Smarcad1,,Ash2l,,,
,Rb1,Taf11,,,Rbm15,,Mcm8,,,
,Mybl2,Ubtf,,,Gadd45b,,Polr2k,,,
,Havcr2,Fhl2,,,Jade1,,Suv39h1,,,
,E2f4,Kntc1,,,Wdr5,,Taf12,,,
,Tial1,Trim28,,,Foxm1,,Carm1,,,
,Mllt3,Pcbd2,,,Ctnnbip1,,Polr2i,,,
,Gtf2e2,Il2ra,,,Rb1,,Smarce1,,,
,Gtf2a1,Nfyc,,,E2f6,,Polr3h,,,
,Fmr1,Tcf19,,,Ruvbl1,,Il2rb,,,
,Taf6,Prdm1,,,Hsf2,,Gtf2h4,,,
,Sp4,Cbfb,,,Gtf2e2,,Hnrnpr,,,
,Kat7,Brd9,,,Foxk2,,Cops2,,,
,Zfp41,Rbl1,,,Phf10,,Taf11,,,
,Hltf,Taf1,,,Parp2,,Med30,,,
,Irf8,Brca1,,,Xrcc6,,Zfp207,,,
,Cd44,Med4,,,Nfx1,,Bola1,,,
,Pdcd1,Taf15,,,Polr3h,,Hmga1,,,
,Yaf2,Hdac2,,,Taf6,,Cebpz,,,
,Smarcc2,Taf5,,,Bola1,,E2f3,,,
,Sin3a,Safb,,,Lmo4,,Med21,,,
,Kat5,Ssbp3,,,Prmt3,,Ssbp3,,,
,Gabpb1,Fmr1,,,Myb,,Paxip1,,,
,Ilf3,Brca2,,,Tdg,,Atf1,,,
,Myb,Xrcc5,,,Ing5,,Csrp2,,,
,Nfya,Hdac3,,,Hmga1,,Bard1,,,
,Sp2,Cops2,,,Sin3a,,Prmt7,,,
,Zbtb45,Csrp2,,,Plrg1,,Kntc1,,,
,Mtf2,Irf4,,,Phf19,,Ivns1abp,,,
,Tarbp2,Epas1,,,Smyd2,,Hif1a,,,
,Ruvbl2,Wdr5,,,Brpf1,,Fmr1,,,
,Med31,Smarcd2,,,Taf5,,Cdc5l,,,
,Plrg1,Myb,,,Zdhhc16,,Suv39h2,,,
,Alcam,Orc1,,,Jdp2,,Nap1l4,,,
,Pias4,Mycbp,,,Tshz1,,Cbfb,,,
,Csrp2,Upf1,,,Gtf3c5,,Xrcc5,,,
,Preb,Hax1,,,Ttf2,,Hdac3,,,
,H1f0,Xrcc6,,,Taf6l,,Phf10,,,
,Chaf1b,Iws1,,,Fbxo7,,Myb,,,
,Phf6,Dhx38,,,Klf11,,Pwp1,,,
,Zfp143,Tdg,,,Klf16,,Igsf8,,,
,Tdg,Wdhd1,,,Igsf8,,Ctnnb1,,,
,Paxip1,Mcm8,,,Pms1,,Brip1,,,
,Parp2,Bop1,,,Itgam,,Prdm1,,,
,Gmeb1,Asxl1,,,Klf10,,Pcgf6,,,
,Tox,Rbm15,,,Cd24a,,Prmt3,,,
,Hmg20b,Ehmt2,,,Epcam,,Cd24a,,,
,Wdr5,E2f1,,,Ddx20,,Pdcd11,,,
,Toe1,Tnfrsf13c,,,Arid3a,,Srf,,,
,Msl3,Gtf2h4,,,Phf13,,Gtf2h2,,,
,Timeless,Smarcc2,,,Mllt1,,Aatf,,,
,Ddx20,Taf6,,,Espl1,,E2f2,,,
,Phf19,Preb,,,Smyd4,,Toe1,,,
,Taf1b,Plrg1,,,Carm1,,Batf3,,,
,Mybl1,Prmt5,,,Tnf,,Kat2a,,,
,Il3ra,Suv39h2,,,Nme2,,E2f6,,,
,L3mbtl2,Sin3a,,,Tnfsf9,,Plrg1,,,
,Irf4,Hmg20b,,,Epas1,,Snd1,,,
,Rbm14,Phf10,,,Utf1,,Zdhhc2,,,
,Il12rb1,Ddx20,,,,,Upf1,,,
,Zfp384,Med14,,,,,Polr1e,,,
,Zbtb22,Rbmx,,,,,Havcr2,,,
,Ctnnbip1,Med31,,,,,Dhx38,,,
,Zfp707,Igsf8,,,,,Jade1,,,
,Pou2f1,Ttf2,,,,,Cd320,,,
,Slamf1,H1f0,,,,,Mbd4,,,
,Ints12,Ctr9,,,,,Gtf2h1,,,
,Klf11,Gtf3c1,,,,,Msl3,,,
,Hist1h2bp,Srf,,,,,Rfxap,,,
,Mbd4,Hira,,,,,Gabpa,,,
,Ddb2,Adam17,,,,,Tarbp2,,,
,Atr,Zbtb45,,,,,Zdhhc16,,,
,Mcm8,Hmga1,,,,,Lgals3,,,
,Gmeb2,Polr3h,,,,,Setd3,,,
,Nab2,Tfrc,,,,,Gtf2h3,,,
,Bcl3,Elp4,,,,,Hira,,,
,Ptprj,L3mbtl2,,,,,Mtf2,,,
,Med16,Sap30bp,,,,,Jmjd6,,,
,Taf6l,Bola1,,,,,Xbp1,,,
,Zfp825,Gabpb1,,,,,Nfyc,,,
,E2f3,E2f3,,,,,Foxk2,,,
,Asb1,Med17,,,,,Hsf2,,,
,Jazf1,Cd24a,,,,,Ilf3,,,
,Vax2,Tnfsf9,,,,,Med4,,,
,Sema7a,Klf11,,,,,Cxcr4,,,
,Rnf141,Irf8,,,,,Cebpb,,,
,Zfp382,Men1,,,,,Aurkb,,,
,Srf,Kat5,,,,,Ddx20,,,
,Cd68,Mbd4,,,,,Espl1,,,
,Pias3,Gtf3c5,,,,,Smyd5,,,
,Sirt6,Med16,,,,,Klf16,,,
,Kdm8,Sirt1,,,,,Ecd,,,
,Ikzf2,Zdhhc16,,,,,Ttf2,,,
,Kmt5c,Polr1e,,,,,Zdhhc6,,,
,Pygo2,Mllt1,,,,,Cebpg,,,
,Maf,Dmap1,,,,,Creg1,,,
,L1cam,Prmt7,,,,,Med17,,,
,Gtf3c5,Sema7a,,,,,Epas1,,,
,Pbx3,Tbp,,,,,Foxm1,,,
,Entpd1,Rexo4,,,,,Irf4,,,
,Hsf4,Nme2,,,,,Taf5,,,
,Ifitm1,Hdac5,,,,,Ahctf1,,,
,Phc1,Foxk2,,,,,Nme2,,,
,Zscan21,Med27,,,,,Men1,,,
,,Taf6l,,,,,Tle1,,,
,,Lztr1,,,,,Taf6l,,,
,,Coil,,,,,Tnfrsf4,,,
,,Ankrd55,,,,,Elp4,,,
,,Creb3l1,,,,,L3mbtl2,,,
,,Smyd2,,,,,Mxd3,,,
,,Tnf,,,,,Jdp2,,,
,,Phf19,,,,,Smarcd1,,,
,,Cbfa2t3,,,,,Ankrd49,,,
,,Xrcc3,,,,,Phf19,,,
,,Cd79b,,,,,Myc,,,
,,Ifitm1,,,,,Cd160,,,
,,Clec12a,,,,,Gtf2e1,,,
,,,,,,,Tnfsf9,,,
,,,,,,,Sfmbt1,,,
,,,,,,,Gabpb1,,,
,,,,,,,Zfp280b,,,
,,,,,,,Patz1,,,
,,,,,,,Thap7,,,
,,,,,,,Taf5l,,,
,,,,,,,Sirt1,,,
,,,,,,,Coil,,,
,,,,,,,Tnfrsf8,,,
,,,,,,,Sin3a,,,
,,,,,,,Gtf3c5,,,
,,,,,,,Zfp422,,,
,,,,,,,Xrcc3,,,
,,,,,,,Taf6,,,
,,,,,,,Tnfrsf13c,,,
,,,,,,,Dmap1,,,
,,,,,,,Cbfa2t3,,,
,,,,,,,Cd81,,,
,,,,,,,Sema7a,,,
,,,,,,,Bmi1,,,
,,,,,,,Setdb1,,,
,,,,,,,Nkrf,,,
,,,,,,,Tnf,,,
,,,,,,,Gtf2ird1,,,
,,,,,,,Lepr,,,
,,,,,,,Irf8,,,
,,,,,,,Tbp,,,
,,,,,,,Ascc2,,,
,,,,,,,Cbx6,,,
,,,,,,,Klf4,,,
,,,,,,,Prmt6,,,
,,,,,,,Epcam,,,
,,,,,,,Polr3d,,,
,,,,,,,Lmo4,,,
,,,,,,,Pms1,,,
,,,,,,,Cbx2,,,
,,,,,,,Utf1,,,
,,,,,,,Elp3,,,
,,,,,,,Clec12a,,,
,,,,,,,Jmjd8,,,
,,,,,,,Fubp3,,,
,,,,,,,Eaf1,,,
,,,,,,,Hes1,,,
,,,,,,,Gtf3c4,,,
,,,,,,,Pawr,,,
,,,,,,,Tnfrsf21,,,
,,,,,,,Eomes,,,
,,,,,,,Trp53bp1,,,
,,,,,,,Zfp239,,,
,,,,,,,Ncoa5,,,
,,,,,,,Abcg2,,,
,,,,,,,Arid3a,,,
,,,,,,,Pias2,,,
,,,,,,,Cd22,,,
,,,,,,,Pdcd1lg2,,,
,,,,,,,Hmgn3,,,
,,,,,,,Prmt2,,,
,,,,,,,Hic1,,,
,,,,,,,Csf2ra,,,
,,,,,,,Creb3l1,,,
,,,,,,,Ets2,,,
,,,,,,,Hdac6,,,
,,,,,,,Pygo2,,,
