P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Itgae,Treml2,Hat1,Lgals3,Tfdp1,Rad51,,Pecam1,Cd80,Cd86,Mxd4
Pura,Zbtb20,Mcm6,Nfyb,Smarcc1,Cenpk,,Tgif1,Vax2,Arntl,Tbx21
Ikbkb,Cxcr4,Parp1,Mcm5,Trip13,Rpa3,,Pdcd1,Setbp1,Zfhx2,Fcgr2b
Ifngr2,Fosb,Rad51,Mcm7,Hat1,Nsd2,,Nfat5,Entpd1,Pou6f1,Kdm7a
Tcf12,Hexim1,Ruvbl1,Cenpk,Uhrf1,Chaf1b,,Il1rl1,Mlxip,Tnfrsf25,Rara
Pecam1,Zeb1,Dnajc2,Rbl1,Hmgb3,Fkbp2,,Eif2ak2,Sema7a,Lilrb4a,Itgam
Il4ra,Myc,Supt16,Nsd2,Mxd3,Baz1b,,Tnfrsf25,Adam8,Btbd11,Arntl
Thra,Scml4,Suz12,Brip1,Chaf1b,Tcf19,,Btla,Cd38,Fcgr2b,Nfic
Zeb1,Zbtb10,Smarcc1,Sap30,Chaf1a,Chaf1a,,Tox2,Hivep3,,Pogk
Kmt2c,Tnfsf8,Chaf1a,E2f8,Cenpk,Cbx5,,Tnfrsf4,Itga1,,Phf1
Smarca2,Cebpb,Polr2h,E2f2,Hells,Tfdp1,,Cd200,Cd86,,Zfhx2
Hdac4,Pcgf5,Rpa3,Myef2,Foxm1,E2f1,,Cxcr4,Lilrb4a,,Nr1d2
Chd6,Maff,Cbx5,Fhl2,Espl1,E2f8,,Ccr6,Klra3,,
Zkscan3,Fosl2,Hmgb2,Suv39h1,Ggt1,Rfc1,,Cd72,Stat2,,
Pcgf5,Cd55,Gtf3a,Bard1,Bard1,Suz12,,Cd83,,,
Aff3,Nt5e,Polr3k,Ttf2,Mybl2,Mybl2,,Plxnc1,,,
Sox4,Izumo1r,Mybbp1a,Kntc1,E2f8,Wdhd1,,Ar,,,
Tlr1,Jmy,Dnmt1,Rbm15,Tnfrsf9,Brca1,,Klf4,,,
Klf7,Ifngr2,Mybl2,Tcf19,Brip1,Timeless,,Cxcr5,,,
Smad1,Il6st,Hdac2,Taf5,Timeless,Fkbp5,,Cd22,,,
Setd7,Hdac4,Tcerg1,Brca1,Suv39h1,Brip1,,Hivep3,,,
Cd55,Klf9,Kmt5a,Brca2,Kntc1,Bard1,,Jdp2,,,
Zfp281,Rere,E2f8,Suv39h2,Il2ra,Paxip1,,Izumo1r,,,
Rai1,Kdm5b,Trim28,Zfp41,Brca1,Brca2,,Tnfsf11,,,
Kdm5b,Aff3,Ddb1,Phf19,Brca2,Aurkb,,Pdcd1lg2,,,
Cd72,,Atad2,Mybl1,Csrp2,Zdhhc2,,Fubp3,,,
Igf1r,,Trip13,Hist1h2bp,Epas1,Trip13,,Cd320,,,
Cux1,,Nsd2,Jazf1,Orc1,Mxd3,,Pbx4,,,
Nfix,,Hmgb3,Vax2,Mcm8,E2f3,,Epcam,,,
Zfp1,,Znhit3,Kdm8,Tnfrsf13c,Ggt1,,Ankrd55,,,
Ctsl,,Rfc1,Ifitm1,Suv39h2,Tnfrsf9,,Zfp296,,,
Myc,,Ruvbl2,,Cd24a,Rbm14,,Bcl6,,,
Insr,,Apex1,,Cbfa2t3,Sfmbt1,,Ahr,,,
Rere,,Cenpk,,Xrcc3,Orc1,,Tcf4,,,
Maml3,,Chaf1b,,Ifitm1,Csrp2,,Pou6f1,,,
Rreb1,,Hmmr,,Clec12a,Mbd4,,Tlr1,,,
Rarg,,Fkbp5,,,Mcm8,,Pou2af1,,,
Cbx7,,Wdhd1,,,Suv39h2,,Nt5e,,,
Atf7,,Zbtb32,,,Kntc1,,Calcoco1,,,
Eng,,Tnfrsf9,,,E2f6,,,,,
Tet1,,Rbm14,,,Hsf2,,,,,
Art4,,Gtf2e2,,,Phf19,,,,,
Tnfsf8,,Il2ra,,,Epcam,,,,,
Crebl2,,Zfpm1,,,,,,,,
,,Brca1,,,,,,,,
,,Tcf19,,,,,,,,
,,Mycbp,,,,,,,,
,,E2f1,,,,,,,,
,,Timeless,,,,,,,,
,,Wdr5,,,,,,,,
,,Smyd2,,,,,,,,
,,Prmt5,,,,,,,,
,,Tfrc,,,,,,,,
,,Bop1,,,,,,,,
,,Hax1,,,,,,,,
,,Brca2,,,,,,,,
,,Orc1,,,,,,,,
,,Xrcc6,,,,,,,,
,,Sap30,,,,,,,,
,,Mcm8,,,,,,,,
,,Suv39h1,,,,,,,,
,,Carm1,,,,,,,,
,,Polr3h,,,,,,,,
,,Gtf2h4,,,,,,,,
,,Hmga1,,,,,,,,
,,E2f3,,,,,,,,
,,Csrp2,,,,,,,,
,,Bard1,,,,,,,,
,,Prmt7,,,,,,,,
,,Kntc1,,,,,,,,
,,Suv39h2,,,,,,,,
,,Phf10,,,,,,,,
,,Igsf8,,,,,,,,
,,Brip1,,,,,,,,
,,Pcgf6,,,,,,,,
,,Cd24a,,,,,,,,
,,Srf,,,,,,,,
,,Batf3,,,,,,,,
,,Kat2a,,,,,,,,
,,E2f6,,,,,,,,
,,Cd320,,,,,,,,
,,Mbd4,,,,,,,,
,,Hsf2,,,,,,,,
,,Smyd5,,,,,,,,
,,Nme2,,,,,,,,
,,Tle1,,,,,,,,
,,Taf6l,,,,,,,,
,,Tnfrsf4,,,,,,,,
,,Phf19,,,,,,,,
,,Zfp280b,,,,,,,,
,,Tnfrsf8,,,,,,,,
,,Xrcc3,,,,,,,,
,,Cbfa2t3,,,,,,,,
,,Cd81,,,,,,,,
,,Gtf2ird1,,,,,,,,
,,Lepr,,,,,,,,
,,Epcam,,,,,,,,
,,Cbx2,,,,,,,,
,,Utf1,,,,,,,,
,,Clec12a,,,,,,,,
,,Jmjd8,,,,,,,,
,,Hes1,,,,,,,,
,,Pawr,,,,,,,,
,,Tnfrsf21,,,,,,,,
,,Zfp239,,,,,,,,
,,Abcg2,,,,,,,,
,,Cd22,,,,,,,,
,,Hmgn3,,,,,,,,
,,Csf2ra,,,,,,,,
