gene_name,P2_Arm,P3_Arm,P4_Arm,P5_Arm,P6_Arm,P7_Arm,P8_Arm,P9_Arm,P10_Arm,P2_Cl13,P3_Cl13,P4_Cl13,P5_Cl13,P6_Cl13,P7_Cl13,P8_Cl13,P9_Cl13,P10_Cl13
Eloc,0.20421632,0.18261482,0.19164646,0.18556614,0.18199319,0.09978832,0.07977339,0.0947692,0.1369505,0.15645486,0.1829741,0.21063103,0.15454637,0.1634197,0.13880557,0.107992716,0.18245143,0.1477057
Mcm3,0.40691218,0.2752022,0.33288723,0.43932357,0.35163385,0.10982988,0.07089108,0.0542097,0.04763253,0.3628622,0.23888022,0.26813105,0.39240947,0.24815735,0.09935829,0.1338527,0.066476405,0.11701088
Tram2,0.044226505,0.03985251,0.038850598,0.052897297,0.04535702,0.058747575,0.057383496,0.0510594,0.088224456,0.09221166,0.036937106,0.04699804,0.04650806,0.07228045,0.044927638,0.09043403,0.077074535,0.09911999
Kcnq5,4.8077245,1.6252191,2.7811673,4.7257504,1.6841851,1.9328767,1.43389,0.55774987,0.6221913,5.465491,2.1970656,2.8980284,5.1696033,1.6510189,2.7987177,3.2188814,1.4889767,2.453035
Ogfrl1,0.021337569,0.016247123,0.014833168,0.023748375,0.016956493,0.0035430829,0.0072004637,0.005803109,0.0048714075,0.0233102,0.0051472853,0.0050924723,0.0046567353,0.0049137413,0.008312886,0.0053080893,0.0010730139,0.0
Smap1,0.52034813,0.6245721,0.5617961,0.5379711,0.61315686,0.68528616,0.9718103,0.91945094,0.9034392,0.5008732,0.6068337,0.6202976,0.5792956,0.6654814,0.71956354,0.75728446,0.71352893,0.7427684
Sdhaf4,0.024584044,0.013391291,0.014971339,0.017909754,0.015018925,0.0037841988,0.0,0.0038845658,0.010377187,0.017453302,0.016710775,0.015911287,0.011727017,0.020367585,0.022930669,0.0066170176,0.015221632,0.0
Phf3,0.76723725,0.60488003,0.6907407,0.67535996,0.8424129,0.7719387,0.8604782,0.85715073,0.8534002,0.7242321,0.65508986,0.689622,0.7496228,0.9105119,0.928164,0.6643038,0.8571939,0.73648465
Prim2,2.0390308,0.80208796,1.1488568,1.9434277,1.4510677,0.5962171,0.3885918,0.25650677,0.23229183,1.8277273,0.6857583,0.72381204,1.5925707,1.042943,0.47256404,0.6406014,0.2729395,0.19963434
Bag2,0.027875463,0.014186205,0.019633643,0.03506463,0.027335113,0.0063844332,0.004806889,0.0020660502,0.012990372,0.017259942,0.012259142,0.018748172,0.018525906,0.021945514,0.020139817,0.011499633,0.05004501,0.0
Zfp451,0.2647494,0.1425281,0.19271974,0.19818987,0.17456055,0.13977857,0.08481262,0.12482325,0.17360936,0.28183872,0.19115889,0.2149453,0.21873115,0.16521843,0.16994162,0.14217845,0.15352151,0.14754765
Fam168b,0.66462696,0.73820096,0.75353694,0.7196925,0.75442547,0.88459945,0.8032184,0.79861635,0.78881466,0.68720084,0.7851999,0.7459239,0.80268043,0.7759896,0.7733905,0.5273843,0.66773975,0.4016227
Uggt1,0.9395793,0.915723,0.91916496,1.0209737,1.0057603,0.82099515,0.7680555,0.8516874,0.83150023,0.9448688,0.77682453,0.94082403,0.922942,0.999008,0.67948484,0.65573716,0.7371878,0.6142272
Neurl3,0.14424534,0.1611126,0.21126935,0.17426185,0.21986584,0.31662413,0.4521064,0.46796265,0.27115235,0.06981087,0.16952854,0.15961504,0.14114343,0.24311267,0.20365347,0.25777063,0.296914,0.20963454
Kansl3,0.25721017,0.14446968,0.19611819,0.22722691,0.17999701,0.16302659,0.27845275,0.1929906,0.21199845,0.3044982,0.18794239,0.20346746,0.23988016,0.23307392,0.27631858,0.16028723,0.22281298,0.1040439
Actr1b,0.035310596,0.07591365,0.053367533,0.056836437,0.047728598,0.059787266,0.058278162,0.05064822,0.0501826,0.032704487,0.053474773,0.062994525,0.06830008,0.06174504,0.060283467,0.06745513,0.04392272,0.043682467
Tmem131,0.5861219,0.4653644,0.54770005,0.5159458,0.5658942,0.6577457,0.5919684,0.6298171,0.7045604,0.48227087,0.46240526,0.46183133,0.44618002,0.478257,0.58849585,0.6963962,0.6341785,0.8182938
Coa5,0.0020024567,0.0018090797,0.0020604616,0.0032404235,0.0037501194,0.002730513,0.008066405,0.0026151326,0.0035501232,0.0,0.0023679554,0.0,0.0,0.0045464514,0.0038385193,0.00072111277,0.0076706647,0.0
Mgat4a,0.14081088,0.21699353,0.20885077,0.1735596,0.21506503,0.11666815,0.19695407,0.20762876,0.2164093,0.100615524,0.12803108,0.06980699,0.08604665,0.095217876,0.06326338,0.1472071,0.0803671,0.11194894
Tsga10,0.0220208,0.027603306,0.026290024,0.015759027,0.028865928,0.022231378,0.039139457,0.028174326,0.094381385,0.024938313,0.033226714,0.026856912,0.011056654,0.026473684,0.01552192,0.043068018,0.051236566,0.03605854
Mitd1,0.45266563,0.4216595,0.44547522,0.38621327,0.4689681,0.31640425,0.28577846,0.29281607,0.19887884,0.50215,0.4369574,0.43498048,0.47509184,0.54249674,0.5281571,0.6006035,0.40658084,0.47544414
Txndc9,0.027512236,0.03760807,0.038988873,0.025942551,0.02780933,0.019069009,0.0037772995,0.028261783,0.024377834,0.03413064,0.031729333,0.04654409,0.032929376,0.025952112,0.029776676,0.013739835,0.0123999445,0.01723267
Rev1,1.1093348,0.17651792,0.3903855,0.57031673,0.4722996,0.31965908,0.142322,0.18775718,0.26790437,0.92934066,0.19149256,0.28618392,0.39790505,0.354676,0.2825086,0.2253578,0.19222489,0.12878527
Aff3,0.9959112,0.8044088,1.2408082,0.67097026,0.5477198,9.580217,0.76535803,2.278598,0.41528285,1.5193132,2.1900787,1.0034548,1.4180334,0.98572433,11.184347,0.59632474,1.2613964,1.5469608
Rnf149,0.27386177,0.1483756,0.22525895,0.16340545,0.19351628,0.16900072,0.16914912,0.11722613,0.13829324,0.20294484,0.18601272,0.20528215,0.18064636,0.25165513,0.2025598,0.15392247,0.16259676,0.40707934
Tgfbrap1,0.048660204,0.035094798,0.05550137,0.041551247,0.050682083,0.06388502,0.018195128,0.043255482,0.062156748,0.037375633,0.033187263,0.023858529,0.033580963,0.029740117,0.053967208,0.04489454,0.020743921,0.04376194
Fhl2,0.17719331,0.1596035,0.17705429,0.200156,0.20468663,0.111623436,0.12480313,0.12313443,0.20056856,0.10822841,0.1936752,0.19147427,0.15872382,0.15424271,0.1523327,0.16739665,0.21073112,0.13498162
Uxs1,0.29850015,0.27342212,0.2588857,0.27975383,0.2840326,0.2269028,0.36640355,0.27836192,0.22528124,0.22859345,0.22997898,0.18714844,0.27642798,0.18558224,0.20545797,0.2777668,0.1897116,0.095405295
Tex30,0.3533753,0.2531701,0.3079063,0.33918315,0.29452568,0.21195883,0.25386906,0.23237094,0.22317266,0.2079281,0.24270807,0.24969617,0.23637663,0.20306705,0.21183577,0.14491007,0.19220982,0.092583135
Poglut2,0.03301777,0.0073220716,0.01878398,0.028029477,0.021261916,0.02388643,0.0052030226,0.015656231,0.016478688,0.035899118,0.0071649775,0.016153032,0.026189942,0.018830491,0.019134551,0.036370266,0.0116219,0.06010106
Slc39a10,0.12353086,0.07085753,0.109364524,0.10061769,0.15499532,0.10686648,0.107453525,0.13704205,0.10705899,0.1365551,0.050997872,0.05071665,0.05887107,0.07867946,0.067160435,0.096267514,0.028893538,0.15747282
Nabp1,0.91165763,1.7031171,1.442272,1.1897014,1.3754146,0.77396363,1.1713908,1.0206745,1.0457464,0.8471507,1.4954469,1.5487144,1.0490196,1.5560894,0.90836656,1.7233907,1.740321,1.790746
Gls,2.852013,3.6791182,3.3816993,3.0888898,3.0598407,2.7054603,2.8201454,2.7700596,2.8448908,2.8643777,3.545041,3.5359855,2.9532077,3.1804397,2.8551917,2.1013339,3.4846292,3.04003
Nab1,0.9611584,1.2624416,1.2556221,1.0092705,1.0266256,1.2026063,1.0963069,1.0285797,1.0782282,1.4868115,1.6133374,1.5555269,1.4280251,1.4209932,1.6777905,1.2873385,1.5198768,1.2491138
Mfsd6,0.16141133,0.3155345,0.25474474,0.18904753,0.21270905,0.32989863,0.33444977,0.3758572,0.20720297,0.1758787,0.2227324,0.1966,0.156374,0.28316978,0.39213803,0.18972987,0.3859893,0.1635486
Inpp1,0.16126709,0.22470155,0.1967832,0.13793214,0.21226136,0.1692769,0.28285173,0.20314649,0.1109309,0.14739506,0.21259326,0.20175862,0.16613747,0.26266924,0.20385884,0.22141826,0.19830972,0.26461896
Pms1,0.26921514,0.15789935,0.18089843,0.27206498,0.20652421,0.24049725,0.20587099,0.17275205,0.1815767,0.33478704,0.16702053,0.14783826,0.24105398,0.22567804,0.20529526,0.26269454,0.14145747,0.10431069
Stk17b,1.8896979,3.398802,2.876318,2.653261,3.2466993,2.6285174,3.7806766,3.2675905,2.6518312,1.5987548,2.4779375,2.469336,2.320448,2.884403,2.5713227,2.8562677,3.6244953,3.700623
Gtf3c3,0.14729813,0.12805323,0.1876063,0.16798009,0.17174086,0.14152619,0.16804603,0.1420013,0.13882804,0.23561966,0.13712184,0.1668908,0.15665498,0.16307867,0.14665309,0.15991469,0.14794637,0.18135934
Pgap1,0.14941871,0.15937088,0.1493761,0.15018281,0.20123625,0.24093793,0.2059258,0.25977764,0.16105315,0.10541663,0.15465146,0.1255818,0.12488262,0.17091371,0.18974498,0.15158258,0.13545933,0.15070546
Ankrd44,7.8795633,12.003784,9.865708,9.590046,9.109195,8.982119,11.453432,11.892929,12.408224,6.5891333,9.242266,8.230293,7.1420503,7.8346496,6.8375106,10.606273,9.983431,10.310083
Sf3b1,1.2259299,1.2692158,1.3079618,1.3700237,1.4062626,1.4237832,1.2857462,1.4866214,1.4439358,1.0210975,1.1078883,1.1376755,1.1666123,1.2127007,1.1306894,1.1210414,1.1685984,0.9729938
Hspd1,0.116386235,0.063047044,0.095951185,0.09046766,0.08512193,0.11855824,0.065099165,0.055775944,0.041516557,0.088836715,0.08666983,0.10504508,0.112740085,0.11892065,0.0643488,0.06477903,0.06485051,0.043381445
Rftn2,0.017250923,0.025228905,0.025391664,0.023574177,0.03725301,0.01029413,0.0,0.022974914,0.017626317,0.04329235,0.019036595,0.01217879,0.02438445,0.038514208,0.010767182,0.022638846,0.00942284,0.0
Boll,0.07114502,0.061005328,0.067132644,0.058975384,0.08556789,0.06927711,0.074542426,0.05489857,0.0279488,0.031996395,0.058411185,0.073420376,0.053298518,0.059945974,0.055804048,0.061553787,0.09813902,0.039969515
Tyw5,0.25716344,0.18002808,0.23133907,0.20681445,0.23244718,0.19482686,0.25631046,0.12984999,0.12474098,0.21584669,0.17032185,0.2120026,0.23904693,0.23515299,0.14726087,0.13364823,0.13339646,0.09158695
Kctd18,0.24787076,0.39169058,0.32633758,0.3091378,0.24348816,0.24472754,0.10844431,0.20862672,0.17480554,0.33373195,0.4166185,0.3215211,0.30283487,0.21169953,0.25021943,0.19118002,0.24365161,0.23029475
Clk1,1.4597269,2.031869,1.8366091,1.7193173,1.8463442,2.4205997,2.3031325,2.6558933,2.5918307,1.094529,1.5412067,1.4715738,1.4617898,1.7073873,1.6290739,1.6107683,1.8919594,1.6571741
Ppil3,0.10987466,0.09592815,0.08453299,0.074835524,0.0927482,0.06384568,0.07758011,0.067525,0.07962172,0.054587517,0.07107816,0.06585589,0.07936146,0.08866143,0.07618586,0.07795813,0.078590386,0.11813729
Orc2,0.58379894,0.28612992,0.363565,0.41072217,0.3764422,0.2669915,0.17050584,0.22820024,0.15715161,0.6607465,0.28521693,0.3840503,0.39155623,0.27510458,0.2421569,0.24709588,0.20477822,0.21716347
Fam126b,0.12948853,0.06327564,0.08797234,0.09058952,0.07904877,0.058068544,0.026129939,0.059716903,0.060426544,0.18304701,0.10448796,0.11439633,0.09673059,0.07213606,0.11117776,0.11528555,0.057515796,0.085217446
Trak2,0.43412623,0.50459886,0.5023877,0.52120847,0.45266017,0.39792848,0.4220705,0.39213663,0.4246063,0.47258526,0.42914602,0.4783728,0.4805639,0.48175743,0.30147284,0.3431973,0.40189263,0.32176048
Tmem237,0.07342764,0.04491263,0.061179318,0.052154038,0.043112904,0.029584048,0.016790189,0.013961468,0.01958219,0.08212678,0.05090376,0.064950414,0.037049748,0.031913996,0.037625473,0.022017475,0.021785717,0.016801665
Als2,0.20893435,0.20539567,0.20201676,0.21155347,0.27297047,0.15326934,0.15469779,0.18833567,0.13834088,0.1933989,0.20981438,0.17599152,0.22995761,0.27948818,0.2046435,0.22287767,0.19792631,0.3624161
Sumo1,2.334023,2.3656294,2.5394144,2.5600822,2.6565254,2.7187655,2.2567706,2.6299822,2.4811115,2.118914,2.5956178,2.715867,2.9344313,3.0067353,2.93159,1.8171372,3.0935812,3.1040702
Wdr12,0.18260407,0.086249195,0.11643583,0.15143432,0.15256709,0.13833548,0.024308778,0.046571415,0.012622313,0.23290743,0.086026154,0.121066056,0.12026842,0.17804302,0.157239,0.050631475,0.07336163,0.051115714
Raph1,0.32949138,0.3282739,0.32484823,0.29871848,0.2924306,0.24349827,0.16886827,0.22459655,0.1452073,0.32652006,0.39831525,0.328475,0.30045062,0.37343943,0.2534523,0.4520376,0.19889335,0.38151813
Ino80d,0.56007046,0.53804004,0.5590895,0.5167645,0.53638965,0.46356955,0.44169652,0.49716684,0.52293456,0.51948273,0.5731535,0.5769743,0.6097245,0.6420221,0.6244196,0.6023736,0.6826497,0.7658874
Ndufs1,0.3285537,0.40215302,0.37217182,0.33688965,0.33819735,0.23042595,0.23201244,0.23374711,0.18130456,0.36347222,0.37231576,0.4222152,0.3756409,0.33159864,0.27458847,0.286732,0.2991208,0.31720328
Klf7,0.5118751,0.46289885,0.5170372,0.49257973,0.45080894,0.62685996,0.5483783,0.5888553,0.55026835,0.30167252,0.35200065,0.3553916,0.3088663,0.37533897,0.52259105,0.38436812,0.35827768,0.50379163
Mettl21a,0.01673895,0.01498486,0.012968534,0.006870947,0.014574873,0.0064777057,0.0,0.0061245747,0.0037866873,0.011675203,0.010609311,0.014520207,0.009626847,0.006945032,0.013302735,0.026499685,0.024483401,0.0
Plekhm3,0.15191871,0.17986512,0.17239596,0.15071347,0.14113887,0.2772802,0.4058914,0.33896115,0.4096622,0.19515733,0.19033195,0.16268353,0.14899985,0.13197231,0.18773185,0.36097988,0.25062343,0.23956501
Idh1,0.011771072,0.008088788,0.01420008,0.010637678,0.021583498,0.0059283697,0.020712724,0.0055219484,0.029339999,0.0113116335,0.009878553,0.01201188,0.002433884,0.019978954,0.010637293,0.011743679,0.025994591,0.017549543
Kansl1l,0.23927656,0.2986698,0.22397235,0.2070839,0.19555105,0.34339914,0.29594377,0.30241874,0.29257464,0.30081543,0.4733839,0.28108892,0.28201592,0.26026538,0.31179708,0.35075936,0.27092686,0.28496677
Acadl,0.40473795,0.27976763,0.33600017,0.38731304,0.3712379,0.25509578,0.21840331,0.22910403,0.18611725,0.38640773,0.26298535,0.29425633,0.42567763,0.29305387,0.20179752,0.2701679,0.18785086,0.22704172
Lancl1,0.08750116,0.052598137,0.083275646,0.08083803,0.05858931,0.081490315,0.0328833,0.058441643,0.028965933,0.061007455,0.07506705,0.07587236,0.106095605,0.061602667,0.07726987,0.08639697,0.06087145,0.0
Ikzf2,0.43068245,0.7497013,0.6012687,0.5243243,0.6879723,1.174734,1.3542022,0.25744987,0.17332117,0.882129,1.1890815,0.99638236,0.9350539,0.9024205,1.972352,0.43582287,0.6522712,0.72661567
Bard1,0.80290776,0.6035432,0.62327397,0.7659043,0.41564423,0.18219379,0.10476561,0.056119192,0.06916278,0.751188,0.6756069,0.660157,0.8270592,0.29192162,0.15465024,0.28865874,0.104884,0.1754572
Mreg,0.0058161765,0.0020916231,0.0058955927,0.0036055506,0.004426446,0.00472681,0.0,5.007867e-06,0.0,0.012485582,0.0,0.0031399915,0.00030602072,0.00056909485,0.0024925948,0.0013997331,0.009155326,0.044970702
Pecr,0.006143402,0.005030158,0.0077386056,0.007697637,0.006673374,0.004101027,0.0,0.0031573658,0.002641973,0.013935528,0.0017073828,0.0013651488,0.015257561,0.009855046,0.0072200694,0.010027009,0.017068477,0.0
Aamp,0.016846811,0.010614797,0.0134987915,0.019460682,0.014077205,0.021860763,0.012882735,0.016719876,0.014640137,0.006070577,0.010735783,0.016627872,0.0076041347,0.014324436,0.018209679,0.0047553587,0.021045223,0.0
Usp37,3.271011,1.6665949,2.252224,2.7510178,2.3488216,1.207702,1.0620275,0.7737988,0.7495509,3.1273477,1.7108421,2.2240345,2.7982903,1.9451321,1.1299976,1.2749813,1.0184114,1.1282794
Zfp142,0.11871505,0.11553085,0.11015246,0.12489409,0.11866386,0.053052593,0.14480677,0.06639053,0.07826674,0.09248114,0.09483157,0.106732935,0.090307645,0.08930515,0.059113033,0.04851139,0.10387755,0.09929525
Rnf25,0.07641137,0.061219692,0.07659198,0.07124454,0.066009685,0.098395616,0.06451491,0.056238476,0.07449436,0.061334394,0.051127754,0.07636595,0.059520815,0.048289,0.082291216,0.06908206,0.052233458,0.1409868
Nhej1,0.03986779,0.082263656,0.056223568,0.05701208,0.03840919,0.019435469,0.028062448,0.048985407,0.06563642,0.044298626,0.048940636,0.03994157,0.0618015,0.047999244,0.054286633,0.089755744,0.024982575,0.04052038
Cnppd1,0.054338515,0.07403346,0.077030726,0.060663715,0.08546631,0.07854669,0.08729334,0.07609196,0.083103515,0.06086453,0.046934146,0.045129564,0.044034846,0.06483195,0.06357117,0.04585986,0.058453158,0.054045208
Atg9a,0.026841411,0.02427829,0.027906572,0.032365207,0.045246616,0.040081393,0.06512283,0.041306425,0.05286815,0.010506306,0.028421555,0.023543593,0.024104554,0.043501426,0.034520283,0.028847551,0.025826147,0.023928294
Tuba4a,0.016113527,0.017162835,0.014325903,0.012689492,0.01563906,0.01411227,0.028688625,0.02073678,0.0070972345,0.03152334,0.005883057,0.008350417,0.006408803,0.011335354,0.011841856,0.0059653646,0.0048962235,0.0
Dnpep,0.0036481782,0.0032865456,0.0059576454,0.0053825136,0.007285677,0.0009825032,0.019299962,0.0022612966,0.003981954,0.0054617436,0.005276728,0.0046216073,0.0033893245,0.01025328,0.005620596,0.015728692,0.005885038,0.030112803
Farsb,0.69132227,0.31048405,0.44294336,0.4211588,0.40454623,0.44104195,0.31133166,0.27994886,0.26369473,0.84292847,0.33573237,0.5152628,0.54481804,0.5040535,0.50427985,0.40810665,0.3640852,0.27970016
Ap1s3,0.39961627,0.48498195,0.42756382,0.44667125,0.5474511,0.6511294,0.81477875,0.6434029,0.32270467,0.8288558,0.6552719,0.60978526,0.7019754,0.72939324,0.91721314,0.94242233,0.7590855,0.86534375
Wdfy1,0.20424505,0.19751982,0.20304267,0.18741694,0.24240981,0.23548907,0.28069615,0.25806987,0.13954704,0.1639637,0.16385546,0.16340166,0.16568822,0.22903788,0.2271054,0.16617301,0.19571628,0.40561143
Serpine2,0.0036265834,0.0016829527,0.0048202514,0.0070266747,0.009987282,0.004581423,0.004806889,0.001304251,0.00015274154,0.0028453174,0.008878135,0.0040402506,0.007261971,0.0012297509,0.0032042614,0.015467631,0.0039758952,0.0
Cul3,1.901007,1.9972857,1.9061573,1.8928457,1.9499577,1.8466636,2.2765532,2.0239618,2.0139754,1.4601151,1.7875566,1.7700131,1.6800928,1.8277155,1.8033171,1.557775,1.9461341,2.0902104
Dock10,15.174183,17.945656,16.507595,19.485369,18.737104,15.896424,22.553186,20.956297,17.854834,14.122369,17.122532,16.536257,19.830624,19.9882,15.149644,16.928963,23.514599,21.731005
Trip12,1.5873549,1.5706353,1.6628283,1.5993147,1.9417703,2.0191057,1.8902514,2.2137237,2.1413572,1.4014059,1.4717729,1.5278498,1.5262288,2.0038002,1.957396,1.8926692,2.196092,2.2276566
Sp110,0.07626737,0.097695395,0.08963595,0.08484778,0.10537893,0.13516973,0.073378354,0.15441729,0.13853998,0.075499915,0.07967316,0.06265974,0.07339359,0.076155074,0.13402562,0.18689571,0.15896082,0.22001013
A630001G21Rik,0.2852513,0.37829557,0.38698983,0.32565632,0.48425186,0.43279824,0.627301,0.4374721,0.44764718,0.39141545,0.41527295,0.3772468,0.38805863,0.43701,0.6018954,0.608481,0.4291786,0.5981862
Gpr55,0.0987664,0.10656526,0.11835239,0.0894737,0.119196676,0.07529303,0.19031194,0.107928775,0.07325254,0.16391596,0.2274398,0.24179955,0.20684938,0.36346024,0.14897111,0.21142621,0.31063095,0.33904502
Ncl,1.0503651,0.7853559,0.8310518,0.9254173,0.80572367,0.77589375,0.7739526,0.82747865,0.77605027,0.6691478,0.51456755,0.55881506,0.59441787,0.5391734,0.5103949,0.40811247,0.50160486,0.40755177
Pde6d,0.14428999,0.14496928,0.14880131,0.10226115,0.15210474,0.120520286,0.2458404,0.13660169,0.13749392,0.14916359,0.14208119,0.10433661,0.10420344,0.09623655,0.19676355,0.17535451,0.10201603,0.11065852
Usp40,0.06639509,0.03098132,0.043772317,0.05755393,0.03216743,0.07481319,0.053226616,0.08454744,0.13207552,0.098231524,0.07441016,0.07653376,0.07043065,0.081607826,0.11607694,0.132864,0.05606452,0.10252625
Hjurp,0.26483402,0.32274106,0.25735402,0.26574832,0.14144094,0.091150366,0.06535075,0.048645828,0.06178221,0.27400666,0.38099512,0.3281688,0.2430575,0.1340394,0.09311357,0.08714236,0.0707856,0.04504563
Arl4c,0.012370201,0.05523886,0.042686254,0.035068057,0.03496416,0.051566135,0.031263426,0.054457616,0.05239866,0.026730333,0.015295579,0.013503653,0.0061864047,0.0045407624,0.0064243763,0.0015613326,0.0017591496,0.0
Ilkap,0.13944116,0.11767945,0.120137535,0.117922366,0.12793083,0.0973259,0.123491146,0.124539085,0.10778687,0.20487985,0.12048561,0.119337775,0.12270911,0.10949114,0.15334967,0.115963645,0.09310645,0.11194262
Hdac4,0.38210073,0.36617863,0.37710315,0.41134351,0.33124653,0.58860034,0.42084712,0.42481402,0.29838493,0.3796033,0.41627362,0.35542765,0.38234738,0.30468103,0.48088446,0.42474025,0.3635085,0.22639997
Ndufa10,0.20180207,0.15024437,0.17796451,0.14943196,0.22011162,0.14790727,0.12722391,0.13850224,0.11056382,0.14024656,0.17053351,0.17748325,0.17955966,0.21375047,0.1261102,0.18275404,0.17148931,0.22423047
Cops9,0.014772404,0.013721216,0.016200218,0.009840696,0.022107227,0.011561822,0.0139465695,0.003941362,0.0030493005,0.02778654,0.013322597,0.010332996,0.022565203,0.021030767,0.018959766,0.007392244,0.011699227,0.0
Mterf4,0.02187922,0.016335951,0.023237212,0.026371071,0.027129749,0.008542673,0.01632422,0.008179149,0.011296177,0.028054405,0.016347062,0.014010997,0.016418338,0.018338507,0.014710097,0.017455736,0.023738155,0.037963446
Pask,0.2120337,0.05298987,0.08668578,0.14038882,0.076972835,0.03549296,0.010872176,0.0016660697,0.0042824624,0.15418585,0.052920297,0.073755324,0.13597521,0.057597607,0.025410676,0.022967111,0.009025165,0.0
Hdlbp,0.59283465,0.385342,0.49884078,0.55462414,0.58609486,0.35451862,0.2485956,0.29718953,0.28246206,0.54358643,0.3289461,0.4340653,0.5011664,0.55906045,0.40127778,0.24949148,0.30642903,0.12229829
Stk25,0.017824018,0.03907379,0.031437654,0.025847448,0.030851537,0.042998206,0.03364326,0.03411814,0.028229162,0.024703564,0.040662814,0.040564045,0.024270877,0.016015483,0.022045624,0.025531271,0.0053961906,0.0
Thap4,0.06848524,0.01906977,0.02840366,0.029354423,0.059747763,0.024277324,0.018683506,0.014100837,0.018062571,0.05734466,0.05154379,0.051371977,0.04129749,0.03338206,0.024509484,0.0591601,0.010152298,0.0
Dtymk,0.84783036,0.30401054,0.47611237,0.47401994,0.36785567,0.20594384,0.10996067,0.07749992,0.062161863,0.8997518,0.28015736,0.3700793,0.44541982,0.30793086,0.23603792,0.22877795,0.14636327,0.0744092
Pdcd1,0.28993648,0.19359548,0.32560545,0.26920554,0.265435,0.13252206,0.18440242,0.057554066,0.045311294,0.7454175,0.78449976,0.9637696,0.7882137,0.9384346,0.6932335,0.77390623,0.8171095,0.92189807
St8sia4,0.28344184,0.4778106,0.38807034,0.299498,0.4317359,0.54019195,0.46316782,0.6053923,0.53013545,0.22635065,0.46018326,0.33661887,0.30337462,0.36723143,0.31611118,0.2683545,0.32631207,0.46909943
D1Ertd622e,0.23625818,0.17594828,0.20353484,0.22010621,0.23124862,0.073506184,0.1406808,0.09413858,0.12820052,0.115393154,0.09255856,0.11289757,0.11263976,0.11757265,0.06315374,0.110809796,0.12754036,0.10950547
Ppip5k2,0.5427527,0.34514472,0.40005308,0.4300943,0.4038916,0.42494735,0.40562668,0.31994137,0.2987269,0.50826865,0.3878413,0.3749659,0.47755015,0.5709435,0.3923435,0.5321766,0.4670186,0.47012284
Pam,0.2729967,0.13597474,0.21074167,0.2350253,0.1685747,0.1721906,0.25263348,0.1949799,0.1429274,0.2072535,0.07477943,0.12187157,0.12323951,0.100864656,0.13720481,0.1234359,0.12985678,0.12418879
Pign,0.49894702,0.48080108,0.46753174,0.44362184,0.3577178,0.71525633,0.49257982,0.5518251,0.58929217,0.52565795,0.5969394,0.5450246,0.48318157,0.4236071,0.5701873,0.65659213,0.63781464,0.6244831
Bcl2,0.6424479,0.48127112,0.65724957,0.56327766,0.554455,2.122006,0.79164577,1.449415,0.6318055,1.0142168,1.3647693,0.89335215,1.2677237,1.1402198,3.6906166,3.4676766,2.4016683,2.0318604
