0,1,10,2,3,4,5,6,7,8,9
,Tcf19,Brip1,,Klf7,Timeless,,Mybl2,Cxcr5,,Ifngr2
,Taf5,Timeless,,Smad1,Fkbp5,,Hdac2,Cd22,,Il6st
,Brca1,Suv39h1,,Setd7,Brip1,,Tcerg1,Hivep3,,Hdac4
,Brca2,Kntc1,,Cd55,Bard1,,Kmt5a,Jdp2,,Klf9
,Suv39h2,Il2ra,,Zfp281,Paxip1,,E2f8,Izumo1r,,Rere
,Zfp41,Brca1,,Rai1,Brca2,,Trim28,Tnfsf11,,Kdm5b
,Phf19,Brca2,,Kdm5b,Aurkb,,Ddb1,Pdcd1lg2,,Aff3
,Mybl1,Csrp2,,Cd72,Zdhhc2,,Atad2,Fubp3,,
,Hist1h2bp,Epas1,,Igf1r,Trip13,,Trip13,Cd320,,
,Jazf1,Orc1,,Cux1,Mxd3,,Nsd2,Pbx4,,
,Vax2,Mcm8,,Nfix,E2f3,,Hmgb3,Epcam,,
,Kdm8,Tnfrsf13c,,Zfp1,Ggt1,,Znhit3,Ankrd55,,
,Ifitm1,Suv39h2,,Ctsl,Tnfrsf9,,Rfc1,Zfp296,,
,,Cd24a,,Myc,Rbm14,,Ruvbl2,Bcl6,,
,,Cbfa2t3,,Insr,Sfmbt1,,Apex1,Ahr,,
,,Xrcc3,,Rere,Orc1,,Cenpk,Tcf4,,
,,Ifitm1,,Maml3,Csrp2,,Chaf1b,Pou6f1,,
,,Clec12a,,Rreb1,Mbd4,,Hmmr,Tlr1,,
,,,,Rarg,Mcm8,,Fkbp5,Pou2af1,,
,,,,Cbx7,Suv39h2,,Wdhd1,Nt5e,,
,,,,Atf7,Kntc1,,Zbtb32,Calcoco1,,
,,,,Eng,E2f6,,Tnfrsf9,,,
,,,,Tet1,Hsf2,,Rbm14,,,
,,,,Art4,Phf19,,Gtf2e2,,,
,,,,Tnfsf8,Epcam,,Il2ra,,,
,,,,Crebl2,,,Zfpm1,,,
,,,,,,,Brca1,,,
,,,,,,,Tcf19,,,
,,,,,,,Mycbp,,,
,,,,,,,E2f1,,,
,,,,,,,Timeless,,,
,,,,,,,Wdr5,,,
,,,,,,,Smyd2,,,
,,,,,,,Prmt5,,,
,,,,,,,Tfrc,,,
,,,,,,,Bop1,,,
,,,,,,,Hax1,,,
,,,,,,,Brca2,,,
,,,,,,,Orc1,,,
,,,,,,,Xrcc6,,,
,,,,,,,Sap30,,,
,,,,,,,Mcm8,,,
,,,,,,,Suv39h1,,,
,,,,,,,Carm1,,,
,,,,,,,Polr3h,,,
,,,,,,,Gtf2h4,,,
,,,,,,,Hmga1,,,
,,,,,,,E2f3,,,
,,,,,,,Csrp2,,,
,,,,,,,Bard1,,,
,,,,,,,Prmt7,,,
,,,,,,,Kntc1,,,
,,,,,,,Suv39h2,,,
,,,,,,,Phf10,,,
,,,,,,,Igsf8,,,
,,,,,,,Brip1,,,
,,,,,,,Pcgf6,,,
,,,,,,,Cd24a,,,
,,,,,,,Srf,,,
,,,,,,,Batf3,,,
,,,,,,,Kat2a,,,
,,,,,,,E2f6,,,
,,,,,,,Cd320,,,
,,,,,,,Mbd4,,,
,,,,,,,Hsf2,,,
,,,,,,,Smyd5,,,
,,,,,,,Nme2,,,
,,,,,,,Tle1,,,
,,,,,,,Taf6l,,,
,,,,,,,Tnfrsf4,,,
,,,,,,,Phf19,,,
,,,,,,,Zfp280b,,,
,,,,,,,Tnfrsf8,,,
,,,,,,,Xrcc3,,,
,,,,,,,Cbfa2t3,,,
,,,,,,,Cd81,,,
,,,,,,,Gtf2ird1,,,
,,,,,,,Lepr,,,
,,,,,,,Epcam,,,
,,,,,,,Cbx2,,,
,,,,,,,Utf1,,,
,,,,,,,Clec12a,,,
,,,,,,,Jmjd8,,,
,,,,,,,Hes1,,,
,,,,,,,Pawr,,,
,,,,,,,Tnfrsf21,,,
,,,,,,,Zfp239,,,
,,,,,,,Abcg2,,,
,,,,,,,Cd22,,,
,,,,,,,Hmgn3,,,
,,,,,,,Csf2ra,,,
