,N-P0,A-P1,A-P2,C-P2,A-P3,C-P3,A-P4,C-P4,A-P5,C-P5,A-P6,C-P6,A-P7,C-P7,C-P8,A-P9,A-P10
Atf1,0.29368868470191956,0.3342939615249634,0.6254650354385376,0.6194542050361633,0.5804365277290344,0.6432322263717651,0.5533860921859741,0.622247040271759,0.534085750579834,0.5662891864776611,0.5713832974433899,0.5865806341171265,0.4521068036556244,0.4370872378349304,0.4262535274028778,0.3894995450973511,0.37032681703567505
Hdac1,0.4244592487812042,0.3091532289981842,0.9577617049217224,0.9510786533355713,0.9761713743209839,0.904947817325592,0.9797153472900391,1.011563777923584,0.9025139808654785,0.9053984880447388,0.858398973941803,0.8401461243629456,0.6944645643234253,0.7355865240097046,0.6990447640419006,0.5270980596542358,0.4602753221988678
Zdhhc16,0.06263668835163116,0.03153545409440994,0.1815546751022339,0.19629457592964172,0.12972526252269745,0.148716539144516,0.15325485169887543,0.1743205338716507,0.16168861091136932,0.1476237177848816,0.11103612184524536,0.12901447713375092,0.10732778161764145,0.10663612186908722,0.13552142679691315,0.07662849873304367,0.08468484878540039
Maz,0.27436259388923645,0.26436570286750793,0.6803349852561951,0.6712951064109802,0.6808971166610718,0.690253496170044,0.5877459049224854,0.576707661151886,0.6458594799041748,0.6567450761795044,0.5065476298332214,0.4894624352455139,0.4683605432510376,0.43252846598625183,0.42755576968193054,0.3103780150413513,0.28440865874290466
Hivep3,0.0531122162938118,0.023505158722400665,0.048926401883363724,0.09031637012958527,0.023731829598546028,0.12715058028697968,0.02620163932442665,0.1102638691663742,0.04051529988646507,0.11193700134754181,0.01856234483420849,0.08389901369810104,0.0612487718462944,0.15892328321933746,0.1444423645734787,0.024111689999699593,0.0396626852452755
Preb,0.16324184834957123,0.16459184885025024,0.3136419355869293,0.30227601528167725,0.3152583837509155,0.2985837161540985,0.32029595971107483,0.32063210010528564,0.26607391238212585,0.2551535665988922,0.2771618664264679,0.2517971992492676,0.243899405002594,0.2327057123184204,0.19595877826213837,0.2051522135734558,0.17633701860904694
Med21,0.3353434205055237,0.2678426206111908,0.5634497404098511,0.4704892933368683,0.5345479846000671,0.486076295375824,0.5383415818214417,0.5796463489532471,0.46016350388526917,0.420380562543869,0.5327532291412354,0.440765380859375,0.31740501523017883,0.3589068055152893,0.3353663682937622,0.3235933184623718,0.2780185341835022
Rbbp4,0.5675397515296936,0.5226077437400818,1.1794644594192505,1.1038376092910767,1.2019017934799194,1.2240008115768433,1.15425705909729,1.0930328369140625,1.182072639465332,1.2175922393798828,0.9745340347290039,0.9194083213806152,0.888117790222168,0.8232236504554749,0.6693670153617859,0.6350477933883667,0.5906916856765747
Kdm8,0.004396197851747274,0.0,0.0196064542979002,0.0434260368347168,0.026883691549301147,0.0308903306722641,0.021091528236865997,0.019411955028772354,0.013405480422079563,0.01141679659485817,0.025406353175640106,0.027433136478066444,0.020246433094143867,0.013607767410576344,0.01859266683459282,0.007056707516312599,0.007482981774955988
Kmt2a,0.9558842182159424,0.7881596684455872,0.47575250267982483,0.61065673828125,0.5630369186401367,0.5651527047157288,0.5017470717430115,0.5485137701034546,0.43427687883377075,0.46873238682746887,0.467317670583725,0.4897017180919647,0.724536120891571,0.674801766872406,0.7741414904594421,0.7781004905700684,0.762775182723999
Cd53,1.366634726524353,1.6188551187515259,0.9462440609931946,0.9521739482879639,1.2302751541137695,1.2169239521026611,1.1448209285736084,1.0619456768035889,1.0714868307113647,1.0419771671295166,1.2136887311935425,1.2778781652450562,1.394344687461853,1.2683465480804443,1.3996509313583374,1.6680924892425537,1.2032123804092407
Setdb1,0.11088986694812775,0.08180360496044159,0.17285975813865662,0.15009479224681854,0.12232314050197601,0.12951406836509705,0.15299616754055023,0.12628981471061707,0.12645405530929565,0.14695006608963013,0.1167803406715393,0.13888144493103027,0.11080324649810791,0.14029358327388763,0.1176578626036644,0.10481717437505722,0.11143419146537781
Hic1,0.0021091224625706673,0.0036082135047763586,0.040483564138412476,0.029820142313838005,0.02160521224141121,0.0294380784034729,0.03564520925283432,0.04352641478180885,0.0218462236225605,0.03483861684799194,0.03235244005918503,0.05448536574840546,0.03356751427054405,0.04287589713931084,0.036223385483026505,0.010649915784597397,0.007301610428839922
Hopx,0.16504012048244476,0.541450560092926,1.0788028240203857,0.7450001239776611,1.14020574092865,0.8986421227455139,1.1445029973983765,1.0180612802505493,1.046958327293396,0.828317403793335,1.279077410697937,1.0655640363693237,1.0973764657974243,0.8590343594551086,1.0214970111846924,1.551058292388916,1.4655917882919312
Mxd4,0.2657727301120758,0.1625174731016159,0.0535103902220726,0.09759751707315445,0.16056226193904877,0.12956342101097107,0.1316549926996231,0.10773530602455139,0.09286060184240341,0.10662428289651871,0.15273351967334747,0.20414716005325317,0.3427075743675232,0.4032406210899353,0.3525843918323517,0.38466423749923706,0.495150089263916
Insr,0.08656544238328934,0.06026402488350868,0.010160427540540695,0.010957792401313782,0.004252334125339985,0.0036176349967718124,0.003009732346981764,0.007480238098651171,0.007469483185559511,0.0025539533235132694,0.002877781167626381,0.0,0.028036775067448616,0.006641538348048925,0.0,0.015775339677929878,0.005634683184325695
Tbx21,0.009164061397314072,0.0502157025039196,0.3293571174144745,0.22104999423027039,0.38769063353538513,0.34325310587882996,0.3582502007484436,0.36431077122688293,0.3745306730270386,0.26187726855278015,0.31339356303215027,0.29672202467918396,0.252614825963974,0.25072717666625977,0.4507090449333191,0.36329376697540283,0.5584177374839783
Zfp560,0.16151244938373566,0.15392665565013885,0.16780813038349152,0.24880529940128326,0.1413915753364563,0.17186544835567474,0.18146300315856934,0.15367893874645233,0.1685723066329956,0.16762468218803406,0.19858230650424957,0.1680852770805359,0.17772026360034943,0.2565634846687317,0.2152346521615982,0.17179743945598602,0.19569283723831177
Churc1,0.6960698962211609,0.6370193958282471,0.5869075655937195,0.6009498238563538,0.6820873022079468,0.7129776477813721,0.6774933338165283,0.7206899523735046,0.6153059005737305,0.630069375038147,0.7538052201271057,0.7964428067207336,0.7021358609199524,0.8912039995193481,0.6048354506492615,0.673700213432312,0.5355192422866821
Pou6f1,0.05057303234934807,0.11367740482091904,0.010577884502708912,0.014488769695162773,0.03313494473695755,0.016593176871538162,0.025593478232622147,0.015525944530963898,0.0189946461468935,0.01065289881080389,0.0195514727383852,0.015342419035732746,0.11818519979715347,0.08091113716363907,0.017970239743590355,0.09862801432609558,0.012620236724615097
Smad1,0.1273661106824875,0.058745015412569046,0.03537885099649429,0.04085894301533699,0.008978597819805145,0.01769126206636429,0.018650755286216736,0.02279043383896351,0.030923107638955116,0.0388265922665596,0.02109445631504059,0.009072249755263329,0.037999629974365234,0.0466461218893528,0.010139239951968193,0.010314839892089367,0.013585703447461128
Hbp1,0.19619521498680115,0.28201204538345337,0.06919632107019424,0.07330215722322464,0.09594153612852097,0.11259499937295914,0.11084224283695221,0.121773861348629,0.0704277902841568,0.11581079661846161,0.12201574444770813,0.14749789237976074,0.19829386472702026,0.23920175433158875,0.17983245849609375,0.265708327293396,0.2517915666103363
Foxm1,0.0151409562677145,0.01718745008111,0.17095215618610382,0.13881278038024902,0.34408706426620483,0.3997912108898163,0.24534152448177338,0.281684547662735,0.18163341283798218,0.16770543158054352,0.11447823792695999,0.0754333883523941,0.052203088998794556,0.03274807333946228,0.015356832183897495,0.018019476905465126,0.00971925724297762
Nfat5,0.18198297917842865,0.24323560297489166,0.19844558835029602,0.3540751338005066,0.2429286390542984,0.3827938437461853,0.26393887400627136,0.3296573758125305,0.1912587285041809,0.3099209666252136,0.20766519010066986,0.30523011088371277,0.4103049039840698,0.5006541609764099,0.31124651432037354,0.2768963575363159,0.3350350260734558
Msl3,0.12944909930229187,0.09734810888767242,0.2715388834476471,0.3065248727798462,0.2541047930717468,0.2418389469385147,0.23935240507125854,0.2952105700969696,0.26249638199806213,0.28485193848609924,0.23505786061286926,0.22047452628612518,0.17238536477088928,0.20744295418262482,0.16010677814483643,0.1274385303258896,0.1038360670208931
Jmjd8,0.022988364100456238,0.026582947000861168,0.05199181288480759,0.01297241821885109,0.02052338980138302,0.022729193791747093,0.035439491271972656,0.029411811381578445,0.031553950160741806,0.011099196970462799,0.025744004175066948,0.014119166880846024,0.022009076550602913,0.026395898312330246,0.016708994284272194,0.02072754316031933,0.01606772467494011
Pdcd11,0.17494291067123413,0.18403175473213196,0.26738864183425903,0.30056440830230713,0.1226697787642479,0.15127362310886383,0.1936039924621582,0.22210170328617096,0.14079895615577698,0.1872750222682953,0.15749207139015198,0.16982553899288177,0.1472391039133072,0.18917319178581238,0.14406484365463257,0.1271214634180069,0.08383584022521973
Nsd2,0.07230927050113678,0.10870987176895142,0.7284286022186279,0.7376429438591003,0.6581466197967529,0.7213692665100098,0.6679820418357849,0.6700064539909363,0.7680062651634216,0.8207277655601501,0.4657613933086395,0.4296169579029083,0.4564383924007416,0.3891304135322571,0.42777493596076965,0.24174998700618744,0.21142767369747162
Hnrnpd,0.9048553109169006,0.9898298978805542,1.7597600221633911,1.790799856185913,1.5131388902664185,1.5532642602920532,1.6144945621490479,1.6032158136367798,1.6755263805389404,1.6618870496749878,1.4469711780548096,1.3704113960266113,1.214369297027588,1.2008132934570312,1.1947715282440186,1.0606006383895874,0.9735737442970276
Fubp3,0.083048976957798,0.06855352967977524,0.09569666534662247,0.10712700337171555,0.05620535835623741,0.057970382273197174,0.06901904195547104,0.0819123312830925,0.04370350390672684,0.05186329036951065,0.04298713803291321,0.04647183418273926,0.0545177236199379,0.1391061395406723,0.06553560495376587,0.05266803875565529,0.03781983256340027
Plrg1,0.07805303484201431,0.05949673429131508,0.21266363561153412,0.23162487149238586,0.19588616490364075,0.18352514505386353,0.2024725079536438,0.18283481895923615,0.1924998015165329,0.16120386123657227,0.1975065916776657,0.16106364130973816,0.08449653536081314,0.1510954350233078,0.0945107564330101,0.07762987166643143,0.06480845808982849
Nono,0.6890029907226562,0.6333688497543335,1.2159581184387207,1.2642264366149902,1.1880247592926025,1.156703233718872,1.144012689590454,1.1820732355117798,1.1318483352661133,1.0985201597213745,1.0622375011444092,1.0253463983535767,0.9543870091438293,0.8985199332237244,0.8731287717819214,0.7475928664207458,0.6525577902793884
Brd8,0.2871829867362976,0.3126510679721832,0.4136413335800171,0.36687877774238586,0.7003851532936096,0.7283119559288025,0.53318852186203,0.6126437187194824,0.3667929172515869,0.4389374554157257,0.3174171447753906,0.2943912446498871,0.363921195268631,0.3263589143753052,0.21918052434921265,0.27226653695106506,0.26319342851638794
Il4ra,0.2857624888420105,0.4883871078491211,0.06688886135816574,0.07805914431810379,0.046625930815935135,0.05617936700582504,0.06077877804636955,0.09650632739067078,0.046590059995651245,0.06113816797733307,0.05352601036429405,0.05583324283361435,0.10668523609638214,0.10559921711683273,0.05393064767122269,0.0933222621679306,0.08238562941551208
Irf7,0.2713567912578583,0.6173103451728821,0.15837334096431732,0.1931317001581192,0.3074095845222473,0.3828471004962921,0.2496318817138672,0.27851203083992004,0.16968022286891937,0.1971626877784729,0.23805077373981476,0.3291544020175934,0.4798584580421448,0.6225330233573914,0.5751388072967529,0.5192287564277649,0.4088723063468933
Tnfrsf4,0.024169372394680977,0.02918032556772232,0.09571371227502823,0.36347121000289917,0.023165401071310043,0.06720879673957825,0.04449506103992462,0.12811262905597687,0.031244894489645958,0.08411949872970581,0.023343525826931,0.04743613675236702,0.07204853743314743,0.23347534239292145,0.09421905875205994,0.014290227554738522,0.0071633909828960896
Max,0.3106425106525421,0.32969439029693604,0.3153403103351593,0.3501090705394745,0.31310218572616577,0.37639278173446655,0.3342975378036499,0.44909435510635376,0.308626264333725,0.3659105896949768,0.30376917123794556,0.3330913484096527,0.47674208879470825,0.5572704672813416,0.4426518976688385,0.3573981821537018,0.30568045377731323
Suz12,0.36927103996276855,0.3129534423351288,1.0097575187683105,1.028899908065796,0.8740518093109131,0.9062836766242981,0.9061816334724426,0.9491295218467712,0.9316108226776123,0.988361120223999,0.6696604490280151,0.6212696433067322,0.49623754620552063,0.4606821835041046,0.5074782967567444,0.39485040307044983,0.3994794189929962
Cry1,0.0813993513584137,0.06848195940256119,0.14893367886543274,0.1388845443725586,0.1323961764574051,0.16938099265098572,0.12086012959480286,0.1486581414937973,0.1364874243736267,0.14088906347751617,0.14213544130325317,0.17123320698738098,0.1352727860212326,0.13758957386016846,0.21389198303222656,0.22166195511817932,0.2088543027639389
Bst2,0.8063849210739136,1.1800671815872192,0.9829340577125549,0.9591378569602966,0.7755541801452637,0.9287921190261841,0.9467002153396606,0.9483563303947449,0.8616517186164856,0.8623043298721313,0.8927154541015625,0.96331787109375,0.9836283922195435,1.1777256727218628,1.0212777853012085,0.9021945595741272,0.43380412459373474
Cbx2,0.013032389804720879,0.0028866748325526714,0.028915541246533394,0.02830301970243454,0.005307982210069895,0.008807572536170483,0.011506034061312675,0.011903990991413593,0.02613363042473793,0.020569797605276108,0.017682578414678574,0.0012848045444115996,0.015573346056044102,0.00675970409065485,0.005009726155549288,0.0020790419075638056,0.001900314586237073
Hdac5,0.060174085199832916,0.06153333559632301,0.08848648518323898,0.02533555030822754,0.08256484568119049,0.061602845788002014,0.12458846718072891,0.08796608448028564,0.11675107479095459,0.06606361269950867,0.10162677615880966,0.05644194409251213,0.07052134722471237,0.06501036882400513,0.08058138191699982,0.07589390128850937,0.07198604941368103
Zfp281,0.28114065527915955,0.26197460293769836,0.10776824504137039,0.12022508680820465,0.12316349148750305,0.1276882439851761,0.12226590514183044,0.12229030579328537,0.10556373000144958,0.1071564108133316,0.1302696019411087,0.126197949051857,0.20512354373931885,0.18250322341918945,0.16937002539634705,0.09234088659286499,0.0816853865981102
Pnn,0.8104308247566223,0.8322544097900391,1.2472411394119263,1.267081379890442,0.9378525614738464,0.9204564094543457,1.0932914018630981,1.0805821418762207,1.2267240285873413,1.2120579481124878,1.1595947742462158,1.1329389810562134,0.9563513994216919,0.9092941284179688,0.9406777620315552,0.8275071382522583,0.7967779636383057
Cd96,0.4496791660785675,0.310046523809433,0.1483084261417389,0.13158050179481506,0.35782507061958313,0.2916458249092102,0.250995010137558,0.25400084257125854,0.2596267759799957,0.23136243224143982,0.2715293765068054,0.2942434251308441,0.35550642013549805,0.3073536455631256,0.48489469289779663,0.5558038353919983,0.4867534935474396
Art4,0.05200377106666565,0.01353691890835762,0.0,0.0,0.0,0.0013209563912823796,0.0009142177877947688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010148822329938412
Mllt1,0.0631076842546463,0.04346424713730812,0.09791361540555954,0.07702508568763733,0.11341279000043869,0.08647913485765457,0.11496370285749435,0.13836078345775604,0.12076729536056519,0.08452363312244415,0.10615597665309906,0.09618984907865524,0.03665696829557419,0.06564557552337646,0.054743051528930664,0.05982082337141037,0.060222964733839035
Thra,0.1609143167734146,0.062415868043899536,0.02170894853770733,0.027631403878331184,0.006664533633738756,0.0008630718803033233,0.019785722717642784,0.012334938161075115,0.013280303217470646,0.00793357565999031,0.00782817043364048,0.006962218787521124,0.019317787140607834,0.011128891259431839,0.007821667939424515,0.013530777767300606,0.013763812370598316
Maff,0.013952048495411873,0.14901113510131836,0.02458532713353634,0.04524660110473633,0.02006456069648266,0.017704220488667488,0.025135787203907967,0.0033846176229417324,0.010445129126310349,0.021232809871435165,0.019162340089678764,0.020237699151039124,0.02580118551850319,0.03981316089630127,0.0017635239055380225,0.02051575668156147,0.01047319732606411
Ankrd55,0.016789084300398827,0.02243087626993656,0.04777795448899269,0.07641999423503876,0.030386388301849365,0.06584291905164719,0.061568859964609146,0.08918526768684387,0.03443269431591034,0.09572666883468628,0.028933687135577202,0.09615951776504517,0.0729837492108345,0.08166275173425674,0.03211725875735283,0.011500517837703228,0.013009510934352875
Batf3,0.0033042575232684612,0.005868191365152597,0.11458093672990799,0.060731273144483566,0.0023409638088196516,0.0015397273236885667,0.00856766290962696,0.006492106709629297,0.009878851473331451,0.001479390892200172,0.001977226696908474,0.0017612295923754573,0.00504422839730978,0.0009459492284804583,0.0014908701414242387,0.0,0.0010282190050929785
Ankra2,0.16313935816287994,0.09457278251647949,0.13549663126468658,0.12420351058244705,0.14513731002807617,0.16335588693618774,0.15504281222820282,0.1961783766746521,0.1436423361301422,0.16782087087631226,0.1914025843143463,0.21733532845973969,0.13498342037200928,0.19853906333446503,0.2612327039241791,0.16793610155582428,0.19918926060199738
Klf7,0.3638022243976593,0.33073607087135315,0.14811274409294128,0.15546604990959167,0.1742924302816391,0.11970552802085876,0.176498681306839,0.1248890683054924,0.13537505269050598,0.12544098496437073,0.15032711625099182,0.08462563902139664,0.24039986729621887,0.1809065341949463,0.21150442957878113,0.2530423104763031,0.22151118516921997
Parp1,0.2027074098587036,0.23540839552879333,0.7385932207107544,0.7342717051506042,0.36171281337738037,0.3996866047382355,0.5701523423194885,0.596928596496582,0.5260911583900452,0.5034767985343933,0.3984390199184418,0.36658018827438354,0.35560256242752075,0.3955758213996887,0.226413294672966,0.16953320801258087,0.23971343040466309
Hist1h2bp,0.0012466878397390246,0.0,0.015528171323239803,0.014456278644502163,0.034360308200120926,0.04472370818257332,0.016255421563982964,0.02426219917833805,0.033685389906167984,0.019594386219978333,0.007957039400935173,0.00433627562597394,0.002543077804148197,0.00308609870262444,0.012586796656250954,0.00839227344840765,0.01857168972492218
Tsg101,0.23259852826595306,0.17270345985889435,0.3749183416366577,0.398680716753006,0.3848614990711212,0.45664361119270325,0.40423819422721863,0.46264928579330444,0.4118037521839142,0.4697987735271454,0.33955761790275574,0.35204046964645386,0.31510061025619507,0.2829786241054535,0.3029625415802002,0.25708624720573425,0.24024054408073425
Fasl,0.006951495539397001,0.062312494963407516,0.09913081675767899,0.08785369247198105,0.30653104186058044,0.20812974870204926,0.21123051643371582,0.22324036061763763,0.2052740752696991,0.18696266412734985,0.25262197852134705,0.23621085286140442,0.028975531458854675,0.045764148235321045,0.31288883090019226,0.4635285437107086,0.5612843036651611
Zbtb38,0.17330875992774963,0.1305197775363922,0.1293194442987442,0.22558729350566864,0.17430946230888367,0.21541918814182281,0.1580156534910202,0.2608630657196045,0.1092248484492302,0.16465631127357483,0.18131579458713531,0.20983973145484924,0.13971836864948273,0.1695423573255539,0.398328959941864,0.2294689416885376,0.3080908954143524
Gata3,0.17534101009368896,0.11739955842494965,0.1511547565460205,0.2242988646030426,0.3029814064502716,0.3397584557533264,0.22927157580852509,0.37257903814315796,0.16461506485939026,0.21047809720039368,0.2032715082168579,0.1997685730457306,0.216082364320755,0.16121111810207367,0.2088560163974762,0.2495490461587906,0.18468435108661652
Hes1,0.0015073823742568493,0.0,0.03653474897146225,0.011140977032482624,0.011423742398619652,0.009150533936917782,0.02932550758123398,0.0,0.019634166732430458,0.0028953866567462683,0.013378716073930264,0.00806252658367157,0.0,0.005591375753283501,0.01527631189674139,0.006338840816169977,0.02527543343603611
Suv39h1,0.06467492878437042,0.06975254416465759,0.24811682105064392,0.24829497933387756,0.24871322512626648,0.2856876850128174,0.23344704508781433,0.3008217215538025,0.2112443745136261,0.21567890048027039,0.1452845335006714,0.11791772395372391,0.09519815444946289,0.07739118486642838,0.06766177713871002,0.03893424943089485,0.03743952512741089
Cd80,0.0012447034241631627,0.0,0.015925880521535873,0.05755062401294708,0.03501962870359421,0.0641554519534111,0.014967719092965126,0.040393851697444916,0.012833595275878906,0.029113484546542168,0.03911782056093216,0.06982827931642532,0.022316360846161842,0.03152381628751755,0.15542122721672058,0.047492075711488724,0.047766901552677155
Ccr2,0.01484412606805563,0.07039576023817062,0.3011507987976074,0.0720025971531868,0.7034702301025391,0.29053446650505066,0.46955063939094543,0.1448824107646942,0.43944570422172546,0.17164592444896698,0.5887103080749512,0.32088524103164673,0.090107262134552,0.031012797728180885,0.49045687913894653,1.3752096891403198,1.0243847370147705
Ssbp2,0.5506298542022705,0.43855342268943787,0.03530081361532211,0.010736184194684029,0.02332991175353527,0.02307097055017948,0.03853774815797806,0.01752801053225994,0.013792297802865505,0.010753906331956387,0.026002634316682816,0.01703205332159996,0.13058973848819733,0.06272425502538681,0.07291741669178009,0.07195572555065155,0.013690114952623844
