,ChIP,ChIP gene #,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
10,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,7602,0.5920,0.5711,0.6073,0.1263,0.0028,0.4656,0.2021,0.1710,0.0083,0.2249,1.0000,0.6205,0.2377,0.2493,0.4150,0.0165,0.2652,0.6108,0.6154,0.6070,0.6304,0.6304,0.6300,0.6248,0.6228,0.5056,0.5711,0.5624,0.6107,0.6173,0.5980,0.5951,0.5815,0.1074,0.3386,0.2941,0.0403,0.5011,0.6042,0.6104,0.5671,0.6000,0.6028,0.4414,0.2241,0.1711,0.6109,0.6190,0.4726,0.0056,0.5629,0.0193,0.1622,0.4837,0.0222,0.4887,0.5063,0.5196,0.1186,0.6136,0.3858,0.3187,0.1436,0.3150,0.0628,0.0467,0.0083,0.3387,0.0028,0.6158,0.6052,0.5972,0.2193,0.6017,0.2966,0.2598,0.2506,0.3275,0.6041,0.3450,0.2051,0.1432
11,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,5473,0.4658,0.4731,0.4614,0.1145,0.0037,0.4901,0.2339,0.1742,0.0036,0.2817,0.6205,1.0000,0.2762,0.2809,0.3904,0.0255,0.2987,0.4649,0.4641,0.4786,0.4872,0.4758,0.4818,0.4801,0.4847,0.4237,0.4547,0.4308,0.4800,0.4745,0.4555,0.4645,0.4646,0.0987,0.3047,0.2770,0.0346,0.4762,0.4759,0.4790,0.4880,0.4571,0.4624,0.3977,0.2104,0.1637,0.4788,0.4886,0.4493,0.0037,0.4904,0.0292,0.1791,0.4249,0.0218,0.4289,0.4427,0.4376,0.1010,0.4701,0.3459,0.2971,0.1400,0.3075,0.0636,0.0578,0.0073,0.3289,0.0037,0.4691,0.4675,0.4948,0.2051,0.4575,0.2600,0.2641,0.2492,0.3107,0.4601,0.3288,0.2443,0.1627
12,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,1710,0.1475,0.1579,0.1596,0.2160,0.0000,0.1628,0.1012,0.3028,0.0104,0.8317,0.2377,0.2762,1.0000,0.6063,0.4107,0.0408,0.3684,0.1570,0.1567,0.1589,0.1636,0.1640,0.1627,0.1621,0.1622,0.1521,0.1707,0.1429,0.1566,0.1648,0.1546,0.1637,0.1699,0.1370,0.2290,0.2348,0.0714,0.1421,0.1652,0.1624,0.1721,0.1661,0.1582,0.2161,0.2296,0.2184,0.1569,0.1593,0.1745,0.0106,0.2016,0.0510,0.2319,0.1968,0.0303,0.2313,0.2228,0.1934,0.1746,0.1590,0.2561,0.2850,0.1014,0.2759,0.0339,0.1287,0.0103,0.2422,0.0108,0.1534,0.1611,0.1543,0.1848,0.1570,0.1245,0.2475,0.2982,0.3333,0.1582,0.2863,0.2012,0.1714
13,2017_PNAS_Li___STAT5B_IL2-CD8,2526,0.1738,0.1882,0.1873,0.2143,0.0180,0.1909,0.1278,0.3444,0.0177,0.5736,0.2493,0.2809,0.6063,1.0000,0.4779,0.0526,0.3923,0.1825,0.1801,0.1889,0.1901,0.1900,0.1891,0.1884,0.1946,0.1699,0.2053,0.1722,0.1873,0.1959,0.1869,0.1960,0.2023,0.1500,0.2454,0.2328,0.0698,0.1758,0.1953,0.1978,0.1918,0.1918,0.1887,0.2325,0.2160,0.2042,0.1898,0.1939,0.2105,0.0089,0.2372,0.0431,0.2617,0.2349,0.0345,0.2875,0.2857,0.2363,0.1942,0.1908,0.2877,0.3139,0.1173,0.3066,0.0526,0.1379,0.0175,0.3023,0.0090,0.1789,0.1950,0.1949,0.2018,0.1877,0.1429,0.2802,0.2973,0.3689,0.1888,0.3333,0.2143,0.1895
14,2017_PNAS_Li___STAT5B_IL2-CD4,5394,0.3394,0.3389,0.3730,0.1949,0.0090,0.2938,0.1496,0.2910,0.0089,0.3938,0.4150,0.3904,0.4107,0.4779,1.0000,0.0357,0.4054,0.3670,0.3711,0.3788,0.3723,0.3759,0.3752,0.3788,0.3815,0.3051,0.3853,0.3682,0.3784,0.3825,0.3754,0.3925,0.4019,0.1562,0.3823,0.3385,0.0549,0.3300,0.3886,0.3843,0.3783,0.3785,0.3721,0.3975,0.2837,0.2482,0.3688,0.3643,0.3296,0.0090,0.4064,0.0264,0.2397,0.3878,0.0220,0.4356,0.4758,0.3842,0.1583,0.3814,0.4567,0.4014,0.1183,0.3794,0.0544,0.0893,0.0224,0.4593,0.0045,0.3611,0.3838,0.3629,0.2583,0.3788,0.2062,0.3911,0.3037,0.3922,0.3746,0.4286,0.2288,0.1667
15,2017_PNAS_Li___STAT3_noIL21-CD4,238,0.0160,0.0193,0.0160,0.0462,0.1000,0.0270,0.0306,0.0521,0.0833,0.0521,0.0165,0.0255,0.0408,0.0526,0.0357,1.0000,0.0490,0.0160,0.0160,0.0162,0.0167,0.0163,0.0166,0.0165,0.0163,0.0188,0.0183,0.0184,0.0166,0.0168,0.0152,0.0162,0.0156,0.0123,0.0215,0.0184,0.0000,0.0219,0.0162,0.0168,0.0169,0.0161,0.0165,0.0242,0.0129,0.0159,0.0181,0.0176,0.0310,0.1000,0.0171,0.1176,0.0361,0.0287,0.0000,0.0231,0.0223,0.0175,0.0492,0.0160,0.0224,0.0324,0.0128,0.0417,0.0270,0.0345,0.0000,0.0308,0.1111,0.0160,0.0160,0.0176,0.0061,0.0154,0.0230,0.0382,0.0455,0.0345,0.0153,0.0320,0.0625,0.0526
16,2017_PNAS_Li___STAT3_IL21-CD4,2779,0.2122,0.2257,0.2381,0.1976,0.0070,0.2322,0.1592,0.2595,0.0000,0.3626,0.2652,0.2987,0.3684,0.3923,0.4054,0.0490,1.0000,0.2308,0.2347,0.2402,0.2450,0.2393,0.2391,0.2405,0.2419,0.2058,0.2522,0.2207,0.2351,0.2445,0.2374,0.2500,0.2601,0.1568,0.2847,0.2930,0.0769,0.2116,0.2424,0.2463,0.2545,0.2363,0.2387,0.2948,0.2565,0.2207,0.2317,0.2443,0.2437,0.0000,0.2701,0.0414,0.2976,0.2697,0.0204,0.3038,0.3003,0.2698,0.1807,0.2460,0.3225,0.3024,0.1283,0.2899,0.0625,0.0872,0.0139,0.3213,0.0000,0.2273,0.2416,0.2298,0.2065,0.2368,0.1698,0.3053,0.2617,0.3506,0.2377,0.3459,0.2488,0.1844
17,2017_PNAS_Li___H3K4me3-noIL2-CD4,13677,0.7404,0.7033,0.9346,0.0970,0.0018,0.4488,0.1593,0.1411,0.0071,0.1552,0.6108,0.4649,0.1570,0.1825,0.3670,0.0160,0.2308,1.0000,0.9772,0.9128,0.9083,0.9341,0.9168,0.9270,0.9027,0.5448,0.7296,0.6526,0.9151,0.8564,0.9316,0.8742,0.8114,0.1178,0.3822,0.3432,0.0424,0.5439,0.9063,0.8868,0.6793,0.9329,0.9152,0.5353,0.2430,0.1986,0.8339,0.8678,0.4539,0.0036,0.5653,0.0178,0.1307,0.4754,0.0160,0.4897,0.5862,0.5525,0.0842,0.8956,0.4178,0.2957,0.1204,0.2789,0.0496,0.0355,0.0071,0.3657,0.0018,0.9582,0.8893,0.7547,0.2587,0.9327,0.2956,0.2557,0.2162,0.2787,0.9247,0.3518,0.1954,0.1261
18,2017_PNAS_Li___H3K4me3_IL2-CD4,13823,0.7422,0.7051,0.9430,0.0988,0.0018,0.4505,0.1590,0.1409,0.0071,0.1549,0.6154,0.4641,0.1567,0.1801,0.3711,0.0160,0.2347,0.9772,1.0000,0.9178,0.9167,0.9426,0.9185,0.9287,0.9142,0.5412,0.7314,0.6544,0.9168,0.8644,0.9365,0.8822,0.8193,0.1156,0.3791,0.3402,0.0405,0.5429,0.8951,0.8788,0.6839,0.9247,0.9071,0.5344,0.2404,0.1941,0.8356,0.8599,0.4531,0.0035,0.5670,0.0177,0.1305,0.4720,0.0160,0.4914,0.5852,0.5515,0.0860,0.9037,0.4269,0.2974,0.1201,0.2807,0.0496,0.0354,0.0071,0.3603,0.0018,0.9531,0.8941,0.7474,0.2583,0.9343,0.2973,0.2531,0.2158,0.2827,0.9329,0.3536,0.1929,0.1239
19,2017_PNAS_Li___H3K27Ac-noIL2-CD4,11701,0.7589,0.7273,0.8997,0.1002,0.0036,0.4440,0.1634,0.1510,0.0036,0.1613,0.6070,0.4786,0.1589,0.1889,0.3788,0.0162,0.2402,0.9128,0.9178,1.0000,0.9330,0.9088,0.9383,0.9115,0.9715,0.5571,0.7509,0.6578,0.9096,0.8540,0.9263,0.8814,0.8149,0.1054,0.3628,0.3287,0.0374,0.5534,0.9139,0.9075,0.7176,0.8851,0.8739,0.5418,0.2286,0.1801,0.8539,0.8818,0.4492,0.0018,0.5640,0.0162,0.1344,0.4761,0.0162,0.5035,0.5962,0.5620,0.0911,0.8838,0.4378,0.3039,0.1239,0.2893,0.0503,0.0378,0.0090,0.3750,0.0018,0.9160,0.8998,0.7795,0.2357,0.9438,0.2970,0.2724,0.2298,0.2936,0.9259,0.3681,0.1935,0.1277
20,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,12167,0.7522,0.7171,0.8950,0.0991,0.0018,0.4624,0.1639,0.1449,0.0055,0.1639,0.6304,0.4872,0.1636,0.1901,0.3723,0.0167,0.2450,0.9083,0.9167,0.9330,1.0000,0.9277,0.9374,0.9479,0.9396,0.5564,0.7318,0.6470,0.8916,0.8330,0.8963,0.8511,0.7908,0.1025,0.3708,0.3333,0.0347,0.5497,0.8929,0.8829,0.7043,0.8836,0.8852,0.5326,0.2286,0.1831,0.8322,0.8635,0.4517,0.0018,0.5717,0.0166,0.1363,0.4739,0.0167,0.4911,0.5764,0.5530,0.0897,0.8727,0.4173,0.2939,0.1255,0.2836,0.0518,0.0389,0.0074,0.3636,0.0019,0.9115,0.8759,0.7638,0.2424,0.9133,0.2985,0.2664,0.2230,0.2834,0.8990,0.3640,0.1971,0.1252
21,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,12990,0.7260,0.6947,0.9307,0.0987,0.0036,0.4542,0.1580,0.1416,0.0072,0.1601,0.6304,0.4758,0.1640,0.1900,0.3759,0.0163,0.2393,0.9341,0.9426,0.9088,0.9277,1.0000,0.9296,0.9677,0.9151,0.5353,0.7153,0.6408,0.9043,0.8426,0.9149,0.8574,0.7976,0.1159,0.3792,0.3445,0.0413,0.5344,0.8893,0.8761,0.6678,0.9157,0.9111,0.5260,0.2429,0.1957,0.8325,0.8537,0.4464,0.0036,0.5670,0.0181,0.1372,0.4630,0.0163,0.4878,0.5771,0.5486,0.0916,0.9142,0.4201,0.2917,0.1205,0.2771,0.0486,0.0361,0.0072,0.3578,0.0018,0.9307,0.8693,0.7315,0.2589,0.9158,0.2893,0.2558,0.2157,0.2792,0.9144,0.3580,0.1924,0.1243
22,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,12233,0.7513,0.7194,0.8969,0.0965,0.0018,0.4572,0.1630,0.1400,0.0055,0.1673,0.6300,0.4818,0.1627,0.1891,0.3752,0.0166,0.2391,0.9168,0.9185,0.9383,0.9374,0.9296,1.0000,0.9429,0.9415,0.5562,0.7402,0.6613,0.9002,0.8319,0.9013,0.8499,0.7868,0.1020,0.3592,0.3199,0.0364,0.5523,0.8948,0.8947,0.6975,0.8855,0.8872,0.5325,0.2208,0.1758,0.8605,0.8855,0.4599,0.0037,0.5659,0.0165,0.1355,0.4793,0.0166,0.4938,0.5845,0.5556,0.0893,0.8746,0.4101,0.2900,0.1248,0.2775,0.0515,0.0368,0.0055,0.3617,0.0018,0.9100,0.8714,0.7691,0.2324,0.9184,0.3040,0.2559,0.2218,0.2796,0.9008,0.3571,0.1982,0.1245
23,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,12574,0.7332,0.7077,0.9168,0.0982,0.0018,0.4608,0.1603,0.1457,0.0073,0.1624,0.6248,0.4801,0.1621,0.1884,0.3788,0.0165,0.2405,0.9270,0.9287,0.9115,0.9479,0.9677,0.9429,1.0000,0.9178,0.5458,0.7345,0.6530,0.9171,0.8384,0.9015,0.8502,0.7902,0.1135,0.3821,0.3446,0.0381,0.5448,0.8950,0.8883,0.6801,0.9052,0.9139,0.5360,0.2397,0.1921,0.8313,0.8624,0.4529,0.0037,0.5750,0.0183,0.1392,0.4749,0.0165,0.4894,0.5825,0.5536,0.0929,0.8940,0.4211,0.2936,0.1223,0.2811,0.0513,0.0385,0.0092,0.3677,0.0018,0.9235,0.8685,0.7448,0.2536,0.9120,0.2888,0.2617,0.2210,0.2786,0.9042,0.3631,0.1974,0.1261
24,2017_PNAS_Li___H3K27Ac_IL2-CD4,11747,0.7643,0.7263,0.8993,0.1009,0.0036,0.4472,0.1625,0.1521,0.0054,0.1646,0.6228,0.4847,0.1622,0.1946,0.3815,0.0163,0.2419,0.9027,0.9142,0.9715,0.9396,0.9151,0.9415,0.9178,1.0000,0.5612,0.7531,0.6595,0.9092,0.8567,0.9196,0.8778,0.8143,0.1042,0.3630,0.3241,0.0376,0.5573,0.9071,0.9038,0.7196,0.8879,0.8735,0.5456,0.2281,0.1813,0.8534,0.8781,0.4524,0.0018,0.5762,0.0163,0.1354,0.4848,0.0163,0.5071,0.5947,0.5687,0.0937,0.8803,0.4384,0.3037,0.1248,0.2867,0.0506,0.0380,0.0091,0.3777,0.0018,0.9091,0.8995,0.7819,0.2352,0.9304,0.3038,0.2744,0.2315,0.2934,0.9257,0.3757,0.1928,0.1286
25,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,5666,0.6491,0.6236,0.5252,0.1029,0.0032,0.3419,0.1429,0.1240,0.0063,0.1461,0.5056,0.4237,0.1521,0.1699,0.3051,0.0188,0.2058,0.5448,0.5412,0.5571,0.5564,0.5353,0.5562,0.5458,0.5612,1.0000,0.6151,0.6163,0.5686,0.5435,0.5320,0.5564,0.5073,0.0542,0.2500,0.2251,0.0208,0.6025,0.5516,0.5709,0.5601,0.5235,0.5221,0.4083,0.1345,0.1069,0.5756,0.5633,0.4254,0.0032,0.4403,0.0219,0.1293,0.4595,0.0188,0.4249,0.4473,0.4523,0.0976,0.5234,0.3326,0.2544,0.1488,0.2519,0.0714,0.0243,0.0063,0.2729,0.0032,0.5577,0.5340,0.5856,0.1537,0.5402,0.3179,0.2176,0.2361,0.2649,0.5348,0.3128,0.2068,0.1450
26,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,7288,0.7112,0.6892,0.7113,0.1101,0.0023,0.3868,0.1608,0.1659,0.0069,0.1711,0.5711,0.4547,0.1707,0.2053,0.3853,0.0183,0.2522,0.7296,0.7314,0.7509,0.7318,0.7153,0.7402,0.7345,0.7531,0.6151,1.0000,0.7246,0.7635,0.7125,0.7294,0.7290,0.6989,0.0925,0.3149,0.2992,0.0312,0.5699,0.7417,0.7482,0.6654,0.7215,0.7115,0.4922,0.1898,0.1566,0.7552,0.7454,0.4417,0.0046,0.5474,0.0183,0.1403,0.4916,0.0207,0.4779,0.5499,0.5480,0.1111,0.7060,0.4141,0.3072,0.1247,0.2953,0.0498,0.0411,0.0115,0.3808,0.0023,0.7322,0.7237,0.7077,0.2131,0.7376,0.2934,0.2860,0.2506,0.3089,0.7310,0.3814,0.2004,0.1345
27,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,6520,0.6565,0.6263,0.6376,0.1033,0.0000,0.4009,0.1601,0.1460,0.0079,0.1432,0.5624,0.4308,0.1429,0.1722,0.3682,0.0184,0.2207,0.6526,0.6544,0.6578,0.6470,0.6408,0.6613,0.6530,0.6595,0.6163,0.7246,1.0000,0.6868,0.6398,0.6326,0.6426,0.6101,0.0762,0.3132,0.2765,0.0331,0.5570,0.6549,0.6777,0.6289,0.6302,0.6307,0.4449,0.1869,0.1501,0.6718,0.6667,0.4389,0.0053,0.4746,0.0210,0.1400,0.4932,0.0211,0.4226,0.4899,0.4804,0.1015,0.6241,0.3586,0.2635,0.1197,0.2558,0.0515,0.0363,0.0132,0.3392,0.0026,0.6520,0.6354,0.6410,0.1964,0.6422,0.2834,0.2571,0.2390,0.2731,0.6362,0.3363,0.1985,0.1364
28,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,11227,0.7622,0.7301,0.9083,0.1007,0.0018,0.4607,0.1612,0.1486,0.0074,0.1569,0.6107,0.4800,0.1566,0.1873,0.3784,0.0166,0.2351,0.9151,0.9168,0.9096,0.8916,0.9043,0.9002,0.9171,0.9092,0.5686,0.7635,0.6868,1.0000,0.8554,0.9028,0.8639,0.8096,0.1041,0.3694,0.3298,0.0345,0.5704,0.9096,0.8963,0.7110,0.8967,0.8953,0.5416,0.2278,0.1888,0.8422,0.8670,0.4580,0.0037,0.5752,0.0185,0.1379,0.4855,0.0166,0.4868,0.5772,0.5648,0.0914,0.8954,0.4208,0.2929,0.1168,0.2780,0.0496,0.0368,0.0092,0.3696,0.0018,0.9149,0.8634,0.7673,0.2416,0.9069,0.2974,0.2609,0.2289,0.2870,0.9024,0.3651,0.1941,0.1289
29,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,12275,0.7295,0.6977,0.8530,0.1039,0.0037,0.4497,0.1651,0.1630,0.0075,0.1608,0.6173,0.4745,0.1648,0.1959,0.3825,0.0168,0.2445,0.8564,0.8644,0.8540,0.8330,0.8426,0.8319,0.8384,0.8567,0.5435,0.7125,0.6398,0.8554,1.0000,0.9024,0.9123,0.8732,0.1236,0.3636,0.3429,0.0465,0.5287,0.8603,0.8468,0.6673,0.8451,0.8336,0.5842,0.2414,0.1974,0.7934,0.8146,0.4550,0.0037,0.5871,0.0187,0.1373,0.5018,0.0168,0.5218,0.6090,0.5823,0.1006,0.8533,0.4644,0.3174,0.1181,0.2952,0.0521,0.0392,0.0093,0.3887,0.0019,0.8593,0.8916,0.7381,0.2464,0.8936,0.2983,0.2637,0.2384,0.3068,0.9116,0.3919,0.1941,0.1262
30,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,15671,0.7311,0.6953,0.9218,0.0993,0.0034,0.4255,0.1549,0.1549,0.0067,0.1549,0.5980,0.4555,0.1546,0.1869,0.3754,0.0152,0.2374,0.9316,0.9365,0.9263,0.8963,0.9149,0.9013,0.9015,0.9196,0.5320,0.7294,0.6326,0.9028,0.9024,1.0000,0.9327,0.8605,0.1210,0.3763,0.3478,0.0437,0.5285,0.9231,0.8945,0.6834,0.9201,0.8935,0.5539,0.2429,0.1943,0.8275,0.8478,0.4279,0.0034,0.5779,0.0168,0.1277,0.4655,0.0152,0.5017,0.5983,0.5654,0.0926,0.9251,0.4461,0.3042,0.1160,0.2773,0.0471,0.0354,0.0084,0.3788,0.0017,0.9282,0.9478,0.7567,0.2559,0.9782,0.2845,0.2593,0.2172,0.2879,0.9832,0.3630,0.1832,0.1195
31,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,12083,0.7368,0.7115,0.8645,0.1065,0.0036,0.4329,0.1598,0.1661,0.0072,0.1619,0.5951,0.4645,0.1637,0.1960,0.3925,0.0162,0.2500,0.8742,0.8822,0.8814,0.8511,0.8574,0.8499,0.8502,0.8778,0.5564,0.7290,0.6426,0.8639,0.9123,0.9327,1.0000,0.8852,0.1157,0.3737,0.3462,0.0450,0.5471,0.8942,0.8682,0.7019,0.8629,0.8485,0.5853,0.2447,0.1996,0.8121,0.8205,0.4534,0.0036,0.6021,0.0181,0.1369,0.4884,0.0162,0.5187,0.5982,0.5805,0.0993,0.8742,0.4625,0.3143,0.1163,0.2903,0.0505,0.0379,0.0090,0.3936,0.0018,0.8708,0.9160,0.7698,0.2518,0.9207,0.2911,0.2734,0.2329,0.3087,0.9356,0.3892,0.1900,0.1261
32,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,11565,0.6826,0.6715,0.8111,0.1150,0.0039,0.4393,0.1635,0.1793,0.0078,0.1657,0.5815,0.4646,0.1699,0.2023,0.4019,0.0156,0.2601,0.8114,0.8193,0.8149,0.7908,0.7976,0.7868,0.7902,0.8143,0.5073,0.6989,0.6101,0.8096,0.8732,0.8605,0.8852,1.0000,0.1248,0.3766,0.3551,0.0485,0.5201,0.8305,0.8103,0.6800,0.8094,0.8007,0.6038,0.2519,0.1992,0.7565,0.7686,0.4447,0.0039,0.5944,0.0195,0.1456,0.4953,0.0175,0.5158,0.5847,0.5749,0.1072,0.8145,0.4819,0.3263,0.1169,0.3058,0.0484,0.0409,0.0097,0.4030,0.0019,0.8050,0.8488,0.7007,0.2477,0.8485,0.2844,0.2876,0.2466,0.3205,0.8629,0.4120,0.1935,0.1296
33,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,4470,0.0626,0.0611,0.1142,0.1379,0.0000,0.0963,0.0855,0.1702,0.0132,0.1074,0.1074,0.0987,0.1370,0.1500,0.1562,0.0123,0.1568,0.1178,0.1156,0.1054,0.1025,0.1159,0.1020,0.1135,0.1042,0.0542,0.0925,0.0762,0.1041,0.1236,0.1210,0.1157,0.1248,1.0000,0.2276,0.2780,0.2658,0.0569,0.1113,0.0952,0.0852,0.1184,0.1117,0.1519,0.2849,0.3241,0.0795,0.0855,0.1000,0.0135,0.1257,0.0000,0.1111,0.0901,0.0123,0.1299,0.1436,0.1226,0.1429,0.1237,0.1536,0.1751,0.1000,0.1381,0.0303,0.0805,0.0263,0.1686,0.0000,0.1162,0.1158,0.0691,0.3609,0.1096,0.0708,0.1350,0.1222,0.1564,0.1184,0.1111,0.0640,0.0588
