,ChIP,ChIP gene #,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
10,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,7602,0.4926,0.4738,0.5227,0.0660,0.0052,0.4241,0.1737,0.1183,0.0131,0.1716,1.0000,0.5617,0.1670,0.1977,0.3306,0.0190,0.2322,0.5377,0.5353,0.5668,0.5746,0.5576,0.5690,0.5645,0.5764,0.4107,0.4642,0.4448,0.5691,0.5165,0.5054,0.5355,0.5019,0.1200,0.2677,0.2541,0.0753,0.4639,0.5523,0.5636,0.5162,0.5398,0.5411,0.3443,0.1914,0.1589,0.5607,0.5554,0.3943,0.0118,0.4597,0.0185,0.1264,0.3856,0.0153,0.3613,0.4066,0.4171,0.0435,0.4454,0.3309,0.2525,0.0532,0.2191,0.0175,0.0321,0.0100,0.2857,0.0037,0.5440,0.5154,0.5038,0.2003,0.5313,0.2503,0.2109,0.1574,0.2007,0.5000,0.2349,0.1889,0.1282
11,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,5473,0.3983,0.3904,0.3840,0.0715,0.0048,0.4294,0.1995,0.1293,0.0116,0.2253,0.5617,1.0000,0.2198,0.2303,0.3263,0.0201,0.2499,0.3922,0.3912,0.4255,0.4277,0.4089,0.4237,0.4171,0.4305,0.3350,0.3710,0.3510,0.4274,0.3900,0.3703,0.4051,0.3891,0.0987,0.2247,0.2129,0.0682,0.4018,0.4195,0.4306,0.4302,0.4017,0.4030,0.3001,0.1604,0.1354,0.4342,0.4318,0.3708,0.0098,0.4014,0.0209,0.1350,0.3432,0.0170,0.3160,0.3416,0.3661,0.0484,0.3247,0.2913,0.2431,0.0517,0.2172,0.0167,0.0368,0.0116,0.2680,0.0038,0.3992,0.3868,0.3992,0.1663,0.3923,0.2156,0.2154,0.1609,0.2049,0.3657,0.2323,0.1920,0.1401
12,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,1710,0.1147,0.1168,0.1078,0.1460,0.0053,0.1103,0.0795,0.2234,0.0174,0.8061,0.1670,0.2198,1.0000,0.4795,0.3162,0.0249,0.2745,0.1086,0.1078,0.1204,0.1212,0.1146,0.1235,0.1158,0.1229,0.1082,0.1128,0.1059,0.1076,0.1221,0.1076,0.1221,0.1269,0.0690,0.1052,0.1039,0.0541,0.1200,0.1177,0.1175,0.1276,0.1102,0.1106,0.1620,0.0923,0.0795,0.1203,0.1246,0.1328,0.0158,0.1400,0.0373,0.1709,0.1409,0.0266,0.1993,0.1781,0.1481,0.0822,0.0931,0.1854,0.2219,0.0512,0.2311,0.0163,0.0776,0.0162,0.2082,0.0063,0.1064,0.1198,0.1189,0.0858,0.1164,0.0879,0.2221,0.1672,0.2168,0.1071,0.2246,0.1408,0.1255
13,2017_PNAS_Li___STAT5B_IL2-CD8,2526,0.1590,0.1636,0.1549,0.1413,0.0089,0.1467,0.1012,0.2516,0.0839,0.4823,0.1977,0.2303,0.4795,1.0000,0.4037,0.0363,0.2922,0.1499,0.1496,0.1599,0.1573,0.1527,0.1611,0.1531,0.1643,0.1365,0.1484,0.1411,0.1451,0.1657,0.1489,0.1655,0.1710,0.1017,0.1423,0.1479,0.0741,0.1498,0.1589,0.1579,0.1648,0.1546,0.1520,0.1984,0.1234,0.1151,0.1574,0.1625,0.1822,0.0624,0.2015,0.0736,0.2193,0.1823,0.0317,0.2750,0.2490,0.1888,0.0846,0.1354,0.2411,0.2692,0.0534,0.2738,0.0144,0.0973,0.0373,0.2675,0.0273,0.1475,0.1645,0.1582,0.1226,0.1593,0.1157,0.2785,0.1953,0.2574,0.1499,0.2595,0.1619,0.1305
14,2017_PNAS_Li___STAT5B_IL2-CD4,5394,0.2803,0.2774,0.3075,0.1047,0.0094,0.2385,0.1149,0.2217,0.0157,0.3219,0.3306,0.3263,0.3162,0.4037,1.0000,0.0232,0.3112,0.3107,0.3096,0.3189,0.3191,0.3103,0.3243,0.3123,0.3232,0.2424,0.2711,0.2543,0.2964,0.3269,0.3115,0.3302,0.3333,0.1385,0.2459,0.2420,0.0865,0.2730,0.3190,0.3134,0.3043,0.3072,0.3080,0.3002,0.1940,0.1710,0.3018,0.3179,0.2671,0.0146,0.3003,0.0257,0.1799,0.2803,0.0256,0.3991,0.4151,0.3021,0.0567,0.2840,0.3964,0.3588,0.0508,0.3273,0.0162,0.0590,0.0178,0.3893,0.0056,0.3028,0.3404,0.2968,0.1976,0.3298,0.1583,0.3417,0.2065,0.2671,0.3117,0.3069,0.1701,0.1235
15,2017_PNAS_Li___STAT3_noIL21-CD4,238,0.0183,0.0183,0.0147,0.0271,0.0124,0.0181,0.0180,0.0246,0.1128,0.0264,0.0190,0.0201,0.0249,0.0363,0.0232,1.0000,0.0516,0.0134,0.0137,0.0142,0.0134,0.0136,0.0140,0.0132,0.0145,0.0152,0.0169,0.0150,0.0138,0.0148,0.0132,0.0148,0.0152,0.0136,0.0151,0.0161,0.0138,0.0165,0.0150,0.0150,0.0169,0.0141,0.0140,0.0169,0.0153,0.0148,0.0150,0.0144,0.0267,0.1090,0.0233,0.0876,0.0369,0.0212,0.0117,0.0249,0.0207,0.0200,0.0503,0.0127,0.0189,0.0232,0.0111,0.0261,0.0085,0.0679,0.0801,0.0222,0.0963,0.0137,0.0140,0.0144,0.0157,0.0135,0.0231,0.0259,0.0313,0.0252,0.0132,0.0226,0.0291,0.0305
16,2017_PNAS_Li___STAT3_IL21-CD4,2779,0.1929,0.1961,0.1836,0.1265,0.0069,0.1800,0.1160,0.2088,0.0211,0.2795,0.2322,0.2499,0.2745,0.2922,0.3112,0.0516,1.0000,0.1850,0.1834,0.2032,0.1980,0.1884,0.2023,0.1915,0.2028,0.1755,0.1898,0.1810,0.1874,0.2005,0.1801,0.2039,0.2075,0.0862,0.1507,0.1486,0.0575,0.1963,0.2038,0.2049,0.2122,0.1871,0.1879,0.2448,0.1215,0.1063,0.2023,0.2126,0.2174,0.0201,0.2324,0.0369,0.1945,0.2253,0.0264,0.2668,0.2541,0.2407,0.0863,0.1582,0.2585,0.2596,0.0677,0.2459,0.0217,0.0700,0.0208,0.2611,0.0093,0.1828,0.1933,0.1935,0.1153,0.1920,0.1479,0.2498,0.2171,0.2578,0.1777,0.2725,0.1846,0.1481
17,2017_PNAS_Li___H3K4me3-noIL2-CD4,13677,0.5790,0.5335,0.8662,0.0494,0.0050,0.3668,0.1214,0.0990,0.0104,0.1116,0.5377,0.3922,0.1086,0.1499,0.3107,0.0134,0.1850,1.0000,0.9455,0.7999,0.8282,0.8569,0.8260,0.8467,0.8049,0.4292,0.5456,0.4883,0.8194,0.7371,0.8427,0.7467,0.6886,0.1749,0.3681,0.3513,0.1042,0.4745,0.7796,0.7635,0.5734,0.8484,0.8500,0.3741,0.2635,0.2233,0.6903,0.7168,0.3464,0.0091,0.4265,0.0131,0.1096,0.3567,0.0124,0.3710,0.4710,0.4012,0.0310,0.7129,0.3685,0.2511,0.0430,0.2085,0.0136,0.0254,0.0084,0.2857,0.0031,0.9059,0.7694,0.6199,0.2963,0.8323,0.2308,0.1981,0.1373,0.1733,0.8281,0.2109,0.1571,0.0944
18,2017_PNAS_Li___H3K4me3_IL2-CD4,13823,0.5724,0.5273,0.8785,0.0491,0.0050,0.3656,0.1209,0.0984,0.0108,0.1114,0.5353,0.3912,0.1078,0.1496,0.3096,0.0137,0.1834,0.9455,1.0000,0.7915,0.8252,0.8656,0.8205,0.8495,0.8003,0.4233,0.5385,0.4803,0.8135,0.7339,0.8424,0.7406,0.6891,0.1828,0.3778,0.3607,0.1099,0.4685,0.7717,0.7551,0.5655,0.8524,0.8563,0.3743,0.2724,0.2314,0.6849,0.7107,0.3455,0.0094,0.4252,0.0136,0.1095,0.3549,0.0127,0.3692,0.4690,0.3993,0.0311,0.7199,0.3689,0.2507,0.0431,0.2087,0.0135,0.0254,0.0086,0.2852,0.0034,0.9070,0.7671,0.6123,0.3055,0.8255,0.2306,0.1975,0.1369,0.1727,0.8292,0.2098,0.1551,0.0940
19,2017_PNAS_Li___H3K27Ac-noIL2-CD4,11701,0.6469,0.5978,0.7509,0.0557,0.0040,0.3864,0.1360,0.1095,0.0088,0.1243,0.5668,0.4255,0.1204,0.1599,0.3189,0.0142,0.2032,0.7999,0.7915,1.0000,0.8622,0.8060,0.8942,0.8230,0.9306,0.4883,0.6155,0.5476,0.8165,0.7294,0.7795,0.7767,0.6879,0.0988,0.2828,0.2650,0.0529,0.5452,0.8480,0.8473,0.6582,0.7555,0.7498,0.3801,0.1789,0.1412,0.7863,0.7997,0.3758,0.0086,0.4722,0.0137,0.1201,0.3974,0.0138,0.4014,0.4930,0.4507,0.0364,0.6271,0.3782,0.2633,0.0484,0.2216,0.0153,0.0268,0.0085,0.2996,0.0027,0.8049,0.7619,0.6795,0.2069,0.8407,0.2516,0.2134,0.1549,0.1921,0.7616,0.2414,0.1757,0.1068
20,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,12167,0.6178,0.5712,0.7891,0.0535,0.0044,0.3916,0.1319,0.1039,0.0090,0.1245,0.5746,0.4277,0.1212,0.1573,0.3191,0.0134,0.1980,0.8282,0.8252,0.8622,1.0000,0.8650,0.8897,0.8910,0.8704,0.4674,0.5810,0.5253,0.8339,0.7292,0.7909,0.7570,0.6858,0.1345,0.3208,0.3028,0.0801,0.5169,0.8167,0.8118,0.6238,0.7939,0.7925,0.3811,0.2164,0.1782,0.7448,0.7660,0.3684,0.0085,0.4524,0.0134,0.1150,0.3790,0.0126,0.3871,0.4814,0.4315,0.0339,0.6532,0.3746,0.2576,0.0466,0.2154,0.0149,0.0255,0.0084,0.2906,0.0025,0.8355,0.7537,0.6516,0.2443,0.8246,0.2451,0.2048,0.1481,0.1835,0.7753,0.2289,0.1688,0.1021
21,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,12990,0.5847,0.5386,0.8440,0.0515,0.0042,0.3794,0.1253,0.1011,0.0103,0.1174,0.5576,0.4089,0.1146,0.1527,0.3103,0.0136,0.1884,0.8569,0.8656,0.8060,0.8650,1.0000,0.8390,0.9282,0.8158,0.4345,0.5454,0.4965,0.8229,0.7336,0.8148,0.7397,0.6834,0.1669,0.3571,0.3407,0.1016,0.4805,0.7783,0.7670,0.5775,0.8343,0.8379,0.3846,0.2517,0.2105,0.7023,0.7244,0.3570,0.0093,0.4399,0.0136,0.1105,0.3648,0.0126,0.3735,0.4676,0.4137,0.0325,0.6986,0.3701,0.2516,0.0444,0.2092,0.0141,0.0253,0.0085,0.2839,0.0032,0.8691,0.7527,0.6185,0.2805,0.8138,0.2364,0.1980,0.1435,0.1782,0.7988,0.2188,0.1609,0.0979
22,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,12233,0.6313,0.5797,0.7741,0.0537,0.0046,0.3807,0.1323,0.1064,0.0093,0.1269,0.5690,0.4237,0.1235,0.1611,0.3243,0.0140,0.2023,0.8260,0.8205,0.8942,0.8897,0.8390,1.0000,0.8570,0.9054,0.4727,0.5965,0.5332,0.8197,0.7318,0.7975,0.7711,0.6867,0.1120,0.2979,0.2804,0.0608,0.5224,0.8345,0.8285,0.6306,0.7760,0.7705,0.3756,0.1923,0.1533,0.7620,0.7839,0.3704,0.0089,0.4585,0.0137,0.1161,0.3849,0.0130,0.3953,0.4900,0.4351,0.0352,0.6467,0.3764,0.2595,0.0466,0.2177,0.0145,0.0258,0.0082,0.2959,0.0027,0.8243,0.7674,0.6649,0.2228,0.8524,0.2465,0.2073,0.1500,0.1857,0.7844,0.2328,0.1705,0.1031
23,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,12574,0.5992,0.5530,0.8252,0.0515,0.0041,0.3853,0.1283,0.1017,0.0096,0.1190,0.5645,0.4171,0.1158,0.1531,0.3123,0.0132,0.1915,0.8467,0.8495,0.8230,0.8910,0.9282,0.8570,1.0000,0.8301,0.4476,0.5598,0.5111,0.8357,0.7331,0.8017,0.7425,0.6817,0.1543,0.3427,0.3259,0.0926,0.4965,0.7927,0.7841,0.5955,0.8241,0.8268,0.3853,0.2378,0.1966,0.7205,0.7421,0.3613,0.0089,0.4462,0.0139,0.1130,0.3704,0.0125,0.3764,0.4708,0.4205,0.0328,0.6791,0.3682,0.2514,0.0451,0.2107,0.0144,0.0253,0.0087,0.2868,0.0031,0.8574,0.7498,0.6299,0.2657,0.8144,0.2408,0.1997,0.1455,0.1800,0.7880,0.2233,0.1645,0.0997
24,2017_PNAS_Li___H3K27Ac_IL2-CD4,11747,0.6432,0.5932,0.7573,0.0558,0.0043,0.3870,0.1359,0.1103,0.0092,0.1267,0.5764,0.4305,0.1229,0.1643,0.3232,0.0145,0.2028,0.8049,0.8003,0.9306,0.8704,0.8158,0.9054,0.8301,1.0000,0.4858,0.6132,0.5473,0.8227,0.7262,0.7812,0.7748,0.6876,0.1024,0.2857,0.2680,0.0562,0.5405,0.8447,0.8427,0.6532,0.7634,0.7564,0.3815,0.1819,0.1438,0.7867,0.8004,0.3757,0.0090,0.4713,0.0142,0.1195,0.3945,0.0141,0.4045,0.4928,0.4484,0.0366,0.6302,0.3766,0.2630,0.0479,0.2230,0.0152,0.0273,0.0088,0.2981,0.0029,0.8103,0.7588,0.6767,0.2104,0.8385,0.2531,0.2112,0.1535,0.1926,0.7619,0.2409,0.1734,0.1066
25,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,5666,0.5225,0.5060,0.4030,0.0475,0.0029,0.2998,0.1347,0.0920,0.0081,0.1099,0.4107,0.3350,0.1082,0.1365,0.2424,0.0152,0.1755,0.4292,0.4233,0.4883,0.4674,0.4345,0.4727,0.4476,0.4858,1.0000,0.5841,0.5912,0.4999,0.4216,0.4031,0.4513,0.4153,0.0459,0.1659,0.1536,0.0265,0.5627,0.4910,0.5122,0.5166,0.4206,0.4189,0.2590,0.1031,0.0812,0.5272,0.5050,0.3265,0.0088,0.3688,0.0160,0.1106,0.3589,0.0137,0.3045,0.3376,0.3654,0.0391,0.3320,0.2563,0.2015,0.0554,0.1796,0.0195,0.0248,0.0088,0.2235,0.0030,0.4425,0.4164,0.4812,0.1221,0.4318,0.2511,0.1686,0.1486,0.1638,0.3967,0.1933,0.1775,0.1177
26,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,7288,0.5828,0.5572,0.5105,0.0504,0.0032,0.3299,0.1444,0.0997,0.0092,0.1168,0.4642,0.3710,0.1128,0.1484,0.2711,0.0169,0.1898,0.5456,0.5385,0.6155,0.5810,0.5454,0.5965,0.5598,0.6132,0.5841,1.0000,0.6327,0.6301,0.5128,0.5119,0.5587,0.5061,0.0616,0.1934,0.1756,0.0305,0.5423,0.6235,0.6359,0.5869,0.5294,0.5262,0.3012,0.1201,0.0949,0.6544,0.6247,0.3569,0.0091,0.4276,0.0141,0.1153,0.3781,0.0133,0.3456,0.3955,0.4162,0.0406,0.4139,0.2976,0.2245,0.0549,0.1976,0.0177,0.0254,0.0082,0.2499,0.0026,0.5628,0.5183,0.5691,0.1399,0.5482,0.2558,0.1839,0.1529,0.1758,0.5011,0.2121,0.1780,0.1153
27,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,6520,0.5386,0.5194,0.4600,0.0518,0.0033,0.3165,0.1389,0.1005,0.0094,0.1085,0.4448,0.3510,0.1059,0.1411,0.2543,0.0150,0.1810,0.4883,0.4803,0.5476,0.5253,0.4965,0.5332,0.5111,0.5473,0.5912,0.6327,1.0000,0.5662,0.4664,0.4586,0.5060,0.4581,0.0645,0.1931,0.1785,0.0338,0.5086,0.5492,0.5763,0.5391,0.4795,0.4788,0.2915,0.1235,0.1000,0.5822,0.5572,0.3362,0.0091,0.3983,0.0155,0.1133,0.3587,0.0138,0.3269,0.3654,0.3884,0.0405,0.3790,0.2833,0.2175,0.0573,0.1928,0.0182,0.0255,0.0088,0.2376,0.0028,0.5035,0.4698,0.5226,0.1436,0.4894,0.2534,0.1780,0.1517,0.1718,0.4506,0.2053,0.1682,0.1145
28,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,11227,0.6302,0.5835,0.7823,0.0485,0.0036,0.4102,0.1381,0.0956,0.0092,0.1110,0.5691,0.4274,0.1076,0.1451,0.2964,0.0138,0.1874,0.8194,0.8135,0.8165,0.8339,0.8229,0.8197,0.8357,0.8227,0.4999,0.6301,0.5662,1.0000,0.6937,0.7596,0.7283,0.6597,0.1275,0.3081,0.2877,0.0801,0.5328,0.8081,0.8158,0.6374,0.8013,0.8051,0.3633,0.2096,0.1744,0.7551,0.7591,0.3688,0.0084,0.4528,0.0132,0.1099,0.3772,0.0125,0.3660,0.4528,0.4261,0.0326,0.6258,0.3425,0.2373,0.0454,0.2003,0.0145,0.0235,0.0081,0.2734,0.0027,0.8509,0.7123,0.6499,0.2362,0.7746,0.2562,0.1914,0.1408,0.1713,0.7373,0.2099,0.1680,0.1020
29,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,12275,0.5710,0.5370,0.7208,0.0586,0.0036,0.3507,0.1248,0.1161,0.0098,0.1260,0.5165,0.3900,0.1221,0.1657,0.3269,0.0148,0.2005,0.7371,0.7339,0.7294,0.7292,0.7336,0.7318,0.7331,0.7262,0.4216,0.5128,0.4664,0.6937,1.0000,0.7800,0.8114,0.7693,0.1663,0.3572,0.3441,0.1070,0.4661,0.7112,0.6915,0.5508,0.6941,0.6936,0.4323,0.2513,0.2102,0.6269,0.6483,0.3502,0.0091,0.4389,0.0141,0.1216,0.3813,0.0152,0.3951,0.4927,0.4226,0.0370,0.6342,0.4066,0.2741,0.0473,0.2311,0.0151,0.0290,0.0091,0.3118,0.0030,0.7307,0.7806,0.6089,0.2751,0.7700,0.2289,0.2196,0.1674,0.2074,0.7811,0.2591,0.1676,0.1028
30,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,15671,0.5514,0.5073,0.8244,0.0518,0.0044,0.3397,0.1116,0.1047,0.0099,0.1106,0.5054,0.3703,0.1076,0.1489,0.3115,0.0132,0.1801,0.8427,0.8424,0.7795,0.7909,0.8148,0.7975,0.8017,0.7812,0.4031,0.5119,0.4586,0.7596,0.7800,1.0000,0.8029,0.7430,0.1862,0.3933,0.3772,0.1140,0.4436,0.7626,0.7268,0.5436,0.7764,0.7773,0.3778,0.2759,0.2311,0.6483,0.6723,0.3263,0.0089,0.4112,0.0129,0.1077,0.3408,0.0129,0.3710,0.4785,0.3902,0.0308,0.7512,0.3886,0.2573,0.0427,0.2125,0.0135,0.0255,0.0085,0.2953,0.0030,0.8349,0.8316,0.6273,0.3156,0.8600,0.2142,0.2024,0.1390,0.1783,0.8933,0.2159,0.1473,0.0886
31,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,12083,0.6079,0.5697,0.7147,0.0617,0.0036,0.3654,0.1302,0.1222,0.0096,0.1258,0.5355,0.4051,0.1221,0.1655,0.3302,0.0148,0.2039,0.7467,0.7406,0.7767,0.7570,0.7397,0.7711,0.7425,0.7748,0.4513,0.5587,0.5060,0.7283,0.8114,0.8029,1.0000,0.7879,0.1376,0.3291,0.3127,0.0860,0.4998,0.7718,0.7494,0.5991,0.7053,0.7000,0.4232,0.2226,0.1822,0.6862,0.7061,0.3668,0.0088,0.4706,0.0144,0.1221,0.3923,0.0146,0.4090,0.5024,0.4504,0.0377,0.6270,0.4037,0.2766,0.0479,0.2325,0.0153,0.0290,0.0089,0.3169,0.0028,0.7421,0.7954,0.6550,0.2470,0.7929,0.2407,0.2246,0.1675,0.2106,0.7801,0.2599,0.1715,0.1053
32,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,11565,0.5632,0.5362,0.6828,0.0636,0.0040,0.3497,0.1264,0.1252,0.0104,0.1312,0.5019,0.3891,0.1269,0.1710,0.3333,0.0152,0.2075,0.6886,0.6891,0.6879,0.6858,0.6834,0.6867,0.6817,0.6876,0.4153,0.5061,0.4581,0.6597,0.7693,0.7430,0.7879,1.0000,0.1712,0.3606,0.3438,0.1214,0.4602,0.6859,0.6647,0.5559,0.6568,0.6586,0.4355,0.2544,0.2151,0.6095,0.6292,0.3527,0.0089,0.4453,0.0149,0.1258,0.3787,0.0155,0.4041,0.4880,0.4324,0.0390,0.5962,0.4108,0.2787,0.0484,0.2342,0.0149,0.0298,0.0095,0.3204,0.0029,0.6867,0.7347,0.5970,0.2731,0.7112,0.2217,0.2291,0.1737,0.2186,0.7241,0.2720,0.1703,0.1063
33,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,4470,0.0620,0.0588,0.2055,0.0487,0.0124,0.1073,0.0372,0.0805,0.0219,0.0690,0.1200,0.0987,0.0690,0.1017,0.1385,0.0136,0.0862,0.1749,0.1828,0.0988,0.1345,0.1669,0.1120,0.1543,0.1024,0.0459,0.0616,0.0645,0.1275,0.1663,0.1862,0.1376,0.1712,1.0000,0.4202,0.4608,0.4361,0.0506,0.1043,0.0901,0.0662,0.1692,0.1813,0.1750,0.5140,0.5430,0.0678,0.0750,0.0974,0.0178,0.0885,0.0183,0.0753,0.0808,0.0108,0.1221,0.1426,0.0843,0.0280,0.2126,0.1641,0.1365,0.0188,0.1098,0.0053,0.0336,0.0144,0.1413,0.0082,0.1740,0.1625,0.0820,0.4746,0.1404,0.0532,0.1149,0.0769,0.1039,0.1863,0.0950,0.0535,0.0371
