,ChIP
57,2017_PNAS_Li___STAT3_noIL21-CD4
58,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8
59,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
60,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8
61,2016_SCIENCE_Mackay___Hobit_invitro-CD8
62,2017_PNAS_Li___STAT5B_noIL2-CD8
63,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO
64,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
65,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
66,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO
67,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT
68,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
69,2017_PNAS_Li___STAT5B_IL2-CD8
70,2017_PNAS_Li___STAT5B_IL2-WT-CD4
71,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4
72,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8
73,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8
74,2017_PNAS_Li___STAT3_IL21-CD4
75,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8
76,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
77,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
78,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
79,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8
80,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE
81,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP
82,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN
83,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT
84,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO
