,ChIP
34,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV
35,2017_PNAS_Li___STAT5B_IL2-CD4
36,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8
37,2017_PNAS_Li___STAT3_IL21-CD4
38,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8
39,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8
40,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
41,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
42,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
43,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4
44,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO
45,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
46,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
47,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
48,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN
49,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP
50,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN
51,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4
52,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
53,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
54,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE
55,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP
56,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8
57,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT
58,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO
59,2017_PNAS_Li___STAT5B_IL2-CD8
60,2017_PNAS_Li___STAT5B_IL2-WT-CD4
61,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4
62,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
63,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
64,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT
65,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8
66,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8
67,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8
68,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO
69,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
70,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN
71,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
72,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO
73,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO
74,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8
75,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
76,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
77,2017_PNAS_Li___STAT3_noIL21-CD4
78,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
79,2016_SCIENCE_Mackay___Hobit_invitro-CD8
80,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8
81,2017_PNAS_Li___STAT5B_noIL2-CD8
82,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO
83,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
84,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
