All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
Ebf1,0.20833835171806428,Jaml,0.12830521194390393,Tfdp1,0.19167998197847247,,,
Lef1,0.2049710279491305,Padi4,0.12665023441254164,Klrg1,0.1912476488792031,,,
Cd69,0.20005174494484562,Bcl11a,0.12453219715250373,Gata3,0.18834688149085196,,,
Pirb,0.19454394534423447,Daxx,0.10840115966329315,Elp3,0.18637933426540912,,,
Ikzf2,0.18983918035802083,Eif2ak2,0.10426868331885124,H2-Ab1,0.11662899841722797,,,
Plaur,0.1815004470383135,Pcgf5,0.08669123735588055,E2f3,0.10955374547727066,,,
Tnfsf8,0.16608090837092085,Batf3,0.07855238816159618,,,,,
Ifi204,0.1363225543965332,Pml,0.07639890679017741,,,,,
Il1r2,0.1357561034391994,Cd200r1,0.06496899995994546,,,,,
Jaml,0.12312122602315503,Cd74,0.05689224607854839,,,,,
Ms4a1,0.11393744650907794,Cd83,0.04560315423729713,,,,,
Batf3,0.10554864550775751,Csf1r,0.04392271151668084,,,,,
Eif2ak2,0.10439823345886581,Sell,0.032268429384624056,,,,,
Sell,0.10307794273351313,Plaur,0.024659879609719614,,,,,
Pml,0.09683659639185518,Cd300c2,0.020313541843839343,,,,,
Pcgf5,0.09152531465564509,H2-Eb1,0.006758118106521348,,,,,
Daxx,0.08909424911615509,Cxcr2,0.001946938220908858,,,,,
Cd83,0.06577100061108668,Ly86,0.0012330607120776588,,,,,
Cd74,0.06255289995688498,H2-Ab1,0.0009630869251131932,,,,,
Ascc3,0.052174582109900246,,,,,,,
Cxcr2,0.015502487365861779,,,,,,,
Ly86,0.014034533706765526,,,,,,,
Csf1r,0.009906903395367725,,,,,,,
H2-Ab1,0.005469463406794577,,,,,,,
H2-Eb1,0.004129279525126044,,,,,,,
Cd300c2,0.0028354496941412673,,,,,,,
Il23r,3.6900560950548897e-09,,,,,,,
