,All_P0,Act-Arm_P0,Act-Cl13_P0,All_P1,Act-Arm_P1,Act-Cl13_P1,All_P2,Act-Arm_P2,Act-Cl13_P2,All_P3,Act-Arm_P3,Act-Cl13_P3,All_P4,Act-Arm_P4,Act-Cl13_P4,All_P5,Act-Arm_P5,Act-Cl13_P5,All_P6,Act-Arm_P6,Act-Cl13_P6,All_P7,Act-Arm_P7,Act-Cl13_P7,All_P8,Act-Arm_P8,Act-Cl13_P8,All_P9,Act-Arm_P9,Act-Cl13_P9,All_P10,Act-Arm_P10,Act-Cl13_P10
Cd48,0.6483382,0.64821535,0.6519841,0.15133779,0.15133779,0.798478,0.5042167,0.50454223,0.5547538,0.6283987,0.61628413,0.6414029,0.5381195,0.5301399,0.5786431,0.4701488,0.48496488,0.44249213,0.56011456,0.5717995,0.54061383,0.31597462,0.30553573,0.31874785,0.77056223,0.6201539,0.7740359,0.54493636,0.54809344,0.36057508,0.7624596,0.7627009,0.5758123
Zfp354c,0.11239497,0.11244644,0.11251328,0.044575144,0.044575144,0.08966194,0.01728499,0.017526044,0.027690025,0.0060077007,0.0047222297,0.007387569,0.0129642505,0.01183094,0.018719692,0.010814484,0.010070739,0.012202808,0.011980125,0.013265765,0.009834552,0.016914058,0.01930355,0.016279256,0.011730818,0.015505051,0.011643653,0.017043017,0.017082635,0.018201932,0.008916872,0.008935565,0.027646208
Sirt5,0.066032104,0.06610539,0.066653736,0.004008706,0.004008706,0.07708784,0.011271108,0.010374528,0.027828734,0.006791091,0.0063604265,0.0072533814,0.005845066,0.00554084,0.007390059,0.0035852217,0.004142564,0.0025448496,0.012200769,0.012617837,0.011504736,0.012368172,0.009217445,0.013205209,0.03598036,0.028404638,0.036155317,0.008662584,0.008737421,0.003578601,0.005395894,0.005407206,0.0
Trip13,0.010949841,0.0109619945,0.010970735,0.0119176945,0.0119176945,0.0,0.13209687,0.12866803,0.12932241,0.14725763,0.13860773,0.1565427,0.120916985,0.11627788,0.14447637,0.114017755,0.113164544,0.11561042,0.044788808,0.05292877,0.031204233,0.027574826,0.033257533,0.026065134,0.025590718,0.008321371,0.025989547,0.0054391013,0.005340627,0.011242697,0.014392233,0.0144224055,0.0
Bst2,0.052552275,0.05255845,0.05154317,0.05067106,0.05067106,0.0,0.02850677,0.029755253,0.016131464,0.02617241,0.020640383,0.03211068,0.021483807,0.020923777,0.024327883,0.01761974,0.01955113,0.014014481,0.025257377,0.025607066,0.024673788,0.029716043,0.023351533,0.031406865,0.048960388,0.018100481,0.049673088,0.038555242,0.038850058,0.018294048,0.011346695,0.011370483,0.0
Prkcd,0.06667715,0.06659582,0.066403404,0.13619007,0.13619007,0.01784365,0.09443193,0.09448486,0.08103826,0.13590384,0.13257718,0.13947478,0.11852561,0.11740645,0.12420917,0.09315505,0.089969635,0.099101156,0.118619986,0.103049025,0.14460595,0.08311048,0.09197586,0.08075526,0.10250296,0.12122526,0.10207057,0.10072596,0.10052248,0.11434795,0.15800713,0.15804155,0.12935145
Kdm7a,1.4910114,1.4908099,1.4887339,1.9344033,1.9344033,1.4034348,0.46942693,0.47751397,0.6383663,0.7948662,0.91179436,0.6693515,0.6789542,0.6753463,0.6972768,0.4898291,0.5039741,0.46342513,0.90387726,0.8558524,0.9840247,1.3416224,1.407657,1.3240794,1.3787687,2.1124501,1.3618245,2.3503041,2.3561976,2.0555432,3.5002959,3.5004516,3.7347915
Irf9,0.20907088,0.2088849,0.20957038,0.23488827,0.23488827,0.038126033,0.23919746,0.24068955,0.19637582,0.2627927,0.25178403,0.27460983,0.22386052,0.21581107,0.26473907,0.22733559,0.21596435,0.2485619,0.2511589,0.23883858,0.2717199,0.16964474,0.17429191,0.16841015,0.17904583,0.18539788,0.17889914,0.24188681,0.24182086,0.23908925,0.2862561,0.28603697,0.36110547
Ruvbl2,0.059365828,0.05932741,0.058923885,0.03483937,0.03483937,0.018510703,0.26481146,0.26275665,0.23185553,0.10270234,0.112490416,0.092195496,0.17055272,0.17689659,0.13833582,0.10854078,0.111505784,0.10300611,0.14425181,0.15867099,0.12018802,0.07273322,0.072164476,0.072884314,0.05607118,0.07755211,0.055575084,0.057255954,0.057286672,0.05768827,0.035174288,0.035225976,0.04372015
Cd36,0.009733467,0.009744271,0.009864705,0.0,0.0,0.0,0.018946,0.016832711,0.029898604,0.0011706863,0.0016055612,0.00070387684,0.024782669,0.022962943,0.03402402,0.0,0.0,0.0,0.00036809986,0.0004243102,0.0002742919,0.001951881,0.0012711275,0.0021327327,0.0020991634,0.0,0.002147643,0.0029821945,0.0030278794,0.0,0.00086787273,0.0008696922,0.0
Mycbp,0.04005364,0.040024616,0.040152553,0.020289881,0.020289881,0.014887496,0.11111035,0.108487494,0.11397027,0.06256474,0.06646278,0.058380444,0.07045375,0.070896216,0.068206735,0.06674675,0.072991624,0.05508965,0.067393556,0.07354903,0.057120837,0.050522845,0.07171959,0.04489163,0.026263898,0.0315435,0.026141968,0.017417828,0.016988348,0.04771763,0.02810011,0.028032215,0.040323976
Fcgr2b,0.0025071164,0.002509899,0.0025409202,0.0025213044,0.0025213044,0.0,0.012396876,0.0129171135,0.011916916,0.027639003,0.03742259,0.017136969,0.018410733,0.019657016,0.012081581,0.016491754,0.020986443,0.008101667,0.022008263,0.024139997,0.018450668,0.006779795,0.02210616,0.0027081296,0.017806277,0.029001364,0.01754773,0.11921323,0.12035604,0.042265203,0.22118846,0.22150563,0.046599913
Rfc1,0.54408205,0.5439348,0.5445672,0.35062498,0.35062498,0.53430605,0.9274541,0.92809135,0.8275217,0.43381757,0.4504237,0.41599196,0.6254454,0.6494494,0.50354296,0.9075975,0.9231399,0.878585,0.6559579,0.7199443,0.5491726,0.38042358,0.49647394,0.34959313,0.47648665,0.29996818,0.48056328,0.35891113,0.35929722,0.34140807,0.31961843,0.31982535,0.22527216
H2-Eb1,0.0036829084,0.003686996,0.0037325656,0.017163968,0.017163968,0.0,0.041082434,0.037261993,0.068387955,0.0046109445,0.005981263,0.0031399985,0.04493974,0.04563801,0.04139364,0.0009191718,0.0014115853,0.0,0.005195446,0.006422869,0.0031470319,0.0111055495,0.012603027,0.010707724,0.006924135,0.0,0.007084046,0.009354831,0.009146322,0.02175711,0.00328888,0.003295775,0.0
Tsg101,0.24583764,0.24596938,0.24618746,0.30666828,0.30666828,0.31297076,0.3123503,0.31101194,0.32462755,0.33285153,0.32504663,0.34122962,0.35078272,0.34870926,0.3613126,0.3125312,0.31085977,0.31565118,0.2854113,0.2959419,0.2678371,0.2321466,0.23579636,0.231177,0.25639555,0.30790472,0.25520596,0.26963508,0.26952982,0.30445582,0.3638781,0.36415583,0.39714652
Ovol2,4.463286e-05,4.4682398e-05,4.523465e-05,0.0029752497,0.0029752497,0.019050771,0.003043579,0.0032653867,0.0008739839,0.0052577457,0.0076411804,0.002699286,0.0052744406,0.005768951,0.0027631035,0.0070434026,0.0077905506,0.005648727,0.008706963,0.012351906,0.0026240104,0.001967721,0.001998427,0.0019595635,0.035520233,0.0,0.036340564,0.0012652143,0.001198378,0.008689227,0.029975334,0.030038176,0.0
Apc,1.1260593,1.1264604,1.1238858,0.9997654,0.9997654,0.59007597,0.6869324,0.67777646,0.7839357,0.9109366,0.901381,0.92119384,0.7654676,0.7733155,0.72561264,0.7265922,0.7306255,0.7190632,0.7678589,0.752676,0.7931973,0.94190955,0.94221574,0.9418282,1.1807072,0.91588324,1.1868232,1.1041726,1.1068774,0.9428091,1.2835256,1.2829489,1.6152855
Cd9,0.046093874,0.046145033,0.04592631,0.02581191,0.02581191,0.0378009,0.13279639,0.12722437,0.16630226,0.12582232,0.06858031,0.18726785,0.115531385,0.10318333,0.17824012,0.1115468,0.087047055,0.15727967,0.13098931,0.09538025,0.19041637,0.25864136,0.1950584,0.27553308,0.0830786,0.044854723,0.08396137,0.056034163,0.053280625,0.22955617,0.02772877,0.02727293,0.18953048
Taf1,0.38186234,0.3819728,0.38069576,0.46381032,0.46381032,0.29628158,1.124574,1.1229082,0.97998273,0.9272097,0.92192113,0.93288666,1.0047114,1.012727,0.96400446,1.3060615,1.2802185,1.3543017,0.89772856,0.9377783,0.8308906,0.64184207,0.64852667,0.6400662,0.45492816,0.3306738,0.45779777,0.41496828,0.41416067,0.4669369,0.41086364,0.41091725,0.35145944
Sell,0.93811494,0.93827385,0.9389479,0.48461148,0.48461148,0.93299997,0.04236909,0.044814385,0.1992447,0.0066845957,0.008289929,0.004961377,0.01514072,0.016797762,0.006725546,0.0059742294,0.0067116003,0.0045978036,0.009267375,0.008237835,0.010985547,0.026696837,0.03613717,0.024188878,0.014554087,0.021778975,0.01438723,0.007839931,0.007860201,0.0061737746,0.007327946,0.007086323,0.10686883
Cry1,0.3315775,0.3318668,0.332231,0.4132889,0.4132889,0.2463765,0.29869413,0.30151686,0.2580379,0.35264054,0.33818728,0.36815515,0.2811778,0.2747014,0.31406763,0.28670263,0.27580222,0.30705005,0.37261146,0.35205847,0.4069118,0.33687842,0.3699641,0.32808873,0.46874154,0.5327035,0.46726435,0.57949823,0.58243114,0.40825364,0.6125274,0.61251754,0.44612965
Mef2a,1.5382266,1.538042,1.5383501,1.3836358,1.3836358,2.4417787,1.1084343,1.1171306,1.2640423,1.3807752,1.4472089,1.3094631,1.2176516,1.2356775,1.1261085,1.2198405,1.2593315,1.146124,1.3431095,1.3757614,1.2886176,0.9987286,1.1170423,0.96729684,1.7351078,1.8814298,1.7317286,1.6997375,1.7012463,1.6189681,2.0358102,2.037688,1.5302677
Creb1,1.5444646,1.5446786,1.5473791,0.9671863,0.9671863,1.3308169,1.1035159,1.1077614,1.1467537,1.1096772,1.1303034,1.0875365,1.1322416,1.154479,1.0193101,0.924365,0.9698905,0.83938414,1.0639081,1.0368383,1.1090842,0.82139605,0.86846644,0.8088911,1.1007129,0.72059983,1.1094915,1.0153072,1.0188642,0.79912335,1.191757,1.1919887,0.840216
Cd84,0.78053284,0.78019804,0.7821199,0.46792915,0.46792915,0.4218695,0.28252807,0.2791371,0.37043208,0.37016734,0.31658757,0.42768168,0.32560715,0.31629294,0.3729087,0.28586227,0.2567002,0.34029815,0.41066623,0.35399207,0.5052482,0.57219195,0.49158046,0.5936076,0.71786356,0.52275646,0.7223695,0.6228242,0.6243592,0.5240333,0.70494425,0.7047702,0.85600305
Pecam1,3.2088661,3.2098017,3.2125812,2.4248195,2.4248195,1.3428288,1.0734103,1.0479493,1.344377,1.5497462,1.1390331,1.9906195,1.2952627,1.1905792,1.8268908,1.1296066,0.9247217,1.5120584,1.2542542,0.9914324,1.6928707,3.2813997,2.839725,3.398737,2.3862374,1.6922534,2.4022646,2.008946,2.0046937,2.2117636,0.67389756,0.6733751,0.7061031
Mybl2,0.012693399,0.012707487,0.01235973,0.016290208,0.016290208,0.0,0.39250693,0.3918814,0.31829572,0.16472098,0.16465239,0.16479462,0.22538777,0.23408175,0.18123594,0.32029626,0.3272361,0.30734193,0.17755653,0.20821999,0.12638308,0.06472873,0.08976329,0.058077943,0.08185276,0.026820095,0.083123714,0.018991956,0.018660663,0.0384803,0.026604805,0.026491616,0.06978089
Dpp4,2.208657,2.208653,2.2093475,1.9938493,1.9938493,1.7305411,0.68458766,0.68934786,0.8118148,0.61501414,0.68180436,0.54331917,0.7160002,0.7367374,0.6106879,0.6484108,0.6751598,0.5984793,0.8491995,0.8676057,0.81848186,1.49571,1.7274493,1.4341452,0.8830399,0.96731067,0.8810937,1.3961356,1.4018232,1.0445178,1.2192216,1.2196218,1.0643748
Hmgb3,0.0034677722,0.0034716208,0.0034160274,0.022449736,0.022449736,0.0,0.02972064,0.03001237,0.023433652,0.017485263,0.019337496,0.015497013,0.028825182,0.031391162,0.015794028,0.022686284,0.021888088,0.02417625,0.013866866,0.015839051,0.010575538,0.01371931,0.011266743,0.014370869,0.0051253033,0.0068942783,0.0050844494,0.008656495,0.00863537,0.011531498,0.0074162846,0.0073478012,0.026721792
Gtf3a,0.041836638,0.04180265,0.041664347,0.033197522,0.033197522,0.0,0.4036766,0.4005489,0.34439808,0.120373785,0.13583277,0.103779584,0.24342334,0.25190005,0.20037507,0.21844766,0.22943383,0.19794013,0.23434527,0.25043553,0.20749262,0.09648423,0.084349886,0.09970789,0.09102099,0.097165264,0.09087908,0.033054423,0.03257232,0.06315297,0.037290007,0.03715052,0.069216594
Dach1,0.0043141367,0.0043189246,0.001623265,0.010792837,0.010792837,0.0,0.037925866,0.031774934,0.08316061,0.012673011,0.006149646,0.019675415,0.046081353,0.035803884,0.09827477,0.0043317056,0.0025929708,0.007577343,0.0052145347,0.0025997858,0.009578222,0.036946334,0.018705446,0.04179228,0.0076216743,0.0033725456,0.007719807,0.0047259536,0.00471719,0.0050192103,0.007604226,0.007620168,0.0
E2f5,0.080889896,0.08087707,0.08061526,0.06481187,0.06481187,0.015294557,0.076719835,0.07671154,0.06867373,0.056171935,0.056065235,0.056286465,0.07003685,0.06609523,0.0900541,0.06016902,0.0630586,0.05477514,0.054432947,0.059912965,0.04528749,0.03988092,0.04615069,0.03821527,0.05216148,0.046041526,0.05230282,0.036549225,0.036201563,0.059431717,0.03683783,0.03680618,0.034623194
Plag1,0.030221665,0.030187009,0.029479863,0.07543826,0.07543826,0.034676835,0.04825274,0.0483424,0.042012267,0.027660688,0.034421816,0.020403065,0.029901527,0.03112107,0.023708161,0.0408471,0.049407598,0.024867505,0.03045958,0.03596702,0.021268355,0.027554411,0.038404554,0.024671916,0.021425867,0.020175532,0.021454744,0.047807917,0.04810631,0.029631993,0.04850022,0.048452567,0.04748817
Jaml,0.11524206,0.11520148,0.116152905,0.05464282,0.05464282,0.16293687,0.122969,0.12721077,0.102966085,0.121007815,0.102980986,0.14035843,0.12758489,0.12447202,0.14339337,0.11764597,0.11947851,0.11422523,0.11660193,0.106739946,0.13306034,0.13334392,0.109645665,0.13963969,0.13713849,0.06363279,0.13883607,0.12632672,0.12543266,0.17733604,0.05088785,0.050840873,0.07338416
Tshz2,0.0027232703,0.0027262927,0.002341117,0.043446794,0.043446794,0.0,0.089020446,0.08303244,0.11289186,0.045239717,0.02464423,0.067347616,0.055909403,0.052535344,0.07304433,0.037648883,0.033638053,0.045135763,0.03630983,0.033879634,0.04036553,0.15923488,0.08533813,0.17886661,0.06442259,0.03645529,0.06506849,0.049100097,0.049274806,0.035711553,0.012159132,0.012184623,0.0
Med8,0.048134573,0.0481198,0.048024174,0.04698778,0.04698778,0.019538376,0.06621582,0.065087356,0.06419713,0.058653936,0.055628594,0.061901435,0.05818966,0.057283875,0.06278963,0.05810878,0.055051308,0.063816056,0.05906588,0.05979089,0.057855926,0.06387606,0.052788544,0.06682162,0.038241304,0.040913716,0.038179584,0.037095726,0.037283882,0.023507282,0.044201214,0.044252023,0.07145069
Ikzf1,14.048829,14.05074,14.082263,9.215677,9.215677,10.620238,6.135561,6.1264114,6.9109817,7.121595,6.947371,7.308613,6.330191,6.4867334,5.535202,5.9414053,6.1271987,5.5945907,6.0198064,6.406796,5.373969,6.23232,6.56298,6.1444755,11.809836,8.305634,11.890765,7.24737,7.2729764,5.67401,6.807774,6.8095484,6.4149637
Nr3c1,1.5494859,1.5493592,1.5502135,1.5097281,1.5097281,2.6624184,0.8506069,0.85532504,1.1241679,0.83100414,0.87697774,0.7816546,0.82041264,0.8439986,0.70063305,0.7349743,0.77626395,0.6579003,0.8804778,0.94495636,0.7728712,0.58928734,0.76374143,0.54294115,0.7393505,0.8703975,0.736324,1.114657,1.120704,0.7528558,1.3682187,1.3694472,1.0620327
Phf19,0.0042536315,0.0042583523,0.004215335,0.0005036695,0.0005036695,0.0,0.12526433,0.12809484,0.080059364,0.09072248,0.08859897,0.09300193,0.089974456,0.09062775,0.086656705,0.0959266,0.09939912,0.08944454,0.08531769,0.097584285,0.0648463,0.016854959,0.018872429,0.01631899,0.03781851,0.009591918,0.038470395,0.008706386,0.008568049,0.016803185,0.0113247335,0.011128342,0.07000241
Klrb1c,0.00033419623,0.00033456716,0.00033870226,0.0006769431,0.0006769431,0.020453487,0.0025655834,0.0027609172,0.00906539,0.0020886844,0.002248697,0.0019169211,0.0012528739,0.0014132676,0.00043832627,0.0013889696,0.0014230679,0.0013253194,0.0015636958,0.0016432273,0.0014309678,0.00033272282,0.00088937575,0.0001848401,0.016497495,0.0,0.0168785,0.00946616,0.009574723,0.0022541706,0.02002366,0.02006564,0.0
Tfdp1,0.09788935,0.09794667,0.09789793,0.069500044,0.069500044,0.0,0.40030026,0.40032265,0.32112047,0.14929119,0.13160232,0.16827904,0.2215097,0.23036748,0.1765261,0.30363208,0.29698667,0.3160368,0.21303545,0.24247354,0.16390698,0.12846471,0.14163959,0.124964625,0.17542462,0.10395861,0.1770751,0.06351887,0.06336563,0.07211955,0.058502447,0.058590744,0.05020785
Il17ra,0.4585494,0.45820555,0.4591303,0.2633316,0.2633316,0.3800951,0.19898789,0.20055425,0.259183,0.24821167,0.2506711,0.24557163,0.20619468,0.20356949,0.21952662,0.19156142,0.19749638,0.18048279,0.21449617,0.23039249,0.1879672,0.14774683,0.16506653,0.1431456,0.16615649,0.14059429,0.16674682,0.21646366,0.21729852,0.16263436,0.3106103,0.3109253,0.18360604
Cxcr4,0.025714736,0.025743278,0.025709193,0.032814153,0.032814153,0.07355391,0.029398737,0.030164413,0.03322511,0.02194124,0.018509042,0.025625482,0.025856914,0.025338758,0.028488338,0.019685095,0.021436933,0.016414996,0.0175676,0.018457087,0.016083157,0.024539042,0.030779611,0.022881147,0.012042838,0.0054679886,0.012194682,0.0073956107,0.0073241065,0.01336298,0.0067983703,0.006766124,0.014786451
Zbtb11,0.99756294,0.99816906,0.99364954,1.8550918,1.8550918,1.025532,2.0279176,2.0304875,1.7315534,1.7402732,1.8372751,1.6361481,1.8483479,1.8681623,1.7477216,2.0681906,2.1201227,1.9712505,2.0188816,2.0096753,2.0342453,1.620491,1.7388322,1.589052,1.0168561,1.280353,1.0107707,1.235728,1.2324166,1.4005575,0.845177,0.844855,0.8623953
Tial1,0.38539112,0.3855047,0.3850478,0.42863867,0.42863867,0.48040605,0.5738907,0.5708292,0.55368006,0.46368784,0.4513974,0.47688085,0.49330646,0.49088135,0.50562215,0.5077199,0.5170386,0.4903249,0.47619975,0.5004198,0.4357795,0.34821784,0.3678021,0.34301502,0.4356766,0.31953964,0.43835875,0.33057195,0.3304759,0.34296066,0.334787,0.3345885,0.43945375
Esr1,0.3598699,0.36007774,0.3593414,0.24101174,0.24101174,0.07912521,0.024691328,0.024203211,0.047689456,0.050381593,0.040825795,0.060639113,0.033974614,0.033200838,0.03790419,0.02344157,0.016956555,0.035546932,0.051011145,0.04555651,0.060114242,0.09270733,0.10233227,0.09015032,0.03254874,0.031824153,0.032565475,0.044565413,0.044759147,0.033544764,0.051910836,0.05195904,0.019277865
Rere,1.9709797,1.9714724,1.9799246,1.0520725,1.0520725,1.9883794,0.68416816,0.6915417,0.8953357,0.47315487,0.4842117,0.46128613,0.4850049,0.49655023,0.42637262,0.47725415,0.50884473,0.41828507,0.3946194,0.3878691,0.4058848,0.5376587,0.5643037,0.5305801,0.77345395,0.6800021,0.7756122,0.74023086,0.7444033,0.47894758,0.8708508,0.8716572,0.7199835
Pml,0.26252037,0.26257378,0.26055905,0.31424367,0.31424367,0.14285307,0.4969678,0.48871812,0.50560105,0.3619561,0.31248373,0.41506138,0.38641763,0.383673,0.40035605,0.39039838,0.3984138,0.37543622,0.38242197,0.3833533,0.38086772,0.3883937,0.39736596,0.38601008,0.63035196,0.41552413,0.63531333,0.35874575,0.35795414,0.4017921,0.20847137,0.20849355,0.28460962
Polr2h,0.09380759,0.09383069,0.09377618,0.17391913,0.17391913,0.03430595,0.20355451,0.20953357,0.12909457,0.15790142,0.1718444,0.14293456,0.18389118,0.18310463,0.1878856,0.20322533,0.21434925,0.18246068,0.22461843,0.23444788,0.20821433,0.15741707,0.13420437,0.16358386,0.08572669,0.09398942,0.08553587,0.11300536,0.11233443,0.15536915,0.122991554,0.12302409,0.071648575
Snrpd1,0.62050813,0.6205929,0.6183509,0.89736503,0.89736503,0.7787633,4.252003,4.2554865,3.5001123,2.4949882,2.632891,2.3469586,3.1269472,3.1677554,2.9197056,3.053136,3.1555257,2.862009,2.5999055,2.8659246,2.155953,1.3633273,1.4282368,1.3460832,1.1026045,1.1891512,1.1006057,0.7867182,0.7814644,1.0916227,0.6972685,0.6969846,0.74821854
