gene_name,0_KO-NAV,1_KO-NAV,2_KO-NAV,3_KO-NAV,4_KO-NAV,5_KO-NAV,6_KO-NAV,7_KO-NAV,8_KO-NAV,9_KO-NAV,0_WT-NAV,1_WT-NAV,2_WT-NAV,3_WT-NAV,4_WT-NAV,5_WT-NAV,6_WT-NAV,7_WT-NAV,8_WT-NAV,9_WT-NAV
Mitd1,0.24263038,0.3030262,-0.1756782,-0.5996679,0.79558754,0.3843849,-1.221586,0.22547312,-0.28264776,-0.08788442,0.3173806,-0.25976056,-0.7598006,-0.12969863,0.8990985,0.5446279,-1.1607593,0.51949584,-0.13679408,-0.17827435
Rev1,0.32426727,0.46038455,-0.4056787,0.6735802,0.55221057,-1.434321,0.49900073,-0.81532645,-1.0005323,-0.10615233,0.23668325,0.9187953,0.10700912,-0.0011090662,0.6417362,-1.419915,0.34482092,-0.6031194,-0.5610932,1.2541778
Aff3,1.1019772,-0.8499892,-1.2053887,-0.6867575,-0.7106308,1.0523833,1.3046877,-0.87736183,1.7626864,1.734861,1.0532026,-0.29157805,-1.1119285,-0.628082,-0.40430087,1.0394567,1.7863365,-0.87144417,1.520372,0.22254868
Gm16152,0.56656796,-0.03948042,-1.0846432,-0.29327866,-0.96563405,0.9991473,1.6367621,-0.8892213,0.7084031,0.4463715,0.61007565,1.0774524,-0.8125847,-0.16691649,-0.63939905,1.0873908,1.3890525,-0.8911175,1.3940437,0.7406324
Rnf149,0.327663,0.36619827,-0.13579686,-0.5897738,0.12763028,-0.33027953,0.13221419,-0.107828274,0.26311177,-0.5022538,0.3713137,-0.022932518,0.40236577,-0.98955965,0.79473394,-0.20189606,0.109532736,-0.8345586,-0.04716791,0.29959157
Map4k4,1.104361,0.1063251,-0.3055189,0.18721607,-1.4217453,-0.15679136,-0.13461362,-0.77336454,2.0807312,0.6843479,1.1301626,0.5825596,-0.33166662,-0.05656479,-0.8634275,-0.2397508,-0.22769056,-1.0532955,1.1777511,-0.2213861
Il1r2,-0.31680027,-0.059288558,-0.3007738,-0.1585958,0.10952585,-0.64210856,-0.24582854,0.45332193,1.4431367,0.19795518,-0.31424198,-0.11908378,0.49083737,-0.62109804,0.42037103,-0.66985923,-0.25393435,-0.22174361,-0.3609499,0.016429137
Il1rl2,0.08123324,0.24766967,0.5998362,-0.64656323,-0.70822674,-0.9920024,-0.08796964,-0.41795126,-0.5108916,-0.10067116,0.09434253,-0.43515554,-0.26027304,0.24369784,0.8617953,-0.5942134,-0.64746237,1.0684639,-0.5185463,-0.4262671
Il18r1,-2.384663,-0.63532203,3.5984588,0.15943402,0.3523014,-1.91303,-1.7440524,0.9462953,1.6926531,-1.9256035,-2.3995214,0.42350644,3.1937134,0.30863443,1.2206926,-1.844426,-1.4653933,1.3219559,0.60743594,-1.7769216
Il18rap,-3.0906074,-2.1077635,4.0899777,1.2812624,1.3151022,-1.6744454,-2.4172993,2.2149642,0.43276283,-2.8426187,-3.130438,-1.5339427,3.7496345,2.0735621,0.5612933,-1.5329676,-2.0801368,2.1129274,-0.04402463,-2.976897
Tgfbrap1,0.100701205,0.4459169,1.0088987,-0.28869444,0.730016,-0.5195236,0.34356004,-0.32598773,-0.37277967,-0.19611302,0.17540458,0.19131632,-0.47326225,0.09952131,-0.19622263,-0.3800151,0.78468466,-0.61151767,0.92213774,-0.35661292
Nck2,-0.9581171,0.83247936,0.089486025,0.21731098,-0.9615365,0.8654841,-0.20781761,-0.27201703,0.69718975,-0.28741717,-0.9407277,1.2175646,-0.12681518,0.18646947,0.46141535,0.9398865,-0.12107818,-0.5810599,-0.21846832,-0.18533
Slc39a10,0.88504463,-0.1652977,0.19863002,-0.6567381,-0.08000736,-0.16386136,-0.27732357,-0.34826404,-0.30796596,-0.10402465,0.7891382,-0.8393577,0.024927795,0.06738008,0.506201,-0.23773909,-0.08206517,-0.19007342,-0.4764032,-0.5536419
Stat1,1.0647342,3.812267,-0.9221633,-0.2968589,-0.72238666,1.921757,-3.5254023,-1.1179354,0.10226071,1.5556984,0.8747906,3.9111187,-2.2426617,-0.67326427,-1.8849126,1.7934052,-3.7059202,-1.1822983,0.45320866,1.4447451
Mfsd6,-0.20124385,0.589188,0.04096392,-0.59488857,0.9081166,-0.3179157,0.8857262,-0.12472681,0.43393898,-0.08712286,-0.17208692,0.41670573,-0.20766935,-0.18207335,-0.16938902,-0.3938848,1.3620054,-0.33813262,0.34960213,0.11963476
Pgap1,-0.28047803,1.0263002,0.5139222,0.5029669,-0.6257277,-0.3190622,-0.4606887,0.7139135,0.18620719,0.5588417,-0.06950297,-0.62347746,-0.27637923,-0.36278692,-0.5602508,-0.27372184,-0.432603,-0.29598513,0.10971092,-0.056579147
Maip1,-0.33186805,1.1588391,-0.5190597,0.14633667,0.4229408,-0.39249554,-1.3698742,-0.054660633,-0.22835681,1.0493522,-0.3448897,1.1044362,0.2089194,-1.0994099,-0.020399362,-0.24201323,-1.1901937,0.74725056,1.6782894,0.34657124
Kctd18,-0.6716543,-0.023410313,0.7348195,0.34730864,-0.26925123,-0.19882268,-0.18272567,0.19021831,1.0116657,-0.011983635,-0.5964273,0.38416693,1.034238,-0.77513194,0.3877126,-0.30550632,-0.3147795,0.09722431,0.008976699,-0.27852532
Gm15834,-0.1401782,-0.2571497,0.109535,-0.4667261,0.79595655,0.02051934,0.090124585,-0.30709946,-0.35019863,-0.24265236,-0.13203503,-0.27949917,-0.3949526,-0.19803338,0.93088585,-0.020355245,0.121384576,0.304052,-0.37281772,-0.24466692
Fam126b,0.6309167,0.3212126,-0.36496708,-0.14471857,-0.6968704,-0.48903248,0.46504813,-0.8269142,-0.16295536,0.29599175,0.45531967,0.05843711,-0.05219495,0.15714654,0.02089643,-0.57157934,0.5702722,-0.10338587,-0.058649354,1.0796919
Cflar,-0.7652046,-0.033137698,0.49508137,-0.31260628,-0.47235492,0.7814225,-0.63681275,0.65762603,0.83033353,0.26558906,-0.7735378,0.9543478,0.57383555,-0.28373742,-0.21863858,0.77175796,-0.32954803,0.7381191,-0.61591643,0.35141218
Stradb,0.03861198,-0.35733315,0.3450754,-0.2070718,-0.32935438,0.81699836,-0.7185851,0.93209314,0.6804959,-0.11580033,0.06343644,-0.99732435,0.2930863,-0.44769955,0.39626116,0.72209525,-0.66156167,-0.20262545,-0.5538591,0.038481575
G730003C15Rik,0.5107876,0.2961184,-0.44868976,-0.35342532,-0.3917897,-0.14790809,-0.64416724,-0.32980293,0.28683457,0.22178662,0.5273843,0.67769957,-0.20866752,-0.18582502,-0.38370773,-0.18469445,-0.6362447,-0.31275713,0.5542284,0.020949356
Als2,-0.5819105,0.18341552,0.4038402,0.44637886,0.13826905,-0.10395646,-0.067978576,0.09625907,0.9949463,-0.33841506,-0.5745137,-0.41305327,0.5008543,-0.14338014,-0.118233986,-0.014624343,-0.032331917,-0.37219405,-0.47994417,-0.09520506
Gm973,-0.17672835,0.24804087,-0.2433168,-0.16373564,-0.1322231,-0.33944702,-0.33773556,-0.17488065,-0.12421277,0.049585387,-0.17117484,-0.141138,-0.25823867,-0.18334274,-0.12065512,-0.3603012,0.2532169,-0.15684599,-0.16117337,0.15041485
Nop58,1.4388177,0.98545736,-2.1863763,-0.9533231,1.532633,-0.4955851,-1.9801186,0.13440087,-1.2613194,0.41595444,1.4378924,0.5535469,-1.2642964,-0.110621534,2.6613994,-0.53392637,-1.743232,0.6774388,-2.1155078,-0.0022600987
Bmpr2,-0.2833248,-0.009072708,-0.43871304,-0.1334374,0.2875038,-0.09065969,0.5386274,0.39371923,0.1934749,0.77019453,-0.27419698,-0.35867852,0.2924925,-0.46295196,-0.12925872,-0.1297026,0.010714683,-0.30998242,-0.36374322,0.7756453
Wdr12,0.12811562,1.4707955,-0.9121801,-0.80907494,-0.0784276,-0.31894886,1.3044392,-0.40198508,0.9677224,1.5695919,0.17972486,1.1091034,-0.90605927,-0.37508133,-0.19146785,-0.4585693,1.2472361,-0.67941976,-0.22079895,0.5818192
Carf,-0.03525814,0.0709323,-0.44286466,0.07170289,-0.294597,0.2893676,1.4064487,0.27344373,-0.27574736,0.16547409,-0.013159489,0.6887376,-0.2751078,-0.10765643,-0.7451486,0.22587538,1.8790244,-0.26637945,-0.13923432,0.8571602
Nbeal1,0.4491058,0.16596216,-0.183132,-0.2239815,-0.48223722,0.4726141,0.7719202,-0.3659056,0.27482635,0.27264684,0.2108462,-0.08495078,-0.2644618,0.05789416,-0.6135824,0.3896343,0.23419376,-0.5594271,-0.14027071,0.3258306
Cyp20a1,-0.2557989,0.16828148,0.50238615,-0.04645478,0.28484312,-0.20218195,-0.36218813,0.7288295,-0.8540457,-0.7558038,-0.35546774,0.22213167,0.035294317,-0.033975776,0.41697273,-0.082610466,0.19121256,0.6350693,-0.3250355,-0.071320735
Cd28,-3.3292284,-0.9205765,1.8977146,0.08092111,0.59175026,-0.1569591,-0.9328343,0.57742023,3.4065852,-2.1643085,-3.3879077,-0.939528,3.0988486,1.0695788,0.033470184,-0.051231448,-1.1919917,0.81708616,3.2781198,-2.6316803
Gm11579,-0.27809796,0.15101622,-0.3725418,-0.11511492,-0.5180826,-0.7802314,1.2895396,-0.29594293,0.52585447,1.2184938,-0.27247268,1.901861,-0.36373493,-0.38966754,-0.23662691,-0.8079868,1.3788636,-0.2709402,-0.38560137,0.31577703
Ctla4,-1.4398432,-0.7132342,1.5984969,0.011518255,1.1745263,-0.76708084,-0.6391552,0.19063379,5.502072,-0.85478216,-1.4326696,-0.7909693,1.0844631,-0.815618,0.6755289,-0.8593221,-0.7148443,-0.08722015,2.7875025,-1.9774526
Icos,-1.6269987,-0.6975403,0.53794956,-1.1129988,0.27588457,-1.0518309,-0.8591249,1.2598332,4.091439,-0.88921195,-1.5270486,-0.5316154,1.3982311,0.058267266,1.1953286,-1.043909,-1.1386975,1.1495322,2.2364624,-0.7468847
Gm4208,-0.7273197,-0.16331278,1.1164939,-0.64006096,-0.3650796,-0.835398,-0.5391472,0.5780348,-0.7178148,-0.4633365,-0.72302437,-0.3997982,1.048296,-0.049717966,1.4231634,-0.78756994,-0.5423996,1.1766378,-0.20489338,-0.87867504
Ino80d,-0.64498836,0.11983075,0.6862807,0.09324259,-0.3037633,0.4672549,1.04291,-0.68796676,0.00141916,-0.29707128,-0.7313389,-1.1515027,0.24716741,0.113591336,0.5276502,0.33157972,1.6708101,-0.011921091,-0.7020649,0.19226317
Ino80dos,-0.33310843,0.2726204,0.19287299,-0.07882908,0.1496264,-0.21347211,-0.25738242,-0.2596573,-0.3412914,0.64442444,-0.3304838,-0.13037422,-0.294797,0.42757186,-0.5664778,-0.24948893,-0.26531726,0.44695282,-0.37643304,-0.0139927175
Gm20342,0.5883431,0.12093897,-0.37880433,-0.37008077,-0.27374256,-0.2744326,-0.0740908,0.87600327,0.8411577,0.052884284,0.731136,-0.07685473,-0.50531495,-0.29386523,-0.42694575,-0.043964803,0.03319827,-0.021932626,-0.17387931,0.0820541
Klf7,1.2557805,0.7189503,-0.9663981,-0.37575173,-1.0493846,-0.81707937,0.77793336,-1.152907,-0.17970659,0.8310636,1.2128297,1.1734012,-0.48194975,0.3670835,-0.31028533,-0.85756195,0.63071626,-0.39190337,-0.61776954,0.39958453
Ccnyl1,0.0072571714,-0.16257708,0.12803385,0.8855987,-0.62073815,-0.72016555,0.21458319,-0.31002867,-0.41082698,0.07529305,0.014233505,-0.2059063,0.029963108,-0.15499862,-0.6640782,-0.32282197,0.23965132,0.27972665,-0.43881273,0.18144968
Plekhm3,0.258311,-0.616114,-0.05719023,-0.21693991,-0.7070643,0.44948396,0.67541814,-0.06555616,0.0022122695,-0.3142774,0.27646607,0.4482648,0.10847318,-0.3472212,-0.23587386,0.38909,0.7709565,-0.45274013,1.2180079,0.5182579
Pikfyve,-0.23094024,-0.09948919,-0.10057606,-0.4210293,-0.5298142,0.6593203,0.21208069,-0.43806195,0.67632043,1.6646321,-0.20499599,1.2422485,-0.06475495,0.11350423,-0.36088163,0.56083816,0.1265735,-0.29624888,0.48940286,0.13931614
Kansl1l,0.60861695,0.0540562,-0.5975644,-0.33146724,-0.15617841,1.6471814,-0.8277575,-0.3668037,0.3890536,-0.3511481,0.63586295,-0.8465035,-0.40639803,-0.0008639023,-0.27110064,1.5563133,-0.78409743,-0.14549342,0.2359833,-0.24746057
Lancl1,0.4311921,-0.4054841,-0.17846292,-0.46079186,0.90203655,0.67614466,0.15852962,-0.4972963,0.0012015672,0.17275472,0.2712386,0.49058443,-0.5451329,0.20144232,-1.000281,0.549646,0.30964756,0.9720458,-0.13771072,0.07947282
Ikzf2,-0.97905314,-1.6055524,-0.95306754,0.08463428,-0.49655956,7.7391443,-1.3760177,-0.63770676,0.54244083,1.2208813,-0.9779076,-1.5864015,-0.55956024,-0.28132173,-0.64820254,7.7856917,-1.4259586,-0.8350876,0.031486366,1.5769906
Fn1,0.029228378,0.036264345,0.7977428,-0.347985,-0.29860198,-0.15761997,-0.16428229,-0.17220874,-0.19347832,-0.18411,0.03320242,-0.03658606,-0.2032057,-0.41804895,-0.32078713,-0.18545212,-0.17335051,-0.14693089,-0.23827419,0.08541133
D230017M19Rik,-0.03001362,-0.16038266,-0.28895518,-0.21492206,-0.19865403,-0.38836947,-0.4005825,-0.21023497,-0.17307033,0.008988213,-0.02215541,-0.19407967,-0.3029856,-0.23984265,0.9500379,-0.41146922,-0.3997793,-0.19212162,1.0842917,0.10494026
Rpl37a,5.024969,5.435286,-3.5997922,-2.3949654,-3.2470093,-3.273551,4.0029597,-5.205902,0.79158676,4.532953,5.096324,5.234938,-3.4744859,-2.4299216,-3.0335295,-3.2581036,4.1343527,-4.6160016,0.9371741,4.1888447
Rufy4,0.08765332,-0.06485327,-0.20282213,-0.058922686,-0.015749255,-0.33419174,-0.31648487,-0.13741452,-0.052824587,0.15625331,0.09501956,-0.112063624,-0.22470357,-0.059227373,0.0072894585,-0.3507666,-0.31694013,-0.12141193,-0.093097724,0.30060053
Cxcr2,-0.41974556,0.22022377,-0.51188904,0.30599195,0.022889398,-0.55075866,0.40431806,0.2302071,-0.471145,-0.33903283,-0.4109958,0.4857884,0.58126056,-0.51610255,0.055766538,-0.58960164,0.4658937,0.8726453,1.4233392,-0.34995693
Retreg2,-0.14876913,-0.00874722,-0.9364689,0.7383478,0.029671315,-0.9396919,0.6238691,-0.8168311,0.073594004,0.033557434,-0.14882126,-0.005260062,0.66680646,0.56873626,0.38426712,-0.88257194,1.0895896,-0.20029427,0.38816038,-0.49802235
Ankzf1,-0.3619995,0.7879036,-0.45510304,-0.3848176,-0.53564405,0.65589404,0.89177114,-0.059711296,0.6687081,0.326429,-0.3390477,1.6338396,0.20125997,-0.5559288,-0.66185784,0.63700074,0.4914326,-0.20903882,0.08151353,0.35851586
Tuba4a,1.8063745,0.1363066,-1.245205,1.115551,-0.5830112,1.527434,-1.5751543,-0.2512489,-1.5511241,-0.76867265,1.7524785,-2.3599389,-1.4871787,0.75464475,-0.77490306,1.5762874,-1.5555114,0.94902307,-1.945603,-0.015845193
A630095N17Rik,0.14302476,0.11584545,-0.17206192,-0.37054092,0.45392293,-0.5076051,-0.073007345,-0.14911179,-0.18327668,0.7462764,0.1462508,0.02793115,-0.15859783,-0.028583601,-0.3370543,-0.5287535,-0.08556879,-0.121727526,-0.23356971,-0.30880296
Dnajb2,0.8832225,0.2803023,0.009225495,-0.18633568,-0.24013497,-0.86938614,1.2002375,-0.16386336,-0.33673963,0.2767798,0.9181067,-1.0380802,-0.6439936,-0.5307573,-0.21123762,-0.54494244,1.0471185,-0.6492698,-0.23654535,0.54128456
Ptprn,0.20210753,0.0056874026,0.30545494,-0.21336283,-0.16354258,-0.6602092,-0.21687491,-0.150058,-0.12309442,-0.029603243,0.20851009,-0.058231317,-0.20332772,-0.2523723,-0.16584514,-0.67537385,-0.2225818,-0.12878129,-0.16696905,0.009762016
Gmppa,0.35760698,0.26424372,0.2692209,-1.0552915,0.5691125,-0.049531635,-0.8866431,-0.014929403,0.25259557,-0.46091413,0.2570047,-0.04698039,-0.57981575,0.04913233,1.5700065,-0.13290954,-0.78358996,0.643642,-0.9434336,-0.1422886
Stk11ip,0.07485018,-0.023052694,0.89195496,0.23207021,0.28138208,-0.033816494,0.31942007,-0.45076713,-0.16236834,0.33144954,0.096225396,-0.83497185,-0.87117374,-0.11882086,0.9384183,-0.108014956,0.41506952,-0.36544794,0.08887357,-0.46953878
Mogat1,-0.35774425,1.2567501,-0.45458823,-0.36111584,-0.40141678,-0.17909163,0.476936,-0.33448258,0.23855886,1.3450307,-0.34805748,1.6754549,-0.17427407,-0.39560077,-0.3937936,-0.21577819,0.5465689,-0.31739113,-0.34468156,0.45585838
Acsl3,0.40367565,-0.09866498,-0.64437693,0.16846915,-0.4515426,1.5704335,-0.1928043,-0.45754194,-0.42467785,0.22543812,0.42676178,-0.03192492,-0.6798213,-0.33975676,-0.04879986,1.4978899,-0.123705484,-0.447836,0.10981476,0.6589502
Utp14b,-0.085829906,0.14236997,-0.32228938,-0.26048192,-0.25509176,0.45649198,-0.44173652,-0.23689662,0.33960676,-0.03038549,-0.07770041,0.83536255,-0.33481985,0.06173214,-0.24867213,0.4166576,-0.43997616,-0.21845579,-0.24104962,0.05661117
Serpine2,-0.061514515,0.37035698,1.5877728,-0.6755519,-0.10511337,-0.3633022,-0.015590722,-0.31848565,0.7300749,-0.9256854,-0.061330575,-0.012025532,-0.26320878,-0.8600369,-0.55843365,-0.18340182,-0.037343387,0.12771359,-0.6144806,0.38128933
Col4a4,-0.14625317,-0.09557382,-0.30308113,0.7563507,1.0893012,-0.2635233,-0.29719117,-0.24287713,-0.2879866,-0.25503188,-0.14133628,-0.1467521,-0.2948795,0.22957806,-0.449142,-0.29552823,-0.30258128,-0.2177551,-0.32243177,0.39867264
Agfg1,0.93930507,0.6251615,-0.02178823,0.111887805,0.36071247,-0.95795536,0.24548577,-0.19084609,-0.09333751,-0.33168685,1.0113097,-0.1241573,-0.53729534,-0.51040447,-0.18312018,-0.81578696,0.5312214,-0.39293414,-0.10068927,-0.29726723
Trip12,-0.07537821,0.016078562,0.5952606,-0.5269663,0.031050015,1.1836324,-1.2143613,-0.39417785,0.064359896,0.08813927,-0.07548341,-0.99070567,-0.44354516,0.18501118,0.4531104,1.1834911,-1.2757592,0.32558432,0.13792276,-0.1868227
C130026I21Rik,0.63195395,0.17628098,0.08665106,-0.34549046,-1.0123241,-0.04854044,1.7935574,-0.9090882,0.055501785,0.5243699,0.67644554,3.2896717,-0.39489362,-0.35060808,-0.70480335,0.0017538064,1.8697059,-0.4131115,-0.018819183,1.380853
A530032D15Rik,-0.23710845,-0.3080384,0.48028365,-0.29846406,-0.31605613,0.8033853,0.011064972,-0.28397578,-0.26596993,-0.046462364,-0.2282128,-0.31691542,-0.09059726,-0.3281895,-0.30715036,0.75426775,0.047063466,-0.26659313,0.9971039,0.056926027
Gm16094,0.35354662,-0.04607919,-0.21372066,-0.15599893,-0.11380094,-0.72748363,-0.28218734,-0.15456662,-0.10454592,0.045632895,0.3623942,-0.099133454,-0.22657675,-0.1784127,-0.1048658,-0.74049807,-0.28493756,-0.13574193,-0.14524837,0.13282824
Sp100,-1.5532594,-1.5134417,2.8851612,1.3954251,0.71129274,-0.317314,-1.9596599,0.5631339,0.34215665,-2.2386885,-1.5581746,-0.5192268,2.4021304,1.1506737,0.20045872,-0.4177826,-1.8616726,0.8494257,0.69853514,-1.8895204
Itm2c,-0.17946588,-0.60357,1.2105825,-1.0382187,0.57175,1.36845,-1.1516234,-0.41176057,0.28047186,0.29023322,-0.12189855,-0.23532575,1.3316063,-0.087450944,-1.0215118,1.4214286,-1.1642545,-0.36732844,0.34392697,0.68595123
Armc9,0.47527754,0.25992984,-0.20387113,-0.029934349,-0.22872362,-0.34145772,0.30201483,-0.40156284,0.20300162,-0.11251869,0.49458006,0.3020385,0.0077242483,-0.44649318,-0.24468201,-0.24534659,-0.20054151,-0.38603017,-0.4089154,0.016203573
Ptma,0.26948607,-1.5850102,-2.659855,3.345281,2.89386,0.91887,-0.5273517,2.61211,-6.1400237,-2.4078941,0.19663014,-2.8434467,-2.9998357,3.747539,4.0923,0.9052034,-0.2963821,3.3049483,-5.964629,-2.855425
