gene_name,CD25KO,CD25WT,P14NAV
A130010J15Rik,-0.39440116,-0.42280033,0.6399225
4930570N18Rik,1.7711633,0.873011,-1.3254313
Lamb3,0.9246757,1.9726384,-1.7473211
Hsd11b1,0.25812218,1.7841771,-1.2982827
G0s2,0.99074095,0.2924562,-0.5330056
Acbd7,0.28953916,-0.30959532,-0.30396
Dclre1c,0.92284626,-0.39782658,0.009994436
Frmd4a,-0.49466822,-0.6491402,0.8343748
Optn,-0.5123588,-0.2628814,0.003627279
Camk1d,-0.54782027,0.11303973,0.31408802
Upf2,-0.09999752,0.21338375,0.03187047
Usp6nl,0.49585804,-0.298613,0.0045219744
Gata3,-2.4329944,0.9322766,0.582086
Gm13256,-0.6954756,-0.0386376,-0.089859374
Kin,-0.3769864,-0.056460552,0.36038882
Itih5,-0.7296457,0.3925009,-0.0991113
Sfmbt2,-0.9668075,-0.06628466,0.6230312
Il15ra,0.7061138,0.762297,-0.749525
Vim,1.5367978,4.8065166,-4.1312947
Nsun6,-0.061425634,0.23048213,0.0012971526
Arl5b,0.51629376,-0.42152593,0.21599385
Plxdc2,-0.32393646,-0.34504396,0.2712969
Mllt10,0.17946596,0.15366173,-0.053594474
Msrb2,-0.12327606,-0.24396151,0.38155922
Otud1,-0.46946642,-0.3100272,0.59120274
Arhgap21,-0.42492446,-0.49435025,0.2590485
Enkur,0.012041794,-0.2713817,-0.28676134
Thnsl1,-0.85587114,-0.084160246,0.51122767
Psd4,0.4567286,-0.1593745,0.04966284
Dph7,-0.30750945,0.35716292,0.021653308
Pnpla7,0.415332,-0.6245743,0.4135814
Tor4a,-0.32335192,0.23012756,0.12188361
Tubb4b,-1.7764935,0.62686884,0.50366086
Tmem203,-0.6229334,0.45765805,0.09359786
AA543186,0.6286329,-0.47513223,-0.30244824
Paxx,0.7324295,-0.019203756,-0.18217216
Tmem141,0.0023810305,-0.5967004,0.47049353
Bmyc,1.1469411,-1.0571876,0.3945502
Nacc2,0.9908891,-0.8612683,0.23885214
Tmem250-ps,-0.37260807,0.4496907,-0.016691279
Qsox2,0.33300734,-0.541336,0.3901159
Snapc4,-0.92472583,0.07631104,0.5065763
Notch1,-0.57473993,-0.81759185,1.0161624
Fam69b,0.46660945,-0.44871265,-0.13025708
Lcn4,4.62618,-0.7449751,-1.4517416
Med22,1.261595,-0.50282866,-0.08796407
Cacfd1,0.72183704,-0.09288398,-0.12266
Vav2,0.047362853,-0.07556271,-0.29785305
Rxra,-0.5088633,0.8664646,-0.6168515
Olfm1,0.27336615,0.026645955,-0.61906046
Gtf3c4,-0.3344038,0.3311792,-0.03695002
Ddx31,0.79910254,0.23732361,-0.4342981
Cfap77,0.35966653,-0.29982695,-0.43214452
Ttf1,-1.1528425,-0.61151886,1.1318027
Setx,-0.7677275,0.2600449,0.3072339
Sptan1,-1.7907884,-0.028455995,0.99587846
Zdhhc12,0.32380515,-0.12892437,0.088798605
Zer1,0.8104312,-0.26663205,-0.03503866
Tbc1d13,1.7494566,-0.23988736,-0.5325875
Usp20,-0.061638627,-0.14021344,0.267458
Gpr107,0.3540204,0.50793135,-0.39712355
Ass1,0.2477295,-0.23075807,0.19956711
Nup214,1.7601411,-0.5778831,-0.24523216
Fam78a,-1.4166715,-1.2126611,1.6996979
Lcn2,-0.39717016,0.28294095,-0.4780867
Naif1,0.33713686,0.5556876,-0.5281888
Fam102a,-1.0501052,-0.72788215,1.1703383
Eng,-0.3885688,-1.0406463,1.0950267
Fpgs,-0.024153782,-0.5643308,0.5588587
Cdk9,0.9939787,0.4247594,-0.63254243
Stxbp1,-0.17666158,-0.38661808,-0.061724946
Lrsam1,-0.037402984,-0.1283153,-0.34009343
Rpl12,-0.4877507,-5.913147,4.7514877
Garnl3,-0.14618412,0.054790687,-0.38223147
Ralgps1,0.22093883,-0.3538714,0.19859451
Angptl2,-0.031497695,-0.30842593,-0.29032406
Zbtb34,-1.139596,0.35955927,0.13534486
Mvb12b,-0.47020072,-0.21822536,0.5235203
Gapvd1,0.10591111,0.87157005,-0.55140823
Hspa5,1.4091947,1.207813,-1.405499
Gm34653,-0.028849395,-0.36244872,-0.18402351
Traf1,1.7292093,0.48268402,-1.0167334
Gsn,-1.6813513,-0.8287705,1.5380983
Rbm18,0.1729571,0.462438,-0.27937022
Rc3h2,-0.027741678,-0.14083074,0.26079747
Zbtb6,0.021354454,-0.068231985,0.15852423
Rabgap1,-0.3375794,-0.50628734,0.67540985
Dennd1a,0.26401,-0.092941195,0.08989074
Nr6a1,0.26179618,-0.3287773,-0.35867962
Wdr38,-0.5479013,-0.1677431,-0.035636924
Golga1,-0.3258441,-0.33630398,0.5440086
Scai,-0.32600856,-0.41591915,0.6030781
Arhgap15,-0.64874744,-1.0440954,1.2183487
Gtdc1,0.30930045,0.15646489,-0.18553574
Zeb2,1.3029691,4.214933,-3.5844073
Orc4,0.3123102,-0.0577411,0.041388813
Mbd5,0.17832115,0.27663183,-0.14418142
Lypd6b,-0.8359336,-0.6531756,0.93924856
Nr4a2,2.6472847,1.0308979,-1.8490891
Gpd2,0.37882882,0.34983447,-0.29149216
Pkp4,-1.6065588,-0.6826637,1.3951198
Dapl1,-1.5526836,-3.521231,3.4734333
Tanc1,-1.9670554,-0.75877386,1.6188467
Baz2b,0.9422835,-0.32198888,-0.055221938
Gm13572,-0.58800423,-0.27914712,-0.035082977
March7,0.5738817,0.35360956,-0.38482657
Cd302,-0.20225391,-0.35439807,-0.16007297
Ly75,-0.2545632,-1.0659926,1.0516067
Tank,-0.15550289,0.27384815,0.012831378
Tbr1,0.014639708,0.20300974,-0.65983623
Dpp4,2.654126,-1.1619298,-0.22742365
Ifih1,0.59240746,0.48581094,-0.4913842
Spc25,-1.4164165,1.5116392,-0.31907186
Abcb11,0.10589148,-0.419867,-0.27864772
Ppig,0.11150127,1.3209611,-0.8869927
Ccdc173,-0.29974467,0.2690701,0.0017720065
Mettl5,-0.08499129,0.37078458,-0.091725744
Myo3b,-0.5997914,0.22729276,-0.36642733
Mettl8,-0.690499,-0.7788392,1.0411791
Dcaf17,0.99307734,-0.21745352,-0.15625727
Dync1i2,-0.34471458,0.9192309,-0.37755838
Metap1d,-0.54505384,-0.3415268,0.6323557
Pdk1,-0.49744785,-2.6788251,2.359422
Rapgef4,-0.059923552,-1.4202969,1.2237937
Cdca7,0.73887056,0.98569304,-0.92977005
Cir1,0.32580927,0.64017814,-0.48202103
Gpr155,-0.07479599,0.42189047,-0.37627307
Lnpk,-0.5705733,-0.009188295,0.41521776
Nfe2l2,-1.1748309,-0.15577273,0.8043104
Pde11a,-0.57009125,-0.30237353,0.0062231272
Rbm45,-0.22651711,0.20135237,0.04618933
Prkra,0.72998667,0.3409885,-0.47427446
Fkbp7,0.053508468,-0.13417573,-0.046093486
Ccdc141,0.030850647,0.14878385,0.019002322
Sestd1,0.9614412,-0.48586926,-0.37894195
Ube2e3,0.7574925,0.4104665,-0.51218253
Itga4,3.3923056,3.9159212,-4.3326473
Dnajc10,-0.2394637,0.113832906,0.17037128
Itgav,1.1794006,0.13536811,-0.5041761
Calcrl,-0.707186,-0.40153757,0.76339614
Selenoh,0.15909119,1.8486594,-1.300096
Tmx2,-0.9780246,0.5382373,0.19871195
Ube2l6,1.0550463,-0.08270425,-0.29511416
Tnks1bp1,-0.28227216,0.5211152,-0.21340603
Celf1,-0.48614928,0.15588471,0.2537151
Spi1,-0.023503745,0.1182975,-0.5418729
Madd,-0.90861744,0.3522155,0.30433384
Nr1h3,0.50063676,-0.6131193,-0.1947413
A330069E16Rik,-0.627062,0.56256557,-0.199022
Atg13,1.5923852,-0.30164346,-0.37205335
Harbi1,0.19158019,-0.40624863,0.30435586
Ambra1,-0.23438616,-0.3232738,0.4578344
Phf21a,0.9022308,-0.29953697,-0.05326714
Cry2,-0.39771664,-0.2830654,0.49270436
Prdm11,-0.8484977,-0.12188621,0.6159416
Trp53i11,-0.14301194,-0.5873957,0.6451978
Cd82,0.13340396,1.1834723,-0.7952827
B230118H07Rik,0.20344259,-0.29000518,-0.2622591
Prr5l,-0.64907515,0.5486944,-0.3590878
Trim44,-0.62035775,0.40539882,0.1311253
Cd44,2.4845397,2.34995,-2.7509391
Cat,0.008073938,0.75633043,-0.4206052
Lmo2,0.1948988,-0.48926896,-0.08281662
Fbxo3,1.1154743,0.15394594,-0.48826945
Cstf3,-0.939744,0.24348567,0.39934838
Qser1,-0.61593765,-0.25132936,0.2156784
Prrg4,-0.9047533,-0.40829542,0.32015345
Arl14ep,-0.20245048,0.1364385,0.11382516
Ccdc34,-1.2201955,1.273537,-0.23372252
Slc12a6,0.5370058,0.36538908,-0.3764384
Scg5,-0.6276299,-0.48836848,0.4053372
Aqr,-0.67311335,0.580573,0.025812287
Zfp770,-0.22427851,-0.46197802,0.55670565
Dph6,-0.26311797,0.27061924,0.06517533
Rasgrp1,-1.4320147,-0.8859793,1.4647548
Bmf,-0.617397,-0.46189314,0.53191483
Plcb2,-0.42809868,-0.07554259,0.39825287
Inafm2,-0.22385044,-0.0013814148,0.24608967
Knstrn,0.5334479,2.4818437,-1.9430369
Ivd,0.025276858,-0.26378003,0.32729095
Bahd1,0.20707475,0.0018543856,0.04388633
Chst14,0.6679377,-0.3736141,-0.30171156
Rpusd2,-0.5610874,0.10016114,-0.031305935
Knl1,-1.5286111,1.5482864,-0.29414973
Ino80,0.28263342,-0.90418756,0.6823634
Exd1,-0.39341542,-0.32440403,-0.09651597
Nusap1,-1.085831,0.958605,-0.06273173
Ndufaf1,-0.2650872,-0.07354561,0.31247395
Mga,-0.5970445,-0.492032,0.78528214
Mapkbp1,0.97981757,-0.22020222,-0.34161764
Tmem87a,0.6112671,-0.19397835,0.0035718568
Capn3,1.2405894,-0.77131313,-0.058359943
Snap23,-0.30280697,0.8175345,-0.32165548
Ttbk2,0.98038673,-0.3398671,-0.5508851
Pdia3,-0.5137016,1.4763936,-0.7119662
Spg11,-0.123373054,0.38238868,-0.13737643
Shf,0.5118548,-0.2554174,-0.11897457
Slc28a2,-1.3922415,0.5928353,0.3505218
Gm14085,0.12509225,-1.1282489,0.9215138
AA467197,2.5671132,1.6487856,-2.2697182
Bloc1s6os,1.4352314,0.43024153,-0.90629286
Sqor,-0.12495091,-0.24870054,0.2434119
Slc24a5,-0.95726967,0.5306524,0.16986932
Dut,0.32984388,1.9750737,-1.4730242
Cep152,-0.1366162,0.008473704,0.06567857
Dtwd1,0.24116182,-0.5286268,0.42333028
Hdc,0.33196592,0.02392133,-0.45128027
Ap4e1,0.4113768,-0.24980022,0.09724741
Tmem127,0.36065814,0.07012313,-0.07579749
Dusp2,2.2678092,1.6277035,-2.11517
Fahd2a,0.06523963,0.41330928,-0.20888524
Kcnip3,0.32898918,-0.23972358,-0.456491
Zfp661,0.3848129,-0.22041196,-0.53059006
Nphp1,0.037950035,-0.55322456,-0.047127716
1500011K16Rik,0.2273465,-1.6335542,1.2484717
Acoxl,0.48463508,-0.24993101,0.059375715
Bcl2l11,1.8576815,0.24404061,-0.8995361
Anapc1,-0.29186386,0.30735394,0.051298518
Tmem87b,1.1138312,-0.25624564,-0.18356314
Gm10762,0.25586203,-0.5026241,0.34331354
Zc3h6,0.096660435,-0.87931216,0.7502539
Polr1b,-0.39556062,-0.47209844,0.6431573
Slc20a1,-1.2719228,1.4751322,-0.35909024
Il1b,-0.39139533,0.3678859,-0.5494252
Sirpa,-0.4245309,-0.27704304,-0.11214335
Nop56,-1.2246455,-0.45359308,1.0481114
Fastkd5,-0.12872021,-0.06967098,0.17216244
Atrn,0.94833577,-0.007182257,-0.30128208
Cenpb,-0.5536287,0.5891373,-0.035994552
Cdc25b,1.033091,1.9432185,-1.7758445
Smox,0.62560713,-0.29780567,0.050968647
Prnp,0.29819104,-0.13963766,-0.46847382
Rassf2,-1.2538755,-1.2349311,1.6406347
Pcna,0.69623476,1.9556348,-1.628687
1700026D11Rik,0.54228485,-0.42820075,-0.054211084
Gpcpd1,-1.4794923,-0.39604494,1.123761
1110034G24Rik,-0.43143225,-0.4046868,0.6436894
Tasp1,0.301233,-0.25441924,0.19226497
Esf1,0.52020127,-0.61404985,0.35710612
Ndufaf5,0.57851225,0.47936404,-0.48015746
Macrod2,0.65025645,-0.10416879,-0.6976042
Rrbp1,0.382076,0.9450041,-0.734008
Rbbp9,-0.25088772,-0.38114238,0.46932098
Cd93,0.33813027,-0.14856029,-0.4331122
Napb,-0.33973953,-0.22772059,-0.18724295
Cst3,2.6325827,1.6584053,-2.307235
Zfp120,-1.0196428,0.23203161,0.444922
Zfp937,-0.26758242,-0.8456947,0.7445674
3300002I08Rik,0.16360933,-0.3798885,-0.05523351
Zfp442,-0.21895587,-0.38288295,0.26886547
Apmap,1.4310069,0.14874166,-0.630873
Acss1,0.64917904,0.10244905,-0.2336723
Id1,-0.14568257,-0.37887412,-0.17630152
Tpx2,-0.95287234,1.5172296,-0.5383762
Hck,-0.38553783,0.18471585,-0.3995831
Pofut1,-0.35840738,-0.16249052,0.43033108
Nol4l,-0.3439146,0.55110604,-0.35783935
Ahcy,0.20701928,0.78464913,-0.5581608
Itch,-0.117812395,0.3027478,-0.026077379
Ncoa6,-0.2868368,-0.21094394,0.4330134
Ggt7,0.3148029,-0.2342356,-0.11272278
Acss2,0.050446607,0.39361775,-0.17151053
BC029722,-0.7919007,0.07079626,0.4586837
Phf20,0.36253405,-0.56072515,0.3907775
Cnbd2,-0.48350108,-0.26887783,0.31484124
Dlgap4,0.2509759,-0.06887561,0.078108564
4930518I15Rik,0.65391475,-0.547625,-0.004238184
Samhd1,1.6447774,0.64144766,-1.0951834
Blcap,0.80729556,-0.12503067,-0.21077292
Lbp,-0.4171447,-0.43477437,0.013364359
Snhg11,-0.4170543,0.037423033,-0.30590662
