gene_name,CD25KO,CD25WT,P14NAV
Plekha6,0.015492467,-0.03539448,-0.0016672893
Sox13,-0.046109203,0.008375936,-0.027640512
Zc3h11a,-0.049305737,0.00046879184,0.032615162
Btg2,-0.089798495,0.08593667,0.008791206
Klhl12,0.023168279,-0.00015459719,-0.019488601
Kdm5b,-0.029511273,-0.055483583,0.068373665
Ppp1r12b,-0.021336943,-0.028407319,0.039227825
Ptpn7,-0.02428705,0.058318466,-0.025056282
Arl8a,0.007825159,0.06643282,-0.05858238
Gm15445,0.0037498819,-0.026137857,-0.036436528
Shisa4,-0.047562838,-0.011531466,-0.015224186
Phlda3,0.007727833,-0.042778045,-0.0076547083
Lad1,-0.019510077,-0.040673625,-0.009484694
Tmem9,-0.023236034,-0.06878322,0.0734644
Camsap2,0.04008249,-0.040917296,-0.008422604
Gm33994,-0.040021837,-0.062748305,0.07800815
Zfp281,-0.0032449993,-0.088753514,0.072163485
Gm19705,-0.16767305,-0.13931696,0.25088182
A430106G13Rik,-0.043428518,-0.015626987,-0.011163847
Gm28556,-0.02584315,0.011746434,-0.04159815
Trove2,0.016055059,-0.059680182,0.013059465
Rgs2,-0.023989026,0.063832246,-0.02962103
Rgs1,0.002527773,0.27090648,-0.21402402
Rgs18,0.0008418901,-0.025711212,-0.041351408
BC003331,-0.02932764,0.055259,-0.018397046
Prg4,-0.011024516,-0.012686554,-0.039853342
Gm10138,-0.019452093,-0.002243099,0.01821855
Swt1,-0.008997349,-0.0059025455,0.01223188
Trmt1l,0.04757926,-0.08057975,0.022753129
Rnf2,0.0060737664,-0.007297544,0.0005668374
Rgl1,-0.04234833,0.011529123,-0.037166275
Arpc5,0.023079155,0.29530135,-0.2504986
Ncf2,0.0038752086,0.017027115,-0.05631734
Rgs16,0.06853966,-0.0087558115,-0.06374899
Gm28513,-0.036894437,-0.026059268,-0.010725153
Rnasel,-0.092361145,0.05173722,0.037708692
Glul,0.09049803,0.042702243,-0.10999586
Ier5,-0.037396096,0.08172618,-0.032268763
Mr1,-0.028611345,0.0016289661,0.01859841
Xpr1,0.017135082,0.016512686,-0.027418146
Soat1,0.028922582,-0.07199566,0.031830154
Abl2,0.005433096,0.00445788,-0.011934186
Ralgps2,-0.018549034,-0.06012084,0.06272222
4930523C07Rik,0.040658753,-0.028076349,-0.012453964
Rabgap1l,-0.14770684,0.0060926317,0.120253086
Serpinc1,-0.015466518,0.029902201,-0.061483454
Zbtb37,-0.004234988,-0.047036175,0.040372957
Klhl20,-0.053515736,0.042694934,0.01190239
Fasl,0.048291046,0.21475388,-0.2088391
Mettl13,-0.027851148,-0.01146467,0.02950473
Gorab,-0.068290815,0.03946304,0.017148212
Kifap3,-0.046974942,-0.020271571,0.048919942
Mettl18,-0.0721163,-0.0043108137,0.05943808
Sell,-0.105630234,-0.38983664,0.39430848
Selp,-0.018452898,-0.027766505,-0.023685036
F5,-0.018119765,0.008451139,-0.046369553
Ccdc181,-0.05411151,0.038908683,0.0124288695
Atp1b1,-0.04082405,-0.10221376,0.114497885
Xcl1,0.019119693,0.071075246,-0.081459366
Dcaf6,-0.008863405,-0.040060107,0.03883422
Rcsd1,-0.061934285,-0.12311474,0.1487128
Creg1,0.002585898,-0.0779045,0.05874289
Gm37469,-0.03318931,-0.022684254,-0.016471464
Pou2f1,-0.048319098,-0.006893198,0.04287429
Fam78b,0.05282572,-0.044917103,-0.056994732
Pbx1,-0.018046616,-0.0058243494,-0.04168156
Sh2d1b1,-0.033224512,0.06854491,-0.076582715
Fcgr2b,0.072614275,0.045119178,-0.10715953
Fcgr4,-0.02576011,0.029910574,-0.058174912
Fcgr3,-0.008625456,0.10008563,-0.09539535
Fcer1g,-0.01852551,0.18043569,-0.12544458
Usp21,-0.02445294,0.0050361725,0.016757896
Gm20045,-0.0588401,0.013579096,0.003341726
B930036N10Rik,0.070772074,0.025296843,-0.07968659
Cd244,0.038689278,0.067377314,-0.09382324
Cd48,0.06708131,0.3787292,-0.35299337
Slamf1,-0.03520766,0.07499554,-0.029617863
Cd84,-0.037529185,0.0005654448,0.031322263
Gm37065,0.06859556,-0.028243802,-0.035968564
Slamf6,0.0802875,-0.13427867,0.037068658
Vangl2,-0.05520181,-0.051652357,0.051368933
Tagln2,-0.013833272,0.06331515,-0.03781238
Slamf8,-0.034345143,-0.014734491,-0.013708788
Dusp23,-0.05867295,-0.021296252,0.054707907
Aim2,-0.002013961,-0.06454263,0.05218544
Ifi206,0.040304016,0.09001506,-0.104516745
Ifi214,0.16884518,0.084346145,-0.2088795
Ifi213,0.061652947,0.013454851,-0.06270621
Ifi208,-0.026964253,-0.07679895,0.082889296
Ifi204,-0.044276312,0.07627633,-0.05837492
Mndal,-0.015321948,0.11228455,-0.074852884
Ifi211,0.09015851,-0.014568475,-0.06969168
Ifi205,-0.008370982,-0.025770098,-0.02726389
Opn3,-0.016108148,-0.028301554,-0.016230922
Cep170,0.017811263,-0.024629498,0.0041881455
Zbtb18,-0.04919958,-0.031797938,0.034909405
Efcab2,-0.035186823,0.05008458,-0.009546624
Smyd3,-0.0003736306,-0.056253195,0.044313643
Ahctf1,0.00086112483,0.0121505875,-0.010232207
Cdc42bpa,-0.039675172,0.0013596703,-0.021819655
Coq8a,0.05163527,-0.040234637,-0.030296506
Itpkb,-0.004064893,0.046595387,-0.033003226
Parp1,-0.025067644,0.036894348,-0.0076391054
Acbd3,-0.0013241132,0.03789596,-0.028518906
Sde2,-0.0018495244,0.014390109,-0.00968953
Lefty1,-0.039725743,-0.031273518,0.0005938491
Tmem63a,-0.0073586544,-0.027632583,0.027840648
Ephx1,-0.06574919,-0.06260534,0.1046154
Wdr26,-0.04149412,0.027706178,0.013450534
A430110L20Rik,-0.027740508,-0.030172747,-0.014770151
Lbr,0.011745111,0.066443704,-0.061908733
Enah,-0.035540204,-0.08169102,0.09014968
Brox,-0.042922534,0.07383777,-0.021421438
Mia3,-0.022032777,0.017677903,0.0048219897
Taf1a,0.012343284,-0.029974587,0.011510329
Dusp10,-0.049339216,-0.08268305,0.106429495
1700056E22Rik,0.047637444,-0.0333713,-0.014219346
4930532G15Rik,-0.029723333,-0.012071545,0.0040154736
Rrp15,0.00025640125,-0.09574216,0.07466595
Cenpf,-0.033510927,0.0788007,-0.033269044
Ptpn14,-0.045233864,-0.03092197,0.005546915
Rps6kc1,-0.008142818,0.006350367,-0.016483732
Atf3,-0.022858523,-0.01616723,-0.027339216
D730003I15Rik,0.013471699,-0.06370982,0.03842708
Nenf,-0.029530521,-0.031559505,0.04967817
Dtl,-0.021016035,0.14114828,-0.092608675
Rd3,-0.040504597,-0.021420289,-0.0047756922
Gm26670,0.077481285,-0.03473637,-0.049829487
Hhat,-0.0020328646,-0.03792682,-0.026189968
Irf6,-0.0104032345,0.022966925,-0.053795714
A130010J15Rik,-0.03707381,-0.035099,0.05883112
4930570N18Rik,0.07492582,0.08067534,-0.12651557
Lamb3,0.03114679,0.17892161,-0.16630274
Hsd11b1,-0.0033263192,0.16208352,-0.123955265
G0s2,0.034563582,0.028805638,-0.051784247
Acbd7,-0.0017014819,-0.024984691,-0.030183636
Dclre1c,0.031052178,-0.03286772,-0.00057552336
Frmd4a,-0.042259466,-0.055321347,0.077169344
Optn,-0.043174393,-0.020811033,-0.001175991
Camk1d,-0.045008406,0.012775662,0.02810264
Upf2,-0.021847712,0.021740906,0.0014875404
Usp6nl,0.008969012,-0.024003476,-0.001091615
Gata3,-0.14250667,0.08597043,0.053376734
Gm13256,-0.05264491,-0.00077595765,-0.00999244
Kin,-0.036173146,-0.0023683505,0.03246913
Itih5,-0.054412138,0.03774414,-0.010864962
Sfmbt2,-0.06667777,-0.003246086,0.057238154
Il15ra,0.01984311,0.07078359,-0.072203554
Vim,0.062804796,0.43211466,-0.39112824
Nsun6,-0.019852834,0.02326856,-0.0013957383
Arl5b,0.010025915,-0.034985136,0.018851671
Plxdc2,-0.033429485,-0.028151851,0.024067136
Mllt10,-0.0073942947,0.016405037,-0.006572405
Msrb2,-0.023051642,-0.019120634,0.03446565
Otud1,-0.04095607,-0.025023278,0.05423651
Arhgap21,-0.038652427,-0.04149163,0.022912027
Enkur,-0.016053213,-0.021570494,-0.02856168
Thnsl1,-0.06094032,-0.004843181,0.046694294
Psd4,0.0069452976,-0.011563203,0.003165486
Dph7,-0.032579906,0.034586865,0.00052399037
Pnpla7,0.004804328,-0.053126507,0.037485566
Tor4a,-0.033399254,0.023236882,0.009976413
Tubb4b,-0.10855348,0.058683757,0.045980692
Tmem203,-0.04889314,0.04356561,0.0073088678
AA543186,0.01583592,-0.039774597,-0.030041067
Paxx,0.021204121,0.00096036016,-0.018698186
Tmem141,-0.016552852,-0.05063611,0.042852778
Bmyc,0.04264201,-0.09177837,0.03569079
Nacc2,0.034571245,-0.074273944,0.021007368
Tmem250-ps,-0.035946704,0.042853765,-0.003092174
Qsox2,0.0005466249,-0.045689575,0.035272602
Snapc4,-0.064501375,0.009494135,0.046255637
Notch1,-0.04640065,-0.07037167,0.09431319
Fam69b,0.0074563203,-0.037414137,-0.0138022285
Lcn4,0.22258285,-0.06388372,-0.13842751
Med22,0.048571736,-0.042249136,-0.0098137
Cacfd1,0.020656293,-0.005622604,-0.01308577
Vav2,-0.014226463,-0.004075034,-0.029607708
Rxra,-0.042993613,0.080090456,-0.059691507
Olfm1,-0.0025379227,0.0050568054,-0.059899826
Gtf3c4,-0.03397084,0.032265346,-0.0050027156
Ddx31,0.024652345,0.023879813,-0.042475436
Cfap77,0.0019253972,-0.024111936,-0.04227234
Ttf1,-0.07629921,-0.05196007,0.10521888
Setx,-0.05638167,0.025909849,0.027456248
Sptan1,-0.10929278,0.00013371841,0.092400275
Zdhhc12,7.070176e-05,-0.008842635,0.0068562645
Zer1,0.025238244,-0.021146135,-0.004822461
Tbc1d13,0.07380318,-0.01875663,-0.051744822
Usp20,-0.01986385,-0.009851258,0.0237051
Gpr107,0.0016333862,0.04805728,-0.038969614
Ass1,-0.0038638115,-0.017940972,0.017302513
Nup214,0.074355766,-0.04895488,-0.024645187
Fam78a,-0.08994404,-0.10566916,0.15877539
Lcn2,-0.037217017,0.027955499,-0.04660501
Naif1,0.0007601976,0.052324064,-0.051329993
Fam102a,-0.0709858,-0.062356558,0.108853064
Eng,-0.03677217,-0.090300485,0.10175065
Fpgs,-0.017925192,-0.047744047,0.051186237
Cdk9,0.034731038,0.040626276,-0.061171275
Stxbp1,-0.025812658,-0.031866293,-0.0073391655
Lrsam1,-0.01861042,-0.008788218,-0.033591274
Rpl12,-0.041901704,-0.52563435,0.44658065
Garnl3,-0.02423641,0.0075713983,-0.037565187
Ralgps1,-0.005249383,-0.02894054,0.01721079
Angptl2,-0.018305007,-0.024880212,-0.028897671
Zbtb34,-0.075614125,0.034800965,0.0112459045
Mvb12b,-0.040994044,-0.016821235,0.047853574
Gapvd1,-0.011198438,0.0805466,-0.05351975
Hspa5,0.056205362,0.11058825,-0.1340665
Gm34653,-0.018168041,-0.029706882,-0.01887278
Traf1,0.07275602,0.045801554,-0.09740318
Gsn,-0.10363287,-0.07137043,0.14353542
Rbm18,-0.0077309236,0.043992672,-0.027864646
Rc3h2,-0.018110752,-0.00990641,0.023076968
Zbtb6,-0.015571577,-0.00342007,0.013431881
Rabgap1,-0.034135077,-0.04255815,0.062177833
Dennd1a,-0.003021808,-0.005627716,0.00695926
Nr6a1,-0.0031363044,-0.026698507,-0.035344083
Wdr38,-0.045012597,-0.012310896,-0.0048788814
Golga1,-0.033528145,-0.02737098,0.049785767
Scai,-0.03353665,-0.0344842,0.05535644
Arhgap15,-0.050228205,-0.09060864,0.11338079
Gtdc1,-0.00067945686,0.016655486,-0.019015394
Zeb2,0.050711542,0.37925956,-0.3395529
Orc4,-0.0005237989,-0.0024827612,0.0023851872
Mbd5,-0.0074535026,0.027391808,-0.0151153905
Lypd6b,-0.05990918,-0.05568189,0.08705968
Nr4a2,0.120237455,0.09478176,-0.17590019
Gpd2,0.002916442,0.033932105,-0.02900783
Pkp4,-0.09976471,-0.058316506,0.13005154
Dapl1,-0.096978374,-0.31192845,0.32605112
Tanc1,-0.11840904,-0.06511658,0.15115055
Baz2b,0.03205744,-0.026091993,-0.006725886
Gm13572,-0.04708666,-0.022264296,-0.0048266402
March7,0.013004273,0.03426939,-0.037809923
Cd302,-0.027136253,-0.028987594,-0.016614076
Ly75,-0.02984161,-0.09256505,0.09765584
Tank,-0.024718363,0.027143102,-0.00030797973
Tbr1,-0.015918853,0.020814037,-0.06374527
Dpp4,0.12059127,-0.10113657,-0.02296572
Ifih1,0.013962397,0.04608093,-0.047859058
Spc25,-0.089930855,0.13773361,-0.03160879
Abcb11,-0.011199453,-0.03483692,-0.02779651
Ppig,-0.010909324,0.12069747,-0.08516772
Ccdc173,-0.032178324,0.026716206,-0.0013509563
Mettl5,-0.021071613,0.03580389,-0.010168452
Myo3b,-0.047696274,0.022983607,-0.036074746
Mettl8,-0.05238753,-0.06690931,0.09667244
Dcaf17,0.034684416,-0.016752277,-0.01625423
Dync1i2,-0.034504097,0.08480486,-0.03712448
Metap1d,-0.044865333,-0.027837612,0.05811752
Pdk1,-0.042403225,-0.23666368,0.22099203
Rapgef4,-0.019775148,-0.12422039,0.11389429
Cdca7,0.021537239,0.09074292,-0.08920193
Cir1,0.00017435223,0.059872877,-0.046976045
Gpr155,-0.020544328,0.04036995,-0.037003268
Lnpk,-0.04618516,0.0018551921,0.037639886
Nfe2l2,-0.07743642,-0.0112414025,0.074334055
Pde11a,-0.04616023,-0.024339462,-0.0009311843
Rbm45,-0.028391108,0.020665962,0.0028379099
Prkra,0.021077778,0.03314176,-0.04624549
Fkbp7,-0.013908621,-0.0093118185,-0.005865009
Ccdc141,-0.015080448,0.015969222,0.0002739837
Sestd1,0.033048246,-0.040733896,-0.037254963
Ube2e3,0.022500338,0.039349277,-0.049820486
Itga4,0.15876877,0.35254434,-0.4101172
Dnajc10,-0.029060686,0.012846529,0.014549142
Itgav,0.04432077,0.014770593,-0.049065422
Calcrl,-0.05325055,-0.033199277,0.070475556
Selenoh,-0.008448047,0.1678447,-0.12412627
Tmx2,-0.0672579,0.050764963,0.017221866
Ube2l6,0.037889358,-0.0047130953,-0.02934941
Tnks1bp1,-0.031274673,0.04923519,-0.021643758
Celf1,-0.04181888,0.01660365,0.02240905
Spi1,-0.017891573,0.013245419,-0.0526205
Madd,-0.06366827,0.034144837,0.027182752
Nr1h3,0.00921616,-0.052103058,-0.019883543
A330069E16Rik,-0.04910667,0.052938577,-0.020287244
Atg13,0.06567969,-0.02427423,-0.03660532
Harbi1,-0.006767767,-0.033620186,0.027184831
Ambra1,-0.028798083,-0.026206797,0.041658934
Phf21a,0.029985977,-0.02408603,-0.006541535
Cry2,-0.03724528,-0.022614375,0.044947416
Prdm11,-0.06055898,-0.00821381,0.056569554
Trp53i11,-0.024072351,-0.049804784,0.05932862
Cd82,-0.00977655,0.108413525,-0.076518826
B230118H07Rik,-0.006154261,-0.023234408,-0.026250947
Prr5l,-0.05024515,0.051699255,-0.035382576
Trim44,-0.04875993,0.038896505,0.010847969
Cd44,0.111820534,0.21263254,-0.26095098
Cat,-0.016258424,0.07025051,-0.0411841
Lmo2,-0.006596133,-0.04103764,-0.009328259
Fbxo3,0.0410146,0.01643043,-0.047565315
Cstf3,-0.06527809,0.024430363,0.03614329
Qser1,-0.04853133,-0.019778917,0.018821921
Prrg4,-0.06346843,-0.033803057,0.028674653
Arl14ep,-0.02714642,0.014866227,0.009216445
Ccdc34,-0.079782605,0.11646037,-0.023559747
Slc12a6,0.011097108,0.03532183,-0.03701886
Scg5,-0.049136035,-0.04095719,0.03670808
Aqr,-0.051488373,0.05454745,0.0009162114
Zfp770,-0.028275331,-0.03859933,0.05098319
Dph6,-0.030284047,0.026854614,0.0046284236
Rasgrp1,-0.09073757,-0.07648175,0.13661861
Bmf,-0.048606806,-0.03859175,0.04864524
Plcb2,-0.038816594,-0.0040732366,0.03603998
Inafm2,-0.028253192,0.0025526984,0.021689918
Knstrn,0.010913103,0.2244166,-0.18476012
Ivd,-0.015368716,-0.020891322,0.029347772
Bahd1,-0.0059664124,0.0028418011,0.0026207208
Chst14,0.017868703,-0.030704455,-0.02997159
Rpusd2,-0.045694564,0.0116250245,-0.0044704387
Knl1,-0.09573338,0.14100786,-0.029258456
Ino80,-0.0020586343,-0.07810857,0.0628336
Exd1,-0.03702283,-0.026307778,-0.010620204
Nusap1,-0.072833486,0.088322744,-0.007434112
Ndufaf1,-0.030385893,-0.003894816,0.027950423
Mga,-0.04755421,-0.041284505,0.07253956
Mapkbp1,0.033998642,-0.01699786,-0.03373502
Tmem87a,0.014937786,-0.014654886,-0.0011812177
Capn3,0.047485355,-0.0662369,-0.007021822
Snap23,-0.0323367,0.07571879,-0.031852443
Ttbk2,0.03402808,-0.027689323,-0.053470407
Pdia3,-0.043243844,0.13458459,-0.068661496
Spg11,-0.023056658,0.036840662,-0.014473632
Shf,0.009796338,-0.020144163,-0.012738207
Slc28a2,-0.08868056,0.05564303,0.031538602
Gm14085,-0.010206419,-0.09812734,0.08538716
AA467197,0.116091095,0.14998697,-0.21556847
Bloc1s6os,0.057551943,0.041116077,-0.08698786
Sqor,-0.023138262,-0.019544045,0.021437386
Slc24a5,-0.06618449,0.05008729,0.014501802
Dut,0.0003830164,0.1791392,-0.14043462
Cep152,-0.023741573,0.0034332045,0.0046758824
Dtwd1,-0.004203481,-0.04455407,0.038404953
Hdc,0.0004927639,0.0048133736,-0.044076975
Ap4e1,0.0045997724,-0.019642293,0.007653045
Tmem127,0.001976682,0.008941276,-0.008666306
Dusp2,0.10061157,0.14810339,-0.20099348
Fahd2a,-0.013301903,0.039603263,-0.021217417
Kcnip3,0.0003388125,-0.018741997,-0.044568382
Zfp661,0.0032259272,-0.017016599,-0.051556446
Nphp1,-0.014713279,-0.04675176,-0.005962544
1500011K16Rik,-0.004917988,-0.14327389,0.1162216
Acoxl,0.008388576,-0.01965398,0.004081479
Bcl2l11,0.079400405,0.024479942,-0.08635065
Anapc1,-0.03177074,0.030136678,0.0033197422
Tmem87b,0.040929623,-0.02021816,-0.018829364
Gm10762,-0.0034432106,-0.042230856,0.030858811
Zc3h6,-0.011676868,-0.07588608,0.06923615
Polr1b,-0.037133776,-0.03950354,0.05913619
Slc20a1,-0.08245786,0.1344719,-0.035382807
Il1b,-0.036918353,0.03554491,-0.05333273
Sirpa,-0.038632073,-0.022076305,-0.012093976
Nop56,-0.08001275,-0.03785018,0.09732621
Fastkd5,-0.023333205,-0.003548637,0.01471806
Atrn,0.032370456,0.0020344218,-0.029931089
Cenpb,-0.04530881,0.05531263,-0.0049126083
Cdc25b,0.036753863,0.17629309,-0.1689927
Smox,0.01567943,-0.023931345,0.003288633
Prnp,-0.0012540197,-0.009799815,-0.04569845
Rassf2,-0.081524484,-0.10765887,0.15320532
Pcna,0.019332185,0.17740242,-0.15511471
1700026D11Rik,0.011370131,-0.0355815,-0.0066305553
Gpcpd1,-0.09319303,-0.032708537,0.1044605
1110034G24Rik,-0.038989,-0.033480644,0.05918637
Tasp1,-0.0010966934,-0.020054983,0.01661387
Esf1,0.010228004,-0.0521862,0.03215955
Ndufaf5,0.013243757,0.04550493,-0.046800297
Macrod2,0.016954258,-0.0066308454,-0.067307055
Rrbp1,0.0030843802,0.08710757,-0.07074019
Rbbp9,-0.029651519,-0.031377066,0.0427422
Cd93,0.0008115759,-0.010597007,-0.0423636
Napb,-0.034246795,-0.017669588,-0.019176397
Cst3,0.11947707,0.15084644,-0.21910657
Zfp120,-0.06941033,0.023407001,0.040441204
Zfp937,-0.030514942,-0.072882526,0.068699874
3300002I08Rik,-0.008214376,-0.03126504,-0.0067269774
Zfp442,-0.028000053,-0.03153258,0.023837836
Apmap,0.05733345,0.015965454,-0.061013833
Acss1,0.016898533,0.011829438,-0.02355501
Id1,-0.024210472,-0.031174412,-0.018144542
Tpx2,-0.06595707,0.13823308,-0.052290734
Hck,-0.036615413,0.01917957,-0.03920157
Pofut1,-0.035212267,-0.011841604,0.03906518
Nol4l,-0.034462724,0.051914725,-0.03526484
Ahcy,-0.0059692804,0.07278065,-0.054156557
Itch,-0.02276907,0.02972514,-0.003977349
