gene_name,0_CD25KO,0_CD25WT,0_P14NAV,1_CD25KO,1_CD25WT,1_P14NAV,2_CD25KO,2_CD25WT,2_P14NAV,3_CD25KO,3_CD25WT,3_P14NAV,4_CD25KO,4_CD25WT,4_P14NAV,5_CD25WT,5_P14NAV,6_CD25KO,6_CD25WT,6_P14NAV,7_CD25KO,7_CD25WT,7_P14NAV,8_CD25KO,8_CD25WT,9_CD25KO,9_CD25WT,9_P14NAV
Als2,-0.2829451,-0.19572593,-0.5704924,0.31185567,-0.28355676,-0.3686726,-0.07552436,0.14036211,2.9917676,0.47039828,-0.13526963,-0.22785623,0.14879368,-0.110392034,-0.19657964,0.7116158,-0.10395646,-0.30420732,-0.2437923,-0.0011342469,0.12466484,-0.36105192,-0.21410543,0.9949463,-0.47994417,-0.29158136,0.045919776,-0.33027804
Gm973,-0.12704468,-0.0557262,-0.17010248,0.32062247,-0.08520588,-0.13356793,-0.22823259,-0.24800572,-0.15842679,-0.15616573,-0.17843555,-0.16553247,-0.1298499,-0.118894614,-0.044859737,-0.21602477,-0.33944702,-0.13461377,4.512733,-0.33519828,-0.15925673,-0.14449622,-0.17690606,-0.12421277,-0.16117337,0.12541963,0.2581233,-0.09066776
Nop58,0.2749129,0.17311881,1.4432087,1.0299999,0.60242593,0.34949636,-2.1502895,-1.2077782,-0.82622135,-0.9094863,-0.07030476,-0.96017134,1.5695817,2.6897466,-0.6867165,-0.37953988,-0.4955851,-0.49519226,1.794846,-2.0356278,-0.092585824,0.5197757,1.9454563,-1.2613194,-2.1155078,0.36301503,-0.21811587,0.39817563
Bmpr2,-0.25008973,-0.15809521,-0.2691369,0.078793466,-0.24355102,-0.321881,-0.4253601,0.32936764,-0.20249681,-0.122395985,-0.4596354,-0.20899883,0.2942951,-0.12424083,-0.1262014,-0.32968664,-0.09065969,2.2880917,-0.20585245,0.03826054,0.43054086,-0.29810598,-0.20772351,0.1934749,-0.36374322,-0.0921323,-0.01330359,2.022513
Wdr12,-1.2863795,-0.9835899,0.22920182,1.3404227,0.38862866,1.2322298,-0.8502346,-0.86121196,-0.6263413,-0.7893377,-0.35589704,-0.54925615,-0.044361044,-0.16595666,-0.6380119,-1.178262,-0.31894886,0.9323433,0.6870055,1.1959157,-0.35808727,-0.65175045,-0.47384524,0.9677224,-0.22079895,1.4976215,0.1139269,1.2876062
Carf,-0.51128834,-0.34344265,0.0033920119,-0.2799753,-0.5867471,1.3034508,-0.40648177,-0.24222814,-0.3419783,0.09148447,-0.09689114,-0.27876106,-0.28675157,-0.73945457,-0.14783412,-0.47621354,0.2893676,1.0536206,4.9985585,1.2778608,0.31500918,-0.24731025,-0.27887538,-0.27574736,-0.13923432,-0.11516458,0.8708122,0.59490395
Nbeal1,2.8487968,-0.52257925,0.23823416,0.21690634,-0.024258051,-0.097962156,-0.49851564,-0.5084638,1.8432297,-0.20583573,0.073591396,-0.3449175,-0.47425988,-0.6077241,-0.15091537,-0.6094214,0.4726141,2.1960464,-0.54844385,0.31409228,-0.33562982,-0.54020655,-0.34982142,0.27482635,-0.14027071,0.66307724,0.6981694,-0.4538992
Cyp20a1,0.87184876,-0.6498138,-0.32730612,-0.026084095,-0.7559732,0.7887681,0.5510095,0.05593104,-0.15199925,-0.017342359,-0.0145526435,-0.45704135,0.20832777,0.359655,1.4333638,0.9438531,-0.20218195,-0.644244,3.3069966,-0.23980778,0.7855604,0.67377746,-0.28830835,-0.8540457,-0.3250355,-0.94474494,0.032565586,-0.24402307
Cd28,0.6032155,0.29549605,-3.4345891,-0.60862523,0.53072137,-1.6027857,2.0505831,3.2666743,-0.3891614,0.024311325,1.0444186,0.88583,0.6035385,0.04224798,-0.21875677,0.8375678,-0.1569591,0.44346905,-0.8227468,-1.1209822,0.413869,0.699331,1.5265204,3.4065852,3.2781198,-1.5602427,-2.242817,-2.6243856
Gm11579,-0.18158138,-0.123419,-0.26907998,-0.16450423,2.0445862,1.2171777,-0.3655435,-0.35912594,-0.14588319,-0.104260325,-0.38580772,-0.20051669,-0.5082164,-0.22922985,-0.18639407,-0.3325759,-0.7802314,-0.17894535,-0.17562833,1.4457203,-0.28290564,-0.26011804,-0.1865614,0.52585447,-0.38560137,1.9240514,0.5907446,-0.28082106
Ctla4,-0.70370144,-0.72135514,-1.4113145,-0.6637699,-0.7862219,-0.5478837,1.4168802,0.9309495,1.5364368,0.044638123,-0.8040464,-0.50013787,1.2444108,0.7280192,-1.304468,-0.8547588,-0.76708084,0.3851128,0.3786882,-0.78752077,0.23072843,-0.06360823,-0.28799248,5.502072,2.7875025,-0.3220502,-1.9232618,-1.5311404
Icos,-1.0854319,0.635168,-1.572465,-0.51335067,0.4836632,-1.0260949,0.61628246,1.4923474,-0.32052967,-1.087672,0.0905962,-0.7278335,0.20728119,1.1441896,1.2852162,-0.079938516,-1.0518309,1.3221732,0.5780052,-1.2511331,1.3517766,1.2129732,-0.44684872,4.091439,2.2364624,-1.4031222,-1.1483973,0.20328541
Gm4208,-0.28371796,-0.2369182,-0.7184202,-0.08809091,-0.2755903,-0.35610542,1.1918659,1.1063155,-0.14147076,-0.6361401,-0.03919055,-0.25668567,-0.34437925,1.4391837,-0.38871923,0.2740177,-0.835398,-0.27260527,-0.28968313,-0.52128166,0.62045807,1.2194663,-0.20702542,-0.7178148,-0.20489338,-0.3342002,-0.91875356,-0.56152326
Ino80d,1.1718426,0.16724831,-0.7464398,0.24943857,-1.747363,-0.4058131,0.27784333,-0.07895429,2.644493,0.13523778,0.14148977,-0.60995215,-0.25981495,0.5608279,-0.82374257,-1.0383397,0.4672549,-1.0207869,2.6085932,1.3789282,-0.6494834,0.032205015,-0.50251085,0.00141916,-0.7020649,-0.41696623,0.27772418,-0.019181803
Ino80dos,-0.12817165,-0.092040375,-0.3291684,0.3458825,-0.07883822,-0.123296656,0.21980417,-0.29236138,-0.107990585,-0.067875914,0.44117728,-0.19084418,0.1610188,-0.55812514,-0.21278824,-0.32194743,-0.21347211,-0.107559435,-0.14721493,-0.25425845,-0.24736837,0.47136354,-0.17084259,-0.3412914,-0.37643304,0.3922844,-0.50695986,0.9029559
Gm20342,-0.6799603,1.793871,0.65100574,0.22030188,0.29718184,-0.2960599,-0.33380458,-0.47693285,-0.37587604,-0.3544705,-0.28226474,-0.35133833,-0.25528,-0.41318977,-0.34652832,1.8350418,-0.2744326,-0.7761701,-0.5367711,0.105192006,0.9407784,0.005674476,-0.31781092,0.8411577,-0.17387931,0.26311135,0.28374687,-0.3142085
Klf7,0.9343761,0.37347513,1.206269,0.71336424,1.8130246,0.39245003,-1.0652002,-0.5414891,0.3240383,-0.509486,0.28835985,1.9181358,-1.0919467,-0.34217888,0.79337984,-0.44104758,-0.81707937,0.11772303,-1.2669736,0.8181311,-1.1169086,-0.34689325,-0.602291,-0.17970659,-0.61776954,0.77204186,0.16861033,0.7169291
Ccnyl1,-0.17063929,-0.12612277,0.02049369,-0.13362038,-0.13376532,-0.18871437,0.15478702,0.046969518,-0.12499595,0.91700464,-0.14802656,-0.20496644,-0.60829556,-0.65486723,-0.23495936,3.1298568,-0.72016555,-0.1570046,-0.18000253,0.27102715,-0.298003,0.30160782,-0.18170294,-0.41082698,-0.43881273,0.30789688,0.43329328,-0.33518186
Plekhm3,-0.3724567,-0.2552956,0.2915013,-0.56301415,1.7089843,-0.5107175,-0.017731687,0.14471579,-0.25294098,-0.2049598,-0.34072888,-0.24898303,-0.6972875,-0.228519,-0.18533508,-0.42907122,0.44948396,-0.4182537,-0.29920495,0.83490413,-0.03915997,-0.44106266,-0.23919706,0.0022122695,1.2180079,-0.24527077,0.90946794,-0.34962368
Pikfyve,-0.69188976,-0.51620436,-0.1818862,-0.3544159,1.2220932,0.86872745,-0.042922948,-0.019731667,-0.37431672,-0.40598541,0.1304791,-0.35841042,-0.5099505,-0.34602043,-0.3735928,-0.709772,0.6593203,2.0936632,3.034267,-0.2704472,-0.4135461,-0.274165,-0.32007083,0.67632043,0.48940286,1.3233025,-0.7841158,1.811194
Kansl1l,-0.5213429,-0.3608709,0.6594547,0.26813018,-0.5976833,-0.7447818,-0.5699304,-0.3797323,-0.33255473,-0.31919435,0.011661155,-0.2886955,-0.14566593,-0.26327667,-0.19731203,-0.5123712,1.6471814,-0.6027483,-0.39862144,-0.7562321,-0.34487838,-0.123823464,-0.27976787,0.3890536,0.2359833,-0.25737113,-0.118084006,-0.41868082
Lancl1,1.7045367,-0.7016967,0.30790064,-0.58851683,0.31696817,0.45075187,-0.11438032,-0.51081514,-0.43464568,-0.44118172,0.22305797,-0.44009492,0.8127301,-1.0677159,1.6748401,-0.9351146,0.67614466,-1.0181532,-0.73191833,0.41618347,-0.46856973,1.0250763,-0.37088916,0.0012015672,-0.13771072,0.5510742,0.38466406,-0.50777745
