gene_name,P0,P1,P2,P3,P4,P5,P6,P7
Cflar,-0.037351824,-0.060541138,0.08032311,0.050411724,-0.05811252,-0.031787056,0.13490343,0.18605907
Stradb,0.004554029,-0.115491495,-0.029243588,0.036350008,0.010905428,-0.045416392,0.07510445,0.08225433
G730003C15Rik,0.007729992,0.03595772,0.039305158,0.08413131,-0.06377703,-0.026516158,-0.06801136,-0.09312862
Als2,-0.04592413,-0.029465077,-0.05434177,0.08416232,-0.004271836,0.04187299,0.055576418,-0.05023058
Gm973,-0.021303587,-0.015893735,0.02726986,-0.03384328,-0.023129046,-0.011440998,-0.055226337,-0.048809294
Nop58,0.029365325,0.103835315,0.02765429,-0.3579871,0.3386988,-0.06118909,-0.36263624,0.096630566
Bmpr2,-0.011818784,-0.055824455,0.10341963,-0.010394264,0.0044788993,-0.042050924,-0.0035867775,-0.0032923792
Wdr12,0.026814388,0.16778,0.23643637,0.1038294,-0.023725737,-0.0833035,-0.19569303,-0.15874918
Carf,0.060964923,-0.052149158,0.11389621,-0.051723924,-0.08932532,0.016748589,-0.07401425,-0.009966893
Nbeal1,0.06292094,-0.026155138,0.11023153,0.020295555,-0.09013504,0.013376517,-0.08125307,-0.13628745
Cyp20a1,-0.023309136,-0.042139843,-0.11777879,-0.14412498,0.047446925,0.017069269,0.054861274,0.19498247
Cd28,-0.26399937,-0.1676076,-0.5846024,0.73694754,0.03968134,0.151439,0.5845076,0.18038484
Gm11579,-0.015121092,0.017852291,0.2383831,0.031180136,-0.058785483,-0.03193646,-0.081464015,-0.08243701
Ctla4,-0.15320244,-0.16761367,-0.35410792,0.9674231,0.13982193,-0.07101324,0.26914236,0.009439081
Icos,-0.17422223,-0.13708067,-0.27140412,0.7332612,0.11679969,-0.054930348,0.23430024,0.34765333
Gm4208,-0.09867009,-0.07837509,-0.18219696,-0.115510955,0.10021453,-0.03276452,0.24353375,0.26439852
Ino80d,0.0054115714,-0.07110151,-0.021938724,-0.065880194,0.025999654,0.046431936,0.056303855,-0.08373566
Ino80dos,-0.04206299,-0.012271957,0.028816689,-0.081573926,-0.043433543,0.06800052,-0.018044597,0.040093675
Gm20342,0.040046826,-0.02536297,0.03066308,0.09145877,-0.058838867,-0.03994558,-0.09650749,0.10536392
Klf7,0.07329368,0.093094334,0.1330656,-0.08204626,-0.10440677,0.026583135,-0.16182327,-0.20240197
Ccnyl1,-0.007812038,-0.07510905,0.05093503,-0.09627391,-0.10360584,0.075108804,0.017189521,0.006470763
Plekhm3,0.048590373,-0.0982352,0.047101136,0.10636128,-0.07136718,-0.034697562,0.011067421,-0.08315049
Pikfyve,0.018338619,-0.035949577,0.14876553,0.12933321,-0.06998397,0.0044713323,-0.013316551,-0.10227652
Kansl1l,0.072997816,-0.054782182,-0.07481662,0.06898846,-0.03760561,-0.0023924464,-0.105972886,-0.069204
Lancl1,0.04890297,-0.09944952,0.059883486,-0.015313443,-0.038525637,0.012193406,-0.08108495,0.10006653
Ikzf2,0.17574605,-0.29039142,0.32925013,0.07074515,-0.09446665,-0.0018844181,-0.18384753,-0.23542829
Fn1,-0.011377257,-0.044204418,-0.011929938,-0.04982767,-0.051775675,-0.053900734,0.05257362,-0.047106627
D230017M19Rik,-0.030952992,-0.074574105,0.01589855,0.07141545,0.0679786,-0.022152437,-0.0651914,-0.058883745
Rpl37a,0.35419238,0.7827307,1.0971447,0.18457383,-0.4949217,-0.4548625,-0.7757434,-1.3636875
Rufy4,-0.017773464,-0.05971356,0.06326335,-0.01838999,-0.0040746927,0.011541722,-0.046959918,-0.038386103
Cxcr2,-0.042600103,-0.024281524,-0.09454278,0.062770724,0.003528115,-0.013519844,0.025950897,0.17141427
Retreg2,-0.017254364,-0.042412248,-0.08207855,0.04131347,0.030202052,0.15160915,-0.016232796,-0.13065475
Ankzf1,0.019293072,0.06402449,0.11103152,0.09176824,-0.097327195,-0.072308294,-0.014431632,-0.04131612
Tuba4a,0.13593905,-0.081260666,-0.086055785,-0.38071254,-0.10561797,0.19899589,-0.29781705,0.13185996
A630095N17Rik,-0.013519572,-0.031898893,0.064530276,-0.04806973,-0.0028090337,-0.009433543,-0.03688968,-0.040244807
Dnajb2,0.0813635,-0.025826432,0.08324522,-0.06843659,-0.038268737,-0.053836398,-0.075523056,-0.12665054
Ptprn,-0.019057466,-0.048871286,-0.005259053,-0.034216393,-0.029139651,-0.023601484,0.0048346506,-0.041307766
Gmppa,-0.012299451,-0.038706016,-0.07981785,-0.054620992,0.17709179,-0.05264513,-0.041715182,0.105917886
Stk11ip,0.0061444636,-0.06554132,0.0026121906,-0.016423669,0.10009329,0.028269459,-0.02027719,-0.115903854
Mogat1,-0.022035718,0.12275044,0.27475753,-0.0027804028,-0.065311715,-0.052046347,-0.064193204,-0.094457544
Acsl3,0.07528967,-0.04366932,0.14080589,-0.048902724,-0.038060416,-0.0033611534,-0.14544283,-0.1305187
Utp14b,-0.0052218083,-0.03230016,0.0040283566,0.019745298,-0.042657863,0.010120743,-0.072390676,-0.06644635
Serpine2,-0.013831305,0.0034349402,-0.05361893,0.03740888,-0.058969382,-0.13210528,0.12072135,-0.020111721
Col4a4,-0.03184434,-0.064654306,0.030297834,-0.06975093,0.029740041,0.1104909,-0.06622727,-0.06728472
Agfg1,0.045357566,0.031411324,-0.056832403,-0.024376841,0.0030050196,-0.025813082,-0.08351824,-0.08435427
Trip12,0.0050265784,-0.07259895,-0.025798332,0.017669816,0.036097817,0.006875942,0.012310857,0.009761568
C130026I21Rik,0.08987672,-0.027780397,0.21916477,0.0024574425,-0.13395114,-0.04465855,-0.06574623,-0.17882101
A530032D15Rik,0.009528394,-0.09746686,0.0031750528,0.051431224,-0.05193309,-0.03915292,0.037471462,-0.08001288
Gm16094,-0.012839394,-0.05685514,0.023541544,-0.029839678,-0.020480989,-0.010271691,-0.04851739,-0.042912222
Sp100,-0.18580379,-0.28019264,-0.5772412,0.10431455,0.064565726,0.26375395,0.5816104,0.20099118
Itm2c,0.0028602781,-0.1476201,0.079578355,0.06444408,-0.05305942,-0.06595524,0.25056016,-0.105595864
Armc9,0.029654035,0.017471476,-0.008700271,-0.013196243,-0.040431257,-0.03181008,-0.015988966,-0.113794304
Ptma,0.03932132,-0.30930293,-0.6611121,-1.3420641,0.55486786,0.72714674,-0.6504141,0.8387186
Pde6d,0.049566504,-0.031526037,0.03408537,0.106476165,-0.047842897,-0.007309503,-0.06817647,-0.12483886
Dis3l2,0.009433438,0.0018166762,0.14253345,0.1516669,-0.079943456,0.053571444,-0.0531629,-0.14062054
Gigyf2,-0.012980499,0.002382851,0.12272385,-0.044617433,-0.06528598,0.053970817,0.038234018,-0.021988908
Atg16l1,0.029310562,-0.0994291,0.031285137,0.059983533,-0.0045308555,0.015050809,-0.062374838,0.060732894
Dgkd,0.075512595,-0.16049957,0.20429996,0.11904528,-0.09123303,0.04504807,-0.09394358,-0.10635683
Usp40,0.08555374,0.015298047,0.18192717,0.01054776,-0.056444727,-0.062377807,-0.15919282,-0.14792432
Arl4c,0.2648507,0.056652475,0.20970808,-0.61687136,-0.22739281,0.1559279,-0.3332205,-0.6214998
Ramp1,0.44944325,-0.16712397,0.7230753,-0.36131445,-0.2604211,-0.112818494,-0.65567815,-0.60866517
Hdac4,0.11522058,-0.05477933,0.21514836,0.025554035,-0.16424978,-0.0010043682,-0.14892703,-0.15514702
Gm26720,-0.015520714,-0.07784279,0.182979,0.036757614,-0.060851123,-0.016102402,-0.07394793,0.12475385
Ankmy1,-0.026397288,-0.040011592,0.0074834875,-0.024051959,0.032062016,-0.012491991,-0.03508599,-0.031774685
Dusp28,0.018051757,0.08729824,-0.019347103,-0.0152383745,0.021002984,-0.06418038,-0.075072154,-0.030708687
5033417F24Rik,-0.021477807,-0.051389117,-0.009301645,0.07812817,-0.032347336,0.009813355,-0.047024325,-0.044090033
9430060I03Rik,-0.06388304,0.2196069,-0.054399416,0.025743416,-0.014737641,0.030375231,-0.061233003,0.028737579
Sept2,-0.03900106,-0.046970826,-0.084037006,0.07718169,0.051070288,-0.0005021203,0.0459081,0.060190815
Farp2,-0.063964754,0.022477504,0.01744749,-0.044167947,-0.033365652,-0.02158154,0.033085115,0.05235711
St8sia4,0.001139265,-0.083953016,0.06946683,-0.031155976,-0.12346659,0.101908855,0.0750192,0.040047254
Gin1,-0.009740429,-0.14669637,-0.01476296,-0.048026398,0.019357832,0.074130364,0.0742392,0.08506496
Pam,0.0902284,-0.09729733,0.05027676,0.014661382,-0.07702397,0.03566728,-0.13069928,-0.11996825
1810006J02Rik,-0.030995818,0.03680897,-0.016994946,-0.046101816,0.0097325,-0.035432093,-0.056286104,-0.053229805
Gm7967,0.08346334,-0.13268869,0.09807226,0.06635917,-0.047040116,-0.013386997,-0.11003109,-0.12098065
2310035C23Rik,0.03411243,-0.15030174,-0.09076916,0.054544367,0.011942636,-0.0025605035,0.06279871,-0.04511179
Gm7160,0.00073369173,-0.08593185,-0.036009993,0.14376676,0.0319833,-0.02183334,0.01051108,0.031666674
Bcl2,0.107221775,0.5359172,0.56282467,0.3519739,-0.2686156,-0.26553243,-0.40850136,-0.60833424
D630008O14Rik,-0.027359627,-0.042217217,-0.01954367,-0.03459829,0.069364645,-0.02907971,-0.039865796,-0.03828502
Kdsr,0.05696824,0.014965444,0.16017409,-0.101687625,-0.031504773,-0.044144433,-0.025141113,-0.22297369
2900060B14Rik,-0.015379179,0.14610739,-0.07574494,-0.021535771,-0.050265197,-0.015023767,0.0110705495,-0.03355378
Tmem185b,0.049626723,-0.025627464,-0.013709324,0.14762504,0.03032705,-0.049174815,-0.11730648,-0.11212864
Dbi,-0.20128989,-0.5204675,-0.9702225,-0.3342664,0.5804039,0.33964846,0.22238813,1.0731659
Ddx18,0.05597416,0.16538598,0.33461815,-0.16819634,0.1500374,-0.27227345,-0.27884248,0.062526524
Mgat5,0.0845,-0.2106756,0.13300465,0.23922625,-0.07728207,0.06647028,-0.09375571,-0.19842058
R3hdm1,0.019456252,0.016496137,0.006048369,0.014815101,0.0035440642,0.13128108,-0.1412572,-0.17149125
Mcm6,-0.13662252,-0.25551543,-0.5505425,-0.48193228,1.147202,0.01062331,4.3425327e-05,-0.15201762
Cxcr4,-0.039328054,0.21599789,0.24392056,-0.088884585,-0.10676984,0.03451673,-0.038357865,-0.06237134
Cd55,0.0035049894,0.28884807,0.26227352,-0.06045268,-0.09869255,-0.10302873,-0.10787989,-0.1230621
Gm16083,-0.041633464,-0.0053703436,0.17120233,-0.031196438,-0.023225369,-0.014529811,-0.047104795,-0.04233071
Rassf5,-0.0017963989,-0.06598541,-0.044769507,0.20942965,-0.05937031,-0.06789605,0.11495175,0.013893058
Ikbke,0.071863756,0.059776615,0.0131349005,0.30580813,-0.12974988,-0.06732602,-0.1793272,-0.1016881
Ctse,0.05872552,-0.06540515,0.095843196,0.0741902,-0.0506812,-0.052869145,-0.07470776,-0.012813874
Nucks1,-0.04397297,-0.08980366,-0.4299976,-0.66817206,0.091350846,0.6021673,-0.40701574,0.8475074
Elk4,0.059143707,-0.12887597,0.32477283,0.1784855,-0.071513504,-0.07991236,0.0035585708,-0.19434777
Mfsd4a,0.04891867,-0.07445336,0.11928057,-0.025272952,-0.08228418,-0.02963017,-0.07958038,0.1959329
Nuak2,0.024385301,0.009908656,0.1954984,-0.06833281,-0.048005927,-0.025831532,-0.059167866,-0.09672613
Dstyk,0.043898217,-0.04563453,0.07111165,-0.036196295,-0.054960974,-0.02572338,-0.021175478,-0.05588947
Ppp1r15b,-0.026740532,-0.10771748,-0.060141653,-0.0779471,0.04254686,0.13200922,0.08363676,-0.02527449
Plekha6,0.02218437,0.06285323,0.11900742,-0.07869236,-0.06348505,-0.046895545,-0.034638144,-0.09993447
Sox13,-0.0023484698,-0.084031194,0.06880009,-0.032675743,-0.014885203,0.0045223166,-0.068181425,-0.057526194
Zc3h11a,0.0111449035,-0.053655297,-0.046884354,-0.1303128,-0.021292206,0.023490412,0.054085627,0.014371261
Btg2,0.008369014,-0.212436,0.028748116,-0.034872033,-0.16242702,0.1740632,0.24901646,-0.15279318
Klhl12,-0.011447152,0.07837794,0.14806592,-0.08071546,0.013570211,0.012595951,-0.05479222,-0.06043886
Kdm5b,0.07684348,-0.05631652,0.2787246,0.36780247,-0.19237736,-0.13594635,0.010650234,-0.25984836
Ppp1r12b,0.047504768,-0.073556565,0.08932676,0.025644697,-0.046776418,-0.041051824,-0.040872753,0.027910525
Ptpn7,-0.028311387,-0.3057206,-0.27449137,-0.011580706,0.022652276,0.21195109,0.09838267,0.3598614
Arl8a,-0.050630946,0.008243924,-0.09285023,0.029493727,-0.0017051693,0.07644391,0.12107055,-0.068612255
Gm15445,-0.036020793,-0.01823723,-0.04800755,0.045999642,-0.025234021,0.02573726,-0.015804803,-0.06380947
Shisa4,-0.014694974,-0.073601514,0.031338252,-0.038338915,-0.026123254,-0.012797313,-0.013298569,-0.055402175
Phlda3,-0.0062450604,-0.074825644,0.15147889,-0.03187558,-0.08953932,-0.032584034,0.06179848,0.022181012
Lad1,-0.0088962,-0.006513048,0.0492778,-0.04295148,-0.03873787,-0.034141287,-0.051360838,-0.048837196
Tmem9,0.077572055,0.08599512,0.032519225,0.08303196,-0.04284171,-0.04956835,-0.26402444,-0.038643733
Camsap2,-0.0062359744,0.13200465,0.13892576,-0.008672598,-0.039034992,-0.03276337,-0.04025595,-0.14518325
Gm33994,0.047714103,0.11562767,0.12500617,-0.08981911,-0.05120958,-0.042161245,-0.13530871,-0.12165731
Zfp281,0.06641844,-0.0030385717,0.05233861,-0.067916304,-0.04054806,-0.04741461,-0.009762767,-0.21136382
Gm19705,0.21156979,-0.057396572,0.37815195,0.029773105,-0.16223532,-0.07869586,-0.3608781,-0.29281345
A430106G13Rik,0.0053188177,-0.05611773,-0.0049783215,-0.0389335,-0.03298055,-0.02648653,-0.05081418,-0.047248796
Gm28556,-0.04155426,0.006701214,0.08379923,-0.045286085,0.0043272204,-0.047637556,0.006196076,-0.043715168
Trove2,0.014887129,-0.068947665,-0.049785424,-0.011827275,0.10212416,-0.03456113,-0.036551256,-0.10623667
Rgs2,-0.00415419,-0.10241775,-0.0070614647,0.06210912,-0.06908124,0.08613781,0.14682078,-0.16383988
Rgs1,-0.21184094,-0.20833898,-0.30912742,-0.062311906,0.1709543,0.11764939,0.51271766,0.43539992
Rgs18,-0.041421164,-0.053898484,0.016754134,-0.03015729,-0.021932874,0.037260026,0.0026878442,-0.04164544
BC003331,-0.0301571,-0.10369668,-0.09665856,0.086642645,0.109084435,-0.021462515,0.061927795,0.1000992
Prg4,-0.039715942,0.043157563,-0.029469913,-0.04607089,-0.006239085,0.0028307457,-0.051879454,-0.050136305
Gm10138,0.0200626,0.0014738363,0.12903199,0.041789148,-0.048986584,-0.0034435822,-0.03133182,-0.0890764
Swt1,6.0777424e-05,-0.015714426,0.10497666,-0.0714744,-0.06432887,0.07772158,0.015133602,-0.035507593
Trmt1l,-0.013480454,0.11988162,0.10033735,0.08734204,-0.10161605,-0.05894349,0.07848721,-0.15947722
Rnf2,0.015685823,-0.024711318,0.014466349,0.23367293,0.049095817,-0.0029408047,-0.13151374,-0.092439584
Rgl1,-0.037071552,-0.064624906,0.025153022,-0.03445709,-0.024006365,-0.012605774,0.04335225,-0.04905503
Arpc5,-0.246155,-0.72329605,-0.87093073,0.28117412,0.3694204,0.05510393,0.76509714,1.0512878
Ncf2,-0.05586482,-0.08572126,0.011893848,0.11871994,-0.062309574,-0.030144012,0.20748691,-0.08500785
Rgs16,-0.062261414,-0.08847473,-0.08318052,0.2120961,0.036388576,-0.03442054,0.15341829,0.050548915
Gm28513,-0.026291786,-0.054719802,0.17405143,-0.030579995,-0.022217492,-0.01309492,-0.04726956,-0.042261034
Rnasel,0.03740721,-0.14021993,0.06283611,0.05117931,0.05048256,-0.04382154,0.053542618,-0.16927186
Glul,-0.078335166,-0.16323021,-0.0781014,-0.096860886,0.06446516,0.040337186,0.35456982,0.03423904
Ier5,-0.018083332,-0.10094165,-0.21902542,0.13943458,-0.075917,0.098472975,0.11534169,0.064937726
Mr1,0.015858822,-0.097496204,-0.106274545,0.10093449,-0.012595564,-0.013183266,0.003029221,0.1098475
Xpr1,-0.01902099,-0.024568534,0.0010847566,0.0033357972,-0.040050972,-0.02854904,0.25937024,-0.25138855
Soat1,0.016610531,-0.084969975,0.068541326,0.033806697,-0.07751446,0.06952754,0.029425839,-0.053510457
Abl2,0.0036480373,-0.044079408,0.0022243038,-0.098918915,0.023417924,0.014771614,0.038955085,-0.03045095
Ralgps2,0.06649268,0.053495627,0.18064775,-0.04345524,0.010648704,-0.047180824,-0.17113805,-0.20353854
4930523C07Rik,0.0012354389,0.3186228,-0.024593905,-0.006634095,-0.21608315,0.14960286,-0.14338043,-0.24608307
Rabgap1l,0.09681258,-0.3336117,0.1518819,0.1528911,-0.102293916,-0.023345597,0.113391824,-0.14783198
Serpinc1,-0.06138968,-0.026748898,0.10792652,-0.06402321,-0.029571796,0.03336208,0.02668028,0.042317484
Zbtb37,0.027683066,-0.1074399,0.22116947,-0.0029933604,0.00022303019,-0.0777394,0.044731457,-0.030758511
Klhl20,0.014513809,-0.09664224,0.14540435,-0.13820833,-0.091051854,0.004001183,0.19355491,-0.09716995
Fasl,-0.2045627,-0.23146573,-0.5548925,-0.31046116,0.22816728,0.2338001,0.6180371,0.22948714
Mettl13,0.015682679,0.030873012,0.10726126,-0.12669067,0.061457936,-0.06394541,-0.03159423,-0.07691148
Gorab,0.019740805,-0.08286133,-0.1074963,-0.14580525,-0.0026727156,0.08496802,0.020000057,-0.02835351
Kifap3,0.053422935,0.061487835,0.1893149,-0.034271505,-0.09076956,-0.098703064,-0.092081055,-0.034712974
Mettl18,0.065088734,-0.08395078,0.10887615,-0.09888556,-0.032334935,0.00812092,-0.10253902,0.0064088255
Sell,0.35943174,0.59752524,0.9662367,-0.23612012,-0.43470672,-0.23231116,-0.87182844,-0.88580954
Selp,-0.039469242,0.045220714,0.009304886,-0.031647842,-0.024468092,-0.016635776,-0.045976914,-0.041676767
F5,-0.04651879,-0.0448683,-0.012017478,0.081307806,-0.030005489,-0.025833875,0.05702912,-0.039171096
Ccdc181,0.0007008089,-0.06308657,-0.089859195,0.32485735,0.004600223,-0.029395476,-0.054211996,0.046627298
Atp1b1,0.104189664,0.17705402,0.3898793,-0.21935208,-0.14170524,-0.080832176,-0.1698928,-0.32100752
Xcl1,-0.08509271,-0.09662971,0.081838086,0.8758486,-0.119062014,-0.07460557,0.1430606,-0.055126518
Dcaf6,0.053094428,-0.020721698,0.05928479,0.09331931,-0.08161425,-0.0007077851,-0.054436732,-0.15090404
Rcsd1,0.12432773,-0.049175404,0.22189814,0.0012617618,-0.21527372,0.049391717,-0.20849994,-0.0775455
Creg1,0.057666756,-0.10540302,0.02328353,0.2126169,0.024910739,-0.05004167,-0.046582345,-0.22123012
Gm37469,0.00013141193,-0.075362734,0.019485373,-0.0434912,0.0049451846,-0.02040584,-0.06552626,-0.058913555
Pou2f1,0.021112189,-0.037928417,0.15564206,-0.14945139,-0.11937567,0.23431063,-0.13990091,0.00813108
Fam78b,-0.06380818,-0.01729058,0.110433586,-0.08182253,0.014570581,-0.0931736,0.17580937,-0.074239366
Pbx1,-0.041751973,-0.054198198,0.016498823,-0.030442085,-0.0222125,-0.013234927,0.051728807,-0.04193746
Sh2d1b1,-0.07688123,-0.08687053,0.034313124,0.027446736,-0.032042988,-0.016654292,0.19529983,-0.013000633
Fcgr2b,-0.10628448,-0.11596218,-0.17328258,0.0066776113,0.036373466,-0.030824937,0.34634715,0.25345123
Fcgr4,-0.05825146,-0.05740491,-0.04055548,0.06369471,-0.04978166,-0.04764201,0.16494794,-0.05448277
Fcgr3,-0.10257413,-0.1158864,-0.041718237,0.024586128,-0.051181562,-0.07291188,0.52564377,-0.10302367
Fcer1g,-0.15878521,-0.17287615,-0.07564157,-0.02430819,0.023129096,-0.032304592,0.68430215,0.050768785
Usp21,0.024536313,-0.014315782,0.0035353396,-0.024268221,0.009597953,0.10143771,-0.117392085,-0.09794036
Gm20045,-0.0149941845,0.04823113,-0.016724244,0.012341536,-0.055787716,0.021367539,-0.04191677,-0.089609005
B930036N10Rik,-0.07525583,0.25213367,0.07168225,-0.21024331,0.035107426,-0.0024149406,-0.061361436,0.16748981
Cd244,-0.13069786,-0.14651063,-0.06940258,-0.016890801,0.044779517,0.037404515,0.46339452,0.021613875
Cd48,-0.33181697,-0.6377649,-0.9785072,-0.16352515,0.3912869,0.33225152,0.77245593,1.2789515
Slamf1,0.0022893318,-0.101638295,-0.15096426,0.029744696,0.022124408,0.088768385,-0.12798494,0.33403084
Cd84,0.018362192,-0.18060452,0.041605305,0.1256913,-0.108438425,0.061901398,0.17528479,-0.1621375
Gm37065,-0.0291736,0.10826718,-0.07097628,0.2983652,-0.031570535,-0.020612292,-0.034383442,-0.08899627
Slamf6,0.03341827,0.24417633,0.31361312,0.89909405,-0.22632644,-0.17639925,-0.26561862,-0.39223045
Vangl2,0.037357166,-0.11055824,0.081622,-0.06782845,-0.032425955,0.006586214,-0.0973706,0.02387266
Tagln2,-0.033750515,-0.26961425,-0.46596482,-0.39964047,0.3680691,0.2695247,-0.01942388,0.20562415
Slamf8,-0.013101212,-0.019820716,-0.15356365,0.037821732,-0.08033049,-0.046360087,0.06496053,-0.04301529
Dusp23,0.07298678,-0.16791497,0.0702074,-0.025197575,-0.04381314,-0.027165012,-0.12627864,0.21017745
Aim2,0.081528604,-0.065147966,0.15061264,0.29998937,-0.082532965,-0.07510735,-0.13878879,-0.15379842
Ifi206,-0.11135277,0.009960869,-0.18870975,0.073600486,0.032381393,-0.07509035,0.24265312,0.36285672
Ifi214,-0.18421851,0.15581141,-0.23811898,0.102909334,-0.0077219126,0.011987155,0.33894008,0.22073674
Ifi213,-0.020464106,0.11781323,0.13174808,0.067973234,-0.1950349,-0.059177738,0.11839471,0.0059591355
Ifi208,0.056035824,0.072998546,0.14507093,0.0907318,-0.15065716,-0.0827652,-0.07749637,-0.05793318
Ifi204,-0.05763353,-0.07849478,-0.010164546,0.34900975,-0.07814624,-0.11728915,0.23175326,-0.09763262
Mndal,-0.12653923,-0.19546112,-0.30577323,0.21116942,0.027334072,-0.040810995,0.40546826,0.45515442
