gene_name,P0_CD25KO,P0_CD25WT,P0_P14NAV,P1_CD25KO,P1_CD25WT,P1_P14NAV,P2_CD25KO,P2_CD25WT,P2_P14NAV,P3_CD25KO,P3_CD25WT,P4_CD25KO,P4_CD25WT,P4_P14NAV,P5_CD25KO,P5_CD25WT,P5_P14NAV,P6_CD25KO,P6_CD25WT,P6_P14NAV,P7_CD25KO,P7_CD25WT,P7_P14NAV
Khdc1a,-0.05931016,-0.044259883,-0.06329835,-0.059263725,-0.05805249,-0.058323447,0.005821075,0.03296207,-0.023325171,-0.035680998,-0.03328973,0.072968096,-0.025204055,-0.0012445623,-0.019615041,0.06559476,-0.045117024,0.06674945,0.03640509,-0.07614518,-0.04548009,-0.04697695,-0.06095411
Gm26580,-0.04280598,-0.04341224,-0.02553668,-0.04280785,-0.04285664,-0.04284573,-0.045429606,0.2374398,-0.044255532,-0.043757815,-0.04385414,-0.044055305,0.040924832,-0.045144986,-0.044404984,-0.0445688,-0.04337771,-0.04322424,0.04579742,-0.042127833,-0.043363087,-0.04330279,-0.04273976
Ogfrl1,0.033517957,-0.22129172,-0.062619664,0.011221966,-0.19730327,-0.19683202,-0.08662712,-0.2336324,-0.25770187,-0.23621231,0.038394492,0.055161785,-0.14044596,-0.296105,0.19510469,0.06831516,3.6424074,0.24560292,0.18519078,-0.16583604,0.20123166,0.13916282,-0.1922567
Lmbrd1,0.07619941,-0.3559814,-0.023757426,-0.178674,-0.16614692,0.15900752,-0.18087213,-0.06242699,-0.35697016,0.267364,0.19611886,0.013389573,0.03946189,-0.358013,-0.047219966,-0.026435882,-0.35594094,0.15165353,0.22961335,-0.35447547,-0.16038224,0.06717147,-0.35519296
Zfp451,0.5007607,-0.265306,0.029477147,0.014573012,-0.18366353,0.026533479,0.056516398,-0.07978612,0.45258793,-0.0416638,-0.15438527,0.03406712,0.0080932705,-0.3115349,-0.0076388856,0.008874067,-0.33817357,0.105087206,-0.17262717,-0.3570134,-0.16118833,-0.1309569,-0.34778962
Dst,-0.061761368,-0.038576096,-0.016432736,-0.061689835,-0.059823904,-0.060241316,0.03857467,0.080385946,-0.006325736,-0.02536015,-0.021676352,-0.013983077,-0.009220196,0.02768991,-0.0006102027,0.005654687,-0.03989654,-0.045765664,-0.051515974,-0.08769607,-0.04045586,-0.0427618,-0.064293906
Arhgef4,-0.06609179,-0.15969236,0.08190413,-0.09167106,-0.17121461,-0.17144096,-0.01610165,-0.03314788,0.4894821,-0.023370186,-0.15052798,-0.10436915,0.044255566,-0.12375768,-0.017095236,-0.020439439,-0.1604084,-0.10565366,0.07250905,-0.1863291,-0.16071172,-0.06176494,-0.1736386
Hs6st1,0.2338842,0.24976413,0.04273632,0.061258614,-0.21751194,0.10903453,0.14963424,0.09077397,0.21839833,0.06626955,-0.13363513,-0.086265974,0.0307507,2.3020632,-0.013422473,-0.054211676,-0.17369671,-0.13389203,-0.1992449,-0.27879575,-0.1749265,-0.12158647,5.4635563
Neurl3,0.20165266,0.6307717,0.07690403,0.0067174938,-0.0589689,0.6270446,0.23189832,0.36014342,0.50791955,-0.11999282,0.14595225,-0.15137239,-0.20607257,0.9341473,-0.0981891,-0.10087639,-0.43711686,-0.12073247,-0.027375711,-0.68648666,-0.2756398,-0.36269605,-0.56439775
Arid5a,0.022571944,-0.11978251,0.081559636,-0.13850164,-0.0292501,0.16725978,0.029743342,-0.07271564,0.5068523,0.31321865,0.36782032,-0.13122892,-0.11487101,-0.312321,0.018151648,-0.059378166,-0.43395987,-0.120784014,-0.061959274,-0.51998717,-0.06505964,-0.24725625,2.2684002
Kansl3,-0.010532457,0.05816465,-0.00913028,0.13222586,-0.0031718845,-0.11320271,-0.2942037,-0.23366223,-0.004651834,0.09681653,-0.20425467,0.1365821,-0.042281315,0.67947876,0.024064844,0.060499694,1.662085,-0.02999293,0.002843867,-0.4012662,-0.10764011,-0.12614053,-0.4262449
Lman2l,0.33572802,0.09117574,0.03907625,-0.040973455,-0.27818286,0.44057393,0.35576883,-0.04365088,0.18727353,-0.009701918,-0.085565925,-0.13114764,-0.042143747,-0.13179666,-0.059936758,0.029002827,-0.24484995,-0.076698564,-0.16509365,-0.3248052,0.004842241,-0.04968047,4.2314806
Cnnm3,0.0067379395,0.24659668,-0.018478755,0.0628112,-0.0042708837,0.04843665,0.1812815,0.06543929,-0.18715668,0.13373739,-0.10037454,0.11989905,-0.13497864,-0.15807986,-0.078819625,0.056219466,-0.21585326,-0.10447888,-0.12097463,3.713739,0.043959413,-0.03219797,-0.23670831
Cox5b,-0.24610484,-0.24635877,-0.31411296,-0.45941335,-0.9087661,-0.39027804,-0.70749503,-0.97909087,-0.618379,0.0790167,0.09800236,0.5438553,0.4412718,-0.2685546,0.186767,0.103141524,0.8598742,0.6208153,0.72706646,-1.1042802,0.94527894,0.9409585,1.1044871
Actr1b,0.22671887,0.18092202,-0.0012449977,-0.1604597,-0.03964926,-0.1128044,-0.36802757,-0.2183129,0.3486787,-0.049627665,-0.24249241,0.090856984,0.004701614,-0.720008,0.114757076,0.07200233,-0.50141746,0.05674278,0.09979672,1.0025648,-0.1087299,0.06806596,-0.4225106
Mgat4a,0.20476335,-0.23459417,0.07976242,-0.013348318,-0.0074541355,0.12441129,-0.06913191,0.046228025,0.27034575,-0.053215355,-0.21595706,-0.086795166,-0.096722946,-0.16151576,0.046388935,0.09529114,-0.23605034,-0.11577254,-0.08261041,-0.28876385,-0.23666717,-0.17946951,-0.26295587
Mitd1,-0.14141507,0.39106902,-9.140834e-05,-0.005634037,-0.2623013,0.010506855,0.032384157,-0.004768569,-0.16934785,-0.068433575,-0.026186833,0.11470064,0.13064754,0.65815836,-0.09774691,0.0062246798,-0.6978802,-0.010538417,-0.1519131,-0.6493763,0.085679896,0.15909047,-0.67312336
Rev1,0.1759311,-0.1298523,-0.02584177,0.018498922,0.30989593,0.036222607,-0.1758025,0.32711864,0.26910904,-0.21992028,-0.12647173,0.08599086,0.098160446,-0.18331346,0.16451395,0.027097782,-0.229951,-0.08099617,0.03343378,-0.2629347,-0.23033695,-0.17563966,-0.24678624
Aff3,-0.13000053,0.13343999,0.16695626,-0.17879327,0.098038234,-0.19516219,0.64246833,0.042739537,0.072922856,0.3631692,0.36549136,-0.1377594,-0.08002766,1.6571888,-0.122141875,-0.0929473,-0.24565339,-0.25972536,-0.24299861,-0.36025897,-0.24699442,-0.2525232,-0.30414924
Gm16152,0.037001412,0.0070292456,0.12822133,-0.11536221,0.05047624,0.22320198,0.122772,0.21470247,0.0946031,0.14069621,0.3356331,-0.15832326,-0.10178382,-0.0144271,-0.07876775,-0.028508589,2.7244868,-0.22964595,-0.17240524,-0.41285306,-0.24973336,-0.25769573,-0.33204576
Rnf149,-0.013651785,0.27228755,0.014313037,0.03155293,0.08002184,-0.10833005,-0.11004728,0.17922656,-0.21626505,0.046731632,-0.005003311,0.005280979,0.11244173,0.890549,-0.09991663,-0.16115892,-0.37866712,-0.014738325,0.10466157,-0.359313,-0.019935997,-0.24053226,-0.3687886
Map4k4,-0.073372796,-0.21702576,0.073383644,-0.071650706,-0.06942908,0.14674793,0.21302076,-0.123110175,0.10311397,0.4302824,0.28451145,-0.23382741,-0.1384538,0.20962292,0.03896433,0.0025656815,1.4940109,-0.032905925,-0.047930263,-0.8098352,-0.20444459,-0.29638022,-0.7637325
Il1r2,-0.058840998,-0.07059761,-0.055725597,-0.05887727,-0.05982343,-0.059611775,0.107704364,0.031694133,-0.08695088,0.2957384,-0.079167,0.014376059,0.06317441,-0.10419928,-0.013107242,-0.093025826,-0.06992805,-0.066951975,0.113873646,-0.045690224,0.13620616,-0.06847516,-0.057556815
Il1rl2,0.30322737,0.47801584,-0.049741708,0.011377273,-0.118296266,-0.11831685,0.0027178973,-0.11138382,-0.11565877,-0.11659718,-0.11641557,-0.11603628,0.131642,-0.11398177,-0.115376994,0.07311148,-0.11731383,0.14276825,-0.05596835,-0.11967039,-0.117341414,0.30781373,-0.11851664
Il18r1,-0.28643727,0.0781614,-0.29640517,-0.22324891,-0.25680116,0.20335962,-0.57659245,-0.46305367,-0.42696023,0.34839088,0.14971505,0.043841116,0.18039203,0.66661596,0.02414439,0.06714316,2.1661096,0.8021947,0.7159044,0.47892612,0.2932951,0.3897936,-0.54099286
Il18rap,-0.3304677,0.16806117,-0.3584822,-0.36217606,-0.09607934,-0.44539344,-0.80501133,-0.76919055,-0.7201437,0.082531095,-0.0042603845,0.20672509,0.08494242,-0.09707469,0.29750496,0.42767936,-0.5932701,0.9007221,0.83271277,0.7850271,0.66153294,0.6172955,-0.41593704
Tgfbrap1,-0.23603089,0.50563866,0.0054903906,-0.0032464045,-0.23621191,0.12557375,0.022503143,-0.039535478,-0.2412104,-0.08745305,0.22409615,0.11510813,-0.031113416,-0.24438857,-0.03830023,0.046451084,-0.2380738,0.13343269,-0.18420927,2.1215985,-0.087323695,-0.17829677,-0.23579428
Nck2,-0.23131871,0.0058676424,-0.03617717,0.116320975,0.7063786,-0.09440091,-0.010831536,0.022342687,-0.24729241,0.13833,-0.045490883,-0.1547455,0.07087384,-0.25709397,0.06839908,0.06311274,-0.23761903,0.030642873,-0.021637771,-0.22384566,-0.07165539,-0.16954406,-0.23058896
Slc39a10,0.031368587,-0.067249104,0.048097596,-0.050375532,-0.19336553,-0.19323117,0.04489886,-0.119677655,-0.21058464,-0.07377618,-0.10645488,-0.014463696,0.077499725,-0.22153305,-0.1164231,0.039981756,-0.1997794,0.053832594,0.011807086,-0.18439448,-0.095001705,-0.05663318,-0.19192679
Stat1,0.36762112,-0.06190065,0.030459823,0.48052016,0.43007866,0.8283932,0.3474778,0.28234258,0.5618884,0.012789124,0.113262795,-0.11798275,-0.29362673,-0.14002177,-0.042163778,-0.10296397,-0.07743581,-0.15212473,-0.4697353,-1.2893567,-0.3596973,-0.37437695,1.3013909
Mfsd6,-0.2679254,0.0635624,0.008733949,0.056474704,0.16436504,-0.02831675,-0.00962713,0.06382516,-0.0770295,0.08277928,0.08877496,0.14232765,-0.02783681,-0.14404142,-0.10287554,-0.007525546,-0.2376441,-0.07885074,-0.115944706,1.9158711,-0.027446713,-0.09811852,-0.27143282
Pgap1,0.15837441,0.92429554,-0.055772778,0.16529357,-0.1534334,-0.15313208,0.10304355,-0.115714386,0.23472942,0.03050336,0.03207566,-0.10163126,-0.08774932,-0.216608,0.05961039,-0.08391339,4.9394217,0.12371365,-0.059183534,-0.133313,0.21495837,-0.08824224,-0.1502066
Maip1,-0.13059472,0.2892731,-0.07844278,0.1614412,0.5066851,-0.017904514,0.18644096,-0.067082696,0.47617194,-0.056977194,0.4028158,0.056510217,-0.010852966,0.5509474,0.056887545,-0.18126145,-0.49677265,-0.09978479,0.06236545,-0.41922164,-0.0020395408,0.22107011,-0.45718983
Kctd18,-0.06855725,-0.11712598,-0.06247799,-0.069568396,0.054446235,0.02231198,-0.00820474,-0.09807709,-0.015273972,0.20469016,0.008266702,-0.04350772,0.059991375,-0.3180784,0.09684808,-0.12057088,-0.31527135,0.18259317,0.24811503,-0.31328607,0.06591173,0.029289657,-0.31425804
Gm15834,-0.08976346,-0.08525687,-0.0050011575,-0.08974956,-0.08938687,-0.089468,-0.07026083,-0.06213384,-0.07898826,-0.08268804,-0.08197201,0.123561166,0.14197998,-0.072376534,-0.07787731,-0.0118114585,-0.08551353,0.029302923,-0.087772034,-0.09480447,-0.08562224,0.08502712,-0.09025572
Fam126b,0.25021577,-0.10676194,0.030087508,-0.015685692,-0.21110734,0.073791616,-0.18943392,0.12348452,0.6459744,-0.043176297,-0.007717,-0.11176285,0.0031685252,-0.31822184,-0.0079732435,0.05747532,-0.23549789,-0.075620994,-0.006162908,-0.17699257,-0.2348133,-0.031162268,-0.20563617
Cflar,-0.08751301,0.2651515,-0.044061687,-0.1263306,-0.11894321,0.28032568,0.07497333,0.09896721,0.04284274,0.16642575,-0.13942942,-0.0881819,-0.042861734,0.69905573,-0.036937926,-0.023134142,-0.71843284,0.14576893,0.15633605,-0.70689267,0.15956111,0.18340172,1.3285073
Stradb,-0.22276178,-0.2201969,0.020357002,-0.0802568,-0.22254744,-0.22259362,-0.08569506,-0.01796279,0.06418297,0.13480729,-0.1247619,-0.054369044,0.060392734,-0.21286623,-0.021324228,-0.058577567,-0.22034296,0.08927738,0.07483805,-0.2256308,0.28076884,-0.059672248,-0.22304194
G730003C15Rik,-0.11181498,-0.08986051,0.015443992,0.018802484,0.45196113,-0.11037562,0.10446954,0.022786384,-0.059322167,0.051737573,0.13713923,-0.06657302,-0.062062975,-0.027112259,-0.053910047,-0.00942635,-0.091110855,-0.096668415,-0.04352808,-0.13637292,-0.09164048,-0.09382401,-0.11421308
Als2,-0.114510454,0.076732785,-0.046672165,-0.0015812037,-0.11416155,-0.11423671,-0.09644157,-0.00046463104,-0.1045274,0.20116206,-0.107291795,0.018894218,-0.020312648,-0.09840173,0.11501049,-0.0011339968,-0.11057296,-0.018474346,0.029219106,2.4107745,0.033151317,-0.11108894,-0.11496652
Gm973,-0.06515834,0.54586,-0.03593607,-0.00013860926,-0.0635532,-0.06389901,0.017967371,0.052606884,-0.019231407,-0.035000905,-0.03194898,-0.025575306,-0.02162939,0.00894964,-0.014496241,-0.009305948,-0.047043916,-0.051906325,-0.056670304,-0.08664454,-0.047507294,-0.049417704,-0.06725648
Nop58,-0.0690416,0.19805612,0.028503355,0.11659066,0.111893035,0.039528728,0.08315436,-0.06649921,0.1547861,-0.27495113,-0.49386415,0.24564183,0.41332716,-0.4452044,-0.17020273,0.011164814,-0.85705036,-0.47269678,-0.2689286,-0.6160603,-0.028566916,0.13975519,2.6547787
Bmpr2,0.31606865,-0.09051574,-0.022945616,-0.03993199,-0.10395426,-0.10421827,-0.04172046,-0.01527623,0.7330144,0.032036982,-0.07982721,0.042115204,-0.022457324,-0.04860471,-0.0075162523,-0.06254125,-0.091350876,-0.0950629,0.071018584,-0.12158248,0.12004692,-0.09316305,-0.10678139
Wdr12,-0.049525715,-0.22165406,0.03713147,0.16767128,0.057343602,0.22852866,0.3944465,0.01654376,0.47140384,0.19541731,-0.04604174,-0.011931897,-0.028917592,-0.41074282,-0.1453688,-0.042902034,-0.43818843,-0.18807946,-0.19228381,-0.45759892,-0.103992596,-0.19387473,-0.44809574
Carf,0.07719328,0.5285626,0.0467594,-0.09896801,-0.19151925,0.24377762,-0.048039626,0.20583867,0.22481705,-0.06697746,-0.026763592,-0.05061569,-0.117731586,-0.063911214,0.036691457,0.006131617,-0.16246222,-0.09092991,-0.055392563,-0.23216097,0.087225795,-0.078697324,-0.19803718
Nbeal1,0.7278839,-0.22669777,0.04412096,-0.017205281,-0.048002627,-0.056275543,0.16547981,0.1626612,-0.1485338,0.049203616,-0.027008548,-0.08054068,-0.097331315,-0.066091396,-0.024762707,0.038406488,-0.2298981,-0.11107863,-0.11427186,1.5002337,-0.097612716,-0.162109,-0.28902903
Cyp20a1,-0.011297028,0.51520926,-0.039396197,-0.057189774,-0.23469654,0.13358015,-0.2756444,-0.003804477,-0.07382253,-0.18900895,-0.07067849,0.028395433,0.052480564,1.0548859,0.014197654,0.021719515,-0.34419033,0.11869092,0.010546768,-0.08154889,0.2209036,0.18361218,-0.21013546
Cd28,0.1304616,0.08433759,-0.29021537,-0.15304792,0.09359795,-0.3784697,-0.44451314,-0.5728713,-0.9211793,0.7100618,0.7809424,0.091468245,0.0033257464,-0.11409345,0.022807201,0.22219846,1.0246509,0.4469883,0.720618,-0.2695669,0.11531065,0.19088937,2.1174726
Gm11579,-0.07995806,-0.08287056,-0.010508097,-0.079967044,0.47985387,0.2253059,0.51144236,0.13579455,-0.086921796,0.102175124,-0.08499348,-0.0859599,-0.038716312,-0.09119479,-0.0037677295,-0.048564572,-0.082704686,-0.08196741,-0.08124507,-0.07670018,-0.08263443,-0.082344756,-0.07963993
Ctla4,-0.059187412,-0.17400315,-0.15644392,-0.16212207,-0.24241436,-0.15260717,-0.104801044,-0.49295145,-0.53200805,1.1522477,0.6649829,0.19374686,0.109526806,-0.88230246,0.02700862,-0.12774335,-0.3881203,0.30825356,0.2040613,1.2570136,0.063282676,-0.026382236,-0.20973034
Icos,0.042229228,0.1498272,-0.19245678,-0.13737032,0.08159125,-0.25499582,-0.40140536,-0.29916,0.085409455,0.8545783,0.5347423,0.028228404,0.17397648,0.95006204,-0.20703258,0.04162575,-0.62021935,0.13298096,0.32821712,-0.21515685,0.3817586,0.3371656,-0.4134713
Gm4208,-0.109423034,-0.008482666,-0.10084235,-0.0673931,-0.11212894,-0.11154597,-0.10813453,-0.24172674,-0.1868456,-0.16026175,-0.042282388,-0.059812658,0.21966036,-0.23435257,-0.11370385,0.017055195,-0.13995992,0.2589918,0.24284431,-0.07320209,0.17400005,0.3390147,-0.105886035
Ino80d,-0.03185198,0.18976814,0.0015960069,-0.011852044,-0.48764527,-0.12218878,-0.13084233,0.057509005,0.006216021,-0.00849028,-0.15979096,-0.0463168,0.08363495,-0.54215896,0.045734983,0.051260658,-0.5000583,0.058887437,-0.019283768,2.1354613,-0.18677464,0.0009036824,-0.48486084
Ino80dos,-0.06086714,-0.07356849,-0.040381745,0.0040179715,-0.061928518,-0.061699852,0.091184735,-0.13873827,0.33447677,-0.08080845,-0.08282651,0.02084526,-0.08965024,-0.10987034,0.0037526938,0.10799594,-0.07284512,0.04618109,-0.06647977,-0.046659593,-0.072538726,0.12596828,-0.059479762
Gm20342,-0.24677703,0.47450098,0.03919172,-0.01664654,0.03401135,-0.09868977,0.055744648,0.05901526,-0.098807,0.16870984,-0.03495208,-0.045593053,-0.06720502,-0.20449987,-0.055484552,-0.02896235,-0.23644312,-0.0750189,-0.107298635,-0.25903448,0.2649991,-0.0066517456,-0.24797398
Klf7,0.122549236,-0.17999843,0.07861537,0.064487725,0.420772,0.048725437,0.19537549,0.030219935,0.26825532,-0.046711113,-0.13986741,-0.17911908,-0.056208014,0.60205686,-0.08752527,0.07906534,2.0769205,-0.23514126,-0.121575564,0.29584533,-0.31956437,-0.107056804,-0.6128338
Ccnyl1,-0.0748445,0.5039006,-0.019890973,-0.074885055,-0.075942926,-0.07570628,0.06803207,0.09641641,-0.106273055,-0.09548172,-0.09757021,-0.10193182,-0.10463208,-0.12555781,0.20732115,-0.0035490727,-0.0872405,0.03194707,0.008564885,-0.060141142,-0.0869234,0.077624835,-0.07340871
Plekhm3,-0.14558662,-0.13129435,0.061739076,-0.14554253,0.39422655,-0.14464961,-0.083735734,0.21550636,-0.11141402,-0.00832292,0.29402632,-0.11613429,-0.038606226,-0.0904455,-0.024581658,-0.040030483,-0.13210833,-0.005821959,0.030181943,-0.16157374,-0.01338929,-0.13387458,-0.14714777
Pikfyve,0.22324555,0.21603487,0.0042353775,-0.111217335,0.26999843,0.15070005,0.34662008,-0.20805421,0.6577895,0.13392618,0.12181745,-0.08623665,-0.056802932,-0.22364967,-0.06613236,0.04917617,-0.24365196,-0.01133701,-0.0061864024,-0.25779828,-0.119747765,-0.086345084,-0.2508724
Kansl1l,-0.1964214,-0.17114957,0.09108396,-0.008776306,-0.19430956,-0.19476455,-0.0870556,-0.04148152,-0.13599683,0.073307656,0.061920665,-0.028099434,-0.04398893,-0.09891994,-0.0481932,0.026682176,-0.17258884,-0.12671325,-0.08580227,-0.2246901,-0.10024011,-0.04353047,-0.19918184
Lancl1,0.041971795,-0.32750428,0.06008742,-0.14973904,0.039059743,0.061208304,0.13475052,0.08425437,-0.16771328,-0.008536196,-0.026403483,0.12485371,-0.16856736,1.2257456,-0.07340721,0.06670272,-0.32691616,-0.026980972,-0.11479187,-0.30562603,-0.1353793,0.28365588,-0.31604946
Ikzf2,-0.21657161,0.03425013,0.19588414,-0.27675486,-0.20177428,-0.40277857,0.2237279,0.33554697,0.54287976,0.105675146,0.013586957,-0.08350777,-0.10319017,-0.009572087,0.04203692,-0.025570981,-0.358851,-0.26363888,-0.16368741,0.9820908,-0.22486232,-0.277756,1.5217792
Fn1,-0.044134133,-0.047626495,-0.008988157,-0.044144906,-0.044425968,-0.044363096,-0.05924761,0.042612214,-0.052484322,-0.049617197,-0.050172083,-0.05133091,-0.052048337,-0.05760805,-0.053345248,-0.05428892,-0.047427602,0.18445371,-0.045677382,-0.040227626,-0.04734335,-0.046996012,-0.04375266
D230017M19Rik,-0.0749541,-0.056073155,-0.028426468,-0.074895844,-0.07337633,-0.073716246,0.0067546316,0.040803675,-0.029810049,-0.04531074,0.26242194,-0.036045812,0.14433047,-0.0021093828,-0.0251556,-0.020053783,-0.05714846,-0.061927985,-0.06661075,-0.096074045,-0.05760394,-0.059481785,-0.07701648
Rpl37a,0.30437392,0.4134864,0.35451207,0.7331735,0.6717162,1.0760528,1.1738118,0.94579107,1.3288944,0.15824948,0.22765005,-0.53128356,-0.4790738,0.7164521,-0.4850264,-0.43991497,-0.046064895,-0.78222567,-0.7654204,-0.9263805,-1.4218125,-1.2720147,-3.830246
Rufy4,-0.060230076,-0.034565747,-0.01555127,-0.06015089,-0.05808545,-0.058547493,0.05083428,0.09711617,0.0011329475,-0.0199367,-0.015859015,-0.0073431446,-0.0020709985,0.038785677,0.007459609,0.014394364,-0.036027376,-0.04252405,-0.048889205,-0.08893781,-0.036646497,-0.039199,-0.06303341
Cxcr2,-0.11482886,-0.11061302,-0.03767726,-0.04954566,-0.11447657,0.14358065,-0.096584484,-0.08898183,-0.10474885,-0.10820993,0.34255725,0.0004791937,0.006643486,-0.09856369,0.08540972,-0.07257133,-0.11085312,-0.11192032,0.13724981,-0.11954464,0.07238641,0.25082138,-0.11528936
Retreg2,-0.08190766,0.42320883,-0.027367132,-0.043674786,0.049013615,-0.086350806,-0.0011218558,-0.18346596,0.008582755,0.006739927,0.09788836,-0.0057841623,0.052183744,0.5111452,0.18197492,0.13862002,-0.5151701,-0.23634583,0.13598149,0.47117224,-0.2243991,-0.05377635,-0.48916864
Ankzf1,0.15810071,-0.123067975,0.017740695,-0.0022461743,-0.023636699,0.42311102,0.1538771,0.14681762,-0.076794915,0.13231984,0.025411088,-0.08742629,-0.10361628,-0.20214638,-0.05873878,-0.079280645,-0.22545104,-0.09328429,0.05433108,-0.2419329,-0.009395631,-0.06132458,-0.23386355
Tuba4a,-0.044366665,0.017908568,0.14672926,0.048393287,-0.6306059,-0.39059854,-0.21436335,0.07041835,-0.21863471,-0.3361052,-0.4537064,-0.08315161,-0.11251126,-1.1844897,0.24942628,0.16693906,0.39176401,-0.25423765,-0.3179112,-0.67800826,-0.051096044,0.28607407,-0.780731
A630095N17Rik,-0.03169677,-0.041739795,-0.011959101,-0.031727757,-0.03253601,-0.032355204,0.31031534,-0.09326987,-0.05570949,-0.047464468,-0.04906016,0.06894225,-0.054455716,-0.07044384,-0.058185253,0.020309301,-0.041167825,-0.038625535,-0.03613471,-0.020462794,-0.04092555,-0.0399267,-0.030599765
Dnajb2,0.26701063,0.70376915,0.055747777,0.04139816,-0.22949837,-0.23048453,0.002971487,0.10175199,0.20959732,-0.07984795,-0.049763467,-0.042418417,-0.03538366,-0.022744121,-0.017457087,-0.074803054,-0.18241933,0.015543587,-0.13785492,-0.29534727,-0.039733455,-0.18918858,-0.2400589
Ptprn,-0.04905446,-0.039952923,-0.017225863,-0.049026377,-0.048293896,-0.048457753,-0.009666867,0.006746432,-0.027292827,-0.034764912,-0.033318814,-0.030298766,-0.028429065,-0.013939753,-0.025049154,-0.022589829,-0.040471274,0.07255045,-0.04503256,-0.0592353,-0.040690836,-0.041596048,-0.050048623
Gmppa,-0.092572734,-0.3127226,-0.00031690917,-0.03620302,-0.35087946,0.11981391,-0.14459085,-0.016579738,-0.10521356,0.04451252,-0.21683948,0.09233747,0.24461687,-0.4861562,-0.19804385,0.03795118,-0.38168272,0.07567771,-0.12267855,-0.30779538,0.0066162506,0.18872866,-0.34396985
Stk11ip,-0.19220322,-0.19584513,0.020103863,-0.02377929,-0.19250757,-0.192442,0.21274987,-0.094096415,-0.20091096,-0.043052427,0.027150663,0.04303744,0.1443212,-0.20625408,0.07095172,0.004259276,-0.1956377,0.21283667,-0.19381256,-0.18812945,-0.12502286,-0.107621044,-0.19180542
