gene_name,P1,P3,P5,P7,P6,P2,P4
Mapkapk2,0.96377206,-1.1055539,0.21868488,-1.352251,-0.59225184,1.1337069,-0.0614519
Psmd1,1.6752365,-1.223515,0.10956718,-1.0650882,-0.43621778,0.16261183,0.058837168
Galnt3,0.0,-1.8027756,-0.5827148,0.7728566,-0.77096134,0.22242716,-0.07842697
Eef1g,0.68298674,-1.3574085,-0.33579168,0.18526231,0.28181544,0.25858185,-0.07085467
Yars,1.3833101,-1.7475029,0.348859,0.1995109,-0.1588194,-0.03754663,-0.51794124
Slamf7,1.6525877,-1.1907496,0.24501862,0.33503467,-0.36932716,0.5332789,-0.08021093
Sae1,1.1250541,-0.78080547,0.371297,1.4613074,-0.7759007,0.40097868,-0.22770898
Taf15,-0.15982044,-1.145591,0.45532146,0.76251394,-0.14610511,0.48889765,-0.121955454
Hsd17b12,0.77300245,-0.9396532,0.70330006,1.0421569,0.2705058,1.2377541,0.20604613
Icos,0.80906546,-0.77872723,0.57368034,0.7725838,0.2671007,0.41306463,0.59589237
Pigk,0.80980766,1.3802665,-0.33672467,0.97532636,-0.31038415,-0.95672536,0.14370021
Ppt1,-0.064082585,0.6516387,0.07004132,0.92557645,-0.2639653,1.0262641,-0.7349028
Slc7a5,0.6825568,1.1502903,0.28816384,0.84269065,-0.44554827,0.24735837,-0.3844322
Agpat5,0.05062306,-1.3003095,0.22432941,-0.53412664,-1.1282247,-0.9366408,-0.69491965
Gclc,0.19921343,-1.519219,0.84210086,-0.5138428,-0.9057884,-0.58272046,-0.13504179
Bcl2,-0.28832346,-0.4696114,0.045050047,-0.5637391,-0.32250682,-1.6167041,-0.57277095
Mettl16,-0.5476245,-0.9958586,0.17129563,0.14187296,-0.4565472,-0.7810958,-1.0351256
Aco2,0.6851252,-0.5465546,-0.24568099,0.52765775,-0.90354365,-0.7374251,-0.4598464
Rps3a1,0.08548364,-0.10158488,0.49745926,1.1926433,-0.027167857,-1.1402465,-0.19199876
Hsp90aa1,0.028816625,0.02713303,-0.5496795,0.4095067,0.7516584,-1.0500718,0.011246368
Hipk2,0.2531557,-0.20297687,-0.67258114,0.22939768,-0.07420727,-1.6539317,-0.5060575
Rpl35a,0.3619735,-0.37262675,1.5895513,0.1578246,1.3206086,0.44837824,0.9380313
Bmp2k,-0.10315691,-0.2913898,1.1535743,-0.33057976,0.29986075,0.04654819,0.55997896
Txndc11,1.0212655,0.1957415,1.0826184,-0.6074579,-0.11640349,-0.5647086,0.679296
Crim1,0.15448362,1.4905206,0.522483,-0.87135553,0.32011452,0.061012663,1.1858808
Hsp90b1,0.687294,0.59306735,-0.022252621,-0.22650841,0.55302703,-0.30787504,1.0760915
Slamf1,0.8196629,-0.8408387,0.5788324,1.4593651,1.0327238,-0.32065898,0.38369414
Cox10,0.44512802,0.09405271,-0.16959582,1.3816804,1.8010347,-0.09044004,0.6223173
Ncl,0.84752965,0.4403496,0.17341515,0.88428277,0.05971545,-0.28839436,-0.19400546
Agpat4,0.9171743,0.19771583,0.39436758,0.8623236,0.5195435,0.25883284,0.17520657
Znrf3,1.0102665,0.53690976,-0.02027879,0.67586565,0.7151605,-0.1531052,0.11870809
Nars,0.8119261,-0.05414095,0.46931428,0.5707604,1.3489345,1.11056,0.16506569
Chsy1,0.11178614,0.21604405,-0.20469275,0.36763483,0.9284103,1.007018,0.19321808
Fam133b,0.17473798,-0.51301515,0.13966298,0.78492004,0.6145793,0.6529664,0.25211346
Nf2,-0.02521197,0.08239402,-0.22742939,-1.2615937,-1.1728008,0.025084464,0.11372866
Cenpv,-0.86205703,0.9188555,-0.4510066,-0.48792002,-0.9024702,0.75349426,-0.25196186
D10Wsu102e,-0.27608755,0.37746012,-0.95731616,-1.0128322,-0.3035037,0.96091366,-0.41403496
Pabpc4,-0.51126695,-0.24797682,0.12687664,-1.367433,-0.2247259,-0.34757197,-0.13362613
Kdm6b,-0.52188426,-0.32557344,-0.13238369,-0.9970902,0.3664024,-0.04120013,0.011525178
Ptges3,-0.49582148,1.2615601,0.2695415,-1.3427113,-0.00037264853,-0.2033875,0.07969131
Rasa2,-0.33553296,0.62039065,0.14167747,-1.1285703,0.5241151,-0.3462731,-0.2573383
Fnip1,-0.46816882,-1.5397918,-0.01439802,-0.00010482723,-0.14697044,0.0055539664,0.08571168
Rps24,-0.4978496,-1.191433,-0.17992546,-0.7062428,-0.30882463,-0.15395741,-0.109677084
Ifng,0.0,-1.0227561,-1.0541279,-0.6980916,0.9957088,-0.24982154,0.30305955
Ndufaf2,0.03768586,-0.19002566,-0.97961986,0.033241,0.5045168,-0.15331471,-0.51510644
Furin,0.026890645,-0.5386653,-0.8241835,-0.55502355,-0.00043827837,-0.335545,0.16640523
Fbxo28,0.017365579,-0.93864465,-0.58337176,-0.14814585,0.20823525,-0.41714296,-0.1175327
Tm9sf4,-0.08865757,0.5148828,-0.51883227,-0.09284856,-0.883842,-0.04161659,-0.4690283
Nfx1,-0.10911019,0.41011605,-0.27544692,-0.2741961,-0.55738,-0.79114056,-0.1084231
Setbp1,0.19408788,0.48357645,-0.27382374,-0.0052634017,0.04544323,-0.95878184,-0.6104264
Lars,0.7274095,0.6718107,-0.07047763,-0.4102859,-0.9778229,0.342087,0.59038866
Cradd,0.3272755,0.72253126,0.6100508,-0.4819819,-0.19117169,0.50973684,0.43977675
Txnrd1,0.35861835,-0.623098,0.020818228,-1.0897226,-0.33971548,0.27991432,-0.27669966
Eif4enif1,0.32294312,-0.5050662,0.48249274,-0.88010234,-0.25360295,0.42303318,-0.25718626
Spred2,1.1752888,-0.5323109,-0.19331242,-0.11386314,-0.12221187,0.0368985,-0.543562
Irf4,0.47891265,-0.35195145,-0.58377254,-0.4554396,-0.43454123,0.12219528,-0.3347493
Rbm28,-0.19085944,0.4779377,0.059134003,0.39455283,0.11824359,0.6918461,-0.15299754
Mcu,-0.7501924,0.23968796,-0.1794783,-0.04414695,0.05581398,0.86464864,0.26381263
Elovl1,-0.78309804,0.6672181,-0.32999182,-0.07754063,-0.54455525,0.62179244,0.17345953
Rap1gds1,-0.39478874,0.63267255,0.035035994,-0.14992927,0.084182784,0.35283685,0.33681583
Fndc3a,-0.28579074,0.61331105,-0.16437525,0.033829108,-0.3686564,0.42262778,0.27047056
Slc16a1,0.58222836,0.3915264,-0.39185902,-0.34055442,0.69161445,-0.09477286,-0.14013095
Rpl5,0.8898632,0.048127126,-0.08861715,-0.32528424,0.6074817,0.28710064,-0.16768739
Atp2b4,1.0052338,0.44864014,-0.53027177,0.020643782,0.13616772,0.5398069,-0.39092106
Tmem131l,0.45710716,0.5468343,-0.36269775,-0.08528431,0.15795055,0.24640515,-0.32589957
Tmed10,0.539335,0.4631745,-0.13535929,-0.5859356,0.029427266,0.19936381,0.046724528
Nploc4,0.9220377,0.0704425,0.19259714,0.07200107,0.23035415,0.3068947,0.05156394
Il18r1,0.66401947,0.14173906,0.042373106,0.0067342333,-0.10176665,0.19926706,-0.037652194
Rev3l,-0.3087733,0.20991662,0.04191945,0.3222236,-0.21585654,-0.36470267,0.012131755
Abtb2,-0.056182526,0.24623145,0.048140433,0.041351344,0.29693693,-0.3004155,0.1076679
Slco3a1,-0.030887991,0.44388992,-0.14428982,-0.09746921,-0.06731738,-0.22168541,-0.011069283
Prep,-0.053338997,0.6267049,-0.6024593,0.030315883,0.31658813,0.09844466,0.117277674
Slc7a1,-0.41540742,-0.0023285453,-0.087344795,0.35305324,0.5378181,0.18635035,0.3288639
Tnfrsf18,-0.3793496,0.079045095,-0.40355155,-0.10717132,0.16263534,0.0039337226,0.4264035
Cdk6,0.20274292,-0.41048005,0.55086654,-0.020284893,-0.17717868,0.31372437,0.6467746
Ttc39c,0.0,-0.36680996,0.73833865,0.3024175,-0.35739464,0.40438396,0.23048696
Chd7,0.27179953,0.07129737,0.32722342,0.39038166,-0.17539042,0.607197,0.23137794
Dock10,0.16786525,0.0864931,0.24030323,0.29976448,-0.011099092,0.078979805,0.065712444
Srgn,0.11983766,-0.25749874,0.06851605,0.33459452,-0.010660942,-0.06266569,0.086279765
Snrpf,-0.3695771,-0.08747663,0.12252123,-0.31724465,-0.22996922,0.08657619,0.06670725
Rpl3,-0.091518685,-0.103881516,-0.033209246,-0.8958617,-0.4296215,0.040353943,0.39816698
Nol10,-0.29119763,-0.12488925,-0.15677848,-0.5803179,-0.35148156,0.1881913,0.40016493
Farsb,0.2400621,-0.19913228,-0.24587084,-0.13011722,-0.37570074,0.18063475,0.28625458
Dgkh,0.21546294,-0.11815265,-0.39432845,-0.04871128,-0.41267136,0.32130897,0.24179466
Spcs2,0.1636334,-0.3665177,0.17800386,-0.13578239,0.11269275,0.15211445,0.2214616
Aatf,0.23482606,-0.47490734,-0.10395822,-0.46388218,-0.078034796,0.34597448,-0.00040662428
Ipo7,0.22993949,-0.05318455,0.2682593,-0.22282286,-0.6497386,-0.2084277,0.14995763
Ahcyl2,0.22962402,0.23594394,0.1462245,-0.53110665,0.061891273,-0.10611424,0.21421179
Hspa9,0.08248254,0.07069798,-0.08931875,-0.39953125,-0.14464359,-0.28454968,0.11839569
Prkca,0.086973764,-0.25569624,-0.09747749,-0.112932906,-0.28345692,-0.19682835,-0.18319826
Timm23,0.2698228,0.045552712,0.3246544,-0.31452593,-0.3671311,0.18668614,-0.212214
Malt1,0.30895722,-0.01910204,0.16356876,-0.05381494,0.17124827,-0.07878675,-0.118815355
Slc3a2,0.012731769,-0.043683317,0.1415802,-0.40877488,0.049730252,0.07316893,-0.22203971
Galnt6,-0.77433157,-0.060012847,0.21560986,0.5075428,0.6176726,-0.9666133,0.9966533
Klf7,-0.52592397,0.48911566,0.010196164,0.3809778,0.35017332,-0.7560616,0.6697664
Diaph1,-0.9209214,-0.28598356,0.29914567,0.45799562,-0.44118217,0.45953718,-0.034152757
Pim1,-0.91472626,-0.10450006,0.3823988,0.018551847,0.260063,0.48646435,0.06518519
Yaf2,-0.44969708,-0.041860275,0.7418598,0.18241452,0.1633931,0.21875656,-0.12610441
Prmt7,-0.62893593,-0.10516346,0.17088106,0.94895357,0.33496228,-0.24958128,1.0418944
Rnf216,-0.6103427,0.034293544,0.34596148,0.8789036,-0.01504792,0.20179339,0.3972004
Gpd2,-0.98219067,-0.019906718,0.23983449,0.5159742,0.3671985,0.24484505,0.6762936
Zfp131,-1.0969374,0.21318789,-0.31403944,0.59106016,0.21377067,0.06146052,0.14970107
Znrf2,-1.036187,-0.5095208,-0.18281968,0.102300294,0.11509955,-0.09877061,0.47736883
Tnfrsf9,-0.56581426,-0.48670346,-0.14202707,0.03921259,1.0759829,-0.106416926,0.12646455
Ptpn9,-0.9761225,-0.9962961,0.07104068,-0.31363818,0.48204386,0.11566919,-0.38643545
Mrps28,-1.1828645,-0.533659,0.16448392,-0.06511471,0.6417825,-0.10583494,0.015456569
Traf6,-1.2098241,-0.668205,0.39795777,-0.3626523,0.21672307,0.044508018,-0.037645925
Wwp1,-0.18061472,-1.0036457,0.5942103,0.14087065,0.16640753,-0.32914227,-0.5133451
Me2,0.09579217,-0.72426647,0.29259714,0.72862357,0.4622721,-0.4506804,-0.14492157
Slc39a11,-0.57040375,-0.33950907,0.7971004,-0.042911336,0.121401034,-0.9965895,-0.12499071
Cd2,-0.6255994,-0.4725242,0.3897786,-0.38047135,0.17359251,-0.3549415,0.015467289
Nfkb1,-0.32090276,-0.48126665,0.28157154,0.190576,-0.14206693,-0.3758584,-0.08021966
Snd1,-0.47518858,-0.051129036,0.05738347,0.116847925,0.26894498,-0.1872505,-0.21264201
Usp22,0.91318625,0.5826778,-0.767842,-1.1736888,-1.4088311,-0.62295526,-1.2428291
Rpl24,1.5350605,0.37631038,-0.9447659,-1.1418024,0.06030969,-0.30502135,0.28682944
Otulin,1.3902117,0.035926703,-0.3426942,-0.694398,0.12396508,-0.7335723,-0.6623268
Dennd5a,2.421069,1.718953,-0.07069933,-0.6151787,0.035960756,1.2259754,-0.24812286
Tmem163,2.151383,0.65927136,0.0275183,0.29668674,-0.2134094,0.4771818,0.020140162
Cs,1.5022085,0.41370475,-0.11867231,-0.062257662,-0.06132646,1.0185758,-0.40955505
Dock5,1.2179326,1.098079,-0.070987985,0.037159994,0.06439757,0.78109103,0.11500189
Myo5a,1.3143407,0.6966226,-0.91440094,-0.32551235,-0.09498078,0.55831057,0.30598408
Pik3cg,1.8210928,0.2958561,-0.7831439,-0.7271686,0.73450536,0.7675579,-0.09021822
Coro2a,2.993203,0.37360516,-0.30884328,0.30078056,0.28630915,0.7254,-0.33376494
Gnaq,2.4814522,0.51777583,-0.108355895,0.14342868,0.12305068,1.4076555,1.0721445
Naca,1.9393867,-0.035720833,0.15510774,0.24362087,-1.1377877,-0.09120152,0.23326215
Lpgat1,1.6634431,1.5663224,0.56509906,-0.4316122,-1.1900129,0.15801221,0.50500286
