gene_name,P1,P2,P5,P7,P4,P3,P6
Irgm2,-0.4694664,-1.5804522,0.9737958,0.7135978,0.5781733,1.7139032,1.7073503
Cd3d,-2.670239,-0.010762994,0.3252058,0.4155788,0.34973586,-0.8239296,-0.026499074
Cd8b1,-2.5924253,-0.41472682,0.057028245,0.19150838,0.118188925,-0.8626109,-0.2541583
Gtf2i,-1.731282,-0.852575,0.4806242,0.33126044,0.11710563,-0.10632621,-0.2089682
Pnrc1,-2.0677993,0.19051059,0.04692931,0.22689429,-0.083993375,0.11382084,-0.5648736
Usp18,-0.31440467,0.43368158,0.1791867,0.3932015,-0.13028991,-2.0096097,0.121112466
Mxd1,-1.7211055,0.623522,-0.056351963,-1.0662313,0.08207885,-1.4794414,-0.19092558
Rcbtb2,-1.5190555,-0.34317702,-0.49119416,0.15769649,-0.5905517,-2.0840852,0.4546935
Ly6e,-1.573952,0.3174819,-0.30137503,-0.027855271,-1.0973467,-0.9553751,0.13050427
Gfod1,1.477139,0.5634571,-0.20148875,-0.18088852,-0.18313539,-1.3857119,-0.70788145
Ifih1,1.0618501,0.06896962,-0.23925903,-0.04760835,-0.38709563,-1.7426754,-0.94403726
Serp2,0.99977374,-0.29659718,-0.15462959,0.9590928,0.049564917,-1.968764,-0.506693
Ifi203,0.81110173,-0.18235046,-0.69830567,0.4423443,0.09777561,-1.2560775,0.23295018
Ikzf2,1.0645396,-0.66985613,-0.38719425,0.6134046,-0.715929,-1.012965,0.027084252
Ctso,2.2435393,-0.037925754,0.8147101,-1.9945077,0.12019785,0.16682415,-0.68386614
Lgals8,2.4761596,0.5385312,0.39357612,-1.3609365,0.01112691,-0.7861058,-0.21665211
Hgsnat,1.849666,0.30561787,0.75402963,-0.6681307,0.97268486,-0.463943,-0.92976505
Mmd,1.743812,0.24905007,-0.03339158,-0.07487807,0.11382354,-0.4798529,-0.37257177
Sla,2.4748888,0.1786103,0.18705752,0.53347945,0.65340686,-0.71327716,-0.17452554
Hmox2,0.57251257,-0.4224134,0.37177238,-1.3676279,-1.5800521,-1.1612389,-0.25840464
Stap1,1.0614618,-0.2548186,-1.6756289,0.21792088,-0.16948527,0.9110764,-0.25619763
Lztfl1,0.83795136,0.19492438,-1.4151503,-1.1912837,-0.24444948,-0.09820928,-0.61757267
Abhd2,1.8084197,0.75688064,-0.2336825,-0.42924812,0.2519302,0.5231889,0.10457812
Gsap,1.5665569,0.45114848,-0.19912024,-0.10499976,0.030532606,0.38939568,0.081309676
Inpp4a,0.87600493,1.0378846,0.21787488,-0.25553566,0.27859947,-1.1148826,0.34951732
Elk3,0.87457824,0.42796943,0.6440838,0.13620059,-0.76181614,-0.3534113,0.2583521
Rap1gap2,0.62676656,0.9444798,-0.024292648,0.026535261,-0.023522317,-0.23710412,0.09170413
Lax1,1.43914,0.64234096,0.24201645,-0.088864796,0.0060767457,-0.27397034,0.28856984
Ppp1r16b,1.000296,0.449724,0.7068345,-0.27035913,0.053073242,-0.11817085,0.14665957
Sntb1,0.117872454,-0.16818056,0.3344689,0.46654353,0.17088228,0.2885321,0.625964
Hsd11b1,0.8809374,-0.15912327,-0.048156556,-0.16764614,0.045878783,0.8454851,0.5929335
Narf,1.1534401,0.341175,0.015341033,0.6189635,0.13068226,0.3567851,0.77729875
Samd9l,0.7350251,0.34994164,0.10594495,0.26384255,0.32139897,0.32014084,0.7915767
Rab19,0.2520177,1.0525066,0.1985564,0.2718236,0.5619773,0.67752385,0.42450655
Atg7,0.472437,0.7441855,-0.034199864,0.2662195,0.50152814,0.41675386,0.1983061
Trim26,0.35102156,0.33634487,0.12231505,-0.13663815,0.3337076,1.1286101,0.17717071
Tle4,0.07676554,0.18699573,0.6765043,-0.27493525,-0.1430208,0.98465586,0.21250796
Cpm,0.66541564,-0.028518893,0.7281928,0.5075361,0.22895019,0.90875113,-0.20035355
Il6st,1.0520383,-0.55875343,0.6760836,0.6219305,-0.4557626,1.0390432,-0.49279696
B4galnt1,1.2077115,-0.53890544,0.3787944,0.90665925,-0.42321226,-0.07225196,0.5512526
Herc6,1.623276,-0.3015411,0.53049767,0.44594374,0.24217306,0.07927643,0.4938275
Ddb2,1.4729006,-0.24830814,0.051498886,0.5511108,0.2509865,0.75395286,0.09401839
Mylip,-0.08252102,-1.1854151,-0.70242107,0.9330813,-0.7186546,-0.6882728,0.81537986
Ifi213,0.28176013,-1.3903039,-0.37996548,1.1705083,-0.4077743,-0.01369537,-0.1316745
Gab3,0.6046203,-0.6397293,-0.55604196,0.13105513,-0.3901418,0.43146113,0.6112434
Tmem71,0.48725358,-0.8862237,-0.55850345,0.6675432,-0.35728106,0.44119614,0.16712838
Ipcef1,0.38687816,-0.9186427,0.67397326,0.23181854,0.34989238,-0.45705187,-0.08396549
Slamf6,0.8109304,-0.6504704,0.8180912,-0.9135918,-0.279122,-0.62585026,-0.24019389
Ddx58,0.8299709,-1.4808561,0.09375234,-0.6151591,-0.10210701,-0.3001047,-0.3390752
Cd96,0.08098013,0.0026972606,-0.6250769,-0.31848875,-0.30424654,-0.752971,0.58786446
Gbp8,-0.6726863,-0.64167076,-1.1883426,-0.329776,-0.04297831,0.34104654,0.35757092
Serpini1,-0.4781905,0.12612814,-0.5200917,-0.43970716,-0.097947516,0.15577681,0.8054896
Slc28a2,-0.15869921,-0.59439653,-0.5966279,-0.09349204,-0.036709566,0.64256483,0.6908531
Atp8a1,0.027405243,-0.35622627,-0.38812396,-0.613532,-0.37520823,0.37375462,0.782205
Klf3,-0.67075044,-1.2991614,0.13987294,-0.10652848,-0.58656895,-0.19022205,-0.0028880697
Pecam1,-0.1342906,-1.2036948,0.18188624,-0.4439729,-0.622082,-0.2726868,0.20654194
Emb,-0.31981745,-0.9042651,-0.024541818,-0.90115154,0.0028596432,-0.28530967,-0.35647404
Stat1,-0.6540585,-1.2489971,-0.2079031,-0.6745385,-0.42105165,-0.026553554,-0.47138232
Ifi206,-0.5423218,-0.7414568,-0.18237515,-0.4584255,-0.22870892,-0.18556187,-0.65904146
Gpr183,0.25465915,-0.7351802,-0.2831484,-0.9590791,-0.33578408,-0.2741341,-0.24165264
Ccdc125,0.02694061,-0.6529851,-0.698208,-0.38960218,-0.18602529,-0.5524048,-0.3304862
Trim12a,0.17805769,-0.90145653,-0.50432026,-0.23849046,-0.29380786,-0.3428965,-0.40414533
Ms4a6b,-0.93107057,-0.29336855,0.0641742,-0.7581472,-0.7823311,0.22463897,-0.24726523
Susd6,-0.847852,-0.19977656,0.46723476,-0.7031073,-0.2350689,-0.019790765,-0.0023125252
Tapt1,-0.614909,-0.30475238,0.15282127,-0.4728305,0.12339823,-0.4379132,0.57620025
Ikbke,-0.42368913,-0.7363961,0.57071507,-0.30260986,-0.1776582,-0.6952216,-0.032393772
Smarca2,-0.05974206,-0.5862166,-0.024594912,0.0865668,-0.11853284,-0.6831706,-0.82942516
A630001G21Rik,0.026715243,0.037320726,-0.4138937,0.1386796,0.1760191,-0.8756753,-0.55240554
Sorl1,0.35338324,-0.6050296,-0.32368767,-0.88870734,-0.08805245,0.45566285,-0.114770226
Plgrkt,0.37856105,-0.6345933,-0.41982242,-0.49928272,0.23890704,0.27754876,-0.16528091
Cracr2a,1.1025403,-0.33466235,-0.6597568,-0.643706,-0.06294072,-0.20126154,-0.52712256
Dgka,0.9246724,-0.5119913,0.41311306,0.19828781,-0.26458147,0.009642075,-0.11662201
Fam49a,0.47287214,-0.7348232,0.07219068,-0.11435082,0.1822925,-0.2549487,-0.54092366
Asap1,0.5992981,-0.7035736,-0.051694535,-0.540288,-0.023459038,-0.17430235,-0.15831415
Gm12216,0.88640827,-0.025241546,-0.3335989,-0.4134441,-0.5212241,-0.076908134,-0.20727602
Arhgef18,0.561988,-0.020577073,0.13120213,-0.28263494,0.051537886,-0.2997908,-0.25664026
Gramd1b,0.5739424,-0.08696105,-0.08613654,-0.25233915,-0.19998774,-0.3532351,-0.3014281
Inpp1,-0.39876738,0.9687978,0.22956227,-0.11202633,0.5421861,-0.4220018,-0.10979075
Itga4,0.18000473,0.76306474,0.20116521,0.05965555,0.26780424,-0.287269,0.07578368
Dennd1c,0.0061789844,0.37581858,0.5212078,-0.08589749,0.38363576,-0.3120523,0.10772105
Ifnar2,0.34394568,0.15378487,0.06860265,-0.0002817351,0.4224271,-0.55216235,0.13160972
Nmi,0.65801543,0.11663602,0.10673209,0.35358852,0.14329383,-0.3035801,-0.06729918
C2cd3,0.008392203,0.21031745,0.33294263,0.6301679,-0.09253239,-0.77335244,0.07702235
Ifngr1,0.16921045,0.1282834,0.04883772,0.2927975,-0.39995667,-0.19718805,-0.15045202
Lsp1,-0.19382674,0.13941848,-0.04356313,0.2504563,-0.085810795,-0.45300406,-0.14506163
Kif13b,0.0074795373,0.08601552,0.034668513,-0.06954544,-0.13608901,-0.50804186,-0.06726557
Txk,0.004233156,-0.8671327,-0.32183576,0.22637264,0.14436293,0.09470964,-0.21596329
Gimap6,-0.24818036,-1.0529299,-0.18971,0.06268372,-0.24127142,0.3016363,-0.05134466
Ablim1,-0.09964144,-1.0541078,-0.4269431,0.018417202,-0.20546703,0.041517455,0.30447122
Cmah,-0.2984469,-0.54807884,-0.06700008,0.023828788,0.20584336,0.32836294,0.21816559
Zfp36l1,-0.37668368,-0.9158446,-0.09155405,-0.578668,0.0004737344,0.4871201,0.22650495
Cd226,-0.70214194,-0.6532647,0.07178787,-0.2872399,-0.041679077,0.31536686,0.14455011
Sntb2,-0.52578175,0.21529436,-0.0052408758,0.31949654,-0.09939536,0.5938587,0.29570854
Xdh,0.20671734,0.4868651,-0.10240941,0.20835464,-0.022375586,0.4423514,-0.49239963
Irf2,-0.2171971,0.42909202,0.08433009,0.3795316,-0.038479917,0.0815873,0.0042110346
Pitpnc1,0.035605755,0.24491936,0.12915863,0.13953386,0.067124784,0.6260514,0.21029173
Epsti1,0.06091737,0.31965366,0.068931095,-0.12195948,-0.11925792,0.2362554,0.018008942
Gimap4,0.0982718,0.20194592,-0.0077029928,-0.17408481,-0.05913147,0.4762263,-0.06818439
Aak1,-0.2779001,0.2677608,0.060793217,-0.27080828,-0.22980453,-0.2798282,-0.61947197
Rasa3,-0.5129555,0.35562706,-0.10033708,-0.42982835,0.092508756,0.010098138,0.046379995
Atg16l2,-0.29276958,-0.11753522,-0.08194085,-0.36289272,-0.25747335,-0.27032378,0.17358382
Lrch1,-0.4280235,-0.09889244,-0.056287047,-0.27294916,-0.07294284,-0.48883504,-0.15153512
Dpp4,-0.112301715,-0.71160656,-0.24177414,-0.38985342,-0.11680615,-0.104808696,0.2685584
Ccm2,0.057691347,-0.45384383,-0.10484994,-0.6042546,-0.47880444,-0.2618102,0.5338188
Gm12185,-0.1479974,-0.345147,-0.32695365,-0.12422937,-0.37368113,0.43165088,-0.25121424
Tgfbr2,0.10144067,-0.7326092,0.07320376,0.16235244,-0.22208224,0.060312,0.4719959
Ldlrad4,0.27280575,-0.59725344,0.3016526,-0.12764986,0.012730235,0.25645664,0.20452055
Tnrc6b,0.50748616,-0.46006393,-0.23392023,-0.22467014,-0.2610667,0.11548918,0.10215626
Traf3ip3,0.25427955,-0.53258485,-0.12686299,0.17700917,-0.07453565,-0.3245391,0.022501752
Ugcg,0.24316047,-0.3865355,-0.039321456,0.08114353,-0.23527761,-0.10299168,0.1550685
Arid5b,0.0024704782,-0.05908148,0.24089903,-0.280993,0.18675339,-0.118820675,-0.25819597
Dock8,0.25781956,-0.10290413,-0.0714809,-0.40286323,0.14206171,0.31112534,0.17035222
Traf5,-0.059346143,-0.024465462,-0.06056516,-0.23404989,0.10973742,0.30980593,0.19427744
Map3k5,0.0027199197,-0.15410094,-0.057697147,-0.3654866,-0.30914977,0.51845145,0.2810059
Plxdc2,0.057422474,-0.2826973,-0.13608514,-0.62261736,-0.16769491,0.041975413,0.08512019
Pten,-0.16367018,-0.188381,-0.055980127,-0.39793244,-0.18891709,0.18953925,0.18977194
Mndal,-0.06406793,-0.3442039,-0.30767044,-0.24494648,-0.10803723,-0.1979083,-0.12911165
Gramd3,0.06070566,-0.20706587,0.03694544,-0.15645076,-0.23267932,-0.20378974,-0.11606515
Sidt1,-0.058628876,-0.503067,0.17205006,-0.1898284,-0.21309388,0.027095055,-0.13876037
Pced1b,-0.10671578,-0.34179735,0.14425291,-0.022215683,0.06458375,-0.099763535,0.17485607
Ms4a4b,-0.09485166,-0.39516923,0.08177646,0.060762383,-0.1896545,0.09984652,0.20723169
Tnik,-0.14876118,-0.41528654,-0.019251663,-0.099144705,-0.13392465,-0.100027286,0.31982246
Sp100,-0.013882374,0.07600151,-0.092009135,0.12883371,-0.0261113,0.0461813,0.0151558835
Dnajc15,0.07083962,0.069068484,-0.06442352,0.014149397,-0.35133466,0.08296308,0.076087
4930523C07Rik,0.015789174,-0.13788047,0.002856382,-0.15472072,-0.21275273,0.058214404,0.09376265
Ripor2,-0.064108565,-0.07613757,-0.051192027,-0.014746606,-0.15248753,0.19815575,0.100546375
Utrn,0.038867928,-0.26438314,-0.14989178,-0.08365499,0.14564222,-0.00024578415,0.027215391
Fyb,0.10747651,-0.13174817,0.2327835,-0.06347177,0.0895688,0.1323797,0.06489173
Neil3,0.0,0.09244779,-0.40269372,-0.588851,-0.5540329,1.3610082,0.3166605
S1pr1,0.2803776,-0.18527028,-0.15479271,-0.5124418,-0.88759947,0.5488165,-0.023539798
Flnb,-0.6666205,0.34650305,0.25846654,-0.08292144,-0.06996601,0.90720874,-0.63054776
Arntl,-0.15945418,0.24079148,-0.75844735,-0.6056795,-0.049238283,0.8904218,-0.9743162
Cd3g,0.06686078,0.3637689,-0.016144492,0.83182544,0.39398113,1.4281267,1.2597386
Sla2,-0.06883472,0.53113025,0.079131216,1.3548403,0.46972328,1.4010003,0.2643245
Sp140,-1.1292777,0.14573193,-0.15135472,0.7800271,0.09947142,0.7015255,1.8187147
Orai2,-0.88620204,0.15271716,-0.34455848,0.8039357,0.41663712,0.13676165,0.8223572
Phf11b,-1.1381415,0.3864301,-0.12719814,0.63791037,0.61119664,0.4468632,0.855881
Trim5,-0.861828,0.32605377,-0.60910803,-0.20019776,0.15855545,-0.40071526,0.35793585
Irf1,-1.0288497,0.15524319,-0.1141803,0.35898715,0.31268233,-0.2395315,0.10549358
Sesn1,-1.1467772,-0.48571697,-0.4477878,0.49803048,-0.25019878,0.29131153,0.4708692
Aip,-0.73376393,0.019082498,-0.3836415,0.7456929,-0.6276769,-0.13048108,0.32217807
Parp14,-0.6885172,-0.2041485,-0.14213753,1.272371,-0.3022227,-0.11055462,0.16937883
Cd27,-1.2870971,-0.2680503,-0.64697236,1.1823186,0.1690197,1.0603633,-0.27156025
Samhd1,-1.0106885,-1.0245312,-0.35391915,0.50542694,0.32480296,0.98071206,0.89768153
Fam53b,-0.68500113,-0.83693314,-0.2653058,0.37163216,0.12525375,0.8990729,0.4900167
Aim2,-0.7239611,-0.30880195,0.08777764,-0.26752552,0.117285766,1.1575295,0.592726
Herc3,-0.49012136,-0.2851178,0.35858077,-0.049291227,-0.34910887,1.6305498,0.55835927
Dnah8,-0.29320976,-0.9729809,0.66437274,1.4246721,0.8383332,0.2761531,-0.016730888
Trp53inp1,-0.80601645,-0.25384113,0.8722343,-0.43404588,0.57253176,0.47763255,-0.16390032
Cd274,-0.49906588,0.25950277,0.8637737,0.85372454,0.30840752,0.61504596,0.00803155
Fam214a,-1.8100802,-2.147891,-0.41162378,-1.0638344,0.23126894,0.46642664,-0.47154924
Scml4,0.08715429,-2.201804,-0.07157624,-0.12597473,-0.08041167,-0.047775716,0.36665052
Inpp4b,-0.029342355,-1.738909,0.7905963,0.2561063,-0.18497805,0.1347351,0.11236028
Ms4a4c,-0.16778089,-1.5649992,-0.3088337,-0.30056268,-0.8703448,0.052074295,1.0909321
Klhdc1,-0.8054659,-1.7607124,-0.68711317,-0.79169893,-0.4789836,-0.0021413965,0.4886127
Pou6f1,-0.5192718,-2.1385872,-0.18170513,-0.84157014,-0.040720105,-0.72905725,0.85380065
Abcg1,0.88789207,-1.8717865,-1.0710565,-0.74093103,-0.8461576,-1.0897782,-0.599
Bcl2l11,1.1272568,-1.5486917,-0.7243425,-0.20991953,-0.6312075,-0.4201823,0.12296793
Ddx60,0.34548566,-1.1593595,-1.1037992,-0.5825367,-0.790741,-0.3564942,0.15444359
Sesn3,0.4786916,-1.9448881,-1.0951566,-1.6269356,-0.5748258,0.11547282,-0.23387341
Bach2,-0.0077986117,-2.5024917,-0.5766184,-0.8225091,-1.3178619,-0.27512014,0.20711266
Parp8,-0.34590092,-2.0966003,-0.7106032,-1.7849017,-0.9034878,-0.29675382,-0.21596768
Tcf7,-0.94452196,-1.7336206,-0.6915314,-1.1288382,-1.3584969,-0.20186938,-0.113409854
