ChIP,ChIP gene #,enriched_nascent_48h_up__in__nascent_48h_dn,enriched_nascent_Il2_promoted__in__nascent_Il2_repressed,enriched_sc_d5_arm_up__in__sc_d5_cl13_up,enriched_sc_d8_arm_up__in__sc_d8_cl13_up,enriched_d5_KLRG1hi_Runx3_promoted__in__d5_KLRG1hi_Runx3_repressed,enriched_d5_KLRG1lo_Runx3_promoted__in__d5_KLRG1lo_Runx3_repressed,enriched_sc_P2_arm_up__in__sc_P2_cl13_up,enriched_sc_P3_arm_up__in__sc_P3_cl13_up,enriched_sc_P4_arm_up__in__sc_P4_cl13_up,enriched_sc_P5_arm_up__in__sc_P5_cl13_up,enriched_sc_P6_arm_up__in__sc_P6_cl13_up,enriched_sc_P9_arm_up__in__sc_P9_cl13_up
2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,9399,+,+,-,,+,+,+,,-,,,-
2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,9882,+,+,-,,+,,+,,-,-,,-
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,5180,-,+,-,+,+,-,+,,,-,,
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,227,,,,,,,,,,,,+
2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,6201,-,+,-,+,+,-,+,+,,,,
2016_SCIENCE_Mackay___Hobit_invitro-CD8,270,,,-,+,,-,,,,,,
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,1716,,-,-,+,,-,+,,,-,-,+
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,5013,-,+,,+,+,-,+,+,,,,
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,185,,,,+,,,,,,,-,
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,5885,,,-,+,+,-,+,-,-,-,-,
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,7855,+,+,-,+,+,-,+,-,-,-,-,-
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,5711,-,+,-,+,+,-,+,+,,,,-
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,479,-,-,,+,-,-,+,+,+,,,+
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,19610,+,+,,+,+,,,,,,,
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,6617,,,-,+,+,-,,-,-,-,-,
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,4327,,,-,+,+,-,,-,-,-,-,-
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,694,,+,,+,,,+,,+,,,
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,3544,+,,-,+,+,-,,-,-,-,-,-
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,262,,+,+,,+,,+,,+,,,
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,436,,,-,+,,-,,-,,-,-,
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,174,,,,,,,,,,,,
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,4879,+,-,-,+,+,-,+,,,-,-,
2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,84,,,,,,,,,,,,
2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,13195,+,+,-,,+,,+,,,,,-
2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,13915,+,+,-,+,+,,+,,,,,-
2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,9817,+,+,-,,+,,,,-,-,,-
2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,7713,,,+,+,+,,-,,,,,+
2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,14089,+,+,-,,,,+,,,,,-
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,3096,,+,,,,+,,,-,,+,-
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,3239,,-,-,+,+,-,,,,-,-,
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2104,-,-,-,+,,-,+,+,+,,-,
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2698,-,-,-,+,,-,+,+,+,,-,
2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,15785,+,+,-,,,,+,+,,,+,-
2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,3264,-,-,-,+,,-,+,+,+,,-,
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2178,-,-,-,+,,-,+,+,,-,-,
2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT,1271,-,-,,+,,-,+,,,,-,
