ChIP,ChIP gene #,nascent_48h_up__in__nascent_48h_dn,nascent_Il2_promoted__in__nascent_Il2_repressed,sc_d5_arm_up__in__sc_d5_cl13_up,sc_d8_arm_up__in__sc_d8_cl13_up,d5_KLRG1hi_Runx3_promoted__in__d5_KLRG1hi_Runx3_repressed,d5_KLRG1lo_Runx3_promoted__in__d5_KLRG1lo_Runx3_repressed,sc_P2_arm_up__in__sc_P2_cl13_up,sc_P3_arm_up__in__sc_P3_cl13_up,sc_P4_arm_up__in__sc_P4_cl13_up,sc_P5_arm_up__in__sc_P5_cl13_up,sc_P6_arm_up__in__sc_P6_cl13_up,sc_P9_arm_up__in__sc_P9_cl13_up
2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,7602,0.0001,0.0000,0.1765,0.0000,0.0000,0.0198,0.0002,0.5508,0.6901,0.0765,0.4379,0.0220
2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,5473,0.0750,0.0000,0.4936,0.0000,0.0000,0.0053,0.2332,0.1542,0.9938,0.0314,0.0648,0.4011
2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,1710,0.0067,0.0000,0.0000,0.0000,0.0016,0.0000,0.0799,0.1606,0.9734,0.0000,0.0000,0.6090
2017_PNAS_Li___STAT5B_IL2-CD8,2526,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.2964,0.0066,0.1021,0.0000,0.0000,0.7128
2017_PNAS_Li___STAT5B_IL2-CD4,5394,0.0000,0.0008,0.0000,0.0000,0.0000,0.0000,0.0080,0.0434,0.1334,0.0000,0.0000,0.1151
2017_PNAS_Li___STAT3_noIL21-CD4,238,0.2906,0.2787,0.0694,0.9477,0.0504,0.1501,0.7964,0.8628,0.2499,0.2673,0.1159,0.2099
2017_PNAS_Li___STAT3_IL21-CD4,2779,0.0276,0.8385,0.0000,0.0000,0.0984,0.0000,0.0002,0.1599,0.8151,0.0000,0.0000,0.9889
2017_PNAS_Li___H3K4me3-noIL2-CD4,13677,0.0000,0.0000,0.0000,0.8557,0.0003,0.8003,0.0001,0.8417,0.0738,0.5134,0.0837,0.0000
2017_PNAS_Li___H3K4me3_IL2-CD4,13823,0.0000,0.0000,0.0000,0.6491,0.0001,0.9328,0.0002,0.7876,0.3319,0.5870,0.4077,0.0000
2017_PNAS_Li___H3K27Ac-noIL2-CD4,11701,0.0000,0.0000,0.0000,0.9835,0.0020,0.3377,0.0000,0.1207,0.3027,0.9532,0.0862,0.0000
2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,12167,0.0000,0.0000,0.0000,0.5260,0.0013,0.3840,0.0000,0.3857,0.0696,0.3013,0.1198,0.0000
2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,12990,0.0000,0.0000,0.0421,0.8727,0.0006,0.8992,0.0001,0.9710,0.3402,0.6414,0.0658,0.0000
2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,12233,0.0000,0.0000,0.0000,0.1229,0.0135,0.9394,0.0000,0.7083,0.0226,0.0493,0.2500,0.0000
2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,12574,0.0000,0.0000,0.0057,0.8249,0.0015,0.8914,0.0001,0.3585,0.2796,0.9743,0.0644,0.0000
2017_PNAS_Li___H3K27Ac_IL2-CD4,11747,0.0000,0.0000,0.0000,0.1768,0.0000,0.0343,0.0000,0.4227,0.2030,0.4777,0.0776,0.0000
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,5666,0.0011,0.0244,0.0000,0.0000,0.0647,0.1642,0.0013,0.0016,0.0018,0.8270,0.8076,0.0001
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,7288,0.0426,0.0049,0.0000,0.0000,0.0073,0.5730,0.0000,0.0000,0.0001,0.2129,0.8958,0.0000
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,6520,0.2846,0.0000,0.0000,0.0000,0.0062,0.7210,0.0000,0.0028,0.0052,0.2286,0.2142,0.0000
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,11227,0.0000,0.0000,0.0000,0.0520,0.0014,0.2551,0.0000,0.0033,0.4533,0.4648,0.0116,0.0000
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,12275,0.4087,0.0001,0.0004,0.0000,0.1351,0.0005,0.0000,0.0244,0.4047,0.3774,0.5499,0.0004
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,15671,0.0000,0.0000,0.0014,0.1022,0.0708,0.2642,0.0002,0.0159,0.8644,0.0582,0.0024,0.0000
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,12083,0.0006,0.0000,0.0000,0.0000,0.6713,0.4810,0.0000,0.0002,0.1024,0.1009,0.4774,0.0000
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,11565,0.0528,0.0031,0.0000,0.0000,0.2089,0.0001,0.0000,0.0000,0.7262,0.5501,0.1649,0.0000
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,4470,0.0000,0.0920,0.0582,0.0156,0.0029,0.2672,0.0028,0.1857,0.0677,0.3631,0.1540,0.0799
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,8010,0.6523,0.0898,0.0006,0.0000,0.0034,0.0000,0.0726,0.5493,0.0000,0.6949,0.4471,0.0005
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,8024,0.6168,0.1506,0.0002,0.0000,0.0007,0.0000,0.4814,0.3056,0.0021,0.6876,0.0531,0.0002
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2344,0.0005,0.0037,0.0143,0.0505,0.3243,0.0017,0.0003,0.1203,0.1286,0.8169,0.0856,0.1297
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,6290,0.0000,0.0217,0.0000,0.0000,0.0000,0.0658,0.0001,0.1238,0.0016,0.1755,0.1706,0.0001
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,11362,0.0000,0.0001,0.0000,0.0000,0.0039,0.4691,0.0000,0.0022,0.5338,0.8811,0.2418,0.0000
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,10683,0.0044,0.0000,0.0000,0.0000,0.0010,0.5522,0.0000,0.1163,0.0807,0.5963,0.9474,0.0000
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,7810,0.0000,0.0248,0.0000,0.0000,0.0000,0.0016,0.0000,0.0178,0.0037,0.0182,0.0041,0.0009
2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,12441,0.0000,0.0000,0.0000,0.0000,0.0000,0.9444,0.0000,0.6361,0.3283,0.2378,0.4944,0.0000
2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,12244,0.0000,0.0000,0.0000,0.0011,0.0003,0.0895,0.0008,0.9018,0.2125,0.9155,0.5729,0.0000
2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,5794,0.0014,0.1626,0.0021,0.0000,0.0000,0.0000,0.0000,0.3840,0.0419,0.1982,0.0000,0.1636
2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,5983,0.3253,0.1369,0.0000,0.0000,0.0127,0.0000,0.5499,0.2507,0.0000,0.1476,0.5767,0.0000
2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,5135,0.6569,0.7081,0.0000,0.0000,0.0008,0.0009,0.7080,0.0314,0.0000,0.1365,0.3964,0.0000
2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,9399,0.0000,0.0000,0.0000,0.4541,0.0000,0.0002,0.0000,0.9575,0.0000,0.5827,0.1900,0.0000
2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,9882,0.0000,0.0000,0.0000,0.3025,0.0009,0.0927,0.0002,0.1574,0.0000,0.0082,0.4878,0.0000
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,5180,0.0000,0.0015,0.0010,0.0000,0.0000,0.0000,0.0000,0.9121,0.9509,0.0120,0.1706,0.2766
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,227,0.9040,0.4493,0.9500,0.6043,0.9199,0.5586,0.6685,0.6601,0.6162,0.5385,0.3201,0.0223
2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,6201,0.0001,0.0000,0.0001,0.0000,0.0000,0.0333,0.0000,0.0009,0.2679,0.5545,0.1683,0.0643
2016_SCIENCE_Mackay___Hobit_invitro-CD8,270,0.5755,0.7331,0.0229,0.0045,0.1389,0.0048,0.4629,0.2290,0.2658,0.1298,0.7874,0.3552
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,1716,0.0630,0.0034,0.0000,0.0000,0.6267,0.0000,0.0027,0.3868,0.8982,0.0005,0.0026,0.0043
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,5013,0.0000,0.0033,0.2618,0.0000,0.0015,0.0000,0.0000,0.0143,0.2851,0.9244,0.9107,0.7779
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,185,0.8544,0.6208,0.5944,0.0002,0.0516,0.2794,0.9578,0.9545,0.8553,0.2673,0.0435,0.2747
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,5885,0.1864,0.0875,0.0000,0.0000,0.0000,0.0000,0.0327,0.0221,0.0046,0.0000,0.0000,0.0515
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,7855,0.0001,0.0021,0.0000,0.0000,0.0000,0.0000,0.0066,0.0273,0.0203,0.0000,0.0000,0.0143
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,5711,0.0000,0.0422,0.0001,0.0000,0.0189,0.0000,0.0000,0.0004,0.0614,0.5913,0.2904,0.0391
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,479,0.0000,0.0055,0.3494,0.0000,0.0059,0.0000,0.0000,0.0004,0.0075,0.1956,0.0773,0.0373
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,19610,0.0189,0.0000,0.9846,0.0034,0.0000,0.4920,0.1196,0.0876,0.9616,0.2495,0.3124,0.0523
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,6617,0.7389,0.1136,0.0000,0.0000,0.0001,0.0000,0.0655,0.0000,0.0003,0.0000,0.0000,0.0926
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,4327,0.1862,0.1897,0.0000,0.0000,0.0000,0.0000,0.5691,0.0000,0.0000,0.0000,0.0000,0.0214
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,694,0.5878,0.0000,0.1010,0.0000,0.2658,0.3874,0.0206,0.5742,0.0347,0.5550,0.1022,0.6047
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,3544,0.0345,0.4304,0.0000,0.0000,0.0000,0.0000,0.1888,0.0000,0.0000,0.0000,0.0000,0.0091
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,262,0.5818,0.0034,0.0000,0.9501,0.0260,0.4878,0.0214,0.9196,0.0003,0.0619,0.6539,0.7246
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,436,0.9007,0.9252,0.0034,0.0000,0.4510,0.0000,0.4102,0.0434,0.0808,0.0244,0.0207,0.8368
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,174,0.8055,0.9620,0.5004,0.1259,0.5001,0.3079,0.3951,0.9310,0.5204,0.2978,0.8457,0.3619
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,4879,0.0485,0.0004,0.0000,0.0000,0.0000,0.0000,0.0320,0.1144,0.3433,0.0000,0.0000,0.5496
2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,84,0.5425,0.7436,0.7293,0.9732,0.9005,0.9976,0.4150,0.8189,0.1261,0.4378,0.7340,0.7510
2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,13195,0.0000,0.0000,0.0001,0.3511,0.0000,0.2514,0.0002,0.9452,0.1125,0.5742,0.1431,0.0000
2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,13915,0.0000,0.0000,0.0000,0.0176,0.0252,0.9341,0.0001,0.0737,0.1231,0.8137,0.6906,0.0000
2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,9817,0.0000,0.0000,0.0000,0.2493,0.0000,0.1113,0.1410,0.3521,0.0000,0.0334,0.1689,0.0000
2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,7713,0.0516,0.0878,0.0005,0.0436,0.0010,0.8801,0.0001,0.9397,0.1802,0.9979,0.1972,0.0091
2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,14089,0.0000,0.0000,0.0000,0.5638,0.1098,0.2158,0.0000,0.5508,0.7480,0.8026,0.1124,0.0000
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,3096,0.0824,0.0000,0.2438,0.6619,0.6629,0.0069,0.1903,0.7703,0.0010,0.2999,0.0016,0.0000
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,3239,0.0915,0.0137,0.0000,0.0000,0.0000,0.0000,0.0893,0.1478,0.1428,0.0000,0.0000,0.6967
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2104,0.0000,0.0000,0.0217,0.0000,0.1602,0.0000,0.0000,0.0000,0.0341,0.2789,0.0002,0.0881
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2698,0.0000,0.0155,0.0333,0.0000,0.7012,0.0000,0.0000,0.0000,0.0022,0.3156,0.0079,0.4106
2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,15785,0.0000,0.0000,0.0280,0.3902,0.0619,0.9797,0.0002,0.0250,0.1612,0.1292,0.0455,0.0000
2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,3264,0.0000,0.0004,0.0043,0.0000,0.6337,0.0000,0.0000,0.0001,0.0062,0.2289,0.0000,0.1448
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2178,0.0000,0.0000,0.0006,0.0000,0.1803,0.0000,0.0000,0.0351,0.8122,0.0025,0.0003,0.6660
2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT,1271,0.0000,0.0000,0.3401,0.0000,0.3191,0.0000,0.0000,0.0518,0.4119,0.1065,0.0008,0.5529
