ChIP,ChIP gene #,nascent_48h_up__in__nascent_all,nascent_48h_dn__in__nascent_all,nascent_Il2_promoted__in__nascent_48h_up,nascent_Il2_repressed__in__nascent_48h_dn,sc_d5_arm_up__in__sc_all,sc_d5_cl13_up__in__sc_all,sc_d8_arm_up__in__sc_all,sc_d8_cl13_up__in__sc_all,d5_KLRG1hi_Runx3_promoted__in__d5_KLRG1hi_all,d5_KLRG1hi_Runx3_repressed__in__d5_KLRG1hi_all,d5_KLRG1lo_Runx3_promoted__in__d5_KLRG1lo_all,d5_KLRG1lo_Runx3_repressed__in__d5_KLRG1lo_all
2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,12990,0.0000,0.0000,0.0000,0.0412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,12233,0.0000,0.0000,0.0000,0.0098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,12574,0.0000,0.0000,0.0000,0.0243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_PNAS_Li___H3K27Ac_IL2-CD4,11747,0.0000,0.0000,0.0000,0.0852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,5666,0.0000,0.0000,0.0067,0.1095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,7288,0.0000,0.0000,0.4321,0.6651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,6520,0.0000,0.0000,0.0026,0.1563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,11227,0.0000,0.0000,0.0018,0.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,12275,0.0000,0.0000,0.0000,0.0021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,15671,0.0000,0.0000,0.0000,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,12083,0.0000,0.0000,0.0000,0.0481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,11565,0.0000,0.0000,0.0000,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,4470,0.0129,0.0000,0.0001,0.0004,0.0000,0.0000,0.0001,0.0000,0.0571,0.0167,0.6234,0.0239
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,8010,0.0000,0.0000,0.0000,0.0000,0.5886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,8024,0.0000,0.0000,0.0000,0.0000,0.7715,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2344,0.0233,0.0008,0.0000,0.0155,0.0000,0.0000,0.0001,0.0000,0.4403,0.0315,0.0324,0.0166
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,6290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,11362,0.0000,0.0000,0.0053,0.1507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,10683,0.0000,0.0000,0.0000,0.5661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,7810,0.0000,0.0000,0.0000,0.1303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,12441,0.0000,0.0000,0.0002,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,12244,0.0000,0.0000,0.0003,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,5794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1995,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,5983,0.0001,0.0256,0.0000,0.0000,0.9471,0.0000,0.0360,0.0000,0.0000,0.0020,0.0001,0.0000
2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,5135,0.1580,0.4989,0.0000,0.0000,0.4386,0.0000,0.0282,0.0000,0.0000,0.5316,0.0059,0.0000
2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,9399,0.0000,0.0000,0.0010,0.1636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,9882,0.0000,0.0000,0.0000,0.7964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,5180,0.0000,0.0000,0.0000,0.0287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,227,0.5426,0.8093,0.0302,0.4937,0.7693,0.5257,0.4496,0.9003,0.0193,0.0184,0.0561,0.0004
2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,6201,0.0000,0.0000,0.0000,0.1378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2016_SCIENCE_Mackay___Hobit_invitro-CD8,270,0.3014,0.0240,0.0390,0.2950,0.7252,0.0000,0.0002,0.8881,0.0050,0.0000,0.0065,0.0000
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,1716,0.0000,0.0000,0.0000,0.0000,0.0012,0.0000,0.0000,0.0153,0.0000,0.0000,0.0000,0.0000
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,5013,0.0000,0.0000,0.0000,0.2874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,185,0.0007,0.0000,0.5760,0.2464,0.0142,0.0002,0.0000,0.6908,0.0000,0.0000,0.0000,0.0000
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,5885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,7855,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,5711,0.0000,0.0000,0.0000,0.8289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,479,0.1610,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,19610,0.0000,0.0000,0.0000,0.6143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,6617,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,4327,0.0000,0.0000,0.0000,0.0000,0.1150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,694,0.0000,0.0000,0.0000,0.0958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,3544,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,262,0.0120,0.0001,0.0000,0.9663,0.0000,0.5958,0.0392,0.0000,0.0000,0.0103,0.0022,0.0000
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,436,0.0000,0.0000,0.0041,0.0317,0.1846,0.0000,0.0000,0.6859,0.0000,0.0000,0.0001,0.0000
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,174,0.3272,0.0933,0.7430,0.9325,0.9102,0.1316,0.0277,0.6839,0.0003,0.0832,0.0585,0.0000
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,4879,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0574,0.0000,0.0000,0.0000,0.0000
2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,84,0.8062,0.4341,0.9694,0.7426,0.4539,0.8515,0.9259,0.8927,0.4123,0.6428,0.7897,0.7930
2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,13195,0.0000,0.0000,0.0001,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,13915,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,9817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,7713,0.0066,0.6680,0.0000,0.0013,0.0047,0.0000,0.0006,0.0000,0.0000,0.0400,0.0000,0.0000
2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,14089,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,3096,0.0000,0.0000,0.0164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,3239,0.0000,0.0000,0.0000,0.0000,0.0062,0.0000,0.0000,0.4817,0.0000,0.0000,0.0000,0.0000
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0865,0.0000,0.0000,0.0000,0.0000
2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,15785,0.0000,0.0000,0.0000,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,3264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1469,0.0000,0.0000,0.0000,0.0000
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2178,0.0003,0.0000,0.0001,0.0003,0.0000,0.0000,0.0000,0.0184,0.0000,0.0000,0.0000,0.0000
2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT,1271,0.6363,0.0000,0.0003,0.0216,0.0000,0.0000,0.0000,0.0060,0.0000,0.0000,0.0000,0.0000
