,Arm_P2,Arm_P4,Arm_P9,Arm_P10
Hdgf,3.8255684,3.0893936,1.3009043,1.3705422
Ssrp1,3.8976347,3.4712794,1.2957727,1.0737803
Hells,2.3886561,1.289788,0.19899593,0.19066784
Gtf2e2,0.6660417,0.5740444,0.30394903,0.27674052
Bclaf1,1.3395716,1.1197962,0.90367705,0.8370091
Hdac2,0.8982248,0.63034075,0.2839126,0.31833714
Jdp2,0.1778159,0.14746808,0.09614461,0.059431944
Ruvbl1,0.77968323,0.45446044,0.18804252,0.16712838
Polr2f,2.68484,1.8883102,1.1342456,0.93929684
Ruvbl2,0.34221086,0.23239887,0.092121206,0.08106668
Prmt3,0.3280999,0.20248441,0.13946098,0.10720746
Smarca4,1.2536212,1.1957649,0.7799052,0.7369493
Prmt7,0.3117457,0.22475919,0.1063121,0.06867671
Zfpm1,0.886445,0.74810445,0.38575217,0.4846295
Pdcd11,0.4012367,0.27900088,0.2691,0.18025167
Batf,2.186804,1.5100763,1.2060356,0.8013489
Gtf2h2,0.18322416,0.13902986,0.11351101,0.098993726
Ivns1abp,0.8043316,0.643126,0.60010266,0.5996569
Gtf2f2,0.67304593,0.58529675,0.40522203,0.4123394
Xrcc5,0.445966,0.37492952,0.20720565,0.13852645
Pdcd1,0.4526038,0.42370355,0.1629531,0.09781506
E2f8,0.63374096,0.51424867,0.034742963,0.021151619
Rpa3,1.8591654,1.7751986,0.5547016,0.5439826
Hat1,1.8866835,1.600012,0.4455562,0.43424466
Hnrnpd,4.675312,4.0994573,2.3300521,2.2231233
Fkbp1a,3.7394443,3.288452,2.8231497,2.3457398
Dpy30,2.83139,2.4335153,1.0795653,1.0769727
Irf4,0.35369667,0.36662197,0.2695556,0.15066513
Fus,1.60018,1.5965259,1.228965,1.0595207
Snrpd1,2.4321597,2.0736258,0.63756055,0.4655404
Cops5,1.0220237,0.8615005,0.4979399,0.45202467
Actl6a,1.3654543,1.2708358,0.5618436,0.45907828
Trim27,1.0709002,0.87593776,0.58148307,0.52737385
Ssb,4.8779087,4.2020617,2.6860511,2.653321
Ube2k,1.4091337,1.3003063,0.94810206,1.014966
Gtf2h1,0.45234945,0.3448158,0.37708834,0.34829837
Tox2,0.012098872,0.01038434,0.0034135487,0.0017754704
Epcam,0.068776585,0.05236812,0.025374554,0.0019651342
Ilf3,0.41223213,0.38091075,0.27610174,0.34392744
Srrm1,2.1359398,1.984507,1.626807,1.6162269
Ddx20,0.1708812,0.15280502,0.071470216,0.07193383
Brca1,0.4252218,0.33264622,0.026487129,0.02228858
Polr3d,0.19420348,0.122186124,0.15542072,0.10464074
Med21,0.08449798,0.086040884,0.049450036,0.051414113
Gtf2a2,1.0490184,0.9084144,0.82114553,0.8555753
Cebpg,0.48065332,0.40012154,0.31443694,0.3647943
Zdhhc16,0.25741068,0.23277682,0.15266886,0.16818303
Dach1,0.0023995726,0.0026648631,0.00016361718,0.00015655921
Pbx1,0.0010306883,0.0007545746,1.7058434e-05,0.0
Mef2c,0.008372776,0.008612178,0.0018147818,0.007221651
Lmo2,0.0148624405,0.017803254,0.0074148173,0.0011298176
Fosl1,0.011707241,0.010386903,0.0018343201,0.0011555403
Tnf,0.18294284,0.17993824,0.13449419,0.05247974
Gtf2e1,0.14792015,0.09625857,0.08429848,0.09089836
Il23r,0.002738882,0.0023982148,0.00070169574,0.0
Igsf8,0.15170072,0.12435565,0.06878257,0.073174395
Tnfrsf8,0.04490852,0.013791168,0.007209151,0.020209389
Rbbp7,2.9286237,2.534418,0.81832844,0.84511024
Il2ra,0.49154186,0.2670887,0.11400977,0.07187718
Eed,1.0411217,0.86434585,0.59364235,0.56614166
Ash2l,0.5897726,0.44741082,0.37379673,0.35886797
Cbx1,1.2745979,1.0920796,0.44967794,0.46958798
Smarca5,4.351453,3.5060298,1.8090204,1.7332247
Polr2b,0.7938031,0.74841404,0.4287116,0.45836097
Prmt1,2.85303,1.8470639,0.86094874,0.76413023
Trim28,0.9636694,0.75975573,0.3057394,0.3449472
Fubp1,0.94995505,0.69816333,0.4795729,0.34106857
Elp3,0.21080156,0.16234149,0.12430927,0.17485042
Baz1a,2.3665621,2.3243232,1.5207201,1.5201117
Xrcc6,0.3762501,0.30683154,0.1422327,0.1376304
Aatf,0.4397575,0.31061104,0.2254361,0.23129287
Wdhd1,0.3479268,0.27215424,0.055916548,0.059741996
Mphosph8,0.8457967,0.7041628,0.5445082,0.5874976
Polr2h,1.3127042,0.91008997,0.49139106,0.3914784
Eif5b,2.842603,2.2497244,1.5445838,1.4781448
Snrpb,6.370525,5.623154,3.2621653,3.1555235
Nap1l1,4.192076,3.1864226,1.1322277,1.2001154
Prmt5,0.5485029,0.40584466,0.24995255,0.20873947
Supt16,3.8727534,3.4463804,1.1545727,1.1792324
Bop1,0.5607005,0.42436042,0.2895949,0.2541112
Smyd2,0.23477499,0.11719877,0.032475967,0.02263984
Pa2g4,4.066544,2.4573426,0.86779326,0.6861025
Suz12,2.2794569,1.9609779,0.8701545,0.96100676
Smarcc1,1.4846365,1.3150302,0.4274767,0.49036247
Tfrc,0.4832516,0.32139814,0.121610954,0.1184288
Tcerg1,1.2809671,1.0206631,0.49353567,0.47409508
Hif1a,0.4508721,0.4053102,0.28827223,0.21598643
Pwp1,0.34441394,0.25724813,0.18975076,0.19169612
Nap1l4,1.4720663,1.3486664,1.0690504,1.1028664
Tial1,0.90037745,0.8235671,0.4263642,0.4574255
Uhrf1,1.6293128,1.142303,0.09002274,0.04796868
Parp1,0.73289186,0.55369455,0.17333008,0.2621826
Rfc1,1.2613738,1.03969,0.4208587,0.4264237
Mybl2,0.138071,0.09646402,0.011033652,0.0036802532
Thrap3,1.6170985,1.5555177,1.0369437,1.0170883
Nsd2,0.9969814,0.8864624,0.27235073,0.28172
Mcm8,0.17263818,0.12754019,0.007330921,0.0039186296
Paxip1,0.45092487,0.40916678,0.17453015,0.19891044
Gtf2ird1,0.029525004,0.018857013,0.0018971923,0.0
Cnbp,3.8664782,2.907534,3.4456525,3.6150792
Batf3,0.18347132,0.016991496,0.00048166278,0.0030592314
Myb,0.32468417,0.24245599,0.07758589,0.022173334
Ilf2,0.96611303,0.84519005,0.32091287,0.31614664
Tardbp,0.4342146,0.3365603,0.20537409,0.23118731
Apex1,0.5814138,0.27936706,0.13980883,0.060190357
Mybbp1a,1.0726418,0.48204127,0.34298638,0.28779742
Dnajc2,2.7173998,2.1254163,1.1463544,1.1400553
Foxk2,0.23209946,0.18646425,0.14697315,0.11979667
Cebpz,1.102156,0.864432,0.8048839,0.7626265
Ahr,0.031596083,0.018718071,0.008987962,0.002574059
Bcor,0.26385027,0.18159853,0.199614,0.23073822
Fbxo17,0.025791628,0.010746109,0.017575491,0.013875977
Zbtb16,0.005465357,0.0037180646,0.00093753857,0.0
Sfmbt1,0.13835987,0.1198309,0.04878175,0.0670212
Zranb2,1.0836723,0.8096254,0.5971691,0.52275497
Pms1,0.11293374,0.08501271,0.09298373,0.043295994
Wdr5,0.48978418,0.40977183,0.2298134,0.22238408
Upf1,0.6948342,0.6413257,0.56408834,0.5817506
Sf1,1.4164817,1.2920799,0.9004501,0.922312
Csrp2,0.2387498,0.21378522,0.05228333,0.054363433
Pcgf5,0.4127615,0.33503547,0.27685103,0.17686844
Rad51,0.17047748,0.12681831,0.0049669873,0.0033716762
Tle1,0.055494353,0.040025253,0.0348196,0.036884867
Pirb,0.029509114,0.03216952,0.013016097,0.00794573
Plaur,0.018263321,0.020585336,0.0033167114,0.0030662504
Cxcr2,0.00267983,0.0025063662,0.00039771223,0.0007901776
Csf1r,0.016050246,0.020891484,0.0024091415,0.00087335176
Trem1,0.004339363,0.0059656347,0.00091685046,0.0006051225
Lmo4,0.33422366,0.28158927,0.159239,0.25371844
Bcl11a,0.001659175,0.0019451556,0.00045057703,6.0916518e-05
Klf8,0.029670099,0.028258199,0.011634577,0.008300793
Fcgr1,0.011556469,0.016269296,0.0052435277,0.0014205838
Sirpa,0.014892718,0.016274186,0.008193652,0.006042489
C5ar1,0.0013949492,0.00109881,0.00023409506,0.00063361845
Cd300lf,0.010264365,0.011496491,0.0035261721,0.0024087774
Hdac9,0.0017994142,0.0024305338,0.0002798792,0.00012690583
Csf3r,0.01261018,0.011718712,0.002221425,0.0041852742
Cd180,0.0006938411,0.00096007227,0.00015617623,4.0829746e-05
Maml3,0.006874261,0.00591884,0.0028360297,0.0032712095
Padi4,0.0064882203,0.006076137,0.00081011024,0.0005105073
Pax5,0.0026777014,0.0013580025,0.0004141545,0.0
Ly86,0.02540137,0.034515787,0.0074644154,0.0013122978
Tcf7l2,0.005064144,0.0042282557,0.00090863195,0.0021320744
Cd300c2,0.011089268,0.012871118,0.0065088854,0.0011273512
Atf3,0.022214035,0.029596118,0.011410652,0.003977605
H2-Ab1,0.18433498,0.18931466,0.048419897,0.047693063
Cd74,0.216044,0.24399813,0.064653896,0.050324313
Ifngr2,0.008105834,0.008561606,0.0019133362,0.00017766962
Ciita,0.006987506,0.0064084968,0.0040878677,0.00089306233
Ccr6,0.0025399816,0.0012781484,0.0007614971,0.0
H2-Eb1,0.18205711,0.19223541,0.0632663,0.073380515
Cd83,0.023148274,0.020246422,0.0027959875,5.2051e-05
Il1r2,0.026214885,0.018165141,0.005459385,0.00302279
Klf4,0.28223565,0.23010992,0.18973306,0.13433547
Cbfa2t3,0.083895676,0.064319395,0.009495142,0.0042195246
Igf1r,0.0039060998,0.003146996,0.0017030466,0.0018141271
Clec12a,0.057231907,0.046134926,0.008573781,0.0085233925
Khdrbs1,0.8146476,0.72840714,0.45660436,0.45788077
Ankrd55,0.021264125,0.015527452,0.006015601,0.005570337
Ssbp3,0.8010416,0.7757213,0.4653494,0.43395898
Abcg2,0.031595957,0.019706026,0.010556268,0.017668147
Fkbp5,1.2397358,1.0906647,0.39679924,0.39286974
Mbd4,0.16796444,0.15764973,0.051086057,0.0692487
Gtf3c5,0.09242287,0.082771376,0.045574423,0.030047432
Ets2,0.08675604,0.06739035,0.0506016,0.033469804
Smad1,0.052898232,0.032577176,0.01852001,0.027294649
Setdb1,0.2604838,0.21096562,0.18809272,0.21773498
E2f1,0.40050766,0.27596763,0.038388707,0.017121727
Tcf19,0.5718002,0.50109243,0.09457195,0.115146585
Cd22,0.038693607,0.01986312,0.0069939718,0.0053347535
Tshz2,0.008268009,0.00735611,0.0010509762,0.0
Brip1,0.33790797,0.38012484,0.023970634,0.023077296
Gtf2b,1.0087782,1.0572155,0.8466821,0.91636074
Ncr1,0.0042414004,0.0076587265,0.003673484,0.002733254
Ikzf2,0.09004035,0.099814214,0.06684789,0.039483543
Ggt1,0.44628084,0.7577947,0.26178467,0.049620643
Maff,0.032102518,0.036202002,0.035019193,0.021830674
Polr2k,0.23719035,0.25364375,0.13979685,0.16968815
Il2rb,3.084286,3.5051556,2.2440681,2.0210419
Espl1,0.17463346,0.29998294,0.012042801,0.014157254
Zbtb10,0.013321511,0.012278969,0.0021398207,3.448863e-05
Klra6,0.007620938,0.0231005,0.011732159,0.007033071
Ccr7,0.1781337,0.17334124,0.0729902,0.006548378
Sell,0.1311462,0.16077127,0.09634875,0.04266004
Treml2,0.032638922,0.034213174,0.023129966,0.0047376417
Il6ra,0.030535314,0.037231755,0.020061808,0.010696541
Taf15,0.992053,1.0989201,0.72202057,0.7361566
Sin3a,0.3823015,0.39200038,0.28337982,0.3380711
Cd9,0.5617645,0.6310008,0.52449507,0.27608255
Trgv2,0.022097085,0.031774014,0.007134748,0.0068306294
Actb,122.815926,165.54492,147.71269,134.74767
Tlr2,0.014420565,0.015151252,0.0039593996,0.0025357597
Sla2,0.40313622,0.5628675,0.45475695,0.47088525
Hmg20b,0.19776213,0.21111946,0.1724856,0.18180732
Bard1,0.35773185,0.3600945,0.044166654,0.044366386
E2f2,0.72261685,0.8331974,0.3596347,0.4823579
Suv39h1,0.36365744,0.36117002,0.06965888,0.0847811
Fkbp2,2.0065088,2.3257382,0.50983626,0.34333903
Hmgb2,17.693544,20.950733,4.1782975,3.952743
Cd244a,0.022995768,0.028220927,0.0070694815,0.009638303
Lamp2,0.053449985,0.06777371,0.04795857,0.058574792
Lgals3,10.108298,13.679702,5.837275,4.8468466
Ctnnbl1,0.5254736,0.54549885,0.49915937,0.38707945
Tsg101,0.60668844,0.6536337,0.4944968,0.51638037
Mybl1,0.031622376,0.034573276,0.0019408414,0.020274699
Nfyb,1.0486596,1.2128599,0.78117216,0.7929004
Aurkb,0.61131555,1.3560966,0.06203832,0.037835564
Runx3,2.4104912,2.8710468,1.8854841,2.5300798
Mxd3,0.41298255,0.74586284,0.01865264,0.017333442
Ezh2,2.6905904,2.8092096,0.5452574,0.6336764
Nfya,0.14428261,0.17669955,0.122614585,0.13133353
Ctsl,0.046144396,0.050305437,0.021222696,0.028351016
Eng,0.0026698373,0.0035905205,0.0020684162,0.0012048691
Pou2af1,0.038879294,0.042512633,0.011456798,0.004338543
Taf1,0.4641602,0.5230982,0.34065926,0.33597603
Zdhhc2,0.101979144,0.12268726,0.07924302,0.06665104
Dnmt1,2.1722794,2.4456346,0.6488816,0.6692124
Polr2a,1.1355586,1.3144363,0.91827905,1.0618626
Rbl1,0.23779705,0.36965212,0.21238112,0.17013806
Cbfb,1.1516206,1.1833264,0.69109696,0.7059
Baz1b,2.1116643,2.0974505,0.9864543,0.966244
Rbbp4,2.5557873,2.6157596,1.304128,1.2910776
Taf6,0.19294478,0.21608984,0.07704828,0.123738244
Atad2,1.8608603,1.8724421,0.49578902,0.55503184
Safb,0.64844495,0.6754643,0.43370256,0.45063326
Sema7a,0.1572908,0.16559927,0.07112473,0.038580738
Hdac1,1.8613039,1.917872,1.0412654,0.9853886
Epas1,0.18429242,0.20886889,0.12785907,0.15758519
Ctcf,0.9714112,1.2042189,0.836461,0.89448905
Cd48,7.141315,9.363585,6.7838273,7.4864917
Fhl2,0.37019777,0.6314159,0.38560808,0.35356984
Pcmt1,0.6101671,0.6845385,0.48775217,0.48460144
Hmmr,1.5753254,2.3708456,0.052613985,0.03668886
Brd8,0.51572114,0.751117,0.37726817,0.438358
Foxm1,0.08648201,0.1287945,0.010428496,0.006035938
Ctr9,0.4221066,0.43019304,0.34101868,0.32012174
Rgs14,0.1557608,0.22235197,0.33871308,0.31652555
Klf6,3.5720153,4.7834587,8.629145,8.032015
Nr2c1,0.025278766,0.021470044,0.029639887,0.021457095
Cd226,0.4232651,0.57189035,2.1203363,1.8360859
Hdac8,0.04967697,0.052155983,0.08829366,0.07491012
Cd55,0.072405174,0.11378863,0.2520307,0.08015801
Zbtb48,0.014316777,0.017735872,0.024171775,0.012775264
Sp4,0.22549224,0.3463441,0.5037477,0.42691973
Fubp3,0.05884078,0.04295248,0.045897882,0.025141597
Itga1,0.07972745,0.11715438,0.6349605,0.5074731
Mta3,0.14574368,0.18243541,0.25200436,0.24402875
Zfp36l1,0.75617486,0.9226899,2.2137485,1.7765251
Il4ra,0.09184478,0.103420764,0.17491332,0.16919035
Zfp275,0.048349105,0.041535772,0.09612796,0.082298614
Btg1,1.2094738,1.6670728,6.701456,6.5976367
Klf13,1.1227638,1.4896606,3.0317972,2.9111733
Tnfrsf1b,0.31601378,0.37321222,0.44345722,0.33081532
Jmy,0.07029024,0.06001139,0.21235038,0.16485746
Skil,0.22276299,0.24808002,0.37479332,0.32460865
Nfkb2,0.22580439,0.26007697,0.5140514,0.38634032
Creb1,0.5241724,0.6342312,0.7242588,0.6739976
Ppard,0.039878517,0.05220613,0.067927085,0.06552981
Slc3a2,0.9617605,1.0070832,1.6539139,1.3645725
Icos,1.352541,1.5384744,2.7400482,1.4080076
Cd37,0.48486057,0.67747414,2.132258,1.9966445
Nr4a3,0.078764774,0.11788476,0.28141332,0.24326216
Fbxo7,0.21947174,0.21958953,0.20527773,0.1556549
Hlf,0.02471399,0.021870643,0.017649759,0.009653147
Fas,0.10956169,0.1296009,0.26517048,0.21840943
Cd47,7.5920258,9.918935,10.59652,9.363885
Deaf1,0.088840246,0.11311002,0.18386695,0.15863836
Phc2,0.29048547,0.28973827,0.45747158,0.3998418
Tnfrsf25,0.043216772,0.03165052,0.31181946,0.2523276
Ncam1,0.0014848703,0.0029394187,0.0013893167,0.00058234815
Trbc1,7.752996,8.977052,12.696577,9.945248
Ikbkb,0.20961279,0.22708425,0.42618555,0.39970315
Bmpr1a,0.010631439,0.0068285447,0.010277792,0.008390996
Cd36,0.00014402207,0.00019621392,0.00058337866,0.0
Cd40lg,0.042877205,0.030978493,0.050734583,0.039975084
Ube2b,2.0682535,2.2703238,3.3185635,3.2156286
Med12,0.23807205,0.2697692,0.38264894,0.39214385
Top2b,1.2356817,1.4292691,1.9191314,1.8968313
Polr3b,0.1340471,0.15675525,0.17031093,0.14747584
Pias2,0.16826135,0.13103749,0.14949448,0.14878565
Rbl2,0.21715376,0.28066772,0.7884506,0.73638827
Etv6,0.16507074,0.19374493,0.24543887,0.2195982
Chd2,0.5716711,0.7762556,1.3127126,1.1580411
Pecam1,0.10075955,0.12141849,0.31663,0.107977375
Cd44,0.54107857,0.6177316,1.2323911,0.7501559
Cxcr6,1.0415604,1.2821232,4.8143706,2.5298645
Hdac7,0.53370506,0.6811386,1.0502079,0.81274444
Il18r1,0.75829184,0.83567023,2.5065398,2.0427203
Btbd11,0.018925767,0.024751794,0.11437394,0.062406715
Ing3,0.3520439,0.34366423,0.3430827,0.32173923
Cd2,2.702344,3.5709348,7.612547,6.744871
Igf2r,0.30747634,0.49955645,0.99413025,0.6747834
Zfp113,0.028933965,0.03442182,0.093666606,0.0923089
Tet3,0.17660202,0.19329844,0.5000787,0.3926875
Tox,0.18521155,0.16645242,0.27911106,0.13056384
Trps1,0.19828938,0.16097912,0.22744614,0.2289184
Itgb3,0.12047302,0.12538695,0.13883263,0.07266127
Zbtb11,0.42134413,0.39953405,0.45787925,0.44786707
Adam10,0.55018574,0.6327822,0.75083435,0.7555953
Alcam,0.30095482,0.31401736,0.30927885,0.2223375
Cd52,1.0545148,1.5150487,3.2722478,3.0333843
Foxp4,0.11630539,0.12145146,0.21442427,0.18677536
Padi2,0.112505175,0.14917845,0.36915568,0.31456932
Cd28,2.2220998,3.0023084,5.69663,2.951209
Nfkbib,0.46072456,0.52046096,0.617179,0.46094552
Stat3,0.62410414,0.7398407,1.0771149,1.0289075
Nfkbiz,0.9746974,1.283911,2.2892294,1.9101161
Cd69,1.9455512,2.3224194,3.3497908,1.8838888
Maf,0.037654847,0.0725185,0.11340544,0.073377505
Lag3,0.33467522,0.40670893,0.36777192,0.17495412
Btla,0.01981992,0.018231437,0.023814248,0.0124664325
Med27,0.20429295,0.21448974,0.235721,0.23311375
Cd86,0.022110913,0.03224212,0.19157961,0.075340696
Snai3,0.1739014,0.22943048,0.26521316,0.16788001
Lgals9,0.44860384,0.5951841,0.9071551,0.8455471
Cd96,0.2775119,0.4343078,1.3379343,1.2353151
E2f5,0.07176452,0.07545222,0.073626965,0.07493935
Smad7,0.65445745,0.95780927,1.9999374,1.5795225
Zbtb17,0.11442415,0.12304302,0.1418044,0.10990829
Mvp,0.1008017,0.13259643,0.15278548,0.116669126
Irf7,0.25705752,0.3628266,1.2171149,0.79468644
Bbx,0.18206339,0.22492129,0.4488716,0.39551705
Sp110,0.53930247,0.782593,2.1838465,1.9752607
Crtc1,0.02562405,0.022655593,0.036439005,0.02920144
Irf9,0.24640977,0.3545477,0.8230181,0.65842676
Nmi,0.69176114,0.8375023,1.345855,0.90370196
Plag1,0.0023891858,0.002660524,0.0075863474,0.0025312465
Rai1,0.09191048,0.07903418,0.15077032,0.13152741
Pml,0.22453083,0.23893684,0.30867216,0.25914326
Plxnc1,0.17352732,0.18502407,0.19533052,0.10932694
Cd274,0.1547971,0.19973135,0.42617884,0.3068417
Trp73,0.004577126,0.0023086446,0.0039984128,0.0018759208
Ighm,0.6029853,0.5626186,0.85550475,0.37794644
Mbd1,0.1738758,0.15340704,0.18597466,0.17722243
Sub1,15.233599,16.869432,16.875246,11.945999
Ms4a1,0.0034779685,0.005055355,0.00480967,0.0020688574
Ctla4,1.0576918,1.3658922,2.1028242,0.45401332
Ebf1,0.0060650064,0.0067699538,0.008415135,0.0005929096
Ifnar1,0.14287366,0.18412167,0.3220232,0.2642583
Cd5,0.9871951,1.1980261,1.7875099,1.4373833
Zfp277,0.20906584,0.2237451,0.28545204,0.2595054
Ar,0.12428849,0.13658802,0.2998476,0.29036525
Ppargc1b,0.059561156,0.03984057,0.08666021,0.077904254
Aff3,0.036427703,0.045634437,0.08355737,0.017651726
Il7r,0.45616326,0.45395276,1.7787435,0.3011896
Tcf7,0.49341857,0.48334095,1.4118193,0.4411474
Tlr1,0.012065929,0.01610143,0.041842498,0.008717177
Tgif2,0.059799384,0.061871994,0.109811075,0.06312345
Tgif1,0.2756293,0.3120409,0.5994108,0.4785594
Fiz1,0.112138376,0.120186485,0.13104254,0.112386756
E4f1,0.0937806,0.12913941,0.25879398,0.25175703
Kdm4a,0.19174692,0.25097883,0.32139993,0.30871588
Ly75,0.1368772,0.17096776,0.31866756,0.23034543
Pou2f2,0.67115337,0.7798077,1.8169361,1.7970123
Pbx3,0.022202665,0.025194576,0.033591572,0.023513988
Zeb1,0.14723295,0.1525038,0.30857164,0.16086641
Cbx4,0.53384113,0.573117,0.7095326,0.6348156
Relb,0.093961425,0.11881713,0.29954845,0.20571184
Znfx1,0.07576315,0.10296165,0.29361695,0.22645468
Tshz3,0.0025449926,0.005210857,0.006561144,0.0053359983
Esr1,0.0008175005,0.0022963062,0.0039237784,0.0
Daxx,0.3149032,0.31531233,0.56846005,0.34338525
Eomes,0.3225547,0.35808477,0.34410006,0.23953693
Setdb2,0.14913419,0.15457682,0.18935712,0.1324696
Stat1,0.80953336,0.9051217,1.6783551,1.081245
Eif2ak2,0.32698607,0.27022168,0.41105965,0.24952935
Ifi204,0.049725723,0.052051306,0.089796,0.007929381
Il6st,0.037869543,0.04209511,0.07484081,0.03448839
Ascc3,0.33350733,0.3746897,0.50267917,0.49619284
Stat2,0.044757582,0.06867232,0.15894017,0.0950674
Atm,0.3317906,0.3198898,0.38150683,0.3291682
Bst2,2.2850926,2.104943,2.889999,1.1722391
Jaml,0.34020394,0.4224449,0.92555547,0.26903802
Elf1,1.3681922,1.7447468,3.1693935,2.3773124
Itga2,0.029486,0.047200695,0.08337668,0.06013762
Ccr2,0.08433827,0.12010179,0.6822106,0.4871752
Hopx,2.5912232,2.966069,5.496862,5.3148117
Mxd1,0.042418305,0.09036905,0.23219863,0.1729295
Satb1,0.9778716,1.1115342,2.4636314,2.1640332
Hivep2,0.21622047,0.28446522,0.55727005,0.4574309
Mllt3,0.6549206,0.7397817,0.7644105,0.6516335
Rel,0.8712747,0.93813163,1.2147923,1.0222113
Ercc5,0.076152146,0.09006303,0.15252535,0.13473342
