,Arm_P2,Arm_P4,Arm_P9,Arm_P10
Ilf3,0.7078243,0.58596116,0.3390473,0.24120775
Parp1,0.39119783,0.2210461,0.065541506,0.07821079
Med21,0.9370832,0.7145665,0.29200822,0.28210768
Zfp248,0.0595002,0.0288396,0.016262522,0.012377054
Setdb1,0.41498658,0.2758283,0.2684448,0.2647103
Fubp1,1.0320905,0.8823653,0.6524815,0.58603066
Polr3d,0.0590707,0.045328207,0.027773786,0.01688011
Dnajc2,0.25788006,0.20081152,0.08789693,0.07729754
Ahctf1,0.70016664,0.61009675,0.54369175,0.54303026
Dpy30,0.31511596,0.20507213,0.052447807,0.062389757
Snrpd1,4.3626194,3.1677554,0.78178364,0.6971081
Srrm1,1.9130778,1.6540745,1.1968409,1.1778632
Ruvbl2,0.26965985,0.17689659,0.057248954,0.035147388
Rbbp4,1.4280113,1.1652822,0.577725,0.6104314
Hnrnpr,0.78637505,0.552012,0.4060901,0.44678193
Drap1,0.6656365,0.50379264,0.31765035,0.34481972
Nfya,0.24279766,0.18203595,0.10781789,0.10019017
Ddx20,0.34484553,0.2588233,0.06349751,0.08360456
Tardbp,1.2258999,0.85961175,0.3410466,0.29613933
Nap1l1,2.2351754,1.3017465,0.33930668,0.3678178
Prpf4b,0.59357,0.4873167,0.27765167,0.31400535
Fkbp2,0.040937893,0.023826897,0.009434471,0.0033332522
Smad1,0.033056267,0.020221246,0.0080585275,0.011266495
Ybx1,0.55602694,0.38914004,0.211709,0.17948501
Fosl1,0.15507938,0.098487854,0.029175213,0.016877027
Aurkb,0.0786523,0.06033079,0.004545988,0.00040984136
Polr2f,0.54624856,0.35623035,0.08600909,0.088611335
Ash2l,0.15085866,0.113008626,0.08564654,0.07965368
Brca2,0.21504569,0.13755243,0.0217544,0.021045202
Wdr5,0.18105863,0.13115528,0.08241618,0.08114453
Gtf3c5,0.16725387,0.12087034,0.04634857,0.028012754
Polr2k,0.18118179,0.17127162,0.07275911,0.073959455
Hlf,0.5785628,0.3108847,0.033702,0.038602043
Cbfa2t3,0.017839275,0.016406165,0.0028150757,0.00024083996
Supt16,1.19899,0.8418766,0.41660127,0.4233707
Polr2b,0.33930075,0.2934751,0.12232658,0.13214885
E2f8,0.22499329,0.113140434,0.00297663,3.3200104e-05
Ctcf,0.8761637,0.8275701,0.48649406,0.45186758
Thrap3,2.1737087,2.0703967,1.6134367,1.6744984
Fbxo7,0.36696702,0.35545072,0.19623044,0.17246105
Tshz2,0.085508555,0.052535344,0.049316775,0.012197409
Atad2,1.95485,1.3425041,0.60741645,0.55532455
Mybl1,0.06259985,0.04785719,0.013124691,0.010871234
Cbx5,0.65049016,0.44051692,0.0653683,0.040456552
Taf6,0.07956091,0.06678668,0.029335279,0.02778756
Eed,1.9994184,1.7089629,1.1184424,1.321237
Rfc1,0.9421559,0.6494494,0.3591944,0.3199154
Ttf2,0.12568879,0.0954427,0.034645483,0.020092444
Cd83,0.18951617,0.09089687,0.01391764,0.0014611981
Rb1,1.3410251,1.1066742,1.1042203,1.3102378
Csrp2,0.022059245,0.018827813,0.0012022038,0.0029017283
Gtf2h2,0.2924863,0.21028817,0.114012726,0.116094716
E2f3,0.745715,0.56680304,0.22211257,0.21904154
Ssb,1.3192507,1.1962867,1.0048105,0.99919695
Ssbp3,0.5198407,0.39954248,0.3652758,0.3724414
Gtf2ird1,0.1671888,0.06825241,0.008566814,0.009958848
Fkbp5,2.0081077,1.367617,0.97451305,1.0578166
E4f1,0.07143733,0.043287978,0.04615587,0.039266456
Apex1,0.08307872,0.03591541,0.0101874815,0.005433386
Fbxo17,0.015140173,0.008742501,0.006216472,0.0024730228
Batf3,0.05059197,0.004235563,1.3038258e-05,0.0
Prmt1,0.20403972,0.13270184,0.04988504,0.049510278
Zfp444,0.1291044,0.07617412,0.04664521,0.027794294
Hdgf,0.026060382,0.016304476,0.0077202492,0.0018017694
Hat1,0.9471872,0.84316033,0.5777163,0.3978998
Tfdp2,0.13217384,0.07208342,0.06171936,0.06323983
Fubp3,0.13028146,0.08520512,0.05027286,0.066581905
Smarcc1,1.0327005,0.6608376,0.5044705,0.52158576
Brca1,1.5476681,0.8927974,0.04210577,0.021765376
Smyd2,0.086896926,0.040870592,0.016196232,0.003538597
Crebzf,0.18450867,0.15324941,0.14009026,0.15500842
Fkbp1a,0.28594345,0.21046096,0.20653741,0.15527135
Kntc1,0.7504567,0.47464538,0.030618548,0.02296582
Cd200,0.010777925,0.004826787,0.0029745153,6.537608e-05
Zfp213,0.10002855,0.089262135,0.04350937,0.023812134
E2f5,0.077903554,0.06609523,0.036178898,0.036844805
Taf3,0.852448,0.6667802,0.695394,0.65595835
Kmt5a,0.10256203,0.08507967,0.032980934,0.036442008
Cd22,0.008027203,0.0043182364,0.002012875,0.0
Upf1,0.10303831,0.09609942,0.079623796,0.08654692
Psip1,0.84861267,0.5680495,0.3235415,0.4635131
Trip13,0.13250504,0.11627788,0.005345176,0.0144375395
Mcm8,0.22620401,0.1458112,0.008522542,0.0076803905
Nap1l4,0.5581944,0.42983454,0.3728572,0.3756051
Cops5,0.37433562,0.35958645,0.1529178,0.14038818
Ruvbl1,0.03439893,0.0274839,0.014477144,0.00629022
Tnfrsf8,0.47077584,0.41219154,0.081621796,0.092638075
Sirpa,0.009656665,0.012164237,0.0017944432,0.0012840102
Cxcr2,0.003287019,0.0027094074,0.00078972627,0.0011485344
Cd300c2,0.0032521007,0.0043236264,0.00044763467,0.00015669993
H2-Eb1,0.03706532,0.04563801,0.009154112,0.0032992333
Tlr2,0.0018887504,0.0021439956,0.0009605202,0.000380531
Cd300lf,0.0075606597,0.008697291,0.00299892,0.0011031108
Bcl11a,0.0036147893,0.0045877,0.00072582345,0.0001548682
Cd74,0.42443368,0.47195086,0.13357212,0.09326419
Csf3r,0.0076381993,0.007649652,0.0013716352,0.002231039
Trem1,0.0024755,0.0032121541,0.00059598166,0.00034988747
Plaur,0.044208433,0.041541066,0.009440274,0.008048516
Csf1r,0.0045781806,0.005899141,0.0006381093,0.00024323585
Cd36,0.017334681,0.022962943,0.0030304585,0.00087060477
Maml3,0.12708987,0.08975862,0.030537015,0.046342134
Ly86,0.015286779,0.017397312,0.0038355747,0.001188109
Tial1,0.576864,0.49088135,0.33037147,0.33445752
Il1r2,0.10038745,0.11377654,0.025127823,0.01850817
Igf1r,0.03622511,0.022459328,0.0092150085,0.00440863
Cd180,0.01426471,0.014957021,0.009905053,0.002794747
Cd244a,0.03976849,0.043712407,0.012321367,0.011576896
Tcf4,0.17863972,0.10650916,0.12080074,0.12347597
Mef2c,0.056018684,0.061985865,0.02681864,0.0073578428
C5ar1,0.0063722744,0.005761169,0.00092601567,0.0044853077
Padi4,0.0122128315,0.010213656,0.0021264213,0.003945082
Fcgr1,0.0026249948,0.0015199794,0.0019069023,0.00038127977
Atf3,0.039271116,0.043377947,0.022515176,0.021457313
Cd9,0.1278671,0.10318333,0.053225886,0.027219426
Ahr,0.04376125,0.029534591,0.008575933,0.0037745598
Tcf7l2,0.02104059,0.023957008,0.005054043,0.0015196255
Hist1h2bp,0.027703255,0.01897196,0.0024952025,0.007833374
Ncam1,0.016662454,0.015833655,0.0023182842,0.00022711241
Rbl1,0.724143,0.6836895,0.19506973,0.1674739
Rpa3,0.050314356,0.041279696,0.009625916,0.0124607105
Safb,0.30813882,0.26335984,0.21736653,0.20265108
Cebpg,0.22204103,0.19705208,0.13036469,0.15947594
Tnfsf8,0.1567774,0.10781714,0.07067584,0.013400135
Parp2,0.14403287,0.12377879,0.09351196,0.080792986
Pwp1,0.13954045,0.117569506,0.09988621,0.070083804
Tox2,0.026655633,0.013346319,0.0022018843,0.0042241644
Ly6e,0.116984665,0.11130124,0.07286164,0.030389404
Ing3,0.32077032,0.34243062,0.25794992,0.23840663
Treml2,0.006312761,0.0041187373,0.0007839515,3.9489703e-05
Zdhhc13,0.20796414,0.15432589,0.11598762,0.12259248
Zscan22,0.11194061,0.060557794,0.016269477,0.018687056
Jmjd1c,2.4801445,2.1301148,2.3195236,2.1097827
Zbtb48,0.03436312,0.02192237,0.022146318,0.013316398
Bmpr1a,0.07308886,0.03469937,0.030825416,0.037973963
Xrcc6,0.16010976,0.106163524,0.081918664,0.049638495
Zfp606,0.032875717,0.019646963,0.013641186,0.018185582
Zfp275,0.033603065,0.029170468,0.022659108,0.016361427
Taf1a,0.31416184,0.29213038,0.15187442,0.12841687
Ilf2,0.2401325,0.2466579,0.12237128,0.11601803
Cd28,3.6995077,4.535661,4.0955586,2.2722902
Epas1,0.44625628,0.5348465,0.3095797,0.21588089
Sp3,1.1320413,1.1807066,0.737844,0.7884028
Hmgb3,0.030645566,0.031391162,0.008609966,0.0073555117
Mbd1,0.15280579,0.15699305,0.10975534,0.08879063
Ctr9,0.21145938,0.26046425,0.16047539,0.15749568
Smad7,0.28569478,0.41622162,0.37733477,0.24562411
Plrg1,0.07884057,0.08427333,0.042248715,0.041113656
Eif5b,0.4658206,0.51779294,0.3664821,0.3506589
Zbtb17,0.19409367,0.1982433,0.15270409,0.077888235
Pdcd1,0.32522514,0.36911136,0.06478242,0.041140784
Zbtb10,0.014406786,0.015583795,0.006065574,0.0002634672
Nfe2l1,0.03288515,0.040222812,0.020807916,0.015492879
Cd160,0.058794476,0.067630336,0.024005884,0.03622087
Pbx4,0.019969659,0.026359802,0.0073222523,0.005860123
Sap30bp,0.324749,0.34887162,0.30170104,0.24743576
Batf,1.0852711,1.1281842,0.5082523,0.30366623
Tnfrsf9,1.6215194,2.125205,0.51464206,0.27643287
Maff,0.021650318,0.03143434,0.027383104,0.006790979
Havcr2,2.6462302,2.80355,0.8495322,0.89684874
Chd7,3.766365,4.956381,3.9275875,3.752786
Maf,0.00989604,0.025918467,0.011331033,0.0036563985
Elf1,2.6808016,3.2572045,2.6703851,1.9866931
Rnf20,0.3745679,0.39488775,0.37794587,0.32474867
S1pr1,0.33565432,0.43996367,0.21779571,0.15765327
Il6st,0.27740315,0.40065086,0.26165974,0.16113666
Cd52,0.038447354,0.056612268,0.047589112,0.043582305
Chd2,4.0172153,5.167013,4.124236,2.9744787
Ccr7,0.014582898,0.015331353,0.0073621343,0.0011833836
Ciita,0.0012674755,0.0009688555,0.0005159845,2.8081413e-05
Ets2,0.042124253,0.042216104,0.02616614,0.017336618
Mybbp1a,0.03279942,0.030742444,0.012335304,0.014138784
H2-Ab1,0.0052209822,0.007239229,0.0014373515,0.00013843279
Pirb,0.0029913834,0.006381678,0.0005170711,0.00016033927
Pax5,0.002675972,0.0028620963,0.0017982696,0.0
Runx3,2.8136399,2.8724747,0.7943296,1.1344744
Polr2a,1.6594429,1.9036461,1.3045151,1.5198245
Toe1,0.31262454,0.3133648,0.05842882,0.097842805
Srebf2,0.66304845,0.65658206,0.3626082,0.22880192
Fiz1,0.1039624,0.110320054,0.057665247,0.057704296
Actb,41.9679,48.57344,23.950203,21.930737
Selplg,2.090564,2.6857817,2.5393157,2.435321
Sin3a,0.39927164,0.3888917,0.2695679,0.28779814
Pou2af1,0.03351484,0.03588625,0.0018888065,0.0070835454
Itgb3,0.117335565,0.1957254,0.15436226,0.050445613
Lgals3,0.2746494,0.3438338,0.117416985,0.1532755
Zfp553,0.011770386,0.014660652,0.0023482814,0.00015932025
Tcof1,0.205789,0.23017408,0.13963066,0.18430723
Ctsl,0.045947358,0.045087967,0.025599523,0.005980296
Foxn2,0.7945564,0.8144068,0.37535453,0.3579253
Polr3f,0.09785033,0.10097377,0.065207206,0.05538535
E2f2,0.44408706,0.45136356,0.08523434,0.09902
Hdac6,0.0447306,0.05366331,0.015057865,0.012233367
Nfkbib,0.31792676,0.36394376,0.31478778,0.30257618
Tnfsf11,0.028875157,0.03373887,0.0016738469,0.0038157792
Bmi1,0.009420855,0.011627471,0.010916076,0.0022340377
Cxcr5,0.040362444,0.03767802,0.024444487,0.00752848
Sla2,0.30455327,0.49529615,0.34135422,0.4376648
Ikzf2,0.4568251,0.61757416,0.2522819,0.18799663
Myb,0.2992152,0.32375917,0.076388806,0.010166214
Hmmr,0.13967435,0.15094197,0.0025957788,0.0026268403
Hdac1,0.5460203,0.5615746,0.3574984,0.41157195
Gtf2b,0.29882434,0.3619391,0.16267073,0.16725786
Nab1,1.0039457,1.2531375,1.0390447,1.0658101
Sema7a,0.5330607,0.5724683,0.11815284,0.03451124
Cd47,1.8168981,2.1179223,1.8064753,1.6847767
Ggt1,0.052044194,0.064023815,0.016736746,0.010406308
Snrpb,0.32786626,0.34475136,0.18056895,0.18142225
Icos,2.6214645,2.9103215,2.5459135,1.5088761
Ighd,0.0027772351,0.003973901,0.0014590494,0.00013020079
Ctla4,3.9549384,4.5496473,3.8206754,0.7456855
Stat3,3.2507322,4.002585,3.4763217,3.532867
Stat5a,0.649065,0.7053717,0.50869983,0.34244367
Gata3,0.1777676,0.22741228,0.16564585,0.093754336
Trim28,0.084497884,0.08762373,0.057988636,0.06602925
Nr4a2,2.0093052,2.3215644,2.1656253,1.7744637
Cd226,0.5392974,0.57053095,1.6992366,1.3194414
Itgax,0.056658734,0.0869989,0.17478643,0.15027663
Fos,0.057329945,0.06925162,0.091691345,0.05812882
Itga1,0.083341494,0.1350205,0.73866653,0.5028453
Cd55,0.036970977,0.0719595,0.16433267,0.042418648
Kat2b,0.516532,0.5049436,0.87161833,0.85628486
Crebl2,0.01144618,0.008324068,0.03678397,0.01647395
Cd86,0.15186316,0.18914607,0.45832607,0.20483619
Sp4,0.49589655,0.7394346,0.8359873,0.697988
Zfp277,0.2586124,0.22658195,0.33695242,0.3497509
Jmy,0.24259076,0.28355983,0.65489435,0.44464284
Mxd1,0.16781397,0.3266118,0.64478934,0.45689887
Bcl6,0.18717623,0.22865824,0.3545475,0.19424808
Aff1,0.6957565,0.8694157,1.3616277,1.313756
Foxp4,0.21116462,0.21106577,0.39684537,0.33663413
Zfp62,0.28130937,0.2973438,0.36844018,0.3537244
Zfp354c,0.015754228,0.01183094,0.017024262,0.008857912
Klf6,0.24009654,0.28799236,0.45611286,0.35811505
Zfp36l2,0.0055201096,0.006255559,0.014324383,0.017478788
Cd274,0.8988628,1.1184177,1.2489225,0.7788709
Id2,0.24551,0.36017567,0.40820605,0.4084198
Zbtb16,0.020175267,0.020373343,0.018455729,0.004743635
Cd46,0.06877113,0.06511712,0.12511712,0.12528703
Trbc1,1.1429396,1.3398081,1.2785167,1.069426
Nr2c1,0.04727983,0.036178533,0.03037674,0.02238583
Mvp,0.015907547,0.017924905,0.040420737,0.035480667
Il18r1,3.928404,5.1490254,11.430869,8.666403
Mxi1,0.78513974,1.0276703,1.0929554,1.0577508
Tgif2,0.1155244,0.13782957,0.12204762,0.056607287
Ubn1,1.0356393,1.0960137,1.1812901,1.1139251
Lamp2,0.15849131,0.2083692,0.30755833,0.2113538
Nmi,0.27109224,0.3521681,0.47321942,0.4850431
Nfkbiz,2.3619068,2.391725,2.9845078,2.5038898
Trim25,0.18744998,0.24207549,0.3436096,0.32309383
Vax2,0.019521056,0.010006459,0.02784052,0.014003045
Eya2,0.1679438,0.17094904,0.29881567,0.050474696
Fli1,2.2298536,2.9506273,5.0571876,4.479061
Rest,0.07263726,0.06643047,0.06469692,0.05861211
Cd69,0.095752016,0.10963669,0.13308841,0.050492257
Cd2,1.0474033,1.0418401,1.0755763,0.8034544
Per1,0.1363805,0.20206296,0.3038266,0.23617111
Znfx1,0.11188254,0.12274409,0.23759142,0.19591129
Tnfrsf25,0.0021530646,0.0009088787,0.012810459,0.013858392
Trim24,0.30864844,0.29172722,0.4363856,0.39922944
Relb,0.84812534,1.138675,1.174355,0.93963856
