,Cl13_P2,Cl13_P4,Cl13_P9,Cl13_P10
Plag1,0.004248148,0.0025748177,0.0,0.0
Zbtb16,0.004194961,0.0007389752,0.006831713,0.0
E2f6,0.042722236,0.028447203,0.009709498,0.0
Ets2,0.09893445,0.05773007,0.05200842,0.0476018
Zscan22,0.023369959,0.012575165,0.003484821,0.0
Igf1r,0.011962897,0.0032756703,0.0044385665,0.0
Zfp606,0.03616561,0.016812755,0.038186595,0.047073267
Tfdp2,0.07666509,0.0622592,0.050758466,0.018939003
Ahr,0.038193002,0.03375406,0.02242679,0.021608721
Mef2c,0.027699117,0.026427059,0.00076826464,0.0
Parn,0.21256289,0.18849836,0.19529933,0.1317719
Zbtb11,0.42541337,0.36163804,0.40222797,0.56965387
Brd7,0.67440236,0.63955486,0.5741753,0.4367104
Bcor,0.26426372,0.14236537,0.16062029,0.33036584
Chaf1b,0.8690688,0.7063841,0.42957288,0.096320644
Mcm5,2.952597,2.523285,0.73834515,0.5981828
Cbx1,1.2918842,1.1978434,0.5748264,0.3579815
Sirt1,0.197114,0.21111338,0.1324552,0.08387866
Fus,1.5845398,1.5266607,1.1797194,1.3166945
Nono,1.0402458,1.0074364,0.67510474,0.5602559
Hmgb3,0.81830513,0.77275866,0.14107274,0.019542616
Parp1,0.7506504,0.5857845,0.20208184,0.31205234
Med8,0.9259583,0.8711971,0.70987135,0.85063
Ewsr1,1.9021137,1.8466706,1.3840486,1.3571471
Hat1,1.878196,1.5554397,0.50198096,0.62856615
Mcm6,3.5491369,2.9358516,1.6520216,1.4488263
Pnn,3.0495114,2.372849,1.9785072,2.270101
Thrap3,1.6272593,1.6927714,1.1836635,1.1971599
Brca1,0.45914826,0.33587393,0.07028901,0.14727837
Mcm4,1.1708282,0.98046523,0.3367945,0.41948175
Cbx3,0.2815602,0.25689244,0.082669005,0.12683064
Zfp207,0.43809763,0.41545585,0.27712202,0.13691944
Mycbp,0.41283336,0.31141964,0.2265421,0.056863293
Notch3,0.0020274543,5.1349816e-05,0.0038476244,0.0
Mcm7,2.341884,1.8060836,0.4939418,0.72204256
Rnps1,0.63952106,0.55254006,0.324472,0.31169474
Nsd2,1.0301205,0.8985096,0.34847462,0.19323145
Prmt6,0.02221826,0.012251393,0.0211364,0.0
Rbbp7,2.956025,2.5589113,0.9786235,1.0223038
Foxk2,0.24653332,0.19970654,0.14180234,0.27322787
Fkbp5,1.3291337,1.1543784,0.6745567,0.36098072
Atf1,1.0535996,0.9669688,0.6868952,0.42333382
Wdr5,0.42844212,0.40065455,0.19425446,0.18814236
Coil,0.16534415,0.13982089,0.09163627,0.114354454
Hnrnpk,6.5777235,5.919853,4.743288,4.665538
Mbd4,0.17500748,0.15660734,0.05547088,0.0
Sap30bp,0.40339035,0.37046736,0.34252685,0.26987964
Gtf2e1,0.14900576,0.10354673,0.11465149,0.021246718
Nap1l4,1.4636949,1.342015,0.99413264,1.0072138
Eed,1.016689,0.79246104,0.65898657,0.60379255
Gtf2a2,1.1624393,1.0006566,0.77231276,0.79163444
Wbp11,1.2575054,1.2595516,0.51201874,0.798124
Mphosph8,0.8544127,0.6843226,0.4262862,0.52091825
Trip13,0.6377948,0.6148028,0.06462486,0.022637237
Orc1,0.24147312,0.13156398,0.032309007,0.0
Actl6a,1.341419,1.2788504,0.75198716,0.49636346
Xrcc6,0.36647367,0.30769166,0.12713353,0.08897004
Xrcc5,0.5196242,0.48408794,0.23205295,0.017703066
Ilf3,0.4563601,0.41579834,0.29464757,0.1639108
Wdhd1,0.34271038,0.22825786,0.07778681,0.10513251
Tcerg1,1.3730735,1.0998161,0.5693197,0.4840269
Hnrnpab,8.419584,6.877975,2.3098476,2.2945542
Mcm8,0.18090454,0.11839791,0.016622227,0.0
Gtf2h1,0.47211903,0.36630762,0.32130495,0.43096268
Hells,2.430732,1.0800229,0.32645842,0.20319653
Supt16,3.9821455,3.739951,1.4574412,1.3520899
Mybl2,0.16276607,0.104804605,0.027912678,0.0
E2f8,0.5466047,0.44003156,0.08593957,0.016620418
Gtf3a,1.6472976,1.292878,0.9430728,0.88760877
Ecd,0.38393912,0.30340955,0.19300298,0.2274169
Pwp1,0.38603145,0.2727,0.15728602,0.22130303
Dnajc2,2.9706593,2.156837,1.2021973,1.2495635
Bclaf1,1.3459611,1.149968,0.86752474,1.0197675
Smyd2,0.29344043,0.13247988,0.04621193,0.021608721
Polr2d,0.74226135,0.6644447,0.43087298,0.6328726
Ash2l,0.63226444,0.46627647,0.38271734,0.24130476
Snrpb,6.3673024,5.681912,3.3185837,3.8499491
Polr2f,2.7146595,1.8699367,1.2804952,0.5774956
Ssb,5.119245,4.5465746,2.725591,3.0627542
Ruvbl1,0.87268823,0.48430288,0.20066957,0.14624906
Mcm3,3.7878227,2.7069166,0.980618,1.0964016
Smarca5,4.734552,3.813733,1.9671394,1.6443275
Zfp422,0.05639546,0.0436165,0.035477363,0.05471625
Uhrf1,1.5896432,0.9732043,0.20873015,0.19178292
Il2ra,0.4981153,0.33848286,0.1781643,0.25179845
Taf5l,0.3442281,0.3173833,0.24779132,0.26734784
Tardbp,0.4245081,0.31781006,0.14694016,0.23167738
Tfrc,0.53185475,0.3298,0.15861998,0.059697628
Hnrnpd,4.6551704,3.993122,2.291544,2.2436595
Ahctf1,0.30637515,0.2387551,0.20665035,0.23378813
Ssrp1,4.1134596,3.5933168,1.5221688,1.4549077
Tfdp1,1.2789128,0.8631675,0.22318621,0.3234999
Papola,1.5992422,1.4856552,1.1439353,1.2168567
Cenpk,0.4165762,0.31522757,0.057623543,0.04285544
Hdac2,0.91065747,0.57570887,0.28122714,0.28270155
Polr2b,0.87455785,0.8757938,0.4891329,0.25778237
Hdgf,3.990988,3.0966403,1.2626117,1.7972239
Fkbp1a,3.9030857,3.6465662,3.7749693,2.6868625
Tcof1,1.9545852,1.474193,1.0921555,0.84535205
Polr3d,0.24486585,0.13775642,0.13255104,0.0677316
Fosl1,0.012574207,0.005955312,0.007972304,0.0
Ncoa4,0.018316612,0.015698709,0.021236865,0.06261983
Prmt5,0.56602186,0.3889419,0.27526706,0.09180117
Trim27,1.0371475,0.78067476,0.614462,0.36564487
Prmt1,3.1225972,1.8971729,0.85200226,0.8117079
Dpy30,2.942534,2.4732628,1.2613424,1.3215644
Prmt7,0.36238495,0.23087773,0.11060432,0.02729209
Trim28,1.0101274,0.7269881,0.37101626,0.33558077
Cebpz,1.1875056,0.87727547,0.78589195,0.70968604
Suv39h2,0.11186056,0.084752694,0.010075498,0.0
Ivns1abp,0.80302143,0.6001617,0.5139191,0.37328985
Ruvbl2,0.3558041,0.28410372,0.0780227,0.0
Nap1l1,4.458093,3.3723612,1.618611,1.8950863
Pa2g4,4.1670213,2.431821,0.93500984,1.0712583
Snrpd1,2.4577677,2.137469,0.83014697,0.57336074
Srrm1,2.306839,2.0882318,1.4951884,1.1006099
Ilf2,1.0041507,0.8927758,0.4118164,0.28414208
Batf,3.2093408,2.3709545,1.8296018,1.1451545
Polr2h,1.410379,0.9428224,0.67083466,0.46684837
Smarcc1,1.5822026,1.474897,0.5793587,0.64431465
Eif5b,2.9503882,2.341698,1.7700787,1.4984064
Gtf2e2,0.74056274,0.6442079,0.40584427,0.3419581
Chaf1a,0.4413745,0.2858792,0.07306908,0.036163032
Phf19,0.09353915,0.06928429,0.01869621,0.0
Plrg1,0.3275448,0.2768467,0.20948066,0.15715946
Zdhhc16,0.27564898,0.24703597,0.1812396,0.21640585
Hdac3,0.5383664,0.535421,0.33609995,0.2724861
E2f3,0.32601783,0.22025199,0.17377383,0.060127355
Aatf,0.49004024,0.3362523,0.2031648,0.2790246
Brca2,0.43079394,0.35010034,0.076484874,0.08114107
Mcm2,1.652697,1.0577804,0.45936817,0.4556778
Timeless,0.6161869,0.4504839,0.14287725,0.15080383
Pcgf6,0.29713416,0.14594616,0.09232863,0.05811646
Elp3,0.19288595,0.17516878,0.1691421,0.2586336
Tbl1x,0.6864005,0.61825156,0.5065394,0.42081678
Paxip1,0.48652598,0.41142327,0.21138777,0.41805154
E2f1,0.4408819,0.25322828,0.10886715,0.08860253
Cops5,1.0291344,0.8713477,0.659898,0.5967661
Ddb1,1.1580269,1.0029666,0.5238459,0.5589013
Rpa3,1.8556725,1.8217393,0.7453319,0.621731
Hnrnpr,1.6462159,1.5458052,0.9116769,0.70787483
Cbfb,1.1972815,1.1593719,0.7219076,0.860049
Clec12a,0.08222965,0.050587308,0.00081719074,0.08520491
Ppargc1b,0.056566082,0.027582198,0.053191576,0.05810972
Prpf4b,1.3589652,1.2552996,1.2774767,1.7212129
Tnfrsf8,0.0503664,0.01103314,0.0067820167,0.08381924
Gtf2f2,0.68605787,0.606855,0.48367363,0.49421
Hsf2,0.14195818,0.06881606,0.051356845,0.17669678
Cxcr5,0.0098472005,0.00571167,0.0032364505,0.0
Bmi1,0.2734908,0.17103066,0.1749975,0.2694255
Ankrd55,0.033150855,0.02754628,0.015099803,0.036933504
Smyd4,0.040245276,0.038425893,0.01860671,0.027637752
Zfp248,0.019394645,0.0147525715,0.005166241,0.0
Gtf2ird1,0.029698063,0.015501956,0.00030844827,0.0
Klf8,0.028918449,0.027339958,0.028994214,0.0
Sirt5,0.05254257,0.031129844,0.03488496,0.0
Pknox1,0.2901504,0.28147662,0.2673755,0.43279117
Pbx4,0.036411487,0.033008277,0.013793752,0.0
Prdm5,0.019274183,0.0040231557,0.0,0.0
Patz1,0.12887175,0.07375448,0.06407497,0.12019426
Klra8,0.0019292673,0.0,0.0016380664,0.0
Gabpa,0.24869081,0.21339354,0.17855813,0.24333462
Slamf6,0.86933625,0.7526131,0.90349895,0.5700714
Eif2ak2,0.3901278,0.30358762,0.44910032,0.22193253
Ccr6,0.013781958,0.004322752,0.004631835,0.0
Tnfsf11,0.018764034,0.0065473523,0.0024384141,0.0
Cd83,0.0569776,0.016210243,0.008120931,0.0
Polr3f,0.19703972,0.154212,0.16364177,0.18255663
Prmt3,0.35801315,0.2162524,0.13927443,0.023991445
Stat5a,0.31335238,0.26520157,0.2791012,0.17603104
Taf3,0.5048168,0.42474136,0.47132063,0.43317983
Thra,0.01726105,0.0065755905,0.013958342,0.0
Nr2c1,0.031056942,0.017059423,0.036598302,0.0
Pdcd1,0.98135304,0.9872584,0.64722097,0.1751814
Hlf,0.04720378,0.033296674,0.021826535,0.0
Shprh,0.17371579,0.15855324,0.17049709,0.2122014
Drap1,1.0486649,0.8887239,0.80104977,0.9060004
Mtf2,0.60218775,0.5596664,0.32679048,0.3332268
Tnfrsf4,0.49044302,0.17144255,0.046661705,0.027637752
Tox2,0.08019543,0.049882762,0.04424449,0.0
Ccr9,0.22493452,0.13250405,0.04120437,0.19802327
Tnfsf4,0.02209686,0.0033956286,0.025588289,0.0
Tcf4,0.119699515,0.091448925,0.10957199,0.1035905
Zfp282,0.0978061,0.07119114,0.07964363,0.10570273
Apex1,0.66847867,0.2663743,0.16548105,0.09691323
Jdp2,0.24850991,0.18556431,0.15081128,0.10373807
Myb,0.41369084,0.24056117,0.072955586,0.040652204
Eaf1,0.16718726,0.1483832,0.17325197,0.07488035
Prdm4,0.12620886,0.09684992,0.14230864,0.07796698
Dnmt3b,0.05992827,0.0377567,0.09062269,0.024181891
Pdcd11,0.46660203,0.32113963,0.21208614,0.09582074
Fubp3,0.068896905,0.043230142,0.031250775,0.014800229
Batf3,0.1374367,0.009484604,0.0,0.0
Klf4,0.3717253,0.25383118,0.14855202,0.15250982
Taf4b,0.07242691,0.04284263,0.053006668,0.016203001
Gtf2h2,0.20382968,0.1495161,0.09277259,0.024175152
Setdb1,0.27675328,0.22330609,0.1785962,0.16149831
Zranb2,1.0903506,0.82591087,0.8090178,0.56259185
Sfmbt1,0.12710865,0.09415869,0.05192428,0.03599797
Ddx20,0.18220659,0.17560436,0.04720211,0.0703693
Polr2i,0.9063098,0.7845693,0.70743287,0.8299749
Hmga1,0.034215335,0.018345376,0.0014970567,0.0
Arid2,0.2514337,0.19356589,0.20149001,0.19981918
Cnbp,4.276002,2.8951893,3.0357294,3.8193421
Mybbp1a,1.2662088,0.48902065,0.3403098,0.1611178
Il1r2,0.0503884,0.018987961,0.011584205,0.12780736
Ncoa5,0.16591972,0.12356619,0.09726461,0.0
Gtf3c4,0.08698757,0.066840194,0.040622704,0.099351406
Pms1,0.11705737,0.08755007,0.06695735,0.0
Zfp275,0.06591934,0.03994978,0.09257008,0.08202079
Cd160,1.5368177,1.2837247,0.8857302,0.701145
Fbxo17,0.038238637,0.015391973,0.02872667,0.0
Trp73,0.008926555,0.0060191597,0.008956852,0.018939003
Taf1a,0.040910047,0.03295589,0.015124475,0.034396637
Fubp1,1.1310337,0.78972566,0.620334,0.6101572
Bmpr1a,0.010224477,0.0052692387,0.0009798158,0.0
Med27,0.22094564,0.21692608,0.23470652,0.18357661
Bop1,0.582942,0.44885784,0.33431756,0.2514205
Tnfrsf9,1.2231127,1.050366,0.51609844,0.017703066
Zfp354c,0.008735605,0.0029917806,0.005935101,0.0
E2f5,0.10080641,0.085029885,0.04581756,0.063612446
Zdhhc13,0.11216409,0.1016672,0.094077654,0.05183665
Il1rl1,0.15896313,0.13045448,0.12018429,0.06452065
Crtam,0.43118432,0.33179387,0.543417,0.36370432
Trps1,0.28618607,0.29295513,0.22050545,0.3463586
Ikzf2,0.21119082,0.19159831,0.1990791,0.018939003
Zbtb39,0.010994863,0.008333645,0.004310811,0.0
Hdac6,0.05149165,0.056007065,0.02217552,0.04624812
Hif1a,0.634568,0.6308773,0.3870081,0.38422197
Zscan21,0.053195838,0.060327,0.040854465,0.08653468
Cd300c2,0.025433797,0.020020172,0.003720283,0.042602453
Bcl11a,0.0032364447,0.0022389698,0.0,0.0
Treml2,0.035970192,0.027844679,0.02464522,0.0
Ebf1,0.010014811,0.010036719,0.017504973,0.0
Ly86,0.057506442,0.048960913,0.008352119,0.0
Lmo2,0.034844182,0.034263007,0.0,0.0
Hdac9,0.0044522956,0.00401963,0.0,0.0
Sell,0.12952136,0.060513128,0.057548065,0.22696452
Cd180,0.0017586778,0.001147061,0.0,0.0
Cd74,0.401131,0.31316146,0.06667124,0.0
Tlr1,0.010769104,0.01118235,0.009190953,0.0
Tlr2,0.021121468,0.016266773,0.0043927715,0.0
Cd200,0.059745595,0.058925197,0.0586647,0.021122718
Csf3r,0.030705985,0.008403563,0.0,0.25561473
Atf3,0.048793484,0.033498578,0.012518618,0.0
Irf8,0.5798016,0.6069622,0.47426733,0.26266584
Tnfrsf25,0.06114192,0.034748044,0.123370275,0.07800287
Tcf7l2,0.00691609,0.005281343,0.0006651282,0.0
Fcgr1,0.02581814,0.021112172,0.0015108783,0.0
H2-Eb1,0.2831865,0.21148764,0.07654395,0.0
Cd300lf,0.024477238,0.013251376,0.0,0.08520491
Tshz2,0.0081991395,0.009363749,0.0018535132,0.0
Ctsl,0.054977078,0.039590754,0.011208358,0.023349661
Sirpa,0.034140054,0.017175877,0.005515917,0.08520491
Trem1,0.010216042,0.006881555,0.0,0.0
Maml3,0.0069053415,0.0055907588,0.008151298,0.0
Pirb,0.063091755,0.041270122,0.0,0.08520491
Csf1r,0.03692454,0.03309461,0.0,0.0
Tnfsf8,0.22329208,0.12206104,0.11111829,0.0
Il6ra,0.033017006,0.021767348,0.0007442358,0.033934567
H2-Ab1,0.26105818,0.23538385,0.057512455,0.034396637
Ifngr2,0.012227783,0.0074550663,0.0,0.0
Plaur,0.042228404,0.025784887,0.00081719074,0.12780736
Zfp444,0.11564014,0.09692549,0.13017151,0.07012268
Nfe2l1,0.2230644,0.23444907,0.21550539,0.26334882
Hivep3,0.11174311,0.13269705,0.09382576,0.0
Tcf12,0.21947733,0.22487593,0.2417165,0.1876772
Il6st,0.048152015,0.061154675,0.0670373,0.016620418
Nfxl1,0.06223644,0.065161124,0.0451737,0.0
Pax5,0.0,0.0054317433,0.0041486183,0.0
Pbx3,0.039212685,0.047654252,0.028725546,0.03332367
Rnf20,0.5557362,0.5830007,0.52548206,0.62461805
Ctnnbl1,0.54172635,0.55269337,0.49608,0.4574148
Mybl1,0.026260365,0.033302154,0.0021708237,0.0
Hdac1,1.9021474,1.9379843,1.2888029,0.9171248
Gatad2a,1.0275389,1.0303276,1.0721687,0.9904072
Vax2,0.09045185,0.12230957,0.04229433,0.029215807
Fiz1,0.10829434,0.13321127,0.11999722,0.024417821
Ercc5,0.0933262,0.10540874,0.059469752,0.11312867
Alcam,0.3370462,0.38007545,0.35762373,0.116574004
Mllt10,0.35586593,0.3918171,0.37950385,0.27752942
Med21,0.08241259,0.087491,0.04825214,0.06599359
Ttf2,0.29561177,0.30501068,0.0889193,0.12932906
Smarca4,1.3168485,1.3494533,0.9045802,0.83600044
Suv39h1,0.37145722,0.4350212,0.08986151,0.10996554
Khdrbs1,0.8098095,0.79687494,0.5128003,0.3669552
Cd40lg,0.056193758,0.07164945,0.044962842,0.067527674
Taf1,0.49357685,0.54230934,0.2670146,0.14809
Nfyb,1.0734024,1.2627317,0.87240106,0.7549794
Espl1,0.16888332,0.37075287,0.020419484,0.0
Rbl1,0.25739333,0.44163176,0.2401321,0.1947524
Dnmt1,2.189538,2.8369164,0.95276046,0.920751
Rbbp4,2.4737427,2.6546333,1.4469242,1.1957586
Brd8,0.48618984,0.9245763,0.3437193,0.24847007
Ctr9,0.44555753,0.46177667,0.2910822,0.3433676
Creb1,0.5219715,0.61467427,0.53283346,0.47204298
Carf,0.012946523,0.021308199,0.019358717,0.0
Polr2k,0.24102001,0.2734334,0.17023112,0.08072963
Sin3a,0.3521611,0.406944,0.2595932,0.3435979
Cxcr4,0.55779266,0.61950713,0.37030932,0.2912525
Asxl1,0.45874184,0.5977257,0.38945916,0.31402922
Ankrd10,0.4105764,0.43925378,0.42766848,0.6906745
Runx3,2.2253954,2.522195,2.0964043,2.0511932
Rb1,0.08130117,0.104658,0.091178045,0.07367393
Ctcf,0.9881812,1.3199729,0.8038716,0.5707167
Cebpg,0.44624513,0.46164533,0.41435513,0.45210463
Ezh2,2.8287394,3.116659,0.75798315,0.80224854
Kmt5c,0.073079176,0.10847969,0.08493289,0.09902752
Brip1,0.3407067,0.40753657,0.06581231,0.0
Zdhhc2,0.11850426,0.13181844,0.1334859,0.03262689
Epcam,0.07679659,0.08541586,0.046640396,0.0
Kntc1,0.21376169,0.25603023,0.01777077,0.040652204
Atad2,1.815319,1.8685313,0.592289,0.5262662
Epas1,0.14594536,0.14735518,0.1478488,0.03640895
Mllt3,0.7554735,0.89550436,0.85157216,0.39822036
Cbx5,1.5415502,1.6008497,0.41669178,0.490836
Baz1b,2.150402,2.082578,1.0539564,0.8997124
Aurkb,0.58363044,1.6965404,0.109646216,0.0476018
Hnrnpul1,1.1474104,1.239264,0.7897243,0.96143
Prdm1,0.5097604,0.62943953,0.5323204,0.5465853
Pbrm1,1.4153224,1.864871,1.3832738,1.7621526
Snapc1,0.31570953,0.34231964,0.22689374,0.30397785
Il2rb,3.1277378,3.7695212,3.0178034,2.2104306
Csrp2,0.20811068,0.22079784,0.053224523,0.104822695
Trdv1,0.0065303817,0.014796046,0.011031531,0.0
Mxd3,0.3384437,0.83564556,0.07349942,0.0
Zfp382,0.03679527,0.05002243,0.03080484,0.0
Zfp143,0.14641428,0.19327489,0.083349735,0.07436672
Baz1a,2.426163,2.787077,2.4451163,1.916703
Pcmt1,0.65823275,0.8271571,0.67156816,0.4870059
Nfya,0.17008874,0.16377646,0.09741948,0.12891549
Ciita,0.013173661,0.00960176,0.004631835,0.0
Deaf1,0.08470528,0.11314251,0.107289314,0.060615763
Lair1,0.1982845,0.2152575,0.22693399,0.2833409
Sema7a,0.14091912,0.17010374,0.19538067,0.07960544
Zkscan5,0.015879722,0.021726469,0.013716867,0.10217219
Setdb2,0.14830226,0.14802124,0.13387972,0.16330051
Tnfrsf1a,0.10825673,0.1293964,0.14506814,0.10622764
Lgals3,9.57496,16.014008,12.443343,6.451822
Ppard,0.044922963,0.06774538,0.05913125,0.0
Fbxo7,0.20159382,0.21356298,0.2014101,0.18202141
Sla2,0.5050663,0.72415334,0.66942334,0.47276786
Sp3,0.7875023,0.8241803,0.78139925,0.5124759
Gata3,0.26993486,0.4740527,0.43164483,0.47018173
Hist1h2bp,0.021391988,0.032406572,0.012688473,0.10494196
Klra1,0.0008513907,0.0044818055,0.0024384141,0.0
Zfp341,0.018296951,0.028265381,0.011802903,0.02729209
Lamp2,0.05909769,0.07088991,0.0485624,0.038763784
Bard1,0.35716733,0.3815654,0.08722756,0.12868705
E2f2,0.6673237,0.79274327,0.44505888,0.6093705
Ggt1,0.3780096,0.8982007,0.6987938,0.04581353
Polr2a,1.2461263,1.3574419,0.8721739,0.8154263
Ehmt2,0.5330122,0.69720536,0.4860046,0.5300249
Cd48,6.3288393,9.258079,7.9577456,7.6730556
Tsg101,0.62090784,0.7791441,0.53245544,0.3989853
Nab1,1.5528715,1.7763321,1.4987178,1.4255731
Gtf2b,0.9361827,1.0799632,0.79847014,0.9154668
Zfp553,0.050357487,0.07384431,0.058075886,0.0
Ncam1,0.0009040069,0.007210349,0.0,0.0
Hmmr,1.5024866,3.1606019,0.12698522,0.0
Brd9,0.63356864,0.86192167,0.49624604,0.5370401
Taf15,0.89967877,1.182201,0.7522013,0.75297105
Hmgb2,16.81581,21.841091,5.1603975,5.469943
Foxn2,0.3276112,0.34091094,0.27396616,0.51673543
Fkbp2,1.8621254,2.3769674,0.90293336,0.7385049
Safb,0.63810295,0.71914667,0.43706754,0.42212558
Foxm1,0.080990724,0.15698698,0.01775404,0.0
Klra6,0.0,0.0019099527,0.0063756066,0.0
Ovol2,0.010261852,0.019594911,0.012160171,0.0
Havcr2,0.5912978,0.71933836,0.5936117,0.31357124
Irf4,0.3245191,0.363534,0.35692036,0.22297993
Hmg20b,0.20792267,0.2384025,0.19685248,0.121861525
Eya2,0.018416118,0.024659753,0.03205105,0.0
Esr1,0.00036152868,0.0007198392,0.0038094856,0.0
Itgb3,0.16631751,0.17572215,0.20590153,0.08686593
Etv6,0.18652359,0.21155848,0.22108486,0.24822347
Srebf2,0.37564537,0.4069385,0.36553782,0.22308163
Pml,0.2228303,0.25644994,0.32396057,0.13191149
Fhl2,0.3686921,0.71150136,0.749082,0.7557329
Slamf1,0.13775878,0.24266139,0.2528162,0.18310076
Plxnc1,0.167167,0.19381744,0.21015874,0.08924418
Xab2,0.18378405,0.22278744,0.22709073,0.19876203
Ddb2,0.119678535,0.16129427,0.21155256,0.024175152
Itga2,0.028177733,0.039639104,0.064917065,0.0380842
Id3,0.00011152752,0.0014123443,0.004901866,0.0
Bin1,0.794988,1.1380084,1.284578,1.2003882
Ly6e,7.394461,9.017159,9.766288,4.894441
Ythdc1,1.3283036,1.2813519,1.3245962,1.3429163
Nrp1,0.37412825,0.56889373,0.6434642,0.31812242
Cd36,0.0,0.0,0.003720283,0.0
Zbtb17,0.11790359,0.14649993,0.14471072,0.12058514
Gadd45b,1.0488359,1.4933228,2.0339532,1.4693646
Mafk,0.13144523,0.14584237,0.23924689,0.16725485
Ms4a1,0.006465688,0.007081867,0.027791008,0.0
Cd200r1,0.018026229,0.013952884,0.015116512,0.0
Izumo1r,0.00020334989,0.00022590927,0.003112053,0.0
Tet1,0.0035938616,0.0031670532,0.010013098,0.0
Kcnip3,0.0012857415,0.00035050063,0.008543889,0.0
Tox,0.529779,0.8147259,1.1808949,0.17714909
Zfp1,0.06513932,0.04909431,0.10117297,0.016203001
Trgv2,0.02137887,0.013277507,0.047736026,0.0
Cd9,0.66412663,1.0148596,1.1619842,0.19727454
Sub1,14.508575,18.25358,21.96037,13.555508
Nt5e,0.015032553,0.013486819,0.059602108,0.0
Sox5,0.0042401226,0.004651544,0.011683023,0.0
Lag3,0.66240716,0.9612986,1.3078274,0.26542902
Aff1,0.105112776,0.11699248,0.20294145,0.053886253
Ctla4,1.4954567,2.4675686,3.2800977,1.0375963
Ankra2,0.115223154,0.15170188,0.18137094,0.18868896
Snai3,0.18475348,0.21748558,0.30481938,0.087279245
Phf2,0.21415226,0.22108084,0.26535785,0.25609654
Btla,0.02033534,0.01948301,0.041287336,0.0
Bst2,2.1893804,2.1301293,3.4191,1.6299886
Ly75,0.12269919,0.15674461,0.24989265,0.095139034
