,Cl13_P2,Cl13_P6,Cl13_P8,Cl13_P9,Cl13_P10
Ssb,1.1906618,1.0544907,0.6922973,1.0865617,1.236272
Nr3c1,0.8091833,0.7728712,0.736324,0.7199232,0.7821816
Mcm2,0.094675556,0.066117026,0.027936475,0.019922882,0.059521705
Il1r2,0.17196442,0.061043717,0.02671611,0.060625784,0.7354924
Ewsr1,0.91305494,0.7628093,0.5961179,0.76597863,0.8304863
Baz1b,0.7412814,0.34943342,0.41010112,0.24314755,0.16516119
Mcm8,0.2191106,0.06775896,0.059000514,0.012813331,0.0
Setdb2,0.3975293,0.32078543,0.31781733,0.27978787,0.21865803
Ilf2,0.2476018,0.18044041,0.09400531,0.15625103,0.08171018
Ercc2,0.033423238,0.01570353,0.011668046,0.017629799,0.024173863
Dnmt1,0.6146759,0.35777944,0.25142917,0.15125498,0.12752517
Carf,0.039001673,0.03530296,0.020636855,0.06792246,0.048445277
Eng,0.00075413537,0.0,0.0,0.0,0.0
Phip,1.393526,0.98097736,1.1572962,0.87375575,0.7547468
Brca1,1.4936427,0.47901565,0.2658237,0.15076862,0.07942284
Suz12,2.2377908,0.97375435,1.0321634,0.7814295,0.71340203
Bcor,0.2652372,0.18248399,0.15657434,0.16213922,0.27314845
Ezh2,1.7624656,0.6752984,0.8227688,0.47162375,0.2767747
Pbrm1,1.1715486,0.93696404,1.0753245,0.9655653,0.96729666
Parp1,0.38395372,0.17423894,0.11422829,0.07748262,0.11886504
Bard1,0.7735184,0.28131995,0.27416074,0.07625708,0.119483575
Trip13,0.16220099,0.031204233,0.025989547,0.011867291,0.0
Clec12a,0.020523211,0.0036701313,0.0033290833,0.0,0.0
Ebf1,0.0348141,0.017085312,0.02232934,0.042722214,0.0
Ctsl,0.034314148,0.024484012,0.0088599045,0.024720555,0.0
Cd22,0.009281467,0.0010356455,0.0008106388,0.00089971285,0.0
Med8,0.07612336,0.057855926,0.038179584,0.024813242,0.019965315
Nsd2,1.853697,0.74749047,0.8970476,0.50381,0.4223956
Prmt7,0.23390657,0.16144764,0.20599581,0.12745577,0.16895516
Fkbp2,0.037039515,0.02595595,0.0076848418,0.008500784,0.0
Zdhhc2,0.6965089,0.4959279,0.5963772,0.35619873,0.32740012
Ccr7,0.011853708,0.0070014964,0.00095901475,0.0006400634,0.0
Pms1,0.32821676,0.21970525,0.25592536,0.16855937,0.13813795
E2f3,0.9663679,0.44795957,0.50402254,0.2806661,0.21341442
Suv39h2,0.093932435,0.06652437,0.049047627,0.050142214,0.022262508
Tfrc,0.30042577,0.21022393,0.14824094,0.16038325,0.11576279
Ybx1,0.5365526,0.30473918,0.22686917,0.2065887,0.32251853
Xrcc6,0.18836172,0.113897294,0.104835905,0.09284042,0.042777576
Cbfb,1.6295902,1.1259295,1.4521451,1.0473895,1.0375069
Hnrnpd,2.491045,1.471809,0.8035852,0.8823956,0.74149394
Hdac2,0.16181153,0.100562885,0.083577484,0.049975295,0.071166575
Mybl2,0.39799893,0.12638308,0.083123714,0.04061809,0.080596685
Ash2l,0.18870105,0.13629746,0.12984902,0.07835718,0.09628163
Jade1,0.07404508,0.04646749,0.03969411,0.022059098,0.075122744
E2f1,0.31132895,0.1433602,0.11005423,0.044513892,0.0
Tnf,0.16372602,0.095542036,0.054179702,0.12159346,0.030723045
Zdhhc16,0.02996761,0.013618341,0.011569757,0.0037433018,0.0
Hsf2,0.12825209,0.09951168,0.060468037,0.043818705,0.03791918
Tfdp1,0.4001035,0.16390698,0.1770751,0.073521785,0.016384985
Nfe2l1,0.039399687,0.023543911,0.01627868,0.0037839029,0.0
Pias2,0.7036061,0.49289504,0.5417996,0.49836278,0.51342
Chaf1b,0.14817432,0.103901155,0.057633016,0.07025583,0.0
Dach1,0.09192895,0.009578222,0.007719807,0.0052980552,0.0
Fubp1,1.0454731,0.87762153,0.70282155,0.7841221,0.60431826
Zfp282,0.13629723,0.109289855,0.109718576,0.08304125,0.12820244
Zfpm1,0.18639106,0.07564915,0.15660794,0.05210036,0.031620637
Prmt3,0.29031122,0.14083526,0.2421448,0.10430281,0.11628477
Setdb1,0.45586175,0.29894677,0.39869142,0.22528161,0.105808824
Abcg2,0.04498887,0.014880261,0.022854866,0.021286335,0.04441437
Mllt10,2.1782916,1.3613613,2.1711962,1.330002,1.1767548
Aurkb,0.075574614,0.008703094,0.016477449,0.0037686208,0.0
Zfp422,0.26125723,0.16655831,0.11777917,0.12678003,0.13657
Pa2g4,0.22413568,0.115279734,0.102225766,0.08487495,0.0410901
Nfxl1,0.07682653,0.03206141,0.034186922,0.019812485,0.037358914
E2f8,0.19741672,0.034458004,0.022859808,0.018580465,0.0
Zfp444,0.119646244,0.07046946,0.09719482,0.09599265,0.0
Prpf4b,0.5672358,0.43101934,0.3051762,0.40081212,0.35909638
Ruvbl2,0.28285205,0.12018802,0.055575084,0.055250473,0.010518561
Tcof1,0.23404977,0.18361291,0.13854747,0.15233554,0.15192476
Mbd2,1.3853993,1.0769001,1.3510398,1.0018985,0.7789405
Ddx20,0.34650984,0.15758285,0.06537649,0.073757306,0.09552025
Snrpd1,4.2214236,2.155953,1.1006057,1.1296737,0.8326821
Smarcc1,1.1100372,0.6360249,0.6485164,0.4773268,0.5158374
Med21,0.81321865,0.55056804,0.293006,0.3753991,0.4991302
Zfp207,1.3436579,1.1031069,0.9532299,0.83377063,0.65509933
Nap1l1,2.3506408,0.8746592,0.732693,0.424771,0.2493951
Zfp275,0.027961874,0.021414358,0.010521811,0.016118161,0.0
Zfp248,0.07260279,0.035661742,0.036828052,0.010521525,0.052714273
Hdgf,0.026108243,0.01384264,0.008906858,0.0031049242,0.0
Batf3,0.059296224,0.0005768495,0.0009204344,0.0,0.0
Atf1,0.92863333,0.7614689,0.51662076,0.6549872,0.8227521
Brd7,0.47962913,0.39917383,0.25893244,0.302653,0.23672004
Tsg101,0.3241007,0.2678371,0.25520596,0.27650687,0.2313936
Cbx5,0.73720515,0.26845396,0.28337303,0.08417167,0.049523525
Tardbp,1.198684,0.60036516,0.37392768,0.3953873,0.3249649
Gtf2e1,0.19634867,0.14528735,0.07643589,0.06996329,0.048717696
Gtf3a,0.43113673,0.20749262,0.09087908,0.06452485,0.10382489
Tnfrsf8,0.42708832,0.17501752,0.05706045,0.11243189,0.1187056
Cnbp,0.6533938,0.52039653,0.4472346,0.47897416,0.41364628
Polr2f,0.5448895,0.28862396,0.14064069,0.089170925,0.21492232
Foxm1,0.11380407,0.019104635,0.010572198,0.013730424,0.0
Hmgb3,0.027159357,0.010575538,0.0050844494,0.0100355195,0.04008269
Mcm6,2.0359986,1.3485547,0.8332463,0.58998644,0.5365881
Mcm4,1.8833693,1.0819435,0.53775513,0.41777125,0.2172279
Gtf3c4,0.01660945,0.010243765,0.0048225173,0.00085420854,0.0
Wdr5,0.20167671,0.13709818,0.10297011,0.046026062,0.02324701
Supt16,1.2717248,0.8044057,0.4382068,0.49361938,0.5278894
Hells,1.9470911,0.84854037,0.5191167,0.23327886,0.071453474
Cbx3,1.0088856,0.5987304,0.30589634,0.22523676,0.47570246
Dpy30,0.3155681,0.1774339,0.07055877,0.11709492,0.10387753
Mcm3,0.38199413,0.2563109,0.12597623,0.046047956,0.051650543
Chaf1a,0.2882999,0.10643184,0.07649202,0.023145832,0.0
Hdac9,0.063681394,0.0113365725,0.007572976,0.0024342637,0.0
Atf3,0.06830948,0.024615817,0.012356474,0.033184938,0.0
Mcm7,0.36685228,0.14916542,0.08554712,0.066105925,0.06576276
Tshz2,0.14159319,0.04036553,0.06506849,0.037695527,0.0
Phf2,0.14156902,0.10852854,0.12766284,0.075624794,0.11450472
Fcgr1,0.012256069,0.00012701,0.0018429207,0.0020243982,0.0
Treml2,0.019104889,0.00037005427,0.00015470045,0.0013651776,0.0
Ddb2,0.5170008,0.4469879,0.3933936,0.30225265,0.28371152
Zfp341,0.075940914,0.060028974,0.04534059,0.049530078,0.094465934
Mtf1,0.20549752,0.18336745,0.11902521,0.123619005,0.052439936
Khdrbs1,2.2261462,1.9159125,1.3177215,1.4857286,1.383455
Nono,0.30660126,0.16913265,0.14872406,0.12721343,0.09476675
Cd74,0.84126395,0.10129819,0.27930403,0.20765203,0.0
Hat1,1.0277418,0.8768844,0.49731883,0.71564245,0.48203754
Smyd4,0.1842227,0.12794931,0.13383251,0.049099337,0.09765645
Paxip1,0.30914187,0.15813804,0.16584373,0.06451863,0.11221441
Cebpg,0.22583906,0.17914492,0.12384619,0.19408128,0.12162249
Mybl1,0.044793095,0.024765708,0.019055959,0.008131851,0.0
Tial1,0.6007694,0.4357795,0.43835875,0.33684164,0.42948294
Hnrnpk,0.25551066,0.20341535,0.15455659,0.16167454,0.047014866
Pcgf5,0.56769484,0.38070813,0.3419479,0.47422138,0.29960752
Gtf2f2,1.4640136,1.2917542,0.7940942,0.92886674,0.8357792
Psip1,0.8519099,0.5065287,0.4909325,0.33547,0.24957879
Pdcd11,0.27133375,0.24228103,0.16083573,0.16154893,0.0662491
Cd40lg,0.109309465,0.0642153,0.03226287,0.034492813,0.010518561
Taf1a,0.37932572,0.28521267,0.12829733,0.12335693,0.17589077
Gtf2ird1,0.15234774,0.053722143,0.03342202,0.010512314,0.026687916
Cnot6,0.47329772,0.3936165,0.25125724,0.27531675,0.29123995
Rad51,0.5979575,0.2338716,0.13684532,0.12654428,0.0
Bclaf1,1.3318474,0.972068,0.74629825,0.8878031,0.44742787
Bmpr1a,0.07755763,0.028251834,0.034079958,0.06353457,0.09164749
Zfp143,0.19851899,0.10649875,0.16206072,0.11494163,0.10406493
Hmga1,0.035188872,0.013009044,0.0052930755,0.007353981,0.0
Sirt1,0.3127812,0.25245994,0.22327536,0.1304316,0.080007404
Fiz1,0.12146242,0.069197305,0.043547895,0.07719782,0.10107498
Mycbp,0.13413809,0.057120837,0.026141968,0.045453347,0.060485967
Crtc1,0.09829594,0.06346694,0.08072012,0.06362503,0.0
Gatad1,0.36116508,0.25676015,0.16234568,0.15323462,0.0518415
Aatf,0.8215294,0.58256334,0.62313974,0.44483703,0.48375374
Prmt1,0.19280541,0.12895615,0.064082935,0.0626631,0.1323013
Drap1,0.6738034,0.43874297,0.40476766,0.37002757,0.3283547
Kmt2a,0.83137304,0.596698,0.81148595,0.6075661,0.5872119
Taf3,0.97878146,0.6799031,0.8532624,0.5099441,0.27872723
Trgv2,0.0060823704,0.0010422205,0.0034138986,0.0014081536,0.0
Prdm5,0.0883993,0.018314077,0.015965316,0.0035303547,0.0
Dnajc2,0.26911342,0.17842785,0.09746678,0.14938234,0.034784254
Padi4,0.016003158,0.0099190045,0.0076241926,0.008987137,0.026538344
Tnfsf4,0.074431404,0.011105059,0.017731393,0.015282306,0.0
Toe1,0.31324244,0.16389687,0.08807188,0.07086333,0.10983592
Gtf2h2,0.35097265,0.21512339,0.191765,0.11634207,0.14765842
Brca2,0.26087186,0.09621244,0.11329217,0.044073213,0.0
Smyd2,0.11523409,0.027965892,0.04414884,0.020666147,0.0
Smarca4,0.6724209,0.6461386,0.61164,0.5641088,0.5440861
E4f1,0.084573165,0.057108156,0.045718558,0.030338848,0.054338686
Tcerg1,0.90905607,0.4401969,0.33494553,0.3610286,0.23473057
Prmt6,0.045916803,0.02772379,0.014194536,0.021017442,0.030254254
Ctcf,0.8613547,0.6348412,0.46956375,0.61877495,0.5545951
Fmr1,1.1855996,0.86271113,0.62199086,0.80228424,0.5621876
Wbp11,0.39032474,0.26556355,0.18415186,0.17862052,0.27200532
Zranb2,0.24929887,0.20232354,0.1739742,0.1578521,0.33556652
Rbbp4,1.4003657,0.85444444,0.532621,0.6257481,0.8246951
Zdhhc13,0.26228574,0.12979041,0.10460923,0.13531303,0.21905541
Nfya,0.19318713,0.086435825,0.09165447,0.061112694,0.05916314
Uhrf1,0.6807827,0.2008987,0.08361207,0.058516447,0.03337259
Parp2,0.16225323,0.09994032,0.09371644,0.07698609,0.07472433
Rbbp7,0.7083933,0.46075192,0.2656894,0.2910738,0.5282858
E2f6,0.07095081,0.036716126,0.013744068,0.024681501,0.0
Fosl1,0.14083913,0.06358166,0.013959165,0.03169135,0.03132653
Actl6a,0.22167733,0.16248399,0.087445006,0.07656355,0.0
Ahctf1,0.7259776,0.5318555,0.41856813,0.46260947,0.6265651
Gtf2e2,0.2954796,0.18056525,0.24431738,0.08776393,0.11237073
Ilf3,0.6740573,0.45866716,0.28310314,0.3391036,0.19517025
Gtf2h1,0.84998524,0.66193783,0.42807212,0.54352546,0.3605667
Epcam,0.026523564,0.01901464,0.0021718265,0.006675725,0.0
Apex1,0.08853762,0.024008142,0.008514818,0.004940136,0.06209304
Zfp553,0.013182206,0.004765997,0.0016356863,0.0055316747,0.0
Myc,0.0504872,0.019494632,0.0071242917,0.009011275,0.0
Ttf2,0.14839824,0.034480307,0.06368988,0.025974551,0.0
Mcm5,0.1638278,0.06483067,0.059089534,0.017629504,0.0
Asxl1,2.9738522,1.8509724,1.8519636,1.452467,1.3677213
Taf1,1.1391983,0.8308906,0.45779777,0.4676866,0.3852796
Hmg20b,0.34397832,0.2514071,0.17471503,0.19207658,0.10439372
Brip1,1.3445413,0.47456744,0.37128225,0.20704977,0.18664986
Taf15,2.2574077,1.7475352,1.554395,1.1177582,0.78029704
Hlf,0.45223534,0.1603566,0.063071996,0.11481939,0.028512165
Alcam,5.7028933,5.1472473,4.9365854,4.626496,2.9779315
Srrm1,1.946322,1.4839206,1.1006998,1.2346935,1.0927308
Tbl1x,1.8519427,1.5997161,1.1675211,1.6463727,0.910562
Tnfsf11,0.08971471,0.020381887,0.009410976,0.007059749,0.0
Slamf6,0.62555283,0.47130913,0.40560898,0.38171512,0.16265878
Ankrd10,0.47568697,0.37697545,0.32049394,0.33456826,0.48885816
Nt5e,0.06777696,0.02748931,0.01962555,0.023698611,0.0
Myb,0.27337557,0.19964837,0.14392443,0.14815137,0.0
Cd180,0.026227746,0.00437393,0.005448064,0.017637316,0.0
Jmjd1c,2.4711714,2.2575827,1.6241429,2.2497396,2.1404338
Fubp3,0.14309512,0.06610207,0.084313415,0.041625835,0.0
Cnot6l,3.2953572,2.9684172,2.8495636,3.5457392,3.580628
Pbx1,0.075620756,0.0065381895,0.0027490358,0.0,0.3677462
Zfp1,0.12663989,0.10738083,0.0900206,0.16437046,0.13866371
Gtf2a2,0.22914165,0.16299175,0.12883376,0.20952131,0.09630983
Ets2,0.05275341,0.03218246,0.032385174,0.03199093,0.0
Hnrnpab,0.15831256,0.061957136,0.060123432,0.027318966,0.072952375
Runx3,2.5060475,1.9602745,1.5354903,1.2107141,1.4241014
Mbd4,0.2598449,0.13164143,0.05168085,0.06469602,0.054297242
Hnrnpr,0.83695203,0.46591467,0.45697823,0.3801264,0.4789917
Polr3f,0.10300593,0.09704766,0.051854976,0.049403667,0.11124681
Plag1,0.047465567,0.021268355,0.021454744,0.02832951,0.07123226
Cbx1,0.27779898,0.15037845,0.2234473,0.07080347,0.0
Cenpk,0.97783464,0.50241995,0.2316604,0.09851777,0.12237953
Rbl1,0.7507118,0.5012198,0.48311096,0.25770614,0.23321849
Nap1l4,0.57084423,0.44552422,0.3120622,0.3612357,0.34177023
Polr2b,0.31205687,0.24761643,0.10293912,0.1799691,0.034809228
Ube2k,2.1007705,1.9064527,1.696151,1.5389397,1.6067454
E2f2,0.45845327,0.2340182,0.3288826,0.13918678,0.042794485
Hmgb2,0.80924714,0.4573163,0.34453318,0.35347354,0.23099507
Phf19,0.10041344,0.0648463,0.038470395,0.017736696,0.10500361
Prdm1,0.7640715,0.6580227,0.3795908,0.55020267,0.39268672
Orc1,0.7790955,0.49138367,0.18204542,0.23870587,0.119205736
Mtf2,0.86398935,0.6333209,0.5605883,0.41699877,0.2983233
Thra,0.018809877,0.010114887,0.0052075866,0.0030076825,0.0202589
Izumo1r,0.040892653,0.01582427,0.018761387,0.0041415235,0.0
Zscan22,0.11214919,0.060218282,0.05448857,0.04382387,0.05991093
Hif1a,4.508429,3.7564447,3.402598,3.2693772,2.069049
Crtam,0.48060098,0.23318698,0.21222961,0.19431315,0.113133095
Igf1r,0.08323486,0.0062562902,0.01788027,0.004183351,0.20430346
Ifngr2,0.008017343,0.00031895732,0.001119398,0.0,0.0
Maml3,0.12611076,0.033637214,0.047590036,0.022951731,0.037351716
H2-Eb1,0.074624605,0.0031470319,0.007084046,0.022965837,0.0
Mphosph8,0.31114775,0.19341338,0.18815823,0.17557514,0.12013205
Suv39h1,0.107357815,0.03416811,0.018562915,0.023800613,0.03791918
Polr2i,0.118517995,0.07939117,0.08009408,0.06427425,0.0
Nr2c1,0.06113766,0.025481127,0.030653652,0.048151527,0.0
Timeless,0.310808,0.19552843,0.13974951,0.079059325,0.16477376
Safb,0.2913984,0.23634902,0.18105598,0.20618515,0.23141548
Ankrd55,0.5982624,0.51676095,0.1943783,0.32537782,0.38334575
Il2ra,1.5535977,1.2081543,0.4635112,0.91570616,0.242621
Espl1,0.09538271,0.010679314,0.017129702,0.0051625334,0.0
Brd8,0.43650615,0.26283467,0.16241008,0.19413078,0.25285855
Igsf8,0.051047068,0.020296056,0.0179566,0.013308005,0.058620617
Tnfrsf4,0.025929837,0.012462031,0.012371787,0.0061387927,0.0
Eed,1.7687484,1.5641805,0.8056139,1.2888988,1.700997
Hmmr,0.16345073,0.018546725,0.020368224,0.01815337,0.0
Thrap3,2.151678,1.8492161,1.5023228,1.65366,2.0100117
Sin3a,0.40395832,0.32208183,0.26010692,0.3015584,0.36567432
Tcf19,0.03202143,0.0108271185,0.0045836694,0.0019140227,0.0
Lmo4,0.02391968,0.011625809,0.0039873444,0.004430419,0.0
Cbfa2t3,0.027563216,0.003226842,0.007843456,0.0010265155,0.0
Polr2k,0.19767451,0.18054658,0.094416626,0.10104316,0.023138378
Taf6,0.08587984,0.0501893,0.050331045,0.030102298,0.062407974
Fas,0.20653945,0.079766124,0.08872499,0.102043696,0.16914843
Kmt5c,0.042221103,0.009354098,0.018211385,0.014707085,0.0
Fbxo17,0.0281946,0.004310994,0.0110126,0.0,0.0
Tnfsf8,0.5340952,0.26024586,0.1598503,0.18591179,0.0
Il23r,0.10167976,0.021474522,0.0058028256,0.008545905,0.0
Ahr,0.06792028,0.03299405,0.031476304,0.020455508,0.0
Pou2af1,0.03183778,0.01948146,0.0019846947,0.010591458,0.0
Cd83,0.3554118,0.12964033,0.011445157,0.07971152,0.0
Fkbp1a,0.30238706,0.2674847,0.24364771,0.28454238,0.24852794
Sf1,0.89867276,0.7245924,0.64151967,0.7104914,0.5845333
Etv6,3.6005535,2.8031962,2.3954728,2.7265496,2.4831035
Plaur,0.08790743,0.007654902,0.008604961,0.0038276399,0.3677462
Aff3,1.4697657,0.99752426,0.5464153,1.3484907,0.38420564
Id3,0.06673455,0.019365607,0.002839152,0.01894742,0.0
Mef2c,0.0989362,0.021483239,0.02213724,0.08479577,0.0
Gabpa,0.16016161,0.11972922,0.09906946,0.09413302,0.06205029
Cops5,0.35072064,0.28553924,0.17058754,0.16406786,0.19653848
Prmt5,0.07009458,0.048237905,0.032572243,0.020962914,0.0
Zhx2,0.3041633,0.19833234,0.20920499,0.22005238,0.31795186
Tcf7l2,0.0412575,0.026369913,0.005394789,0.009091807,0.0
Il6ra,0.020844055,0.0062637827,0.004926946,0.0038276399,0.0
Ccr6,0.016082482,0.0015359678,0.0009539567,0.0,0.0
Il21r,0.65306914,0.62092173,0.38598326,0.76731473,1.0021358
Bcl11a,0.008253473,0.00015448073,0.0024241682,0.0,0.0
Bcl6,0.27375886,0.22754766,0.17104898,0.30305794,0.6621765
Daxx,0.11388495,0.10562659,0.09473486,0.13794397,0.12155984
Rnps1,0.11363416,0.09766119,0.03778801,0.06479935,0.06776424
Cxcr4,0.022676356,0.016083157,0.012194682,0.0120632555,0.022179676
Sirpa,0.023558207,0.0016637417,0.0022614507,0.0,0.040860694
Pirb,0.007159818,0.0007905366,0.0004834175,0.0,0.0
Lmo2,0.002153148,0.0011640667,0.0007742041,0.0,0.0
Csf1r,0.010826778,0.0029763316,0.0009180357,0.0,0.0
Zbtb10,0.010901726,0.010976502,0.004247388,0.018071527,0.0
Csf3r,0.01830808,0.0012756833,0.00038332152,0.0,0.122582085
Ubn1,0.9320143,0.95522076,0.7044023,1.0319923,0.8973987
Sell,0.020900201,0.010985547,0.01438723,0.006516762,0.122582085
Sp3,1.1027299,1.1300825,0.7816298,0.82902735,0.8618524
Fbxo7,0.3703558,0.3548762,0.17168981,0.21238679,0.19907564
Gatad2a,1.5717486,1.610193,1.5782347,1.6243764,1.2831212
Zfp113,0.010000078,0.012335837,0.013233511,0.0040163724,0.0
Zbtb39,0.034564093,0.032374818,0.0064848526,0.03554679,0.06488043
Sema7a,0.4315698,0.51504636,0.40881044,0.3512366,0.1705648
Upf1,0.0908897,0.10683238,0.06406077,0.073278435,0.18895459
Rnf20,0.36504993,0.4294777,0.31558403,0.3733808,0.6803296
Ctr9,0.2231094,0.3504824,0.16557348,0.18773139,0.2528481
Klrg1,0.064621635,0.111611426,0.043332644,0.078936055,0.7022184
Sap30bp,0.3164918,0.3124104,0.23849559,0.2727709,0.34367746
Zfp131,0.33638436,0.3446671,0.22244191,0.2481048,0.36570668
Hdac1,0.51534414,0.60640085,0.42778918,0.5275398,0.16705047
Rest,0.08146255,0.08936182,0.06676472,0.09377757,0.08047917
Irf9,0.22609738,0.2717199,0.17889914,0.24619205,0.39078024
Xab2,0.035267852,0.063546285,0.034559783,0.029803617,0.0
Tnfrsf9,1.7701325,2.2447636,0.96411633,1.6019025,0.5646592
Plxnc1,0.47179088,0.5818186,0.34989414,0.35815033,0.1343486
Foxn2,0.7404379,0.85648507,0.40229237,0.58905345,0.46774724
Fosb,0.24431719,0.2286781,0.06308013,0.16764434,0.17256236
Zfp62,0.28035977,0.3885719,0.24223877,0.40994853,0.29587734
Pwp1,0.17063604,0.19039999,0.08946058,0.16633534,0.16380426
Med12,0.040462945,0.06371916,0.05812188,0.04607609,0.067916244
Klrc2,0.14149612,0.23342887,0.24305673,0.29706722,0.3591521
Cd69,0.053039845,0.0693736,0.06655793,0.090439215,0.0
Il6st,0.29901847,0.45497075,0.29227984,0.4907237,0.47301164
Polr2h,0.15106042,0.20821433,0.08553587,0.1568019,0.10747287
Gata3,0.24543081,0.26485074,0.11268323,0.18548761,0.18629804
Chd2,3.548306,5.1139455,2.3066711,5.1351023,4.0153985
Kdm6b,0.39936417,0.6104541,0.3871426,0.6727967,0.99240786
Cebpz,0.3224866,0.35663417,0.22892213,0.27474114,0.34117717
Nfkb1,2.9316015,3.230908,2.1131833,3.8190598,3.9153333
Prkcd,0.09396719,0.14460595,0.10207057,0.11400903,0.14158735
Chd7,3.032342,4.305293,2.7267313,4.4083147,5.4671125
Icos,2.578638,3.6436863,2.629815,3.380131,2.32155
Havcr2,2.3862376,2.3263953,2.094577,1.4913625,1.5246933
Epas1,0.37306097,0.43516052,0.2648363,0.43744826,0.15890434
Bop1,0.16238639,0.15834683,0.09571335,0.1697359,0.10957217
Sla2,0.24461503,0.57220984,0.44524994,0.522491,0.499254
Nab1,1.2555212,1.3524593,1.2592053,1.3838848,0.96711314
Ctla4,5.1771684,8.474188,5.2973366,7.1742587,1.5058497
Trbc1,1.2048246,1.9161402,1.2977921,1.8034114,1.1765488
Stat4,4.8701982,6.7322316,5.7398677,6.434752,4.4827003
Ighm,0.9023113,0.8725053,0.6936714,0.7254298,0.13913268
Zbtb48,0.03500412,0.04646453,0.02602756,0.026659332,0.030254254
Eif5b,0.44974852,0.5028158,0.31027153,0.414394,0.29249793
Brwd3,0.3043759,0.32441723,0.31791028,0.31568414,0.29578885
Fhl2,0.12869409,0.16813423,0.16491172,0.1900332,0.49516445
Nr4a2,1.9944004,2.1070454,1.8181965,2.2878852,1.5413465
Sp140,0.18886007,0.3006184,0.26372337,0.27066755,0.27107334
Srebf2,0.6115334,0.6730966,0.35496154,0.45970184,0.17665872
Actb,39.496334,48.759113,26.840883,33.909496,40.378674
Ncoa4,0.093072146,0.09779996,0.06072489,0.08792896,0.030707676
Brd9,0.19738941,0.20559864,0.119795375,0.1761697,0.24126568
Gadd45b,0.12689784,0.16905695,0.06660842,0.17048962,0.23871227
Zbtb11,2.005356,2.0342453,1.0107707,1.4518936,0.99873984
Hdac3,0.051793654,0.04620222,0.021358008,0.02169003,0.02833541
Ing3,0.29753107,0.34367397,0.17579365,0.3014148,0.25183165
Snapc1,0.14209493,0.12771027,0.09937654,0.10801528,0.09531999
Tlr1,0.0022630182,0.00924126,0.0022836037,0.0007861515,0.0
Ddb1,0.10376532,0.13075334,0.07307598,0.08338256,0.04018374
Zkscan5,0.05456608,0.07624535,0.0566167,0.039224304,0.034809228
Batf,1.4258077,1.5066279,0.64749616,1.123691,0.426008
Zeb1,2.0467277,2.4317617,1.8783073,2.6808305,1.4054664
Ascc3,2.0553217,2.6592581,2.2947648,2.8764122,2.7936912
Taf5l,0.20228414,0.24419464,0.15585394,0.19988634,0.12816292
Cd2,0.9113814,1.0754594,0.81454915,1.3417237,0.95840144
Pcgf6,0.09103164,0.08482872,0.04492488,0.045526184,0.0
Smarca5,1.0172452,1.0518552,0.66090316,0.9677009,1.368108
Cdc5l,0.5186312,0.5482312,0.25840846,0.43791085,0.30543107
Polr2d,0.028291838,0.046646886,0.0102707,0.031291284,0.0
Prdm4,0.10456127,0.08419526,0.04379903,0.07288656,0.09592984
Rel,4.243036,4.2526317,2.4868755,3.790171,2.6422443
Rora,6.073042,6.701755,5.089503,8.227754,9.060787
Cd9,0.18171686,0.19041637,0.08396137,0.23577897,0.24516417
Stat3,4.6064343,6.0806284,3.9686456,6.5027304,4.8616047
Il4ra,0.08354068,0.09531198,0.052962407,0.08651513,0.046276756
