,Cl13_P2,Cl13_P6,Cl13_P8,Cl13_P9,Cl13_P10
Kmt5a,1.449039,0.9494025,0.7291761,0.68609995,0.8821414
Hells,2.430732,1.0990448,0.72708404,0.32645842,0.20319653
Trim27,1.0371475,0.7123788,0.5746684,0.614462,0.36564487
Bard1,0.35716733,0.16664696,0.14304633,0.08722756,0.12868705
Timeless,0.6161869,0.40759572,0.28839895,0.14287725,0.15080383
Wdr5,0.42844212,0.32070637,0.17637193,0.19425446,0.18814236
Khdrbs1,0.8098095,0.62132853,0.43156543,0.5128003,0.3669552
Rnps1,0.63952106,0.4790883,0.31283855,0.324472,0.31169474
Plrg1,0.3275448,0.26300004,0.17285983,0.20948066,0.15715946
Polr2d,0.74226135,0.64275783,0.4161459,0.43087298,0.6328726
Igsf8,0.14384952,0.10049366,0.057887696,0.07531693,0.022637237
Wdhd1,0.34271038,0.18324818,0.1297254,0.07778681,0.10513251
Zranb2,1.0903506,0.904987,0.85394645,0.8090178,0.56259185
Lmo2,0.034844182,0.0065323347,0.0066288756,0.0,0.0
Pcgf6,0.29713416,0.1724639,0.14373107,0.09232863,0.05811646
Pbx1,0.0019022756,0.0001519138,0.00010595373,0.0,0.0
Dach1,0.0072571146,0.0007451777,0.00045030334,0.0,0.0
Atf3,0.048793484,0.006231985,0.00528143,0.012518618,0.0
Myb,0.41369084,0.16118483,0.19723526,0.072955586,0.040652204
Ahctf1,0.30637515,0.20956723,0.22704844,0.20665035,0.23378813
Cd83,0.0569776,0.011395598,0.010104191,0.008120931,0.0
Tcerg1,1.3730735,0.7481907,0.6374026,0.5693197,0.4840269
Polr2f,2.7146595,1.6087452,1.3287863,1.2804952,0.5774956
Ddb1,1.1580269,0.8770262,0.5266633,0.5238459,0.5589013
Tnfrsf8,0.0503664,0.008627507,0.0044482653,0.0067820167,0.08381924
Dnajc2,2.9706593,2.059639,1.3820865,1.2021973,1.2495635
Elp3,0.19288595,0.14633866,0.13194238,0.1691421,0.2586336
Rbbp5,0.1970818,0.169249,0.13380626,0.15500526,0.10314068
Hmga1,0.034215335,0.010395382,0.004153821,0.0014970567,0.0
Hdgf,3.990988,2.8227854,1.536782,1.2626117,1.7972239
Fkbp1a,3.9030857,3.754994,3.709527,3.7749693,2.6868625
Taf5l,0.3442281,0.26802924,0.30835053,0.24779132,0.26734784
Pirb,0.063091755,0.0047241026,0.007954351,0.0,0.08520491
Med8,0.9259583,0.84195673,0.7180475,0.70987135,0.85063
Ruvbl1,0.87268823,0.4026311,0.3115278,0.20066957,0.14624906
Polr2h,1.410379,0.86188763,0.68271947,0.67083466,0.46684837
Prdm5,0.019274183,0.0007091592,0.0041097454,0.0,0.0
Il2ra,0.4981153,0.23140876,0.15892239,0.1781643,0.25179845
Tfdp1,1.2789128,0.51943815,0.41088247,0.22318621,0.3234999
Suv39h1,0.37145722,0.19534123,0.12907657,0.08986151,0.10996554
Fubp3,0.068896905,0.032451812,0.043234054,0.031250775,0.014800229
Nap1l1,4.458093,2.5853748,2.8074238,1.618611,1.8950863
Pcgf5,0.44014695,0.30558488,0.31696892,0.2797795,0.14740941
Csrp2,0.20811068,0.16778256,0.07657884,0.053224523,0.104822695
Dek,4.866982,3.867512,2.3330367,1.7969623,2.3146
Eed,1.016689,0.72868353,0.52546006,0.65898657,0.60379255
Parp2,0.59945756,0.41159818,0.23124482,0.23391631,0.05512943
Plaur,0.042228404,0.0036764825,0.0041204426,0.00081719074,0.12780736
Cbx1,1.2918842,1.0201465,0.5595908,0.5748264,0.3579815
Ctsl,0.054977078,0.02161157,0.0150184585,0.011208358,0.023349661
Taf1,0.49357685,0.36541376,0.34276733,0.2670146,0.14809
Mef2c,0.027699117,0.010428954,0.010027871,0.00076826464,0.0
Wbp11,1.2575054,0.7842309,0.60462654,0.51201874,0.798124
Zfp143,0.14641428,0.12130993,0.10512074,0.083349735,0.07436672
Ash2l,0.63226444,0.3733593,0.46309796,0.38271734,0.24130476
Suv39h2,0.11186056,0.03318239,0.019841393,0.010075498,0.0
Mycbp,0.41283336,0.27588907,0.19434035,0.2265421,0.056863293
Padi4,0.0117650395,0.0017836929,0.00048293834,0.0,0.0
Cxcr2,0.00510932,0.00032918924,0.0,0.0,0.042602453
Psip1,2.0354276,1.543134,1.2116927,1.1017231,1.2870927
Fmr1,0.8408148,0.6280479,0.48834822,0.4580075,0.8579266
Polr2a,1.2461263,1.0311624,0.93563277,0.8721739,0.8154263
Pa2g4,4.1670213,1.528705,1.1432483,0.93500984,1.0712583
Tcof1,1.9545852,1.2559427,1.1123302,1.0921555,0.84535205
Setdb1,0.27675328,0.22315119,0.18087426,0.1785962,0.16149831
Prmt1,3.1225972,1.5141702,1.2387031,0.85200226,0.8117079
Cops5,1.0291344,0.8740994,0.6973549,0.659898,0.5967661
Fubp1,1.1310337,0.60873777,0.64303267,0.620334,0.6101572
Ilf3,0.4563601,0.33321628,0.3118583,0.29464757,0.1639108
Ttf2,0.29561177,0.124085516,0.13403395,0.0889193,0.12932906
Mtf2,0.60218775,0.37150592,0.4697377,0.32679048,0.3332268
Bop1,0.582942,0.38750026,0.3259335,0.33431756,0.2514205
Sf1,1.4206858,1.0203906,0.85761493,0.9209952,0.7514093
Hlf,0.04720378,0.025079666,0.0121026365,0.021826535,0.0
Smarca4,1.3168485,1.0234684,0.84330606,0.9045802,0.83600044
Cnbp,4.276002,2.9751897,3.266899,3.0357294,3.8193421
Apex1,0.66847867,0.20439903,0.19202106,0.16548105,0.09691323
Sap30bp,0.40339035,0.33908015,0.35076457,0.34252685,0.26987964
Il1r2,0.0503884,0.008230726,0.018243922,0.011584205,0.12780736
Ncoa5,0.16591972,0.123849496,0.08893135,0.09726461,0.0
Trip13,0.6377948,0.30203307,0.09555136,0.06462486,0.022637237
Tnfrsf4,0.49044302,0.08165349,0.17060643,0.046661705,0.027637752
Tfrc,0.53185475,0.27115822,0.15559652,0.15861998,0.059697628
Med21,0.08241259,0.07258532,0.039105177,0.04825214,0.06599359
Ssrp1,4.1134596,2.4563093,1.5995203,1.5221688,1.4549077
Ruvbl2,0.3558041,0.18135849,0.10888509,0.0780227,0.0
Prmt7,0.36238495,0.19901493,0.13625903,0.11060432,0.02729209
Foxk2,0.24653332,0.16237544,0.17223592,0.14180234,0.27322787
Prmt5,0.56602186,0.28639284,0.22209483,0.27526706,0.09180117
Gtf2a2,1.1624393,0.91147125,0.973768,0.77231276,0.79163444
Mybbp1a,1.2662088,0.40249097,0.41301638,0.3403098,0.1611178
Trim28,1.0101274,0.47866523,0.38363037,0.37101626,0.33558077
Ssb,5.119245,3.8525238,2.8922598,2.725591,3.0627542
Pwp1,0.38603145,0.24979019,0.21709,0.15728602,0.22130303
Srrm1,2.306839,1.6919861,1.4864836,1.4951884,1.1006099
Gtf2e2,0.74056274,0.4672753,0.32260123,0.40584427,0.3419581
Polr3d,0.24486585,0.18351227,0.14406656,0.13255104,0.0677316
Snrpb,6.3673024,4.946538,3.8209813,3.3185837,3.8499491
Batf3,0.1374367,0.0022346887,0.002795182,0.0,0.0
Cbfb,1.1972815,1.1226549,0.93563163,0.7219076,0.860049
Papola,1.5992422,1.3444492,1.082925,1.1439353,1.2168567
Hdac2,0.91065747,0.467588,0.3274609,0.28122714,0.28270155
Hnrnpd,4.6551704,3.3256936,2.7505457,2.291544,2.2436595
Xrcc6,0.36647367,0.24381754,0.17698975,0.12713353,0.08897004
Tial1,0.9254753,0.6507214,0.6613408,0.488223,0.5034469
Ezh2,2.8287394,1.2903167,0.940944,0.75798315,0.80224854
Supt16,3.9821455,2.5498292,1.6419457,1.4574412,1.3520899
Cbx5,1.5415502,0.8023648,0.6915082,0.41669178,0.490836
Ybx1,18.127872,12.346248,7.029159,7.703854,7.2073755
Gtf3a,1.6472976,1.1567671,0.9530108,0.9430728,0.88760877
Eif5b,2.9503882,2.0279405,1.8293881,1.7700787,1.4984064
Pias2,0.1842188,0.101346,0.123032875,0.11441889,0.0
Mybl2,0.16276607,0.06038296,0.042897284,0.027912678,0.0
Ewsr1,1.9021137,1.7406123,1.3550493,1.3840486,1.3571471
Ilf2,1.0041507,0.73114705,0.4159226,0.4118164,0.28414208
Il23r,0.0058372472,0.0003608712,0.0010272628,0.0,0.0
Mphosph8,0.8544127,0.5539216,0.5795576,0.4262862,0.52091825
Hnrnpab,8.419584,4.719413,2.8704724,2.3098476,2.2945542
Rbbp7,2.956025,1.7312999,1.2429394,0.9786235,1.0223038
Smarcc1,1.5822026,0.86651945,0.6356905,0.5793587,0.64431465
Rfc1,1.3102804,0.70571005,0.58506,0.48948312,0.74890614
Suz12,2.3398585,1.2797015,1.0761873,1.0175946,0.69037664
Aatf,0.49004024,0.2706075,0.24267575,0.2031648,0.2790246
Parp1,0.7506504,0.3375724,0.2122991,0.20208184,0.31205234
Polr2b,0.87455785,0.6084456,0.4404782,0.4891329,0.25778237
Tardbp,0.4245081,0.20459254,0.20695801,0.14694016,0.23167738
Gtf2h1,0.47211903,0.3250727,0.30859753,0.32130495,0.43096268
Dpy30,2.942534,2.0534585,1.32991,1.2613424,1.3215644
Ivns1abp,0.80302143,0.59998614,0.43970054,0.5139191,0.37328985
Bclaf1,1.3459611,0.9054438,0.81608284,0.86752474,1.0197675
Snrpd1,2.4577677,1.501674,0.8272126,0.83014697,0.57336074
Safb,0.63810295,0.49018914,0.4616823,0.43706754,0.42212558
Smarca5,4.734552,2.8207238,2.0269296,1.9671394,1.6443275
Sin3a,0.3521611,0.23687325,0.27720374,0.2595932,0.3435979
Jade1,0.28603122,0.13056743,0.17260697,0.1401845,0.1240146
Polr2i,0.9063098,0.810734,0.7369704,0.70743287,0.8299749
Batf,3.2093408,2.2782488,1.5720646,1.8296018,1.1451545
E2f5,0.10080641,0.04302022,0.0542171,0.04581756,0.063612446
Cd22,0.057549845,0.014635288,0.011302602,0.027436726,0.0
Gtf2h2,0.20382968,0.15412934,0.09214176,0.09277259,0.024175152
Ccr6,0.013781958,0.0031992407,0.001412336,0.004631835,0.0
Bmpr1a,0.010224477,0.00076764065,0.00057092326,0.0009798158,0.0
Sirpa,0.034140054,0.0035815947,0.0055830777,0.005515917,0.08520491
Cd300lf,0.024477238,0.0012375698,0.00876855,0.0,0.08520491
Zbtb10,0.008183798,0.002672833,0.003010662,0.0015766526,0.0
Polr3f,0.19703972,0.17201012,0.15042777,0.16364177,0.18255663
Gatad1,0.303729,0.24705085,0.21271187,0.18603043,0.30840874
Ctr9,0.44555753,0.3410566,0.36417893,0.2910822,0.3433676
Gtf3c5,0.08965572,0.07975661,0.051650953,0.06576161,0.09729165
Kntc1,0.21376169,0.09384682,0.061904583,0.01777077,0.040652204
Fkbp5,1.3291337,0.8688216,1.1338621,0.6745567,0.36098072
Thrap3,1.6272593,1.3368497,0.97944564,1.1836635,1.1971599
Ssbp3,0.9455469,0.7940242,0.6829247,0.6909846,0.36844563
Foxm1,0.080990724,0.05312559,0.0139101455,0.01775404,0.0
Rad51,0.15874465,0.06829778,0.026197782,0.017033348,0.0
Cnot6,1.0342468,0.82696193,0.7032568,0.5703708,0.35314292
Nono,1.0402458,0.80862623,0.65213186,0.67510474,0.5602559
Mcm4,1.1708282,0.74392027,0.4831016,0.3367945,0.41948175
Rbbp4,2.4737427,1.9894413,1.3456361,1.4469242,1.1957586
Mybl1,0.026260365,0.012438706,0.010963128,0.0021708237,0.0
Mcm8,0.18090454,0.04407995,0.033362925,0.016622227,0.0
Gtf2ird1,0.029698063,0.015346616,0.0038093813,0.00030844827,0.0
Tnfsf11,0.018764034,0.0029478068,0.0009936668,0.0024384141,0.0
Zfpm1,0.97988427,0.635212,0.6636458,0.4731609,0.76169884
Tnfsf4,0.02209686,0.0038342304,0.008303273,0.025588289,0.0
Coil,0.16534415,0.1299741,0.08427049,0.09163627,0.114354454
Taf6,0.22564475,0.17726727,0.13989906,0.14360605,0.12981172
Myc,0.57406646,0.36423913,0.27393162,0.24956304,0.11580275
Tnfrsf9,1.2231127,0.86673254,0.5169866,0.51609844,0.017703066
Hnrnpr,1.6462159,1.1551497,1.1559229,0.9116769,0.70787483
Ecd,0.38393912,0.26589102,0.20599803,0.19300298,0.2274169
Xrcc5,0.5196242,0.3183462,0.2115598,0.23205295,0.017703066
Pdcd11,0.46660203,0.26160964,0.23504718,0.21208614,0.09582074
Sell,0.12952136,0.036641464,0.0599285,0.057548065,0.22696452
Igf1r,0.011962897,0.00091094937,0.0002101702,0.0044385665,0.0
Ets2,0.09893445,0.062013973,0.053997014,0.05200842,0.0476018
Ifngr2,0.012227783,0.0012549805,0.0045881993,0.0,0.0
Ikzf2,0.21119082,0.16205195,0.14428058,0.1990791,0.018939003
Ncr1,0.005083862,0.0,0.0001425187,0.0,0.0
Ing3,0.38035464,0.35504147,0.3050809,0.37429732,0.42945832
Thra,0.01726105,0.0054857675,0.00758663,0.013958342,0.0
Smad1,0.05776596,0.019002622,0.01951261,0.015588608,0.0
Nfya,0.17008874,0.11662969,0.09145709,0.09741948,0.12891549
Espl1,0.16888332,0.078888625,0.02716865,0.020419484,0.0
Brd8,0.48618984,0.401273,0.32686865,0.3437193,0.24847007
Ctcf,0.9881812,0.7799543,0.8147612,0.8038716,0.5707167
Dnmt1,2.189538,1.4170997,1.1496598,0.95276046,0.920751
Mxd3,0.3384437,0.14238411,0.07963383,0.07349942,0.0
Cxcr4,0.55779266,0.3655113,0.34817016,0.37030932,0.2912525
Aurkb,0.58363044,0.19498456,0.16806363,0.109646216,0.0476018
Upf1,0.6843467,0.54793215,0.4348259,0.5104911,0.38866875
Il6ra,0.033017006,0.010926111,0.014349956,0.0007442358,0.033934567
Klra8,0.0019292673,0.00048558993,0.0,0.0016380664,0.0
Parn,0.21256289,0.1489318,0.1914265,0.19529933,0.1317719
E2f6,0.042722236,0.02205946,0.017391613,0.009709498,0.0
Cbfa2t3,0.13649169,0.0322885,0.004468928,0.023594186,0.0
Tlr2,0.021121468,0.005225198,0.0072134566,0.0043927715,0.0
Ccr7,0.21832113,0.034199834,0.016818333,0.031120788,0.0
Tcf7,0.7303552,0.379496,0.12024734,0.6096497,0.31355795
Hif1a,0.634568,0.5144265,0.41886917,0.3870081,0.38422197
Tnfsf8,0.22329208,0.10628375,0.16239324,0.11111829,0.0
Treml2,0.035970192,0.017413514,0.014294055,0.02464522,0.0
Pou2af1,0.042236764,0.022407543,0.011298523,0.013812147,0.053886253
Snapc1,0.31570953,0.2671503,0.22137602,0.22689374,0.30397785
Slamf6,0.86933625,0.8337572,0.7024894,0.90349895,0.5700714
Atm,0.35865375,0.28836215,0.31672958,0.30984378,0.5613789
Toe1,0.06405749,0.05677053,0.042805362,0.027971957,0.020313086
Notch3,0.0020274543,0.0005935853,0.0004035031,0.0038476244,0.0
Trem1,0.010216042,0.0012529318,0.00039299089,0.0,0.0
Ahr,0.038193002,0.028386362,0.023635043,0.02242679,0.021608721
Csf1r,0.03692454,0.0038491448,0.0065419935,0.0,0.0
Il4ra,0.099121004,0.09867086,0.082525894,0.112976484,0.1289123
Maff,0.04040868,0.028464591,0.009643691,0.047101505,0.041604485
Fcgr1,0.02581814,0.0056527285,0.0036634943,0.0015108783,0.0
Eaf1,0.16718726,0.15442044,0.1353694,0.17325197,0.07488035
Tgif2,0.07163628,0.066161186,0.029760197,0.114028804,0.080223456
Fos,1.284236,0.99120134,0.48541564,1.275882,2.6701705
Bin1,0.794988,1.4012042,1.2106758,1.284578,1.2003882
Nfyb,1.0734024,1.0872529,0.9212625,0.87240106,0.7549794
Zdhhc2,0.11850426,0.13057163,0.10416989,0.1334859,0.03262689
Zfp341,0.018296951,0.024606736,0.00870315,0.011802903,0.02729209
Prpf4b,1.3589652,1.3646889,1.1711081,1.2774767,1.7212129
Fbxo7,0.20159382,0.21675898,0.16825461,0.2014101,0.18202141
Taf15,0.89967877,1.0636957,0.61232805,0.7522013,0.75297105
Brd9,0.63356864,0.7865825,0.45106918,0.49624604,0.5370401
Pcmt1,0.65823275,0.869095,0.7843386,0.67156816,0.4870059
Fosl1,0.012574207,0.010965503,0.0027975952,0.007972304,0.0
Fosb,0.5251502,0.5181958,0.18245664,0.62324226,1.293587
Tnf,0.116426334,0.12012532,0.07327876,0.12980172,0.043217443
Cd68,0.10668465,0.20861955,0.17414671,0.2714402,0.16466743
Srebf2,0.37564537,0.41794443,0.2984367,0.36553782,0.22308163
Rel,1.0114808,1.3259796,0.78315026,1.3596909,1.5590823
Cd69,1.4835838,2.4870014,0.92954266,3.1166756,2.9540951
Ctla4,1.4954567,2.8462353,1.9646478,3.2800977,1.0375963
Rnf20,0.5557362,0.62399954,0.56337994,0.52548206,0.62461805
Nfkbib,0.5211972,0.74063915,0.5797498,0.68710357,0.6464374
Zscan21,0.053195838,0.0693749,0.061754167,0.040854465,0.08653468
Gtf2b,0.9361827,1.0402741,0.78109676,0.79847014,0.9154668
Ggt1,0.3780096,0.83578354,0.21938989,0.6987938,0.04581353
Id3,0.00011152752,0.001640659,0.0,0.004901866,0.0
Tlr1,0.010769104,0.015244533,0.010902529,0.009190953,0.0
Tsg101,0.62090784,0.613798,0.58009475,0.53245544,0.3989853
Epcam,0.07679659,0.059116635,0.028336722,0.046640396,0.0
Skil,0.22494818,0.23948552,0.1395959,0.34863475,0.22277585
Ctnnbl1,0.54172635,0.51345915,0.50158966,0.49608,0.4574148
Klra1,0.0008513907,0.0141022485,0.001776174,0.0024384141,0.0
Irf4,0.3245191,0.35457334,0.29266876,0.35692036,0.22297993
Rnf19a,0.19600022,0.3396635,0.357585,0.39305416,0.4282434
Gadd45b,1.0488359,1.7380061,0.525567,2.0339532,1.4693646
Kmt5c,0.073079176,0.08137364,0.068982586,0.08493289,0.09902752
Trbc1,8.810097,12.860516,10.34651,14.540542,13.120033
Cxcr5,0.0098472005,0.005567617,0.0051146275,0.0032364505,0.0
Plag1,0.004248148,0.0046348404,0.0048117638,0.0,0.0
Zbtb11,0.42541337,0.43703654,0.27647147,0.40222797,0.56965387
Cd40lg,0.056193758,0.053906716,0.038647763,0.044962842,0.067527674
Klf8,0.028918449,0.034362853,0.023608875,0.028994214,0.0
Hmgb3,0.81830513,0.7870092,0.26066378,0.14107274,0.019542616
Taf1a,0.040910047,0.045964945,0.03773667,0.015124475,0.034396637
Polr2k,0.24102001,0.24150343,0.1623209,0.17023112,0.08072963
Cd48,6.3288393,10.092368,7.722427,7.9577456,7.6730556
Hmgb2,16.81581,20.84354,5.626199,5.1603975,5.469943
Ehmt2,0.5330122,0.65779924,0.5845713,0.4860046,0.5300249
Hmmr,1.5024866,1.3983006,0.15022829,0.12698522,0.0
Fkbp2,1.8621254,2.557449,1.092054,0.90293336,0.7385049
Ythdc1,1.3283036,1.3289043,1.2014197,1.3245962,1.3429163
Ly6e,7.394461,10.916652,10.812836,9.766288,4.894441
Actb,116.27993,184.66646,140.23062,172.61891,195.7671
Cd55,0.037466057,0.1559205,0.13747904,0.16727349,0.08995506
Mafk,0.13144523,0.21360503,0.17076613,0.23924689,0.16725485
Cd9,0.66412663,1.438733,0.92258686,1.1619842,0.19727454
Foxn2,0.3276112,0.36970022,0.3245915,0.27396616,0.51673543
Epas1,0.14594536,0.13970011,0.14342237,0.1478488,0.03640895
Zfp248,0.019394645,0.011677541,0.020396542,0.005166241,0.0
Il2rb,3.1277378,3.71947,3.839682,3.0178034,2.2104306
Maml3,0.0069053415,0.0032100726,0.016651964,0.008151298,0.0
Mbd1,0.15102509,0.12368368,0.2156938,0.1662251,0.23015395
Smyd4,0.040245276,0.041488424,0.04202565,0.01860671,0.027637752
Klra4,0.00048653636,0.00018679822,0.00047941957,0.00042564215,0.0
E2f2,0.6673237,0.6038994,0.654036,0.44505888,0.6093705
Taf3,0.5048168,0.4246078,0.45116836,0.47132063,0.43317983
Zfp207,0.43809763,0.37342998,0.39929053,0.27712202,0.13691944
Lamp2,0.05909769,0.082130186,0.08485121,0.0485624,0.038763784
Prmt6,0.02221826,0.03338067,0.039469596,0.0211364,0.0
Rai1,0.08811502,0.062933154,0.0758042,0.077858254,0.05939758
Itgb3,0.16631751,0.15123875,0.17723142,0.20590153,0.08686593
Zdhhc21,0.22058402,0.24539264,0.24342467,0.23080824,0.30771148
Sirt5,0.05254257,0.02162176,0.04930828,0.03488496,0.0
Drap1,1.0486649,0.953606,1.1689136,0.80104977,0.9060004
Il6st,0.048152015,0.06829792,0.075868875,0.0670373,0.016620418
Jdp2,0.24850991,0.1613661,0.26711437,0.15081128,0.10373807
Zdhhc16,0.27564898,0.20484295,0.25171655,0.1812396,0.21640585
Zfp282,0.0978061,0.06825092,0.1106515,0.07964363,0.10570273
Cd38,0.056741185,0.09107992,0.22324854,0.17971323,0.2614769
Phf14,0.5845988,0.70406044,0.7385328,0.7094831,0.8260979
Ikzf3,0.5562627,0.83239204,1.3119358,1.0048083,0.8459308
Trip11,0.5307129,0.6793437,1.1278514,0.96003205,0.9481713
Plxnc1,0.167167,0.19308217,0.22094256,0.21015874,0.08924418
Xpc,0.06417926,0.059173744,0.096106865,0.10913335,0.12871227
Zmym2,0.11967883,0.10058533,0.18839204,0.2191369,0.31144953
Cd200r1,0.018026229,0.018159237,0.022786234,0.015116512,0.0
Ankra2,0.115223154,0.19599856,0.28565797,0.18137094,0.18868896
Ash1l,0.42283216,0.43863705,0.9868546,0.7973194,0.9596669
Atf7ip,0.22090082,0.37158406,0.6045065,0.5003118,0.4459738
Trim24,0.20754288,0.16193737,0.31065005,0.32698628,0.27293378
Baz2a,0.39210185,0.52373755,0.8184524,0.7267612,0.68783975
Kmt2a,0.8289136,0.8637802,1.6585746,1.179692,1.6752272
Ifnar1,0.11774606,0.21333441,0.23224626,0.2731408,0.20346236
Stat2,0.063161045,0.073943384,0.22852488,0.16521713,0.1218908
Stat1,0.8309407,1.0823407,1.8926874,1.7382241,0.8883923
Nsd1,0.5993827,0.545913,0.8108623,0.7513327,0.68994933
Mllt3,0.7554735,0.6535941,0.81108445,0.85157216,0.39822036
Znfx1,0.06822754,0.15634826,0.24061449,0.27829406,0.39786974
Lag3,0.66240716,1.1456628,4.294898,1.3078274,0.26542902
Zbtb38,0.29239368,0.37282392,0.78599197,0.5240288,0.5289783
Arid5b,0.1515857,0.2826753,0.46847877,0.6028714,0.40645325
E4f1,0.0864579,0.10607832,0.20952527,0.20250711,0.15916997
Pou2f2,0.8885934,1.2802914,2.0941556,1.9706343,1.7037735
Zfp36l1,0.64802337,0.6798386,1.1492443,1.3214891,1.4634638
Il18rap,0.45378387,0.72752,2.4654744,1.5341786,3.4356384
Kmt2d,0.2869508,0.2777972,0.5676292,0.59264183,0.90710557
Shprh,0.17371579,0.15248792,0.23306502,0.17049709,0.2122014
Ar,0.16489382,0.22717863,0.41212234,0.282366,0.38817954
Il10ra,0.11975154,0.22166339,0.5681457,0.28187466,0.19294494
Zfp113,0.021623125,0.0478061,0.10189534,0.07201957,0.10731668
Elf2,0.4531261,0.4530386,0.59937894,0.5435869,0.6765857
Zbtb16,0.004194961,0.0025852295,0.011525697,0.006831713,0.0
Asxl1,0.45874184,0.3756012,0.43985504,0.38945916,0.31402922
Runx3,2.2253954,2.0282867,2.2167351,2.0964043,2.0511932
