,Arm_P2,Arm_P5,Arm_P3
Rad51,0.17047748,0.14571385,0.11453551
Snapc1,0.31138083,0.24983725,0.30247512
Orc1,0.22925845,0.1683831,0.06648533
Gatad1,0.29678813,0.23749234,0.23942989
Gtf2f2,0.67304593,0.6012123,0.47426927
Atf1,1.0087775,0.8777965,0.9430037
Nono,1.0252774,0.862825,0.9628217
Hells,2.3886561,1.7851315,0.7434345
Plrg1,0.31621525,0.29140663,0.28831014
Polr2d,0.7386426,0.62032086,0.56361073
Ssbp3,0.8010416,0.73380303,0.70230573
Coil,0.16344711,0.11819468,0.11693344
Hnrnpk,6.585722,5.713912,5.4835963
Cdc5l,1.5330077,1.3563138,1.4889361
Fosl1,0.011707241,0.008078905,0.007930604
Rbbp7,2.9286237,2.441231,2.2737272
Trim27,1.0709002,0.9380707,0.72892874
Cops5,1.0220237,0.8507532,0.7543403
Ivns1abp,0.8043316,0.7402061,0.5430472
Cbx1,1.2745979,1.1151776,1.1121417
Ssrp1,3.8976347,3.4367902,3.209756
Snrpb,6.370525,5.677786,5.26775
Bclaf1,1.3395716,0.9372631,0.90922934
Mycbp,0.4234479,0.35920987,0.26787037
Dpy30,2.83139,2.726995,2.11512
Khdrbs1,0.8146476,0.6322197,0.5735408
Ssb,4.8779087,4.214119,3.9253664
Tial1,0.90037745,0.7742512,0.76267385
Hnrnpab,8.408287,7.4970403,6.101969
Gtf2e2,0.6660417,0.51112586,0.5070323
Ets2,0.08675604,0.08457306,0.055154555
Hdac3,0.54316664,0.46497568,0.50941956
Ube2k,1.4091337,1.3884234,1.2870302
Patz1,0.12160282,0.1004171,0.08040507
Prdm1,0.5044203,0.46102804,0.365602
Cd40lg,0.042877205,0.031816125,0.03054274
Med27,0.20429295,0.19200209,0.20355408
Kmt2d,0.29593512,0.2782517,0.32387346
Arid2,0.25395772,0.23294967,0.22331353
Bmpr1a,0.010631439,0.0069125355,0.0068444354
Tnfrsf25,0.043216772,0.021882486,0.027345194
Aff3,0.036427703,0.02301249,0.029756071
Zfp207,0.39210144,0.3144944,0.3308385
Slamf6,0.70559233,0.5435153,0.5611214
Chd9,0.093234345,0.06786989,0.07920292
Polr3f,0.18656062,0.15677746,0.16763476
Mbd1,0.1738758,0.15396845,0.13764831
Hif1a,0.4508721,0.32449344,0.35350347
Pcgf6,0.24597482,0.18094303,0.10418321
Pdcd11,0.4012367,0.25878227,0.19298232
Pias2,0.16826135,0.14914595,0.10479632
Zfp444,0.11422626,0.10558617,0.07460488
Polr3d,0.19420348,0.1297993,0.082228184
Esr1,0.0008175005,0.00014917523,0.0006333545
Shprh,0.14752442,0.1133646,0.12152476
Rnf20,0.5478349,0.4472031,0.47186053
Zbtb48,0.014316777,0.014494949,0.014241741
Tet1,0.010513227,0.0062778764,0.0044337804
Ppargc1b,0.059561156,0.04792534,0.022156524
Skil,0.22276299,0.18317802,0.21265416
Crebl2,0.011601424,0.004535684,0.008334013
Pou6f1,0.031987254,0.020764705,0.043763895
Il7r,0.45616326,0.14626433,0.16987762
Chd3,0.5407788,0.47837877,0.56138146
Lef1,0.8529127,0.86079264,0.9156126
Tgif1,0.2756293,0.24419852,0.30295303
Tcf7,0.49341857,0.28701887,0.25152987
Ddx5,8.760494,7.532409,8.837406
L3mbtl3,0.12822342,0.1403435,0.08059071
Rai1,0.09191048,0.088677905,0.08635053
Aff4,0.16796535,0.13629065,0.14186579
Dach1,0.0023995726,7.5932774e-05,0.0
Fos,1.6285014,1.7629182,1.9790916
Scml4,0.049999997,0.038247947,0.07362423
Jmy,0.07029024,0.061791915,0.031775918
Mvp,0.1008017,0.09740761,0.11355942
Bcl6,0.0099393455,0.0057084,0.015418353
Phf1,0.08392773,0.065487035,0.08011421
Sox5,0.0034778386,0.0013644685,0.003948086
Zfp36l1,0.75617486,0.77587926,0.9864987
Xpc,0.07547752,0.07010331,0.058077592
Rere,0.07939097,0.081445314,0.093906
Ighm,0.6029853,0.49835977,0.5129263
Kdm7a,0.23989278,0.17062365,0.29424572
Foxp1,0.226716,0.23663421,0.29863137
Calcoco1,0.015487975,0.014782096,0.010771565
Trim24,0.1793125,0.1773649,0.18630672
Klrb1c,0.037725594,0.01378769,0.0264926
Nfkb1,0.49134833,0.43915147,0.44245934
Nrp1,0.20145188,0.19219238,0.17496139
Setd7,0.10945084,0.10458982,0.09353374
Zfp1,0.047483362,0.03154401,0.046114795
Zscan22,0.01989932,0.009106636,0.007594155
Kdm5b,0.06730663,0.016170293,0.01804532
Rest,0.57962334,0.46550864,0.382764
Zmym2,0.14393353,0.10557049,0.100128025
Kdm4b,0.032324165,0.019792648,0.026282024
Kdm3a,0.11979728,0.11387866,0.1408955
Brwd3,0.14361532,0.117651105,0.14317496
Hlf,0.02471399,0.0232179,0.013932848
Eed,1.0411217,0.96247387,0.7987305
Fbxo17,0.025791628,0.004888061,0.010042118
Thra,0.017149663,0.013641865,0.005690547
Ms4a1,0.0034779685,0.0007050013,0.004900701
Pecam1,0.10075955,0.07746613,0.10642937
Anks3,0.0572382,0.057737097,0.052684598
Itgae,0.00909082,0.006695497,0.008909428
Cd200r1,0.00636256,0.0061209905,0.007401457
Pvr,0.056130175,0.046021078,0.049580265
Crtc1,0.02562405,0.023020223,0.017144056
Taf1a,0.036090996,0.030080536,0.030960793
Trps1,0.19828938,0.19059779,0.13726556
Igf1r,0.0039060998,0.0017439907,0.000744873
Zfp354c,0.0031139127,0.0033264498,0.0019879215
Icam1,0.2536142,0.2497016,0.18574806
Crtam,0.3138303,0.24675429,0.20595405
C5ar1,0.0013949492,0.00041187176,0.0
Sirpa,0.014892718,0.00086277653,0.002483229
Cd300lf,0.010264365,0.0018775348,0.0008241241
Ncr1,0.0042414004,0.0023524456,0.0006436399
Fcgr1,0.011556469,0.0008552295,0.0013746687
Bcl11a,0.001659175,0.00060807297,0.0
Cd180,0.0006938411,8.6047636e-05,0.0
Eng,0.0026698373,0.0008807937,0.00065689743
Plaur,0.018263321,0.0019403333,0.00022207212
Csf3r,0.01261018,0.0013963449,0.0
Trem1,0.004339363,0.00053789996,0.0
Clec12a,0.057231907,0.020093637,0.0070979083
Hdac9,0.0017994142,0.000481982,0.0
Ly86,0.02540137,0.0033618778,0.003243492
H2-Eb1,0.18205711,0.012051873,0.056980696
Il1r2,0.026214885,0.0092717195,0.0044058166
Mtf1,0.123746656,0.099877164,0.10298584
Tcf4,0.0758646,0.053641595,0.04233028
Cd300c2,0.011089268,0.00085814734,0.0024563498
Rarg,0.035038896,0.023095649,0.021144124
Tcf7l2,0.005064144,0.002328017,0.0036025285
Cxcr2,0.00267983,0.00036496576,0.0
Ctsl,0.046144396,0.035858996,0.015985467
Padi4,0.0064882203,0.003195324,0.0015738534
Ciita,0.006987506,8.293504e-05,0.001645811
Ifi204,0.049725723,0.033733446,0.030766219
Cbfa2t3,0.083895676,0.058887523,0.025884716
Csf1r,0.016050246,0.0005468738,0.001962708
Trim25,0.32559606,0.30018237,0.29267788
Atf3,0.022214035,0.0074883085,0.0032340821
Cd83,0.023148274,0.014840391,0.012166246
Tlr2,0.014420565,0.0043094372,0.004468171
Pirb,0.029509114,0.0052522263,0.003013258
Bst2,2.2850926,2.0474634,1.8523506
Cd74,0.216044,0.02529952,0.046193346
Ifngr2,0.008105834,0.001940107,0.0019436808
Zdhhc16,0.25741068,0.2522845,0.20906523
H2-Ab1,0.18433498,0.019723779,0.0501464
Irf8,0.4267875,0.4341989,0.3562074
Maff,0.032102518,0.02094773,0.025167665
Nr2c1,0.025278766,0.020329012,0.01114392
Treml2,0.032638922,0.018641451,0.018762691
Pou2af1,0.038879294,0.03462014,0.024490548
Ahr,0.031596083,0.025315428,0.012507702
Il6st,0.037869543,0.035485715,0.051191915
Cd160,1.0497444,0.9401293,0.8966253
Tnfsf4,0.006355806,0.0043186876,0.005236368
Il4ra,0.09184478,0.070464514,0.0670533
Cd200,0.033321977,0.02203638,0.017800806
Ccr7,0.1781337,0.04977009,0.062948585
Nfe2l1,0.20227422,0.13887161,0.16446567
Bcor,0.26385027,0.19609858,0.14443524
Tnfrsf9,0.84926844,0.6788865,0.6290192
Myc,0.47973144,0.32450137,0.23617345
Hivep3,0.05775394,0.048819948,0.036535285
Fosl2,0.099595316,0.10375797,0.08556278
Klf9,0.027828773,0.02441221,0.02149518
Ikbkb,0.20961279,0.19134296,0.23164175
Ssbp2,0.028871456,0.012211708,0.019841472
Zbtb16,0.005465357,0.003102332,0.0047226045
Sell,0.1311462,0.039761778,0.065163635
Btla,0.01981992,0.0149725815,0.011984446
Zbtb20,0.0906786,0.051654354,0.14248405
Taf4b,0.065125264,0.049003247,0.02244507
Tlr1,0.012065929,0.012623724,0.012378518
Nt5e,0.020519178,0.023903618,0.02004946
Zbtb10,0.013321511,0.009169108,0.0022366727
Tnf,0.18294284,0.21287586,0.15588759
Setdb2,0.14913419,0.17758101,0.15439957
Polr2k,0.23719035,0.25314468,0.24465652
Brca1,0.4252218,0.4827646,0.366911
Sfmbt1,0.13835987,0.20298894,0.09303693
Mcm3,3.740483,4.025479,1.968301
Ggt1,0.44628084,0.74785936,0.7095889
Chaf1b,0.90018153,1.1296813,0.66591096
Ncam1,0.0014848703,0.003897099,0.0044355127
Cenpk,0.39446777,0.43413144,0.29374307
Cd36,0.00014402207,0.00043586985,0.0
Lgals3,10.108298,13.910856,11.685073
Lmo4,0.33422366,0.33932427,0.24391751
Foxn2,0.35433307,0.38186863,0.34626484
E2f8,0.63374096,0.722312,0.5940614
Hmga1,0.030505074,0.029306782,0.018161824
Wdhd1,0.3479268,0.3595646,0.20790443
Mcm6,3.4459279,3.863414,2.1461477
Havcr2,0.59667486,0.6725105,0.5632484
Tsg101,0.60668844,0.6995137,0.65216565
Gabpa,0.22659734,0.2349684,0.19978988
Tle1,0.055494353,0.05188733,0.021970598
E2f3,0.3285247,0.35185736,0.2191668
Rbbp5,0.17583819,0.18983862,0.17365704
Fbxo7,0.21947174,0.26093352,0.19854663
Ccr6,0.0025399816,0.003538816,0.0017457545
Ctla4,1.0576918,1.4579189,1.4798126
Tnfsf8,0.08476324,0.066505484,0.037676606
Rel,0.8712747,0.90248734,0.8605801
Epcam,0.068776585,0.056783255,0.03371538
Cd9,0.5617645,0.6454127,0.569301
Tfdp2,0.06578712,0.077103734,0.06741849
Cd244a,0.022995768,0.029091606,0.015775444
Klf10,0.102689475,0.1443384,0.11430574
Atp1b3,3.9933035,4.72144,4.6230645
L1cam,0.049743485,0.07901971,0.08290791
Sema7a,0.1572908,0.15471321,0.13225786
Smyd4,0.040739547,0.04940666,0.034300163
Ncoa5,0.15588178,0.1448512,0.12980431
Fkbp1a,3.7394443,3.5912287,2.882782
Ptprj,0.049422503,0.05893015,0.06460266
Max,0.5066631,0.5167315,0.5170759
Zbtb17,0.11442415,0.11951676,0.118143044
Plxnc1,0.17352732,0.18053287,0.17007989
Gtf3c5,0.09242287,0.098657854,0.06485691
Cebpg,0.48065332,0.541665,0.3850905
Tnfrsf1b,0.31601378,0.36666784,0.35966495
Il1rl1,0.058753297,0.06648742,0.03487689
Zdhhc13,0.094618164,0.09548469,0.08148485
Notch2,0.16081385,0.21538188,0.21058415
Paxip1,0.45092487,0.5220643,0.36647546
Kdm6b,0.371617,0.4407937,0.4691169
Kdm3b,0.101031944,0.09967691,0.12395873
Atm,0.3317906,0.34993884,0.3129416
Phf19,0.089319594,0.092648625,0.072660804
Il2rb,3.084286,3.0969167,2.938862
Tbl1x,0.61012495,0.57817763,0.50341845
Nr4a2,1.0382463,1.4067606,1.4021686
Ikzf2,0.09004035,0.11988196,0.11198015
Zfp213,0.06838466,0.072739646,0.061512467
Brca2,0.41069594,0.42854786,0.3318387
Ing3,0.3520439,0.35097104,0.32644883
Hnrnpul1,1.132296,1.2400107,1.330489
Nap1l4,1.4720663,1.423682,1.225741
Ercc2,0.07037149,0.069641575,0.04406762
Cd46,0.00452673,0.0036711448,0.0037507915
Rela,0.35776135,0.40723872,0.39046428
Ikzf3,0.52646196,0.76482385,0.69488823
Pdlim1,0.67782027,0.8806459,0.7473876
Igf2r,0.30747634,0.56326413,0.5336961
Elf2,0.48448542,0.552809,0.4793465
Phip,0.6360095,0.7005937,0.6941548
Atad2,1.8608603,2.304194,1.8341497
Timeless,0.58484155,0.6898456,0.4162709
E2f1,0.40050766,0.613417,0.18563628
Kdm4c,0.104656264,0.14505038,0.13929881
Mcm2,1.6253461,1.7438871,0.8380286
Notch3,0.0026818279,0.0044651106,0.00366313
Dnmt3a,0.07301155,0.085654095,0.06493209
Cxcr6,1.0415604,1.3769113,1.3990191
Nfxl1,0.073067814,0.06535104,0.061239447
Ankrd10,0.47582898,0.49380758,0.45733884
Itgb3,0.12047302,0.11859601,0.09356228
Ovol2,0.015614679,0.024355216,0.015750298
Zfp277,0.20906584,0.21802343,0.21508029
Taf3,0.4855251,0.5330843,0.42840844
Zdhhc21,0.23336492,0.26373154,0.1859887
Psip1,2.1077173,2.2015312,2.0273154
Pdcd1,0.4526038,0.4811261,0.3368845
Tcf19,0.5718002,0.8940741,0.549564
Ubn1,0.81395847,0.8645655,0.8328802
Rfc1,1.2613738,1.3913614,0.79954034
Lair1,0.253228,0.36423683,0.2505049
Ascc3,0.33350733,0.3955584,0.39319965
Mcm5,2.9225078,3.2698896,2.162972
Hat1,1.8866835,1.9260881,1.4178811
Zfp422,0.061230518,0.05878083,0.035441484
Zfp553,0.054067228,0.06174499,0.045946326
Pbx4,0.04175703,0.04568557,0.038403686
Zfp275,0.048349105,0.04451874,0.03587945
Slc3a2,0.9617605,1.0743514,1.0892311
Prmt6,0.027195299,0.025254948,0.015645515
Tgif2,0.059799384,0.05660755,0.05964726
Pml,0.22453083,0.25506505,0.2448139
Bbx,0.18206339,0.2150699,0.21357682
Baz1a,2.3665621,2.2761624,2.0956714
Nr4a3,0.078764774,0.09494445,0.10816433
Nfkbiz,0.9746974,1.2396929,1.2713699
Gadd45b,1.0300016,1.2262796,1.044478
Mafk,0.13045494,0.14534552,0.13556561
Per1,0.092345215,0.1218905,0.1289657
Etv6,0.16507074,0.18598872,0.16405345
Pcgf5,0.4127615,0.44772798,0.31568834
Jade1,0.29571646,0.30670783,0.2021771
Adam8,0.07846063,0.11219799,0.112307765
Baz2b,0.073291,0.07804707,0.060028754
Zbtb39,0.013240244,0.015194802,0.00849683
Fus,1.60018,1.669223,1.5577344
Prpf4b,1.3345088,1.4040954,1.2089854
Snai3,0.1739014,0.22186616,0.22255053
Cbx4,0.53384113,0.5998015,0.59223616
Btbd11,0.018925767,0.027020717,0.02107683
Baz1b,2.1116643,2.2911499,1.9171706
Mcm7,2.2851474,2.6002443,1.7475593
Tshz3,0.0025449926,0.009054348,0.011133834
Zfp382,0.041671272,0.07331779,0.06826954
Phf2,0.20004095,0.24792647,0.23599122
Rpa3,1.8591654,1.9930652,1.8539739
Mbd4,0.16796444,0.21041891,0.14143772
Trgv2,0.022097085,0.034993865,0.032033738
Pms1,0.11293374,0.121181235,0.07376467
Tbc1d2b,0.10607073,0.13098219,0.13016008
Ctnnbl1,0.5254736,0.5057865,0.5145224
Msl3,0.43486977,0.4472559,0.38555574
Sla2,0.40313622,0.5218741,0.672999
Vax2,0.025389308,0.030113908,0.03352896
Kcnip3,0.0015430769,0.0005827749,0.0023807816
Klrc2,0.05012553,0.054860733,0.12381224
Abcb1a,0.09039895,0.115851715,0.21312624
Cd2,2.702344,3.861462,5.022931
Itgax,0.22820547,0.5073573,0.68446296
Cd52,1.0545148,1.7020692,2.1805744
Kat2b,0.09967673,0.09784618,0.115780495
Foxm1,0.08648201,0.09441572,0.1800614
Zfp113,0.028933965,0.02648891,0.039741073
Foxn3,0.384747,0.55833673,0.8682658
Il18r1,0.75829184,0.63140494,0.9988874
Itga1,0.07972745,0.107551284,0.20043495
Itgal,1.2542442,1.800481,2.1395972
Cd37,0.48486057,0.6993865,0.9257723
Klrd1,0.9963103,2.2231972,3.1250541
Chd6,0.13359645,0.12340242,0.17659311
Ash1l,0.42232507,0.45902616,0.51794696
Mxd4,0.09714935,0.15903723,0.23904298
Notch1,0.35591686,0.3415756,0.45530042
Nmi,0.69176114,0.98403007,1.058969
Slamf7,0.58201164,0.7920142,1.0695926
Irf9,0.24640977,0.29957438,0.5030714
Cbx7,0.10031258,0.07529428,0.12608142
Sp100,1.2130772,1.6865594,2.761898
Cd44,0.54107857,0.5888967,0.75590074
Cd8b1,7.176136,10.493559,12.572537
Fasl,0.1470493,0.29033223,0.40387413
Btg1,1.2094738,1.2490566,2.2508245
Pbrm1,1.5020771,1.3848014,2.1196058
Sp110,0.53930247,0.75166994,0.9981655
Ddit3,0.13481611,0.16413315,0.22158156
Tnfrsf1a,0.118906476,0.10395975,0.14277105
Sp4,0.22549224,0.2950691,0.5300247
Bcl11b,1.4703374,1.7045246,2.1962085
Zkscan14,0.042137712,0.042699452,0.07383411
Cd96,0.2775119,0.44934392,0.6146607
Ets1,2.3261302,2.6650226,3.4071662
Mybl1,0.031622376,0.03763965,0.05891799
Adgre5,0.8116948,0.92267543,1.124427
Nfya,0.14428261,0.17868105,0.23603065
Ncoa4,0.014419511,0.01372475,0.018880673
Creb1,0.5241724,0.5715112,0.7621185
Polr2a,1.1355586,1.1101389,1.4952829
Ezh2,2.6905904,2.6666846,3.4535263
Tnfaip3,1.295681,1.8110689,2.543919
Adam10,0.55018574,0.6160317,0.6734378
Zfp143,0.15133087,0.13660616,0.21231258
Foxj2,0.046017036,0.061070528,0.07662729
Mllt3,0.6549206,0.6278319,0.77270925
Ly6e,6.656611,7.6762094,9.881867
Suv39h1,0.36365744,0.32773736,0.4182866
Zeb1,0.14723295,0.16007206,0.1913468
Brd8,0.51572114,0.4576221,1.011997
Cnot6l,1.3995179,1.6041322,1.7438306
Rbl1,0.23779705,0.36198986,0.5678744
Cd226,0.4232651,0.5359287,0.9901427
Kmt2a,0.75948745,0.6945312,0.8512593
Apc,0.16859978,0.18023333,0.22400887
Nfatc1,0.1581448,0.15985343,0.26770103
Atad2b,0.28157827,0.28937393,0.3188321
Espl1,0.17463346,0.13247663,0.3913595
Asxl1,0.44905895,0.38629597,0.6226914
Rsf1,0.46620116,0.46271446,0.5460146
Zscan21,0.04464784,0.037155405,0.06680309
Maf,0.037654847,0.051098544,0.09931208
Aurkb,0.61131555,0.85638255,2.2889872
Zdhhc2,0.101979144,0.14608455,0.16008818
Arid1a,1.0913233,1.1504598,1.4078293
Brip1,0.33790797,0.47146714,0.4805227
Mef2a,0.18747255,0.25807214,0.31228992
Dnmt1,2.1722794,2.50116,2.5896282
Hnrnpr,1.4902906,1.3582339,1.4900025
Pcmt1,0.6101671,0.6879411,0.74716043
Rbbp4,2.5557873,2.6201637,2.752145
Ctcf,0.9714112,1.0111862,1.4663079
Taf1,0.4641602,0.53145194,0.5527406
Nfyb,1.0486596,1.1107103,1.4265561
Sin3a,0.3823015,0.3820033,0.40088505
Nsd2,0.9969814,1.0742123,0.93676335
Top2b,1.2356817,1.2020825,1.4753962
Sp3,0.84354687,0.8691446,0.94638014
Kntc1,0.21611315,0.19572957,0.24201764
Ewsr1,1.8350842,1.7733992,1.8513353
Stat3,0.62410414,0.6586033,0.7914219
Zhx2,0.023214808,0.017487492,0.026983572
Hdac1,1.8613039,1.8065323,1.9229867
Xab2,0.19119874,0.22121811,0.23612756
Ncor1,2.1169686,2.027647,2.6737344
Hdac7,0.53370506,0.6723895,0.74877155
Sub1,15.233599,18.165176,19.203087
Ighd,0.006051101,0.002766266,0.011860371
Tox,0.18521155,0.17923284,0.26253137
Klra3,0.017268252,0.0434089,0.057675425
Tox2,0.012098872,0.013678532,0.014182573
Atf6,0.25456077,0.2934477,0.3051363
E4f1,0.0937806,0.10090536,0.14354108
Mbd2,3.8470502,3.470976,3.901848
Trp73,0.004577126,0.0066714087,0.0074926806
Foxp4,0.11630539,0.11535853,0.14490989
Hist1h2bp,0.019986155,0.03190615,0.046334974
Ankra2,0.11636635,0.12794961,0.13170442
Cd84,0.1576998,0.16494597,0.24510588
Fosb,0.6237713,0.8085962,0.76304275
Meis3,0.032542683,0.039798416,0.04960406
Tcf12,0.2034435,0.2309738,0.2574321
Ube2b,2.0682535,2.0710828,2.400831
Irf2,0.7024859,0.85161144,1.1200647
Hdac6,0.04706267,0.038627367,0.049355138
Rnf19a,0.17679377,0.21747665,0.30438158
Zfp236,0.084787905,0.09281317,0.10487597
Ar,0.12428849,0.09703095,0.15446909
Pou2f2,0.67115337,0.743138,0.8794562
Crebzf,0.1900255,0.22113383,0.24067986
Nr1d2,0.028050832,0.024593253,0.03433091
Rbl2,0.21715376,0.24051139,0.3253554
Itgb1,2.452262,2.2761166,3.0460107
Zbtb38,0.21244216,0.214472,0.28814235
Tet3,0.17660202,0.18868376,0.19796959
Cd80,0.018793274,0.014697693,0.03339963
Pbx3,0.022202665,0.0348154,0.03227856
Phc2,0.29048547,0.31210133,0.34537262
