,AllAct_P2,AllAct_P6,AllAct_P8,AllAct_P9,AllAct_P10
Dnmt1,2.174091,1.5087966,1.1422373,0.6534704,0.6697392
Rad51,0.16924573,0.08175318,0.025870737,0.0051491973,0.0033646151
Nsd2,1.0004604,0.5806739,0.44723514,0.27350026,0.2815347
Thrap3,1.6181651,1.2810633,0.9789826,1.0391593,1.0174654
Taf1,0.46724844,0.38359907,0.344823,0.33954716,0.33558255
Cnot6,0.98787,0.84435946,0.7004647,0.58438104,0.6256579
Brd7,0.6342413,0.5520389,0.502159,0.5034761,0.49001676
Irf4,0.35063356,0.33623898,0.29634416,0.27087486,0.15081657
Wdhd1,0.34737918,0.20494097,0.12884574,0.056246802,0.05983706
Espl1,0.1740298,0.09604434,0.02696557,0.012169295,0.014127606
Sf1,1.416923,1.0595319,0.8586311,0.90076035,0.9219541
Srrm1,2.1538813,1.6430964,1.4823021,1.6248194,1.6151471
Trip13,0.6079801,0.35197645,0.09496978,0.028643806,0.035703994
Tcof1,1.8984591,1.2710644,1.1134986,0.99746794,0.85603905
Cdc5l,1.5395153,1.3338763,1.2228167,1.230904,1.212531
Il2ra,0.49223197,0.25175166,0.16015144,0.114978544,0.07225398
Eif5b,2.8539186,2.113875,1.8309478,1.547989,1.4781872
Supt16,3.8842375,2.6703575,1.6411098,1.1591462,1.1795944
Tcerg1,1.2906367,0.75610983,0.6362933,0.49468008,0.47411588
Polr2b,0.8022809,0.61331385,0.43994132,0.429624,0.4579409
Foxk2,0.23361476,0.17035317,0.17259602,0.14689507,0.12011799
Smarcc1,1.4948792,0.86740327,0.6378304,0.4297702,0.4906849
Fus,1.598538,1.4879427,1.1373272,1.2282214,1.0600593
Paxip1,0.45466235,0.31640315,0.28711048,0.17508672,0.19936939
Mcm5,2.9256666,1.9488292,1.080456,0.33599722,0.19650018
Hat1,1.8857924,1.0978528,0.68581617,0.44640824,0.43465164
Hnrnpd,4.6731977,3.464078,2.7438338,2.3294706,2.2231665
Parp2,0.5321174,0.4284845,0.23102452,0.20216429,0.16691343
Mcm4,1.1726393,0.8155887,0.48158348,0.23946343,0.17736126
Timeless,0.58813226,0.4820495,0.2855497,0.08419436,0.074519984
Rbbp7,2.9315004,1.9038553,1.2375741,0.820749,0.84548134
Epas1,0.18026666,0.1675539,0.14333066,0.12816092,0.15733142
Hdac1,1.8655918,1.7205734,1.4438524,1.0450033,0.98524565
Chaf1b,0.89691526,0.71299684,0.48580477,0.29803783,0.19468978
Mcm2,1.6282175,1.1050653,0.8370987,0.25017515,0.20386092
Rbbp4,2.5471742,2.0493035,1.3463304,1.3062844,1.2908779
Nap1l1,4.220003,2.6750998,2.790751,1.1395724,1.2015709
Tcf19,0.56484425,0.33756295,0.16074899,0.09490217,0.115081966
Mcm6,3.4567628,2.6306574,2.3142807,0.91707915,0.8472755
Dek,5.077212,4.306335,2.3217251,1.840145,1.9982527
Mcm7,2.2911038,1.4994897,0.9065561,0.2935472,0.24814905
Mcm3,3.745453,2.583647,1.460982,0.5167843,0.37076223
Atad2,1.8560793,1.0999649,0.68879825,0.49724624,0.5549716
Actl6a,1.362931,1.1615269,0.620215,0.56471485,0.45915636
Rfc1,1.2665081,0.73346156,0.58399165,0.421895,0.42709905
Uhrf1,1.6251482,0.793687,0.31726956,0.09181531,0.04826986
Baz1b,2.1157312,1.5248202,1.240183,0.98747367,0.9661046
Brip1,0.3382018,0.19932708,0.118234485,0.02460247,0.023028966
Ash2l,0.59423345,0.38053125,0.4616432,0.37393144,0.35862178
Tial1,0.9030123,0.7160992,0.65822506,0.4272983,0.4575219
Hdac2,0.89953,0.527957,0.32779443,0.28387204,0.31826252
Dpy30,2.8430579,2.1377356,1.3299139,1.0823102,1.077485
Ybx1,17.79573,13.321297,7.049733,5.873191,5.4675603
Snrpb,6.3701863,5.0378075,3.8225524,3.2630174,3.156978
Ctr9,0.4245685,0.36989045,0.36404946,0.34026462,0.32017043
Men1,0.07620991,0.05888836,0.042832524,0.032485757,0.042283684
Mxd3,0.4051573,0.19646734,0.07838283,0.019480864,0.017297143
Aurkb,0.6084091,0.24903925,0.16525689,0.06275723,0.03785602
Ezh2,2.7050936,1.4278436,0.93606406,0.54846966,0.63402945
Cxcr4,0.5111489,0.2763402,0.34779167,0.25732943,0.2522604
Myb,0.3340283,0.17735972,0.19679467,0.077515975,0.022212032
Batf3,0.1786385,0.003708261,0.0027320853,0.00047438932,0.0030528246
Fubp1,0.9689651,0.5842865,0.6434789,0.48169848,0.34163213
Pdcd11,0.4080989,0.25234544,0.23498653,0.26823908,0.18007484
Tnfrsf8,0.0454815,0.010428995,0.004472706,0.007202701,0.020342603
Xrcc6,0.37522373,0.23697215,0.17562114,0.14200468,0.13752851
Cebpz,1.1111162,0.8819135,0.68652266,0.8045971,0.76251566
Hdgf,3.8429344,2.8777883,1.5294741,1.300326,1.3714356
Apex1,0.59055406,0.21260753,0.19210337,0.1401965,0.060267266
Ruvbl1,0.78944707,0.410989,0.31155324,0.1882332,0.16708466
Mybbp1a,1.0929629,0.38786823,0.41171512,0.34294596,0.28753212
Setdb1,0.2621918,0.20161961,0.18139078,0.18794931,0.2176172
Trim28,0.9685467,0.52120763,0.38305005,0.30672514,0.34492758
Pwp1,0.34878305,0.25789768,0.21660952,0.18926051,0.19175813
Prmt7,0.31706193,0.20361668,0.13668382,0.10637692,0.068590045
Ecd,0.3460277,0.26487526,0.20510508,0.20674254,0.25919622
Prmt5,0.5503421,0.32202125,0.22247076,0.25033483,0.20849457
Smyd2,0.24093382,0.06218789,0.07795504,0.032683387,0.022637682
Gtf2a2,1.0609255,0.8910005,0.97136074,0.8204081,0.8554414
Bop1,0.5630355,0.36199662,0.32565385,0.29027024,0.25410557
Bcor,0.26389366,0.1517004,0.1747007,0.19902518,0.23094687
Ctcf,0.9731718,0.8113157,0.8115493,0.83596885,0.893811
Abcg2,0.030321741,0.010024163,0.011385231,0.010624931,0.017673686
Khdrbs1,0.8141397,0.597787,0.43144655,0.45745298,0.45769036
Bclaf1,1.3402424,0.91826254,0.8146659,0.9031311,0.8373918
Gtf2e1,0.14803411,0.09368943,0.09736645,0.08475682,0.09075249
Upf1,0.6937332,0.5857832,0.43850926,0.563279,0.5813462
Jade1,0.2946997,0.15729631,0.17184065,0.20954533,0.16475388
Fubp3,0.059896495,0.031808805,0.042913564,0.0456767,0.02511994
Gtf2h1,0.45442492,0.34493732,0.3092407,0.37624598,0.3484715
Mphosph8,0.84670126,0.58970666,0.57507044,0.54272294,0.5873582
Ivns1abp,0.80419403,0.6213693,0.44011754,0.5988012,0.59918284
Wdr5,0.48334435,0.35567993,0.17739299,0.22927642,0.22231238
Gtf2h2,0.18538737,0.1620812,0.09305249,0.11319785,0.09883704
Orc1,0.23054078,0.15074563,0.04920926,0.014638571,0.00571989
E2f3,0.32826152,0.21355225,0.16337237,0.10224096,0.08926711
Tfdp1,1.1272173,0.57749283,0.4078288,0.18595439,0.15442
Chaf1a,0.40517494,0.2506934,0.13031374,0.031546917,0.028429398
Pnn,3.0165093,2.8052614,2.3394396,2.0929632,2.147749
Ttf2,0.266158,0.15495676,0.13404547,0.13121974,0.1139295
Suv39h1,0.3644763,0.22476271,0.12909226,0.069963954,0.084833845
Elp3,0.20892073,0.15856326,0.13347965,0.12498628,0.1750259
Smarca5,4.391671,2.837779,2.0271425,1.811408,1.7330385
Hnrnpab,8.409473,5.235089,2.8633285,2.1311588,1.9377658
Papola,1.5760587,1.359122,1.0833062,1.0891434,1.216343
Nono,1.0268488,0.80716974,0.65002346,0.50767696,0.49516994
Hnrnpk,6.5848823,5.8866186,4.5575314,4.1890287,4.1292105
Zranb2,1.0843734,0.8324316,0.85443324,0.60036814,0.5228384
Cops5,1.0227702,0.8693597,0.7013259,0.5003856,0.4523278
Hmga1,0.030894585,0.016596867,0.004223515,0.010963201,0.0073291217
Cbx1,1.2764126,1.0099497,0.55909085,0.45156777,0.46935424
Mycbp,0.42233357,0.3046397,0.19360669,0.16263273,0.16598457
Rpa3,1.8587987,1.456783,0.7800089,0.5575803,0.54414546
Cbx3,0.2740787,0.2201603,0.14823626,0.09135479,0.095814556
Snrpd1,2.434848,1.6502931,0.8279417,0.6404687,0.46576622
Polr2i,0.89003164,0.8119779,0.73264253,0.5915433,0.6192843
Hells,2.3930733,1.2982184,0.72047186,0.2009207,0.19069408
Gtf2f2,0.67441195,0.5489613,0.41935113,0.4064067,0.41251084
Gtf3a,1.5819328,1.2223713,0.95022696,0.83850586,0.6786929
Pa2g4,4.0770926,1.7336903,1.1411109,0.86880827,0.6869091
Ssb,4.903245,3.9992936,2.890381,2.6866484,2.6541786
Ruvbl2,0.3436379,0.2007208,0.108634666,0.091908306,0.08089691
Gtf2e2,0.6738651,0.47723404,0.3227047,0.30548772,0.2768771
Polr2f,2.6879706,1.6996155,1.3282009,1.136454,0.93853915
Polr2h,1.3229584,0.86377156,0.6826568,0.49410078,0.39163622
Atf1,1.013483,0.9213442,0.69197035,0.7064952,0.6573603
Ddx20,0.17207016,0.09686975,0.09509046,0.07110375,0.07193055
Rnps1,0.6277487,0.46419436,0.31305218,0.29846257,0.3572188
Prmt1,2.8813298,1.585855,1.2360175,0.8608137,0.7642299
Sap30bp,0.3781685,0.3249509,0.34974533,0.3364824,0.31714144
Aatf,0.4450363,0.28441256,0.24210438,0.2250998,0.23139283
Prdm5,0.012476768,0.0013986913,0.004016975,5.583277e-06,0.0
Pias2,0.1699366,0.105767086,0.12382991,0.1489648,0.14847405
Thra,0.017161356,0.0069836588,0.007452821,0.011475792,0.00955806
Sirpa,0.016913345,0.0049424763,0.0058748526,0.008153217,0.006208274
Padi4,0.0070421924,0.0025787032,0.0005394734,0.00079787703,0.0005094382
Il6ra,0.030795848,0.01625454,0.014026029,0.019770099,0.010745206
Sell,0.13097562,0.043936856,0.06036576,0.095762834,0.043046016
Ctsl,0.047071673,0.03156929,0.015229226,0.021071473,0.02834054
Gtf3c4,0.07894609,0.05080762,0.07117574,0.05478278,0.06578087
Treml2,0.03298865,0.020097433,0.01419791,0.023152847,0.0047277203
Klf4,0.29163048,0.16158664,0.044427134,0.1891112,0.13437353
Ccr7,0.18235266,0.039330192,0.016634196,0.072357945,0.0065346644
Il1r2,0.028752675,0.013661937,0.01801865,0.0055518737,0.0032841188
Igf1r,0.0047519202,0.000675433,0.00020542594,0.0017443547,0.0018103279
Eng,0.0028740345,0.00025290577,0.0025369984,0.0022036573,0.0012023458
Polr3d,0.19952212,0.15560065,0.14351328,0.15507537,0.10456344
Mbd4,0.16870384,0.14110477,0.08735349,0.05115227,0.06910367
E2f1,0.40474626,0.25444597,0.27900288,0.03945298,0.017271424
Pcgf6,0.25134563,0.16526467,0.14308335,0.13165656,0.09306721
Tnfsf4,0.008008337,0.0038928336,0.008364842,0.0052054217,0.00016411516
Cnbp,3.9094708,2.9462864,3.2661624,3.4394624,3.615507
Hnrnpr,1.50666,1.1645725,1.1482948,1.0644889,1.0529273
Batf,2.2941523,1.8431877,1.5765312,1.215452,0.80206895
Tnfrsf4,0.19516368,0.056589015,0.1710444,0.028560415,0.017071666
Cd22,0.040673178,0.014201039,0.011302056,0.007302671,0.0053235814
Ets2,0.088034555,0.072565526,0.053894166,0.050622843,0.033499397
Ccr6,0.0037201892,0.0017418814,0.0013804549,0.0008199418,0.0
Hlf,0.027075017,0.018710878,0.0119879125,0.01771283,0.009632931
Tnfsf11,0.008332307,0.0022757133,0.0009712364,0.002646144,0.00010744659
Tnfsf8,0.0993063,0.057589646,0.15977092,0.0844492,0.030948102
Tnfrsf9,0.8885154,0.76141226,0.5218269,0.15026958,0.061575487
Hif1a,0.47015688,0.41331643,0.41783807,0.2897632,0.21633875
Nfkbib,0.4670731,0.64760464,0.58259034,0.6182349,0.461334
Actb,122.12976,187.23076,141.25986,148.08879,134.87546
Fhl2,0.3700397,0.5074534,0.45359346,0.39109677,0.35441205
Zdhhc2,0.10371399,0.12897594,0.104064174,0.08006212,0.06657979
Hmgb2,17.601398,22.032242,5.6007314,4.193128,3.9559205
Tnf,0.1759598,0.17754091,0.07349501,0.13442332,0.052460343
Brd9,0.6582653,0.7706021,0.45271447,0.5276529,0.7397347
Hmgb3,0.7602794,0.7283621,0.25805402,0.08382843,0.07269219
Pbx4,0.041195843,0.0420887,0.035364095,0.027154807,0.015602741
Cd9,0.57251066,0.99985516,0.921378,0.5341216,0.2759175
Ikzf2,0.10275899,0.14562564,0.14683211,0.06884467,0.039440516
Cd48,7.0560193,10.524677,7.7250977,6.801554,7.4868827
Cbfb,1.1564142,1.1591145,0.93223673,0.69156224,0.70622283
Nfyb,1.0512571,1.1056522,0.917614,0.78254974,0.79282093
Med21,0.08427905,0.07565783,0.03925882,0.049431946,0.051444646
Gtf2b,1.0011569,1.0172024,0.78433245,0.84595406,0.9163588
Cxcr2,0.002934883,0.0026596452,0.0,0.0003917065,0.0008777426
Hmmr,1.5676786,1.5577084,0.14725943,0.05373704,0.036612023
Fkbp2,1.9913512,2.630032,1.0929784,0.5157723,0.3441666
Taf15,0.9823553,1.0212522,0.61478364,0.7224763,0.7361918
Ggt1,0.4391136,0.8199257,0.2214862,0.26838383,0.04961267
Ehmt2,0.49924234,0.6408723,0.58138627,0.515722,0.59654313
Polr2k,0.2375924,0.24715371,0.16309285,0.14025642,0.16950186
Tsg101,0.60818124,0.5997124,0.5788953,0.49507,0.5161345
Klra1,0.0033434078,0.023945577,0.0042560557,0.024174144,0.0036677693
Klf8,0.029591188,0.026685359,0.023651846,0.011896719,0.008283409
Fosl1,0.011798257,0.009761671,0.002734444,0.0019270078,0.0011531203
Hmg20b,0.1988288,0.20295475,0.24520761,0.17285356,0.18168178
Cd80,0.020882377,0.04495715,0.17093566,0.06773945,0.08215353
Cd44,0.54210675,0.64586794,1.3065907,1.2307554,0.75019854
Ankrd55,0.02251202,0.016096303,0.023651073,0.0061527784,0.005636019
Fbxo17,0.027098343,0.014746694,0.04188151,0.017743882,0.013846917
Zfp512,0.07454351,0.0755973,0.16782178,0.09910671,0.10267521
Entpd1,0.029487656,0.06709044,0.14668112,0.08388645,0.09678544
Setbp1,0.03480263,0.05217639,0.25240457,0.10095389,0.05146331
Pecam1,0.10358892,0.12151643,0.3501869,0.3165834,0.108232036
Hdac7,0.53390026,0.6562187,1.2047789,1.0511563,0.8123949
Il18r1,0.7639922,1.1996357,3.0555742,2.502638,2.041736
Ighm,0.64775014,0.923013,1.7128975,0.8639594,0.37763894
Crtc1,0.026580153,0.019589337,0.072563216,0.036885824,0.029198166
Sla2,0.41383708,0.62363404,0.8197158,0.45799854,0.47088918
Dnmt3b,0.045155957,0.03321067,0.12021266,0.047761567,0.06380654
Ifngr1,1.6673418,3.0549097,4.653893,4.5377746,3.6317692
Irf9,0.24537413,0.4679547,0.96405715,0.8225257,0.6587738
Adam8,0.081814975,0.15025781,0.2558172,0.19475569,0.06855146
Jdp2,0.18523751,0.13717777,0.26451367,0.09697011,0.05952473
Slamf1,0.13470215,0.21451841,0.34128842,0.24304895,0.21838315
Pml,0.2243523,0.23036858,0.39182267,0.308903,0.2588768
Foxp4,0.12049433,0.14025053,0.29484746,0.21493025,0.18673284
Cd200,0.036095984,0.030642107,0.088324115,0.02011637,0.007848876
Ar,0.12855132,0.15296425,0.40703362,0.2995836,0.29057008
Irf8,0.44285125,0.42657903,1.1926199,0.25954893,0.14592163
Prdm1,0.50498086,0.44509697,0.56634086,0.35279256,0.4323531
Hivep3,0.06342184,0.061834853,0.24423897,0.017875621,0.017699102
Il10ra,0.09446063,0.20281173,0.5643297,0.2649019,0.23249172
Zbtb38,0.22083564,0.3288524,0.78456634,0.50404084,0.72813326
Sema7a,0.15557207,0.1816527,0.3015011,0.07300109,0.038666654
Tox,0.22138502,0.3106225,1.5404233,0.2927286,0.1306614
Elk3,0.28056487,0.40892726,0.5823562,0.42065558,0.54724765
Eif2ak2,0.33361483,0.33012807,0.56658834,0.4116341,0.24947155
Kdm4a,0.193071,0.293092,0.3577766,0.32174745,0.3090881
Stat2,0.04668962,0.071981914,0.2260326,0.15903495,0.095123574
Ikzf1,1.7906322,1.9104675,2.8181376,2.440874,2.3966978
Foxn3,0.38931045,0.5247175,1.9804839,1.3659085,1.7588251
Nab1,1.3552325,1.4647743,1.7405357,1.2089125,1.5184313
Lag3,0.36908123,0.7341537,4.2645764,0.3819674,0.1751436
Alcam,0.3047438,0.32273608,0.6313325,0.31000888,0.22211601
Pou2f2,0.6939807,0.9277659,2.0857918,1.819257,1.7968171
Fiz1,0.11173482,0.11237946,0.17347969,0.13087575,0.11220253
Zfp213,0.06969393,0.06421539,0.11000163,0.06882193,0.069689184
Tbl1x,0.61813253,0.43269345,0.5894867,0.4875955,0.44318533
Prmt6,0.026672797,0.028394753,0.039690956,0.03013682,0.021420583
Itgb3,0.12528588,0.12413821,0.17561851,0.13984542,0.07269102
Adam10,0.54708415,0.6134783,0.93134755,0.75240827,0.75586975
Drap1,1.0231735,0.9097723,1.1622297,0.95620275,1.0191605
Zfp553,0.05367777,0.066656634,0.076876834,0.051603295,0.058645826
Vax2,0.03221972,0.041338492,0.23319736,0.034658074,0.02676308
Pdcd1,0.508113,0.5581105,1.5588578,0.17026587,0.09797709
Pcmt1,0.61521316,0.75581646,0.7793178,0.4905279,0.48460647
Il1rl1,0.06927355,0.08553538,0.4789482,0.038877092,0.057656966
Cd160,1.1008785,1.16985,2.6767695,0.5452751,0.42945883
Trps1,0.20751697,0.1772385,0.39556885,0.22734132,0.22916435
Ccr9,0.09984891,0.131613,0.3469098,0.022329953,0.020993503
Zdhhc13,0.09646017,0.07448382,0.11175404,0.088724546,0.0946559
Mbd1,0.17147687,0.14977494,0.21461639,0.18567643,0.17733328
Setdb2,0.14904685,0.12920193,0.22168171,0.18851937,0.13253416
Ncam1,0.00142389,0.0035771518,0.008511489,0.0013683371,0.0005811285
L1cam,0.04966387,0.08570988,0.17113455,0.1002557,0.15389659
Zfp277,0.20922466,0.23107849,0.31648877,0.28534704,0.2594949
Trdv1,0.008543422,0.012885829,0.028089505,0.011346062,0.020051556
Mllt3,0.66547686,0.5817841,0.81047493,0.7657267,0.6511028
Tbc1d2b,0.10711087,0.12541497,0.24815942,0.18726866,0.18754558
Plxnc1,0.1728596,0.17028415,0.22225483,0.19555444,0.10928488
Snai3,0.17504066,0.18711948,0.3023289,0.26581123,0.16771123
Baz1a,2.3728192,2.1175408,2.3549378,1.534679,1.5209422
Sub1,15.157484,19.146433,22.229095,16.952034,11.949369
Cd38,0.05170677,0.08600265,0.22566757,0.14861058,0.09461675
Cd200r1,0.007587038,0.009445127,0.023457447,0.008234116,0.012129191
Tnfrsf1b,0.32718733,0.42876115,0.66057783,0.44608513,0.33109084
Pbx3,0.023988415,0.019877767,0.084305465,0.03351809,0.023534533
Ebf1,0.006479665,0.009524842,0.024855042,0.008552398,0.0005916679
Smyd4,0.040687658,0.03910161,0.041655377,0.0250057,0.031727724
Tcf4,0.08046648,0.06704828,0.16749345,0.074017316,0.10360755
Trgv2,0.022021685,0.027469322,0.027591994,0.0077478546,0.0068163243
Btla,0.01987403,0.025632227,0.04829357,0.024078103,0.012440325
Nr2c1,0.025885371,0.019876534,0.039201643,0.029744964,0.021412158
Crebzf,0.19045961,0.20863195,0.37143135,0.3156233,0.32946572
Zfp444,0.1143747,0.08833304,0.1757592,0.1543132,0.14968804
Ercc5,0.07795511,0.08005155,0.17075941,0.15112014,0.13468818
Lgals3,10.052307,15.965123,18.65257,5.937031,4.850208
Cd47,7.5031347,10.0598135,10.873374,10.606956,9.366101
Itga2,0.029348655,0.078641385,0.107838474,0.083097935,0.060091432
Max,0.52019835,0.5487436,0.824596,0.7070603,0.6528923
Zdhhc16,0.25932539,0.201014,0.2509962,0.15310031,0.16828401
Cd244a,0.02398204,0.044864748,0.03767767,0.007036491,0.009703254
Ncoa4,0.014828637,0.018862994,0.019788373,0.011641015,0.015811363
Ighd,0.0063511455,0.008590717,0.033184804,0.008207179,0.0039709
Maf,0.038791217,0.10075757,0.3097277,0.11485226,0.07336336
Il2rb,3.0888476,3.4951046,3.8196914,2.255752,2.0214386
Havcr2,0.59611034,0.6984054,1.1096526,0.31278908,0.29964724
Maml3,0.006877524,0.0035852646,0.016632797,0.002916294,0.0032643587
