,Arm_P2,Arm_P6,Arm_P8,Arm_P9,Arm_P10
Bmpr1a,0.010631439,0.0042792386,0.0,0.010277792,0.008390996
Ilf3,0.41223213,0.30967155,0.18010119,0.27610174,0.34392744
Tnfsf8,0.08476324,0.028411835,0.046224535,0.08404031,0.031013051
Maff,0.032102518,0.026546195,0.014511213,0.035019193,0.021830674
Klf4,0.28223565,0.16652621,0.07433416,0.18973306,0.13433547
Zbtb10,0.013321511,0.003263301,0.0,0.0021398207,3.448863e-05
Epcam,0.068776585,0.036903825,0.013574574,0.025374554,0.0019651342
Pcgf5,0.4127615,0.334527,0.20989633,0.27685103,0.17686844
Dach1,0.0023995726,7.328115e-05,0.0,0.00016361718,0.00015655921
Pbx1,0.0010306883,0.0,0.0,1.7058434e-05,0.0
E2f6,0.04360465,0.024745958,0.012812902,0.012174757,0.0072155846
Hat1,1.8866835,1.1670561,0.6515703,0.4455562,0.43424466
Atad2,1.8608603,1.1762214,0.60932064,0.49578902,0.55503184
Brca1,0.4252218,0.20808733,0.0692759,0.026487129,0.02228858
Trim27,1.0709002,0.8128731,0.5719249,0.58148307,0.52737385
Rbbp4,2.5557873,2.0851736,1.3763949,1.304128,1.2910776
Tle1,0.055494353,0.022994068,0.011285573,0.0348196,0.036884867
Rfc1,1.2613738,0.7500905,0.5377316,0.4208587,0.4264237
Mybl2,0.138071,0.07702463,0.011362956,0.011033652,0.0036802532
Hdac3,0.54316664,0.49006268,0.32314873,0.32077548,0.31027856
Mxd3,0.41298255,0.22887436,0.024214104,0.01865264,0.017333442
Rnps1,0.6263679,0.45526978,0.3223015,0.29806378,0.35731435
Aurkb,0.61131555,0.28142917,0.04372488,0.06203832,0.037835564
Srrm1,2.1359398,1.6138015,1.3012403,1.626807,1.6162269
Polr2b,0.7938031,0.61623096,0.41669366,0.4287116,0.45836097
Supt16,3.8727534,2.742579,1.604913,1.1545727,1.1792324
Thrap3,1.6170985,1.2476357,0.9589346,1.0369437,1.0170883
Ctcf,0.9714112,0.8301077,0.6724752,0.836461,0.89448905
Suv39h1,0.36365744,0.24239226,0.12977219,0.06965888,0.0847811
Kntc1,0.21611315,0.13214853,0.050352596,0.008394245,0.0062844255
Csrp2,0.2387498,0.18633227,0.06586766,0.05228333,0.054363433
Sin3a,0.3823015,0.24383761,0.22396863,0.28337982,0.3380711
Epas1,0.18429242,0.18424407,0.13935992,0.12785907,0.15758519
Gtf2ird1,0.029525004,0.013095546,0.0019583134,0.0018971923,0.0
Safb,0.64844495,0.51346445,0.37573847,0.43370256,0.45063326
Polr2a,1.1355586,1.0944743,0.8179653,0.91827905,1.0618626
Fubp1,0.94995505,0.56963515,0.6627981,0.4795729,0.34106857
Med21,0.08449798,0.0774989,0.045911424,0.049450036,0.051414113
Gtf2h1,0.45234945,0.35684034,0.3370899,0.37708834,0.34829837
Myc,0.47973144,0.34931722,0.26406458,0.19601944,0.053954735
Fubp3,0.05884078,0.031423513,0.029036354,0.045897882,0.025141597
Thra,0.017149663,0.007881205,0.0016588771,0.011437729,0.009578119
Abcg2,0.031595957,0.011089999,0.013381428,0.010556268,0.017668147
Elp3,0.21080156,0.16588831,0.20004402,0.12430927,0.17485042
Gtf2e1,0.14792015,0.09095162,0.10563845,0.08429848,0.09089836
Polr3d,0.19420348,0.13887583,0.1195565,0.15542072,0.10464074
Igsf8,0.15170072,0.11117686,0.086700596,0.06878257,0.073174395
Mcm4,1.1728517,0.85853297,0.4158494,0.23797113,0.17685315
Chaf1b,0.90018153,0.7522197,0.3949042,0.2960211,0.19489622
Mycbp,0.4234479,0.32186726,0.16183959,0.16165286,0.16621357
Tial1,0.90037745,0.75527406,0.52331465,0.4263642,0.4574255
Jdp2,0.1778159,0.12268397,0.15190396,0.09614461,0.059431944
Ube2k,1.4091337,1.3211807,0.99408805,0.94810206,1.014966
Zdhhc16,0.25741068,0.19871967,0.21980566,0.15266886,0.16818303
Tox2,0.012098872,0.008401983,0.04872174,0.0034135487,0.0017754704
Pou2af1,0.038879294,0.027298184,0.029797606,0.011456798,0.004338543
Ms4a1,0.0034779685,0.0014271984,0.0036464531,0.00480967,0.0020688574
Cd300lf,0.010264365,0.0033140876,0.0036464531,0.0035261721,0.0024087774
Plaur,0.018263321,0.0042478023,0.0,0.0033167114,0.0030662504
Cd180,0.0006938411,0.00016122076,0.0,0.00015617623,4.0829746e-05
Atf3,0.022214035,0.008080998,0.0,0.011410652,0.003977605
Cd74,0.216044,0.04842906,0.03141427,0.064653896,0.050324313
Cd300c2,0.011089268,0.00251623,0.0,0.0065088854,0.0011273512
Irf8,0.4267875,0.35530123,0.88525116,0.25625685,0.14567664
H2-Eb1,0.18205711,0.035510026,0.034918007,0.0632663,0.073380515
Csf1r,0.016050246,0.0028511402,0.0,0.0024091415,0.00087335176
Csf3r,0.01261018,0.0042173844,0.0,0.002221425,0.0041852742
C5ar1,0.0013949492,0.0006868791,0.0,0.00023409506,0.00063361845
Trem1,0.004339363,0.0049695754,0.0,0.00091685046,0.0006051225
Hdac9,0.0017994142,0.00044147062,0.0,0.0002798792,0.00012690583
H2-Ab1,0.18433498,0.035421576,0.012253482,0.048419897,0.047693063
Cd83,0.023148274,0.0034168644,0.0072929063,0.0027959875,5.2051e-05
Ifngr2,0.008105834,0.0024776075,0.0,0.0019133362,0.00017766962
Il1r2,0.026214885,0.016916353,0.008264404,0.005459385,0.00302279
Pirb,0.029509114,0.007320124,0.0,0.013016097,0.00794573
Cbfa2t3,0.083895676,0.02587485,0.0072532333,0.009495142,0.0042195246
Clec12a,0.057231907,0.02045948,0.0052009723,0.008573781,0.0085233925
Ly86,0.02540137,0.0065321703,0.0,0.0074644154,0.0013122978
Padi4,0.0064882203,0.0030550784,0.0029874397,0.00081011024,0.0005105073
Ciita,0.006987506,0.001102959,0.0,0.0040878677,0.00089306233
Fcgr1,0.011556469,0.004644572,0.0,0.0052435277,0.0014205838
Sirpa,0.014892718,0.0057579256,0.018508693,0.008193652,0.006042489
Ahr,0.031596083,0.014985076,0.026495865,0.008987962,0.002574059
Bcl11a,0.001659175,0.0010779875,0.0,0.00045057703,6.0916518e-05
Eng,0.0026698373,0.00022358072,0.0028386652,0.0020684162,0.0012048691
Ctsl,0.046144396,0.03753602,0.02435546,0.021222696,0.028351016
Tlr2,0.014420565,0.010033999,0.0086844135,0.0039593996,0.0025357597
Setdb1,0.2604838,0.18871775,0.20375569,0.18809272,0.21773498
E2f1,0.40050766,0.26375163,0.17415187,0.038388707,0.017121727
Tnfrsf4,0.16052853,0.04157022,0.19000764,0.028282883,0.017049491
Ccr6,0.0025399816,0.00086862245,0.0,0.0007614971,0.0
Batf3,0.18347132,0.004591235,0.0,0.00048166278,0.0030592314
Fbxo17,0.025791628,0.013178531,0.008070865,0.017575491,0.013875977
Wdr5,0.48978418,0.3766363,0.2216047,0.2298134,0.22238408
Il2ra,0.49154186,0.26394126,0.21336924,0.11400977,0.07187718
Mphosph8,0.8457967,0.6111493,0.38077688,0.5445082,0.5874976
Eed,1.0411217,0.7931567,0.6396573,0.59364235,0.56614166
Rbbp7,2.9286237,2.0072517,1.0052596,0.81832844,0.84511024
Tnfrsf8,0.04490852,0.011508458,0.0055309776,0.007209151,0.020209389
Suv39h2,0.0987476,0.051370233,0.013997424,0.009459682,0.005942621
Xrcc6,0.3762501,0.23287037,0.116360486,0.1422327,0.1376304
Hmga1,0.030505074,0.020312835,0.007241244,0.011108338,0.007344503
Cebpz,1.102156,0.83950424,0.7848034,0.8048839,0.7626265
Myb,0.32468417,0.1870518,0.17771718,0.07758589,0.022173334
Ddx20,0.1708812,0.09669776,0.062281992,0.071470216,0.07193383
Foxk2,0.23209946,0.17513348,0.18818882,0.14697315,0.11979667
Cdc5l,1.5330077,1.3137048,1.3023819,1.2290558,1.2125232
Eif5b,2.842603,2.1653674,1.8984797,1.5445838,1.4781448
Gtf2b,1.0087782,1.0033776,0.9244391,0.8466821,0.91636074
Fosl1,0.011707241,0.009040327,0.0,0.0018343201,0.0011555403
Smad1,0.052898232,0.026252784,0.0035945536,0.01852001,0.027294649
Sell,0.1311462,0.048308298,0.079299025,0.09634875,0.04266004
Treml2,0.032638922,0.021705655,0.010034829,0.023129966,0.0047376417
Ccr7,0.1781337,0.042404335,0.008661022,0.0729902,0.006548378
Ets2,0.08675604,0.07888808,0.04944096,0.0506016,0.033469804
Pms1,0.11293374,0.08159334,0.095247015,0.09298373,0.043295994
Lmo4,0.33422366,0.25129026,0.2296074,0.159239,0.25371844
Igf1r,0.0039060998,0.0005343101,0.0,0.0017030466,0.0018141271
Trgv2,0.022097085,0.029587295,0.027383981,0.007134748,0.0068306294
Tcf7l2,0.005064144,0.0033026545,0.004696178,0.00090863195,0.0021320744
Zbtb16,0.005465357,0.004241223,0.0047834455,0.00093753857,0.0
Ccr9,0.08517685,0.09601622,0.1098563,0.022040566,0.020621981
Fkbp2,2.0065088,2.6735244,1.1330031,0.50983626,0.34333903
Pcmt1,0.6101671,0.68793917,0.56191707,0.48775217,0.48460144
Nfyb,1.0486596,1.1166773,0.75963134,0.78117216,0.7929004
Taf15,0.992053,0.9958197,0.72110987,0.72202057,0.7361566
Tnf,0.18294284,0.2119447,0.082858175,0.13449419,0.05247974
Ehmt2,0.49528125,0.63072956,0.44347453,0.5161776,0.5966827
Il2rb,3.084286,3.3606632,2.9540913,2.2440681,2.0210419
Cd9,0.5617645,0.7368768,0.8690345,0.52449507,0.27608255
Hmgb2,17.693544,22.74452,4.497994,4.1782975,3.952743
Cbfb,1.1516206,1.1809614,0.78523713,0.69109696,0.7059
Lamp2,0.053449985,0.06521219,0.080298014,0.04795857,0.058574792
Cd48,7.141315,10.78372,7.8407326,6.7838273,7.4864917
Lgals3,10.108298,14.985311,11.98363,5.837275,4.8468466
Itga2,0.029486,0.08901678,0.0791497,0.08337668,0.06013762
Hmmr,1.5753254,1.6532264,0.018707693,0.052613985,0.03668886
Zdhhc2,0.101979144,0.1280198,0.09948667,0.07924302,0.06665104
Cd244a,0.022995768,0.044273484,0.013716068,0.0070694815,0.009638303
Ctnnbl1,0.5254736,0.54139996,0.50078666,0.49915937,0.38707945
Polr2k,0.23719035,0.2505394,0.19651854,0.13979685,0.16968815
Ikzf2,0.09004035,0.13578288,0.2573132,0.06684789,0.039483543
Trp73,0.004577126,0.003620362,0.0062188506,0.0039984128,0.0018759208
Coil,0.16344711,0.14128718,0.11526953,0.0918468,0.07198175
Bin1,0.90452695,1.4373783,1.4130448,1.2153525,1.4162862
Pbx4,0.04175703,0.04881288,0.011750269,0.027359663,0.015635487
Taf6,0.19294478,0.18078394,0.21022218,0.07704828,0.123738244
Tsg101,0.60668844,0.5912722,0.52695894,0.4944968,0.51638037
Actb,122.815926,188.7673,185.82571,147.71269,134.74767
Srebf2,0.36824512,0.41133788,0.38350895,0.36732256,0.21936803
Sema7a,0.1572908,0.16755292,0.2052552,0.07112473,0.038580738
Cxcr2,0.00267983,0.004056069,0.0,0.00039771223,0.0007901776
Ggt1,0.44628084,0.8104236,0.31225613,0.26178467,0.049620643
Lag3,0.33467522,0.48757485,2.9516444,0.36777192,0.17495412
Havcr2,0.59667486,0.7018139,1.3671429,0.30848345,0.299618
Sla2,0.40313622,0.57098365,0.75353444,0.45475695,0.47088525
Cd160,1.0497444,1.0317428,1.9999027,0.54005516,0.42888868
Izumo1r,0.0010320455,0.0014608124,0.020842977,0.00073309673,0.00037975772
Pdcd1,0.4526038,0.36023852,1.2054904,0.1629531,0.09781506
Eomes,0.3225547,0.38383308,0.4768898,0.34410006,0.23953693
Il1rl1,0.058753297,0.04702429,0.16980805,0.037630476,0.05764256
Fhl2,0.37019777,0.5123813,0.8174278,0.38560808,0.35356984
Sub1,15.233599,18.495192,26.556507,16.875246,11.945999
Alcam,0.30095482,0.293486,0.5702932,0.30927885,0.2223375
Tnfrsf1b,0.31601378,0.3590506,0.7475307,0.44345722,0.33081532
Trps1,0.19828938,0.1444375,0.49247548,0.22744614,0.2289184
Tox,0.18521155,0.13128893,1.5291729,0.27911106,0.13056384
Setbp1,0.032726943,0.048028965,0.35132605,0.10011957,0.05153643
Vax2,0.025389308,0.020541314,0.15095042,0.034540992,0.026757933
Maf,0.037654847,0.079155356,0.31585443,0.11340544,0.073377505
Sp4,0.22549224,0.32374197,0.37893975,0.5037477,0.42691973
Ncr1,0.0042414004,0.0020326623,0.0,0.003673484,0.002733254
Cxcr6,1.0415604,1.9445858,4.3766093,4.8143706,2.5298645
Klf6,3.5720153,4.1398344,4.8014746,8.629145,8.032015
Id2,3.135823,6.278233,9.23893,10.6440525,9.4097
Cd28,2.2220998,2.958265,3.9374883,5.69663,2.951209
Creb1,0.5241724,0.5633792,0.6265731,0.7242588,0.6739976
Cd37,0.48486057,0.8141881,1.6808186,2.132258,1.9966445
Mta3,0.14574368,0.18503357,0.29882047,0.25200436,0.24402875
Tshz3,0.0025449926,0.008236381,0.0036464531,0.006561144,0.0053359983
Mllt3,0.6549206,0.5387551,0.78408176,0.7644105,0.6516335
Polr3b,0.1340471,0.15059477,0.18257137,0.17031093,0.14747584
Itga1,0.07972745,0.16762574,0.31845206,0.6349605,0.5074731
Trbc1,7.752996,10.852737,15.768972,12.696577,9.945248
Phc2,0.29048547,0.36449474,0.40158844,0.45747158,0.3998418
Atm,0.3317906,0.25747427,0.18599693,0.38150683,0.3291682
Btg1,1.2094738,1.8574451,4.0620837,6.701456,6.5976367
Ing3,0.3520439,0.35512957,0.297913,0.3430827,0.32173923
Satb1,0.9778716,1.1033612,1.1820685,2.4636314,2.1640332
Ikbkb,0.20961279,0.2433555,0.40962702,0.42618555,0.39970315
Kcnip3,0.0015430769,3.0518397e-05,0.0,0.005126198,0.0057359408
Tet1,0.010513227,0.0056198244,0.0,0.026855147,0.0153274005
Zkscan5,0.014534375,0.016552627,0.016677732,0.022055605,0.021153064
Cd40lg,0.042877205,0.02931817,0.036856733,0.050734583,0.039975084
Tnfrsf25,0.043216772,0.023405654,0.043132044,0.31181946,0.2523276
Pias2,0.16826135,0.10841622,0.15834135,0.14949448,0.14878565
Nfkb2,0.22580439,0.2214692,0.3290561,0.5140514,0.38634032
Zfp275,0.048349105,0.056368295,0.060708027,0.09612796,0.082298614
Foxp4,0.11630539,0.12236224,0.28903428,0.21442427,0.18677536
Apc,0.16859978,0.18831627,0.28229737,0.39007136,0.37535062
Adam8,0.07846063,0.13574384,0.2718533,0.19203563,0.06836399
Mbd2,3.8470502,3.9510846,4.205016,4.3289423,4.2847147
Anks3,0.0572382,0.054563258,0.057161536,0.12431674,0.12508811
Zbtb17,0.11442415,0.1178468,0.13642238,0.1418044,0.10990829
Igf2r,0.30747634,0.5573176,0.7449604,0.99413025,0.6747834
Zbtb48,0.014316777,0.016178826,0.007694925,0.024171775,0.012775264
Chd2,0.5716711,0.7666949,1.1124218,1.3127126,1.1580411
Ythdc1,1.3950273,1.3837962,1.1518183,1.4874386,1.525649
Mvp,0.1008017,0.15018332,0.16446489,0.15278548,0.116669126
Il6st,0.037869543,0.04698644,0.051438965,0.07484081,0.03448839
Deaf1,0.088840246,0.11657367,0.12273769,0.18386695,0.15863836
Tet3,0.17660202,0.19171838,0.4522348,0.5000787,0.3926875
Nr4a2,1.0382463,1.19247,2.4126072,2.0534246,1.597557
Ercc5,0.076152146,0.078228705,0.16722552,0.15252535,0.13473342
Sp140,0.28021854,0.46164536,0.7581487,0.67338103,0.638164
Nfkbiz,0.9746974,1.2886747,2.2810833,2.2892294,1.9101161
Cd2,2.702344,4.4624434,7.6649165,7.612547,6.744871
Adam10,0.55018574,0.60415626,0.82288915,0.75083435,0.7555953
Nr2c1,0.025278766,0.020294322,0.030198248,0.029639887,0.021457095
Cd38,0.05111625,0.08296032,0.330411,0.1481337,0.09426657
Cd86,0.022110913,0.06341012,0.18888912,0.19157961,0.075340696
Zdhhc21,0.23336492,0.24627757,0.18689266,0.24519576,0.2280913
Snai3,0.1739014,0.18747938,0.29237217,0.26521316,0.16788001
Pbx3,0.022202665,0.018412353,0.06665287,0.033591572,0.023513988
