,Arm_P2,Arm_P6,Arm_P8,Arm_P9,Arm_P10
Bcl11a,0.0036147893,0.00069172087,0.0,0.00072582345,0.0001548682
H2-Eb1,0.03706532,0.006422869,0.0,0.009154112,0.0032992333
Pirb,0.0029913834,0.0039255237,0.0,0.0005170711,0.00016033927
Cd74,0.42443368,0.09610112,0.061227266,0.13357212,0.09326419
Cd9,0.1278671,0.09538025,0.044854723,0.053225886,0.027219426
Cxcr2,0.003287019,0.0005983569,0.0,0.00078972627,0.0011485344
Trem1,0.0024755,0.0008833365,0.0,0.00059598166,0.00034988747
Ccr6,0.0027662336,0.0012250113,0.0,5.4478995e-05,0.0
H2-Ab1,0.0052209822,0.00074785505,0.0,0.0014373515,0.00013843279
Ets2,0.042124253,0.03629524,0.032134473,0.02616614,0.017336618
Cd36,0.017334681,0.0004243102,0.0,0.0030304585,0.00087060477
Ly86,0.015286779,0.0032889126,0.0,0.0038355747,0.001188109
Il1r2,0.10038745,0.063502744,0.053953666,0.025127823,0.01850817
Cd180,0.01426471,0.003392217,0.0,0.009905053,0.002794747
Clec12a,0.01671619,0.0066487095,0.0,0.00033602555,0.00011780569
Cbfa2t3,0.017839275,0.0076534688,0.0,0.0028150757,0.00024083996
Plaur,0.044208433,0.012780358,0.0,0.009440274,0.008048516
Atf3,0.039271116,0.023776408,0.0036599904,0.022515176,0.021457313
Etv6,3.200032,2.4687574,2.405834,2.7723272,2.8099213
Jmjd1c,2.4801445,2.2934282,2.166782,2.3195236,2.1097827
Cd83,0.18951617,0.049360596,0.009979466,0.01391764,0.0014611981
Lmo2,0.0036574379,0.0019569192,0.0,0.001805925,0.001553227
Parp2,0.14403287,0.10402124,0.09161162,0.09351196,0.080792986
Fbxo7,0.36696702,0.33664423,0.15859921,0.19623044,0.17246105
Prmt7,0.17118777,0.1488026,0.13647647,0.0902781,0.06326752
Fubp1,1.0320905,0.8968278,0.6903373,0.6524815,0.58603066
Pou2af1,0.03351484,0.02084796,0.009395351,0.0018888065,0.0070835454
Cd200,0.010777925,0.0054281414,0.0,0.0029745153,6.537608e-05
Pa2g4,0.23574395,0.1410972,0.093024746,0.069894634,0.058069967
Zfp207,1.3069943,1.1727531,1.0590827,0.6770738,0.6626297
Polr2i,0.12859836,0.08724778,0.07503576,0.039187267,0.0476596
Rb1,1.3410251,1.2430626,1.0296451,1.1042203,1.3102378
Lmo4,0.03541023,0.013170218,0.008336998,0.0038854044,0.0020423923
Zfp606,0.032875717,0.017232012,0.010534727,0.013641186,0.018185582
Smyd4,0.19878112,0.15277922,0.10191146,0.09535967,0.11755073
Cxcr4,0.02883581,0.018457087,0.0054679886,0.007299035,0.006773224
Csrp2,0.022059245,0.016968565,0.0033321274,0.0012022038,0.0029017283
Apex1,0.08307872,0.021684585,0.0,0.0101874815,0.005433386
Kntc1,0.7504567,0.39315933,0.08188275,0.030618548,0.02296582
Ttf2,0.12568879,0.07110774,0.03633718,0.034645483,0.020092444
Crebzf,0.18450867,0.18390226,0.17433251,0.14009026,0.15500842
Zfp444,0.1291044,0.099856555,0.06992554,0.04664521,0.027794294
Ruvbl2,0.26965985,0.15867099,0.07755211,0.057248954,0.035147388
Psip1,0.84861267,0.6057817,0.4121405,0.3235415,0.4635131
Cbfb,1.426059,1.2399514,0.98494947,0.9716215,1.1462404
Baz1b,0.71186125,0.5131636,0.2630107,0.25927764,0.24178329
Hmg20b,0.37411928,0.33038408,0.15417108,0.14197583,0.1929237
Batf3,0.05059197,0.0014931831,0.0,1.3038258e-05,0.0
Prdm1,0.7711212,0.53095204,0.5528825,0.23825184,0.2190069
Suv39h2,0.10297783,0.07584382,0.026081352,0.021253938,0.02473368
Hlf,0.5785628,0.18776579,0.038269654,0.033702,0.038602043
Mbd2,1.3502972,1.1044399,1.2707804,1.0458121,1.0442249
Polr2f,0.54624856,0.3108692,0.17933667,0.08600909,0.088611335
Prmt1,0.20403972,0.14172196,0.1070284,0.04988504,0.049510278
Mycbp,0.1106896,0.07354903,0.0315435,0.016927456,0.02806163
Atm,0.5815257,0.5418445,0.35264197,0.44351724,0.4105031
Hsf2,0.14094163,0.09650135,0.060023285,0.029639417,0.046619195
Uhrf1,0.6376903,0.32282773,0.041338466,0.018621782,0.0037590673
Pdcd11,0.25782025,0.19725768,0.22505188,0.1376496,0.11809719
Taf3,0.852448,0.73109967,0.62271154,0.695394,0.65595835
Bclaf1,1.3336313,1.065852,0.7667784,0.8116161,0.84890157
Ash2l,0.15085866,0.114143506,0.10404525,0.08564654,0.07965368
Dpy30,0.31511596,0.18213993,0.07228571,0.052447807,0.062389757
Gtf2ird1,0.1671888,0.04525474,0.043709584,0.008566814,0.009958848
Hnrnpr,0.78637505,0.4904743,0.35815367,0.4060901,0.44678193
Rfc1,0.9421559,0.7199443,0.29996818,0.3591944,0.3199154
Mybl1,0.06259985,0.048753623,0.003498077,0.013124691,0.010871234
Kmt5a,0.10256203,0.053889945,0.026087016,0.032980934,0.036442008
Fcgr1,0.0026249948,0.00093999505,0.0,0.0019069023,0.00038127977
Treml2,0.006312761,0.004938521,0.0,0.0007839515,3.9489703e-05
Tfdp2,0.13217384,0.068421856,0.058385637,0.06171936,0.06323983
Igf1r,0.03622511,0.01003899,0.0063670515,0.0092150085,0.00440863
Maml3,0.12708987,0.058138326,0.010653432,0.030537015,0.046342134
Id3,0.039177094,0.015766513,0.002381568,0.007361908,0.00023298571
Il23r,0.02809569,0.017987892,0.0,0.010735648,0.0032451863
Smad1,0.033056267,0.012734494,0.0060912697,0.0080585275,0.011266495
Ahr,0.04376125,0.026261058,0.029843515,0.008575933,0.0037745598
Zbtb10,0.014406786,0.0055751284,0.0054410114,0.006065574,0.0002634672
Klra6,0.0016425215,0.005184063,0.008664056,0.002630667,0.006742907
Il6st,0.27740315,0.27482036,0.43312848,0.26165974,0.16113666
Ankra2,0.114727,0.15270348,0.07405261,0.10710823,0.10403777
Taf1a,0.31416184,0.30381846,0.08674832,0.15187442,0.12841687
Ddb1,0.14035656,0.15844348,0.08787762,0.09962908,0.059614033
Timeless,0.3071605,0.27024454,0.08336956,0.03611029,0.04075094
Prmt5,0.064897634,0.06365978,0.039869264,0.019772382,0.023456076
Cdc5l,0.5231126,0.4939708,0.45481437,0.30879796,0.31053254
Mbd1,0.15280579,0.17039809,0.13254923,0.10975534,0.08879063
Sp3,1.1320413,1.1508211,0.7215798,0.737844,0.7884028
Ctr9,0.21145938,0.24837543,0.16060677,0.16047539,0.15749568
Gata3,0.1777676,0.21895064,0.14097926,0.16564585,0.093754336
Gtf2b,0.29882434,0.3743354,0.22329313,0.16267073,0.16725786
Epas1,0.44625628,0.47007704,0.5113916,0.3095797,0.21588089
Zbtb17,0.19409367,0.19564317,0.23795268,0.15270409,0.077888235
Chd2,4.0172153,4.748541,3.8624427,4.124236,2.9744787
Ikzf2,0.4568251,0.71069205,1.0424504,0.2522819,0.18799663
Ythdc1,2.0571713,2.3827667,2.3050928,2.2583494,1.97689
Zfp275,0.033603065,0.038798105,0.024117768,0.022659108,0.016361427
Mybbp1a,0.03279942,0.032697987,0.012091928,0.012335304,0.014138784
Zfp553,0.011770386,0.015001928,0.0035316788,0.0023482814,0.00015932025
Snrpb,0.32786626,0.35224918,0.19109125,0.18056895,0.18142225
Ccr9,0.10317189,0.09826405,0.13578898,0.03960533,0.029954622
Cd200r1,0.004590523,0.0059388243,0.011505945,0.0039258944,0.0020723483
Lgals3,0.2746494,0.25553158,0.22953399,0.117416985,0.1532755
Elf1,2.6808016,3.7143779,2.9382818,2.6703851,1.9866931
Polr2a,1.6594429,1.9973736,1.0016919,1.3045151,1.5198245
Zfp213,0.10002855,0.10565652,0.047670912,0.04350937,0.023812134
Actb,41.9679,56.44476,36.25572,23.950203,21.930737
Tcof1,0.205789,0.2132261,0.15767205,0.13963066,0.18430723
Eif5b,0.4658206,0.5700402,0.39653245,0.3664821,0.3506589
Lair1,0.11674041,0.1671918,0.07246862,0.10282721,0.11785911
Polr3d,0.0590707,0.08363356,0.049008835,0.027773786,0.01688011
Coil,0.31404746,0.34424233,0.20961529,0.15564382,0.12684858
S1pr1,0.33565432,0.37213388,0.18650734,0.21779571,0.15765327
Chd7,3.766365,4.9267626,3.8276708,3.9275875,3.752786
Ly6e,0.116984665,0.14862959,0.04834505,0.07286164,0.030389404
Cd244a,0.03976849,0.04683325,0.032066934,0.012321367,0.011576896
Cd2,1.0474033,1.1444696,1.2761008,1.0755763,0.8034544
Ebf1,0.01750941,0.016173055,0.017235605,0.009244986,0.008690896
Sap30bp,0.324749,0.33732414,0.28178936,0.30170104,0.24743576
Havcr2,2.6462302,2.8979063,2.3931162,0.8495322,0.89684874
Zdhhc21,0.52519035,0.53260803,0.5242457,0.33691323,0.30178
Taf5l,0.22430784,0.24630436,0.2441685,0.1423908,0.14232755
Pbx4,0.019969659,0.023766484,0.016064966,0.0073222523,0.005860123
Patz1,0.13823323,0.13390158,0.047639616,0.05269127,0.055574607
Zbtb1,0.48912895,0.5211008,0.3483644,0.30959633,0.31035164
Upf1,0.10303831,0.106654,0.06076775,0.079623796,0.08654692
Zfp512,0.13706003,0.16756293,0.15043278,0.11015169,0.11764791
Pwp1,0.13954045,0.16220081,0.092309445,0.09988621,0.070083804
Kdm4a,0.07849731,0.11376889,0.14472853,0.08016121,0.08302303
Cd52,0.038447354,0.051817898,0.07365904,0.047589112,0.043582305
Polr2h,0.21450885,0.23444788,0.09398942,0.112319745,0.12315318
Icam1,0.50916684,0.62780553,0.30764997,0.4834923,0.5069235
Irf4,1.2400057,1.3164941,0.8182467,0.7142284,0.26433808
Cd8b1,0.63789034,0.7433573,0.53076357,0.6027022,0.6909096
Hdac6,0.0447306,0.048470136,0.01486511,0.015057865,0.012233367
Tnfrsf9,1.6215194,1.8712785,1.4483497,0.51464206,0.27643287
Cxcr5,0.040362444,0.03040818,0.0035373345,0.024444487,0.00752848
Batf,1.0852711,1.058545,0.75211596,0.5082523,0.30366623
