,AllAct_P2,AllAct_P7,AllAct_P9,AllAct_P10
Tcf7l2,0.023163006,0.029199475,0.0051150164,0.0015164431
Fcgr1,0.0036360864,0.00089280016,0.0019086766,0.00038048127
Hdac3,0.053039063,0.026025688,0.020927334,0.032748528
Ets2,0.043240126,0.019252827,0.026254097,0.017300311
Cd244a,0.04054174,0.015993105,0.012512372,0.011643576
Bmpr1a,0.073558,0.027702665,0.031319346,0.03808637
Cbfa2t3,0.018860117,0.010959671,0.002788067,0.00024033558
Cd74,0.46819344,0.17599243,0.13469078,0.093068875
Cd300lf,0.008623091,0.0038483315,0.0029536341,0.0011863727
Myc,0.057768345,0.019720132,0.0065899026,0.0042769895
Zdhhc21,0.53416514,0.4140718,0.33725208,0.30195957
Brip1,1.3653877,0.34983617,0.09775079,0.05235109
Gabpa,0.1496146,0.10964805,0.083873235,0.09237598
Ddb2,0.5443501,0.32408795,0.37479186,0.1502393
Bard1,0.7990515,0.16050328,0.055622112,0.06793498
Sfmbt1,1.1055473,0.39338508,0.22770078,0.2767077
Zbtb11,2.064572,1.620491,1.236365,0.8454445
Atad2,1.9409789,0.7050687,0.60553145,0.5553191
Mybl2,0.4028551,0.06472873,0.01900789,0.026582247
Hnrnpd,2.583219,1.1527891,0.77894497,0.8022129
Mcm7,0.36701244,0.07250324,0.040906638,0.03197324
Ivns1abp,0.44734725,0.30759132,0.3084725,0.21435507
Mcm3,0.4047132,0.098781206,0.05689159,0.047940172
Zdhhc2,0.6110913,0.41959453,0.3492978,0.29320064
Phip,1.5607917,1.0609988,1.083896,1.0085294
Rfc1,0.9400251,0.38042358,0.35880953,0.3197081
Hnrnpab,0.15629958,0.057223864,0.058022637,0.057418626
Sirt1,0.35790583,0.17760372,0.20066385,0.19644704
Baz1b,0.71494985,0.25475234,0.25903407,0.24162282
Pcgf6,0.08761693,0.060747594,0.041233025,0.024043217
Fmr1,1.1913923,0.8723005,0.7232994,0.77743894
Havcr2,2.6189356,0.32292193,0.85922426,0.8981636
Mbd4,0.23308036,0.08251678,0.03494085,0.035501115
Ssb,1.3057512,1.0392524,1.006045,0.99969345
Hlf,0.56530064,0.17689809,0.03492693,0.038580913
Hmga1,0.044638425,0.008471248,0.007483196,0.009930023
Snrpb,0.32614696,0.24388413,0.1810804,0.18172498
Gtf2ird1,0.16563074,0.049556106,0.008596192,0.009993883
Gtf2e2,0.27855206,0.19681825,0.13024595,0.1275655
Brca1,1.5419964,0.3070077,0.043746654,0.021886123
Ezh2,1.6629449,0.71518296,0.37462848,0.368343
Cops5,0.37185648,0.20883791,0.15308617,0.14050576
Srrm1,1.9165679,1.2588346,1.1974125,1.1776849
Mcm4,1.9584783,0.45354742,0.27759022,0.18457752
Tardbp,1.2230427,0.44438833,0.34186718,0.2961997
Psip1,0.84895885,0.3951579,0.32372162,0.4630651
Asxl1,2.8717263,1.763034,1.5242056,1.7452389
Zfp382,0.14033271,0.057500046,0.03301905,0.020074803
Tcerg1,0.790838,0.461666,0.28118446,0.2793924
Alcam,5.134209,4.772222,2.7741425,2.007309
Ybx1,0.5539825,0.2540507,0.21163167,0.17978455
Zscan22,0.111962505,0.04710156,0.016685566,0.018773388
Nap1l1,2.2472973,0.6570011,0.34059724,0.3675698
Tfdp1,0.41070542,0.12846471,0.06353282,0.0584403
Fkbp5,2.0346725,1.2923442,0.9748772,1.0576694
Polr3f,0.09839158,0.075101756,0.06496856,0.055502336
Zbtb48,0.034430414,0.024400916,0.022214467,0.01335187
Prdm1,0.7703811,0.11115155,0.24296251,0.21937063
Gatad1,0.36345983,0.15440395,0.09997543,0.08147209
Sp3,1.1289642,1.0042467,0.7392209,0.78855664
Tcf19,0.025829509,0.0033604242,0.0030845117,0.0017389422
Orc1,0.8345119,0.23915794,0.09982433,0.092345186
Ube2k,2.1294703,1.9134107,1.8008013,1.7998794
Brca2,0.21985662,0.04539121,0.02209143,0.021001128
Cenpk,0.8853301,0.21385312,0.062571496,0.049134888
Mcm5,0.19827677,0.036284488,0.010262395,0.006196409
Trim27,0.10319863,0.048136473,0.050724894,0.054300908
Suv39h1,0.08389009,0.03327682,0.012596118,0.026411457
Rnps1,0.12552479,0.07967711,0.056112465,0.0419325
Atf1,0.8767419,0.7409137,0.676045,0.6778092
Hist1h2bp,0.026363898,0.005370954,0.0024629687,0.0078169685
Mycbp,0.11315128,0.050522845,0.017358217,0.028129535
S1pr1,0.3328934,0.22993073,0.21792054,0.15782565
Ggt1,0.04997212,0.010766846,0.017275374,0.010384515
Plxnc1,0.5533344,0.48885,0.32687262,0.41648856
Rpa3,0.049764298,0.019099336,0.0097210575,0.012527023
Tcof1,0.20875588,0.13319246,0.13982251,0.18423942
Il6ra,0.021100307,0.030412816,0.014216471,0.025832484
Atm,0.5841823,0.4512808,0.44120446,0.41013268
Hnrnpk,0.30631456,0.2087821,0.17853467,0.15022536
Nono,0.3292771,0.16258647,0.12460414,0.11744699
Ncam1,0.015856536,0.00022384974,0.0022832768,0.00022663678
Aurkb,0.0783292,0.0066825985,0.004534249,0.00040898306
Foxm1,0.09734751,0.027836816,0.033651337,0.023702992
Hmgb3,0.030279575,0.01371931,0.008631493,0.00742405
Hmmr,0.14217044,0.029914917,0.0028307089,0.002621339
Hdac6,0.043904837,0.025503248,0.0151442755,0.012207748
Sap30bp,0.32388213,0.24084304,0.30126417,0.24763732
Hmgb2,0.8976927,0.34334934,0.34963495,0.30006167
Tnfrsf9,1.6371212,1.2188852,0.5310604,0.2770365
Rbl1,0.7269323,0.27042297,0.19601558,0.16761158
Espl1,0.09689218,0.017521804,0.0019159606,0.0020126507
Brd8,0.5122428,0.27240255,0.22437778,0.28332558
Sema7a,0.522406,0.24267155,0.12167256,0.034796167
Lgals3,0.27391425,0.048669353,0.11913272,0.15317333
Toe1,0.31268942,0.09761085,0.05861659,0.09786792
Irf4,1.2056782,0.6439597,0.7190665,0.26458412
Hnrnpul1,0.5308983,0.2472731,0.3076854,0.31978115
Polr2k,0.18291323,0.10733761,0.07318621,0.07385302
Khdrbs1,2.324829,1.8969767,1.4344695,1.2554005
Igsf8,0.060763624,0.0126621565,0.01901243,0.034755766
Sf1,0.98554975,0.70082915,0.7918282,0.7839642
Nap1l4,0.5595224,0.4339877,0.3726817,0.37553427
Taf6,0.08022429,0.036786247,0.029346863,0.027860064
Ilf3,0.70427936,0.5257187,0.33904818,0.24111134
E2f8,0.22209823,0.016525948,0.0032122585,3.3130575e-05
Cxcr4,0.028189177,0.024539042,0.007370978,0.006805489
Suz12,2.1623993,0.9886754,0.7933995,0.8292714
Hdac1,0.5427999,0.49792698,0.36006615,0.4110599
Irf8,0.027082175,0.011553993,0.014174862,0.012245279
Polr2d,0.041066445,0.020604953,0.01586498,0.012563095
Kmt5c,0.03480752,0.017663673,0.01627372,0.0075785327
Prmt5,0.06544322,0.024960505,0.01979036,0.023406954
Ctsl,0.044726077,0.027583009,0.02558625,0.005967772
Zfp275,0.03301084,0.028903838,0.022560336,0.016327161
Actb,41.708427,26.663166,24.100595,21.969372
Hdgf,0.026065405,0.006506372,0.0076505546,0.001797996
Pbx3,0.5118125,0.33087277,0.2678906,0.30792257
Taf1a,0.32100287,0.25740045,0.15144378,0.12851629
Gatad2a,1.510529,1.2837363,1.2814193,1.2672637
Cd68,0.008430225,0.004484857,0.004501891,0.0024364577
Cebpg,0.22243975,0.16111133,0.13132685,0.15939666
Ncoa4,0.12239254,0.08347719,0.05522176,0.029122531
Xpc,0.02512679,0.015453174,0.011256177,0.019717738
Xrcc6,0.16307572,0.09056996,0.08208359,0.049624126
Smyd4,0.19725274,0.097534366,0.09466111,0.11750907
Carf,0.068442374,0.055983756,0.060786515,0.06777043
Smarcc1,1.0408195,0.661435,0.5040607,0.5215737
Pms1,0.27219498,0.20829935,0.17256321,0.18634556
Ccr9,0.1061275,0.035575286,0.039783612,0.030012572
E2f3,0.76887965,0.39320648,0.22299676,0.21902975
Bcor,0.30305213,0.26091793,0.2029703,0.17365175
Polr3d,0.060067017,0.05225625,0.028354455,0.016994778
Ddb1,0.13651513,0.09565988,0.09938375,0.059573337
Zfp606,0.03256772,0.018756252,0.013775057,0.018147497
Baz1a,1.9909066,1.8666255,1.9512167,1.8606563
Gtf2h2,0.29862633,0.17490849,0.1140479,0.11616082
Zfpm1,0.14200188,0.10721216,0.05764168,0.05820844
E2f5,0.07778693,0.03988092,0.036527194,0.036876407
Prdm5,0.0559224,0.048732072,0.0045201425,0.008627811
Ppargc1b,0.09995296,0.07159631,0.09900242,0.0886695
Smyd2,0.089871824,0.062150206,0.01626373,0.0035311861
Setdb1,0.41927776,0.25375274,0.267793,0.26437753
Tcf4,0.18510312,0.18266879,0.12193308,0.12328523
Ecd,0.16846347,0.132344,0.121745974,0.11887494
Prmt3,0.22713415,0.19161227,0.15337314,0.13547608
Aatf,0.7499542,0.66800094,0.5264643,0.5369124
Treml2,0.0076557067,0.0102068875,0.0007927284,3.9407e-05
Mybbp1a,0.03305587,0.030721875,0.012299428,0.014109174
Pnn,0.08648542,0.037488297,0.036133572,0.040782508
Mybl1,0.06073046,0.021300599,0.013049296,0.010848467
Ewsr1,1.016695,0.7963325,0.69100213,0.6578704
Pdcd11,0.25923893,0.19073945,0.1380105,0.117988616
Taf5l,0.22199574,0.18721691,0.14325903,0.14229788
Zfp444,0.12811147,0.051968433,0.04739039,0.027736086
Prmt7,0.17777213,0.12906961,0.090839505,0.063488856
Nfya,0.23758943,0.076422036,0.10711261,0.10010425
Batf3,0.051505763,0.0022564537,1.2841371e-05,0.0
Fubp1,1.0334954,0.88828975,0.6544694,0.5860689
Sin3a,0.39976364,0.22087653,0.270051,0.2879612
Ruvbl2,0.2710448,0.07273322,0.057218775,0.035095807
Med21,0.9240796,0.35343605,0.2932675,0.2825622
Zranb2,0.22631976,0.19261841,0.1315001,0.14766216
Brd7,0.48453763,0.320773,0.30106708,0.25921592
Hmg20b,0.37095502,0.15615408,0.1427324,0.1927383
Polr2f,0.54610586,0.18154114,0.086056836,0.08887586
Ilf2,0.24091664,0.16552682,0.12288289,0.11594618
Hnrnpr,0.79168475,0.42596823,0.40569806,0.44684938
Rbbp5,0.17055205,0.11382032,0.09719909,0.09010463
Zfp213,0.09723002,0.054970644,0.04361131,0.024188189
Thrap3,2.1713958,1.7116083,1.6140442,1.675201
Mcm8,0.22545932,0.045916673,0.008587336,0.007664306
Eed,1.9752022,1.2071165,1.1210165,1.3220323
Kntc1,0.75539255,0.13512126,0.031193744,0.022964174
Fbxo7,0.36732277,0.29366124,0.19647442,0.1725168
Timeless,0.30754343,0.08895084,0.03675885,0.041010674
Dpy30,0.31516343,0.12081864,0.05342402,0.062476642
Coil,0.3121321,0.21930169,0.15722725,0.12706222
Rbbp4,1.425109,0.6824147,0.5784502,0.6108801
Supt16,1.2066259,0.46067864,0.4177643,0.4235896
Taf15,2.3655624,1.2761809,1.0507547,1.1190681
Wdr5,0.18322316,0.09450613,0.08186666,0.081023276
Snrpd1,4.3477964,1.3633273,0.787037,0.69739205
Cbx3,1.0828397,0.33587983,0.26342475,0.26286212
Suv39h2,0.10202822,0.053443212,0.021690171,0.024728505
Dnmt1,0.6037832,0.16309063,0.12663192,0.11778542
Zfp207,1.3108433,0.94687545,0.67944,0.662614
Rb1,1.3307371,0.70398206,1.1016501,1.3103877
Hells,1.8025081,0.42751804,0.14985453,0.1419068
Mbd2,1.3539823,1.0661879,1.045149,1.0436693
Mcm2,0.093001895,0.026264377,0.010333521,0.007649546
Gtf3a,0.41436478,0.09648423,0.03304989,0.037329055
Dek,1.1560488,0.50204176,0.40064165,0.39429837
Uhrf1,0.64221424,0.09646094,0.019224217,0.0038210852
Polr2i,0.1275401,0.04723505,0.0395661,0.047559787
Ddx20,0.34502026,0.12157768,0.06365244,0.08362952
Taf1,1.1451479,0.64184207,0.414936,0.41099668
Cnot6,0.48469433,0.39598197,0.23270121,0.22771353
Fosl1,0.1535844,0.06734702,0.029213207,0.016907288
Pa2g4,0.2345253,0.09970775,0.07012085,0.058034405
Prmt1,0.20286033,0.13251536,0.050077997,0.04968366
Phf19,0.12860769,0.016854959,0.00871369,0.011336592
Gtf3c5,0.16675496,0.0781487,0.046578035,0.028013973
Ssrp1,0.41636354,0.16504021,0.1326247,0.082834825
Chaf1a,0.26322404,0.052611966,0.006986735,0.0071292445
Mcm6,2.0796406,0.65909183,0.3393155,0.37874195
Polr2h,0.2078479,0.15741707,0.11299145,0.123120345
Actl6a,0.23287559,0.09262992,0.06951389,0.06368594
Cbfb,1.4474261,1.039134,0.9727657,1.1460127
Pcmt1,0.98154545,0.49516752,0.41023082,0.4619251
Wdhd1,0.86197644,0.21392725,0.119695745,0.11286458
Il2ra,1.6788847,0.2955564,0.3358458,0.17491965
Gtf2f2,1.4872674,0.96546865,1.0847455,1.1634667
Rbbp7,0.7605737,0.3576001,0.28652835,0.30057207
Klf10,0.12779602,0.074858315,0.0858872,0.08736274
Cbx1,0.29906157,0.10977019,0.07727517,0.077716276
Foxn2,0.7888749,0.64330584,0.37858152,0.35815528
Rad51,0.5630787,0.1296823,0.036291033,0.022193251
Plrg1,0.07620423,0.04098261,0.04220237,0.04124819
Runx3,2.7813482,1.4309789,0.8006173,1.1350809
Ctcf,0.874609,0.57775223,0.4884916,0.45208272
Dnajc2,0.25905937,0.1469943,0.0888254,0.077208504
Men1,0.22248076,0.06377956,0.071257465,0.07202218
Cd40lg,0.09564741,0.04388273,0.044324636,0.027537262
Tnf,0.2697469,0.097155385,0.13354892,0.048659105
Safb,0.30638137,0.23422723,0.21719769,0.20271133
Parp1,0.3904373,0.12953505,0.065721825,0.07829593
Prpf4b,0.5908054,0.33229378,0.27951145,0.3140998
Chaf1b,0.1500931,0.037845798,0.044047575,0.04434576
Patz1,0.13600194,0.071330644,0.052585747,0.05567722
Hsf2,0.13960946,0.076882,0.029853534,0.04660098
Setdb2,0.42392227,0.23542452,0.25063643,0.20786512
Zfp143,0.17461124,0.11591709,0.10469598,0.111547105
Bclaf1,1.333444,1.0016258,0.81276655,0.8480608
Hdac2,0.17866479,0.05248008,0.043449774,0.079159655
Gtf2e1,0.20251563,0.10249681,0.09109435,0.06596449
Polr2a,1.6454995,1.5194907,1.3050488,1.518707
Fkbp2,0.040528633,0.011990501,0.009420372,0.0033262714
Zfp422,0.23486201,0.15938026,0.081895955,0.10122658
Nfyb,0.06767677,0.030306702,0.034598824,0.037173077
Mtf1,0.18843307,0.13738066,0.08935855,0.08758149
Tial1,0.57937366,0.34821784,0.33046916,0.33465654
Polr2b,0.33644062,0.16089594,0.12319703,0.13194498
Paxip1,0.26919532,0.096080616,0.06349617,0.07173221
Cramp1l,0.5118285,0.2545744,0.22464679,0.2284242
Zdhhc16,0.03156216,0.015566082,0.006543227,0.0069647077
Taf3,0.86571074,0.5097032,0.6925936,0.65516835
Ash2l,0.15483142,0.10580593,0.085536465,0.079688504
Hat1,0.955644,0.631253,0.5797991,0.39807603
Prdm4,0.13299628,0.059898823,0.072939664,0.07798103
Csrp2,0.022617951,0.004483254,0.0011988175,0.0028956512
Nsd2,1.7396785,0.6735248,0.51586515,0.5595933
E2f6,0.073709674,0.035896834,0.010652607,0.0006887003
Sirt5,0.009917308,0.012368172,0.008669851,0.005401544
Pbx4,0.020227373,0.04705335,0.007417589,0.0058478503
Cd83,0.20693226,0.96610826,0.014911171,0.001458138
Tshz2,0.09139644,0.15923488,0.049141288,0.0121718645
Crtc1,0.08319471,0.079651274,0.061366852,0.07349967
Pdcd1,0.34907362,0.5638882,0.07047615,0.04110308
Il23r,0.035820708,0.4200279,0.010702581,0.0032383902
Gtf2a2,0.23270254,0.23236302,0.17569096,0.15203932
Cd22,0.008158878,0.020962583,0.0019960655,0.0
Ssbp3,0.5303648,0.4913837,0.3634594,0.37235615
Zfp512,0.13924064,0.1523251,0.11000671,0.117586315
Jdp2,0.04384059,0.07090484,0.03605616,0.026954519
Dnmt3a,0.20992188,0.2572701,0.24137631,0.3021244
Smurf2,0.7761471,0.9295757,0.8964788,1.1642576
Vax2,0.02400578,0.06125806,0.02789793,0.014034279
Ccr6,0.0041642026,0.10155813,5.3656324e-05,0.0
Ssbp2,0.19380362,0.45664433,0.4173327,0.10163858
Il7r,0.19531874,0.5082086,0.31933457,0.04508226
Cd226,0.5952906,1.8264447,1.6953608,1.3183364
Dpp4,0.6634478,1.49571,1.3961337,1.2193081
Fubp3,0.13162667,0.14353566,0.050142284,0.06644247
Slamf6,0.43966717,1.678506,0.43213427,0.16048974
Pou2f2,0.22787538,0.4551028,0.20948045,0.18584327
Mllt3,3.8220012,4.573915,2.9537432,2.9093173
Nsd1,0.99291617,1.2316825,1.3793316,1.5540875
Parn,0.26201034,0.27341133,0.2521483,0.2614589
Kmt2a,0.67405444,0.63575983,0.63400996,0.68237716
Cd200,0.010925234,0.021774141,0.0030023362,6.523916e-05
Setbp1,1.070242,1.9761368,1.3080723,0.77915096
Hif1a,3.7672257,5.329389,2.5710402,1.886778
Stat2,0.13532609,0.33571067,0.27169132,0.19327272
Arid1a,0.58813566,0.58171624,0.48961315,0.46268317
Lag3,0.04559218,0.12884916,0.036232963,0.008491592
Nrp1,0.35188362,1.2150853,0.554455,0.5660426
Nt5e,0.04308437,0.11976943,0.05984126,0.033040956
Elk3,0.26213416,0.45879692,0.30332342,0.3572849
Cd200r1,0.005416713,0.0232172,0.004099552,0.0020680083
Myb,0.2965025,0.2760854,0.07747247,0.010144923
Arid5b,1.2656764,3.2071245,2.6956553,2.417225
Ar,0.29659942,0.5708162,0.3018254,0.29144305
Cd160,0.058509808,0.076081574,0.023800014,0.036179025
Ddit3,0.010861145,0.02244855,0.013487806,0.0056855497
Tox2,0.038985547,0.26155192,0.0024334996,0.0042153182
Ciita,0.0012613958,0.0006083415,0.0005081928,2.8022603e-05
Maf,0.010726306,0.025944091,0.011307477,0.0037416404
Zhx2,0.2757509,0.62760586,0.44670576,0.30522868
Tet3,0.1999161,0.27340293,0.2547562,0.2099138
Pou6f1,0.11909776,0.4600137,0.46038333,0.13972364
Cd274,0.9078079,1.7482463,1.2528646,0.7794299
Bbx,0.5834101,0.83445024,0.8108999,0.75138015
Scml4,0.5957094,2.6093135,2.4609103,2.2007437
Eif2ak2,0.36193556,0.5123001,0.3891983,0.29363215
Btla,0.53219515,1.6080008,0.32354102,0.09497116
Ascc3,2.1409864,3.1199818,2.5719101,2.2425354
Hdac7,0.20903634,0.378577,0.2913427,0.23594949
Pecam1,1.061199,3.2813997,2.0099046,0.67431825
Ets1,3.043837,4.5821137,4.239062,4.6448545
Hivep2,2.1966476,4.5972977,3.8727386,3.9950187
Tcf7,0.1515156,1.386098,0.302386,0.056304626
Tcf12,2.9544678,5.4890437,3.5141232,3.4675987
Ighd,0.0029934726,0.01728575,0.0015874483,0.00012992811
Phc2,0.18190096,0.37013927,0.21914493,0.210424
Rel,4.0893865,4.8765273,2.641442,2.102282
Zeb1,2.0532715,4.0872955,2.82562,1.3593687
Rnf19a,1.3374262,2.9281173,1.8877169,2.4592025
Ythdc1,2.0415502,2.6474898,2.2600882,1.9778241
Cd44,1.6690515,2.0856822,1.543446,0.780523
Tnfrsf4,0.021582576,0.033727176,0.0013623195,0.0011710781
Nr4a3,0.7844806,1.5042905,1.213964,1.4508327
Zbtb10,0.014038818,0.03163923,0.0062468722,0.00026291542
Klra9,6.660395e-05,0.0031839588,0.0022073262,0.0045690686
Tgif2,0.1132798,0.14836003,0.122283086,0.056749213
Zbtb20,0.92430925,2.4086199,1.5488459,1.9969268
Klf9,0.023500966,0.067518614,0.027195139,0.030012269
Eng,0.00062087114,0.00037074566,4.0519095e-05,0.0
Ccr7,0.014296381,0.045662895,0.0072606266,0.0011809053
Pou2af1,0.033338778,0.032554746,0.0020202224,0.007068711
Eif5b,0.46413332,0.43906605,0.36720562,0.3505371
Stat4,4.432249,6.9994006,6.3389783,5.906308
Mbd1,0.1522473,0.14664708,0.1099549,0.088778205
Zkscan5,0.056700744,0.0667042,0.047060445,0.06303774
Ighm,0.61995655,0.8743037,0.4755351,0.23903716
Cebpz,0.31570408,0.29434216,0.23017402,0.18073507
Ctla4,4.083251,7.71882,3.8713167,0.7472775
Ly6e,0.11780426,0.14181665,0.073223054,0.030504508
Smad1,0.03112366,0.049287613,0.008112312,0.011291358
Zfp113,0.0052165883,0.009069056,0.0047639087,9.685729e-05
Cbx7,0.041426644,0.04537376,0.0233879,0.02588507
Sox5,0.2139803,1.8711876,0.32814905,0.83202213
Il1rl1,0.046696994,0.19149762,0.022170773,0.037448622
Ly75,0.35585883,0.73118055,0.5237673,0.41391483
Cd9,0.13352036,0.25864136,0.05598256,0.027675854
Xrcc5,0.30787835,0.397282,0.26875043,0.18228932
Pwp1,0.14280494,0.18967834,0.10088964,0.070280075
Epcam,0.014978123,0.017610801,0.0036354905,0.0
Esr1,0.022113008,0.09270733,0.044550106,0.051965192
Taf4b,0.4852596,0.7549674,0.5123499,0.27890897
Nr4a2,2.0077405,2.7735353,2.1674716,1.7739754
Ncoa3,0.45389536,0.5939009,0.42151225,0.39386854
Stat5a,0.6581597,1.3300412,0.5176518,0.3425466
Batf,1.1210214,2.1622956,0.5175458,0.30392244
Ing3,0.31833062,0.32820985,0.25860626,0.23843475
Relb,0.83653486,1.3825393,1.1775732,0.9405071
Dach1,0.03763905,0.036946334,0.004729918,0.007612189
Tnfrsf1b,0.55501366,1.2383254,0.89128864,0.5864891
Tnfsf4,0.02985656,0.13153307,0.0020982851,0.0022490108
Max,0.42883247,0.69516695,0.5164581,0.41589338
Zbtb1,0.4856248,0.4548495,0.31116223,0.31060773
Nfkbib,0.31647137,0.39729896,0.3167644,0.30279845
Ankrd55,0.44958887,0.45822266,0.100550674,0.08460038
Zfp62,0.28120968,0.5496713,0.36906698,0.35360324
Trbc1,1.1494364,1.9191864,1.2864429,1.0696503
Tlr1,0.0029539447,0.0348197,0.009484544,0.00074386824
Chd2,3.9679883,5.7815676,4.139501,2.9766588
Cd5,1.0404811,1.987177,1.8820466,1.4621216
Il6st,0.27967235,0.95069546,0.26511875,0.1617898
Gtf2b,0.2953682,0.28385168,0.16437455,0.16751684
Elf1,2.6712477,3.2542615,2.6794317,1.988379
Ube2b,1.0727262,1.9625187,1.8766577,1.6027457
Zbtb17,0.19979037,0.3067538,0.15463871,0.07801822
Ms4a1,0.00066016783,0.005095235,2.1285152e-05,0.0
Trdv1,0.0025411882,0.011535789,0.0038503706,0.007318384
Ahr,0.04629752,0.1176379,0.008755323,0.003766655
Hopx,0.16472934,0.28392556,0.27854615,0.14694503
Fas,0.18295328,0.2726292,0.14209883,0.08694756
Jarid2,1.6387904,3.0004113,2.1258788,1.862894
Tbl1x,1.7405097,1.935835,1.1800456,1.033125
Icos,2.6169684,4.200021,2.5585108,1.510578
Stat3,3.3930569,6.1271515,3.5220227,3.5356498
Pcgf5,0.45752358,0.59188926,0.421622,0.23098409
Hbp1,0.18709023,0.3463836,0.29290813,0.22761288
Etv6,3.2420797,4.641131,2.7716358,2.809237
Hdac9,0.04771328,0.08741065,0.011289104,0.009276087
Jmjd1c,2.4792025,2.930419,2.3184698,2.109847
Id3,0.04207014,0.26338246,0.0075368574,0.00023249778
Tnfsf8,0.19638906,2.631073,0.07241598,0.013372071
Zdhhc13,0.21366695,0.3336308,0.11627945,0.122794494
Izumo1r,0.02004969,0.08877776,0.0019730336,6.727816e-05
Nfatc1,0.7648736,1.1309917,0.8265103,0.69977134
Crtam,0.3298612,1.1506085,0.22156063,0.12678362
