,Cl13_P2,Cl13_P7,Cl13_P9,Cl13_P10
Hdgf,0.026108243,0.0060740714,0.0031049242,0.0
Hat1,1.0277418,0.62655795,0.71564245,0.48203754
Cebpg,0.22583906,0.15653482,0.19408128,0.12162249
Mbd4,0.2598449,0.077312246,0.06469602,0.054297242
Ttf2,0.14839824,0.05428256,0.025974551,0.0
Cbx5,0.73720515,0.19035475,0.08417167,0.049523525
Tcof1,0.23404977,0.12467233,0.15233554,0.15192476
Mybl1,0.044793095,0.02132143,0.008131851,0.0
Myc,0.0504872,0.018329415,0.009011275,0.0
Safb,0.2913984,0.22497217,0.20618515,0.23141548
Fkbp2,0.037039515,0.01231081,0.008500784,0.0
Pdcd11,0.27133375,0.1936484,0.16154893,0.0662491
Setdb2,0.3975293,0.22646722,0.27978787,0.21865803
Ilf3,0.6740573,0.52287793,0.3391036,0.19517025
Pnn,0.06732513,0.03599098,0.04786154,0.019846143
Uhrf1,0.6807827,0.08943853,0.058516447,0.03337259
Hmga1,0.035188872,0.0070653036,0.007353981,0.0
Zscan22,0.11214919,0.051364154,0.04382387,0.05991093
Ahctf1,0.7259776,0.53045243,0.46260947,0.6265651
Setdb1,0.45586175,0.25385326,0.22528161,0.105808824
Nap1l4,0.57084423,0.44165444,0.3612357,0.34177023
Nfya,0.19318713,0.068590745,0.061112694,0.05916314
Plag1,0.047465567,0.024671916,0.02832951,0.07123226
Prmt5,0.07009458,0.022816706,0.020962914,0.0
Khdrbs1,2.2261462,1.9010844,1.4857286,1.383455
Rbbp7,0.7083933,0.3431426,0.2910738,0.5282858
Ccr9,0.13132535,0.035335056,0.051411424,0.057626594
Cramp1l,0.51059246,0.2560402,0.24843152,0.32258004
Zbtb38,0.20347954,0.13798085,0.24450417,0.09655018
Hells,1.9470911,0.41705284,0.23327886,0.071453474
Fbxo7,0.3703558,0.3054665,0.21238679,0.19907564
Taf6,0.08587984,0.03837482,0.030102298,0.062407974
Smarca5,1.0172452,0.9167563,0.9677009,1.368108
Tfdp1,0.4001035,0.124964625,0.073521785,0.016384985
Crebzf,0.19785811,0.12792198,0.11870627,0.24467877
Cbfb,1.6295902,1.0316306,1.0473895,1.0375069
Rb1,1.2430282,0.646777,0.9340252,1.3818576
Cd8b1,0.5129444,0.3751091,0.48781794,0.6596546
Sfmbt1,1.093528,0.40257737,0.26781172,0.29434493
Mcm7,0.36685228,0.066505186,0.066105925,0.06576276
Hmg20b,0.34397832,0.15785438,0.19207658,0.10439372
Trim28,0.07963468,0.055849746,0.023426307,0.095475286
Mtf1,0.20549752,0.13979295,0.123619005,0.052439936
Ddb2,0.5170008,0.29277563,0.30225265,0.28371152
Ercc2,0.033423238,0.01977064,0.017629799,0.024173863
Zranb2,0.24929887,0.19586115,0.1578521,0.33556652
Kntc1,0.7974731,0.12403539,0.068709366,0.022179676
Pcmt1,0.98712844,0.49499106,0.49679878,0.5097014
Fus,0.69915146,0.58845174,0.70901775,1.059281
Rfc1,0.92185926,0.34959313,0.33370805,0.22092238
Cenpk,0.97783464,0.20271781,0.09851777,0.12237953
Tnfrsf9,1.7701325,1.3210475,1.6019025,0.5646592
Zdhhc16,0.02996761,0.015897904,0.0037433018,0.0
Dek,1.0883754,0.48717007,0.39576876,0.4003849
Taf1,1.1391983,0.6400662,0.4676866,0.3852796
Atad2,1.8227227,0.6529451,0.48259008,0.55268997
Havcr2,2.3862376,0.33744028,1.4913625,1.5246933
Phf19,0.10041344,0.01631899,0.017736696,0.10500361
Dnmt1,0.6146759,0.15730071,0.15125498,0.12752517
Mcm3,0.38199413,0.09536923,0.046047956,0.051650543
Thy1,0.1402571,0.07337426,0.1357955,0.2133161
Mcm6,2.0359986,0.6613244,0.58998644,0.5365881
Rbbp5,0.13741548,0.10988388,0.088548586,0.13809878
Rbbp4,1.4003657,0.67768455,0.6257481,0.8246951
Polr2b,0.31205687,0.15837705,0.1799691,0.034809228
Nsd2,1.853697,0.6640534,0.50381,0.4223956
Ube2k,2.1007705,1.9340736,1.5389397,1.6067454
Mcm5,0.1638278,0.032632433,0.017629504,0.0
Hnrnpab,0.15831256,0.0550417,0.027318966,0.072952375
Coil,0.2958027,0.21413879,0.2605018,0.22885881
Mcm4,1.8833693,0.42486107,0.41777125,0.2172279
Mxd3,0.008212892,0.0030399475,0.002069542,0.0
Polr3f,0.10300593,0.07115304,0.049403667,0.11124681
Eaf1,0.15049107,0.12244756,0.08855899,0.24682131
Thrap3,2.151678,1.7149595,1.65366,2.0100117
Paxip1,0.30914187,0.10011676,0.06451863,0.11221441
Snrpb,0.31148905,0.24293312,0.21443827,0.32597372
Phip,1.393526,1.0233787,0.87375575,0.7547468
Kmt5c,0.042221103,0.017964242,0.014707085,0.0
Tial1,0.6007694,0.34301502,0.33684164,0.42948294
Brip1,1.3445413,0.3349712,0.20704977,0.18664986
Brca1,1.4936427,0.29136133,0.15076862,0.07942284
Ivns1abp,0.4234544,0.29180893,0.3918394,0.17134455
Hnrnpr,0.83695203,0.42546803,0.3801264,0.4789917
Timeless,0.310808,0.079518266,0.079059325,0.16477376
Zdhhc21,0.610679,0.4181482,0.3593539,0.38754034
Foxn3,4.779436,3.10884,5.4246073,6.222107
Gabpa,0.16016161,0.10784503,0.09413302,0.06205029
Nr2c1,0.06113766,0.04193652,0.048151527,0.0
Rbl1,0.7507118,0.26523095,0.25770614,0.23321849
E2f1,0.31132895,0.06461073,0.044513892,0.0
Prmt7,0.23390657,0.13668975,0.12745577,0.16895516
Gtf3c5,0.16250156,0.08129417,0.061544083,0.028594492
Alcam,5.7028933,5.08221,4.626496,2.9779315
Dnmt3b,0.0364759,0.029454397,0.030112255,0.016239233
Prmt6,0.045916803,0.017729819,0.021017442,0.030254254
Cbx1,0.27779898,0.11176126,0.07080347,0.0
Fmr1,1.1855996,0.88370085,0.80228424,0.5621876
Trim27,0.10201261,0.046357047,0.017903112,0.047278002
Supt16,1.2717248,0.45361218,0.49361938,0.5278894
Mcm2,0.094675556,0.024208453,0.019922882,0.059521705
Fosl1,0.14083913,0.0661553,0.03169135,0.03132653
Psip1,0.8519099,0.39208815,0.33547,0.24957879
Ssrp1,0.39056557,0.15829772,0.12579344,0.03659845
Ankrd55,0.5982624,0.49079505,0.32537782,0.38334575
Sirt1,0.3127812,0.16251883,0.1304316,0.080007404
Hnrnpd,2.491045,1.1447381,0.8823956,0.74149394
Ewsr1,0.91305494,0.7886024,0.76597863,0.8304863
Sf1,0.89867276,0.676313,0.7104914,0.5845333
Baz1b,0.7412814,0.245526,0.24314755,0.16516119
Ncam1,0.008985744,0.0002833186,0.0,0.0
Gatad2a,1.5717486,1.3005452,1.6243764,1.2831212
Hdac3,0.051793654,0.0245244,0.02169003,0.02833541
Rnps1,0.11363416,0.08156239,0.06479935,0.06776424
Plrg1,0.05372835,0.03886324,0.03917956,0.105355226
Prdm1,0.7640715,0.1184053,0.55020267,0.39268672
Runx3,2.5060475,1.4748372,1.2107141,1.4241014
Tcf19,0.03202143,0.0029164953,0.0019140227,0.0
Lgals3,0.2676467,0.04799945,0.23103675,0.104486935
Eed,1.7687484,1.2142942,1.2888988,1.700997
Epas1,0.37306097,0.15980832,0.43744826,0.15890434
Sema7a,0.4315698,0.24878477,0.3512366,0.1705648
Irf4,0.91302156,0.61373097,1.0346189,0.38182646
Sap30bp,0.3164918,0.23779033,0.2727709,0.34367746
Ssb,1.1906618,1.0160745,1.0865617,1.236272
Cops5,0.35072064,0.20462163,0.16406786,0.19653848
Taf15,2.2574077,1.2546924,1.1177582,0.78029704
Actl6a,0.22167733,0.09003196,0.07656355,0.0
Suv39h1,0.107357815,0.032062683,0.023800613,0.03791918
Orc1,0.7790955,0.23546281,0.23870587,0.119205736
Prdm4,0.10456127,0.057840027,0.07288656,0.09592984
Hmgb2,0.80924714,0.33763275,0.35347354,0.23099507
S1pr1,0.30935523,0.22035843,0.2260623,0.23996483
Cebpz,0.3224866,0.297245,0.27474114,0.34117717
Polr2k,0.19767451,0.111653626,0.10104316,0.023138378
Chaf1a,0.2882999,0.04918396,0.023145832,0.0
E2f2,0.45845327,0.24372576,0.13918678,0.042794485
Mbd2,1.3853993,1.063217,1.0018985,0.7789405
Polr2i,0.118517995,0.046230175,0.06427425,0.0
Tsg101,0.3241007,0.231177,0.27650687,0.2313936
Ctcf,0.8613547,0.5675592,0.61877495,0.5545951
Mtf2,0.86398935,0.60192204,0.41699877,0.2983233
Chaf1b,0.14817432,0.03589573,0.07025583,0.0
Hdac6,0.036864847,0.02567872,0.020780172,0.0
Zfp207,1.3436579,0.9711999,0.83377063,0.65509933
Hmmr,0.16345073,0.028310768,0.01815337,0.0
E2f8,0.19741672,0.0155787505,0.018580465,0.0
Espl1,0.09538271,0.0165839,0.0051625334,0.0
Suz12,2.2377908,0.9705168,0.7814295,0.71340203
Il2ra,1.5535977,0.31164464,0.91570616,0.242621
Zfpm1,0.18639106,0.11367683,0.05210036,0.031620637
Gtf2e1,0.19634867,0.10402131,0.06996329,0.048717696
Foxm1,0.11380407,0.027491532,0.013730424,0.0
Hlf,0.45223534,0.19131671,0.11481939,0.028512165
Zfp444,0.119646244,0.052800685,0.09599265,0.0
Cbfa2t3,0.027563216,0.010191639,0.0010265155,0.0
Igsf8,0.051047068,0.01113354,0.013308005,0.058620617
Irf8,0.027336312,0.011512385,0.008273183,0.10542094
Ets2,0.05275341,0.015532143,0.03199093,0.0
Sertad2,0.26289284,0.17420128,0.2009637,0.23537517
Itgae,0.020078655,0.0063292608,0.011860917,0.0
Lair1,0.102776706,0.044613887,0.08834519,0.073297255
Zfp382,0.09047228,0.058169305,0.070768684,0.0
Sp3,1.1027299,1.0286908,0.82902735,0.8618524
Hdac2,0.16181153,0.053882968,0.049975295,0.071166575
Il17ra,0.18523575,0.1431456,0.16196604,0.16036348
Brpf3,0.105880134,0.05872315,0.09439889,0.14490277
Ddx20,0.34650984,0.12138873,0.073757306,0.09552025
Nfyb,0.052068524,0.030382764,0.016577886,0.026538344
Prpf4b,0.5672358,0.33170068,0.40081212,0.35909638
Jade1,0.07404508,0.035589095,0.022059098,0.075122744
Ctsl,0.034314148,0.025256936,0.024720555,0.0
Aurkb,0.075574614,0.006338863,0.0037686208,0.0
E2f6,0.07095081,0.03714574,0.024681501,0.0
Toe1,0.31324244,0.09550792,0.07086333,0.10983592
Parp1,0.38395372,0.13590334,0.07748262,0.11886504
Polr3d,0.06856104,0.055139273,0.066226855,0.07163374
Zfp422,0.26125723,0.17102568,0.12678003,0.13657
Ruvbl2,0.28285205,0.072884314,0.055250473,0.010518561
Gtf3c4,0.01660945,0.009474597,0.00085420854,0.0
Bclaf1,1.3318474,1.0084668,0.8878031,0.44742787
Gtf2h1,0.84998524,0.5183739,0.54352546,0.3605667
Smarcc1,1.1100372,0.669976,0.4773268,0.5158374
Kmt5a,0.1333199,0.03156074,0.021746475,0.0
Tle1,0.08348373,0.02301879,0.024737243,0.09362905
Batf3,0.059296224,0.0019842882,0.0,0.0
Asxl1,2.9738522,1.792327,1.452467,1.3677213
Brd9,0.19738941,0.18294573,0.1761697,0.24126568
Brd8,0.43650615,0.2646963,0.19413078,0.25285855
Tsc22d3,0.0143707385,0.008905772,0.0010024277,0.036071673
Wdr5,0.20167671,0.091740645,0.046026062,0.02324701
Gata3,0.24543081,0.13859724,0.18548761,0.18629804
Gtf2ird1,0.15234774,0.051316082,0.010512314,0.026687916
Zfp143,0.19851899,0.11545755,0.11494163,0.10406493
Zbtb11,2.005356,1.589052,1.4518936,0.99873984
Suv39h2,0.093932435,0.055213902,0.050142214,0.022262508
Clec12a,0.020523211,0.0009277742,0.0,0.0
Nfe2l1,0.039399687,0.023844823,0.0037839029,0.0
Foxn2,0.7404379,0.6567087,0.58905345,0.46774724
Trip13,0.16220099,0.026065134,0.011867291,0.0
Dpy30,0.3155681,0.119142465,0.11709492,0.10387753
Actb,39.496334,26.83363,33.909496,40.378674
Smyd4,0.1842227,0.09581778,0.049099337,0.09765645
Csrp2,0.027381161,0.0050867684,0.0009779609,0.0
Hsf2,0.12825209,0.07599868,0.043818705,0.03791918
Klf10,0.10343449,0.07866232,0.09193489,0.07886402
Atf1,0.92863333,0.7469808,0.6549872,0.8227521
Nono,0.30660126,0.16777784,0.12721343,0.09476675
Fiz1,0.12146242,0.058291882,0.07719782,0.10107498
Gtf2e2,0.2954796,0.20055373,0.08776393,0.11237073
Ybx1,0.5365526,0.25126755,0.2065887,0.32251853
Mycbp,0.13413809,0.04489163,0.045453347,0.060485967
Drap1,0.6738034,0.33522046,0.37002757,0.3283547
Padi4,0.016003158,0.001909553,0.008987137,0.026538344
Cd40lg,0.109309465,0.045616336,0.034492813,0.010518561
Srebf2,0.6115334,0.4644948,0.45970184,0.17665872
Mcm8,0.2191106,0.044683576,0.012813331,0.0
Ezh2,1.7624656,0.71225727,0.47162375,0.2767747
Zfp553,0.013182206,0.004007859,0.0055316747,0.0
Nap1l1,2.3506408,0.6605606,0.424771,0.2493951
Upf1,0.0908897,0.07628631,0.073278435,0.18895459
Gtf3a,0.43113673,0.09970789,0.06452485,0.10382489
Med21,0.81321865,0.35907164,0.3753991,0.4991302
Polr2f,0.5448895,0.18247403,0.089170925,0.21492232
E2f5,0.07679262,0.03821527,0.05924397,0.05193479
Hnrnpul1,0.4886604,0.23760565,0.25633198,0.3860599
Sin3a,0.40395832,0.21723273,0.3015584,0.36567432
Taf1a,0.37932572,0.25389996,0.12335693,0.17589077
Wdhd1,0.92867047,0.20439057,0.14506714,0.07741827
Men1,0.20578763,0.06512461,0.08107755,0.11432077
Cbx3,1.0088856,0.32334173,0.22523676,0.47570246
Ncoa5,0.2895013,0.17683953,0.17589387,0.2640693
Tfrc,0.30042577,0.14196584,0.16038325,0.11576279
Abcg2,0.04498887,0.03198604,0.021286335,0.04441437
Tshz3,0.015452667,0.002125156,0.013631561,0.026538344
Gatad1,0.36116508,0.1549936,0.15323462,0.0518415
Brca2,0.26087186,0.044711813,0.044073213,0.0
Brd7,0.47962913,0.32360008,0.302653,0.23672004
Hist1h2bp,0.014945308,0.0058036684,0.00036060798,0.0
Zfp131,0.33638436,0.28916314,0.2481048,0.36570668
Notch3,0.0040234136,0.0011916221,0.0,0.0
Mybl2,0.39799893,0.058077943,0.04061809,0.080596685
Ash2l,0.18870105,0.10931098,0.07835718,0.09628163
Pbrm1,1.1715486,0.8455492,0.9655653,0.96729666
Cnot6,0.47329772,0.40751815,0.27531675,0.29123995
Tardbp,1.198684,0.44729716,0.3953873,0.3249649
Ilf2,0.2476018,0.16288823,0.15625103,0.08171018
Wbp11,0.39032474,0.25941312,0.17862052,0.27200532
Srrm1,1.946322,1.2532167,1.2346935,1.0927308
Dnajc2,0.26911342,0.14922085,0.14938234,0.034784254
Snrpd1,4.2214236,1.3460832,1.1296737,0.8326821
Tcerg1,0.90905607,0.4683767,0.3610286,0.23473057
Bard1,0.7735184,0.1573805,0.07625708,0.119483575
Parp2,0.16225323,0.082771726,0.07698609,0.07472433
E4f1,0.084573165,0.045967206,0.030338848,0.054338686
Fubp1,1.0454731,0.8991462,0.7841221,0.60431826
Zfp248,0.07260279,0.05614759,0.010521525,0.052714273
Prmt1,0.19280541,0.13884778,0.0626631,0.1323013
Apex1,0.08853762,0.036246985,0.004940136,0.06209304
Zfp606,0.029941922,0.018328296,0.022506386,0.0
Tnfrsf8,0.42708832,0.1508556,0.11243189,0.1187056
Cd300c2,0.007329775,0.0012155578,0.0,0.0
Csf1r,0.010826778,0.0019556456,0.0,0.0
Il1r2,0.17196442,0.047246106,0.060625784,0.7354924
Sirpa,0.023558207,0.0044515855,0.0,0.040860694
Ly86,0.028757738,0.0073681646,0.011482919,0.021757362
Tet1,0.006583928,0.0028680474,0.006253324,0.0
Tcf4,0.24020624,0.19603413,0.19578694,0.032398775
Csf3r,0.01830808,0.0016305458,0.0,0.122582085
Hdac1,0.51534414,0.5145219,0.5275398,0.16705047
Cd300lf,0.017680762,0.0040887995,0.0,0.040860694
Tcf7l2,0.0412575,0.02993225,0.009091807,0.0
Plaur,0.08790743,0.051572114,0.0038276399,0.3677462
Zfp36l2,0.0032469106,0.003029047,0.005153481,0.0
Klrc1,0.7762218,1.2457776,1.3016073,1.3109863
Ets1,3.0137565,4.6451926,4.0129237,4.0345893
Polr2d,0.028291838,0.020421537,0.031291284,0.0
Smad4,0.4858432,0.660051,0.64900476,0.98971975
Il6ra,0.020844055,0.028615125,0.0038276399,0.0
Phc2,0.19475253,0.38638306,0.24108614,0.3110011
Pwp1,0.17063604,0.20363495,0.16633534,0.16380426
Pknox1,0.15158896,0.13309191,0.104560636,0.021757362
Dach1,0.09192895,0.04179228,0.0052980552,0.0
Calcoco1,0.005891253,0.046244603,0.020543525,0.027169343
Ahr,0.06792028,0.12904926,0.020455508,0.0
Tgif2,0.09414362,0.14656179,0.13764097,0.124375746
Fkbp1a,0.30238706,0.3403847,0.28454238,0.24852794
Notch1,0.079821944,0.13271144,0.1322393,0.0756828
Plxnc1,0.47179088,0.5088197,0.35815033,0.1343486
Ascc3,2.0553217,3.1887915,2.8764122,2.7936912
Vsir,0.15103239,0.22124767,0.23481497,0.1652238
Maff,0.01251812,0.025701225,0.010587339,0.050018873
Stat3,4.6064343,6.4487677,6.5027304,4.8616047
Ctla4,5.1771684,8.020089,7.1742587,1.5058497
Satb1,3.311275,4.6681967,4.501235,4.772973
Jarid2,1.6452699,3.0501947,2.1343696,1.5718068
Nfkb1,2.9316015,4.7880983,3.8190598,3.9153333
Cd6,0.4740535,1.165411,1.2710885,1.4147949
Kdm6b,0.39936417,0.71893907,0.6727967,0.99240786
Taf4b,0.3906353,0.7561541,0.81734455,0.36835313
Prkcd,0.09396719,0.08075526,0.11400903,0.14158735
Rel,4.243036,5.050589,3.790171,2.6422443
Jmjd1c,2.4711714,2.939558,2.2497396,2.1404338
Zdhhc13,0.26228574,0.3423789,0.13531303,0.21905541
Cd83,0.3554118,1.0500109,0.07971152,0.0
Xab2,0.035267852,0.0456446,0.029803617,0.0
Med8,0.07612336,0.06682162,0.024813242,0.019965315
Il1rl1,0.103333384,0.21599443,0.073075734,0.0
Zfp1,0.12663989,0.1490506,0.16437046,0.13866371
Ercc5,0.07481565,0.073878184,0.057482924,0.030707676
Ddit3,0.008932061,0.023295404,0.008001925,0.0202589
Pcgf5,0.56769484,0.58319944,0.47422138,0.29960752
Izumo1r,0.040892653,0.09645302,0.0041415235,0.0
Crtc1,0.09829594,0.077861995,0.06362503,0.0
Ankra2,0.11140953,0.10327356,0.07674699,0.17513931
Znfx1,0.1060221,0.18274704,0.19701722,0.12069876
Pdcd1,0.552392,0.6375482,0.44183403,0.023138378
Bcor,0.2652372,0.26523322,0.16213922,0.27314845
Trps1,3.808592,5.0663805,2.7378156,3.2674735
Pax5,0.00435614,0.012824564,0.011482919,0.0
Tnfsf4,0.074431404,0.14994222,0.015282306,0.0
Slamf1,0.31683418,0.43073142,0.54598445,0.22923125
Zfp36l1,0.3661417,0.59826064,0.40967703,0.32879552
Il23r,0.10167976,0.47597456,0.008545905,0.0
Klf4,0.006167845,0.004652584,0.0069691604,0.028758781
Deaf1,0.18379465,0.15631759,0.18433277,0.17100003
Per1,0.11894174,0.23409618,0.21533631,0.22027244
Pbx4,0.022424508,0.053086266,0.013635664,0.0
Ebf1,0.0348141,0.074203044,0.042722214,0.0
Crebbp,1.3293988,1.5602298,1.7204055,1.2374058
Nrp1,0.74577105,1.3142637,0.51181066,0.5167371
Ifi204,0.00649981,0.01627652,0.032984246,0.0
Sp110,0.067691654,0.12943983,0.15670763,0.18624966
Ovol2,0.0010961832,0.0019595635,0.0056281346,0.0
Stat2,0.12971438,0.33462566,0.284892,0.22599976
Eif2ak2,0.42946395,0.50793463,0.47000703,0.42457914
Xrcc5,0.35598376,0.40902716,0.29710814,0.118430786
Kcnip3,0.0,0.016998367,0.0,0.0
Sp140,0.18886007,0.209868,0.27066755,0.27107334
Apc,0.76731783,0.9418282,0.9276055,1.558629
Sp4,0.48140934,0.5265426,0.675403,0.7299167
Mafk,0.031588495,0.05151001,0.058625795,0.0
Smarca2,0.72756445,0.9940113,1.0173796,0.9719492
Zbtb20,0.9141026,2.373086,1.2015824,1.0338606
Il7r,0.19112612,0.51263034,0.19178462,0.22290447
Zmynd11,0.46665084,0.48019075,0.6881825,0.45562398
Myb,0.27337557,0.27947116,0.14815137,0.0
Rai1,0.3212946,0.28501797,0.21253665,0.25794452
Pou2f2,0.27670458,0.47936946,0.3017632,0.23004472
Kdm4b,0.102064,0.14895959,0.10784561,0.15302143
Daxx,0.11388495,0.102512725,0.13794397,0.12155984
Atp1b3,1.2195086,1.2104753,1.1694123,1.1094234
Fosl2,0.043905575,0.102425635,0.1366577,0.12575871
Elp3,0.06298388,0.0561118,0.030263271,0.0
Itgb1,0.95782346,2.389989,1.4124329,1.559643
Phf2,0.14156902,0.13080361,0.075624794,0.11450472
Baz2b,0.5144432,0.7320466,0.70954615,0.94835865
Ehmt2,0.086958155,0.050456908,0.052865192,0.052803557
Lag3,0.06453822,0.14608817,0.08798427,0.0
Bin1,0.0940444,0.21980888,0.18321913,0.30621544
Nsd3,2.385447,2.6361332,3.199027,4.1009097
Nfic,0.022247951,0.019736465,0.017420996,0.02966518
Bst2,0.017545518,0.031406865,0.019310383,0.0
Tnfrsf25,0.0027920706,0.014275831,0.004103352,0.0
Scml4,0.47882628,2.432666,1.5831096,1.9333793
Sp100,1.4099518,2.5837665,3.4325173,3.546597
Zmym2,0.2726509,0.32943022,0.32804382,0.567359
Lmo2,0.002153148,0.0019468406,0.0,0.0
Pecam1,1.2969488,3.398737,2.286515,0.9230999
Kdm5b,0.06322421,0.31159356,0.2978107,0.087024465
Ssbp2,0.1799264,0.38841397,0.23126855,0.0
Dpp4,0.6427948,1.4341452,1.0248593,1.0283043
Bbx,0.6210246,0.7993574,0.71531487,0.44765434
Ruvbl1,0.019104058,0.027113475,0.0036867405,0.0
Shprh,0.30284247,0.35169312,0.32190034,0.723207
Stat6,0.06671129,0.110428296,0.11603179,0.106801435
Zfp354c,0.015168605,0.016279256,0.014456814,0.0
Thra,0.018809877,0.019733626,0.0030076825,0.0202589
Ar,0.4058288,0.5920308,0.3219161,0.41834867
Sirt5,0.019142777,0.013205209,0.003777412,0.0
Ppargc1b,0.1062079,0.066344574,0.061902005,0.08631103
Snai3,0.015948817,0.01679846,0.016664587,0.0
Tshz2,0.14159319,0.17886661,0.037695527,0.0
Ncor1,2.5702064,2.4672377,2.6457102,3.2094924
Gtf2a2,0.22914165,0.23884147,0.20952131,0.09630983
Rgs14,0.004499679,0.007761849,0.017472163,0.028512165
Zfp236,0.25917462,0.2576355,0.30918375,0.38722646
Arid5b,1.3633224,3.3240201,3.0289938,2.7016008
Xpc,0.015045048,0.015366087,0.015862295,0.0
Vax2,0.062239952,0.06841661,0.03164241,0.028916799
Fbxo17,0.0281946,0.017950468,0.0,0.0
Cd22,0.009281467,0.023322573,0.00089971285,0.0
Rsf1,1.0388712,1.1940086,1.3034607,1.1868844
Ighd,0.0048369896,0.019445365,0.009961907,0.0
Rarg,0.029189236,0.025698714,0.024828536,0.0
Cd96,0.25027052,0.42797738,0.6114832,0.71138716
Jdp2,0.06293485,0.07678718,0.038946833,0.060354855
Id3,0.06673455,0.2755388,0.01894742,0.0
Klrd1,0.06444078,0.13267939,0.22452196,0.3796965
Phf1,0.001215268,0.008944088,0.008728915,0.0
Rere,0.61943096,0.5305801,0.46786177,0.48619205
Crebl2,0.022064988,0.02310656,0.024867088,0.019965315
Tet3,0.21101047,0.26747134,0.19106217,0.35186931
Irf2,0.71463203,0.8529527,0.7877422,0.8164505
Maf,0.017804673,0.029329602,0.009771127,0.044359352
Cd46,0.09205061,0.086610235,0.08053421,0.13906816
Brwd3,0.3043759,0.3845515,0.31568414,0.29578885
Cd37,0.0419728,0.089331605,0.110269725,0.20666891
Nt5e,0.06777696,0.120990016,0.023698611,0.0
Cd180,0.026227746,0.014552121,0.017637316,0.0
