ChIP,ChIP gene #,sc_P6_cl13_up,sc_d8_cl13_up,d5_KLRG1lo_Runx3_repressed,sc_P5_arm_up,d5_KLRG1hi_all,nascent_Il2_promoted,sc_P4_arm_up,sc_P3_arm_up,sc_P2_arm_up,nascent_48h_up,sc_P7_arm_up,d5_KLRG1lo_all,sc_all,d5_KLRG1hi_Runx3_repressed,nascent_48h_dn,sc_P3_cl13_up,d5_KLRG1hi_Runx3_promoted,sc_P7_cl13_up,d5_KLRG1lo_Runx3_promoted,sc_P9_cl13_up,sc_d8_arm_up,nascent_all,sc_d5_cl13_up,sc_P9_arm_up,sc_P6_arm_up,sc_P2_cl13_up,sc_d5_arm_up,nascent_Il2_repressed,sc_P5_cl13_up,sc_P4_cl13_up
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,11227,0.0254,0.4138,0.0735,0.0266,0.2817,0.1070,0.0106,0.0461,0.0157,0.2701,0.0038,0.2817,0.6671,0.1275,0.2378,0.0549,0.1457,0.0126,0.0755,0.0083,0.1113,0.3816,0.1466,0.0866,0.0393,0.0040,0.1382,0.0854,0.0242,0.0121
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,12275,0.0230,0.3415,0.0724,0.0240,0.3038,0.0986,0.0095,0.0412,0.0150,0.2265,0.0036,0.3038,0.6251,0.1170,0.2325,0.0501,0.1220,0.0125,0.0661,0.0072,0.1038,0.3857,0.1312,0.0737,0.0333,0.0039,0.1234,0.0871,0.0231,0.0112
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,15671,0.0199,0.3524,0.0621,0.0211,0.3852,0.0917,0.0091,0.0358,0.0146,0.2400,0.0029,0.3852,0.7184,0.1058,0.2180,0.0444,0.1168,0.0113,0.0632,0.0063,0.0894,0.4568,0.1178,0.0738,0.0311,0.0033,0.1158,0.0785,0.0192,0.0096
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,12083,0.0237,0.3668,0.0736,0.0255,0.2999,0.1023,0.0100,0.0441,0.0150,0.2411,0.0038,0.2999,0.6413,0.1211,0.2357,0.0521,0.1313,0.0124,0.0721,0.0077,0.1078,0.3875,0.1387,0.0752,0.0370,0.0041,0.1293,0.0865,0.0234,0.0121
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,11565,0.0236,0.3226,0.0752,0.0250,0.2884,0.0980,0.0097,0.0444,0.0157,0.2135,0.0040,0.2884,0.5912,0.1135,0.2316,0.0508,0.1255,0.0119,0.0678,0.0076,0.1104,0.3643,0.1361,0.0676,0.0347,0.0039,0.1227,0.0884,0.0239,0.0113
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,4470,0.0092,0.0758,0.0283,0.0101,0.1136,0.0499,0.0065,0.0151,0.0116,0.0830,0.0016,0.1136,0.1642,0.0304,0.0657,0.0230,0.0424,0.0082,0.0247,0.0015,0.0379,0.1220,0.0388,0.0351,0.0112,0.0022,0.0460,0.0427,0.0110,0.0056
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,8010,0.0145,0.1523,0.0549,0.0169,0.2013,0.0723,0.0102,0.0284,0.0147,0.1331,0.0025,0.2013,0.3291,0.0594,0.1354,0.0343,0.0735,0.0087,0.0396,0.0030,0.0744,0.2230,0.0700,0.0555,0.0216,0.0025,0.0851,0.0654,0.0152,0.0072
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,8024,0.0135,0.1446,0.0517,0.0160,0.2007,0.0700,0.0099,0.0266,0.0137,0.1277,0.0024,0.2007,0.3146,0.0563,0.1297,0.0314,0.0716,0.0083,0.0375,0.0026,0.0697,0.2207,0.0647,0.0515,0.0189,0.0026,0.0787,0.0641,0.0142,0.0066
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2344,0.0071,0.0443,0.0260,0.0049,0.0603,0.0471,0.0065,0.0086,0.0101,0.0548,0.0013,0.0603,0.0980,0.0227,0.0427,0.0162,0.0273,0.0068,0.0149,0.0000,0.0291,0.0652,0.0269,0.0260,0.0078,0.0021,0.0362,0.0334,0.0068,0.0036
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,6290,0.0270,0.3100,0.0786,0.0262,0.1590,0.0963,0.0102,0.0507,0.0129,0.1712,0.0049,0.1590,0.3896,0.1184,0.2441,0.0588,0.1632,0.0108,0.0715,0.0098,0.1330,0.2294,0.1604,0.0612,0.0373,0.0044,0.1246,0.0849,0.0262,0.0130
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,11362,0.0257,0.4025,0.0753,0.0277,0.2821,0.1010,0.0115,0.0472,0.0163,0.2529,0.0040,0.2821,0.6441,0.1288,0.2432,0.0567,0.1459,0.0136,0.0765,0.0085,0.1148,0.3804,0.1485,0.0853,0.0394,0.0045,0.1367,0.0888,0.0252,0.0125
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,10683,0.0269,0.4097,0.0770,0.0280,0.2664,0.1050,0.0112,0.0479,0.0157,0.2518,0.0041,0.2664,0.6228,0.1315,0.2477,0.0588,0.1507,0.0137,0.0781,0.0091,0.1176,0.3656,0.1557,0.0867,0.0399,0.0048,0.1378,0.0896,0.0264,0.0132
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,7810,0.0295,0.3478,0.0841,0.0277,0.1958,0.1013,0.0113,0.0546,0.0146,0.2028,0.0056,0.1958,0.4755,0.1267,0.2490,0.0636,0.1613,0.0128,0.0741,0.0097,0.1364,0.2779,0.1693,0.0695,0.0386,0.0050,0.1289,0.0911,0.0299,0.0141
2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,12441,0.0242,0.3698,0.0703,0.0250,0.3089,0.1000,0.0099,0.0416,0.0159,0.2547,0.0035,0.3089,0.6649,0.1129,0.2270,0.0524,0.1323,0.0129,0.0703,0.0075,0.1027,0.4003,0.1340,0.0809,0.0356,0.0038,0.1277,0.0860,0.0236,0.0115
2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,12244,0.0240,0.3718,0.0720,0.0247,0.3053,0.1009,0.0100,0.0413,0.0154,0.2567,0.0036,0.3053,0.6680,0.1139,0.2262,0.0524,0.1314,0.0133,0.0689,0.0075,0.1021,0.3972,0.1356,0.0800,0.0355,0.0040,0.1273,0.0866,0.0235,0.0118
2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,5794,0.0362,0.2144,0.1056,0.0330,0.1459,0.0954,0.0133,0.0553,0.0204,0.1598,0.0071,0.1459,0.3219,0.1159,0.1836,0.0669,0.0957,0.0160,0.0602,0.0086,0.1281,0.1915,0.1427,0.0623,0.0398,0.0065,0.1217,0.1005,0.0361,0.0178
2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,5983,0.0117,0.1074,0.0488,0.0156,0.1515,0.0633,0.0100,0.0244,0.0150,0.1037,0.0020,0.1515,0.2394,0.0455,0.1022,0.0272,0.0573,0.0067,0.0321,0.0016,0.0624,0.1669,0.0510,0.0505,0.0181,0.0022,0.0749,0.0567,0.0114,0.0057
2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,5135,0.0111,0.0872,0.0403,0.0139,0.1306,0.0565,0.0101,0.0246,0.0132,0.0894,0.0021,0.1306,0.2016,0.0389,0.0897,0.0234,0.0535,0.0060,0.0296,0.0015,0.0593,0.1436,0.0436,0.0482,0.0160,0.0023,0.0664,0.0540,0.0115,0.0046
2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,9399,0.0285,0.4244,0.0733,0.0289,0.2351,0.1067,0.0104,0.0485,0.0144,0.2513,0.0046,0.2351,0.5642,0.1297,0.2363,0.0615,0.1588,0.0135,0.0823,0.0102,0.1143,0.3290,0.1630,0.0751,0.0431,0.0047,0.1371,0.0846,0.0276,0.0144
2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,9882,0.0289,0.4121,0.0824,0.0281,0.2466,0.1076,0.0105,0.0476,0.0139,0.2533,0.0044,0.2466,0.5780,0.1319,0.2397,0.0630,0.1524,0.0153,0.0783,0.0095,0.1138,0.3423,0.1615,0.0778,0.0415,0.0050,0.1345,0.0882,0.0289,0.0146
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,5180,0.0299,0.2169,0.0884,0.0262,0.1293,0.0936,0.0112,0.0492,0.0172,0.1442,0.0067,0.1293,0.2879,0.0958,0.1917,0.0612,0.1401,0.0113,0.0594,0.0082,0.1317,0.1797,0.1408,0.0547,0.0369,0.0046,0.1170,0.0773,0.0319,0.0141
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,227,0.0018,0.0081,0.0111,0.0035,0.0052,0.0106,0.0081,0.0075,0.0085,0.0074,0.0000,0.0052,0.0081,0.0084,0.0071,0.0052,0.0082,0.0024,0.0082,0.0000,0.0089,0.0070,0.0089,0.0080,0.0083,0.0000,0.0083,0.0079,0.0037,0.0026
2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,6201,0.0324,0.2641,0.0825,0.0310,0.1555,0.1012,0.0131,0.0584,0.0162,0.1777,0.0061,0.1555,0.3610,0.1113,0.2075,0.0628,0.1460,0.0136,0.0741,0.0091,0.1435,0.2156,0.1537,0.0634,0.0423,0.0048,0.1305,0.0818,0.0316,0.0155
2016_SCIENCE_Mackay___Hobit_invitro-CD8,270,0.0134,0.0118,0.0263,0.0133,0.0064,0.0138,0.0048,0.0144,0.0138,0.0095,0.0000,0.0064,0.0118,0.0156,0.0108,0.0256,0.0102,0.0110,0.0108,0.0000,0.0192,0.0086,0.0219,0.0071,0.0118,0.0061,0.0128,0.0121,0.0172,0.0094
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,1716,0.0333,0.0728,0.1025,0.0270,0.0429,0.0620,0.0158,0.0452,0.0229,0.0682,0.0097,0.0429,0.0921,0.0655,0.0781,0.0629,0.0714,0.0149,0.0394,0.0055,0.1017,0.0587,0.1023,0.0388,0.0331,0.0062,0.0657,0.0808,0.0382,0.0201
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,5013,0.0281,0.2335,0.0907,0.0308,0.1263,0.0979,0.0106,0.0541,0.0166,0.1484,0.0074,0.1263,0.2960,0.1053,0.1951,0.0582,0.1298,0.0117,0.0655,0.0085,0.1354,0.1779,0.1386,0.0610,0.0404,0.0042,0.1304,0.0821,0.0283,0.0137
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,185,0.0217,0.0098,0.0193,0.0115,0.0048,0.0114,0.0060,0.0188,0.0047,0.0102,0.0087,0.0048,0.0104,0.0109,0.0108,0.0200,0.0187,0.0136,0.0131,0.0000,0.0202,0.0070,0.0169,0.0096,0.0118,0.0124,0.0167,0.0136,0.0222,0.0148
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,5885,0.0367,0.2344,0.0923,0.0288,0.1462,0.1113,0.0133,0.0542,0.0179,0.1728,0.0066,0.1462,0.3089,0.0973,0.1701,0.0770,0.1349,0.0181,0.0751,0.0093,0.1198,0.1975,0.1502,0.0575,0.0401,0.0066,0.1172,0.1014,0.0397,0.0173
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,7855,0.0301,0.2652,0.0835,0.0262,0.1942,0.1060,0.0118,0.0476,0.0164,0.1997,0.0055,0.1942,0.3959,0.0971,0.1855,0.0659,0.1326,0.0164,0.0699,0.0081,0.1138,0.2558,0.1418,0.0626,0.0349,0.0053,0.1137,0.0925,0.0326,0.0156
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,5711,0.0355,0.2541,0.0886,0.0342,0.1435,0.0985,0.0131,0.0615,0.0166,0.1642,0.0065,0.1435,0.3392,0.1162,0.2036,0.0662,0.1364,0.0150,0.0716,0.0108,0.1460,0.2006,0.1589,0.0629,0.0463,0.0065,0.1338,0.0876,0.0345,0.0182
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,479,0.0436,0.0203,0.0618,0.0433,0.0120,0.0259,0.0212,0.0668,0.0342,0.0173,0.0155,0.0120,0.0275,0.0403,0.0326,0.0386,0.0259,0.0106,0.0268,0.0087,0.0770,0.0162,0.0520,0.0256,0.0403,0.0075,0.0439,0.0416,0.0430,0.0291
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,19610,0.0148,0.2656,0.0468,0.0159,0.4686,0.0701,0.0067,0.0270,0.0109,0.1844,0.0021,0.4686,0.5817,0.0769,0.1866,0.0332,0.0906,0.0084,0.0474,0.0048,0.0690,0.4728,0.0875,0.0562,0.0228,0.0027,0.0891,0.0620,0.0147,0.0073
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,6617,0.0373,0.2145,0.0888,0.0232,0.1641,0.0941,0.0118,0.0438,0.0164,0.1651,0.0054,0.1641,0.3196,0.0922,0.1684,0.0716,0.1159,0.0176,0.0621,0.0081,0.1078,0.2092,0.1479,0.0574,0.0297,0.0068,0.0944,0.0993,0.0383,0.0164
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,4327,0.0474,0.1709,0.0979,0.0241,0.1071,0.0938,0.0115,0.0448,0.0169,0.1371,0.0062,0.1071,0.2171,0.0806,0.1329,0.0903,0.1099,0.0210,0.0621,0.0100,0.1023,0.1411,0.1575,0.0488,0.0292,0.0101,0.0843,0.0997,0.0501,0.0244
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,694,0.0565,0.0472,0.0392,0.0402,0.0164,0.0606,0.0096,0.0410,0.0195,0.0303,0.0082,0.0164,0.0394,0.0349,0.0324,0.0516,0.0422,0.0196,0.0458,0.0166,0.0616,0.0233,0.0556,0.0249,0.0510,0.0080,0.0636,0.0211,0.0518,0.0228
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,3544,0.0524,0.1610,0.0917,0.0270,0.0869,0.0910,0.0104,0.0465,0.0174,0.1245,0.0070,0.0869,0.1818,0.0767,0.1154,0.0950,0.1063,0.0250,0.0630,0.0117,0.0951,0.1163,0.1499,0.0457,0.0340,0.0124,0.0875,0.0946,0.0534,0.0272
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,262,0.0241,0.0212,0.0138,0.0273,0.0054,0.0216,0.0123,0.0207,0.0160,0.0097,0.0098,0.0054,0.0145,0.0087,0.0110,0.0237,0.0168,0.0089,0.0101,0.0168,0.0181,0.0074,0.0172,0.0118,0.0255,0.0031,0.0346,0.0097,0.0246,0.0096
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,436,0.0322,0.0208,0.0459,0.0224,0.0105,0.0245,0.0052,0.0212,0.0074,0.0203,0.0063,0.0105,0.0210,0.0210,0.0208,0.0410,0.0251,0.0146,0.0169,0.0075,0.0329,0.0150,0.0378,0.0154,0.0196,0.0081,0.0201,0.0244,0.0369,0.0295
