gene_name,0,1,2,3,4,5,6,7,8,9,10
Vwa3b,-0.60300875,-0.2346041,-0.41052338,0.23785022,0.13341083,-0.1671105,0.12252225,-0.10000594,-0.40741146,0.2621133,-0.17129233
Inpp4a,0.007755968,0.59992766,0.84958434,-0.56956446,-0.7864289,0.15467787,-0.8026081,0.038920578,0.0969982,-0.88053554,0.51769644
Mgat4a,-0.16012746,-0.39168462,-0.45378223,0.8932882,-0.24993724,-0.34796485,0.9169939,-1.04445,-1.0241624,1.1183846,0.518264
Tsga10,-0.2596704,-0.04334302,0.93313664,-0.31629932,-0.19352603,0.54863286,0.12016214,-0.24263635,0.29272828,-0.34268016,0.17918298
Mitd1,-0.38421005,0.069744,-1.6326873,0.07308525,0.1579147,1.5564513,-0.64588875,1.1957225,1.375135,-0.37769943,-0.61947906
Aff3,-1.2283231,-0.25505567,-1.6128126,1.5182916,-0.9176165,-1.4974346,0.02658276,4.28413,-1.5158114,0.9523619,0.34000254
Chst10,-0.13655323,-0.17420942,0.088591345,0.38670498,0.11129636,-0.021744106,-0.17394611,-0.47529116,-0.7725529,0.44554874,-0.1745224
Rnf149,-0.3527418,-0.8851795,-0.1169598,0.07659294,0.33244526,0.31980234,1.058234,-0.056432586,0.27062312,0.3173814,-0.6453085
Map4k4,-0.24942479,0.070758514,-0.9723384,0.9369499,-1.5088428,-1.460951,-1.1328672,3.3033357,-1.8007473,2.297279,1.6169798
Il1r2,-0.115973584,-0.48610228,-0.09446558,-0.14264591,0.26187733,0.13152882,0.625853,0.20720306,0.18229926,-0.02414894,-0.12947176
Il1rl1,-1.2449085,0.3827117,-0.5055937,-0.7569936,0.35802838,0.08947472,-0.79742295,3.6262653,4.92943,-0.77104783,-0.68195397
Il18r1,5.26159,0.7651214,1.5239983,-3.356076,-1.4412898,0.13342696,-0.23157823,0.79806274,4.558766,-2.5229821,1.1092416
Il18rap,2.802492,0.4333309,8.017009,-3.515984,-1.4836384,-1.3666941,-0.017395282,-1.3430177,2.4408314,-3.06341,1.6667057
Mfsd9,-0.30777624,-0.23381838,-0.1943667,0.01477924,0.09771761,0.09673014,-0.056923367,-0.14472331,-0.077803314,0.04529594,-0.24636625
Tgfbrap1,-0.018202337,-0.35548028,0.5421546,-0.094692275,0.36399433,-0.22126946,-0.08601987,0.34414953,0.73949164,-0.20683324,0.32746944
Nck2,0.6757262,-0.0008609163,0.9480681,-0.10118868,0.1717335,-0.058701664,0.06861343,-1.1847764,0.18403503,-0.5803549,0.09097621
Gm8251,-0.7670669,-0.5511566,-0.1109263,0.63682,-0.04444937,1.4189758,0.3724603,-0.594226,-0.4253343,-0.0023181306,-0.5980006
Ercc5,0.09568429,0.00053079106,0.11409541,0.3837728,-0.49576446,-0.27652046,0.011615714,0.48059672,0.52794695,0.21576793,-0.11029889
Slc40a1,-0.23229042,-0.1295283,-0.13193442,-0.15743226,0.20877019,0.13507676,0.10470245,-0.29252154,0.051809266,-0.15468052,0.09917983
Nabp1,1.0675454,1.3587154,0.14132673,-1.6367195,-0.4357339,0.73715705,-1.3396627,-1.0173007,1.72405,-0.37365448,1.5314653
Stat4,2.0854862,0.06788546,1.2580744,-1.3901517,-0.46892348,0.08908102,-1.586694,1.2224107,-0.2116238,-0.96665627,0.727114
Stat1,-0.2335247,0.20377612,-2.482091,1.750854,-1.4278103,-1.1712774,-0.5621414,0.87174195,1.318353,2.2895284,1.0459545
Mfsd6,0.50389695,-0.30463347,-0.7065008,-0.07917089,-0.59381354,-0.38544816,0.15844105,0.36054993,-0.4606599,1.2282417,0.5807494
Inpp1,1.5897591,0.52351344,-0.5136953,-0.6827883,-0.99643314,0.8088152,-0.880636,0.28041333,1.0645906,-0.5112498,0.5363074
1700019D03Rik,-0.27877843,-0.2667318,-0.3940033,0.037506264,-0.14233539,-0.40385816,0.07523515,2.368688,-0.40134338,-0.03731348,0.10970152
Stk17b,2.508186,0.79117453,0.28107563,-1.2643586,-1.7749635,-1.5356499,-2.292378,-0.48984158,-0.79032964,1.4733624,3.023752
Pgap1,0.5914394,-0.17932667,-0.52797097,-0.0298831,-0.1640396,0.28971535,-0.11891773,0.84500015,-0.5231744,-0.1953781,0.039720792
Ankrd44,1.8286717,1.4123583,1.9632294,-0.5935205,-0.919567,-2.1597736,-1.294283,-1.486549,-0.037786614,-0.5566684,2.442116
Coq10b,0.8488609,0.2580809,0.3084795,-1.233501,-0.25656074,-0.5690674,-0.54927737,1.1440809,-0.5467164,0.78497994,0.1072174
Hspd1,-1.8873773,-2.1842768,-1.0225646,0.0046993624,3.1889834,2.7981396,3.987129,-0.12905061,-0.9581685,0.4669273,-5.865923
Hspe1,-1.050832,-2.8260949,-1.6403879,1.6333443,1.6314375,-0.54778177,4.2605987,0.9652201,-2.4545937,2.2990754,-4.0822024
Kctd18,0.26820788,0.2510154,0.18154423,-0.15340774,-0.20112169,-0.010803173,-0.75526357,0.15909229,0.27231628,-0.605502,-0.0026772392
Sgo2a,-1.6648079,6.8363905,-0.6735157,-0.47778416,1.1075374,-1.6529871,-4.0948334,-2.2616205,-1.4779712,-0.62124103,-0.5455416
Clk1,2.222309,-0.08324401,0.4016113,-1.5350019,-1.4638853,-1.5339978,-0.62464994,0.8766922,-1.9039636,2.1284046,2.3026981
Fam126b,-0.36081937,-0.18968454,-0.02288772,0.62028664,0.050384596,0.24516837,0.58779436,-0.43839452,0.86135554,-0.01012107,0.25200862
Cflar,1.2884159,-0.14535446,-0.1453463,0.20659526,-0.5033067,0.5506769,-0.3480625,-0.3898774,0.8439842,-0.7318676,0.5014567
Trak2,0.42549437,0.2394603,0.18991098,-0.12154562,0.09345623,0.01083978,-0.15619203,-0.5892251,-0.58888274,0.17010254,0.08894073
Stradb,-0.4232163,-0.19229983,0.21916357,-0.011273315,0.005660653,0.35560498,0.53600526,-0.35760486,0.22000964,-0.02166273,0.23801962
Nop58,-1.5084319,-1.1542729,-1.804396,0.6769432,2.66174,1.5610489,2.0944526,-0.027962914,-0.49947885,0.5947512,-4.3600225
Bmpr2,-0.21261148,-0.13306531,0.33184183,-0.233402,0.04680754,-0.036931016,0.1254135,-0.08750023,-0.025947735,0.03448298,0.3856127
Ica1l,-0.49755022,-0.07972341,-0.20818293,-0.17211562,0.17599666,-0.015456502,-0.07942228,0.9403021,-0.09960913,-0.1732277,-0.23486735
Carf,-0.2390338,0.32886896,-0.07951754,0.48175782,-0.122225456,0.014619704,0.23608156,0.3333308,-0.4254804,0.10979472,-0.1146117
Nbeal1,-0.33513117,-0.2652108,0.17945175,0.7881085,-0.55568653,-0.85936004,0.5396286,-0.18455185,0.06619949,0.27236676,0.78424346
Raph1,0.94259197,0.69214284,0.12705931,-1.0587844,0.59114623,0.9053213,0.13725401,-0.2196502,1.8699915,-1.3242756,-0.6303155
Cd28,4.805737,1.2156867,-1.1298342,-4.086632,0.84567255,0.31089875,-2.6746473,1.684421,-1.7251768,-0.3202343,0.5174344
Ctla4,2.206759,1.0596452,-3.275215,-2.6465716,1.629731,1.9248642,-3.3724236,4.31337,1.1126904,-1.7846829,-1.4647052
Icos,3.1464417,0.6745069,-1.2758892,-2.6894221,-0.049913466,1.7034303,-2.2241378,3.7309923,1.4122587,-1.8729134,-0.9127209
Nrp2,-0.18067667,-0.29212436,-0.2604013,-0.055947248,0.24645884,-0.27598712,0.48045284,-0.5105748,-0.31928372,0.04164412,-0.118672416
Ino80d,-0.043373153,0.010946888,0.1295081,0.3226238,-0.5896573,-0.11671833,0.35126603,-0.033505097,0.4287353,-0.050826937,0.21434543
Eef1b2,-3.2215204,-2.1826444,-3.1362195,3.9291098,-0.24653165,-2.3676949,2.9746697,2.8901846,-1.1021934,5.208664,-1.4859602
Klf7,0.21125746,-0.5388008,-0.24925019,1.0736758,-0.73550063,-1.1086679,0.8317896,-0.2644286,-0.23970647,0.9067608,0.9408051
Creb1,0.28530076,0.9392636,-0.52831584,0.28185323,-0.037016205,-0.13834786,-0.52772397,-0.063850954,0.47531933,-0.3579544,0.29801363
Plekhm3,0.17905074,-0.2312425,0.6932888,-0.03242073,-0.26603177,-0.6283742,0.38281193,-0.2657274,-0.32270685,-0.17300178,0.24064566
Pikfyve,-0.19460616,-0.71999764,-0.19957913,0.4454228,0.26926053,-0.21958345,0.38446844,0.1402264,-0.031758238,0.41090056,0.4277988
Kansl1l,-0.35199797,0.5105889,0.09255184,0.5875171,-0.16354728,-0.29228893,-0.12962724,-0.26040977,-0.0696204,-0.08653696,0.21343417
Ikzf2,-1.9736865,0.38742128,-1.7121272,0.43296048,-0.22134434,-0.3252409,-0.90122217,4.051792,-0.45336616,0.28244367,-0.5224045
Fn1,-0.40119216,-0.18149917,-0.18724684,-0.054409627,0.08799156,-0.01123161,0.7083078,-0.16174918,-0.3567934,-0.019090246,-0.2907864
Rpl37a,-0.32690862,-3.4495506,-0.07447135,4.1028996,-2.7319896,-4.5527534,3.7892313,1.5937641,-1.8855,5.137432,1.8914602
Cxcr2,-0.33755976,-0.17964959,-0.16479564,-0.18136595,0.06569335,0.049555257,0.47222567,-0.35389066,-0.17781077,-0.043563575,-0.44115567
Slc11a1,-0.4293394,-0.34802097,-0.13330534,-0.16307367,0.07174805,0.35232,0.331671,-0.22045794,-0.28731278,-0.1340321,-0.19481514
Ttll4,-0.101495445,-0.5638502,0.20408024,0.35167736,0.05150406,-0.3474298,0.5772027,-0.56841356,0.3080595,0.81470203,-0.30295968
Cnppd1,0.3103115,0.009877379,0.3902637,-0.3734046,-0.6701265,0.2674744,-0.55990976,0.015247427,0.41542163,0.041492254,0.65908617
Atg9a,0.29309636,-0.46364206,0.49348155,0.051595543,0.08718596,-0.34453347,0.31146777,0.16219726,0.060604017,-0.16120908,-0.1733722
Ankzf1,-0.54651374,-0.38500744,0.091854274,0.087349065,-0.5936797,-0.32594553,0.45795682,-0.04407066,0.41463208,0.70356333,0.24016286
Dnajb2,-0.77080834,-0.53261286,-0.30814332,0.7882987,-0.26072684,-0.21231966,0.6809585,0.33622104,-0.6141707,1.4125172,0.44923452
Mogat1,-0.36030254,-0.23700014,-0.33308104,-0.10565648,0.07785974,0.073837474,0.2806208,-0.2354961,-0.2892104,0.2738756,-0.2442856
Acsl3,-0.66826296,-0.45827743,-0.37219864,0.75745296,0.167004,-0.3539846,0.9185846,-0.34823632,-0.5039732,0.62136346,-0.29290116
Utp14b,-0.93881816,-0.3680846,-0.6728609,1.066393,-0.08536078,-0.3488698,0.5068312,-0.011215621,-0.72835296,1.3202405,-0.5230813
Wdfy1,1.7665776,-0.4064625,0.19774617,-0.63555557,-0.1917473,-0.6111407,0.48287088,0.3260135,1.1368204,-0.6592187,0.6209263
Serpine2,0.020672504,-0.45523232,-0.18273377,-0.07326261,0.06902119,0.18468805,0.7745325,-0.14077836,1.0867845,-0.17230225,-1.3491285
Fam124b,-0.37300456,-0.24684197,0.18450467,-0.046948418,-0.018769128,-0.13391446,0.10127282,-0.10817484,-0.29475164,-0.15551302,-0.123008005
Dock10,1.7364491,0.37840524,-0.22964643,0.42215842,-0.32444045,-1.7842135,-0.9844062,-0.4017098,0.054089736,-0.006900459,1.4310595
Rhbdd1,-0.08289362,-0.33463928,0.027809775,-0.05572035,-0.08558276,0.6027921,0.21738432,0.07344077,-0.27100044,0.14672701,0.06062502
Col4a4,-0.4167629,-0.14787512,-0.17668235,-0.037414547,0.025790514,-0.03310931,0.16268687,0.025563262,-0.18050522,-0.14766124,0.004955291
A030005L19Rik,-0.16974218,-0.088932835,0.0014542,-0.1315945,-0.0009409917,-0.16853893,0.22654064,-0.25446072,-0.23500386,0.2502006,-0.1851713
C130026I21Rik,-0.55904883,-0.29208586,-0.18337369,0.1452609,-0.20507807,-0.23296513,0.23643206,-0.4271486,-0.1502329,-0.15083031,0.06902949
A530032D15Rik,-0.39799696,-0.35998175,-0.22153644,-0.086756095,-0.07692379,0.15333392,0.3809404,-0.34086254,-0.46381497,-0.10764693,0.034683976
AC147806.2,-0.4615132,-0.16299306,-0.08343537,-0.1217509,-0.02820025,0.078070685,0.36742768,0.02732723,-0.41998592,-0.083235025,-0.21302852
G530012D18Rik,-0.18170634,-0.1889691,-0.13447793,-0.120592095,0.009199527,-0.0460304,0.1680534,-0.09727948,-0.0963396,-0.018944744,-0.22759488
Sp110,2.7900136,0.33258107,0.9385858,-0.11144116,-1.0263373,-2.7217855,-0.5349829,0.8300829,-0.06460274,-0.6484387,1.5472004
Sp140,0.61071396,0.13384473,0.07250727,-0.42120084,-0.8904261,0.17308697,-1.3828266,-0.02208541,-0.2978036,0.46523237,0.7036006
Sp100,3.9929585,1.1789135,3.278241,-1.5443748,-2.0405886,-1.6433413,-2.1290684,-0.5041477,0.29389623,-2.0889988,3.3265953
A630001G21Rik,0.6948252,0.08270952,0.25570497,-0.92451054,-0.16394615,-0.14836828,-0.56946886,1.4896098,1.8552024,-1.006284,0.0217916
Itm2c,0.6417718,-0.10236346,0.08464635,-0.52297455,-0.626458,0.22259825,0.12264813,1.8468916,2.5538273,-0.89072293,0.032817923
Gpr55,1.0566809,0.31417748,-0.32055312,-1.0066864,0.042039257,0.5608138,-0.8384083,0.5905993,2.0958385,-0.82539505,0.13556214
Armc9,-0.51873475,-0.27100763,-0.31816828,0.52292573,-0.15224583,-0.32301047,0.34312034,0.037259236,0.07445371,0.4052174,-0.19223554
Ncl,-0.6147135,-1.4462588,-0.69450295,0.33619726,1.9085838,-0.28906807,4.165475,-0.26445156,-1.3354017,2.0367453,-3.9761238
Ptma,-4.8492794,3.172224,-4.5849805,-0.72692686,6.4892282,5.4613004,-2.037133,-3.1196396,-1.1181598,-0.4664382,-5.5529575
Dis3l2,0.024071788,-0.32417533,-0.19732593,0.30723134,0.14270349,-0.4710403,0.17222196,0.27754402,0.6624836,0.69923156,0.4190083
Gigyf2,0.06468269,0.06528324,-0.22759041,0.48166788,-0.46935195,-0.61755484,-0.29155198,0.60336924,0.3839281,0.117542215,0.42559436
Kcnj13,-0.23086151,-0.0700569,-0.1990517,-0.12541354,0.06775782,-0.059806164,-0.02473293,-0.18046194,-0.16132882,-0.12902921,-0.37362173
Inpp5d,1.5201459,0.15046751,0.45148447,-0.8312128,-0.7856996,0.041953318,-0.15919241,-0.32793486,0.13398655,-0.71325445,0.6629473
Atg16l1,0.5398726,0.24858895,0.2577429,-0.35019973,-0.008049018,-0.10561524,-0.1837216,-0.12608038,-0.068155974,0.03527373,0.045008443
Sag,-0.40601116,-0.12923643,-0.11360867,0.646645,-0.17581524,0.285248,0.4607616,-0.17570132,-0.20973858,-0.019956516,0.24150999
Dgkd,0.52575016,0.10675984,-0.11651105,0.1559333,-0.061558165,-0.65724826,0.09055097,-0.3954811,0.99591464,-0.056343067,0.7074029
Usp40,-0.41230384,-0.34141606,0.018010126,1.1211174,-0.46705496,-0.4833596,0.39836085,0.36710188,0.35704952,0.29464722,0.028291216
Hjurp,-1.8093098,4.6839857,-1.0249972,-0.6107144,3.1164372,-0.88213927,-2.8675127,-1.4780985,-1.001792,-0.29740438,-1.648482
Glrp1,-0.37014082,-0.2649503,-0.147004,0.04343448,0.08976757,0.08168884,0.1882429,-0.116112046,-0.27051398,0.07302178,-0.13434257
Arl4c,0.8332922,0.0879234,1.525235,3.070866,-1.8062624,-2.1523821,-0.34925768,-3.9275208,-4.3109975,1.4373038,3.2484734
Ramp1,-2.6043935,-0.93225485,-2.0531912,5.8283706,-1.0167575,-1.4212732,1.1770364,-1.3924493,-1.791293,2.2352552,0.87468326
Per2,-0.5134337,-0.43949205,-0.15347977,0.10911661,0.21850725,-0.13814719,0.23622297,-0.14934221,-0.19687474,0.26920682,-0.73080796
Traf3ip1,-0.0265694,0.055231046,1.6435305,-0.49018115,0.27533773,-0.1687105,0.26769984,-0.37153754,-0.104267165,-0.48437253,-0.5951476
Hdac4,-0.4382545,-0.17393655,-0.99257845,1.593409,-0.45660445,-1.3224287,0.3822726,-0.30965257,-0.632158,1.5041229,0.47934955
Rnpepl1,0.07410063,-0.34704426,0.31372783,0.17806393,-0.112481,-0.5320449,0.551933,0.21876128,0.29826882,0.044302374,0.07531182
Gpr35,-0.37042612,-0.2814015,-0.12114114,-0.11981933,0.1072983,0.16354413,0.5297253,-0.29767737,-0.29313636,-0.078373544,0.11606587
Farp2,-0.19769439,-0.21907452,-0.17053066,-0.037482668,-0.07868433,0.05866719,0.027323764,-0.088151336,-0.19928305,-0.116399124,-0.036322225
D2hgdh,-0.21159264,-0.25392202,-0.0065121716,0.25644565,0.29607898,0.40018377,0.014013993,0.4542507,-0.17156853,0.015235202,-0.038516153
Pdcd1,-1.8121294,0.8422486,-1.4063984,-1.2484453,1.9077287,1.3315176,-1.4060789,3.1661384,5.839334,-1.3744769,-2.0135813
Fam174a,0.02325364,-0.64265645,0.60210407,0.11214379,-0.23973736,-0.19933446,0.52464724,0.6109997,1.4384189,-0.1730922,0.19869722
St8sia4,1.0332675,0.56348264,0.03748443,0.18773185,-0.5200397,-0.3331933,0.11391219,-0.6864465,-1.3031648,-0.33177778,0.8960922
D1Ertd622e,0.22394755,-0.07388878,1.6394973,-1.1746166,1.755053,1.0181046,-0.47352025,-2.142329,-0.6039241,-1.032708,-1.0637648
Pam,-0.45884177,-0.35944492,-0.21933155,0.47971615,0.037150886,-0.25744218,0.46539935,-0.5495882,-0.33417648,0.43508646,-0.17509948
Relch,0.84817904,-0.18749106,0.28487462,0.0643842,-0.61179984,0.10535979,0.13300252,0.2693039,0.2979932,-0.29498804,0.40025464
Zcchc2,0.3955521,-0.09094649,-0.011629587,-0.14910784,-0.22740187,-0.59161574,0.11893154,1.2731297,0.19964705,0.5772077,0.15457533
Bcl2,-1.225428,-0.75085443,-2.9991372,1.0796587,-1.3628789,-1.8425851,0.6537568,3.540518,1.7833428,3.716074,1.472789
Kdsr,0.024427636,-0.5723159,-0.35228586,0.38258523,-0.041272935,-0.9352398,0.573667,0.62430173,0.2968329,0.96341157,0.24365622
Dsel,-0.32710022,-0.28438565,-0.17536592,-0.11295036,0.20510413,0.08923935,0.31806597,-0.045327075,-0.112368494,0.1882917,-0.18716803
Tmem185b,0.042067192,-0.25741836,-0.24063312,0.07203139,0.20836861,0.14463182,0.06966586,0.10451859,0.1175304,0.77117133,0.5196788
Ptpn4,1.66077,0.037117407,2.114878,-1.1500698,-0.38762602,0.358528,0.019157797,-1.2853075,0.96367586,-1.319197,0.6907745
Sctr,-0.18445669,-0.28430098,-0.14214662,-0.09223909,0.08151349,0.242295,0.08300773,-0.2761777,-0.2837843,-0.15991178,-0.1128425
Tmem37,-0.21531926,-0.25685528,1.5347428,-0.80559814,0.13748772,1.5094858,-0.41959864,-1.3383832,-0.22380745,-0.3993948,0.0882716
Dbi,-2.7258043,2.165385,-1.9947904,-1.8496723,4.3923535,5.206957,-4.249092,0.40098763,-0.111117855,-2.7907636,-3.17879
Insig2,0.21708302,-0.12555152,-0.18466711,0.048488267,-0.3287034,0.95146996,0.2791783,-0.07565348,0.40805918,-0.39845595,0.017009728
Ccdc93,0.09463701,-0.31057343,0.48330367,-0.2524373,0.29992014,0.03944485,0.2410957,0.24108814,0.07128131,-0.0244066,0.19265985
Mgat5,-0.7273682,-0.18217222,-0.32570618,0.5936485,-0.22780164,-0.8754953,-0.015001095,1.7030674,-0.8766141,0.6650532,0.35249418
Tmem163,0.106444836,0.9896871,1.4625475,-1.664963,0.9220759,0.31543598,-0.55986094,-1.9017794,5.064843,-1.5186172,-0.2972519
Ccnt2,0.23438072,-0.12344146,0.17795429,0.2915231,-0.09275062,0.28382003,0.0017795659,-0.039703764,0.096288785,-0.27287716,-0.035125446
Rab3gap1,-0.21861891,0.04163958,-0.8372391,0.7768135,-0.28498742,0.0714497,-0.14871277,0.34167436,0.25510564,0.47888356,0.52674764
R3hdm1,-0.6153824,0.7517697,-1.093223,0.76810986,0.73577124,-0.93952864,-0.40259525,-0.029083302,-0.17490794,0.27176228,-0.25785127
Mcm6,-1.7716107,-0.44367692,-1.1766247,-1.7112026,6.5264816,2.6194317,-1.5321221,-0.7849087,2.3701632,-2.0052924,-4.362244
Cxcr4,-1.456187,0.9869863,-1.015704,-0.71325374,-0.06543271,-1.2616946,0.57989776,1.8714967,-0.42189935,2.7634375,-1.0582604
Cd55,0.2938087,-0.41023964,-1.90397,1.1099497,-0.41130328,0.17740048,-0.13590582,-0.8396592,-0.90023106,1.6462587,0.69472724
Pfkfb2,-0.2035351,-0.0850349,-0.22992662,-0.076338604,0.0063522593,0.15801275,0.10957526,-0.29216817,-0.15889563,0.09052178,-0.36327764
Yod1,-0.08488169,0.02105643,0.035531636,-0.2196001,-0.08244818,1.1130319,-0.10999971,-0.009468084,-0.7228155,0.014469436,-0.08785843
Fcmr,-0.8154468,-0.26531804,-0.50290513,-0.3543993,-0.101150975,-0.22359736,0.30542713,-0.42317426,-0.51540875,-0.3150893,-0.018445823
Il10,0.05025228,-0.09855188,-0.33097842,-0.28795138,0.06983368,0.56515884,-0.4028453,-0.6564824,-0.43806937,-0.27426085,-0.25031194
Ikbke,-0.26904067,-0.7099088,-0.96519655,1.5829341,-0.8343503,-0.62083995,0.43381652,1.2850837,-0.26389274,1.3644985,0.54316545
Ctse,0.46516925,-0.13514265,-0.033483632,0.2883269,-0.1452724,0.16158348,0.3800139,-0.09806142,-0.18614614,-0.15984812,-0.29737788
Slc41a1,-0.30916727,-0.26426739,0.22008121,0.009500137,-0.26771706,-0.00513317,0.41582757,1.1131153,0.56038284,0.36840895,0.016227813
Nucks1,-3.4327915,3.8516624,-2.3952324,-0.29751202,2.5577989,4.838366,-1.8138763,-1.9332964,-1.975793,-0.968554,-3.5777662
Elk4,-0.23014192,-0.2850326,-0.3497692,0.61133105,-0.7874442,-0.5733204,0.043433893,1.3479521,-0.07505125,0.69065124,0.50352323
Mfsd4a,-0.38390604,0.10051811,-0.042177353,0.6473799,-0.22013997,0.03589443,0.11181552,0.67457545,-0.21010505,0.40957233,-0.01327635
Nuak2,-0.7190271,-0.2913378,-0.41649607,0.270376,0.038778987,0.015723767,0.8468501,-0.4248728,-0.51592374,0.050837614,0.056567244
Dstyk,-0.60822415,-0.49593008,-0.34381527,1.0724639,-0.26864943,-0.44864404,0.58833873,-0.44513515,-0.19492272,0.014302615,0.32915902
Tmem81,-0.110642955,0.019056315,-0.2526847,0.19812973,0.16997945,0.10178003,-0.28124738,-0.100718014,-0.21696408,-0.15018384,-0.16794607
Mdm4,0.5158307,0.38420147,0.2513736,0.43574536,-0.7801787,-1.2774773,-0.0060739955,-0.38131598,0.29412714,0.7949335,0.7531828
Pik3c2b,-0.32074448,0.2817769,0.22599076,-0.15289882,-0.31654269,0.48630375,-0.10241757,-0.63051254,-0.11764287,-0.2953071,0.14986274
Plekha6,-0.4627179,-0.34266153,0.3591265,0.39940193,-0.16233896,-0.32913277,0.48829105,-0.5352638,-0.70923823,0.3784778,0.48550436
Zc3h11a,0.039505884,-0.07771698,0.15848489,0.123395085,0.021363547,-0.004752283,0.41811052,0.0052510686,-0.28381422,-0.18398844,0.47736079
Gm38394,0.39938036,0.29213092,0.1442142,-0.25171226,-0.30579287,-0.29614142,-0.17184308,-0.18360078,-0.048286118,0.16301997,0.00924246
Lax1,0.8940215,0.37799183,0.34791958,-1.2878947,-0.06742205,-0.21543427,-0.8314897,0.9691036,2.6395416,-1.0734272,0.1805881
