gene_name,0_A5P,0_A5T,0_A8P,0_A8T,0_C5P,0_C8P,0_NP14B,10_A5P,10_A5T,10_A8P,10_A8T,10_C5P,10_C8P,1_A5P,1_A5T,1_A8P,1_A8T,1_C5P,1_C8P,2_A5P,2_A5T,2_A8P,2_A8T,2_C5P,2_NP14B,3_A5T,3_A8P,3_A8T,3_C8P,3_NP14B,4_A5P,4_A5T,4_A8P,4_A8T,4_C5P,4_C8P,5_A5P,5_A5T,5_A8P,5_A8T,5_C5P,5_C8P,6_A5P,6_A5T,6_A8P,6_A8T,6_C5P,6_C8P,6_NP14B,7_A5P,7_A5T,7_A8P,7_A8T,7_C5P,7_C8P,8_A5P,8_A8T,8_C5P,8_C8P,9_A5P,9_A5T,9_A8T,9_NP14B
Mcm3,0.10373213,-2.137125,-2.6147802,-2.0299835,-1.401299,-0.26265973,-0.4375208,-4.8137107,-4.3458195,-1.2511039,-1.1407425,-4.555923,-2.9996789,-0.8937731,-1.1950266,0.62728244,0.64570946,-1.053508,-0.29857472,1.3002125,0.4518755,-1.5135105,-1.5590676,1.6512628,-0.4195502,-0.5905263,-1.0835676,-0.35231978,-0.4440344,-0.8969064,6.2965245,7.488465,6.378734,6.946979,7.019632,5.3510447,4.5977283,2.5237255,1.69246,-1.2300442,3.0898411,-0.48871928,-0.84060025,-0.9831135,-1.3871958,-1.4349633,-0.20521209,-0.30340856,-0.09288665,0.5601306,-2.0114787,-1.3078321,-2.0521173,-1.9422671,-2.3524919,-0.72157645,-0.56326354,1.9900286,0.35055205,-0.6261369,-1.4009652,-1.0024588,-0.9572326
Paqr8,-0.29600978,-0.035309184,-0.4301119,-0.6569571,-0.38452587,-0.19005604,-0.14190471,-0.01571849,-0.0882183,-0.23316312,-0.3856211,0.17094962,-0.3576357,-0.31924796,-0.18617739,-0.32923266,-0.31402606,-0.19302757,0.07008886,-0.075154215,-0.05514112,-0.30502316,-0.13696826,-0.0015248954,-0.07403778,-0.03513717,-0.23236205,-0.14240271,0.011327868,0.25039002,0.054596774,0.051345106,-0.25125062,-0.28290018,0.36249822,-0.28293893,0.2901049,-0.175277,-0.14123577,-0.18084864,0.02791323,-0.20681646,0.43271154,-0.03015156,-0.1782214,-0.27864102,0.07589984,-0.051720068,-0.28159872,-0.28315577,-0.3175275,-0.42553923,-0.47772476,-0.0058381134,-0.45902565,-0.101167455,-0.22810628,-0.29201803,-0.27463236,-0.03218921,-0.13123776,0.21554564,-0.13837968
Khdc1a,-0.22324722,-0.3295352,-0.50901407,-0.48205438,-0.31700814,-0.141096,-0.122578315,-0.14331003,0.23441505,-0.20719478,-0.31718606,-0.21394387,-0.3416558,-0.23878296,-0.12730329,-0.2651047,-0.24298187,-0.26987037,-0.30997846,-0.047565162,-0.013413834,-0.2629552,-0.11522342,0.03564991,-0.05129789,-0.0038480703,-0.22449878,-0.08711396,0.035767503,-0.20400266,0.055896997,0.008624879,-0.1733751,-0.19344221,-0.023317287,-0.20168065,-0.040944263,0.075743794,-0.06331063,-0.08004189,-0.07322373,-0.11776842,0.20265803,0.012244334,-0.08571953,-0.16890685,0.10911645,-0.023463428,-0.21473962,-0.20081645,-0.23456718,-0.3421995,-0.38879016,-0.24846025,-0.38872883,-0.07676865,-0.16542637,-0.21116519,-0.38943017,-0.0070930687,-0.17821525,-0.09731547,-0.10708606
Ogfrl1,1.6335036,0.8045764,-0.49085104,0.011623354,-0.95083547,-0.42724788,-0.21825391,0.48961413,0.921955,4.585959,-0.48661208,-1.4765486,-0.2383274,0.3857499,1.1701705,-0.3728173,-0.12395015,-1.1293943,-0.8624068,-0.23663364,-0.25252888,-0.7380052,-0.74875987,-0.16713697,-0.16362238,-0.16702287,1.7060673,-0.38098592,-0.09401011,-0.109026246,1.7355798,2.2202647,1.7588345,-0.075545445,-0.73260313,0.61671036,2.6862955,1.68113,-0.50550276,-0.71817625,-0.83363533,-0.74186033,-0.45115647,0.6232628,-0.57888967,3.8411436,-0.63341546,0.87593776,-0.58634275,2.09129,0.03977652,-0.8596568,0.3243824,-0.8718503,-0.23069294,-0.22420236,-0.5920501,0.1698246,-0.46464518,-0.15397681,-0.220851,-0.6041774,-0.2986754
B3gat2,-0.49910256,0.5719843,-0.109161146,-0.092917375,-0.51921713,-0.23789006,-0.1558222,-0.057772692,0.3274314,-0.28181985,-0.4746673,0.512364,-0.515951,0.5905604,-0.32843113,-0.43567392,-0.43999434,-0.094868176,-0.35190535,10.186259,-0.09453996,-0.043070007,0.34307963,-0.033683173,-0.0903417,-0.06004754,-0.2807003,-0.18801096,-0.008796883,-0.1878133,0.08825601,0.35004672,-0.37248084,-0.44835353,0.2698084,-0.42157516,-0.2712112,0.12663263,2.007226,-0.29340303,0.76006377,-0.323593,0.13475607,-0.47656333,-0.25495872,-0.38159493,0.11941751,0.5559249,-0.34141502,-0.5772499,0.44012365,-0.5156876,0.74241537,0.20423801,0.31331158,-0.1263935,-0.30666453,-0.45240784,-0.42177716,-0.0567676,-0.36085227,-0.26946735,-0.17145042
Lmbrd1,0.03960392,0.4444065,0.1964771,-0.2746042,0.51049286,-0.9113665,-0.40737727,-0.25228378,-0.36423808,-0.33244306,0.30701026,-0.49267426,0.79726034,0.10883289,-0.14760046,-0.3864973,-0.8545552,-0.28703532,-0.04112037,-0.5126177,1.178654,0.32998762,0.37594366,1.3158289,-0.38612095,-0.47415733,-0.5059056,-0.92433494,-0.3341759,-0.47582754,0.09071996,-0.33005282,1.6729839,0.90656686,-0.40497965,-0.049326804,-0.19262226,0.5105354,0.85186124,0.1865777,0.71592265,0.66681343,-0.22499236,-0.6947768,-0.23820852,0.4770245,-0.6812574,0.40205866,-1.2452558,0.6745233,-0.6028129,0.60373765,0.31974354,0.48377764,0.6449384,-0.46601138,0.27778018,2.0090451,1.711486,-0.40215197,-0.8998824,-0.31002966,-0.6091021
Phf3,0.91776484,0.60685885,0.3128705,0.7031672,1.2878848,-0.11177016,-0.9723699,0.46816105,0.2897467,-0.12856159,0.22711234,0.3278107,1.09431,-0.2296063,-1.0568773,-0.36979964,-0.7238929,-0.1532749,-0.86308694,0.9716529,0.30021042,-0.013848138,0.8291666,0.49432534,1.8026546,0.5697334,0.46472812,1.7180543,-1.0644915,0.11748129,-0.8282152,0.017101645,-0.28195456,-0.78093624,0.1285099,0.16409694,-0.7721675,-1.0600103,-0.18729109,-0.720259,-1.3104308,-1.7053676,0.6992724,1.06617,-0.5589363,0.6924797,-0.98286384,0.58216804,1.2781315,-0.60258114,-0.069531605,0.39146397,-0.27540305,-0.15861678,0.5797949,1.1096896,0.80538845,0.058556564,0.13030568,1.305866,0.9377222,0.654462,-0.5305346
Ptp4a1-1,0.014567411,-0.7200629,0.36751014,-0.07501774,-0.66667116,-0.3260603,-0.18875806,-0.23924825,-0.12569147,0.6713554,-0.6062583,0.0014110514,-0.5984325,0.14814386,0.092551276,-0.15256082,-0.5892196,-0.036279142,-0.06300673,-0.16279404,-0.16916986,-0.46577033,0.86252207,-0.09906368,-0.12906782,-0.11426513,-0.31016108,-0.28441373,-0.051396944,-0.14618401,0.113663316,-0.045118142,1.1624233,0.19565806,-0.23417985,0.077972844,0.1374879,0.95145386,-0.35246202,2.2134733,0.02787565,0.32051244,-0.062484153,-0.19403374,-0.41640958,-0.57760894,0.44624716,-0.1339836,-0.45974717,0.080622904,0.1443631,-0.6690545,0.4762363,-0.0138660185,-0.10224242,-0.17085484,0.7651985,-0.6286448,0.027266173,-0.10198462,0.20408969,0.6146612,-0.22874554
Zfp451,0.05925499,-0.39619327,-0.5360548,-0.7412822,-0.05382019,0.23215936,-0.42634478,-0.17377089,-0.12167504,-0.44307065,-0.3530407,-0.24934572,0.5409868,-0.50277317,-0.4869025,-0.19529359,-0.671721,-0.2028508,0.5289227,-0.5621236,-0.71944356,0.0030865506,-0.2079276,-0.57756346,-0.4083319,3.6334026,-0.577096,-0.9872135,-0.3619173,0.49344215,-0.26200435,0.21553342,0.93265283,1.4750118,0.8445253,1.3454933,-0.40974462,-0.14803751,0.043152876,0.45591536,-0.053215325,0.44178808,0.5886573,-0.19422287,0.62486076,1.1112568,0.3957306,0.3723535,-0.23203531,-1.1221212,-1.1121396,-0.9390357,-0.13234442,0.14507361,1.1864707,-0.50134385,-0.3228858,-0.35956725,0.7537681,-0.43645868,0.7130864,0.11621316,-0.6554841
Bend6,-0.26081672,0.06568777,-0.38578808,-0.4754207,-0.33549875,-0.13932899,-0.12036913,-0.32776567,0.24011734,-0.21334814,-0.32147163,-0.3650579,-0.38453257,-0.32660598,-0.08293709,-0.27612394,-0.2576399,-0.33491832,-0.32516906,-0.04900341,-0.011491059,-0.15898475,-0.10402518,0.038258787,-0.04867666,-0.0009955964,-0.23659483,-0.082557976,0.03779229,-0.16167925,0.19626541,-0.047559887,-0.18431154,-0.21398091,0.0912884,-0.21678881,-0.111278266,0.18563963,-0.059339166,-0.08068683,0.28614727,0.7200294,0.48927817,0.452583,-0.07822849,-0.16365033,-0.03798316,-0.10704247,-0.21065031,-0.26290146,-0.26220098,-0.3418486,0.9313082,-0.1495541,0.18375942,-0.07631084,-0.16843818,-0.23303267,-0.27951872,-0.0062054307,0.09855301,-0.0928987,-0.10671694
Ptpn18,1.5985363,2.2654254,3.2128363,3.3397183,1.0033197,2.1687136,0.44923654,3.4464746,3.7636094,0.5934407,1.6522089,2.0719059,2.5139668,-1.9879053,-0.09285059,-0.3087209,-0.9719138,-1.6553088,1.1437637,-0.56191736,2.2902052,1.776262,1.5332806,-1.4025557,-0.2984983,1.3984281,0.23277232,-0.08846687,-0.04267485,-0.37091953,-4.1916256,-2.0822856,-0.014498066,-1.4545106,-3.8972862,0.3420197,-2.6416657,-1.5713464,-0.16873288,-0.6751232,-2.1851468,1.6002029,0.50121814,1.0850202,0.5130011,1.1579926,-2.04449,1.5379512,1.4901483,0.53167325,1.0834411,0.80407274,-0.29598632,-0.5804055,0.7707911,0.8841491,1.2923877,0.8089956,2.6707861,0.60443556,0.4832665,0.052437216,0.38666573
Arhgef4,0.29731613,-0.3652814,0.268249,-0.2896102,-0.7095552,-0.43232974,-0.23819485,0.2053487,0.33815855,-0.3585899,-0.7213353,0.14103419,-0.41786698,-0.53514326,-0.4899191,-0.21256387,-0.51619166,-0.48766118,-0.3604151,-0.21062021,-0.26180503,0.82987696,0.7233382,-0.18603009,-0.1873446,-0.19071533,-0.2659041,-0.41710377,-0.11010472,0.16642615,-0.015263436,-0.35905874,0.038657766,-0.09740844,-0.47784787,-0.2993,-0.25298154,-0.6189771,-0.52734286,0.08338543,0.46760502,0.28922263,0.17758928,0.43452245,0.6491371,0.6582086,-0.024159484,0.36151013,-0.61317086,0.61186427,-0.7147661,1.1536043,-0.3066947,-0.0046082833,-0.14485885,-0.22171907,-0.5359842,-0.20397434,-0.08557143,-0.15636697,0.06798275,0.14318372,-0.29290324
Hs6st1,-0.79102004,-0.36015722,0.009773511,-0.020559741,-0.7803114,-0.41815373,-0.22607589,-0.087116465,0.041895162,-0.38166797,-0.73067135,-0.018470526,-0.015060319,-0.62272465,-0.5902352,-0.31329346,-0.7118586,-0.29121822,-0.6247014,-0.21313496,-0.24792464,-0.72522783,-0.43329468,-0.16979817,-0.17299084,-0.17421979,1.0938448,-0.39004606,-0.09809724,0.87278825,0.25896668,0.47151536,-0.66742074,-0.7919254,0.052422285,0.019396259,-0.006746722,-0.39744452,-0.4997785,-0.6671178,-0.34863037,-0.6568722,0.61500305,1.5145143,2.994583,1.1014308,-0.12844902,0.28441682,2.159209,1.4726762,-0.36172497,0.31537995,-0.31005013,0.12649423,0.09645756,-0.21647888,-0.5405938,-0.20493923,-0.66870636,-0.14917868,0.808748,0.8867656,-0.2871232
Neurl3,0.7157628,1.4864678,0.8725742,1.3366134,-0.029091405,0.1463285,-0.5705255,1.4241728,2.6928785,0.109682806,0.2770946,0.5491203,-0.0066197314,-0.41835263,-0.51416963,-1.0749744,-0.7417717,-0.57536846,-0.94341093,-0.6846721,-0.20693131,-1.4612465,-0.9375446,-0.8251477,1.9429913,-0.7286962,1.9369118,-0.518893,-0.53030086,0.5825568,-0.92009884,-0.938095,0.1172104,-0.5692763,-1.4574795,-0.81083316,-0.97468317,-0.9175587,-1.309109,-1.2767107,-1.4348078,-0.38879848,0.5068234,0.044735923,-0.3127665,0.016558401,0.060059004,-0.059278674,0.5963168,-1.0670227,-0.08402136,0.2220583,0.36096075,-1.0096048,-0.0398934,-0.6410903,0.59139055,-0.39469734,-0.73150873,1.4616169,2.083367,1.9331878,0.2720023
Arid5a,0.35178778,2.0662858,0.5007504,0.7562758,-1.3886217,0.89636683,-0.67087615,1.1737754,1.6515554,-0.7557536,-1.7198225,0.85042286,0.785068,-0.37516692,0.26267132,0.11864439,-0.4960742,0.06964486,-0.7819555,-0.8560894,1.4524752,0.605495,-0.035602048,0.15668382,-0.69631565,-0.89560366,-0.5206281,1.1108191,-0.6619173,-0.60200256,-1.197434,-0.5935226,-1.3225718,-1.2848662,-0.80793506,-1.4170266,-1.4104149,-0.7437659,-1.8494719,0.042716756,-1.1318735,-0.418433,-0.37296548,-0.107854895,1.440096,1.5178703,-0.4696162,-0.0961594,0.39294913,0.7600536,1.3993133,2.7657602,-0.042144842,0.30580992,0.1972001,-0.7820769,0.086261705,-0.038805794,-1.5640993,-0.7302169,2.2514048,1.4295666,1.3513669
Kansl3,0.9375866,-0.12597223,-0.25049075,-0.15136299,0.8600766,0.2008822,-0.4710584,-0.34057537,-0.46706793,-0.50350356,0.09898143,0.39924246,-0.584697,-0.6642675,-0.8149583,-0.07161465,-0.6972749,-0.11105684,0.47219032,-0.6170302,-0.81045127,0.662876,0.77162653,-0.66038316,-0.46098548,-0.57938594,0.02182119,0.5363328,-0.4169668,-0.17709865,-0.22746079,-0.06013378,1.0689934,1.4884706,0.51334053,1.8748658,0.2577594,-0.5937636,0.7161096,-1.8017974,-0.5717269,-0.31370753,0.37416294,1.0251635,0.7360464,0.6626385,0.74858284,-0.006566611,1.2668194,0.027326684,0.092216365,-0.8980722,0.28849438,0.31563526,0.39249203,-0.55326277,0.08291416,0.51229894,-0.061353426,-0.49067137,0.32944492,-0.6671439,0.65009505
Cnnm3,-1.3087527,-0.04383723,0.002556038,0.35754243,-1.1577848,-0.59645253,-0.2869517,-0.08503398,-0.7575739,-0.5208232,-1.022371,-1.3514094,-0.9321821,-0.7610986,-0.79511565,-0.30484354,-0.7616669,-0.88035405,-0.6697651,-0.32891136,3.5632036,-0.041009825,0.59199166,-0.29721013,-0.24448141,-0.27733028,-0.4235294,1.9824239,-0.17991395,0.37520942,0.7084843,0.1225765,-0.15158992,0.11613471,0.55268025,0.06838195,0.2399158,-0.24780454,-0.7762717,-1.0611606,-0.32433233,-0.50373095,0.9596123,1.4888088,-0.9038103,-1.1763165,1.56171,0.32664672,0.5543752,0.57903284,1.0037256,0.06466563,-0.32023993,-0.4807894,-0.35719985,-0.3079909,0.20728937,1.2291806,0.45570228,-0.24068563,0.09877415,-0.48960418,-0.40586662
Ankrd23,-0.29432973,-0.065718345,-0.37767345,-0.23255627,-0.37372565,-0.17365791,-0.1345784,-0.1002773,-0.18672282,-0.22846818,-0.36651364,-0.30736688,-0.3768129,-0.34351298,-0.32526273,-0.31528115,-0.2999531,-0.18049033,-0.3638492,-0.067287795,-0.04093016,-0.25637445,-0.08637681,0.011641356,-0.065405145,-0.023684798,-0.23671679,-0.12243948,0.020158479,-0.044241928,0.29791054,0.43456647,1.6209568,-0.2663547,-0.12263786,-0.26590717,0.27360755,-0.0027955126,-0.11448209,-0.14950338,0.51378536,-0.18210998,0.20551623,-0.10466211,-0.14489575,-0.2411562,0.0033111856,1.2696217,-0.2582594,-0.29230222,-0.307031,-0.39912614,-0.4523221,0.10204406,-0.19034989,-0.09323425,-0.2100901,-0.2789294,-0.26127064,-0.023793995,-0.23908275,0.24542457,-0.12832773
Vwa3b,-0.29672298,-0.040550046,-0.67866224,-0.54584074,-0.38671502,-0.19305931,-0.14323124,0.060543798,-0.30234352,-0.23409452,-0.3891887,-0.21237801,-0.35456178,-0.15341659,-0.3170111,0.16163732,0.21684779,-0.3456425,-0.20233917,-0.076619476,-0.057739627,-0.40731224,-0.3846973,-0.0039234683,-0.07560066,-0.037217256,-0.23168938,2.0606906,0.009722083,0.20848848,0.15390708,0.3483634,-0.25474507,-0.28617027,0.098258644,-0.28624025,0.00920947,-0.17794111,-0.14612393,-0.18663263,-0.1991147,-0.21143286,0.310724,-0.018090496,-0.18428303,-0.28549317,0.0876982,-0.04556048,-0.28585634,-0.28213692,-0.31975886,1.1734452,-0.48245552,-0.1921037,0.04361743,-0.10262467,-0.2314591,-0.29466525,-0.3975534,-0.03372695,0.0011044958,1.0142869,-0.14022835
Inpp4a,0.31004426,1.5644574,-0.2745563,-0.24315295,1.6819227,-0.8258241,-0.36840606,0.86378974,-0.2681045,1.4595976,2.2305238,-1.0851512,0.7532114,0.44828433,0.55647326,0.75631297,0.0021743134,0.92653537,0.10581373,-0.47279394,-0.5902444,1.0091306,0.62306786,-0.46375167,-0.34019127,-0.41355675,0.20378499,0.08996784,-0.28754103,-0.5755449,-0.2837235,-0.6041199,0.13122514,-1.3336447,-1.0102757,-1.3568813,0.43230963,0.06439173,0.82624036,0.28030646,-0.22014856,0.31269285,-0.5088996,-0.8882941,-1.3122071,0.61688244,-0.0854869,-1.3975475,-1.1226691,0.31961495,-0.66009575,-0.55818945,0.50968146,-0.0482274,0.25391856,-0.4248376,0.6485941,-0.18855669,0.09283163,-0.3583666,-0.73953354,-1.1706132,-0.5570436
Mgat4a,-0.26911032,-0.008269461,-0.25968006,-0.03268038,-0.15982163,-0.64653975,-0.31259632,0.46827626,1.2203795,0.34951335,-0.2720718,-0.61125016,-0.08944842,0.13743216,-0.158277,0.41376615,-0.3153492,-0.809779,-0.41161594,-0.34767905,-0.44157025,-0.42712325,-0.43437126,-0.34016424,-0.27474037,-0.31603488,-0.38347486,0.4309264,-0.20935613,0.9025994,0.39273968,-0.18917888,-1.0637214,0.19656898,-0.8870402,-0.34119764,-0.23576754,0.00022822208,0.79916847,-1.147647,-0.60481566,0.046012957,0.42311543,0.58168244,-1.0145757,1.6103337,1.2497473,-0.08768285,3.732836,-1.003807,-0.09581258,-0.09011216,-0.38750753,-1.0078571,-0.9893102,-0.33130887,-0.84565187,-1.2016175,-0.9567335,3.6516016,1.0967382,0.9674033,-0.43492678
