gene_name,P9_A,P4_A,P3_A,P10_A,P0_A,P5_A,P6_A,P2_A,P7_A,P8_A,P1_A,P9_C,P4_C,P3_C,P10_C,P0_C,P5_C,P6_C,P2_C,P7_C,P8_C,P1_C
Mcm3,-0.36264795,-0.7085099,-0.10757552,-0.3269341,-0.28708878,1.1621076,0.4619812,-0.15325366,-0.292223,-0.274471,-0.40855578,-0.342705,-0.8529674,-0.1457724,0.57901865,-0.28651464,1.247654,0.39375362,-0.054489784,-0.46603808,0.1174317,-0.7813772
Paqr8,-0.06543477,0.027408155,-0.038379464,-0.06571151,0.07162317,-0.038979482,-0.029942328,0.0075444668,-0.070456356,-0.08625978,-0.03221435,-0.076459944,0.06740668,0.009555756,-0.09811954,0.07364327,0.01389179,-0.037910275,-0.027554365,-0.018600268,-0.037750784,-0.09088743
Khdc1a,-0.06473547,0.034984916,-0.023785647,-0.058874737,-0.06869115,-0.039572116,-0.033474572,-0.006688765,-0.049188662,-0.0610315,-0.0658158,-0.053687654,0.005883481,-0.03647298,-0.06991902,-0.06873431,-0.042943712,-0.04901666,-0.017038591,-0.04820993,-0.05959129,-0.064499386
Ogfrl1,0.00054330536,0.17988968,0.1374679,-0.16973522,-0.0380485,0.27257806,0.25670835,0.0023899444,0.12135456,-0.23071735,-0.11473235,-0.24059018,-0.19298121,-0.20868939,-0.21876924,-0.039136,-0.12336687,-0.18365297,-0.03426799,-0.12623104,-0.06953458,-0.22605523
B3gat2,0.009518037,0.045326296,-0.0056551765,0.016213028,-0.06439389,-0.020882104,-0.031103764,-0.03515428,0.04175206,-0.11729647,-0.11933489,-0.11416753,0.1136103,-0.015712166,-0.121083125,-0.063718095,-0.005451417,0.06335533,0.020102361,0.07870206,-0.069260046,-0.11877401
Lmbrd1,0.017302508,-0.00091914233,-0.03101336,0.05343355,-0.15848723,-0.026202884,-0.0011320323,-0.07209103,0.08558586,0.056229074,-0.24401908,0.0254029,0.026790282,-0.013984698,0.4259953,-0.15440412,-0.09657869,0.096118726,-0.13151975,0.14830694,0.3893648,-0.4878195
Phf3,0.09982784,0.10768091,-0.13175243,0.057261214,0.042249467,-0.13199286,-0.17632097,0.094966896,-0.010561197,0.4176973,0.23774508,0.2528057,0.17716698,-0.07129035,0.946867,0.030597745,-0.006270716,-0.29068938,0.070046164,0.048297063,0.047752846,-0.42156827
Ptp4a1-1,0.019398827,0.008504449,0.009880188,0.0044188276,-0.05215177,-0.020743981,0.07627559,-0.046675406,0.033339873,0.26388353,0.07072297,-0.16099498,0.025916,0.019300617,-0.17014158,-0.050726343,-0.06554493,-0.017072424,-0.01968636,0.010907165,0.018035354,-0.16708755
Zfp451,-0.0858889,0.008585491,-0.08747091,-0.0393874,0.14940654,-0.024885418,-0.065172754,0.039934646,-0.17440629,-0.16393784,0.14172877,0.026312051,0.051390886,0.050676238,-0.52741677,0.14933449,0.14712563,-0.024005992,0.03633334,0.14510836,0.16664714,-0.5269307
Bend6,-0.0472076,0.01720058,-0.025585597,-0.04609962,-0.055578995,-0.03004194,-0.03076851,0.032340128,0.040087115,-0.062066346,-0.004730013,-0.05757311,-0.021125289,-0.047040537,-0.06750406,-0.0554673,-0.025736064,0.036069375,-0.035149857,0.015565587,-0.037941024,-0.06418812
Ptpn18,0.5328036,0.6293618,-0.15169291,0.3223154,-0.116827086,-0.5862537,-0.34336776,0.09786545,0.15014486,0.5685422,0.09509615,0.5636953,0.5425899,-0.09691073,-0.8920352,-0.12114842,-0.62341964,-0.28653157,0.08082026,0.0027383952,0.56489265,0.35185203
Arhgef4,0.0053741504,0.0667145,-0.08434352,0.13848598,0.043868266,-0.06562116,-0.098344944,0.018547723,0.06272433,-0.21025574,0.0048919334,-0.18710493,0.059055347,-0.07181556,-0.23827283,0.047171496,-0.11685647,0.045283098,-0.029762564,0.008602215,0.0011630281,-0.22118792
Hs6st1,0.0026295113,0.02072902,-0.10883839,-0.14026469,0.26486975,-0.0044836635,-0.07788744,0.15278989,0.08470678,-0.21134563,0.22345896,-0.2008243,0.056564216,-0.06863349,-0.2240785,0.2685648,-0.02326057,-0.1101538,0.18746789,0.048624974,-0.11525966,-0.21631396
Neurl3,0.20309955,0.34268168,-0.11028171,-0.26591906,0.17458722,-0.19263592,-0.2002607,0.029120224,-0.0028867344,0.15012102,0.58992696,0.0106896525,0.14914906,-0.13817246,0.34868675,0.17704575,-0.2869894,-0.25663745,0.04396469,-0.13006474,-0.13032278,0.25516322
Arid5a,0.14645873,0.21630915,0.0055789547,0.047922574,-0.18808138,-0.21995813,-0.20161593,-0.015257429,0.31769943,-0.04713592,0.5873405,-0.22384048,0.24400723,-0.032382093,-0.28377107,-0.1943719,-0.2081869,-0.21399938,-0.01810042,0.083642304,-0.29179326,1.165327
Kansl3,-0.015579793,-0.020605054,-0.125807,0.12198283,-0.057962198,-0.03706547,-0.08099698,0.07865413,-4.6935987e-05,-0.023443544,0.00502724,0.22993533,0.091263905,0.058347754,-0.5910902,-0.0608879,0.11487012,-0.12885335,0.15898107,0.10188346,0.015532579,0.5739863
Cnnm3,0.033774666,-0.0314374,-0.13801257,0.035847563,0.120267935,0.033772126,-0.0591458,0.095881335,0.102305226,0.048037387,-0.036780033,-0.31335452,-0.21296611,-0.15577303,-0.31799144,0.11251506,0.055985507,-0.10058681,0.19100024,-0.07964138,0.12829424,-0.3164432
Ankrd23,-0.032398473,0.013847204,-0.052094877,-0.055662695,-0.019471241,0.023492536,-0.018317344,-0.012539375,-0.066945605,-0.07890825,-0.05356085,-0.07149012,-0.0113163525,-0.028876321,-0.08788567,-0.018684598,-0.060637485,0.033331588,0.075616844,0.02036321,-0.03490918,-0.082411215
Vwa3b,-0.07560332,0.02241895,-0.008708072,-0.09929607,0.069839165,-0.011528557,-0.050153527,-0.0021704694,0.024024691,-0.087625824,0.056889348,-0.07741764,0.005388148,-0.03717248,-0.09997976,0.06050901,-0.02715457,-0.07092481,-0.026474267,-0.0027412642,-0.062324457,-0.0924463
Inpp4a,0.010017693,0.16304192,0.116748914,0.14875932,-0.18295829,-0.12225391,0.013358432,-0.10890258,0.006061054,0.1942533,-0.27314046,0.30856705,-0.07190011,0.17052759,-0.44170836,-0.18559578,-0.23736373,-0.053249992,-0.21965393,0.036491092,0.036982443,-0.44392174
Mgat4a,-0.008779311,0.15763897,0.01020823,-0.10725977,0.27564153,-0.021790577,-0.062742725,0.091904424,-0.07210453,-0.3337034,0.30420512,-0.09101839,-0.04393697,-0.12192077,-0.35226962,0.27776393,-0.18174261,-0.11942017,0.39837372,-0.21146801,-0.18602553,-0.3409479
Tsga10,-0.030040534,0.052191753,0.0021743744,0.16461056,-0.103832565,-0.09118812,0.052239273,-0.0030285253,0.063823976,-0.17730463,-0.117792375,0.30424544,0.17814529,0.02961153,-0.18111697,-0.10290239,-0.02663343,0.033265825,-0.039500587,-0.0486933,0.0866244,-0.17879218
Mitd1,-0.052061718,-0.07479518,-0.03953837,-0.3399521,0.01883168,-0.054211807,0.14887466,-0.101643294,-0.017231937,0.05191089,-0.12790695,0.47778988,0.084809154,0.120781794,1.0551028,0.021234004,0.063626654,0.2593139,-0.038897764,0.3296184,0.30840176,-0.7130033
Aff3,-0.17019488,0.11170613,-0.13452578,-0.3347341,0.47163373,-0.19512717,-0.24043904,-0.009512663,0.76621014,-0.32975912,0.25625297,-0.07637966,0.024556575,0.089494206,-0.36424226,0.47020483,-0.16079144,-0.26462656,-0.054840043,0.8875506,-0.28925648,-0.34321433
Chst10,-0.0021651394,0.048500575,0.047718704,-0.00090933236,0.116737396,0.034389775,-0.028927462,-0.034448218,-0.043146286,-0.28779465,0.109870784,-0.27728903,-0.13005127,-0.07296575,-0.30050856,0.115737215,-0.122891665,-0.050481874,-0.051820606,-0.07798405,-0.13430226,-0.2927556
Rnf149,-0.039658338,-0.05024649,-0.1640058,-0.04364628,0.019654652,0.0558706,0.044683535,0.11828863,0.008602417,0.36459622,0.072852366,0.01734517,-0.063734725,-0.13737167,0.4164764,0.014628255,-0.062758476,-0.042067736,-0.025082536,0.012164044,0.06947207,-0.458041
Map4k4,-0.024022767,0.27049237,0.0020481742,-0.21316329,0.290378,-0.28355566,-0.24972697,-0.15997988,0.81434536,-0.30865622,0.6447037,0.094984576,0.39852533,0.07655759,1.4476359,0.28748682,-0.2636849,-0.2351049,-0.1112119,0.63148147,-0.34951866,1.1760584
Il1r2,-0.008263391,-0.051219612,-0.075582065,-0.03736255,-0.04952932,-0.03074844,0.004707661,0.027741576,0.05511263,-0.06648156,-0.025791407,0.30565348,0.4180127,-0.06856574,-0.04681181,-0.049433794,0.06694709,-0.047709484,0.24707513,0.065201506,0.06089879,-0.058806483
Il1rl1,-0.17525464,-0.16794467,-0.19757387,-0.11763745,-0.24194291,-0.13846907,-0.14065033,-0.15315326,0.025724446,-0.2580853,-0.24151728,0.088415526,0.5001147,0.4188187,-0.24933411,-0.25050065,0.31160387,0.17871267,0.13375442,0.92109096,1.0611933,-0.25467062
Il18r1,0.7974308,0.1520289,-0.052505564,0.28311706,-1.0556535,-0.4272897,-0.16892517,-0.053854015,0.09315344,-0.42655647,-0.74752617,0.6882238,0.530814,0.41998246,-0.725993,-1.0602478,0.03523556,0.24279135,0.044921927,0.20165533,0.987325,0.48384148
Il18rap,0.43038127,0.2790872,0.063540526,1.553664,-1.1060437,-0.28244045,-0.21791208,-0.03052869,-0.2399322,-0.20558587,-0.9036173,0.45682412,0.40084034,0.15929632,0.60460305,-1.1058266,-0.25434327,-0.25197557,-0.0036653965,-0.2409405,0.5379141,-0.39542145
Mfsd9,-0.031295855,0.016993888,-0.026116328,-0.056933988,-0.00014373579,-0.004434164,0.0035055813,-0.03226992,0.0032671685,-0.06402797,-0.0057337303,-0.061001807,-0.036454435,-0.018163513,-0.06769024,0.00066706905,-0.056574572,-0.05907704,0.021574844,-0.008318664,0.006276902,-0.06545698
Tgfbrap1,0.012060474,0.119541764,-0.02784205,0.08821306,-0.03416208,0.018856201,-0.052677117,-0.036607776,0.006716948,0.78783596,-0.07855588,0.27251345,-0.026820911,-0.06622333,-0.34526166,-0.030331029,0.020633958,-0.08752738,-0.03176377,0.11202742,0.15805835,-0.3439612
Nck2,0.11789767,0.059524376,0.083927415,0.16813385,-0.03606525,-0.0043464177,0.009298668,0.004623208,-0.13611534,0.20068981,-0.18643968,-0.13213925,0.05937454,-0.040716533,1.2368164,-0.044677004,-0.023192344,-0.12847984,-0.19854257,-0.22926994,0.05509269,-0.45202678
Gm8251,-0.09879006,-0.026937058,-0.09177944,-0.040344935,0.19501735,-0.034307078,0.1500116,0.036028072,-0.035615038,-0.17288333,-0.019486042,-0.17753948,-0.13838178,-0.0778677,-0.16724846,0.19953178,-0.06524576,0.2045825,0.01215187,-0.10948605,-0.064115375,-0.17068462
Ercc5,0.03005264,0.008273107,0.0015568044,0.0042649293,0.115906544,-0.12785344,-0.10402414,-0.027283017,0.11132824,0.029196426,0.04350348,-0.10694888,0.13360515,0.04827385,-0.38020867,0.11527088,-0.09517419,-0.023069499,0.033272654,0.118081026,0.13120031,1.2666061
Slc40a1,-0.019989898,0.053536482,0.00464084,-0.04468366,-0.054145098,-0.019336889,-0.028756186,-0.0027516142,-0.052958462,-0.060461562,-0.06349268,-0.055808824,0.097366534,-0.0083939005,-0.0660923,-0.054034397,0.021575902,0.009500993,-0.032589596,-0.03004217,0.033385113,-0.06265866
Nabp1,0.17214903,0.26501492,0.3411844,0.009565871,-0.5168647,-0.09570202,0.0485429,-0.17411444,-0.1746322,0.38081384,-0.12673865,0.32143998,0.34729818,0.24090649,0.22661799,-0.5152233,-0.12798272,0.11188738,-0.0026678622,-0.17749585,0.3740025,-0.20113373
Stat4,0.32061386,0.13942443,-0.0123265525,0.22526881,-0.44151676,-0.17268363,-0.08263669,-0.2118105,0.28502837,0.40992075,-0.2980146,0.56643236,0.2416115,0.090809226,0.40863723,-0.43808913,0.0006738318,0.081743896,-0.16879563,0.25593853,-0.032742124,0.9137782
Stat1,-0.018662205,0.18201448,-0.089587905,-0.50530785,0.5439929,-0.31840125,-0.20892113,-0.08984764,0.115537316,-0.49270123,0.6424651,-0.22852525,0.320036,0.22949387,0.18567002,0.5378976,-0.1619136,-0.19187866,-0.12005072,0.21398452,0.30906752,0.48688012
Mfsd6,0.09276822,0.14711824,-0.020534229,-0.15673786,-0.029220568,-0.1335209,-0.06558638,0.011121345,0.14611013,-0.3885034,0.335935,-0.17853266,0.06724915,-0.05320769,-0.41297707,-0.03129291,-0.12903346,-0.1290799,0.004082543,0.079063684,-0.066546425,-0.39805296
Inpp1,0.25283566,0.09366872,0.17888407,-0.123956226,-0.21798871,-0.18003798,0.024269572,-0.115574464,0.1197969,1.2576092,-0.16648012,0.030050384,0.29760963,0.07248035,1.0439116,-0.2201351,-0.2246798,0.17993586,-0.060539376,0.066176675,0.21540947,1.7090127
1700019D03Rik,-0.026317328,0.08244867,-0.07076581,-0.09601538,0.007038057,-0.044826075,-0.089513734,-0.010537425,0.1256735,-0.10858549,-0.029593704,-0.10102939,-0.03973645,0.016261896,-0.117729895,0.008520108,-0.08997491,-0.096223384,-0.016128067,0.582602,-0.060567416,-0.112153605
Stk17b,0.3899382,0.47857586,0.26378474,0.03407514,-0.40238866,-0.34223047,-0.21524754,-0.28756392,0.007142188,0.77937514,0.4067329,0.18402117,0.64211506,0.091154076,-0.29320195,-0.40455076,-0.27477166,-0.32135475,-0.43409342,-0.09495305,-0.16267748,-0.014520325
Pgap1,0.10207014,0.07224572,-0.045218688,-0.12185521,-0.013851058,-0.06420858,0.021506175,-0.01897828,0.18971843,-0.32049358,-0.07524731,0.06722101,-0.052607037,0.024697045,-0.33578375,-0.00997248,-0.063631184,-0.014950545,-0.1836357,0.1876441,-0.08123161,-0.32645977
Ankrd44,0.28330553,0.42191917,0.4051388,0.36905,-0.18882558,-0.10351396,-0.33795145,-0.15197101,0.03634914,0.4260979,-0.17959833,0.51998,0.39221635,0.19426285,-0.7289499,-0.18369813,-0.3326868,-0.35643786,-0.41240203,-0.3499408,0.0033524386,-0.39560926
Coq10b,0.13571851,0.051714633,0.09918117,0.040069476,-0.3905126,-0.06223259,-0.14947192,-0.08090265,0.11203902,0.11417758,0.20790826,0.35254532,0.114048064,0.04914146,0.1551925,-0.38791472,-0.10925281,-0.059653237,-0.07280782,0.28246626,-0.09620892,1.2830095
Hspd1,-0.26236957,-0.83504117,-0.41967213,-0.21945493,-0.00528851,0.51128715,0.37126747,0.46075484,-0.0060414206,-0.17062473,0.11604552,-0.55878866,-0.903801,-0.39589036,-0.39181077,-0.0061075394,0.38179177,0.36536837,0.32442632,-0.001958165,-0.17594735,0.5980223
Hspe1,-0.13685599,-0.56218624,-0.56808025,-0.33923376,0.50765055,0.26694605,-0.04384557,0.5147587,0.2968467,-0.14508556,0.64522254,-0.5749459,-0.64072216,-0.49989232,-0.48965374,0.5049836,0.13197285,-0.22774988,0.23533198,0.18900393,-0.49046245,0.5725261
Kctd18,0.05877429,0.047845513,0.06541996,0.017713986,-0.052423123,-0.09507903,-0.035661254,-0.112451985,0.13503826,-0.092825055,-0.19370288,-0.27873594,0.032117773,0.08248324,1.1301426,-0.05286847,-0.022812963,-0.03503925,-0.1575842,0.03203449,0.08039127,-0.47459745
Sgo2a,-0.23111409,-0.08885481,1.3865669,-0.15070894,-0.15447083,0.16600788,-0.2614028,-0.5019048,-0.40841138,-0.3406538,-0.19824876,-0.36892352,0.22455296,1.3659943,-0.17494091,-0.15499851,0.08294485,-0.28942195,-0.5187861,-0.42403668,-0.2810666,-0.2759931
Clk1,0.343519,0.38944346,0.022507612,0.060466222,-0.48580968,-0.31102937,-0.28861305,-0.07429515,0.28803486,-0.25828934,0.59592795,0.4757208,0.42827332,-0.008584398,-0.92526346,-0.48346162,-0.19202462,-0.19828197,-0.35290977,0.169386,-0.372335,-0.7023443
Fam126b,-0.03979576,0.080399506,-0.02200401,-0.022703908,0.1900255,-0.046205726,-0.031176174,0.054512523,-0.07511196,-0.33486298,-0.021739755,-0.044681314,0.10220936,-0.0044717374,-0.34091148,0.19654793,-5.360894e-05,0.055849567,0.12225775,-0.060339876,0.20955177,-0.33722305
Cflar,0.20551525,0.14680576,-0.040973503,-0.04715778,0.061025742,-0.069908015,0.09116112,-0.069031216,-0.07564241,-0.17351657,-0.2302009,0.1384362,-0.0044569136,0.034077343,-0.42674837,0.058187,-0.20675735,-0.030904295,0.033469588,-0.04816452,0.20218131,-0.9700924
Trak2,0.0785278,0.051940795,0.08707669,0.01936938,-0.0424261,-0.0074826665,0.021627625,-0.028561292,0.061398704,0.13009164,0.030313998,-0.032969743,0.09600577,0.05449564,-0.48608232,-0.057902757,-0.05281541,-0.12232946,0.029825838,-0.13401867,-0.105422266,-0.48397714
Stradb,-0.045998983,0.09447062,-0.030709697,0.024603015,-0.008117571,-0.007473118,0.04325168,0.054979697,-0.16391777,-0.24062146,-0.025073318,-0.23809642,0.01781968,0.0038003093,-0.24367727,-0.005226217,-0.09262459,-0.025918644,0.061656736,-0.016707867,0.072831504,-0.24181384
Nop58,-0.20835769,-0.6493427,-0.22783895,-0.37454063,0.20584702,0.3628045,0.1413892,0.21311644,-0.07081008,0.07568213,0.15296473,-0.35045666,-0.4549027,-0.17924763,0.20633316,0.20837584,0.41999832,0.27357307,0.37807906,0.040322866,-0.08541022,0.79191893
Bmpr2,-0.019508252,0.12198064,0.022015467,0.04646714,-0.07790272,-0.044255838,-0.038339663,-0.008174582,0.009254172,-0.11801384,-0.008856824,0.09499183,0.014537252,-0.028495496,-0.123619765,-0.07737447,-0.005314617,-0.040610656,0.14998853,0.0042847153,0.018402131,-0.12020125
Ica1l,-0.059876572,0.00011143117,-0.00043030194,-0.05964011,-0.058744468,-0.04015705,-0.020223254,-0.03503877,0.1752697,-0.06706741,-0.06884964,-0.0643317,0.059910793,0.017482277,-0.07037816,-0.058622412,0.045586348,-0.06259168,0.019230187,0.21512176,0.001772595,-0.068359256
Carf,-0.018976353,0.027360374,0.045398075,-0.034077484,0.14645217,-0.073356315,-0.04500544,0.00772583,0.04161266,-0.20294172,0.012895369,-0.18960404,0.0326853,0.13591515,-0.21908295,0.15086408,-0.027604096,-0.009674575,-0.012893624,0.10007335,-0.06345184,-0.20923997
Nbeal1,-0.03333165,0.18307796,-0.03530761,0.017209284,0.24275683,-0.14303558,-0.1494183,0.05440707,0.18293498,0.37254584,0.059850853,0.05535574,0.07272668,-0.021176156,-0.43911216,0.24975327,-0.093992524,-0.1713067,0.24457109,-0.06592924,0.026403774,1.0506039
Raph1,0.14645186,-0.045975845,0.020024756,0.006834177,-0.33642104,0.06781733,0.025195953,-0.012374331,-0.016521389,0.42810133,-0.40130535,0.5969613,-0.07156434,0.3121862,-0.38656837,-0.33559173,0.032191306,0.21547866,0.09102038,-0.021646807,0.40352654,-0.40603334
Cd28,0.7376168,0.11948627,0.32738504,-0.24312496,-1.28418,0.093107745,0.0018511942,-0.32059777,0.5377008,0.24527381,-0.111309364,0.0035320953,0.14905204,0.19704114,0.14454462,-1.2875978,0.10034082,0.02599226,-0.6117757,0.303412,-0.34645808,-0.70256114
Ctla4,0.3343447,-0.2943065,-0.071895406,-0.65988374,-0.8337251,-0.07728853,-0.083972365,-0.45757222,0.7037553,1.1655988,-0.5342842,0.74572873,0.41831094,0.56162566,-0.9005517,-0.8377438,0.77377063,0.7894931,-0.2611599,0.9113955,0.22762498,-0.9292417
Icos,0.47598448,-0.14940828,-0.027682198,-0.27104115,-0.84698874,-0.19824065,0.06857958,-0.3108564,0.2834474,0.43179545,-0.55976766,0.7458184,0.19267322,0.3561613,0.18707235,-0.84897286,0.2382871,0.44980255,-0.26942945,0.87860024,0.30741644,-0.09297845
Nrp2,-0.0117847575,0.036118884,-0.005753648,-0.06982486,-0.022283027,0.028706275,-0.070822746,0.04803872,-0.078469984,-0.09200095,-0.006788481,-0.08361028,-0.015547655,-0.06394176,-0.10215533,-0.021362497,-0.051023137,-0.07827347,0.36757213,-0.07735174,-0.04373567,4.9508433
Ino80d,0.007276705,0.046469904,0.007580399,0.0033699647,0.09710402,-0.1395507,-0.05952878,0.02518065,-0.059918445,-0.07801795,-0.03349678,-0.013671876,0.23970515,0.04608116,0.7538982,0.102575995,-0.11589414,-0.035912197,-0.056081187,0.036054637,0.11286343,-0.704752
Eef1b2,-0.4657168,-0.17733982,-0.4790909,-0.6325644,1.2251238,-0.071881734,-0.3556441,0.3330665,0.48595563,-0.7164609,1.4855953,-0.4044362,-0.19534314,-0.33143848,-0.37360016,1.2238889,-0.08669561,-0.40681845,0.50299233,0.6162427,-0.19355547,1.2509017
Klf7,0.04382815,0.21089612,-0.006408371,-0.066463284,0.3325529,-0.13870646,-0.113970995,0.08017754,0.09344764,0.47927475,0.24308208,0.103888415,0.07616937,-0.16443892,-0.6666248,0.3210019,-0.18357024,-0.32627666,0.09198974,-0.0619687,-0.040235113,-0.6376293
Creb1,0.05898343,0.10971898,0.2747296,-0.1209853,0.08159662,-0.034325626,-0.054947466,-0.07656487,0.0060292776,-0.010148531,-0.12220402,0.15228045,-0.0041635376,0.14015956,0.22783534,0.082183726,-0.061842225,-0.05187041,-0.11933289,0.011007544,0.12106856,0.92623913
Plekhm3,0.04455816,0.08789112,-0.019973963,0.11771101,-0.014721183,-0.097358435,-0.11112587,0.025573159,0.037022043,-0.24247521,-0.068784386,-0.22054696,0.05366058,-0.023700172,-0.26901275,-0.01175245,-0.04797709,-0.1464405,-0.009458706,-0.04730061,-0.04097863,-0.2528301
Pikfyve,-0.009956068,0.11828438,-0.11103715,-0.057299092,0.13524185,0.015605699,-0.09559383,0.034294304,0.09483319,-0.36092016,0.09986339,-0.34169278,0.07230249,-0.12646352,-0.38418913,0.13640457,-0.016234383,-0.015256832,-0.092434786,0.038035937,0.022793029,1.6969242
Kansl1l,-0.039631262,0.055385664,0.019004053,-0.0001721718,0.17968397,-0.079303466,-0.0863587,-0.041258957,-0.05686258,1.1776589,-0.04381086,0.03046849,0.19358477,0.23879866,-0.28152522,0.18346815,-0.035230935,-0.058610942,0.046689313,-0.021039816,-0.02068283,-0.27288672
Ikzf2,-0.29111677,-0.07039797,-0.08616208,-0.35411274,0.13136882,-0.19404517,-0.17463462,-0.14276575,0.4532952,0.85483044,0.062761344,0.44481426,0.15220755,0.3011576,1.6748853,0.13084234,0.15275837,0.076046474,0.2671409,0.91305053,-0.09373073,0.7436535
Fn1,-0.045546714,-0.012341579,-0.044708975,-0.055561353,-0.021852225,-0.030632567,-0.047196485,0.07961199,0.04557906,-0.052953694,-0.02433031,-0.050672725,0.07146468,0.02325862,-0.05571412,-0.021451827,-0.012078997,-0.015953062,-0.039289676,-0.023782603,-0.052506372,-0.054030806
Rpl37a,-0.033389304,0.34617266,-0.7105726,-0.031647574,1.2794427,-0.44913888,-0.6371433,0.4508242,0.3942307,-0.28648618,1.4650215,-0.1332316,0.26789957,-0.6027113,-0.9716788,1.2815973,-0.5089597,-0.77678376,0.4473784,0.31903985,-0.3678104,1.5065823
Cxcr2,-0.035784215,-0.02794862,-0.03916232,-0.051141385,-0.061654594,-0.022049677,-0.022063732,0.022915663,0.0052083433,-0.06130407,-0.03139891,-0.060967997,0.011732497,0.018063452,-0.061710782,-0.06165657,-0.03820656,-0.034535117,0.13416518,-0.060717322,-0.014765923,-0.061462767
Slc11a1,-0.049571153,-0.0005090701,-0.06420392,-0.04497251,-0.055925805,-0.019024521,0.027116964,0.025233587,-0.06679852,-0.06019609,-0.057528824,-0.064290315,0.10008358,-0.024131058,-0.05524126,-0.05590174,-0.041109357,-0.0002542973,-0.013210432,-0.008490333,-0.037763227,-0.05826273
Ttll4,-0.0003919425,-0.017038558,-0.11501369,0.0215957,0.10566518,-0.018572472,-0.057725664,0.041712288,-0.004240736,-0.2268444,0.21649285,-0.055339377,0.08406577,-0.058134895,-0.22005144,0.10973548,-0.051128305,-0.12758741,0.068945594,-0.11141842,0.09098474,-0.22419381
Cnppd1,0.059689734,0.15044633,0.10440836,0.059367687,-0.12413273,-0.14397462,0.015224846,-0.09869596,0.022142138,0.38532576,-0.006832344,0.21477886,0.12275704,-0.058296047,0.30408952,-0.12411772,-0.14410698,-0.013015338,0.08812121,0.02634691,0.09936967,0.36984983
Atg9a,0.06141918,0.012608148,-0.066554464,0.07856896,0.011662422,0.008834688,-0.06423897,0.023859998,0.002508432,-0.2881577,-0.065378316,-0.20085518,0.053289134,-0.069041885,-0.3039097,0.0007575099,-0.08611633,-0.11560439,-0.012678109,0.06801309,0.04048868,-0.29430407
