gene_name,A5P,A5T,A8P,A8T,C5P,C8P,NP14B
Mgat4a,0.016801862,0.06648002,-0.057783917,-0.02530095,-0.15298897,-0.15279606,0.2968774
Tsga10,-0.017105065,-0.044897232,0.061860155,0.069591366,0.0018181321,0.06062981,-0.1044368
Mitd1,-0.027520208,-0.012277122,-0.15865469,-0.19870804,0.15565957,0.30709395,0.02169529
Aff3,-0.07604159,-0.03901736,-0.2560499,-0.14541176,0.15890068,-0.076449335,0.45895243
Chst10,-0.027815197,0.09293219,-0.038871672,0.010458967,-0.070704296,-0.13349186,0.113102
Rnf149,0.04597762,0.016786758,0.0014699517,-0.0882711,-0.060946092,0.02349297,0.008341528
Map4k4,-0.07636915,0.067817055,-0.085366,-0.08976869,0.1487296,-0.23483407,0.2859453
Il1r2,-0.0029864972,-0.03700638,-0.029838398,-0.0121438075,-0.026051644,0.13623124,-0.049464863
Il1rl1,-0.13162111,-0.17611966,-0.16004194,-0.15114379,0.3658664,0.9786608,-0.25051448
Il18r1,-0.15802424,-0.27660868,0.60451293,0.38571668,0.12717266,0.870032,-1.0334469
Il18rap,-0.08025731,-0.30598193,1.0449202,0.6214162,-0.17983776,0.41840565,-1.0867912
Mfsd9,-0.021427883,0.004411924,-0.03083266,-0.05002348,-0.041171852,0.010403103,-0.0006725691
Tgfbrap1,0.01895796,-0.039360907,0.07651219,-0.0020695524,-0.013790993,0.10338529,-0.02971253
Nck2,-0.017704042,0.017292174,0.24217023,0.018380988,-0.14478499,0.053633254,-0.04731038
Gm8251,-0.0040700193,0.019053448,-0.099207535,-0.043785337,-0.017682757,-0.07321203,0.19918738
Ercc5,-0.040604692,-0.035605963,0.03833213,-0.009414938,-0.0058892216,0.14201762,0.11278964
Slc40a1,-0.006291042,-0.026903287,-0.0374318,-0.015387746,-0.038073882,0.07540172,-0.054249655
Nabp1,-0.020354975,0.061928477,0.033870097,0.12875395,0.033846784,0.214979,-0.48569342
Stat4,-0.11617261,-0.039816525,0.21812367,0.2032695,0.15598728,-0.033684332,-0.43025306
Stat1,-0.15012805,0.086854905,-0.2950495,-0.13651724,0.040551428,0.23704137,0.5211155
Mfsd6,-0.051493112,0.17458747,-0.052948862,-0.06681557,-0.06477529,-0.02929071,-0.026308509
Inpp1,-0.06897921,0.08690082,0.06224355,0.012204324,0.026107794,0.15607262,-0.20515133
1700019D03Rik,-0.046887953,-0.025292927,-0.060892183,-0.038727157,-0.008563616,0.2177339,0.006055963
Stk17b,-0.17451738,0.20379153,0.2143388,0.14708991,-0.0016213019,-0.29001278,-0.41300818
Pgap1,-0.006048791,-0.02709886,-0.050185952,0.047335017,0.028919695,-0.024033707,-0.016366737
Ankrd44,-0.029492546,0.00033341878,0.36041442,0.21365179,-0.13731158,-0.10094135,-0.18627514
Coq10b,-0.02614797,0.0020824848,0.023658821,0.14923565,0.07650646,-0.0569715,-0.37731668
Hspd1,0.20414527,0.04113294,-0.20485365,-0.22003229,0.096392795,-0.24508968,-0.014006383
Hspe1,0.12984835,0.065660864,-0.2687987,-0.16758268,-0.023020698,-0.51683414,0.49170655
Kctd18,-0.03131202,-0.06213072,0.10112152,-0.03305333,-0.00093661825,0.07964836,-0.055985093
Sgo2a,0.0050699953,0.0708873,-0.10591322,-0.11044318,0.09511919,0.16731021,-0.15609351
Clk1,-0.0880348,0.07067655,0.19246401,0.2076893,0.05597377,-0.35299,-0.48739055
Fam126b,0.008684788,-0.020626161,-0.013865902,-0.054199535,-0.060832214,0.21454498,0.19870584
Cflar,-0.011231788,0.0026632422,0.10153375,0.001059018,-0.102990404,0.19408675,0.0550014
Trak2,0.0004169304,0.011167699,0.059877302,0.08127998,-0.017441673,-0.14025646,-0.049064536
Stradb,0.003984059,0.019649822,0.0035806785,-0.035707153,-0.032119613,0.035565116,0.00054913794
Nop58,0.0562499,0.01155815,-0.24454114,-0.2190594,0.103882186,-0.042537216,0.20574093
Bmpr2,-0.016453054,-0.0010908061,0.03771741,-0.013063578,-0.010534899,0.0012959922,-0.0671191
Ica1l,0.00058238447,-0.030440567,-0.051418383,-0.06896242,0.017341686,0.093407825,-0.058841478
Carf,0.007876689,-0.02129479,0.0007022287,-0.0469056,0.011635922,0.06548593,0.14359848
Nbeal1,-0.02153205,-0.06861241,0.026347393,-0.015397981,-0.07627319,-0.012807331,0.2729481
Raph1,-0.0035094332,-0.10195732,0.15557575,0.03123825,0.01724402,0.49284473,-0.3292233
Cd28,-0.042383175,0.15154402,0.29455078,0.21791752,0.24739592,-0.30251342,-1.2822043
Ctla4,-0.15222892,-0.16792749,-0.18538696,-0.114147775,0.87637264,0.14612046,-0.83671623
Icos,-0.14933828,-0.16931503,0.09387116,0.1323389,0.5173354,0.29787913,-0.8510736
Nrp2,-0.021884864,0.015515091,-0.07181941,-0.02511525,-0.061507907,-0.058807112,0.021552876
Ino80d,-0.031543672,-0.023577295,0.028834073,-0.033559386,-0.018875612,0.105531566,0.09223554
Eef1b2,0.03299929,0.08400397,-0.54506475,-0.3740062,-0.10435656,-0.0016363895,1.2147124
Klf7,-0.021896511,0.035875503,0.0062826416,0.02916203,-0.18354514,-0.037915353,0.31311405
Creb1,0.009121899,0.0051400955,0.046255063,-0.06603605,-0.036003526,0.16268419,0.086811565
Plekhm3,-0.035337094,-0.03055671,0.0588223,0.063340835,-0.07061281,-0.020901987,-0.016740277
Pikfyve,0.016489036,-0.024999797,-0.018871477,-0.030464398,-0.0650378,0.044357426,0.13073537
Kansl1l,-0.019467238,-0.044454444,-0.0017979138,-0.04703196,-0.019198097,0.13310765,0.18029892
Ikzf2,-0.14229333,-0.039663315,-0.33273855,-0.2788896,0.4209458,0.026111063,0.1569373
Fn1,-0.017685376,-0.0016666721,-0.045857772,-0.046489738,-0.004440785,-0.031026978,-0.02211938
Rpl37a,-0.06241986,0.023814453,-0.09853038,0.02269031,-0.32714096,-0.3273562,1.2698168
Cxcr2,-0.022023605,-0.0037881988,-0.04379044,-0.045438237,-0.021665208,-0.008288435,-0.061655924
Slc11a1,-0.03390544,-0.0037917593,-0.048104797,-0.03321483,-0.042893782,0.019067796,-0.055909567
Ttll4,0.005788604,-0.036169827,0.022781229,0.019604156,-0.081424475,0.03658967,0.10316917
Cnppd1,-0.040334735,0.026342668,0.021914914,0.06758525,-0.03141833,0.0406437,-0.11249048
Atg9a,-0.015487161,-0.0077212853,0.01828861,0.07735519,-0.031906642,-0.0123142935,-0.00037112334
Ankzf1,-0.035942446,0.017363377,-0.0559189,-0.011308449,-0.07836449,0.064345405,0.031219326
Dnajb2,-0.004473295,0.051465683,-0.10309836,-0.08039509,-0.01343086,-0.04612633,0.26294902
Mogat1,0.012859802,0.018948026,-0.07488977,-0.034646425,-0.045578882,-0.05295785,-0.038340814
Acsl3,0.028424772,0.015115102,-0.083928116,-0.07751888,-0.06464956,-0.071377054,0.21913035
Utp14b,-0.010293209,0.029143436,-0.12893066,-0.080070145,-0.02565316,-0.105183005,0.29739657
Wdfy1,-0.009675299,0.002628649,0.12352593,0.11716009,-0.11387031,0.1965,-0.19316565
Serpine2,0.020670786,-0.08620692,-0.03238207,0.0092107225,-0.051087294,0.17478897,-0.037687045
Fam124b,-0.022824176,-0.03540231,-0.006098928,-0.03781187,-0.027461352,-0.0056137843,-0.020109307
Dock10,-0.08131344,-0.039226573,0.075068034,0.12858443,-0.035254642,-0.015512251,0.119369216
Rhbdd1,-0.004234742,0.0175761,0.044073198,0.010473798,-0.046274923,-0.036989864,-0.03477615
Col4a4,0.016401751,-0.018998193,-0.074908845,-0.027411185,-0.021885121,-0.026711417,-0.017115874
A030005L19Rik,0.004804186,-0.023461822,0.0068865567,-0.017413097,-0.0363093,-0.022201767,-0.046477105
C130026I21Rik,-0.012570388,-0.036727518,-0.08066089,-0.058974788,-0.034920055,-0.053246927,0.039491557
A530032D15Rik,-0.015115456,-0.020822618,-0.06730298,-0.041341852,-0.03217602,-0.039663676,-0.03831301
AC147806.2,-0.010805262,-0.025547674,-0.047467373,-0.041143205,-0.0012451258,-0.022008749,-0.04323766
G530012D18Rik,-0.019054098,0.0010700201,-0.056476437,-0.009147498,-0.023308715,-0.010141278,-0.042867932
Sp110,-0.1475226,-0.031367134,0.26801205,0.2617861,-0.093373194,0.02165591,-0.02941495
Sp140,-0.064586595,0.12726173,0.022617023,0.045740478,-0.081923306,-0.078071065,-0.14995752
Sp100,-0.15402907,-0.029151889,0.6783021,0.41269496,-0.15782543,-0.008666664,-0.47889248
A630001G21Rik,-0.066728175,-0.03300103,0.042544197,0.035191547,0.04085604,0.37846127,-0.28941426
Itm2c,-0.056478903,-0.16715765,0.01854799,0.06665085,0.11392844,0.5384203,-0.17028159
Gpr55,-0.103324585,-0.101936705,0.07025048,0.037124287,0.18108861,0.3440452,-0.32026246
Armc9,-0.021907989,-0.02076237,-0.06470256,-0.072418734,-0.047042463,0.08188687,0.15690164
Ncl,0.08825711,0.05412021,-0.06275803,-0.08287723,-0.037012935,-0.16462818,0.10070343
Ptma,0.25712347,0.19044386,-0.6949149,-0.5379007,0.28570586,0.041881528,-0.2426252
Dis3l2,-0.019645248,0.01795469,-0.00030666788,-0.020686356,-0.048718687,0.17233798,0.085873924
Gigyf2,-0.054841004,-0.01824746,-0.036034737,-0.036723834,0.015585752,0.137101,0.13413759
Kcnj13,-0.031487666,-0.014210688,-0.045547906,-0.046203405,-0.009766075,0.008762238,-0.04445024
Inpp5d,-0.05598125,-0.005119062,0.16409998,0.097568594,-0.042876348,0.00876184,-0.24790421
Atg16l1,-0.021187488,0.011364728,0.070716135,0.006371234,0.030928604,0.013288316,-0.10397958
Sag,-0.00448776,0.010706956,-0.060548555,-0.039005365,-0.042439923,0.032341126,0.21518466
Dgkd,-0.04690654,0.014948853,0.07575718,-0.03696971,-0.039418887,0.1767947,0.031843692
Usp40,-0.06390794,-0.06985749,-0.0019015084,-0.0438606,-0.002697832,0.11590628,0.33945042
Hjurp,0.06868561,0.02848433,-0.18108349,-0.1264289,0.15825471,0.2136116,-0.19912694
Glrp1,-9.419814e-06,0.024314487,-0.05801833,-0.041880053,-0.031935178,-0.046200167,0.008312772
Arl4c,-0.0055104042,0.25966424,0.18531635,0.18980317,-0.5720784,-0.8070221,0.952534
Ramp1,-0.028635938,0.016139587,-0.38838655,-0.26193407,-0.18710595,-0.2982716,1.7474102
Per2,-0.0419462,-0.008648593,-0.05211825,-0.05334076,-0.02573084,-0.016837338,0.028756289
Traf3ip1,-0.020525727,0.03931637,0.16603757,0.06041431,-0.06584347,0.007362491,-0.15916969
Hdac4,-0.056264453,0.09045617,-0.13510096,-0.115705214,-0.0900517,-0.07535808,0.4948789
Rnpepl1,-0.029317023,-0.041444007,-0.029293818,0.11253361,-0.029714447,0.015068381,0.06462318
Gpr35,-0.006329316,0.0066730827,-0.04176357,-0.025488561,-0.03264385,-0.03802152,-0.042386156
Farp2,-0.020200083,-0.018809361,-0.047336802,-0.019800339,-0.012124577,-0.03351265,-0.017041313
D2hgdh,0.023917276,-0.015176613,-0.015596167,-0.012660009,0.022539942,0.009211002,0.071187705
Pdcd1,-0.21827805,-0.33401993,-0.26068544,-0.23813191,0.6802144,1.1889253,-0.39116946
Fam174a,-0.030585913,-0.056900878,0.0917753,-0.0075135194,-0.071158536,0.30951047,0.041254733
St8sia4,0.0050945487,0.06995906,0.09524151,0.0352596,-0.09069625,-0.18771625,0.07078618
D1Ertd622e,0.03135866,0.01985392,0.1282416,0.11816535,-0.0047692107,-0.19686846,-0.36075193
Pam,-0.014208033,-0.00054952654,-0.07914353,-0.031713698,-0.063962705,-0.05860046,0.16583751
Relch,-0.017722715,-0.054964922,0.14516187,0.02031774,-0.043940123,0.11425803,0.020780917
Zcchc2,-0.044755735,0.018778281,0.08717837,-0.030530503,0.03524697,0.08935321,-0.041067805
Bcl2,-0.18130498,0.14356932,-0.47326127,-0.17521751,0.037297502,0.5082863,0.3569137
Kdsr,-0.018004425,0.020556213,-0.023039473,-0.04040135,-0.036302976,0.058237735,0.11940433
Dsel,0.012878762,-0.0061825383,-0.04948751,-0.020742342,-0.03439597,0.009639223,-0.040518615
Tmem185b,0.0070012156,0.082412496,-0.033162363,-0.034015253,-0.017738469,0.057900015,0.028313614
Ptpn4,-0.011773963,-0.08709253,0.38545987,0.20300025,-0.07957935,0.08541828,-0.35686162
Sctr,-0.0049181315,-0.02513346,-0.021287253,-0.016931249,-0.027753133,-0.043594006,-0.04506952
Tmem37,-0.02908993,0.10571582,0.02210966,0.12741889,-0.038841877,-0.10432779,-0.24825588
Dbi,0.11922692,0.086669035,-0.36692518,-0.33053434,0.4794159,-0.012134218,-0.5763978
Insig2,-0.012231353,-0.079525426,0.026961379,-0.03080477,0.02207681,0.16910253,0.017920211
Ccdc93,-0.008802166,0.027239004,0.041210905,0.024924431,0.014754269,0.019062784,-0.09097376
Mgat5,-0.037937965,-0.0061358167,-0.057787955,-0.086402126,0.043115117,-0.03438002,0.17483346
Tmem163,-0.03489089,-0.066671334,0.097125046,0.15264854,-0.040640682,0.73903453,-0.51912826
Ccnt2,0.007982838,-0.031474307,0.043936364,-0.006062713,-0.044264384,0.10090576,0.081893936
Rab3gap1,-0.037207402,0.0116936695,-0.12615779,-0.04681618,0.042365193,0.07258239,0.24557407
R3hdm1,-0.037695248,0.015179049,-0.1173128,-0.11787772,0.018284123,0.05805707,0.23954469
Mcm6,0.11726851,-0.079010695,-0.25202668,-0.18499272,0.34195122,0.24090791,-0.5381623
Cxcr4,-0.10454699,0.0590954,-0.23683362,-0.09742834,0.18699111,0.24203193,-0.22897369
Cd55,0.010946113,0.07026251,-0.20561482,-0.058419153,-0.05628625,-0.20222813,0.35456648
Pfkfb2,-0.00032628147,-0.0034792987,-0.02266775,-0.05113149,-0.025827412,-0.015241659,-0.029141381
Yod1,-0.012670998,0.016332334,0.02534941,0.003033486,0.02580565,-0.06523215,-0.074171245
Fcmr,-0.0054225246,-0.047724225,-0.11184909,-0.11045784,-0.05235816,-0.06298156,-0.11591042
Il10,-0.008482247,0.15230994,-0.074264266,-0.091196805,-0.080239825,-0.088651255,-0.095009945
Ikbke,-0.016867783,0.0019488145,-0.11828358,-0.058390286,-0.020217609,-0.021575611,0.48362762
Ctse,0.0009920029,-0.043139488,0.0013150509,0.058170125,-0.005217303,-0.014983375,0.083609544
Slc41a1,-0.022653967,-0.0012475523,0.024381034,-0.017241837,0.02775433,0.13100877,-0.004057149
Nucks1,0.1572151,0.046181075,-0.35427058,-0.33889374,0.28056252,0.0037917409,-0.091231406
Elk4,-0.014506581,-0.0056120916,-0.05922908,-0.062386453,-0.007741856,0.06660868,0.18737684
Mfsd4a,-0.012682699,-0.023163095,-0.03280038,-0.007489715,0.029072277,0.067831784,0.19429709
Nuak2,-0.006772237,0.019003725,-0.09633303,-0.087214924,-0.043220792,-0.04906034,0.07861126
Dstyk,-0.024436267,-0.04099456,-0.07509403,-0.0690543,-0.068665236,-0.034317553,0.31733942
Tmem81,-0.0055234116,-0.023009198,-0.046133835,-0.021420633,0.024692517,-0.0327662,0.04479937
Mdm4,-0.03735071,-0.026874626,0.06332258,0.069915324,-0.099832915,0.116885036,0.13240641
Pik3c2b,0.009829618,-0.074362345,-0.020956164,0.0018717607,0.032538295,-0.0045784144,-0.053229358
Plekha6,-0.015276627,0.01018869,-0.0042274017,-0.012686423,-0.061301816,-0.11310687,0.12866521
Zc3h11a,0.013316431,-0.02552706,0.012312874,0.015229976,0.0024711902,-0.01510884,0.039009344
Gm38394,-0.054519657,-0.010244298,0.01431007,0.06609312,-0.012268144,0.054109503,-0.084530346
Lax1,-0.07970859,-0.08113611,0.16987514,0.01743605,0.018085128,0.4908903,-0.38818264
Atp2b4,-0.006940203,-0.023752024,0.315914,0.1841412,-0.09602517,0.24067539,-0.64395696
Btg2,-0.023440974,0.015698574,0.20233417,0.40232536,-0.20084904,-0.18704154,-0.25111485
Chit1,-0.066069596,-0.09020486,0.022823451,0.043849725,0.0021838995,0.616607,-0.1969453
Ppfia4,-0.020443715,0.007846185,-0.03135533,-0.041401055,-0.035932098,-0.0357837,-0.04844045
Klhl12,-0.024698688,0.00827935,0.034017958,0.013443783,0.0018744484,0.044114333,-0.08194493
Kdm5b,-0.06874432,-0.020411449,0.09583123,0.052702468,-0.07609189,-0.10119618,0.2777764
Ppp1r12b,0.00988712,0.023162939,0.002743313,0.037090182,-0.07384473,0.07221991,0.09067437
Nav1,-0.027806021,0.016870009,-0.03748425,-0.02880806,-0.02376241,-0.033952985,-0.03214606
Phlda3,-0.0026090068,0.016992657,-0.06515743,-0.06495523,-0.018125147,0.10748152,-0.10376944
Kif21b,0.020247359,-0.08508892,0.32467508,0.09271641,-0.074499756,-0.042734154,-0.06898569
Camsap2,-0.0135936085,0.021869445,0.030900925,-0.017131831,-0.092133984,-0.11685855,0.14314012
Zfp281,0.0022723922,0.07123912,-0.24437782,-0.21425195,0.0121676205,0.0032027778,0.39819062
Ptprc,-0.20368062,-0.045496855,0.5707654,0.41097558,-0.0380193,-0.05411412,-0.50589615
Atp6v1g3,-0.030658895,-0.009421061,-0.028100397,-0.043143924,-0.00059334125,-0.02423798,-0.072738834
Dennd1b,-0.04925782,-0.096407466,0.2110773,0.09952901,0.05247184,0.13520484,-0.2713518
Aspm,-0.05230098,0.020591347,-0.12840837,-0.15184364,0.22704507,0.1876047,-0.20744778
B3galt2,-0.010864566,-0.017911145,-0.026172277,-0.054364424,0.00918313,-0.0015543672,-0.048988227
Ro60,0.014100921,-0.024224458,-0.010618089,0.012786791,-0.049432132,0.043490954,0.030933632
Rgs2,-0.040961098,0.06656962,0.025343535,0.16549656,0.063191876,-0.3061208,-0.3854563
Rgs1,0.081110395,0.15107901,-0.061499473,0.036735192,-0.060310524,0.0027354707,-0.74173474
Rgs18,-0.017945295,-0.017312555,-0.024892412,-0.034357645,-0.032819953,-0.038595572,-0.03222202
Ptgs2,-0.00021353943,-0.00025355225,-0.024233926,-0.036815245,-0.019426705,-0.03310701,-0.037693616
Prg4,0.014222535,0.014426696,-0.047341388,-0.02516219,-0.036881357,-0.01717175,-0.06446609
Swt1,-6.767022e-05,-0.058108393,0.029482694,-0.00034977382,0.014738688,0.032784823,0.04711573
Trmt1l,-0.017913304,-0.019053245,-0.08931271,-0.04745085,0.011688269,0.20498796,0.16619985
Fam129a,0.023132028,-0.13184659,0.25685793,0.14787573,0.11412922,-0.13259454,-0.46668074
Edem3,0.042378906,-0.007312128,0.038677033,0.030570699,-0.05366801,0.036148272,-0.05706262
1700025G04Rik,0.03847751,0.27870473,0.09889006,0.08492014,-0.19698365,-0.44208077,-0.35894698
Rgl1,0.01636063,-0.017943177,-0.043663442,-0.0524048,-0.02248885,-0.042152308,-0.05294916
Ncf2,-0.020064311,0.011610874,-0.099105105,-0.078624286,-0.043592844,-0.017442627,-0.07256471
Nmnat2,-0.03343283,0.117107615,0.007483281,-0.023050113,-0.04324974,-0.015124159,-0.18116166
Rgs16,-0.12606919,-0.26004547,-0.27831712,-0.1860967,0.67909974,0.44600844,-0.35063663
Rnasel,-0.00543216,-0.072006896,0.074440315,0.052035775,0.010424491,0.11262595,-0.05421191
Teddm2,-0.0043185293,-0.021675235,-0.016063824,-0.07601384,-0.005454868,-0.026925838,-0.004033509
Glul,0.032163832,0.055061325,0.07032751,0.01137716,-0.008588395,-0.07716357,-0.15833464
Ier5,-0.12667206,-0.13057216,0.39067137,0.44735736,0.05588825,-0.57487744,-0.3395972
Mr1,-0.026036518,0.017892072,0.04581051,0.011984817,-0.029463392,0.027591897,0.082495965
Xpr1,-0.04200215,0.034710746,0.1172001,0.08724063,-0.07763869,-0.1045232,-0.055370227
Cep350,-0.06859491,-0.0021223307,0.08904955,-0.015440484,0.036800675,0.052275576,-0.023747081
Tor1aip1,-0.049770683,-0.050354756,0.14393538,0.08702026,0.10819675,0.049357485,-0.39886174
Abl2,0.0014379997,0.03468542,-0.018370943,-0.049579084,-0.072691835,-0.04789996,0.17211929
Tor3a,-0.011816075,-0.038753953,0.019487508,0.026295787,0.016039826,0.15172903,-0.09741313
Ralgps2,0.017521512,0.06937962,-0.22260033,-0.13601214,-0.15554455,-0.23222432,0.5047141
4930523C07Rik,-0.047677588,0.018099833,0.096753746,0.19452763,-0.074763566,-0.40862122,0.00775367
Rabgap1l,-0.11782055,-0.15878427,0.082682416,-0.04091178,0.107939534,0.4757676,0.18203789
Rc3h1,-0.0030192712,-0.009785908,0.08435609,0.037589055,-0.05488634,0.04479449,0.0012226672
Serpinc1,0.012787328,0.0125182355,-0.02591802,-0.068832606,-0.03607947,0.024861854,0.08708881
Zbtb37,-0.013322871,-0.035254367,0.07705255,0.024767438,-0.089609794,0.14830996,0.085573405
Klhl20,-0.015557743,-0.061720714,0.06647452,-0.011657505,-0.017276457,0.22565043,0.11557775
Fasl,-0.060515158,0.023889963,0.44655713,0.40333524,-0.13144422,-0.08329552,-0.70380837
Suco,-0.08457201,0.025574962,0.17366803,0.114350006,0.044752687,-0.13863567,-0.31981105
Eef1aknmt,-0.009993375,-0.050549198,-0.09178809,-0.03146037,0.0072717704,-0.020432,0.26799524
Sell,-0.08214072,0.28480718,-0.6769587,-0.46898338,-0.24229464,-0.45702332,1.6942441
Selp,0.00090085325,0.024220306,-0.068964064,-0.06819224,-0.035960592,-0.042228274,-0.037939474
Atp1b1,-0.048560463,0.06255501,-0.33185664,-0.22385778,-0.1570758,-0.27069327,0.9170121
Xcl1,-0.08638828,-0.05711944,-0.20467782,-0.19694868,0.46177408,0.07746714,-0.14764863
Dcaf6,-0.025813505,-0.012823923,-0.013867486,0.057944577,-0.048995662,0.090819545,0.03824982
Rcsd1,0.02113919,0.06679641,-0.31763843,-0.22809328,-0.042180583,0.049442288,0.57434577
Pou2f1,-5.532471e-05,-0.056735143,-0.018529378,-0.008046441,-0.083349444,0.03294807,0.26996297
Pogk,-0.0031171709,-0.034068786,0.28547117,0.17518762,-0.05096424,0.18993019,-0.40864074
Fam78b,-0.11789368,0.2586992,-0.090072274,0.06235876,-0.1393955,-0.07306358,-0.11519596
Pbx1,-0.014288573,-0.0022332536,-0.02252503,-0.03125272,-0.025991987,0.007217828,-0.031746432
Sh2d1b1,-0.008294945,-0.039655678,-0.05988513,-0.06447457,-0.045047462,-0.028858995,-0.07511445
Gm26620,0.020120788,-0.032192323,-0.039653394,-0.052672967,0.010710358,-0.010038566,-0.059920814
Fcrla,-0.013232922,-0.035157554,-0.07643278,-0.080844864,-0.044868533,-0.026848083,-0.0930499
Fcgr2b,-0.019247962,-0.08712812,0.51935107,0.2641119,-0.15708393,-0.105996445,-0.32390657
Fcgr4,-0.010498264,-0.0034648685,-0.045031913,-0.031308055,-0.04882557,0.057273872,-0.05412965
Fcgr3,-0.040272806,0.050561424,-0.101674035,-0.069404155,-0.067711845,-0.025399547,-0.08025542
Fcer1g,-0.041203786,0.0021630314,-0.17103888,-0.13683052,0.038715452,0.14639197,-0.20063509
Usp21,-0.01425777,-0.020118568,-0.033461798,0.014812052,0.028691484,-0.0040093805,0.043280244
Arhgap30,-0.07251477,-0.08435365,0.23990299,0.055534117,-0.029425563,0.26160383,-0.10726734
Cd244a,0.033306092,-0.024854137,-0.11227239,-0.11100495,0.0036384487,0.22359222,-0.11409468
Slamf7,-0.02294012,-0.033035904,0.35070375,0.09260142,0.07700267,0.41340166,-0.9095315
Slamf1,-0.021455174,-0.093503945,0.077534035,0.10490666,0.08046308,0.35799453,-0.3866006
Cd84,-0.10464676,-0.15378769,0.21848974,0.097978204,-0.020081079,0.18733351,0.12767433
Gm10521,-0.018285394,-0.03605545,0.04121638,0.02719095,-0.055150297,0.023511251,0.015753176
Slamf6,-0.1369749,-0.12638202,-0.30843467,-0.16764654,0.51776993,0.18566504,0.06614276
Vangl2,0.018734705,-0.022774598,-0.071018316,-0.06369521,-0.03146755,-0.060888715,0.09899846
Dcaf8,-0.03085287,-0.04780151,0.08026314,-0.012439639,-0.040822223,0.08241485,0.15890288
Pea15a,0.018399458,-0.012058178,0.16009612,0.10956042,-0.03359539,-0.051070068,-0.20625482
Pigm,-0.008680639,0.034351442,0.024328923,-0.010034732,0.0010194237,-0.05572745,-0.06482624
Tagln2,0.17803887,0.06290629,-0.0030720946,0.051475685,-0.013456312,-0.4910936,-0.3156999
Ackr1,-0.011006669,-0.013660329,-0.012328911,-0.016124863,-0.026369113,-0.01005061,-0.057936266
Aim2,-0.024659866,-0.054655354,-0.17837459,-0.062557586,0.071000695,0.11503031,0.33973715
