gene_name,A5,A8,C5,C8,NAV
Kansl3,-0.36911717,0.2775606,0.15688968,0.31018305,-0.14839351
Cnnm3,0.43924195,0.07499643,-0.5309673,-0.06803085,0.37902167
Ankrd23,-0.08042186,-0.3290209,0.038450222,-0.32053363,-0.051311746
Vwa3b,-0.022678243,-0.49021462,-0.29982716,-0.35923567,0.19842207
Inpp4a,-0.14397098,0.36943498,-0.0036424256,0.02068604,-0.60199636
Mgat4a,1.1493837,-0.31282616,-1.284163,-1.029699,0.9711879
Tsga10,-0.40067866,0.5395831,0.07140678,0.1705198,-0.3236966
Mitd1,-0.16376993,-1.4232275,1.4185207,1.556532,0.08328246
Aff3,-0.96674925,-1.5696205,1.4469014,-0.6003565,1.4941407
Chst10,0.95557934,-0.09101552,-0.5636365,-0.9211401,0.37821627
Rnf149,0.9304788,-0.3518722,-0.4781887,-0.038322408,0.040195074
Map4k4,0.16959092,-0.6879685,1.3578383,-1.4910468,0.9359142
Il1r2,-0.16585627,-0.15150326,-0.17263515,0.59567094,-0.1463236
Il1rl1,-3.0225055,-1.2290093,3.2591987,5.333146,-0.7950324
Il18r1,-4.37634,3.9265044,1.1690748,4.722263,-3.3212502
Il18rap,-3.8600192,6.5877714,-1.5192647,2.182503,-3.4933712
Mfsd9,0.07928848,-0.3141493,-0.3050354,-0.1119344,0.011110097
Tgfbrap1,0.043152105,0.29468337,-0.06527466,0.41095892,-0.082590535
Nck2,0.25644043,1.0096469,-1.2123247,0.13117407,-0.13937193
Gm8251,0.42069554,-0.54768366,-0.099352926,-0.58215123,0.6559802
Ercc5,-0.55227005,0.118863106,0.00391727,0.62821114,0.3772084
Slc40a1,-0.09332138,-0.19394936,-0.277908,0.25359094,-0.16176227
Nabp1,0.7043897,0.6814044,0.35186598,1.0385157,-1.553863
Stat4,-1.4034407,1.6937482,1.4213902,-0.35986388,-1.3749787
Stat1,-0.41423762,-1.6804423,0.41057524,1.1625853,1.6947167
Mfsd6,1.57415,-0.4685768,-0.5117191,-0.33515596,-0.07160709
Inpp1,0.45204347,0.30035457,0.2840994,0.7072506,-0.64866316
1700019D03Rik,-0.50927573,-0.38094214,-0.019501092,1.0540081,0.03282045
Stk17b,0.57316566,1.4437522,0.04128935,-1.8013489,-1.3193362
Pgap1,-0.09282337,0.020671649,0.30872184,-0.30559275,-0.039528865
Ankrd44,-0.050269105,2.2777328,-1.1468838,-0.7380895,-0.58775705
Coq10b,0.00407583,0.72852206,0.72541577,-0.49082127,-1.2041736
Hspd1,2.8777506,-1.688133,0.8995507,-1.54872,-0.031912923
Hspe1,2.3467567,-1.7110285,-0.14609465,-3.076898,1.5998256
Kctd18,-0.7361222,0.25820524,0.047284786,0.27747226,-0.16736186
Sgo2a,1.0712364,-0.85271984,0.88839835,0.7704461,-0.4903727
Clk1,0.07563654,1.6148262,0.5456211,-2.1555066,-1.559339
Fam126b,0.13343012,-0.26722175,-0.47719154,1.036075,0.65442646
Cflar,0.1694154,0.40284023,-0.8463501,0.9210263,0.19074829
Trak2,0.38443315,0.5810747,-0.09724187,-0.9591814,-0.14503191
Stradb,0.51298875,-0.123399,-0.22576939,0.02956634,0.01505207
Nop58,0.98429066,-1.8347913,0.9651316,-0.40964884,0.677126
Bmpr2,0.07365621,0.10122569,-0.036762647,-0.16314901,-0.20328695
Ica1l,-0.057727456,-0.4717678,0.20733893,0.3548498,-0.1765783
Carf,0.117674656,-0.1812987,0.15737635,0.19782862,0.4766165
Nbeal1,-0.70093226,0.048250124,-0.61240053,-0.24246025,0.8939773
Raph1,-0.8644085,0.73467296,0.2064837,2.6011174,-1.048995
Cd28,1.4254907,2.045464,2.2218108,-1.8716474,-4.1238933
Ctla4,-3.1549702,-1.1701096,7.729451,0.6512838,-2.686477
Icos,-3.1389332,0.92433244,4.5855384,1.5047116,-2.7328026
Nrp2,0.19287449,-0.36535612,-0.48310825,-0.501144,0.08282295
Ino80d,-0.32726052,-0.018475162,-0.10979817,0.42302868,0.31088835
Eef1b2,1.5091629,-3.6260788,-0.85831285,-0.1796395,3.9326835
Klf7,0.40997905,0.15892878,-1.5517285,-0.3836574,1.0235772
Creb1,0.4129984,-0.088516876,-0.25977892,0.7444313,0.2933873
Plekhm3,-0.4421978,0.5018298,-0.5628354,-0.28798127,-0.040734135
Pikfyve,0.17003192,-0.18668701,-0.5140178,0.07901065,0.43511227
Kansl1l,-0.42115685,-0.19132459,-0.112622015,0.57810515,0.59503454
Ikzf2,-1.6804926,-2.420709,3.7415018,-0.023599338,0.5196557
Fn1,0.054364327,-0.35639605,0.016600518,-0.34492,-0.0580904
Rpl37a,-0.15105316,-0.26630872,-2.8091264,-2.0113528,4.1104836
Cxcr2,-0.014555936,-0.34413397,-0.1342253,-0.21704786,-0.18565941
Slc11a1,-0.14136325,-0.3092548,-0.32011348,-0.06320775,-0.16711816
Ttll4,-0.06330786,0.18150643,-0.65750784,0.035328016,0.3461669
Cnppd1,0.11155091,0.3794517,-0.2196286,0.058126193,-0.34968272
Atg9a,0.013219742,0.4066542,-0.2239045,-0.23968764,0.012082744
Ankzf1,0.0626114,-0.24705715,-0.63071305,0.19141477,0.114012815
Dnajb2,0.7622047,-0.716005,-0.062121153,-0.4298325,0.86171424
Mogat1,0.600198,-0.4169921,-0.3436256,-0.46825016,-0.11043064
Acsl3,0.7253693,-0.63113075,-0.51061815,-0.5718321,0.7203284
Utp14b,0.4619511,-0.81275696,-0.16914582,-0.7619428,0.972863
Wdfy1,0.18565279,0.9733046,-0.94162005,0.93459743,-0.60999006
Serpine2,-0.43838173,-0.07160229,-0.39186004,0.8125036,-0.10832118
Fam124b,-0.36039385,-0.16899082,-0.18497927,-0.20200673,-0.051604677
Dock10,-1.0252278,0.837169,-0.2532213,-0.25767162,0.39843816
Rhbdd1,0.403176,0.22408307,-0.34972048,-0.3784528,-0.09892886
Col4a4,0.23313282,-0.38671952,-0.13615097,-0.32065108,-0.04194604
A030005L19Rik,0.06177314,-0.034116413,-0.26245642,-0.29529068,-0.13668329
C130026I21Rik,-0.26513326,-0.5409463,-0.25029147,-0.4698758,0.14070408
A530032D15Rik,-0.12259486,-0.4162574,-0.22626333,-0.39348924,-0.11034092
AC147806.2,-0.12702112,-0.34008583,0.044583336,-0.29420522,-0.12623085
G530012D18Rik,0.06895945,-0.2401116,-0.14861667,-0.22746748,-0.1250379
Sp110,-1.6477712,2.1286538,-0.76213694,-0.04865327,-0.081630364
Sp140,0.92952675,0.29050007,-0.66187584,-0.60947645,-0.47057426
Sp100,-1.693555,4.3199143,-1.3265135,-0.21917486,-1.5319191
A630001G21Rik,-0.8031936,0.32194346,0.41324258,1.9578723,-0.9205467
Itm2c,-2.1251829,0.3627447,1.0531017,2.857416,-0.5361521
Gpr55,-1.9291339,0.4352819,1.6411903,1.7643305,-1.0200819
Armc9,-0.1944228,-0.5367191,-0.35644144,0.29006073,0.5195406
Ncl,1.7798831,-0.57319707,-0.2686178,-1.0962379,0.33821094
Ptma,5.036009,-4.882614,2.5572722,0.06508723,-0.7695768
Dis3l2,0.24279788,-0.075165555,-0.37111932,0.79872024,0.29036188
Gigyf2,-0.51895887,-0.27812797,0.19196308,0.6005621,0.4460899
Kcnj13,-0.22672904,-0.35401824,-0.03003043,-0.12116194,-0.13014337
Inpp5d,-0.39105517,1.0452427,-0.31996083,-0.12116418,-0.78661007
Atg16l1,0.15603398,0.3080703,0.3263129,-0.095709145,-0.32222134
Sag,0.3271884,-0.3808038,-0.31613925,0.0114359595,0.7075972
Dgkd,-0.08012742,0.14544237,-0.28968555,0.8237829,0.1160274
Usp40,-1.1663321,-0.17841716,0.031862702,0.4813718,1.1085544
Hjurp,1.2975578,-1.2052722,1.4412451,1.030826,-0.62922484
Glrp1,0.5201497,-0.38325027,-0.22415437,-0.43024775,0.040102288
Arl4c,2.9724462,1.5126629,-4.953923,-4.708795,3.086736
Ramp1,0.12750897,-2.5609555,-1.5829087,-1.8477931,5.6514916
Per2,-0.27896997,-0.40890783,-0.16982605,-0.26512337,0.10606555
Traf3ip1,0.46131536,0.89677465,-0.5210726,-0.12903354,-0.5002983
Hdac4,0.6256321,-0.9856483,-0.73305225,-0.59421974,1.6100615
Rnpepl1,-0.4941271,0.3734698,-0.20470852,-0.085698806,0.22179402
Gpr35,0.2645024,-0.25276545,-0.23035988,-0.3842544,-0.12348338
Farp2,-0.15536386,-0.25007662,-0.05068267,-0.3588984,-0.041705456
D2hgdh,0.3540904,-0.09957424,0.2528575,-0.11863828,0.24297519
Pdcd1,-5.6317286,-1.9761009,6.01179,6.5155864,-1.2488711
Fam174a,-0.6725771,0.3298225,-0.5676141,1.5701215,0.14639316
St8sia4,1.0615947,0.5223807,-0.7386963,-1.2260755,0.24167962
D1Ertd622e,0.8072307,0.99543154,0.013724655,-1.2775439,-1.1507256
Pam,0.103383735,-0.42084846,-0.5046037,-0.49998185,0.54837316
Relch,-0.5146824,0.6493182,-0.3292758,0.4721027,0.08033214
Zcchc2,-0.01632327,0.21582809,0.36412668,0.33204833,-0.11922958
Bcl2,-0.14177348,-2.519627,0.3820822,2.6879544,1.1649016
Kdsr,0.2880602,-0.24419385,-0.26240104,0.15706776,0.39855143
Dsel,0.3322779,-0.26219615,-0.24570233,-0.11623014,-0.117457554
Tmem185b,1.2148052,-0.25585833,-0.09984077,0.15516856,0.10463721
Ptpn4,-0.79398924,2.3281858,-0.64135104,0.30991986,-1.1381731
Sctr,-0.059790958,-0.13910364,-0.18753426,-0.41559178,-0.13214155
Tmem37,1.0783697,0.63113725,-0.28463295,-0.7571334,-0.78774476
Dbi,2.4575746,-2.767156,4.2534957,-0.23867495,-1.8465308
Insig2,-0.71813434,-0.014034885,0.24880208,0.78052545,0.071101755
Ccdc93,0.45754054,0.2738185,0.18468219,-0.06323594,-0.28025663
Mgat5,-0.20939614,-0.5691036,0.4330242,-0.36377612,0.5773996
Tmem163,-0.8227504,1.021871,-0.3003842,3.9855871,-1.6617444
Ccnt2,0.010200136,0.15420823,-0.33211517,0.39701506,0.27752003
Rab3gap1,-0.011375737,-0.6627561,0.4264575,0.23773615,0.80565196
R3hdm1,0.020605462,-0.92719793,0.21559139,0.15605177,0.78619754
Mcm6,0.669014,-1.7203447,3.0497851,1.1843292,-1.7231598
Cxcr4,-0.2240962,-1.295389,1.6928755,1.1906501,-0.7255286
Cd55,1.1272637,-1.0132087,-0.43738475,-1.3076844,1.157328
Pfkfb2,0.22023232,-0.28778484,-0.17067166,-0.25614992,-0.08074766
Yod1,0.29989815,0.121762335,0.2814537,-0.53727573,-0.22604147
Fcmr,-0.3061972,-0.8753266,-0.4029884,-0.52461934,-0.3607175
Il10,1.7953575,-0.6517921,-0.6471344,-0.66897506,-0.29327983
Ikbke,0.10166163,-0.6813912,-0.121549375,-0.29176944,1.573758
Ctse,-0.18884416,0.26172286,0.0098009305,-0.25469744,0.28305563
Slc41a1,0.0058252397,0.033048365,0.29851732,0.56630194,0.00018937753
Nucks1,2.4309042,-2.7541518,2.5122344,-0.14911397,-0.28108796
Elk4,0.046185084,-0.47385398,-0.01230534,0.20414251,0.61787224
Mfsd4a,-0.12161032,-0.14323373,0.31005794,0.21102072,0.64020115
Nuak2,0.3913346,-0.7189122,-0.32297695,-0.4463322,0.2669281
Dstyk,-0.43725818,-0.5620767,-0.54578143,-0.36342484,1.0372108
Tmem81,-0.04358468,-0.25230324,0.27170655,-0.35470065,0.15783031
Mdm4,-0.42439663,0.54649633,-0.8187015,0.4868759,0.44050407
Pik3c2b,-0.4276762,-0.05898514,0.34040818,-0.19618423,-0.15847017
Plekha6,0.20655064,-0.056504846,-0.4813036,-0.8065033,0.42843267
Zc3h11a,0.13055739,0.12340055,0.07712529,-0.255403,0.13914816
Gm38394,-0.43014324,0.34430933,-0.05193982,0.13385229,-0.25946626
Lax1,-1.4552455,0.73109674,0.21384887,2.5901265,-1.2392339
Atp2b4,-0.06662602,1.9849446,-0.78535897,1.1830215,-2.064518
Btg2,0.17822972,2.46863,-1.7032502,-1.2222813,-0.79696953
Chit1,-1.4064848,0.2833542,0.07460963,3.2971053,-0.62218547
Ppfia4,0.12642945,-0.27997148,-0.25915343,-0.37166983,-0.14301823
Klhl12,0.08565393,0.19834815,0.07189991,0.077643596,-0.2511241
Kdm5b,-0.6903838,0.597777,-0.610813,-0.7395225,0.9095564
Ppp1r12b,0.61345154,0.17873706,-0.59113574,0.23569772,0.30585107
Nav1,0.14415649,-0.2504342,-0.15258947,-0.36137468,-0.09044258
Phlda3,0.4142964,-0.5071443,-0.103226714,0.4339944,-0.3215433
Kif21b,-0.4309713,1.6347793,-0.5968715,-0.41075632,-0.20930971
Camsap2,0.34913108,0.05827321,-0.75128573,-0.8276012,0.47513756
Zfp281,1.0451419,-1.8140082,0.16203216,-0.15242605,1.2980862
Ptprc,-2.3976834,3.9042637,-0.27743003,-0.47475252,-1.6190495
Atp6v1g3,-0.16678533,-0.27491847,0.050290693,-0.3067415,-0.22141965
Dennd1b,-1.2932937,1.2318913,0.5149564,0.5898989,-0.8622663
Aspm,-0.07748087,-1.1117957,2.0436084,0.88457394,-0.6560729
B3galt2,-0.04617839,-0.31465465,0.13589844,-0.17917827,-0.14478569
Ro60,0.15282494,0.026058635,-0.3773666,0.07413797,0.113090985
Rgs2,0.5340565,0.8031201,0.6088265,-1.8919338,-1.2304369
Rgs1,2.738104,-0.06675502,-0.47262335,-0.15505397,-2.3800087
Rgs18,-0.11533745,-0.2258839,-0.23190191,-0.38748264,-0.090687685
Ptgs2,0.25585124,-0.23369022,-0.11462382,-0.35661724,-0.10834239
Prg4,0.5664984,-0.272582,-0.26746565,-0.26700395,-0.19472672
Swt1,-0.35985586,0.12327154,0.18454576,0.013931127,0.1653043
Trmt1l,-0.13356788,-0.525475,0.15783471,0.9823302,0.5495423
Fam129a,-0.89905995,1.6085417,1.0548599,-0.91609395,-1.4925165
Edem3,0.6349683,0.2878753,-0.41445813,0.032845773,-0.17083861
1700025G04Rik,3.6449075,0.74451774,-1.6694028,-2.6565163,-1.1449018
Rgl1,0.24395023,-0.3728698,-0.14143752,-0.40748423,-0.15756609
Ncf2,0.17064351,-0.69341123,-0.32623485,-0.26852724,-0.22085783
Nmnat2,1.1535757,-0.05549195,-0.32323045,-0.25548914,-0.5712578
Rgs16,-3.85869,-1.8248298,6.002029,2.3377295,-1.1180874
Rnasel,-0.56537616,0.5137351,0.14676844,0.46292457,-0.16164048
Teddm2,-0.016497297,-0.3670603,0.00772069,-0.3218569,0.00026565383
Glul,1.1914552,0.32758945,-0.019718068,-0.6043731,-0.49760398
Ier5,-2.4837487,3.3728282,0.5448723,-3.4033096,-1.0824676
Mr1,0.17394018,0.23701893,-0.20251016,-0.015271738,0.27946255
Xpr1,0.18304147,0.8237941,-0.62435764,-0.75823236,-0.16537791
Cep350,-0.49365982,0.28622356,0.37773174,0.123539045,-0.06334236
Tor1aip1,-0.8074211,0.9244143,1.002912,0.10712891,-1.273691
Abl2,0.6462418,-0.26495406,-0.5810404,-0.43980667,0.568642
Tor3a,-0.27870578,0.19706151,0.19593917,0.6828241,-0.30103397
Ralgps2,1.187998,-1.4031518,-1.306541,-1.4763706,1.6417956
4930523C07Rik,-0.054735493,1.1961042,-0.59918153,-2.4683537,0.038298286
Rabgap1l,-2.6903107,0.15521212,1.0006598,2.5050828,0.6006455
Rc3h1,0.124214016,0.49080625,-0.42512643,0.08146851,0.017225286
Serpinc1,0.5308242,-0.3743694,-0.2604439,-0.030624373,0.29428184
Zbtb37,-0.25744432,0.40929168,-0.72918266,0.66359663,0.28939223
Klhl20,-0.56366265,0.2163464,-0.09579515,1.0985274,0.38620457
Fasl,-0.12992589,3.400459,-1.0955062,-0.6388566,-2.257635
Suco,-0.3686151,1.1519656,0.4473636,-0.95006675,-1.0186254
Eef1aknmt,-0.3851046,-0.46781182,0.11916161,-0.28533825,0.8779964
Sell,2.4231186,-4.5253706,-2.066169,-2.740547,5.4799457
Selp,0.52885675,-0.53517866,-0.25940296,-0.40791145,-0.10913567
Atp1b1,0.41014498,-2.1865525,-1.3199494,-1.692704,2.9721208
Xcl1,-1.2702742,-1.590651,4.099015,0.265206,-0.4631244
Dcaf6,-0.15139477,0.20311148,-0.37354466,0.34029436,0.13669747
Rcsd1,1.1990349,-2.1503136,-0.31386834,0.10760581,1.86647
Pou2f1,-0.34507272,-0.091365404,-0.67436385,0.014849155,0.8843455
Pogk,-0.13590874,1.8317666,-0.39078254,0.8976515,-1.3052441
Fam78b,1.7631135,-0.06781174,-1.1651318,-0.5813165,-0.35841224
Pbx1,0.08456046,-0.20387,-0.17211278,-0.12984706,-0.08915314
Sh2d1b1,-0.25075886,-0.48510343,-0.3389722,-0.33272818,-0.22908483
Gm26620,0.13204142,-0.35876378,0.14927162,-0.22688988,-0.1800609
Fcrla,-0.2554517,-0.6166118,-0.3374054,-0.32141963,-0.28695554
Fcgr2b,-0.87411016,3.0930297,-1.3200206,-0.7665173,-1.03184
Fcgr4,0.11185961,-0.2895864,-0.37205523,0.15164739,-0.16137506
Fcgr3,0.37060577,-0.66449857,-0.5374331,-0.31327367,-0.24567273
Fcer1g,-0.15569793,-1.2107464,0.3944985,0.6528107,-0.634091
Usp21,-0.105932444,-0.05221093,0.3067235,-0.19298422,0.1529287
Arhgap30,-1.412822,1.156858,-0.20217891,1.3007144,-0.33282968
Cd244a,0.3510101,-0.87922895,0.0873464,1.0869529,-0.35485885
Slamf7,-0.33638325,1.7331575,0.7297608,2.1543624,-2.9214234
Slamf1,-0.9656841,0.7472292,0.760062,1.8427757,-1.2341292
Cd84,-2.4964476,1.2535406,-0.12035385,0.8830489,0.42523548
Gm10521,-0.31893727,0.28334522,-0.42743775,-0.0382196,0.06410958
Slamf6,-2.5489664,-1.8618394,4.589343,0.8736661,0.22669712
Vangl2,0.2177324,-0.52412015,-0.22005959,-0.51285005,0.33270964
Dcaf8,-0.57834256,0.26543725,-0.30197385,0.29302984,0.5259979
Pea15a,0.32849094,1.08033,-0.23869205,-0.45763406,-0.6522237
Pigm,0.534721,0.06307748,0.064412884,-0.48382524,-0.19588879
Tagln2,2.8315208,0.21698299,-0.062344026,-2.9321442,-1.0053602
Ackr1,-0.002341801,-0.10169654,-0.17541508,-0.22695759,-0.17365752
Aim2,-0.58539325,-0.9271033,0.6772045,0.4764457,1.1094795
Ifi206,-0.95301676,-0.06326819,1.1646141,1.8045231,-0.99183995
Ifi214,0.12629795,0.4383777,0.33543244,1.052018,-1.2767789
Ifi213,-0.48172894,-0.5473284,0.3542826,2.4146168,-0.24384205
Ifi209,2.13299,-0.20228052,0.05523171,0.29370317,-1.262374
Ifi208,-0.53686285,-0.01068603,-0.12892446,0.8396699,0.44115224
Ifi207,-0.16671632,-0.30332547,-0.3261568,0.0008358532,-0.1498387
Ifi204,0.37109938,-0.47070208,0.0067952005,0.9113226,-0.56434226
Mndal,-1.4074409,-0.15152107,2.092977,1.1549624,-0.71054655
Ifi203,-2.1967363,0.2880782,1.7922522,2.0001447,-0.8279992
Ifi205,-0.04543594,-0.26775378,-0.13248476,-0.18324271,-0.16887033
Kmo,-0.08015866,-0.375769,-0.05624201,-0.37130952,-0.17182867
Cep170,-0.20510316,-0.08724212,-0.20734964,0.6064671,0.38441488
Akt3,0.3880984,-0.13833195,-0.26506966,-0.51171273,0.45699322
Zbtb18,0.23793691,-0.7445749,-0.32900122,-0.5562751,0.9058435
Smyd3,-0.23471722,-0.040993743,-0.3327001,-0.1371172,0.7414857
Coq8a,-0.87931734,-0.17006944,0.51283026,0.34566396,-0.059864525
Psen2,-2.988109,-0.5700492,4.206804,0.6270866,-0.7109096
Itpkb,1.7976962,-0.06469504,0.019842703,-1.0570407,-0.38580433
Parp1,0.27735418,-0.32761624,0.89446366,-0.93877167,-0.09357316
Acbd3,-0.078157894,-0.06129838,0.23328708,-0.07699879,0.23400505
Lefty1,0.07200702,-0.34978712,-0.20599706,-0.40098554,0.07307249
Tmem63a,-0.6889661,0.15513675,0.088938944,0.059726566,0.18686259
Ephx1,-0.49769276,-1.1723127,0.55104923,2.0963836,0.7417764
Wdr26,-0.9941765,0.5588296,0.65083426,1.7018056,-0.6855868
Trp53bp2,0.4870649,0.4912756,-0.45668262,-0.6004634,0.15177363
Capn2,1.3778095,1.9288578,-1.7779827,-0.32967016,-1.5277882
Disp1,-0.027359143,0.051776577,0.20177256,0.068673,-0.09155564
Brox,0.17402941,0.0069741616,0.22750103,0.5794295,-0.3371783
Mia3,-0.4190396,0.09258608,0.27001074,0.061926305,0.3309458
Dusp10,0.8708342,-1.6128777,0.08762484,-0.30760518,0.7583492
1700056E22Rik,0.4553667,-0.2694676,-0.0019713978,0.09543763,0.05689093
Hlx,1.2270888,-0.27388164,-0.40223858,-0.4689472,-0.19734196
Gpatch2,-0.03746552,0.2157801,-0.37571543,0.4233054,0.27990818
Kctd3,-0.5009051,-0.21826941,0.068191506,0.42593375,0.29896757
Cenpf,0.83000773,-1.2660989,1.9817375,0.74831736,-0.78218025
Ptpn14,-0.09798357,-0.33603173,-0.18278159,-0.2639142,-0.05823453
Rps6kc1,-0.37959725,-0.16151206,0.22768521,-0.14146373,0.036328934
Angel2,-0.36253694,0.4127634,0.10424765,0.4314046,-0.03285479
Batf3,-0.1011145,0.64719915,-1.6053506,-0.12986478,0.4710625
Atf3,0.5185209,-0.4501103,0.03372244,-0.57021534,-0.26658735
Dtl,1.7876102,-1.4026464,1.6015801,-0.4851991,-1.1523608
Slc30a1,0.060965165,0.011930146,0.10151919,-0.32108098,-0.09819064
Traf5,-1.0139477,-0.47663042,0.82057995,1.8880988,0.07008054
Rcor3,-0.40083206,0.21464492,-0.5234632,1.4730546,0.3188364
Hhat,-0.6448696,-0.66268885,-0.3319466,3.3695078,-0.12094926
Irf6,-0.033607714,-0.5002044,0.31459165,-0.46475828,0.19263515
Traf3ip3,-0.3778044,-0.25310063,0.049682945,0.8875283,0.3532864
Lamb3,1.1653494,1.9597977,-1.1421379,-0.15472047,-1.5183461
Hsd11b1,-0.6775107,0.90735906,0.3787792,2.60576,-1.3498936
G0s2,1.0702424,0.13407053,-1.1236529,-0.88999355,0.25885764
Cd46,-0.20205458,-0.0062170965,-0.5343201,0.67737263,0.45049754
Cr2,-0.16345443,-0.5965696,-0.33123955,-0.42721486,-0.062857725
Rpp38,-0.15250345,-0.61944336,0.22021535,-0.3344942,0.91110855
Cdnf,-0.1439532,-0.24590439,-0.1231658,-0.29156092,-0.112974316
Frmd4a,-0.9291627,-1.1264515,0.6670031,1.6368818,0.6092131
Camk1d,-0.9220377,1.4228826,-0.6141817,-0.3981781,-0.26232788
Gm13199,-0.16103041,-0.23505728,-0.18069054,-0.29070172,-0.031122794
Upf2,0.19919224,-0.27642104,0.10295761,0.015139662,0.3141218
Usp6nl,-0.4322034,-0.22237979,0.8401963,-0.035088625,0.17966479
Gata3,-0.48750868,0.33673218,0.92034864,0.073649846,-0.26985744
Taf3,0.8509545,-0.25692868,-0.4461216,-0.29319847,0.30213156
Itih5,-1.4002782,-1.2438753,0.2142605,6.49311,-0.6441212
Sfmbt2,-0.45964214,-0.32578823,-0.12967017,-0.7498723,1.0530362
Prkcq,0.3091368,0.37321436,0.58912575,-0.685396,0.26468053
Pfkfb3,0.8748743,0.40623975,-0.15661101,0.05524036,-0.32856253
Ankrd16,-0.38649005,0.59039694,-0.3934563,0.73289275,0.12073584
Rsu1,-0.33422714,2.43458,-0.99537206,-1.3223773,-0.5984027
Vim,2.0039527,0.60477036,0.28368896,2.8743713,-3.6504836
St8sia6,-0.1173049,-0.3039694,-0.14535524,-0.3344426,-0.015251057
Stam,0.17918538,-0.051156078,-0.38308442,-0.19114418,0.36739632
Nsun6,0.5334864,0.061740004,-0.552969,-0.19981997,-0.010147217
Arl5b,0.61104864,0.47606176,1.2525958,-1.0898837,-0.99092793
Nebl,-0.39266837,1.4890826,-0.19814476,-0.7093198,-0.5686517
Mllt10,0.17392959,0.2553606,-0.94032496,0.22046623,0.31118286
Dnajc1,-0.9397216,1.5251366,0.6638499,0.6744258,-1.5545728
Armc3,-0.7933601,0.66938406,0.7569947,1.0263429,-0.69790107
Otud1,1.26648,0.000371684,-0.5150308,-0.8876556,0.35286996
Enkur,0.45419744,-0.27372697,-0.00671263,-0.50486255,-0.1533394
Apbb1ip,-1.6629102,3.5984032,-0.80595195,-1.053002,-0.9913351
Abi1,-0.3493112,0.59077346,0.7975575,0.35906938,-1.1030291
Acbd5,0.18789381,0.09954103,0.035257116,0.47646666,-0.41227528
Spopl,-0.82559043,0.67839974,-1.0644785,1.150786,0.7370461
Psd4,0.47069386,0.27012724,-0.43049455,0.18953091,-0.048964195
Pnpla7,0.15121318,0.698892,-0.81416684,-0.9757351,0.56235784
Nrarp,1.120721,0.2511661,-1.4971762,0.54323566,-0.60596555
Tor4a,0.48717523,0.10044359,-0.14580676,-0.22466162,0.1434724
Tubb4b,2.6603308,-2.3573508,1.1826795,0.19631992,-0.42303133
Tmem203,-0.47162884,0.23014021,-0.012046381,0.82071745,-0.043688398
Tmem141,-0.020492662,-0.5023025,0.6228702,-0.41256475,0.54184353
Bmyc,1.2600263,-0.88575226,-1.3609776,-0.96222574,1.4800586
Camsap1,-0.02491283,0.12903745,-0.22245145,-0.14853367,0.33909687
Nacc2,0.64483434,-0.640463,-0.6479741,-0.67179465,0.3507214
Gpsm1,-0.3227108,0.09364705,0.16355446,-0.26875266,0.28887105
Card9,0.35586292,-0.48737806,-0.25775152,-0.5366702,0.069859795
Inpp5e,-0.33429438,0.35110652,0.48469386,0.40487307,-0.08349233
Sec16a,-0.34612656,0.4683882,-0.030992892,-0.6672112,0.29648024
Notch1,-0.08314866,-0.0863921,-0.8090895,0.6813671,0.6343107
