gene_name,P9,P3,P10,P0,P5,P6,P2,P7,P8,P1,P4
Khdc1a,-0.06455324,-0.029904643,-0.058895342,-0.06869227,-0.040748253,-0.03929803,-0.0064211483,-0.048415367,-0.0596238,-0.0658158,0.030197259
Ogfrl1,-0.0031158149,-0.029480873,-0.16984117,-0.03824918,0.13445774,0.09170944,0.0035035443,-0.07426258,-0.07317302,-0.11473235,0.118546404
B3gat2,0.0076584895,-0.0105055785,0.015926862,-0.06445664,-0.015499306,0.004289095,-0.025854575,0.07094622,-0.07034439,-0.11933489,0.056560114
Lmbrd1,0.01786445,-0.022800578,0.055180855,-0.15886083,-0.050752584,0.035306837,-0.06876978,0.13514172,0.38184482,-0.24401908,0.0036395048
Phf3,0.1034763,-0.102592066,0.057715252,0.040721484,-0.0881363,-0.21917364,0.08000336,0.035942655,0.056103736,0.23774508,0.11911249
Ptp4a1-1,0.016685802,0.014423582,0.0040550474,-0.05228244,-0.03637222,0.041299038,-0.040031876,0.015615813,0.023584975,0.07072297,0.01136893
Zfp451,-0.08373169,-0.020843694,-0.04040816,0.1486562,0.03511844,-0.049747985,0.042465232,0.07804191,0.15918472,0.14172877,0.01562767
Bend6,-0.047354486,-0.035933137,-0.04614287,-0.055592068,-0.02853989,-0.0057250354,0.026250316,0.020712681,-0.038485616,-0.004730013,0.010895356
Ptpn18,0.53308415,-0.12527192,0.31924722,-0.116874926,-0.59921855,-0.32207182,0.081714265,0.033679157,0.564975,0.09509615,0.61508644
Arhgef4,0.0025190196,-0.07830139,0.13770565,0.043556232,-0.08349394,-0.04452898,0.018874586,0.019962499,-0.0036094044,0.0048919334,0.065454446
Hs6st1,-0.00041793528,-0.0894479,-0.14043644,0.26432803,-0.011033747,-0.08997732,0.137527,0.056198582,-0.117428645,0.22345896,0.026624488
Neurl3,0.20082888,-0.123733185,-0.26685324,0.17359412,-0.22554992,-0.2213845,0.024854535,-0.10336995,-0.12399222,0.58992696,0.31084245
Arid5a,0.14143358,-0.012729342,0.0478679,-0.18884034,-0.21585189,-0.20625588,-0.020764878,0.13277113,-0.28627053,0.5873405,0.22086592
Kansl3,-0.011184266,-0.0369907,0.12049491,-0.058552876,0.015935319,-0.09892827,0.07688577,0.080488175,0.014652757,0.00502724,-0.0022008053
Cnnm3,0.028541617,-0.1465783,0.03510803,0.11978213,0.04152098,-0.074673325,0.104096025,-0.04145061,0.12648258,-0.036780033,-0.0613018
Ankrd23,-0.03297259,-0.040896762,-0.055727582,-0.019546844,-0.0058551463,0.0010349851,0.00067608093,0.002037003,-0.03590239,-0.05356085,0.009707393
Vwa3b,-0.075609095,-0.02243622,-0.09929402,0.06965123,-0.016979491,-0.05793632,-0.0028125388,0.0028769365,-0.062895596,0.056889348,0.019617107
Inpp4a,0.015150316,0.14268592,0.147523,-0.18324526,-0.1624085,-0.011599068,-0.114434674,0.030103795,0.040532578,-0.27314046,0.12439016
Mgat4a,-0.009797102,-0.053516485,-0.10776712,0.2749459,-0.0775878,-0.08397919,0.09304491,-0.18221548,-0.18935911,0.30420512,0.12447647
Tsga10,-0.02458915,0.015407085,0.16388837,-0.10391814,-0.06866904,0.045130115,-0.0030972983,-0.025075812,0.08066663,-0.117792375,0.07291314
Mitd1,-0.043095693,0.03778271,-0.338679,0.018043946,-0.013105367,0.19025512,-0.095525615,0.25681415,0.30261192,-0.12790695,-0.04853769
Aff3,-0.16853058,-0.026482806,-0.33478615,0.47070798,-0.18314959,-0.24950185,-0.014388173,0.8620811,-0.29017076,0.25625297,0.09736863
Chst10,-0.006293978,-0.010486402,-0.001532532,0.11627516,-0.020475844,-0.03700368,-0.0385831,-0.070671566,-0.1377671,0.109870784,0.019125918
Rnf149,-0.038419522,-0.15116039,-0.04179379,0.019142615,0.0144883655,0.012178715,0.11008631,0.011416455,0.07613401,0.072852366,-0.05246552
Map4k4,-0.023066653,0.037983444,-0.2093366,0.28862154,-0.276624,-0.24424823,-0.15428229,0.6698648,-0.34859627,0.6447037,0.29155585
Il1r2,-0.0032358514,-0.07219815,-0.03738785,-0.049526844,0.0033313944,-0.01493251,0.05791712,0.06308384,0.058023386,-0.025791407,0.025976673
Il1rl1,-0.17099518,0.099707134,-0.11791543,-0.24195135,0.01853312,-0.020988265,-0.11380906,0.7331526,1.0314128,-0.24151728,-0.058038127
Il18r1,0.79586816,0.17537148,0.2796203,-1.0560297,-0.26594368,-0.014659179,-0.045536738,0.17888068,0.955409,-0.74752617,0.21434517
Il18rap,0.43044707,0.10972275,1.5514048,-1.1061157,-0.2726391,-0.23067532,-0.01969437,-0.24072886,0.5211308,-0.9036173,0.29911757
Mfsd9,-0.031737655,-0.022280753,-0.05695546,-0.00021852145,-0.022622678,-0.01994349,-0.024463654,-0.005886786,0.0046898844,-0.0057337303,0.008200777
Tgfbrap1,0.011292921,-0.046353023,0.087306805,-0.034506924,0.019476349,-0.06573516,-0.02797431,0.08992265,0.17227454,-0.07855588,0.09546275
Nck2,0.114410445,0.02381268,0.16681299,-0.03654171,-0.010920579,-0.042325538,-0.009316938,-0.2097167,0.058379304,-0.18643968,0.059499726
Gm8251,-0.09998808,-0.085069925,-0.04061201,0.19461557,-0.045099642,0.17045876,0.027343884,-0.093980454,-0.06657064,-0.019486042,-0.045271512
Ercc5,0.028216433,0.024088046,0.0034629437,0.11535675,-0.11645371,-0.07369126,-0.01619403,0.11666361,0.12889774,0.04350348,0.02889225
Slc40a1,-0.020520488,-0.0016457065,-0.044726864,-0.05415819,-0.0050649843,-0.01442161,-0.004962596,-0.034852322,0.031266678,-0.06349268,0.060747232
Nabp1,0.17263465,0.2928212,0.008796734,-0.51749694,-0.10696273,0.072277434,-0.17923331,-0.17689477,0.37415624,-0.12673865,0.27855185
Stat4,0.32390028,0.037414975,0.22753386,-0.4402676,-0.11221009,-0.021044958,-0.20903902,0.26204452,-0.022749735,-0.2980146,0.15623584
Stat1,-0.020703904,0.06430258,-0.5050515,0.5435506,-0.26381254,-0.2025355,-0.085421026,0.19332035,0.2909689,0.6424651,0.20472124
Mfsd6,0.08887668,-0.036292367,-0.15726705,-0.029645354,-0.13195552,-0.089376755,0.0015212642,0.0931368,-0.07381408,0.335935,0.13397849
Inpp1,0.2502354,0.12756644,-0.119502276,-0.21870895,-0.1956107,0.082596146,-0.123849176,0.07743161,0.23893543,-0.16648012,0.12722029
1700019D03Rik,-0.027428592,-0.02879307,-0.096058235,0.0068999818,-0.06057567,-0.092027776,-0.008517991,0.48669228,-0.061651345,-0.029593704,0.062347244
Stk17b,0.38671336,0.1805264,0.036169317,-0.400867,-0.31869835,-0.25500482,-0.29418373,-0.073523164,-0.14141218,0.4067329,0.5054807
Pgap1,0.101885475,-0.011498913,-0.12229846,-0.014207551,-0.06400716,0.007846213,-0.03194362,0.18807949,-0.08663256,-0.07524731,0.051705424
Ankrd44,0.28573775,0.3034351,0.3656524,-0.1907487,-0.18345797,-0.3448781,-0.173758,-0.26885816,0.012895226,-0.17959833,0.41703257
Coq10b,0.14013821,0.07504743,0.041536912,-0.39120182,-0.07863499,-0.11581778,-0.083868906,0.24669342,-0.09145979,0.20790826,0.06196949
Hspd1,-0.26646578,-0.40820238,-0.21917441,-0.0033757163,0.46611434,0.36905715,0.46347383,-0.0028152445,-0.1758272,0.11604552,-0.8463533
Hspe1,-0.14215548,-0.5351938,-0.3401873,0.5067445,0.21986237,-0.112752646,0.49646947,0.21164022,-0.48266613,0.64522254,-0.5751067
Kctd18,0.053853378,0.073649436,0.01667413,-0.05289764,-0.069869936,-0.035428196,-0.10872229,0.05365508,0.07648119,-0.19370288,0.045258045
Sgo2a,-0.23339207,1.376645,-0.15080626,-0.15449804,0.1370324,-0.27190128,-0.51166004,-0.4207569,-0.2824117,-0.19824876,-0.03729418
Clk1,0.34423214,0.0075121946,0.059778612,-0.48563722,-0.26951608,-0.2547669,-0.09296303,0.19429052,-0.36976057,0.59592795,0.39583158
Fam126b,-0.039619848,-0.013548342,-0.023367912,0.18943703,-0.03010615,0.0014314867,0.053325135,-0.063440554,0.1972625,-0.021739755,0.08398758
Cflar,0.20545591,-0.0047771065,-0.047353845,0.05986163,-0.11764616,0.04542445,-0.059591215,-0.053932156,0.19370054,-0.2302009,0.121920615
Trak2,0.07722609,0.07136312,0.018312922,-0.042917863,-0.023296414,-0.03231163,-0.036440972,-0.093000375,-0.10010592,0.030313998,0.059190195
Stradb,-0.04889201,-0.014065809,0.02404262,-0.00837864,-0.03717712,0.017334262,0.04707649,-0.04760737,0.06575582,-0.025073318,0.081860304
Nop58,-0.21015465,-0.20440376,-0.37231153,0.20718287,0.38275582,0.19091716,0.23511186,0.01699595,-0.081773825,0.15296473,-0.6173542
Bmpr2,-0.017596208,-0.0023455487,0.046112888,-0.07795325,-0.030671692,-0.039190583,-0.0024636905,0.005327809,0.0153227635,-0.008856824,0.10430447
Ica1l,-0.059938002,0.008208786,-0.05966164,-0.058757275,-0.010246562,-0.03609827,-0.027178273,0.20675679,0.00021864452,-0.06884964,0.009949391
Carf,-0.021522557,0.0890537,-0.034459982,0.14604737,-0.05739624,-0.031767324,0.0108890245,0.087802395,-0.0666006,0.012895369,0.02823641
Nbeal1,-0.035802588,-0.028492127,0.016264275,0.2420018,-0.12592754,-0.15761966,0.04751368,-0.013692394,0.034217365,0.059850853,0.1649234
Raph1,0.1540666,0.1609318,0.0060021784,-0.33647752,0.055389646,0.096492946,-0.0010350678,-0.020570977,0.40408126,-0.40130535,-0.050185565
Cd28,0.72812855,0.26452124,-0.24018526,-1.2848525,0.095630914,0.010896605,-0.34030667,0.35258943,-0.3331007,-0.111309364,0.12435032
Ctla4,0.3419214,0.23364654,-0.6604005,-0.83380044,0.21959256,0.24330625,-0.42449728,0.8678116,0.2487982,-0.5342842,-0.17706943
Icos,0.4815579,0.15744232,-0.26879302,-0.8472219,-0.04596353,0.21141995,-0.28595015,0.75367707,0.3102241,-0.55976766,-0.09313036
Nrp2,-0.012850705,-0.03381729,-0.06988964,-0.022371301,0.0008936897,-0.073614456,0.040373787,-0.077586465,-0.04482518,-0.006788481,0.027618906
Ino80d,0.0075525474,0.026148995,0.0064818226,0.096203804,-0.13129841,-0.05067989,0.024786675,0.015909791,0.108554594,-0.03349678,0.07826022
Eef1b2,-0.46471897,-0.40787938,-0.6331755,1.2258186,-0.07704937,-0.3748186,0.34131497,0.5888953,-0.2053592,1.4855953,-0.18030165
Klf7,0.045390565,-0.08262519,-0.067705475,0.33144647,-0.15435661,-0.19351977,0.08276453,-0.029346658,-0.028508028,0.24308208,0.1887314
Creb1,0.056393374,0.2098276,-0.122365996,0.08343375,-0.04392444,-0.05379452,-0.08126837,0.009962601,0.11810655,-0.12220402,0.090983465
Plekhm3,0.04060466,-0.021771083,0.11690943,-0.015002381,-0.08013239,-0.1243579,0.028592864,-0.029601201,-0.045527086,-0.068784386,0.08225964
Pikfyve,-0.014920623,-0.11847716,-0.057976417,0.1346666,0.004498694,-0.06549238,0.02879273,0.049957737,0.014131332,0.09986339,0.11071962
Kansl1l,-0.03830899,0.12500916,-0.00075679104,0.17917304,-0.06392933,-0.0759619,-0.03323578,-0.02855905,0.0063677733,-0.04381086,0.07812165
Ikzf2,-0.2792913,0.10063898,-0.35423887,0.13076319,-0.07306719,-0.08070696,-0.12633301,0.81654745,-0.07231852,0.062761344,-0.033775773
Fn1,-0.045619227,-0.011928769,-0.055560898,-0.02188969,-0.024160393,-0.03548989,0.06786576,-0.009223522,-0.052516468,-0.02433031,0.0014459017
Rpl37a,-0.03458072,-0.65855205,-0.033471584,1.2802526,-0.47000661,-0.68946517,0.43959638,0.33482248,-0.36597463,1.4650215,0.3332955
Cxcr2,-0.036163475,-0.0115628075,-0.051163383,-0.061654642,-0.027685797,-0.026736634,0.039381128,-0.04687946,-0.015816445,-0.03139891,-0.021420436
Slc11a1,-0.0498019,-0.04487711,-0.044995386,-0.05592518,-0.026728533,0.01686123,0.022422427,-0.020729281,-0.03826961,-0.057528824,0.016040044
Ttll4,-0.0010844051,-0.087581515,0.021088252,0.10530389,-0.02992916,-0.08390214,0.05204719,-0.08892172,0.08381027,0.21649285,-0.0004052654
Cnppd1,0.060109958,0.02593738,0.057555962,-0.12180452,-0.1440208,0.0046435366,-0.08515177,0.025464324,0.10582466,-0.006832344,0.145891
Atg9a,0.057551797,-0.06775413,0.07777322,0.011312992,-0.02428776,-0.083485074,0.019984795,0.054263595,0.033070024,-0.065378316,0.019300826
Ankzf1,-0.06721396,-0.052195325,-0.00089342333,0.022511624,-0.13193436,-0.08080842,0.037659515,0.013839149,0.105662756,0.1843928,0.08218622
Dnajb2,-0.100544065,-0.081400834,-0.07924086,0.24206138,-0.07929366,-0.0644464,0.06456591,0.088368826,-0.105291165,0.38915905,0.1139793
Mogat1,-0.039543044,-0.022910303,-0.08412541,-0.037941106,-0.02576226,-0.023240015,0.016262935,-0.02367646,-0.038658712,0.06028664,0.008517178
Acsl3,-0.085305855,-0.06669267,-0.09178736,0.23239994,-0.011668323,-0.08484603,0.09323683,-0.045771323,-0.08269539,0.16065112,0.0011243096
Utp14b,-0.12551026,-0.04884694,-0.15067801,0.3291654,-0.05156784,-0.0841095,0.043556485,0.020278089,-0.128704,0.3625069,-0.03387869
Wdfy1,0.2765106,-0.05644047,0.0198476,-0.20391482,-0.06838782,-0.12187629,0.040665537,0.086368345,0.253746,-0.20921782,0.14008811
Serpine2,0.017069709,-0.06609016,-0.05467692,-0.027794775,-0.027159657,-0.007277629,0.07585614,-0.005113654,0.24348624,-0.06858234,-0.15949394
Fam124b,-0.04143056,-0.02485763,0.01725399,-0.01955271,-0.04103953,-0.053156115,-0.0053764,0.0012759939,-0.039794933,-0.06373313,0.026959602
Dock10,0.2720335,0.09885505,-0.06386569,0.12737979,-0.08936695,-0.29079777,-0.13636963,-0.056251068,0.031734284,-0.02080955,0.26328334
Rhbdd1,0.0016798201,-0.042229377,-0.013437805,-0.022300232,-0.051602937,0.052929,0.008633102,0.03686907,-0.034924794,0.02356248,0.054884285
Col4a4,-0.047933035,-0.005275845,-0.053491633,-0.016566534,-0.033994537,-0.03864026,0.0020335466,0.027486024,-0.016368931,-0.061465308,0.046418708
A030005L19Rik,-0.011225846,0.0063865925,-0.018600065,-0.04606535,-0.038220856,-0.05814201,0.00973786,-0.027393155,-0.027543766,0.053448617,0.017506562
C130026I21Rik,-0.06907667,-0.033809673,-0.054802265,0.04065063,-0.07049545,-0.06741933,0.010931317,-0.061236575,-0.010161656,-0.062380623,0.056162335
A530032D15Rik,-0.045144424,-0.047243696,-0.06227719,-0.032021172,-0.05023393,-0.011792597,0.028367057,-0.04432621,-0.07446102,-0.049908023,0.050939485
AC147806.2,-0.054582912,-0.008267112,-0.035227366,-0.04298216,-0.042530615,-0.022630436,0.026736667,0.027831728,-0.06547397,-0.042857166,0.013270374
G530012D18Rik,-0.013003714,-0.013406783,-0.04522506,-0.042619202,-0.036617614,-0.040500887,0.002681051,0.003411269,0.00088905526,-0.024288286,0.011055298
Sp110,0.4285928,0.08978818,0.16495569,-0.039752968,-0.20033862,-0.42580733,-0.08214421,0.185156,0.007396633,-0.20610422,0.28094465
Sp140,0.10474965,0.05046581,-0.0046829167,-0.13677515,-0.17885073,-0.008948172,-0.18444127,0.018147824,-0.04042073,0.11555598,0.1526602
Sp100,0.60735,0.2572452,0.6232234,-0.48857298,-0.36069435,-0.27051228,-0.2744795,-0.076326884,0.080906115,-0.6221793,0.5515334
A630001G21Rik,0.11724855,0.040348094,0.031199973,-0.2944206,-0.06399239,-0.055237453,-0.08630513,0.3144103,0.40104878,-0.30946022,0.04897897
Itm2c,0.10936484,0.003729181,-0.002305237,-0.16865247,-0.13711669,-0.0018185894,-0.0027973505,0.38443047,0.5443004,-0.27608287,0.05065572
Gpr55,0.17102018,0.08614682,-0.081671566,-0.32015955,-0.03142557,0.046884157,-0.11875417,0.13822195,0.45039073,-0.2572143,0.06627981
Armc9,-0.06308602,-0.029639093,-0.081204444,0.15894188,-0.06214254,-0.08038578,0.023803852,0.029778205,0.035909876,0.09822193,0.016432317
Ncl,-0.07734842,-0.26217663,-0.15491703,0.100455254,0.2636799,-0.075498104,0.48499227,-0.029351158,-0.2531781,0.5694541,-0.5589755
Ptma,-0.7066034,0.65164566,-0.916944,-0.23253392,0.98789144,0.75255007,-0.263387,-0.5889117,-0.20863308,-0.15353726,-0.79876125
Dis3l2,0.017574841,-0.040158957,-0.057535082,0.091382615,-0.015510296,-0.10170195,0.0031840096,0.07686929,0.1564842,0.18314166,0.10938287
Gigyf2,0.023609607,0.036900096,-0.06346298,0.1460192,-0.11227782,-0.122799926,-0.052772906,0.1407246,0.09936697,0.01513307,0.1103844
Kcnj13,-0.020308156,0.010121423,-0.057873107,-0.044129364,-0.027359398,-0.042484585,-0.020579698,-0.012890853,-0.012436853,-0.05608384,-0.011150695
Inpp5d,0.23989092,0.05375483,0.069547266,-0.2651981,-0.1622932,-0.027831307,-0.036802985,-0.04179264,0.048116963,-0.22482488,0.14647815
Atg16l1,0.09422266,0.073169336,0.031599145,-0.11453635,-0.039344653,-0.049081054,-0.039762568,-0.002233139,0.006668051,-0.008628433,0.052509505
Sag,-0.046335332,-0.0015879563,-0.041137405,0.19769295,-0.06586892,0.0072029186,0.037997928,-0.011957865,-0.022363175,-0.024580514,0.082391076
Dgkd,0.09212407,0.04510674,-0.04170589,0.043993413,-0.047804587,-0.12851574,-0.0066700527,-0.05503037,0.22485356,-0.035089996,0.15323842
Usp40,-0.04727042,-0.043570247,-0.01535726,0.34630603,-0.11191467,-0.10347591,0.030468928,0.09442086,0.093855575,0.06628608,0.049967352
Hjurp,-0.254865,0.95076585,-0.21965088,-0.19613412,0.45464462,-0.16089985,-0.36357695,-0.26720202,-0.18477212,-0.10471543,-0.20501597
Glrp1,-0.04100501,-0.028440582,-0.047678538,0.008756802,-0.0238796,-0.022109425,0.0051170248,-0.00027954127,-0.03482505,0.0022742886,0.025235979
Arl4c,0.1378247,0.041379724,0.27986255,0.9570016,-0.32364678,-0.34381375,-0.059735417,-0.7472405,-0.86331797,0.39631814,0.5396536
Ramp1,-0.37301412,-0.1604748,-0.421043,1.8207005,-0.19882403,-0.23853467,0.12442048,-0.25041646,-0.3466577,0.62678945,0.1786764
Per2,-0.062298276,-0.06297576,-0.048946947,0.029329602,-0.0035255307,-0.053765625,0.010906086,-0.0067919977,-0.019725472,0.05893817,-0.06546724
Traf3ip1,0.010049579,0.03491115,0.30303305,-0.158381,0.005459515,-0.058166716,0.014703949,-0.050337907,-0.00073647714,-0.1587172,-0.04483766
Hdac4,-0.051126678,-0.010432412,-0.21330102,0.49423605,-0.11026241,-0.22430114,0.02852779,-0.038209666,-0.10897942,0.4156174,0.11855883
Rnpepl1,0.025009109,-0.044683855,0.042564895,0.050925117,-0.055855617,-0.11048656,0.048998263,0.06534903,0.08180271,-0.0060207006,0.057117674
Gpr35,-0.041047405,-0.03169564,-0.042612787,-0.04237716,-0.021107947,-0.010322333,0.046318784,-0.035862766,-0.039463717,-0.04145303,0.063315056
Farp2,-0.015379533,-0.0193635,-0.0522867,-0.01658787,-0.050512277,-0.025424523,-0.014298767,0.005200206,-0.020219289,-0.052435912,0.040141724
D2hgdh,-0.017444806,-0.026258498,-0.020160437,0.07547565,0.008738761,0.023753572,-0.015904665,0.11150031,-0.014536486,-0.014416135,0.0398081
Pdcd1,-0.25528398,0.19063203,-0.29435584,-0.39588267,0.2635447,0.15786485,-0.1872468,0.6429768,1.217987,-0.41580492,-0.26053584
Fam174a,0.017453264,-0.103174284,0.09904909,0.03027777,-0.07597517,-0.06257654,0.045706086,0.14222002,0.31558815,-0.0688105,0.07588063
St8sia4,0.16754095,0.13547483,-0.0115428325,0.053953275,-0.12029169,-0.0818521,-0.0038513902,-0.11205385,-0.246568,-0.114643455,0.18193199
D1Ertd622e,0.047276307,0.00936324,0.30224305,-0.3727582,0.23940629,0.11273363,-0.07472839,-0.3973781,-0.10319011,-0.31709224,-0.11609927
Pam,-0.05418594,-0.047137473,-0.06184532,0.14540789,-0.032198433,-0.070944004,0.038557496,-0.08523232,-0.047878914,0.10684898,0.019038163
Relch,0.14003688,-0.013114336,0.036913432,0.015318624,-0.1347992,-0.018700829,-0.0015480346,0.07525438,0.0817462,-0.10401752,0.10653104
Zcchc2,0.07277668,0.0059881676,-0.021162784,-0.051550835,-0.0740249,-0.1190647,-0.0032457775,0.27198446,0.061580516,0.14789766,0.06917111
Bcl2,-0.16810039,-0.12458256,-0.6063252,0.33332044,-0.2535467,-0.29920322,0.061283875,0.7163479,0.38631412,1.0544925,0.26962906
Kdsr,0.01762772,-0.08925655,-0.08788705,0.11498478,-0.04459744,-0.16854627,0.051620595,0.14482696,0.08150827,0.25944445,0.08271745
Dsel,-0.03460919,-0.032286093,-0.053233784,-0.040225677,-0.0056445957,-0.021022158,0.020780902,0.013592917,-0.0023976387,0.035567556,0.017202923
Tmem185b,0.020248951,-0.026950292,-0.06601765,0.01771386,-0.0051284716,-0.01304569,-0.009189957,0.042959712,0.044742662,0.20391993,0.12469161
Ptpn4,0.2607876,0.031327147,0.39535576,-0.36506975,-0.09935675,0.017755175,-0.015284036,-0.22941878,0.21824306,-0.3998385,0.15070978
Sctr,-0.013412416,-0.032269344,-0.046727125,-0.033738542,-0.025184592,0.0010177231,-0.0075801853,-0.031649254,-0.0375461,-0.06500362,0.028505448
Tmem37,-0.017998584,-0.026838878,0.28172484,-0.25717515,-0.016334923,0.18349212,-0.06822245,-0.23982057,-0.025247969,-0.1341732,0.059088442
Dbi,-0.39105576,0.4524305,-0.40960404,-0.5841975,0.6563702,0.7159248,-0.5302722,0.1010618,-0.002141196,-0.82486916,-0.43772668
Insig2,0.04625624,-0.0008588549,-0.055055607,0.010339738,-0.09004093,0.103138305,0.016088886,0.0076495386,0.104315,-0.13390203,0.0482518
Ccdc93,0.028060807,-0.03746766,0.075779684,-0.083915435,0.009346061,-0.028192524,0.011494011,0.06972465,0.03525938,-0.025865827,0.07496254
Mgat5,-0.09408886,-0.012061941,-0.082680896,0.1810935,-0.074088104,-0.15994312,-0.019405497,0.35624376,-0.15910465,0.17326997,0.099268205
Tmem163,0.029815447,0.2198045,0.26758397,-0.52634335,0.10771047,0.011549963,-0.085145876,-0.35023513,1.0591792,-0.45743677,0.00046270338
Ccnt2,0.048826672,-0.00044135348,0.015970968,0.08646252,-0.052736193,0.006997295,-0.017380817,0.014694975,0.040387113,-0.09763126,0.040323716
Rab3gap1,-0.01848891,0.032221913,-0.18287472,0.238464,-0.083129324,-0.023583854,-0.035538558,0.08943757,0.07295219,0.119498834,0.12576656
R3hdm1,-0.07744782,0.17272969,-0.23301424,0.23573786,0.078255236,-0.16916387,-0.06617089,0.016776375,-0.015221225,0.059676252,0.006454273
Mcm6,-0.24926293,-0.063803785,-0.2493501,-0.5408264,0.9937813,0.34332338,-0.20245461,-0.13135049,0.50664043,-0.59800255,-0.61769205
Cxcr4,-0.20239109,0.21927011,-0.21783063,-0.22825126,-0.048417162,-0.21555549,0.05237237,0.38925257,-0.06586631,0.77934366,-0.115262255
Cd55,0.057657648,-0.057187818,-0.39181507,0.34280813,-0.10310019,-0.008327029,-0.033993326,-0.14208052,-0.16394725,0.4566703,0.15131086
Pfkfb2,-0.01624746,0.0071578445,-0.06392057,-0.028758232,-0.037067775,-0.011118848,-0.004374665,-0.034783073,-0.011937932,0.0073287915,-0.0095776925
Yod1,0.0013843937,0.02814929,-0.011925326,-0.07363025,-0.05110735,0.1264031,-0.03086761,0.020620571,-0.12756856,-0.01463731,0.032304723
Fcmr,-0.10717732,-0.028513338,-0.117388815,-0.11585173,-0.05406431,-0.06607038,0.019255958,-0.060457684,-0.08504023,-0.10982334,0.04286015
Il10,0.021465253,0.0044833496,-0.08371357,-0.09503907,-0.0270312,0.04750984,-0.06620106,-0.10618148,-0.06918194,-0.09803091,0.0076007657
Ikbke,-0.025981564,-0.11648096,-0.20793773,0.49095514,-0.169985,-0.12327297,0.03474685,0.2743272,-0.033467375,0.37528986,0.12826318
Ctse,0.08312177,-0.002756576,-0.02544333,0.085461415,-0.06104002,-0.010604666,0.028255269,0.0032580255,-0.017525595,-0.06498523,0.0004435451
Slc41a1,-0.03194436,-0.028305454,0.024222355,-0.0018720294,-0.080398835,-0.03461172,0.03257639,0.24062479,0.13554865,0.08759059,0.048132896
Nucks1,-0.4961138,0.78608066,-0.48803854,-0.09803364,0.36632246,0.662848,-0.23644982,-0.35641184,-0.38448903,-0.29856274,-0.4983981
Elk4,-0.020201227,-0.032414105,-0.08739411,0.18663198,-0.16256902,-0.11643019,-0.01235499,0.28664818,0.0052541886,0.18066342,0.12223487
Mfsd4a,-0.043050516,0.043871738,-0.027146168,0.19792311,-0.072876774,-0.02870378,-0.004104364,0.15467961,-0.022438316,0.09947976,0.04364626
Nuak2,-0.09284938,-0.033661656,-0.10046389,0.07983888,-0.031941026,-0.03160834,0.08458166,-0.060790557,-0.08514582,-0.004133136,0.054267228
Dstyk,-0.076384105,-0.0741427,-0.086227916,0.33106688,-0.080546245,-0.09847691,0.053390823,-0.06476158,-0.01932521,-0.014685493,0.09571968
Tmem81,-0.002443721,0.027753543,-0.068378195,0.057210077,-0.011197897,-0.019216312,-0.051529597,0.002737384,-0.02384475,-0.062193908,0.020125967
Mdm4,0.090650044,0.1000019,0.030351589,0.13163546,-0.16142033,-0.21782817,-0.018328393,-0.052254286,0.080953464,0.21078314,0.16020007
Pik3c2b,-0.033664733,0.07973597,0.02537986,-0.052738238,-0.08811829,0.036154773,-0.029952783,-0.10109189,-0.003479138,-0.104109675,0.068454474
Plekha6,-0.05476193,-0.043816682,0.05145713,0.120252065,-0.06373829,-0.08126739,0.04131951,-0.08242502,-0.12478456,0.09049877,0.11949478
