gene_name,0_A,0_C,0_N,10_A,10_C,1_A,1_C,2_A,2_C,2_N,3_A,3_C,3_N,4_A,4_C,5_A,5_C,6_A,6_C,6_N,7_A,7_C,8_A,8_C,9_A,9_N
Lmbrd1,0.028575953,0.045623165,-0.40737727,-0.2806988,-0.18206805,-0.24437644,-0.2048417,0.37093958,1.3158289,-0.38612095,-1.043539,-0.3341759,-0.47582754,0.0937502,-0.3610131,0.22370695,0.7721398,-0.33458197,-0.15570606,-1.2452558,0.32915753,0.6003699,0.12717348,1.7868471,-0.7719716,-0.6091021
Phf3,0.58828694,1.0717224,-0.9723699,0.41725928,0.63167834,-0.74513775,-0.47023493,0.37554222,0.49432534,1.8026546,1.7162813,-1.0644915,0.11748129,-0.56391335,0.1444432,-0.9711195,-1.5272479,0.8385511,-0.22340684,1.2781315,-0.19537595,0.12597755,1.0590266,0.1299481,0.90095407,-0.5305346
Ptp4a1-1,0.040795278,-0.7226714,-0.18875806,-0.22013465,-0.18679912,-0.041099705,-0.05069116,0.11900757,-0.09906368,-0.12906782,-0.35042658,-0.051396944,-0.14618401,0.12768652,-0.18731628,0.75164366,0.09927294,-0.19719751,0.1776249,-0.45974717,0.044127807,-0.051379763,0.6624997,-0.014188793,0.31519607,-0.22874554
Zfp451,-0.6650752,0.054699246,-0.42634478,-0.21961382,-0.048944686,-0.5250199,0.09461523,-0.10268016,-0.57756346,-0.4083319,0.22276036,-0.3619173,0.49344215,0.101940475,1.0030069,-0.21306464,0.058056217,0.5215626,0.4446446,-0.23203531,-1.0892383,0.5851976,-0.4404095,0.70661366,0.56945544,-0.6554841
Bend6,-0.4076239,-0.35285282,-0.12036913,-0.16424578,-0.4413577,-0.2173957,-0.3579295,-0.13939427,0.038258787,-0.04867666,-0.12884326,0.03779229,-0.16167925,0.06988397,0.03549509,0.021579755,0.41517532,0.454306,-0.08436034,-0.21065031,0.08093761,-0.029282745,-0.17778818,-0.2856875,0.050828326,-0.10671694
Ptpn18,3.4872308,1.8214283,0.44923654,3.7700331,2.609123,-0.84425944,-0.58888775,1.7427528,-1.4025557,-0.2984983,0.44192645,-0.04267485,-0.37091953,-3.3879123,-3.3097568,-2.1104147,-1.5025318,0.8416922,-0.2735811,1.4901483,0.6813613,-0.09012795,1.4478997,2.6381989,0.38910228,0.38666573
Arhgef4,-0.053076427,-0.80645937,-0.23819485,0.15397362,-0.007469327,-0.509474,-0.47266725,0.80370295,-0.18603009,-0.1873446,-0.47297925,-0.11010472,0.16642615,-0.15130103,-0.47450843,-0.43930617,0.46994644,0.37732044,0.19747427,-0.61317086,0.20443569,-0.062313188,-0.5598155,-0.09602358,0.087535314,-0.29290324
Hs6st1,-0.071634136,-0.8618256,-0.22607589,-0.14156896,-0.020949801,-0.63123494,-0.4579305,-0.6191778,-0.16979817,-0.17299084,-0.096640326,-0.09809724,0.87278825,0.22877188,0.049350504,-0.29978153,-0.45405096,1.2438177,0.09259099,2.159209,0.3243617,0.12753297,-0.5626252,-0.6607013,0.8470332,-0.2871232
Neurl3,1.2791935,0.03868016,-0.5705255,1.927578,0.48006257,-0.63840955,-0.7799786,-1.2749733,-0.8251477,1.9429913,-0.16666794,-0.53030086,0.5825568,-0.94091254,-1.4267472,-1.1343937,-1.3248258,0.344151,-0.00020571366,0.5963168,-0.15350765,-0.7200737,0.3692238,-0.73376095,2.1108303,0.2720023
Arid5a,0.8992263,-0.8162519,-0.67087615,1.1153985,0.99337673,-0.0624806,-0.29004347,0.34492725,0.15668382,-0.69631565,0.48790213,-0.6619173,-0.60200256,-1.1107663,-0.98568743,-1.1436366,-1.0713629,-0.015260429,-0.32556516,0.39294913,1.5954609,0.2936361,-0.13929804,-1.5169312,2.0829,1.3513669
Kansl3,-0.19196396,0.83621216,-0.4710584,-0.40721753,0.16682363,-0.7155838,0.13014346,0.7213356,-0.66038316,-0.46098548,0.25782996,-0.4169668,-0.17709865,0.026220871,0.8224719,-0.3209893,-0.5652108,0.69994384,0.42551738,1.2668194,-0.13801505,0.38016224,-0.07821988,-0.026327845,0.07145754,0.65009505
Cnnm3,0.13829449,-1.2682434,-0.2869517,-0.47683564,-1.4794825,-0.77625614,-0.8614901,0.28021178,-0.29721013,-0.24448141,1.4301461,-0.17991395,0.37520942,0.46659628,0.49289304,-0.17195952,-0.3971798,0.92043936,1.0866828,0.5543752,0.42037058,-0.48089272,0.10605559,0.520593,-0.0553075,-0.40586662
Ankrd23,-0.3079319,-0.40112728,-0.1345784,-0.18579748,-0.38827777,-0.34917,-0.27380762,-0.18809141,0.011641356,-0.065405145,-0.16902676,0.020158479,-0.044241928,0.40269125,-0.15984917,0.1064994,0.39890048,0.07465792,0.74409306,-0.2582594,-0.502983,-0.006525436,-0.22120605,-0.27098235,-0.11849723,-0.12832773
Vwa3b,-0.59834814,-0.42091414,-0.14323124,-0.13070801,-0.29788327,-0.13349962,-0.3122287,-0.41073272,-0.0039234683,-0.07560066,1.6217719,0.009722083,0.20848848,0.18497595,0.027555667,-0.11063026,-0.22085354,0.16632047,0.023666352,-0.28585634,-0.006691474,-0.11612047,-0.24367967,-0.40395296,0.26556593,-0.14022835
Inpp4a,-0.020738266,1.1023064,-0.36840606,0.7730571,-0.7161199,0.4901314,0.64966935,0.85718244,-0.46375167,-0.34019127,-0.008340382,-0.28754103,-0.5755449,-0.50336933,-1.148991,0.32253507,-0.11578526,-0.66251945,-0.86600834,-1.1226691,-0.10469269,0.06997646,0.48299536,0.077709086,-0.8740926,-0.5570436
Mgat4a,-0.14759986,-0.4218095,-0.31259632,0.73833305,-0.56480056,-0.039469045,-0.7047139,-0.4500219,-0.34016424,-0.27474037,0.15293889,-0.20935613,0.9025994,0.12118015,-0.837678,-0.19649132,-0.5091351,0.5611512,0.6655456,3.732836,-0.53112763,-1.1062065,-0.8780595,-1.0039325,1.130249,-0.43492678
Tsga10,-0.29155234,1.0346432,-0.1958717,0.06063784,0.63697237,-0.07940435,-0.0029393893,0.9367059,-0.11395483,-0.1374218,-0.3753325,-0.060958777,-0.3126255,-0.3102429,0.030472504,0.5877108,0.39850956,0.1795467,0.051000986,-0.48697275,0.21043484,-0.3340919,-0.47486866,0.31848437,-0.33971924,-0.24262606
Mitd1,-0.43675637,1.7884984,-0.5288862,-0.7554903,0.13189447,-0.28675318,0.4192872,-1.653689,0.486724,2.0661843,-0.4600012,-0.50468117,0.08529406,-0.0803726,0.5356608,1.246785,1.7422565,-0.70329815,-0.16839354,-0.116251506,-0.23176838,1.4604127,0.11604135,1.3941572,-0.36375377,-0.87614787
Aff3,-1.2327952,-0.36338335,-0.32334304,0.44312882,-0.1941555,-0.7589237,0.27438852,-1.6109962,-0.35331154,-0.28748545,1.1053972,-0.21941972,1.5166725,-0.9563998,-0.72041374,-1.4084187,-1.3723171,0.0905652,-0.256921,-0.1602805,4.042326,4.1069393,-0.8678913,-1.5046272,0.9636451,-0.43761456
Chst10,-0.10343395,-1.1351264,-0.27705455,0.036915127,-1.0307982,0.14699084,-0.477994,0.092520475,-0.2720026,-0.23291838,0.34733734,-0.1645065,0.38542697,0.47043598,-0.5082876,0.034136098,-0.09933014,-0.14403936,-0.35876518,0.044582706,-0.37314495,-0.47303125,-0.7597083,-0.75306237,0.45386407,-0.37777546
Rnf149,-0.35477397,0.0023796482,-0.36422825,-0.5977191,-0.6719338,-0.90546525,-0.77627,-0.12491764,1.2532464,-0.3351155,0.7734621,-0.28789234,0.063322246,0.60397565,-0.1717204,0.536179,-0.049312145,1.2420884,0.29146656,-0.71292025,-0.0908282,-0.04541781,0.9221337,0.23529148,0.3286514,-0.5737877
Map4k4,-0.25840777,-0.008704992,0.65699357,1.4636269,1.8295338,-0.08003167,0.21447663,-0.9984235,2.2884274,0.8765142,0.8140175,-1.0279504,0.9370004,-1.5061324,-1.2963114,-1.4717643,-1.196825,-1.1755428,-0.5278488,-0.3857298,4.3049293,2.8922868,-0.8134887,-1.796913,2.2820349,1.3640934
Il1r2,-0.1459358,1.0120751,-0.102212094,-0.60397327,1.9349875,-0.46592188,-0.45761678,-0.09494583,0.061413154,-0.0271559,-0.11070764,0.05523635,-0.14249977,0.065491885,0.5542453,0.26353493,-0.082849614,0.4110881,1.9307388,-0.17333189,0.1629098,0.20616303,-0.18917046,0.19370905,-0.022479616,-0.100334845
Il1rl1,-1.2675369,0.23328555,-0.23919638,-1.3541497,2.3792732,-1.072328,1.7995521,-0.50358105,-0.20743294,-0.18826361,0.8556858,-0.12049931,-0.7833296,-0.60417396,1.9235964,-0.72783804,1.2631209,-1.0891114,1.4055939,-0.6588199,0.0025815957,4.2660365,-0.6831186,5.0453753,-0.7681288,-0.33261043
Il18r1,5.2676034,2.3305945,0.31700522,0.70227796,2.545399,-0.35121152,1.8049417,1.5374022,-1.7289066,0.4748504,-1.5903221,-1.115745,-3.362927,-2.3996825,0.37675503,-0.92067856,1.644038,-0.32881305,0.23052606,0.22547327,0.37044272,0.8534256,-1.1174316,4.687096,-2.542061,0.5431922
Il18rap,2.7981918,1.4044818,0.49545223,1.5188646,1.8420613,0.22563915,0.5976552,8.021022,0.761086,0.6846491,-2.4184527,-0.9211218,-3.509161,-1.4991995,-1.244026,-1.2547799,-1.2971131,-0.022711912,0.5064933,-0.8129926,-1.4467171,-1.2460078,-0.54777676,2.5073464,-3.0662363,-0.49952704
Mfsd9,-0.30064183,-0.36584282,-0.1201854,-0.16557416,-0.52430964,-0.2200339,-0.22419459,-0.19469596,0.037690558,-0.048448194,-0.13111444,0.037592687,0.017432544,0.22907959,-0.13710892,0.25533646,-0.15042426,-0.09912187,0.3260048,-0.21201088,-0.11993483,-0.14257662,-0.18284519,-0.07122008,0.047366455,-0.10822167
Tgfbrap1,-0.04315122,-0.28804836,3.8453717,0.49348742,-0.47217894,-0.22861224,-0.44676858,0.547638,-0.33374852,-0.2657793,-0.730749,-0.20361726,-0.0804795,0.37386858,0.29502943,-0.1278417,-0.3195478,-0.06734141,0.3476019,-0.88585335,-0.101114444,0.42827967,2.0132318,0.664956,-0.19992098,-0.4385003
Nck2,0.7047813,-0.5540212,-0.38960505,0.10776363,-0.005742045,0.32697985,-0.32864183,0.928906,-0.49189004,3.6413836,1.232083,-0.3084254,-0.12582153,0.22962508,0.04973236,0.29484656,-0.5629905,0.3148516,-0.6858464,-1.1686326,-0.88034075,-1.190649,0.49958846,0.16554807,-0.5726072,-0.5666554
Gm8251,-0.7538875,-0.78621215,-0.18498237,-0.4479125,-1.0758779,-0.546437,-0.5006959,-0.10950379,-0.09710894,-0.12455456,-0.35540366,-0.049109995,0.65231866,0.043368936,-0.18564183,1.2545393,1.4169046,0.4068466,-0.20918252,0.5620077,-0.332058,-0.6224596,-0.4634707,-0.41263932,0.0017620448,-0.23301129
Ercc5,0.11363387,-0.47688907,-0.3294631,-0.22162147,0.39594847,-0.0824742,0.08348932,0.1193508,-0.37935883,-0.29449636,0.2731213,-0.23384936,0.38422513,-0.5381798,-0.35315213,-0.4780395,0.06362322,-0.034516986,0.5395129,-0.4258338,0.4695959,0.45699465,0.057484217,0.5346881,0.19076256,1.471474
Slc40a1,-0.22463174,-0.3464671,-0.1194609,0.06928024,0.19984731,-0.06714385,-0.17894968,-0.13217427,0.040181275,-0.047610357,-0.12559833,0.039023064,-0.15711229,0.13643397,0.30030152,0.035304237,0.25723907,0.15328601,-0.06800136,-0.20712821,-0.42667562,-0.2456211,-0.17365111,0.060261182,-0.153425,-0.10490315
Nabp1,1.0529386,0.58097786,1.5460768,1.428424,1.5523239,1.6057721,0.9756072,0.13689226,-0.351275,1.10007,-1.4673748,-0.84823614,-1.6249917,-0.33830443,-0.5367824,0.5625008,0.8658768,-1.5465229,-1.2181301,2.0564315,-1.0904708,-0.9450611,0.96394217,1.7123362,-0.3703458,-0.26912093
Stat4,2.0589268,1.7750779,0.6396338,0.62127066,0.98041254,-0.15148664,0.28047863,1.2527766,1.8765272,-1.0845505,-1.2857813,0.69172496,-1.3852296,-0.8168753,0.18331201,-0.33217248,0.6866883,-1.6276431,-0.9909315,-0.3072984,1.4172227,1.1109155,1.0389788,-0.2604716,-0.9887936,1.0530548
Stat1,-0.20710586,-0.69967914,-1.121861,0.8949913,1.4047978,-0.5355432,0.9227532,-2.490703,-0.38429496,1.04247,2.0852416,0.22240755,1.7308406,-1.7227566,-0.7266945,-1.1934597,-0.9398659,-0.50753397,-0.19569246,-1.0418059,0.4925587,0.91190857,-1.2879506,1.3973862,2.2885969,0.5467957
Mfsd6,0.53551745,-0.7396125,-0.35411516,0.6707178,0.036870502,-0.19228598,-0.38649073,-0.70223176,-0.420279,-0.32358912,0.21026015,-0.26197797,-0.08330783,-0.5734127,-0.5426634,-0.21588567,-0.56655747,0.1702802,-0.4041153,0.788459,0.65934974,0.27191764,-1.0193322,-0.4244305,1.2417101,-0.50264776
Inpp1,1.6143655,0.13837515,-0.6600641,0.3272048,1.28344,0.7989975,0.19559416,-0.5324551,2.8086448,-0.6833294,-0.23245512,-0.6575537,-0.68422455,-0.862595,-1.0779986,0.3969514,1.2703922,-0.9471206,-1.058811,1.1001757,0.515797,0.2107887,3.2242916,0.94312257,-0.548213,1.9961247
1700019D03Rik,-0.2668739,-0.50663453,-0.15451467,0.255095,-0.5420699,-0.44198087,-0.064764045,-0.3938973,-0.028235827,-0.08884228,-0.23314981,-0.005769125,0.042668577,-0.02202442,-0.32405156,-0.37907538,-0.37124136,0.09920594,0.12533332,-0.33054057,0.547857,2.6604292,-0.29771298,-0.39543086,-0.034583785,-0.16359927
Stk17b,2.5293005,0.4804321,0.14223184,2.8009517,3.147692,1.2210281,0.2820757,0.2852422,1.5116539,-2.3076324,-0.26416093,0.93929905,-1.2792385,-1.8708955,-1.3583642,-1.2366072,-1.7095387,-2.1155205,-1.9556823,-1.8824261,-0.098794535,-0.55352294,1.99142,-0.89068896,1.4797767,-0.04781582
Pgap1,0.59760416,0.17173243,-0.30103135,0.189522,-0.61171764,-0.31498936,-0.025699291,-0.524612,-0.31870875,-0.26112226,-0.6964702,-0.19510162,-0.015555519,-0.14251946,-0.17660499,0.37810442,0.111886494,0.08066403,-0.7668281,-0.85613364,0.8972562,0.78696394,-0.84400505,-0.49565712,-0.18878672,-0.4177453
Ankrd44,1.8034583,1.439387,1.1786159,2.4368267,1.7953936,1.9236815,0.75959176,1.9774903,-1.5506107,0.25878617,-1.5267178,-1.5749582,-0.5641779,-0.38686886,-1.6825169,-2.0734744,-1.9180909,-0.9927642,-2.0290008,-1.5014651,0.060544968,-1.763046,1.080683,-0.08540442,-0.55000514,-0.49974978
Coq10b,0.8277179,1.3826936,-0.7529595,0.05757145,0.2901175,0.40280434,0.08750738,0.30549955,1.119073,-0.7924007,-1.357225,-0.7831766,-1.2190497,-0.13023534,-0.43195054,-0.7880032,-0.15384947,-0.5505452,-0.5603862,0.12758638,0.47347364,1.2367487,0.2765628,-0.56830066,0.7617871,1.4909269
Hspd1,-1.8489076,-2.0573957,-0.7464759,-5.64149,-5.2178574,-2.1763508,-1.9735185,-1.019218,0.0133911325,-0.78241295,0.4401134,1.5908548,-0.010592509,3.4351597,2.31644,2.7635522,2.3726993,4.186919,2.8776457,-0.81693435,-0.17071816,-0.11240588,-0.4576481,-0.95505095,0.45678598,0.67859936
Hspe1,-0.9985392,-1.893834,-1.5007126,-3.8878877,-3.7942357,-2.914069,-2.455171,-1.6366093,-0.9355524,0.10035748,1.3840169,-0.17266627,1.6274501,1.9161663,0.9181963,-0.06760864,-1.153103,4.6108685,2.0058486,-0.43825623,1.481698,0.79341424,-0.39180896,-2.4805238,2.296398,0.6483634
Kctd18,0.30732295,-1.1049516,-0.39676046,0.03270513,-0.15323895,0.23498157,0.24191943,0.16268164,-0.51341677,3.4156904,-0.107762136,-0.32111228,-0.15190613,-0.33443147,0.05185577,-0.011789819,-0.007531179,-0.683974,-0.36504483,-1.2102008,0.59894675,0.04883676,-0.25708312,0.28825223,-0.59737974,-0.59342206
Sgo2a,-1.6437705,-1.5149772,-0.16235076,-0.8458497,0.8881022,6.802238,6.1861,-0.6730065,-0.13618131,-0.09682565,-0.24202794,-0.059205506,-0.47885862,1.2886649,0.64378524,-1.5513959,-1.5197136,-4.0873847,-3.3660161,-0.5588035,-2.365861,-2.1145165,-0.89597744,-1.4649043,-0.61731136,-0.3578968
Clk1,2.2075858,1.247372,1.262734,2.2281096,1.9905118,0.021669645,-0.1798319,0.4161451,-0.23110072,-1.7505666,-1.3830732,-0.19062291,-1.5263613,-1.676928,-0.8952267,-1.7369758,-0.9779305,-0.29449913,-1.406279,-1.8215683,1.4336247,0.7003575,-0.6836446,-1.9075776,2.151612,-0.8635074
Fam126b,-0.35622448,-0.24989668,-0.30284896,0.24192531,0.2260537,-0.19959207,-0.16078539,-0.018515551,-0.3272273,-0.26319402,-0.71725196,-0.19975397,0.6434195,-0.030601276,0.17924051,0.018799398,0.532759,0.5200368,0.31925577,1.0035821,-0.54753476,-0.3893369,-0.88104886,0.9147113,-0.002604656,-0.43050948
Cflar,1.2968915,0.5711444,-0.740238,0.6687095,-0.3511587,-0.29388708,0.017742628,-0.13982205,-0.060833365,-0.7775487,0.4074275,-0.7630012,0.20426784,-0.17795108,-0.9776862,0.8531662,0.017049134,-0.44892722,0.2063647,0.12850802,-0.5504286,-0.33158368,-0.46510318,0.8789628,-0.713912,-1.1810303
Trak2,0.44015816,-0.17702153,-0.39923352,0.059024964,0.19248368,0.34263447,0.11230359,0.19700545,-0.5218143,-0.3764801,2.31285,-0.3259459,-0.16794936,0.210128,-0.11606879,0.37893274,-0.5264294,-0.22352868,-0.53569263,1.3144187,0.1972037,-0.738829,0.31758872,-0.6129876,0.18135495,-0.6045454
Stradb,-0.39849308,-0.9990488,-0.23747075,0.3323585,-0.23061146,-0.24286696,-0.12247599,0.22242115,-0.1977455,-0.18631801,-0.51091456,-0.11533253,-0.0007404959,0.21018736,-0.3388819,0.52641344,0.046686426,0.53457576,-0.056124393,0.9006069,-1.0320178,-0.18237042,-0.63809735,0.25158554,-0.016175514,-0.31736356
Nop58,-1.4871465,-1.3196976,-0.5843218,-4.448031,-2.7886949,-1.2227719,-0.97020537,-1.8120909,1.0515097,-0.5928578,0.2666111,1.3221272,0.67487997,2.5120888,2.5302832,1.1957327,1.8270204,1.9418342,2.5373225,0.38875595,-0.52406573,0.088152304,0.17732283,-0.5159244,0.58105844,0.90854174
Bmpr2,-0.22106422,0.23387493,-0.15782976,0.5091617,-0.24837394,0.019223256,-0.2720439,0.33338007,-0.03674797,-0.09271447,-0.24956648,-0.0109621445,-0.2313785,-0.018479427,0.14979452,-0.03005715,-0.040650506,-0.0463361,0.3467465,1.2897605,-0.08727253,-0.08279306,-0.32201895,-0.012409836,0.037651833,-0.173143
Ica1l,-0.49279118,-0.37788987,-0.12191739,-0.27407548,-0.0028401793,-0.09235187,-0.059112236,-0.20849451,0.03403311,-0.050481763,-0.13727576,0.03524971,-0.17173594,0.0070014684,0.43468863,0.09350068,-0.17131709,-0.12215957,0.31311905,-0.21870859,0.81843066,0.917303,-0.19068076,-0.093067035,-0.17192373,-0.11166349
Carf,-0.21692604,-0.82031125,-0.22333477,-0.09895013,-0.15016785,0.13545528,0.48937258,-0.07720518,-0.16250528,-0.16979249,-0.44414368,-0.09368404,0.4972159,-0.19938809,0.025039662,-0.0755192,0.14324959,0.28046158,0.29485166,-0.5727201,0.089260265,0.37157607,-0.5409602,-0.40942103,0.1151015,-0.27873415
Nbeal1,-0.34104192,-0.8537894,2.9936957,0.901826,0.06651155,-0.2657226,-0.23814669,0.18577302,-0.45346722,-0.34614575,-0.7063586,-0.2844778,0.8135343,-0.6325625,-0.34653828,-0.7876375,-0.8175755,0.31486574,-0.0025727772,2.9999762,0.8602489,-0.4158498,0.94262755,0.026400028,0.25207072,1.2153167
Raph1,0.89622766,2.1779127,-0.326719,-0.57027227,-0.7143029,0.009327678,1.305717,0.13244066,-0.39510676,-0.29098755,-0.85561115,-0.24023376,-1.0543401,0.67824477,0.3597162,0.4032695,1.481677,0.039473712,0.63942224,0.09943095,-0.22789195,-0.20579807,1.0858477,1.8555349,-1.3203001,-0.5121117
Cd28,4.8796153,0.23936783,-1.3354225,0.49313077,0.47953755,1.5371772,0.77245855,-1.135294,1.6814207,-1.4769797,-2.3186593,-1.5465299,-4.086568,0.8354675,0.74115103,0.2440532,0.35527173,-2.3382246,-2.882691,-2.471995,2.7956853,1.3361038,0.61452454,-1.7820685,-0.3062885,-0.8637645
Ctla4,2.1624558,2.8404386,-0.6669431,-2.1662602,1.9366014,-0.44759598,2.460918,-3.2678537,-1.0851172,-0.6908297,-1.1554271,-0.687148,-2.65474,-0.22383346,4.510357,-0.34128204,4.893916,-3.5708585,-0.69968385,-1.8947599,3.7016017,4.2200465,2.9870918,1.0023707,-1.7715614,-1.1325854
Icos,3.1156833,2.872137,-0.77229375,-1.2350188,0.7155886,-0.22781764,1.5093739,-1.2823008,1.2020574,-0.8147317,-1.5346738,-0.8223413,-2.6900113,-0.97575533,1.5132402,0.6991552,2.8746197,-2.2384858,-0.3149918,-2.6310718,1.4085978,4.0644836,1.0953711,1.3893781,-1.8775287,-0.14085943
Nrp2,-0.16925086,-0.4439585,-0.14430097,-0.042660356,-0.41117498,-0.11881355,-0.43620226,-0.26029906,-0.0072281472,-0.07684271,-0.19853084,0.0077848895,-0.05273539,0.43510345,-0.10603738,-0.2515988,-0.26453775,0.09617477,-0.08266553,4.6040697,-0.5658546,-0.47003192,-0.2549586,-0.31379294,-0.060691137,5.8406167
Ino80d,-0.037570626,-0.057982817,-0.55455154,0.023864279,0.97009647,-0.052531667,0.07333455,0.11658861,2.1210706,-0.5591607,-0.80008334,-0.52483124,0.34491947,-0.6108981,-0.46912223,-0.17457151,-0.012720429,0.4659569,0.19507603,-0.9240316,-0.46464607,0.06790615,-0.21891089,0.44574988,-0.03581608,-0.8663627
Eef1b2,-3.2190769,-1.5774872,-0.40243638,-1.4145311,-1.3841178,-2.471714,-1.6750298,-3.1370604,-1.1088984,0.5766659,2.9602358,1.7054151,3.9135506,-0.19022107,-0.30569723,-2.194142,-2.2175791,2.802513,2.4539104,2.0212247,2.5133882,2.8200023,-1.8647956,-1.0404545,5.2028794,1.4528501
