gene_name,A5P,A5T,A8P,A8T,C5P,C8P,NP14B
Lax1,-1.186936,-1.0049155,1.0826242,0.2073702,0.21384887,2.5901265,-1.2392339
Atp2b4,0.17344785,-0.21395741,2.031596,1.682313,-0.78535897,1.1830215,-2.064518
Btg2,-0.13502924,0.32981303,1.2935454,3.612722,-1.7032502,-1.2222813,-0.79696953
Chit1,-0.93195885,-1.1299152,0.12707098,0.4410682,0.07460963,3.2971053,-0.62218547
Ppfia4,-0.07899637,0.221579,-0.22498693,-0.31319773,-0.25915343,-0.37166983,-0.14301823
Klhl12,-0.15854183,0.22754957,0.19981374,0.17204817,0.07189991,0.077643596,-0.2511241
Kdm5b,-0.98196197,-0.16791232,0.60148114,0.51939386,-0.610813,-0.7395225,0.9095564
Ppp1r12b,0.48802972,0.4326987,-0.0034113107,0.3812624,-0.59113574,0.23569772,0.30585107
Nav1,-0.21663253,0.3459596,-0.26481313,-0.20177978,-0.15258947,-0.36137468,-0.09044258
Phlda3,0.25441828,0.34765014,-0.44463557,-0.52159595,-0.103226714,0.4339944,-0.3215433
Kif21b,0.6817114,-1.0593995,2.0885262,0.8734217,-0.5968715,-0.41075632,-0.20930971
Camsap2,0.049064375,0.41486973,0.17955902,-0.09847304,-0.75128573,-0.8276012,0.47513756
Zfp281,0.3456746,1.0953606,-1.6092235,-1.8425156,0.16203216,-0.15242605,1.2980862
Ptprc,-3.504557,-0.513679,3.6876397,3.6892557,-0.27743003,-0.47475252,-1.6190495
Atp6v1g3,-0.26996616,-0.01642544,-0.20383613,-0.32861796,0.050290693,-0.3067415,-0.22141965
Dennd1b,-0.6176676,-1.2154094,1.350359,0.93369704,0.5149564,0.5898989,-0.8622663
Aspm,-0.6745586,0.39725295,-0.85564506,-1.290351,2.0436084,0.88457394,-0.6560729
B3galt2,0.10008302,-0.1334492,-0.19130704,-0.4278926,0.13589844,-0.17917827,-0.14478569
Ro60,0.5668055,-0.22046925,-0.09023473,0.16623536,-0.3773666,0.07413797,0.113090985
Rgs2,-0.46256283,1.0309982,0.14344668,1.5173523,0.6088265,-1.8919338,-1.2304369
Rgs1,1.8195281,2.1958401,-0.42086586,0.37812155,-0.47262335,-0.15505397,-2.3800087
Rgs18,-0.032289136,-0.12519847,-0.18299037,-0.2508804,-0.23190191,-0.38748264,-0.090687685
Ptgs2,0.29920086,0.109935634,-0.17871149,-0.27262428,-0.11462382,-0.35661724,-0.10834239
Prg4,0.56907904,0.31228203,-0.32886556,-0.16952255,-0.26746565,-0.26700395,-0.19472672
Swt1,0.30192783,-0.68751115,0.17034325,0.05000812,0.18454576,0.013931127,0.1653043
Trmt1l,-0.031691074,-0.14919141,-0.60159844,-0.36672398,0.15783471,0.9823302,0.5495423
Fam129a,0.73563945,-1.7038875,1.6478451,1.3614501,1.0548599,-0.91609395,-1.4925165
Edem3,1.0954542,0.012643204,0.23008876,0.3235805,-0.41445813,0.032845773,-0.17083861
1700025G04Rik,1.0225188,3.9549794,0.6213576,0.80444336,-1.6694028,-2.6565163,-1.1449018
Rgl1,0.6090501,-0.1338907,-0.30496597,-0.4105546,-0.14143752,-0.40748423,-0.15756609
Ncf2,-0.07190352,0.2734699,-0.66523015,-0.6425345,-0.32623485,-0.26852724,-0.22085783
Nmnat2,-0.32182407,1.7275926,0.027389366,-0.15083571,-0.32323045,-0.25548914,-0.5712578
Rgs16,-2.0536337,-3.4709268,-1.8297635,-1.5934088,6.002029,2.3377295,-1.1180874
Rnasel,0.20164026,-0.8790823,0.46248132,0.5134952,0.14676844,0.46292457,-0.16164048
Teddm2,0.22245926,-0.18533182,-0.12562153,-0.6194383,0.00772069,-0.3218569,0.00026565383
Glul,0.90448636,0.87237257,0.43575603,0.1537635,-0.019718068,-0.6043731,-0.49760398
Ier5,-2.0649042,-1.6863213,2.5173752,4.0111475,0.5448723,-3.4033096,-1.0824676
Mr1,-0.18355218,0.36004728,0.27644265,0.15913981,-0.20251016,-0.015271738,0.27946255
Xpr1,-0.48202497,0.5918688,0.74033767,0.8249741,-0.62435764,-0.75823236,-0.16537791
Cep350,-0.9791689,0.08417719,0.5574132,-0.08350864,0.37773174,0.123539045,-0.06334236
Tor1aip1,-0.62725544,-0.5806383,0.9140656,0.82302445,1.002912,0.10712891,-1.273691
Abl2,0.3300759,0.5915198,-0.14061336,-0.38555378,-0.5810404,-0.43980667,0.568642
Tor3a,0.082294844,-0.42073768,0.10539376,0.28575772,0.19593917,0.6828241,-0.30103397
Ralgps2,0.63075244,1.06973,-1.4677117,-1.15028,-1.306541,-1.4763706,1.6417956
4930523C07Rik,-0.58812565,0.362911,0.6074757,1.7742081,-0.59918153,-2.4683537,0.038298286
Rabgap1l,-1.8994278,-2.075185,0.51603913,-0.3088688,1.0006598,2.5050828,0.6006455
Rc3h1,0.24674852,-0.021454345,0.5269148,0.3856762,-0.42512643,0.08146851,0.017225286
Serpinc1,0.54224825,0.2859766,-0.18965486,-0.55590147,-0.2604439,-0.030624373,0.29428184
Zbtb37,0.05412573,-0.37250087,0.47945583,0.27223548,-0.72918266,0.66359663,0.28939223
Klhl20,0.012345461,-0.7373019,0.41071898,-0.050038315,-0.09579515,1.0985274,0.38620457
Fasl,-0.8281203,0.4427197,2.880525,3.621657,-1.0955062,-0.6388566,-2.257635
Suco,-1.277856,0.46594504,1.1072706,1.0648274,0.4473636,-0.95006675,-1.0186254
Eef1aknmt,0.11636968,-0.5833184,-0.61768365,-0.22524641,0.11916161,-0.28533825,0.8779964
Sell,-1.2324038,4.039093,-4.4201674,-4.096281,-2.066169,-2.740547,5.4799457
Selp,0.32003412,0.44727302,-0.46937138,-0.5502358,-0.25940296,-0.40791145,-0.10913567
Atp1b1,-0.60463077,0.97566247,-2.1776674,-1.9275043,-1.3199494,-1.692704,2.9721208
Xcl1,-1.3118107,-0.67387986,-1.3512498,-1.689423,4.099015,0.265206,-0.4631244
Dcaf6,-0.17938302,-0.063329056,-0.11134956,0.56577396,-0.37354466,0.34029436,0.13669747
Rcsd1,0.69838387,1.034124,-2.0852764,-1.9649783,-0.31386834,0.10760581,1.86647
Pou2f1,0.30215865,-0.66858286,-0.14164288,-0.018089015,-0.67436385,0.014849155,0.8843455
Pogk,0.2449183,-0.3561593,1.8337761,1.603095,-0.39078254,0.8976515,-1.3052441
Fam78b,-1.9007951,3.6792316,-0.6065341,0.604829,-1.1651318,-0.5813165,-0.35841224
Pbx1,0.036072224,0.08264827,-0.16760693,-0.2234092,-0.17211278,-0.12984706,-0.08915314
Sh2d1b1,0.14812134,-0.43316668,-0.41037574,-0.5173432,-0.3389722,-0.33272818,-0.22908483
Gm26620,0.6793452,-0.33029494,-0.2789084,-0.41292724,0.14927162,-0.22688988,-0.1800609
Fcrla,0.0558073,-0.37116644,-0.5179037,-0.6621813,-0.3374054,-0.32141963,-0.28695554
Fcgr2b,-0.056642115,-1.0875069,3.3535454,2.3898628,-1.3200206,-0.7665173,-1.03184
Fcgr4,0.10693094,0.06567221,-0.31385842,-0.22389878,-0.37205523,0.15164739,-0.16137506
Fcgr3,-0.4496954,0.8103479,-0.6819233,-0.5609583,-0.5374331,-0.31327367,-0.24567273
Fcer1g,-0.46709982,0.1432448,-1.1326613,-1.1575208,0.3944985,0.6528107,-0.634091
Usp21,0.03664807,-0.16387539,-0.23867492,0.1841541,0.3067235,-0.19298422,0.1529287
Arhgap30,-1.0524496,-1.0492647,1.5376705,0.5444472,-0.20217891,1.3007144,-0.33282968
Cd244a,0.92584056,-0.22914846,-0.7507922,-0.92902607,0.0873464,1.0869529,-0.35485885
Slamf7,-0.12566592,-0.34192252,2.2576625,0.87240434,0.7297608,2.1543624,-2.9214234
Slamf1,-0.0979053,-1.1753885,0.48258454,0.9812764,0.760062,1.8427757,-1.2341292
Cd84,-1.6531477,-2.0063143,1.3985256,0.91997606,-0.12035385,0.8830489,0.42523548
Gm10521,-0.03864718,-0.38354266,0.24658963,0.2936778,-0.42743775,-0.0382196,0.06410958
Slamf6,-2.2575128,-1.6285661,-2.0254698,-1.430169,4.589343,0.8736661,0.22669712
Vangl2,0.6534327,-0.20048498,-0.48272005,-0.51044774,-0.22005959,-0.51285005,0.33270964
Dcaf8,-0.27359244,-0.5454454,0.50031847,-0.056958336,-0.30197385,0.29302984,0.5259979
Pea15a,0.6471654,-0.052774355,1.0190793,1.022451,-0.23869205,-0.45763406,-0.6522237
Pigm,0.14091091,0.5869163,0.13685365,-0.035680644,0.064412884,-0.48382524,-0.19588879
Tagln2,3.6315775,0.98050433,-0.041200276,0.50853974,-0.062344026,-2.9321442,-1.0053602
Ackr1,0.09742645,-0.074857734,-0.10135178,-0.08956378,-0.17541508,-0.22695759,-0.17365752
Aim2,-0.15781608,-0.63991594,-1.1803294,-0.50038254,0.6772045,0.4764457,1.1094795
Ifi206,-2.6494226,0.72220635,-0.21138239,0.12717536,1.1646141,1.8045231,-0.99183995
Ifi214,-1.5217098,1.2851194,0.11116975,0.7877061,0.33543244,1.052018,-1.2767789
Ifi213,-1.8014387,0.7058491,-0.82420117,-0.13834663,0.3542826,2.4146168,-0.24384205
Ifi209,-0.7348603,3.2974355,-0.16905683,-0.21826835,0.05523171,0.29370317,-1.262374
Ifi208,-2.0420625,0.8120327,-0.09011191,0.08856893,-0.12892446,0.8396699,0.44115224
Ifi207,-0.31903425,0.019841561,-0.24313508,-0.34008697,-0.3261568,0.0008358532,-0.1498387
