gene_name,0_A,10_A,1_A,2_A,3_A,4_A,5_A,6_A,7_A,8_A,9_A,0_C,10_C,1_C,2_C,3_C,4_C,5_C,6_C,7_C,8_C,9_C
Ankrd23,-0.30896348,-0.18579748,-0.34917,-0.18842009,-0.04706477,0.40269125,0.1064994,0.04669444,-0.502983,-0.22120605,-0.12029396,-0.42101058,-0.38827777,-0.27380762,-0.03367938,-0.044108506,-0.15984917,0.39890048,0.46327955,-0.006525436,-0.27098235,-0.12832773
Vwa3b,-0.5993385,-0.13070801,-0.13349962,-0.4109921,0.23807849,0.18497595,-0.11063026,0.13269907,-0.006691474,-0.24367967,0.2621133,-0.44235042,-0.29788327,-0.3122287,-0.052194346,0.2082913,0.027555667,-0.22085354,-0.11724166,-0.11612047,-0.40395296,-0.14022835
Inpp4a,-0.02388913,0.7730571,0.4901314,0.85432804,-0.56903344,-0.50336933,0.32253507,-0.75258785,-0.10469269,0.48299536,-0.88053554,0.9472435,-0.7161199,0.64966935,-0.5753502,-0.5760751,-1.148991,-0.11578526,-1.2157202,0.06997646,0.077709086,-0.5570436
Mgat4a,-0.1502217,0.73833305,-0.039469045,-0.45161462,0.8951481,0.12118015,-0.19649132,0.91300094,-0.53112763,-0.8780595,1.1183846,-0.49131486,-0.56480056,-0.7047139,-0.4384275,0.90070957,-0.837678,-0.5091351,2.2985735,-1.1062065,-1.0039325,-0.43492678
Tsga10,-0.29311603,0.06063784,-0.07940435,0.9351846,-0.316407,-0.3102429,0.5877108,0.12558195,0.21043484,-0.47486866,-0.34268016,0.93168503,0.63697237,-0.0029393893,-0.17640816,-0.312521,0.030472504,0.39850956,-0.19131328,-0.3340919,0.31848437,-0.24262606
Mitd1,-0.44111797,-0.7554903,-0.28675318,-1.6385684,0.07522579,-0.0803726,1.246785,-0.69237584,-0.23176838,0.11604135,-0.37769943,1.5564672,0.13189447,0.4192872,1.7161338,0.08311701,0.5356608,1.7422565,-0.18788545,1.4604127,1.3941572,-0.87614787
Aff3,-1.2350779,0.44312882,-0.7589237,-1.6119517,1.5208968,-0.9563998,-1.4084187,0.07179943,4.042326,-0.8678913,0.9523619,-0.43861356,-0.1941555,0.27438852,-0.4567566,1.5140425,-0.72041374,-1.3723171,-0.2785381,4.1069393,-1.5046272,-0.43761456
Chst10,-0.10576859,0.036915127,0.14699084,0.09087454,0.38781148,0.47043598,0.034136098,-0.13502792,-0.37314495,-0.7597083,0.44554874,-1.1619128,-1.0307982,-0.477994,-0.359186,0.38431042,-0.5082876,-0.09933014,-0.26136866,-0.47303125,-0.75306237,-0.37777546
Rnf149,-0.35775623,-0.5977191,-0.90546525,-0.12712485,0.077853315,0.60397565,0.536179,1.1318442,-0.0908282,0.9221337,0.3173814,-0.10119228,-0.6719338,-0.77627,0.7384538,0.062063668,-0.1717204,-0.049312145,-0.109327845,-0.04541781,0.23529148,-0.5737877
Map4k4,-0.2526713,1.4636269,-0.08003167,-0.99182403,0.94219756,-1.5061324,-1.4717643,-1.1762472,4.3049293,-0.8134887,2.297279,0.17831944,1.8295338,0.21447663,2.3170667,0.9316976,-1.2963114,-1.196825,-0.59908575,2.8922868,-1.796913,1.3640934
Il1r2,-0.14675426,-0.60397327,-0.46592188,-0.0950718,-0.14303185,0.065491885,0.26353493,0.3808038,0.1629098,-0.18917046,-0.02414894,0.93675417,1.9349875,-0.45761678,0.029201021,-0.14210999,0.5542453,-0.082849614,1.4382437,0.20616303,0.19370905,-0.100334845
Il1rl1,-1.269084,-1.3541497,-1.072328,-0.5045507,-0.7573549,-0.60417396,-0.72783804,-1.119624,0.0025815957,-0.6831186,-0.77104783,0.15467001,2.3792732,1.7995521,-0.28084248,-0.7829349,1.9235964,1.2631209,0.7938676,4.2660365,5.0453753,-0.33261043
Il18r1,5.268227,0.70227796,-0.35121152,1.5396813,-3.3553061,-2.3996825,-0.92067856,-0.29598883,0.37044272,-1.1174316,-2.5229821,2.314056,2.545399,1.8049417,-1.0105646,-3.363699,0.37675503,1.644038,0.2887389,0.8534256,4.687096,0.5431922
Il18rap,2.8013277,1.5188646,0.22563915,8.020688,-3.5161881,-1.4991995,-1.2547799,-0.1025175,-1.4467171,-0.54777676,-3.06341,1.4809878,1.8420613,0.5976552,1.0264589,-3.5089643,-1.244026,-1.2971131,0.01245654,-1.2460078,2.5073464,-0.49952704
Mfsd9,-0.3015529,-0.16557416,-0.2200339,-0.1949049,0.014642574,0.22907959,0.25533646,-0.11696009,-0.11993483,-0.18284519,0.04529594,-0.38325134,-0.52430964,-0.22419459,-0.0027619817,0.017567648,-0.13710892,-0.15042426,0.15598026,-0.14257662,-0.07122008,-0.10822167
Tgfbrap1,-0.010159827,0.49348742,-0.22861224,0.5454841,-0.09396854,0.37386858,-0.1278417,-0.15294032,-0.101114444,2.0132318,-0.20683324,0.81744593,-0.47217894,-0.44676858,-0.42769897,-0.08122712,0.29502943,-0.3195478,-0.14731938,0.42827967,0.664956,-0.4385003
Nck2,0.70116025,0.10776363,0.32697985,0.9531567,-0.100044824,0.22962508,0.29484656,0.18904907,-0.88034075,0.49958846,-0.5803549,-0.6393552,-0.005742045,-0.32864183,1.994321,-0.12694952,0.04973236,-0.5629905,-1.0956745,-1.190649,0.16554807,-0.5666554
Gm8251,-0.7551739,-0.4479125,-0.546437,-0.11028483,0.63773763,0.043368936,1.2545393,0.44953594,-0.332058,-0.4634707,-0.0023181306,-0.8028018,-1.0758779,-0.5006959,-0.1551767,0.6513741,-0.18564183,1.4169046,0.10239834,-0.6224596,-0.41263932,-0.23301129
Ercc5,0.11076353,-0.22162147,-0.0824742,0.117268234,0.3851588,-0.5381798,-0.4780395,-0.07559634,0.4695959,0.057484217,0.21576793,-0.54866666,0.39594847,0.08348932,-0.48119974,0.38282415,-0.35315213,0.06362322,0.22249757,0.45699465,0.5346881,1.471474
Slc40a1,-0.2255668,0.06928024,-0.06714385,-0.13241649,-0.15776874,0.13643397,0.035304237,0.12787879,-0.42667562,-0.17365111,-0.15468052,-0.36455595,0.19984731,-0.17894968,-0.00031567723,-0.15677269,0.30030152,0.25723907,-0.15201528,-0.2456211,0.060261182,-0.10490315
Nabp1,1.0657775,1.428424,1.6057721,0.1443081,-1.6351037,-0.33830443,0.5625008,-1.293486,-1.0904708,0.96394217,-0.37365448,0.9935877,1.5523239,0.9756072,0.44779757,-1.6266387,-0.5367824,0.8658768,0.018128823,-0.9450611,1.7123362,-0.26912093
Stat4,2.0635931,0.62127066,-0.15148664,1.2445998,-1.3945386,-0.8168753,-0.33217248,-1.606155,1.4172227,1.0389788,-0.96665627,1.8755913,0.98041254,0.28047863,0.7264527,-1.3808026,0.18331201,0.6866883,-0.92652434,1.1109155,-0.2604716,1.0530548
Stat1,-0.21664353,0.8949913,-0.5355432,-2.4820411,1.7519194,-1.7227566,-1.1934597,-0.5945371,0.4925587,-1.2879506,2.2895284,-0.98635703,1.4047978,0.9227532,0.38510987,1.7297877,-0.7266945,-0.9398659,-0.64934593,0.91190857,1.3973862,0.5467957
Mfsd6,0.532268,0.6707178,-0.19228598,-0.7040003,-0.07819166,-0.5734127,-0.21588567,0.24294771,0.65934974,-1.0193322,1.2282417,-0.80637735,0.036870502,-0.38649073,-0.5313652,-0.08429276,-0.5426634,-0.56655747,0.05651369,0.27191764,-0.4244305,-0.50264776
Inpp1,1.6080635,0.3272048,0.7989975,-0.5367825,-0.68087584,-0.862595,0.3969514,-0.8079276,0.515797,3.2242916,-0.5112498,-0.0554519,1.28344,0.19559416,1.699001,-0.68615615,-1.0779986,1.2703922,-0.31094626,0.2107887,0.94312257,1.9961247
1700019D03Rik,-0.26809278,0.255095,-0.44198087,-0.39425743,0.037572037,-0.02202442,-0.37907538,0.06329956,0.547857,-0.29771298,-0.03731348,-0.5273557,-0.5420699,-0.064764045,-0.07936822,0.04259625,-0.32405156,-0.37124136,-0.058410008,2.6604292,-0.39543086,-0.16359927
Stk17b,2.5295146,2.8009517,1.2210281,0.2693289,-1.2696136,-1.8708955,-1.2366072,-2.23449,-0.098794535,1.99142,1.4733624,0.49886248,3.147692,0.2820757,-0.34800023,-1.2739117,-1.3583642,-1.7095387,-2.4350886,-0.55352294,-0.89068896,-0.04781582
Pgap1,0.5947851,0.189522,-0.31498936,-0.5260653,-0.02912109,-0.14251946,0.37810442,-0.006712895,0.8972562,-0.84400505,-0.1953781,0.07836707,-0.61171764,-0.025699291,-0.41318914,-0.01634191,-0.17660499,0.111886494,-1.0109094,0.78696394,-0.49565712,-0.4177453
Ankrd44,1.8128481,2.4368267,1.9236815,1.9780216,-0.58776605,-0.38686886,-2.0734744,-1.1098179,0.060544968,1.080683,-0.5566684,1.708357,1.7953936,0.75959176,-1.0150914,-0.570027,-1.6825169,-1.9180909,-2.3117447,-1.763046,-0.08540442,-0.49974978
Coq10b,0.8209321,0.05757145,0.40280434,0.29990572,-1.2316965,-0.13023534,-0.7880032,-0.5203431,0.47347364,0.2765628,0.78497994,1.1055709,0.2901175,0.08750738,0.33845153,-1.2208905,-0.43195054,-0.15384947,-0.3807084,1.2367487,-0.56830066,1.4909269
Hspd1,-1.8545737,-5.64149,-2.1763508,-1.0239174,-0.001783259,3.4351597,2.7635522,3.9724216,-0.17071816,-0.4576481,0.4669273,-2.175347,-5.2178574,-1.9735185,-0.49896154,-0.0040238667,2.31644,2.3726993,1.8780861,-0.11240588,-0.95505095,0.67859936
Hspe1,-1.0110109,-3.8878877,-2.914069,-1.6349041,1.6358885,1.9161663,-0.06760864,4.420356,1.481698,-0.39180896,2.2990754,-2.2335153,-3.7942357,-2.455171,-0.6487503,1.6248869,0.9181963,-1.153103,1.3714685,0.79341424,-2.4805238,0.6483634
Kctd18,0.30379856,0.03270513,0.23498157,0.18587132,-0.15227096,-0.33443147,-0.011789819,-0.78202826,0.59894675,-0.25708312,-0.605502,-1.1671218,-0.15323895,0.24191943,1.831013,-0.15305673,0.05185577,-0.007531179,-0.86277276,0.04883676,0.28825223,-0.59342206
Sgo2a,-1.6445091,-0.8458497,6.802238,-0.67324704,-0.4780809,1.2886649,-1.5513959,-4.012335,-2.365861,-0.89597744,-0.62124103,-1.4918087,0.8881022,6.1861,-0.16695316,-0.47855783,0.64378524,-1.5197136,-2.9166768,-2.1145165,-1.4649043,-0.3578968
Clk1,2.2175362,2.2281096,0.021669645,0.4039487,-1.5359535,-1.676928,-1.7369758,-0.46553734,1.4336247,-0.6836446,2.1284046,1.549018,1.9905118,-0.1798319,-1.3156298,-1.5254103,-0.8952267,-0.9779305,-1.9734536,0.7003575,-1.9075776,-0.8635074
Fam126b,-0.35867983,0.24192531,-0.19959207,-0.020298686,0.6218,-0.030601276,0.018799398,0.6028547,-0.54753476,-0.88104886,-0.01012107,-0.3244955,0.2260537,-0.16078539,-0.42103922,0.6418641,0.17924051,0.532759,0.7284939,-0.3893369,0.9147113,-0.43050948
Cflar,1.2900282,0.6687095,-0.29388708,-0.14503686,0.20993967,-0.17795108,0.8531662,-0.42187577,-0.5504286,-0.46510318,-0.7318676,0.3347508,-0.3511587,0.017742628,-0.5524478,0.20089078,-0.9776862,0.017049134,0.2236174,-0.33158368,0.8789628,-1.1810303
Trak2,0.43655974,0.059024964,0.34263447,0.1943154,-0.120353244,0.210128,0.37893274,-0.08619896,0.1972037,0.31758872,0.17010254,-0.28233236,0.19248368,0.11230359,-0.64328283,-0.16910163,-0.11606879,-0.5264294,0.20289792,-0.738829,-0.6129876,-0.6045454
Stradb,-0.400371,0.3323585,-0.24286696,0.22101195,-0.010815661,0.21018736,0.52641344,0.6067297,-1.0320178,-0.63809735,-0.02166273,-1.0208143,-0.23061146,-0.12247599,-0.27218238,-0.0012149838,-0.3388819,0.046686426,0.3838981,-0.18237042,0.25158554,-0.31736356
Nop58,-1.491566,-4.448031,-1.2227719,-1.815003,0.67231375,2.5120888,1.1957327,1.918391,-0.52406573,0.17732283,0.5947512,-1.4253255,-2.7886949,-0.97020537,0.41674328,0.67956114,2.5302832,1.8270204,2.183172,0.088152304,-0.5159244,0.90854174
Bmpr2,-0.22232975,0.5091617,0.019223256,0.33253995,-0.23362021,-0.018479427,-0.03005715,0.0828981,-0.08727253,-0.32201895,0.03448298,0.17834556,-0.24837394,-0.2720439,-0.08838508,-0.23116039,0.14979452,-0.040650506,0.8861797,-0.08279306,-0.012409836,-0.173143
Ica1l,-0.49364072,-0.27407548,-0.09235187,-0.20870869,-0.17245325,0.0070014684,0.09350068,-0.13992624,0.81843066,-0.19068076,-0.1732277,-0.39523938,-0.0028401793,-0.059112236,-0.006876952,-0.17139526,0.43468863,-0.17131709,0.14264782,0.917303,-0.093067035,-0.11166349
Carf,-0.2187549,-0.09895013,0.13545528,-0.07831482,0.4826825,-0.19938809,-0.0755192,0.21478368,0.089260265,-0.5409602,0.10979472,-0.8462357,-0.15016785,0.48937258,-0.23453067,0.4962641,0.025039662,0.14324959,-0.040017977,0.37157607,-0.40942103,-0.27873415
Nbeal1,-0.31523526,0.901826,-0.2657226,0.18329684,0.7901565,-0.6325625,-0.7876375,0.6019801,0.8602489,0.94262755,0.27236676,0.035650592,0.06651155,-0.23814669,-0.57137567,0.8114361,-0.34653828,-0.8175755,1.4240049,-0.4158498,0.026400028,1.2153167
Raph1,0.89306974,-0.57027227,0.009327678,0.13037385,-1.0589973,0.67824477,0.4032695,0.04806339,-0.22789195,1.0858477,-1.3242756,1.9854995,-0.7143029,1.305717,-0.4909359,-1.0541307,0.3597162,1.481677,0.55086875,-0.20579807,1.8555349,-0.5121117
Cd28,4.866224,0.49313077,1.5371772,-1.1446573,-4.084928,0.8354675,0.2440532,-2.5084884,2.7956853,0.61452454,-0.3202343,-0.15092109,0.47953755,0.77245855,0.3221506,-4.0882916,0.74115103,0.35527173,-3.445444,1.3361038,-1.7820685,-0.8637645
Ctla4,2.1558769,-2.1662602,-0.44759598,-3.2705264,-2.6467507,-0.22383346,-0.34128204,-3.6446197,3.7016017,2.9870918,-1.7846829,2.521081,1.9366014,2.460918,-1.2777983,-2.6545513,4.510357,4.893916,-1.4517359,4.2200465,1.0023707,-1.1325854
Icos,3.107822,-1.2350188,-0.22781764,-1.2870566,-2.689098,-0.97575533,0.6991552,-2.4276888,1.4085978,1.0953711,-1.8729134,2.5214038,0.7155886,1.5093739,0.38725674,-2.6903398,1.5132402,2.8746197,-1.498759,4.0644836,1.3893781,-0.14085943
Nrp2,-0.17042099,-0.042660356,-0.11881355,-0.26066068,-0.056042023,0.43510345,-0.2515988,0.549158,-0.5658546,-0.2549586,0.04164412,-0.46464473,-0.41117498,-0.43620226,-0.05552495,-0.0526433,-0.10603738,-0.26453775,2.1234264,-0.47003192,-0.31379294,5.8406167
Ino80d,-0.042311005,0.023864279,-0.052531667,0.11270305,0.3251276,-0.6108981,-0.17457151,0.35956228,-0.46464607,-0.21891089,-0.050826937,-0.21285757,0.97009647,0.07333455,1.2550163,0.34236398,-0.46912223,-0.012720429,-0.28559563,0.06790615,0.44574988,-0.8663627
Eef1b2,-3.221248,-1.4145311,-2.471714,-3.1311717,3.9265807,-0.19022107,-2.194142,2.9133139,2.5133882,-1.8647956,5.208664,-1.6196588,-1.3841178,-1.6750298,-0.47108266,3.9161267,-0.30569723,-2.2175791,2.8934672,2.8200023,-1.0404545,1.4528501
Klf7,0.20334719,1.0806098,-0.1220681,-0.24351342,1.0768504,-0.6056497,-0.5458792,0.8157326,0.37204772,1.2177712,0.9067608,0.21037439,0.08514127,-0.9016234,-0.9196772,1.0385143,-0.8479073,-1.7387971,0.5563808,-0.39706317,-0.2968144,-0.7867617
Creb1,0.30520415,0.43035766,1.2754337,-0.52162796,0.2756168,0.043253627,-0.14332595,-0.4843635,-0.10486605,-0.04394578,-0.3579544,0.38459185,-0.34957117,0.50902927,0.44966123,0.27737132,-0.16659212,-0.10758431,-0.64526415,-0.050903622,0.4855467,1.0678322
Plekhm3,0.20825352,0.29007292,-0.18950096,0.6959519,-0.031899158,-0.34860185,-0.52647483,0.3628179,0.06421601,-0.64287627,-0.17300178,-0.9576341,-0.0366625,-0.2498359,-0.31096873,-0.022014894,-0.088988565,-0.66975796,-0.020485984,-0.32748574,-0.30042064,-0.33042774
Pikfyve,-0.15813057,0.48540637,-0.6421647,-0.19676727,0.44689107,0.35366124,-0.420543,0.43515524,0.37960663,-0.9482234,0.41090056,-1.3937745,0.064216085,-0.72575223,-0.48729348,0.45017982,0.08867627,0.11006575,-0.49231333,0.077304356,0.008887058,1.981789
Kansl1l,-0.35757425,0.08116468,0.0042538885,0.094634764,0.58878237,-0.23635969,-0.35755742,-0.19151944,-0.44797465,3.0181823,-0.08653696,-0.053946663,0.72052133,0.96584547,-0.3301242,0.6001773,-0.017647972,-0.14765354,0.2987888,-0.20291884,-0.20198119,-0.35421294
Ikzf2,-2.0477805,-0.72723,-0.51851386,-1.7108012,0.43452555,-0.9496733,-0.9596183,-1.033465,2.3352082,2.1859412,0.28244367,1.4377508,0.49661326,1.2546414,2.6649652,0.43245235,1.0345335,0.65281993,1.5523437,4.227897,-0.55628085,0.85130364
Fn1,-0.39733136,-0.35410932,-0.31245562,-0.18790315,-0.05466659,0.06621224,-0.090462595,0.81104165,0.110899106,-0.15429607,-0.019090246,-0.34606534,0.05968237,-0.032360904,0.015572385,-0.05292801,0.11193408,0.105927005,-0.19011398,-0.21592912,-0.3563329,-0.09467136
Rpl37a,-0.31562275,1.950014,-3.6223807,-0.06591995,4.1000056,-2.535512,-4.1140275,3.8900523,2.0129797,-0.7563351,5.137432,-0.6432877,1.1226674,-2.931345,-1.3866875,4.1000504,-2.6691213,-4.416845,2.5772293,1.4102339,-1.8856324,1.7560622
Cxcr2,-0.33171868,-0.45441368,-0.2848839,-0.16535707,-0.18174447,0.119569406,0.080948226,0.34077537,-0.10934469,-0.17582306,-0.043563575,-0.38312963,-0.26355156,-0.056420702,0.00639203,-0.18106548,-0.034302626,-0.004534355,0.7962033,-0.39112732,-0.17328277,-0.103484936
Slc11a1,-0.42437914,-0.27806333,-0.40936255,-0.13388988,-0.16345404,0.13837586,0.4163712,0.36000136,-0.5021805,-0.17296673,-0.1340321,-0.3950904,0.2145503,-0.25183138,0.016296288,-0.16272414,-0.05054967,0.19924861,-0.041819442,-0.14339092,-0.28482518,-0.09969
Ttll4,-0.093851134,-0.38429618,-0.6619316,0.20567176,0.35246098,0.1411861,-0.16227387,0.49668354,-0.16089445,-0.60258055,0.81470203,-0.3628659,0.12787175,-0.40930954,-0.23601334,0.36518216,-0.10662601,-0.5576854,0.42534477,-0.6316257,0.33963305,-0.29646793
Cnppd1,0.30995116,0.6921069,0.42878807,0.3983451,-0.38121977,-0.6384002,0.33526438,-0.6679293,-0.016961806,0.9755738,0.041492254,0.60959405,0.33724514,-0.41005585,0.5663996,-0.38013688,-0.6270304,0.12339036,0.5343832,0.021857983,0.38030195,0.40800935
Atg9a,0.32157457,-0.19376072,-0.42104682,0.49628997,0.05233635,0.31156796,-0.20669605,0.34860814,-0.124074146,-0.76064426,-0.16120908,-0.8867412,-0.038672533,-0.45982185,-0.36439282,0.017855894,-0.30245498,-0.4864521,-0.038792495,0.21949963,0.09471516,-0.3796118
Ankzf1,-0.5479441,0.18250538,-0.28676507,0.07250098,0.08814752,-0.61050755,-0.11660433,0.39407423,0.5381651,0.61543757,0.70356333,-0.28641987,0.42088255,-0.44471163,1.7027858,0.08354969,-0.4799823,-0.57503355,1.0127032,-0.17616317,0.39514673,2.000606
