gene_name,P9_A,P9_C,P9_N,P4_A,P4_C,P3_A,P3_C,P10_A,P10_C,P10_N,P0_A,P0_C,P0_N,P5_A,P5_C,P6_A,P6_C,P2_A,P2_C,P2_N,P7_A,P7_C,P8_A,P8_C,P1_A,P1_N
Lmbrd1,0.01774245,0.054546874,-0.49918863,-0.00091914233,0.026790282,-0.03101336,-0.013984698,0.05401355,0.88864577,-0.49930573,-0.4894,-0.49546954,-0.15402047,-0.026202884,-0.09657869,-0.0011320323,0.096118726,-0.059538174,-0.039610382,-0.49302992,0.08558586,0.14830694,0.056229074,0.3893648,-0.2425504,-0.4878195
Phf3,0.101059556,0.3416395,-1.3462023,0.10768091,0.17716698,-0.13175243,-0.07129035,0.054916244,0.27429223,2.2920165,0.7915655,-1.3359911,0.032134965,-0.13199286,-0.006270716,-0.17632097,-0.29068938,0.08146823,-0.051371403,0.54762197,-0.010561197,0.048297063,0.4176973,0.047752846,0.24171685,-0.42156827
Ptp4a1-1,0.019561386,-0.16041449,-0.17144375,0.008504449,0.025916,0.009880188,0.019300617,0.00460341,-0.16946808,-0.17148861,-0.16769314,-0.17001873,-0.050592154,-0.020743981,-0.06554493,0.07627559,-0.017072424,-0.043025054,0.018296085,-0.16908398,0.033339873,0.010907165,0.26388353,0.018035354,0.07215556,-0.16708755
Zfp451,-0.08551263,0.057086274,-0.52762395,0.008585491,0.051390886,-0.08747091,0.050676238,-0.038875077,-0.52730954,-0.5276311,0.09835051,-0.52739716,0.15009572,-0.024885418,0.14712563,-0.065172754,-0.024005992,0.04336734,0.06468292,-0.075174995,-0.17440629,0.14510836,-0.16393784,0.16664714,0.14575686,-0.5269307
Bend6,-0.04718911,-0.056942843,-0.06891788,0.01720058,-0.021125289,-0.025585597,-0.047040537,-0.046075627,-0.06677279,-0.0689666,-0.06484565,-0.06737068,-0.05545391,-0.03004194,-0.025736064,-0.03076851,0.036069375,0.035283342,-0.027216157,-0.06635576,0.040087115,0.015565587,-0.062066346,-0.037941024,-0.0043718317,-0.06418812
Ptpn18,0.5325887,0.55139995,0.7850114,0.6293618,0.5425899,-0.15169291,-0.09691073,0.3230603,-1.1442721,-0.38756147,0.20007604,-0.15998046,-0.12110474,-0.5862537,-0.62341964,-0.34336776,-0.28653157,0.08184578,-0.060087707,0.6350583,0.15014486,0.0027383952,0.5685422,0.56489265,0.09354943,0.35185203
Arhgef4,0.0055878907,-0.18385756,-0.24555737,0.0667145,0.059055347,-0.08434352,-0.07181556,0.13888922,-0.23450507,-0.24580836,-0.22457573,-0.2375856,0.047491807,-0.06562116,-0.11685647,-0.098344944,0.045283098,0.026029952,0.021744331,-0.23235635,0.06272433,0.008602215,-0.21025574,0.0011630281,0.00625386,-0.22118792
Hs6st1,0.0028254387,-0.19934848,-0.2273891,0.02072902,0.056564216,-0.10883839,-0.06863349,-0.14017314,-0.22236618,-0.22750317,-0.04989872,-0.2237662,0.2691186,-0.0044836635,-0.02326057,-0.07788744,-0.1101538,0.13017982,0.0035239407,0.91098076,0.08470678,0.048624974,-0.21134563,-0.11525966,0.2261082,-0.21631396
Neurl3,0.20390609,0.052604288,-0.7437738,0.34268168,0.14914906,-0.11028171,-0.13817246,-0.26879096,-0.712463,2.4709864,-0.08240191,-0.7211901,0.17805615,-0.19263592,-0.2869894,-0.2002607,-0.25663745,0.022043101,-0.012596762,0.26643974,-0.0028867344,-0.13006474,0.15012102,-0.13032278,0.5919436,0.25516322
Arid5a,0.14734517,-0.18659742,-0.8942152,0.21630915,0.24400723,0.0055789547,-0.032382093,0.04891189,0.021790236,-0.8948937,0.22141556,-0.87266773,-0.1936089,-0.21995813,-0.2081869,-0.20161593,-0.21399938,-0.021156866,-0.06911841,0.18257034,0.31769943,0.083642304,-0.04713592,-0.29179326,0.5838586,1.165327
Kansl3,-0.015086542,0.27574602,-0.59465677,-0.020605054,0.091263905,-0.125807,0.058347754,0.12273494,-0.58924544,-0.5947797,0.114627995,-0.59075373,-0.060291875,-0.03706547,0.11487012,-0.08099698,-0.12885335,0.06480813,0.06136013,0.5429568,-4.6935987e-05,0.10188346,-0.023443544,0.015532579,0.001599776,0.5739863
Cnnm3,0.03407486,-0.31306025,-0.3186516,-0.0314374,-0.21296611,-0.13801257,-0.15577303,0.03621957,-0.31765,-0.31867433,0.6587564,-0.31792918,0.112999246,0.033772126,0.055985507,-0.0591458,-0.10058681,0.09131091,0.17621821,0.24914289,0.102305226,-0.07964138,0.048037387,0.12829424,-0.035095315,-0.3164432
Ankrd23,-0.03234922,-0.070449576,-0.09021983,0.013847204,-0.0113163525,-0.052094877,-0.028876321,-0.05562635,-0.08667838,-0.09030026,-0.08349676,-0.08766547,-0.018607004,0.023492536,-0.060637485,-0.018317344,0.033331588,-0.010349002,0.1167033,-0.08598988,-0.066945605,0.02036321,-0.07890825,-0.03490918,-0.053387053,-0.082411215
Vwa3b,-0.07557982,-0.075985745,-0.10319182,0.02241895,0.005388148,-0.008708072,-0.03717248,-0.09929186,-0.09831838,-0.10330249,0.74769914,-0.099676736,0.0606892,-0.011528557,-0.02715457,-0.050153527,-0.07092481,0.0006685107,-0.008449691,-0.09737093,0.024024691,-0.0027412642,-0.087625824,-0.062324457,0.05778896,-0.0924463
Inpp4a,0.010401664,0.3501966,-0.4407646,0.16304192,-0.07190011,0.116748914,0.17052759,0.14937788,-0.4421965,-0.4407321,-0.008914468,-0.44179738,-0.18530759,-0.12225391,-0.23736373,0.013358432,-0.053249992,-0.098955095,-0.16300455,-0.44247484,0.006061054,0.036491092,0.1942533,0.036982443,-0.27211168,-0.44392174
Mgat4a,-0.008482617,-0.076236255,-0.35709694,0.15763897,-0.04393697,0.01020823,-0.12192077,-0.10699744,-0.3497728,-0.35726324,0.065943,-0.35181424,0.2784721,-0.021790577,-0.18174261,-0.062742725,-0.11942017,0.048125755,0.10305799,1.5599489,-0.07210453,-0.21146801,-0.3337034,-0.18602553,0.30809158,-0.3409479
Tsga10,-0.029911004,0.3312651,-0.1821082,0.052191753,0.17814529,0.0021743744,0.02961153,0.16497442,-0.18060428,-0.18214235,-0.17925318,-0.18102346,-0.10281451,-0.09118812,-0.02663343,0.052239273,0.033265825,0.0022582554,-0.003701101,-0.1803119,0.063823976,-0.0486933,-0.17730463,0.0866244,-0.11742491,-0.17879218
Mitd1,-0.0515257,0.5421865,-0.6813498,-0.07479518,0.084809154,-0.03953837,0.120781794,-0.34306654,0.2686076,2.6280932,-0.218552,-0.69170433,0.02203596,-0.054211807,0.063626654,0.14887466,0.2593139,-0.10385655,-0.041814458,-0.027425429,-0.017231937,0.3296184,0.05191089,0.30840176,-0.124382265,-0.7130033
Aff3,-0.17002195,-0.059889194,-0.373208,0.11170613,0.024556575,-0.13452578,0.089494206,-0.33469343,-0.35960492,-0.37351692,0.5080248,-0.36339644,0.4711425,-0.19512717,-0.16079144,-0.24043904,-0.26462656,-0.008437003,-0.057193507,-0.045583103,0.76621014,0.8875506,-0.32975912,-0.28925648,0.2598642,-0.34321433
Chst10,-0.0019081982,-0.2758154,-0.30381423,0.048500575,-0.13005127,0.047718704,-0.07296575,-0.00059136935,-0.2987988,-0.3039281,0.15617268,-0.3001967,0.11620508,0.034389775,-0.122891665,-0.028927462,-0.050481874,-0.036635634,-0.07488594,0.038903046,-0.043146286,-0.07798405,-0.28779465,-0.13430226,0.112296246,-0.2927556
Rnf149,-0.039322015,0.042447757,-0.4345014,-0.05024649,-0.063734725,-0.1640058,-0.13737167,-0.0432364,0.8418441,-0.434259,0.3539577,-0.4422017,0.015142124,0.0558706,-0.062758476,0.044683535,-0.042067736,0.12997198,0.03807273,-0.27349326,0.008602417,0.012164044,0.36459622,0.06947207,0.07605052,-0.458041
Map4k4,-0.024977192,0.039346382,1.0964721,0.27049237,0.39852533,0.0020481742,0.07655759,-0.21455267,1.6159942,1.1109195,0.3727814,-1.2939359,0.2892657,-0.28355566,-0.2636849,-0.24972697,-0.2351049,-0.16061868,-0.10425925,-0.13855901,0.81434536,0.63148147,-0.30865622,-0.34951866,0.6415028,1.1760584
Il1r2,-0.0082349125,0.32495075,-0.041697614,-0.051219612,0.4180127,-0.075582065,-0.06856574,-0.037358183,-0.049457017,-0.041521404,-0.056428038,-0.047294285,-0.0494362,-0.03074844,0.06694709,0.004707661,-0.047709484,0.030088706,0.32284817,-0.050965544,0.05511263,0.065201506,-0.06648156,0.06089879,-0.02559252,-0.058806483
Il1rl1,-0.17519349,0.10705299,-0.24705878,-0.16794467,0.5001147,-0.19757387,0.4188187,-0.11750173,-0.250511,-0.24698037,0.39212164,-0.24954878,-0.25050172,-0.13846907,0.31160387,-0.14065033,0.17871267,-0.15022993,0.23161964,-0.25118214,0.025724446,0.92109096,-0.2580853,1.0611933,-0.24143803,-0.25467062
Il18r1,0.7976103,0.69385976,0.58677566,0.1520289,0.530814,-0.052505564,0.41998246,0.28278592,-1.3883305,0.5986819,-0.7431883,-1.3949789,-1.0598712,-0.4272897,0.03523556,-0.16892517,0.24279135,-0.058844775,0.02748611,0.113502815,0.09315344,0.20165533,-0.42655647,0.987325,-0.754944,0.48384148
Il18rap,0.43002018,0.43474236,0.8542961,0.2790872,0.40084034,0.063540526,0.15929632,1.5543853,0.4737866,0.86623603,-1.1275636,-1.1709867,-1.1057533,-0.28244045,-0.25434327,-0.21791208,-0.25197557,-0.022052508,0.07542731,-0.31476337,-0.2399322,-0.2409405,-0.20558587,0.5379141,-0.90667874,-0.39542145
Mfsd9,-0.031264044,-0.06057733,-0.06864244,0.016993888,-0.036454435,-0.026116328,-0.018163513,-0.05692167,-0.06719773,-0.06867524,-0.06589982,-0.06760041,0.0007438603,-0.004434164,-0.056574572,0.0035055813,-0.05907704,-0.031236712,0.044072736,-0.06691686,0.0032671685,-0.008318664,-0.06402797,0.006276902,-0.0053739515,-0.06545698
Tgfbrap1,0.007065331,-0.038811184,5.876357,0.119541764,-0.026820911,-0.02784205,-0.06622333,0.08866852,-0.34497488,-0.34583527,-0.3442191,-0.34520936,-0.029976835,0.018856201,0.020633958,-0.052677117,-0.08752738,-0.027416814,0.047824595,-0.34481135,0.006716948,0.11202742,0.78783596,0.15805835,-0.076957054,-0.3439612
Nck2,0.118400596,-0.11322781,-0.47254524,0.059524376,0.05937454,0.083927415,-0.040716533,0.16344467,-0.4632395,4.636928,0.56682575,-0.46583322,-0.044203263,-0.0043464177,-0.023192344,0.009298668,-0.12847984,0.018521424,-0.1317067,-0.4614303,-0.13611534,-0.22926994,0.20068981,0.05509269,-0.18483976,-0.45202678
Gm8251,-0.09873299,-0.1781926,-0.16578338,-0.026937058,-0.13838178,-0.09177944,-0.0778677,-0.04021336,-0.16800624,-0.16573289,-0.17000325,-0.16738668,0.19994451,-0.034307078,-0.06524576,0.1500116,0.2045825,0.029578893,-0.048900343,0.25229058,-0.035615038,-0.10948605,-0.17288333,-0.064115375,-0.018575208,-0.17068462
Ercc5,0.030403947,-0.09164699,-0.38238293,0.008273107,0.13360515,0.0015568044,0.04827385,0.0046707243,-0.3790841,-0.38245785,0.12172544,-0.38000354,0.115828,-0.12785344,-0.09517419,-0.10402414,-0.023069499,-0.023471436,0.0811635,-0.15509804,0.11132824,0.118081026,0.029196426,0.13120031,0.03613539,1.2666061
Slc40a1,-0.019949382,-0.055156186,-0.06755631,0.053536482,0.097366534,0.00464084,-0.0083939005,-0.044659607,-0.06533507,-0.067606755,-0.063339524,-0.065954186,-0.054020986,-0.019336889,0.021575902,-0.028756186,0.009500993,-0.0008981861,-0.024374265,-0.06490324,-0.052958462,-0.03004217,-0.060461562,0.033385113,-0.06349771,-0.06265866
Nabp1,0.17022638,0.20433393,2.4293492,0.26501492,0.34729818,0.3411844,0.24090649,0.008111043,-0.3580819,1.3960178,-0.68612254,-1.0871024,-0.51458,-0.09570202,-0.12798272,0.0485429,0.11188738,-0.20520915,-0.22417538,0.86859506,-0.1746322,-0.17749585,0.38081384,0.3740025,-0.12629049,-0.20113373
Stat4,0.31997514,0.5384316,1.0704471,0.13942443,0.2416115,-0.0123265525,0.090809226,0.22696376,1.3079586,-1.3900056,-0.60183626,0.6852416,-0.43935272,-0.17268363,0.0006738318,-0.08263669,0.081743896,-0.21495952,-0.18470629,-0.1062137,0.28502837,0.25593853,0.40992075,-0.032742124,-0.30531457,0.9137782
Stat1,-0.017340526,-0.15398149,-1.5703131,0.18201448,0.320036,-0.089587905,0.22949387,-0.5072259,-0.38277555,1.3225611,0.9628177,0.14510337,0.53833944,-0.31840125,-0.1619136,-0.20892113,-0.19187866,-0.08032639,-0.04655685,-0.4091266,0.115537316,0.21398452,-0.49270123,0.30906752,0.64340234,0.48688012
Mfsd6,0.09320443,-0.16515446,-0.4193403,0.14711824,0.06724915,-0.020534229,-0.05320769,-0.15646209,-0.40968585,-0.41955954,0.09254856,-0.4123768,-0.030864246,-0.1335209,-0.12903346,-0.06558638,-0.1290799,0.0011444557,-0.08276419,0.3456797,0.14611013,0.079063684,-0.3885034,-0.066546425,0.3403566,-0.39805296
Inpp1,0.2537989,0.08049798,-0.87800634,0.09366872,0.29760963,0.17888407,0.07248035,-0.12316465,2.0050337,-0.8783325,-0.11293691,-0.86764556,-0.21940672,-0.18003798,-0.2246798,0.024269572,0.17993586,-0.13316314,-0.19649835,0.47423255,0.1197969,0.066176675,1.2576092,0.21540947,-0.17777827,1.7090127
1700019D03Rik,-0.026237438,-0.09996949,-0.120107464,0.08244867,-0.03973645,-0.07076581,0.016261896,-0.09599001,-0.11650015,-0.12018938,-0.113259345,-0.117505595,0.008661869,-0.044826075,-0.08997491,-0.089513734,-0.096223384,-0.0073984168,0.009211959,-0.11579884,0.1256735,0.582602,-0.10858549,-0.060567416,-0.029096354,-0.112153605
Stk17b,0.38999373,0.1762022,0.32476264,0.47857586,0.64211506,0.26378474,0.091154076,0.03720616,1.0350916,-2.949789,-0.1276531,0.9701751,-0.40609714,-0.34223047,-0.27477166,-0.21524754,-0.32135475,-0.2736006,-0.35230342,-0.7558008,0.007142188,-0.09495305,0.77937514,-0.16267748,0.40927055,-0.014520325
Pgap1,0.10244649,0.089831024,-0.33975923,0.07224572,-0.052607037,-0.045218688,0.024697045,-0.121626414,-0.33372754,-0.3398962,-0.32830864,-0.3354087,-0.009606411,-0.06420858,-0.063631184,0.021506175,-0.014950545,-0.009627088,-0.1457749,-0.33255488,0.18971843,0.1876441,-0.32049358,-0.08123161,-0.07373398,-0.32645977
Ankrd44,0.28194678,0.4445085,1.878467,0.42191917,0.39221635,0.4051388,0.19426285,0.3690982,-1.2549936,0.3231375,-0.7136665,-1.9234881,-0.1817411,-0.10351396,-0.3326868,-0.33795145,-0.35643786,-0.13864933,-0.36504033,-0.5986914,0.03634914,-0.3499408,0.4260979,0.0033524386,-0.17829706,-0.39560926
Coq10b,0.13670062,0.42864624,-1.0172712,0.051714633,0.114048064,0.09918117,0.04914146,0.04117913,0.7415038,-1.0174301,-0.6349967,-1.0122253,-0.38721246,-0.06223259,-0.10925281,-0.14947192,-0.059653237,-0.08549619,-0.10991167,0.07313399,0.11203902,0.28246626,0.11417758,-0.09620892,0.20143174,1.2830095
Hspd1,-0.2617348,-0.5338574,-1.0075512,-0.83504117,-0.903801,-0.41967213,-0.39589036,-0.21863097,-0.085369825,-1.0046927,0.19923452,1.7200516,-0.008049226,0.51128715,0.38179177,0.37126747,0.36536837,0.4839301,0.48734546,-0.31638896,-0.0060414206,-0.001958165,-0.17062473,-0.17594735,0.11314205,0.5980223
Hspe1,-0.1351512,-0.48809448,-2.1382718,-0.56218624,-0.64072216,-0.56808025,-0.49989232,-0.3397168,-0.79502815,0.12109507,0.63734555,-0.3095878,0.50589985,0.26694605,0.13197285,-0.04384557,-0.22774988,0.5348873,0.3358963,-0.16022107,0.2968467,0.18900393,-0.14508556,-0.49046245,0.6456605,0.5725261
Kctd18,0.059235997,-0.2673728,-0.48327237,0.047845513,0.032117773,0.06541996,0.08248324,0.013168982,-0.47933805,4.349104,-0.05506089,-0.4804346,-0.052387517,-0.09507903,-0.022812963,-0.035661254,-0.03503925,-0.10153386,-0.07597685,-0.47857314,0.13503826,0.03203449,-0.092825055,0.08039127,-0.19201073,-0.47459745
Sgo2a,-0.23119864,-0.382094,-0.13185501,-0.08885481,0.22455296,1.3865669,1.3659943,-0.15073028,-0.19722614,-0.1303705,-0.11738011,-0.17900562,-0.1549715,0.16600788,0.08294485,-0.2614028,-0.28942195,-0.51061165,-0.5973075,-0.20993511,-0.40841138,-0.42403668,-0.3406538,-0.2810666,-0.19778042,-0.2759931
Clk1,0.34210414,0.39078456,2.0045733,0.38944346,0.42827332,0.022507612,-0.008584398,0.06287948,-0.2682107,-2.239369,-0.6469941,-0.33025414,-0.48363397,-0.31102937,-0.19202462,-0.28861305,-0.19828197,-0.054720365,-0.2568607,-0.7307028,0.28803486,0.169386,-0.25828934,-0.372335,0.60374886,-0.7023443
Fam126b,-0.039537933,-0.028136715,-0.3424841,0.080399506,0.10220936,-0.02200401,-0.0044717374,-0.0223683,-0.34009805,-0.3425383,-0.33795446,-0.3407631,0.19715233,-0.046205726,-5.360894e-05,-0.031176174,0.055849567,0.043183956,0.04290029,0.43439707,-0.07511196,-0.060339876,-0.33486298,0.20955177,-0.019839251,-0.33722305
Cflar,0.20654055,0.20158264,-0.99819976,0.14680576,-0.0044569136,-0.040973503,0.034077343,-0.04615953,-0.1408779,-0.9984893,0.1840634,-0.9890053,0.05936494,-0.069908015,-0.20675735,0.09116112,-0.030904295,-0.07328207,0.023288785,0.073514074,-0.07564241,-0.04816452,-0.17351657,0.20218131,-0.22574371,-0.9700924
Trak2,0.079009496,-0.0077469563,-0.4869799,0.051940795,0.09600577,0.08707669,0.05449564,0.019900735,-0.48561805,-0.48701084,1.0684618,-0.48599762,-0.05742121,-0.0074826665,-0.05281541,0.021627625,-0.12232946,-0.046189968,-0.10562189,0.5625869,0.061398704,-0.13401867,0.13009164,-0.105422266,0.033412136,-0.48397714
Stradb,-0.045829926,-0.23774223,-0.2444718,0.09447062,0.01781968,-0.030709697,0.0038003093,0.024885388,-0.24326633,-0.24449916,-0.24218333,-0.2436023,-0.004958078,-0.007473118,-0.09262459,0.04325168,-0.025918644,0.044931483,-0.02231099,0.3919298,-0.16391777,-0.016707867,-0.24062146,0.072831504,-0.023767652,-0.24181384
Nop58,-0.20788401,-0.32745665,-0.7644566,-0.6493427,-0.4549027,-0.22783895,-0.17924763,-0.37413308,0.6909772,-0.762955,0.11870375,1.4107727,0.20702331,0.3628045,0.41999832,0.1413892,0.27357307,0.21407892,0.4282243,0.18084104,-0.07081008,0.040322866,0.07568213,-0.08541022,0.1491156,0.79191893
Bmpr2,-0.019418329,0.10721789,-0.12507732,0.12198064,0.014537252,0.022015467,-0.028495496,0.0466472,-0.12286587,-0.12512755,-0.12087911,-0.12348225,-0.07732261,-0.044255838,-0.005314617,-0.038339663,-0.040610656,-0.02489205,0.047676004,0.5524178,0.009254172,0.0042847153,-0.11801384,0.018402131,-0.008186074,-0.12020125
Ica1l,-0.059866894,-0.06394797,-0.071238965,0.00011143117,0.059910793,-0.00043030194,0.017482277,-0.05962791,-0.06993292,-0.071268626,-0.06875958,-0.07029694,-0.05860928,-0.04015705,0.045586348,-0.020223254,-0.06259168,-0.03400576,0.04183422,-0.069679014,0.1752697,0.21512176,-0.06706741,0.001772595,-0.068852596,-0.068359256
Carf,-0.01880233,-0.18773317,-0.22327973,0.027360374,0.0326853,0.045398075,0.13591515,-0.0338788,-0.21691227,-0.22342433,-0.21119176,-0.21868703,0.15127976,-0.073356315,-0.027604096,-0.04500544,-0.009674575,0.014387863,0.038660794,-0.21567434,0.04161266,0.10007335,-0.20294172,-0.06345184,0.014233534,-0.20923997
Nbeal1,-0.037277896,-0.19710004,4.59956,0.18307796,0.07272668,-0.03530761,-0.021176156,0.017697778,-0.43450534,-0.44832578,-0.33289832,-0.4382719,0.2505272,-0.14303558,-0.093992524,-0.1494183,-0.1713067,0.018523123,-0.01300797,1.2577155,0.18293498,-0.06592924,0.37254584,0.026403774,0.05388246,1.0506039
Raph1,0.1468988,0.6511408,-0.37826905,-0.045975845,-0.07156434,0.020024756,0.3121862,0.007237972,-0.39086103,-0.3779831,-0.4021736,-0.38735136,-0.3355335,0.06781733,0.032191306,0.025195953,0.21547866,-0.014578017,0.09851982,0.061522614,-0.016521389,-0.021646807,0.42810133,0.40352654,-0.4012769,-0.40603334
Cd28,0.7398554,0.108754754,-1.8904757,0.11948627,0.14905204,0.32738504,0.19704114,-0.24139637,1.1620501,-1.8904665,-1.0812447,-1.89077,-1.2869194,0.093107745,0.10034082,0.0018511942,0.02599226,-0.30036888,-0.51334393,-0.9989407,0.5377008,0.303412,0.24527381,-0.34645808,-0.10774761,-0.70256114
Ctla4,0.3353862,0.83650917,-0.888319,-0.2943065,0.41831094,-0.071895406,0.56162566,-0.6596445,-0.9068787,-0.88789755,-0.5413326,-0.90170574,-0.8376719,-0.07728853,0.77377063,-0.083972365,0.7894931,-0.44852704,-0.13411056,-0.76088727,0.7037553,0.9113955,1.1655988,0.22762498,-0.53190494,-0.9292417
Icos,0.47728112,0.8453781,-1.0462563,-0.14940828,0.19267322,-0.027682198,0.3561613,-0.27022806,0.8035628,-1.0459086,-0.71735924,-1.0573,-0.8487385,-0.19824065,0.2382871,0.06857958,0.44980255,-0.28838062,-0.067281604,-1.0645443,0.2834474,0.87860024,0.43179545,0.30741644,-0.56257963,-0.09297845
Nrp2,-0.011705532,-0.08243333,-0.1047955,0.036118884,-0.015547655,-0.005753648,-0.06394176,-0.06978807,-0.100789756,-0.104886465,-0.09719101,-0.101906255,-0.021271896,0.028706275,-0.051023137,-0.070822746,-0.07827347,-0.007762752,-0.026921734,1.9192481,-0.078469984,-0.07735174,-0.09200095,-0.04373567,-0.036653735,4.9508433
Ino80d,0.007896043,0.025558924,-0.7198263,0.046469904,0.23970515,0.007580399,0.04608116,0.00412899,1.490838,-0.7199815,-0.3764005,-0.7148951,0.10349553,-0.1395507,-0.11589414,-0.05952878,-0.035912197,0.03668374,0.02132771,-0.3605562,-0.059918445,0.036054637,-0.07801795,0.11286343,-0.02945307,-0.704752
