,gene_ids,feature_types,n_cells,highly_variable,means,dispersions,dispersions_norm
Nabp1,ENSMUSG00000026107,Gene Expression,418,False,0.40288344,0.48531333,-0.07418789
Stat4,ENSMUSG00000062939,Gene Expression,539,False,0.5358646,0.43538284,-0.38523164
Stat1,ENSMUSG00000026104,Gene Expression,746,True,1.0502839,1.5093063,2.5722394
Gls,ENSMUSG00000026103,Gene Expression,370,False,0.33229744,0.38016456,-0.42980796
Nab1,ENSMUSG00000002881,Gene Expression,476,False,0.47267976,0.45889595,-0.1635332
Nemp2,ENSMUSG00000043015,Gene Expression,109,False,0.0861074,0.35622585,-0.23632519
Mfsd6,ENSMUSG00000041439,Gene Expression,74,True,0.08757149,0.855769,1.0560573
Inpp1,ENSMUSG00000026102,Gene Expression,361,False,0.3363294,0.3766886,-0.4415639
Hibch,ENSMUSG00000041426,Gene Expression,173,False,0.1541807,0.4122043,-0.09150172
1700019D03Rik,ENSMUSG00000043629,Gene Expression,9,False,0.008578413,0.46738985,0.051270433
Pms1,ENSMUSG00000026098,Gene Expression,85,False,0.068784684,0.35268027,-0.24549806
Ormdl1,ENSMUSG00000026097,Gene Expression,266,False,0.23487304,0.4776375,0.07778242
Osgepl1,ENSMUSG00000026096,Gene Expression,61,False,0.04542712,0.28372762,-0.42388746
Asnsd1,ENSMUSG00000026095,Gene Expression,436,False,0.39424413,0.3115986,-0.6617026
Stk17b,ENSMUSG00000026094,Gene Expression,964,False,1.1554255,0.65645975,-0.11747871
Gtf3c3,ENSMUSG00000041303,Gene Expression,123,False,0.11264127,0.4077666,-0.10298259
Pgap1,ENSMUSG00000073678,Gene Expression,30,False,0.024711845,0.37326872,-0.19223307
Ankrd44,ENSMUSG00000052331,Gene Expression,860,True,0.99000835,0.6861903,0.23455192
Sf3b1,ENSMUSG00000025982,Gene Expression,1010,False,1.2241703,0.51956075,-0.26992157
Coq10b,ENSMUSG00000025981,Gene Expression,260,False,0.22972935,0.3685645,-0.20440353
Hspd1,ENSMUSG00000025980,Gene Expression,691,False,0.7757864,0.50250375,-0.12661155
Hspe1,ENSMUSG00000073676,Gene Expression,1119,False,1.7154709,0.70453596,-0.3280398
Mob4,ENSMUSG00000025979,Gene Expression,455,False,0.44738272,0.44855282,-0.19851437
Rftn2,ENSMUSG00000025978,Gene Expression,13,False,0.011000778,0.17614211,-0.7022251
Mars2,ENSMUSG00000046994,Gene Expression,86,False,0.08035793,0.45727804,0.025109878
Boll,ENSMUSG00000025977,Gene Expression,9,False,0.0083611645,0.28963313,-0.40860915
Plcl1,ENSMUSG00000038349,Gene Expression,14,False,0.012255023,0.3907225,-0.14707786
4930558J18Rik,ENSMUSG00000097519,Gene Expression,8,False,0.005880942,0.17049864,-0.7168254
1700066M21Rik,ENSMUSG00000038323,Gene Expression,28,False,0.019737903,0.13232334,-0.8155899
Tyw5,ENSMUSG00000048495,Gene Expression,89,False,0.072365336,0.37753978,-0.18118328
Maip1,ENSMUSG00000025971,Gene Expression,262,True,0.2322834,0.61382884,0.430127
Kctd18,ENSMUSG00000054770,Gene Expression,122,True,0.12230774,0.75088465,0.7847081
Sgo2a,ENSMUSG00000026039,Gene Expression,168,False,0.13765238,0.43258712,-0.03876873
Bzw1,ENSMUSG00000051223,Gene Expression,745,False,0.8486318,0.45920208,-0.4101051
Clk1,ENSMUSG00000026034,Gene Expression,794,False,0.84298253,0.5720543,-0.089599535
Ppil3,ENSMUSG00000026035,Gene Expression,311,False,0.27078673,0.28948426,-0.7364947
Nif3l1,ENSMUSG00000026036,Gene Expression,82,False,0.06256544,0.3222952,-0.32410818
Orc2,ENSMUSG00000026037,Gene Expression,202,False,0.1779777,0.41762438,-0.07747925
Gm15834,ENSMUSG00000085054,Gene Expression,12,False,0.01235571,0.5506487,0.26667178
Fam126b,ENSMUSG00000038174,Gene Expression,89,False,0.07063018,0.4473824,-0.000491451
Ndufb3,ENSMUSG00000026032,Gene Expression,881,False,1.0053189,0.32317445,-0.7964299
Als2cr12,ENSMUSG00000047528,Gene Expression,3,False,0.0015629361,-0.44121778,-2.2994146
Cflar,ENSMUSG00000026031,Gene Expression,469,True,0.47674865,0.6341949,0.42933947
Casp8,ENSMUSG00000026029,Gene Expression,603,False,0.6177417,0.44409874,-0.35164887
Trak2,ENSMUSG00000026028,Gene Expression,147,False,0.13094522,0.33797815,-0.28353432
Stradb,ENSMUSG00000026027,Gene Expression,66,True,0.07207518,1.1803601,1.8958164
Tmem237,ENSMUSG00000038079,Gene Expression,93,False,0.058258604,0.016818045,-1.114417
G730003C15Rik,ENSMUSG00000097573,Gene Expression,13,True,0.016771482,0.6996534,0.6521662
Als2,ENSMUSG00000026024,Gene Expression,15,True,0.019223608,1.0203187,1.4817688
Fzd7,ENSMUSG00000041075,Gene Expression,3,False,0.003262956,0.3999082,-0.12331327
Gm973,ENSMUSG00000047361,Gene Expression,3,False,0.005710839,0.8669513,1.0849874
Sumo1,ENSMUSG00000026021,Gene Expression,908,False,1.0894543,0.3054985,-0.508289
Nop58,ENSMUSG00000026020,Gene Expression,569,False,0.60413384,0.5646958,0.11301731
Bmpr2,ENSMUSG00000067336,Gene Expression,9,False,0.012406906,0.565967,0.30630228
Fam117b,ENSMUSG00000041040,Gene Expression,211,False,0.2001535,0.46039158,0.033165004
Wdr12,ENSMUSG00000026019,Gene Expression,211,True,0.2186898,0.5678188,0.31109312
Carf,ENSMUSG00000026017,Gene Expression,41,True,0.05181953,0.70299447,0.66081
Nbeal1,ENSMUSG00000073664,Gene Expression,70,True,0.095724866,1.0926517,1.6689036
Cyp20a1,ENSMUSG00000049439,Gene Expression,151,True,0.10584036,0.7905975,0.88745034
Abi2,ENSMUSG00000026782,Gene Expression,72,False,0.04902014,0.18003872,-0.69214404
Raph1,ENSMUSG00000026014,Gene Expression,102,False,0.06857467,0.23796307,-0.5422863
Cd28,ENSMUSG00000026012,Gene Expression,731,True,0.8909967,1.1298065,1.4944425
Gm11579,ENSMUSG00000086795,Gene Expression,11,True,0.01371109,0.8715699,1.0969363
2310016D23Rik,ENSMUSG00000085965,Gene Expression,5,False,0.0035356898,-0.0072785215,-1.1767579
Ctla4,ENSMUSG00000026011,Gene Expression,146,False,0.10674974,0.30279997,-0.37454483
Icos,ENSMUSG00000026009,Gene Expression,360,True,0.3417437,0.68930215,0.6157158
Nrp2,ENSMUSG00000025969,Gene Expression,6,False,0.0054457765,0.18840331,-0.67050374
Gm4208,ENSMUSG00000100426,Gene Expression,28,True,0.036884956,1.0879505,1.6567408
Ino80d,ENSMUSG00000040865,Gene Expression,293,False,0.26411712,0.52572477,0.06248628
Ino80dos,ENSMUSG00000084799,Gene Expression,6,False,0.006116318,0.6490289,0.5211941
Gm20342,ENSMUSG00000101599,Gene Expression,81,True,0.07795557,0.64657426,0.5148436
Ndufs1,ENSMUSG00000025968,Gene Expression,297,False,0.24923211,0.33040202,-0.30313477
Eef1b2,ENSMUSG00000025967,Gene Expression,1234,False,2.6431642,1.1729244,-0.3361344
Fastkd2,ENSMUSG00000025962,Gene Expression,75,False,0.057155907,0.37959146,-0.17587532
Klf7,ENSMUSG00000025959,Gene Expression,331,True,0.3681907,0.7150508,0.7027995
Creb1,ENSMUSG00000025958,Gene Expression,332,False,0.3185555,0.5052595,-0.006728566
Mettl21a,ENSMUSG00000025956,Gene Expression,83,False,0.07299906,0.39182428,-0.14422746
Ccnyl1,ENSMUSG00000070871,Gene Expression,11,False,0.010835015,0.62097365,0.44861153
Fzd5,ENSMUSG00000045005,Gene Expression,23,False,0.016683668,0.22126992,-0.5854736
Plekhm3,ENSMUSG00000051344,Gene Expression,29,True,0.03325843,0.5737961,0.3265571
Idh1,ENSMUSG00000025950,Gene Expression,42,False,0.033478837,0.34050265,-0.27700314
Pikfyve,ENSMUSG00000025949,Gene Expression,79,False,0.08038112,0.49183023,0.11450084
Map2,ENSMUSG00000015222,Gene Expression,4,False,0.0020149646,0.28083166,-0.43137968
Rpe,ENSMUSG00000026005,Gene Expression,268,False,0.22078167,0.24392498,-0.526862
Kansl1l,ENSMUSG00000026004,Gene Expression,46,True,0.052629333,0.63200355,0.47714728
Acadl,ENSMUSG00000026003,Gene Expression,521,False,0.52096224,0.47380292,-0.11311683
Lancl1,ENSMUSG00000026000,Gene Expression,137,True,0.13208511,0.55424905,0.27598637
Ikzf2,ENSMUSG00000025997,Gene Expression,199,True,0.4895323,2.4483576,6.5649576
Bard1,ENSMUSG00000026196,Gene Expression,140,False,0.08072314,-0.022413542,-1.2159141
Atic,ENSMUSG00000026192,Gene Expression,423,False,0.39982095,0.4295874,-0.2626567
Fn1,ENSMUSG00000026193,Gene Expression,3,False,0.0030684443,0.39686567,-0.13118474
D230017M19Rik,ENSMUSG00000097131,Gene Expression,6,False,0.008058838,0.56105274,0.2935884
Pecr,ENSMUSG00000026189,Gene Expression,27,False,0.026143873,0.4743205,0.06920092
Xrcc5,ENSMUSG00000026187,Gene Expression,163,False,0.14845149,0.30373082,-0.3721366
Smarcal1,ENSMUSG00000039354,Gene Expression,57,False,0.039465316,0.11986348,-0.8478251
Rpl37a,ENSMUSG00000046330,Gene Expression,1289,True,4.3138576,2.3815293,0.35508797
Tns1,ENSMUSG00000055322,Gene Expression,24,False,0.021389863,0.40009743,-0.122823745
Rufy4,ENSMUSG00000061815,Gene Expression,3,True,0.012545719,2.238269,4.6327634
Cxcr2,ENSMUSG00000026180,Gene Expression,20,True,0.024676634,1.2361265,2.0400915
Arpc2,ENSMUSG00000006304,Gene Expression,1218,False,2.2532578,0.8522773,-0.47118065
Aamp,ENSMUSG00000006299,Gene Expression,579,False,0.5760891,0.3446262,-0.7349214
Pnkd,ENSMUSG00000026179,Gene Expression,374,False,0.32827407,0.32796958,-0.60633487
Tmbim1,ENSMUSG00000006301,Gene Expression,51,False,0.03866977,0.29458636,-0.39579448
Slc11a1,ENSMUSG00000026177,Gene Expression,5,False,0.0039234003,0.5912548,0.37172496
Ctdsp1,ENSMUSG00000026176,Gene Expression,425,False,0.40114918,0.3830898,-0.41991457
Usp37,ENSMUSG00000033364,Gene Expression,144,False,0.1086969,0.24157539,-0.5329407
Cnot9,ENSMUSG00000026174,Gene Expression,214,False,0.16672064,0.3396638,-0.27917334
Zfp142,ENSMUSG00000026135,Gene Expression,79,False,0.067164645,0.32098082,-0.32750863
Bcs1l,ENSMUSG00000026172,Gene Expression,84,False,0.08863602,0.5173024,0.18040062
Rnf25,ENSMUSG00000026171,Gene Expression,70,False,0.0728024,0.45831567,0.027794356
Ttll4,ENSMUSG00000033257,Gene Expression,35,False,0.031976923,0.41602167,-0.08162567
Nhej1,ENSMUSG00000026162,Gene Expression,69,False,0.041157674,-0.0086517995,-1.1803107
Cnppd1,ENSMUSG00000033159,Gene Expression,406,False,0.38546276,0.40537634,-0.34454006
Retreg2,ENSMUSG00000049339,Gene Expression,303,True,0.27657744,0.5790547,0.24285167
Zfand2b,ENSMUSG00000026197,Gene Expression,273,False,0.2380388,0.30966613,-0.35678118
Abcb6,ENSMUSG00000026198,Gene Expression,31,False,0.022095967,0.11821718,-0.85208434
Atg9a,ENSMUSG00000033124,Gene Expression,67,False,0.06517063,0.4594923,0.030838437
Ankzf1,ENSMUSG00000026199,Gene Expression,65,True,0.0721177,0.57937914,0.34100118
Glb1l,ENSMUSG00000026200,Gene Expression,7,False,0.0055760927,0.15151279,-0.76594424
Stk16,ENSMUSG00000026201,Gene Expression,366,False,0.3374818,0.31575996,-0.6476286
Tuba4a,ENSMUSG00000026202,Gene Expression,587,True,0.6516636,0.60910815,0.28414032
Dnajb2,ENSMUSG00000026203,Gene Expression,38,True,0.055145174,0.58849066,0.36457387
Dnpep,ENSMUSG00000026209,Gene Expression,301,False,0.27973402,0.39846158,-0.36792624
Gmppa,ENSMUSG00000033021,Gene Expression,181,False,0.1623006,0.46119067,0.03523235
Chpf,ENSMUSG00000032997,Gene Expression,136,False,0.09579031,0.12134871,-0.84398264
Obsl1,ENSMUSG00000026211,Gene Expression,3,False,0.0011329165,-0.4224671,-2.2509043
Tmem198,ENSMUSG00000051703,Gene Expression,7,False,0.005401555,0.13404346,-0.8111397
Stk11ip,ENSMUSG00000026213,Gene Expression,48,True,0.04715337,0.5455725,0.2535391
Farsb,ENSMUSG00000026245,Gene Expression,306,False,0.27493,0.30836427,-0.6726413
Mogat1,ENSMUSG00000012187,Gene Expression,11,True,0.014028505,0.6717643,0.5800135
Acsl3,ENSMUSG00000032883,Gene Expression,28,True,0.043392822,1.025278,1.494599
Utp14b,ENSMUSG00000079470,Gene Expression,9,False,0.0098405285,0.6106881,0.42200145
Ap1s3,ENSMUSG00000054702,Gene Expression,126,False,0.09886608,0.24802352,-0.51625854
Wdfy1,ENSMUSG00000073643,Gene Expression,78,False,0.0690829,0.48920584,0.1077112
Mrpl44,ENSMUSG00000026248,Gene Expression,256,False,0.21518838,0.2550173,-0.49816474
Serpine2,ENSMUSG00000026249,Gene Expression,10,False,0.004944054,-0.051232763,-1.2904731
Fam124b,ENSMUSG00000043230,Gene Expression,6,False,0.005244592,0.42227858,-0.06543824
Cul3,ENSMUSG00000004364,Gene Expression,362,False,0.32338095,0.4476068,-0.20171385
Dock10,ENSMUSG00000038608,Gene Expression,680,False,0.70841825,0.54074883,0.020748593
Rhbdd1,ENSMUSG00000026142,Gene Expression,42,False,0.039306674,0.40028486,-0.12233885
Col4a4,ENSMUSG00000067158,Gene Expression,10,False,0.0054033482,0.644111,0.5084708
Mff,ENSMUSG00000026150,Gene Expression,556,False,0.5426207,0.31628376,-0.84412616
Agfg1,ENSMUSG00000026159,Gene Expression,346,True,0.34287947,0.5893608,0.27770746
Trip12,ENSMUSG00000026219,Gene Expression,460,True,0.43944997,0.7236971,0.7320419
Fbxo36,ENSMUSG00000073633,Gene Expression,19,False,0.01759935,0.29859993,-0.38541088
C130026I21Rik,ENSMUSG00000052477,Gene Expression,95,True,0.1423029,0.7630903,0.81628567
A530032D15Rik,ENSMUSG00000089844,Gene Expression,9,True,0.015320539,0.74178904,0.7611765
A530040E14Rik,ENSMUSG00000072109,Gene Expression,18,False,0.021451656,0.41037178,-0.09624267
Sp110,ENSMUSG00000070034,Gene Expression,870,True,1.014041,0.7119153,0.30761212
Gm16094,ENSMUSG00000090103,Gene Expression,3,False,0.004290544,0.492614,0.11652856
Sp140,ENSMUSG00000070031,Gene Expression,389,False,0.4083795,0.48493934,-0.07545275
Sp100,ENSMUSG00000026222,Gene Expression,1002,False,1.2840022,0.77226794,0.011478625
A630001G21Rik,ENSMUSG00000052760,Gene Expression,206,False,0.17870434,0.4176218,-0.07748596
Cab39,ENSMUSG00000036707,Gene Expression,554,False,0.53495413,0.43833688,-0.3738496
Itm2c,ENSMUSG00000026223,Gene Expression,472,True,0.4879478,0.7741542,0.902691
Gm28884,ENSMUSG00000099767,Gene Expression,12,False,0.007901807,-0.082121685,-1.3703867
Gpr55,ENSMUSG00000049608,Gene Expression,63,False,0.03979027,0.023862433,-1.0961922
Psmd1,ENSMUSG00000026229,Gene Expression,404,False,0.38849324,0.45190296,-0.18718398
Armc9,ENSMUSG00000062590,Gene Expression,17,True,0.020783003,0.61747843,0.43956894
Ncl,ENSMUSG00000026234,Gene Expression,1136,False,1.7398713,0.72456294,-0.28213212
Ptma,ENSMUSG00000026238,Gene Expression,1271,True,3.072186,2.370818,0.32534656
Pde6d,ENSMUSG00000026239,Gene Expression,159,True,0.17725642,0.53258806,0.21994662
Cops7b,ENSMUSG00000026240,Gene Expression,121,False,0.109481305,0.41539836,-0.08323827
Dis3l2,ENSMUSG00000053333,Gene Expression,85,True,0.0763281,0.5338091,0.22310567
Prss56,ENSMUSG00000036480,Gene Expression,6,False,0.001218423,-0.6121636,-2.7416737
Eif4e2,ENSMUSG00000026254,Gene Expression,719,False,0.8242839,0.50863975,-0.26969984
Gigyf2,ENSMUSG00000048000,Gene Expression,278,True,0.2687137,0.5687274,0.20792393
Kcnj13,ENSMUSG00000079436,Gene Expression,3,False,0.0030490055,0.40440866,-0.111670025
Inpp5d,ENSMUSG00000026288,Gene Expression,254,False,0.23713374,0.45362052,0.015647404
Atg16l1,ENSMUSG00000026289,Gene Expression,153,False,0.1447982,0.5129932,0.16925222
Sag,ENSMUSG00000056055,Gene Expression,64,False,0.059861958,0.3327839,-0.2969725
Dgkd,ENSMUSG00000070738,Gene Expression,239,True,0.247885,0.58640665,0.35918224
Usp40,ENSMUSG00000005501,Gene Expression,78,True,0.08405259,0.5378335,0.23351727
Dnajb3,ENSMUSG00000081984,Gene Expression,6,False,0.004665328,0.0775126,-0.95739233
Hjurp,ENSMUSG00000044783,Gene Expression,322,False,0.30043373,0.49551836,-0.039673805
Glrp1,ENSMUSG00000062310,Gene Expression,7,False,0.0086595295,0.4167651,-0.07970235
Gm29336,ENSMUSG00000100367,Gene Expression,33,False,0.033261187,0.30492106,-0.3690573
