,P9_A-vs-C,P9_C-vs-A,P3_A-vs-C,P3_C-vs-A,P4_A-vs-C,P4_C-vs-A,P5_A-vs-C,P5_C-vs-A,P6_A-vs-C,P6_C-vs-A,P2_A-vs-C,P2_C-vs-A,P7_A-vs-C,P7_C-vs-A
18,Cxcr3,,Klrg1,Cd226,Itgax,,Il17ra,Lag3,Lair1,Cd9,Cd164,,,Pdcd1
19,Cd247,,Itgax,Cxcr6,Lair1,,Dpp4,Tnfrsf9,Itpr3,Cd226,Cd6,,,Lgals9
20,Il18rap,,Il21r,Lag3,Tnfrsf13c,,Il10rb,Cd9,Tnf,Slamf6,Adgre5,,,Nrp1
21,Klrc2,,Cd96,Slamf6,Tnf,,Itgam,Nrp1,Tnfsf9,Lag3,S1pr1,,,Jaml
22,Adgre5,,Fasl,Cd160,Fas,,Itpr3,Tnfrsf1b,Il7r,Pdcd1,Slamf7,,,Pecam1
23,Ccr5,,Il10rb,Cd9,Tnfsf10,,Tnf,Jaml,Cd24a,Jaml,Cebpb,,,Cxcr4
24,S1pr1,,Cd7,Cd44,Ly6k,,Il12rb1,Cd274,Itga2,Tnfrsf18,Klrd1,,,Tnfrsf9
25,Itgax,,Lair1,Pdcd1,Nt5e,,Abcb1a,Pecam1,Nt5e,Nrp1,Adam10,,,Tnfrsf1b
26,Lamp1,,Itpr3,Tnfrsf18,Trdv1,,Tnfrsf23,Tnfrsf13b,Itgae,Tnfrsf1b,Ccr2,,,Tnfrsf4
27,Il7r,,Abcb1a,Cxcr4,Trdv5,,Cd151,Il1rl1,,Crtam,Ccr5,,,Tnfrsf25
28,Cd96,,Fas,Jaml,,,Il6ra,Tnfrsf4,,Cxcr4,Vsir,,,Tnfrsf13b
29,Klrg1,,Tnfsf10,Tnfrsf9,,,Vpreb1,Epcam,,Tnfrsf13b,Adam17,,,Il1rl1
30,Igkc,,Tnf,Nrp1,,,,,,Pecam1,Icam2,,,Adam17
31,Fasl,,Itga2,Tnfrsf1b,,,,,,Cd72,Notch1,,,Cd68
32,Ifnar1,,Fcgr2b,Alcam,,,,,,Il1rl1,Klrg1,,,Cd200
33,Cx3cr1,,Il6ra,Crtam,,,,,,Tnfsf8,Lair1,,,Ptprj
34,Icam2,,,Pecam1,,,,,,,Il7r,,,Pdcd1lg2
35,Adam17,,,Cd274,,,,,,,Tnf,,,Ccr6
36,Fas,,,Tnfrsf13b,,,,,,,Itgax,,,Cd22
37,Cd55,,,Il1rl1,,,,,,,Ptprj,,,Tnfrsf13c
38,Cd86,,,Sema7a,,,,,,,Cd79b,,,Tigit
39,Ly75,,,Btla,,,,,,,Itpr3,,,Ighd
40,Lair1,,,Tnfsf8,,,,,,,Tnfrsf13c,,,Cd200r1
41,Abcb1a,,,Ccr9,,,,,,,Tnfrsf1a,,,Il23r
42,Mvp,,,Il6st,,,,,,,Cd1d1,,,Ly6k
43,Tnfsf10,,,Klrb1c,,,,,,,Pvr,,,Trdv1
44,Cd68,,,Tnfrsf4,,,,,,,Abcb1a,,,Icosl
45,Il4ra,,,Pdcd1lg2,,,,,,,Itga1,,,
46,Klrb1c,,,Cd244a,,,,,,,Lepr,,,
47,Lilrb4a,,,Cd200,,,,,,,Trgv2,,,
48,Cd38,,,Cd40lg,,,,,,,Tnfrsf10b,,,
49,Tnfsf14,,,Tnfrsf25,,,,,,,Cd151,,,
50,Tnf,,,Cd83,,,,,,,Nt5e,,,
51,Gypc,,,Cd200r1,,,,,,,Tlr2,,,
52,Cd101,,,Itga3,,,,,,,Klra3,,,
53,Sell,,,,,,,,,,Fcgr2b,,,
54,Ccr7,,,,,,,,,,Tlr6,,,
55,Tlr1,,,,,,,,,,Tlr1,,,
56,Klra3,,,,,,,,,,Ccr3,,,
57,Cd40lg,,,,,,,,,,Nectin2,,,
58,Tnfrsf23,,,,,,,,,,,,,
59,Insr,,,,,,,,,,,,,
60,Cd46,,,,,,,,,,,,,
61,Ddr1,,,,,,,,,,,,,
62,H2-Eb1,,,,,,,,,,,,,
63,Tnfrsf12a,,,,,,,,,,,,,
64,Treml2,,,,,,,,,,,,,
65,Trdv5,,,,,,,,,,,,,
66,Tnfrsf10b,,,,,,,,,,,,,
67,Itga3,,,,,,,,,,,,,
68,Tlr6,,,,,,,,,,,,,
69,Il6ra,,,,,,,,,,,,,
70,Fcgr3,,,,,,,,,,,,,
71,Cd24a,,,,,,,,,,,,,
72,Ccr3,,,,,,,,,,,,,
73,H2-Ab1,,,,,,,,,,,,,
74,Cd244a,,,,,,,,,,,,,
75,Bmpr1a,,,,,,,,,,,,,
76,Vpreb1,,,,,,,,,,,,,
77,Cxcr5,,,,,,,,,,,,,
78,Icosl,,,,,,,,,,,,,
79,Ly6c1,,,,,,,,,,,,,
80,Klra6,,,,,,,,,,,,,
81,Cd200r1,,,,,,,,,,,,,
82,Klra9,,,,,,,,,,,,,
83,Csf2ra,,,,,,,,,,,,,
84,Lepr,,,,,,,,,,,,,
85,Itgae,,,,,,,,,,,,,
86,Ighd,,,,,,,,,,,,,
