,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
23,Icam1,Ptprj,Igsf8,Itgb1,Il7r,Igsf8,Cd24a,Cd320,Pecam1,Klra3,Tnfrsf12a
24,Klrk1,Cd244a,Ifitm1,Cd82,Ly75,Cd9,Tnfrsf9,Tnfrsf9,Pdcd1lg2,Cd47,S1pr1
25,Dpp4,Slamf1,Pdcd1,Notch3,Cd27,Cebpb,Vpreb1,Bst1,Cd7,Sema7a,Cxcr4
26,Slc3a2,Lag3,Cd160,Klra9,Ly6d,Pdcd1,Ly6e,Cxcr3,Trbc1,Adam8,Treml2
27,Cd101,Cd44,Tfrc,Cd37,Ly6c1,Cd160,Slamf7,Cd14,Tnfrsf25,Pdcd1,Igf1r
28,Tnfrsf25,Il12rb1,Cd79b,Ccr2,Cd37,Tfrc,Cxcr3,Tnfrsf4,Cd200r1,Bst2,Cebpb
29,Itgb1,Ctla4,Bsg,Cx3cr1,Tlr6,Bsg,Tnf,Tnf,Btla,Tigit,Nt5e
30,Abcb1a,Cd28,,Fasl,Itgae,,Itgam,Cxcr4,Itgb1,Alcam,Bst2
31,Cx3cr1,Sema4d,,Cd1d1,Notch1,,Cd47,Ly6a,Tlr1,Il2rb,Eng
32,Itga6,Tnfrsf9,,Cd226,Il21r,,Ly6a,Sema7a,Il1rl1,Klrb1c,Cd55
33,Selplg,Selplg,,Lair1,Cd72,,Sema7a,Tnfrsf13c,Epcam,Klrk1,Il4ra
34,Ptprc,Cd69,,Tnfrsf13b,Ighm,,Tnfrsf13c,Lgals3,Cd27,Pecam1,Klra6
35,Pvr,Ly6e,,Selplg,Cd53,,Adam8,Igsf8,Ccr6,Pdcd1lg2,
36,Cd8a,Entpd1,,Slamf7,Cd3d,,Lgals3,Cd22,Cxcr5,Cd80,
37,Cd55,Cd151,,Itgb2,S1pr1,,Icam2,Cebpb,Lag3,Btla,
38,Cd164,Slamf7,,Ptprc,Cd8b1,,Cd9,Pdcd1,Cd44,Il1rl1,
39,Cd38,Cxcr3,,Cd6,Treml2,,Ifitm1,Cd160,Ctla4,Itgav,
40,Thy1,Itgb2,,Klrc1,Igf1r,,Pdcd1,Cd81,Cd226,Ptprc,
41,Cd84,Klrc1,,Itgam,Cd3g,,Cd160,Bst2,Cd28,Nrp1,
42,Lgals9,S1pr1,,Klra3,Cd8a,,Cd79b,Tnfrsf8,Icam4,Tnfrsf1b,
43,Il18rap,Ifngr1,,Klrc2,Ly6k,,Bsg,Bsg,Tnfrsf13b,Cd38,
44,Cd5,Cxcr4,,Itga1,Eng,,,,Tnfrsf23,Havcr2,
45,Jaml,Nrp1,,Icosl,Cd55,,,,Cd320,Cd84,
46,Itgax,Klrc2,,Adam17,Il4ra,,,,Cd274,Il18rap,
47,Cd86,Cd47,,Cd8b1,Plaur,,,,Izumo1r,Jaml,
48,Cd82,Ly6a,,Itgal,,,,,Cd72,Itgax,
49,Fasl,Sema7a,,Cd8a,,,,,Cd69,Cd86,
50,Cd28,Adam17,,Cd52,,,,,Ly6e,Cd82,
51,Cxcr3,Icam2,,Adgre5,,,,,Ighm,Itga1,
52,Cd6,Lgals3,,Notch2,,,,,Lamp2,Lgals3,
53,Klrc2,Igsf8,,Cd2,,,,,Cd3d,Cd2,
54,Crtam,Cd9,,Tnfrsf1a,,,,,Cxcr3,Ptprcap,
55,Itga1,Ifitm1,,Il2rg,,,,,Cd6,Itga4,
56,Cd2,Pdcd1,,,,,,,Tnfrsf4,Igkc,
57,Ptprcap,Cd160,,,,,,,Tnfsf13b,Spn,
58,Itga4,Cd2,,,,,,,Plxnc1,Il3ra,
59,Igkc,Bsg,,,,,,,Cxcr4,Adam10,
60,Atp1b3,,,,,,,,Crtam,Tnfsf14,
61,Ifnar1,,,,,,,,Ly6a,Cd27,
62,Spn,,,,,,,,Slamf6,Cd44,
63,Lamp1,,,,,,,,Cd9,Cd37,
64,Vsir,,,,,,,,Cd22,Ctla4,
65,Tnfsf14,,,,,,,,Cd3g,Sema4d,
66,Klrg1,,,,,,,,Nt5e,Tnfrsf13b,
67,Il7r,,,,,,,,Cd52,Ly6e,
68,Cd27,,,,,,,,Pdcd1,Entpd1,
69,Cd44,,,,,,,,Cd160,Cd53,
70,Cd37,,,,,,,,Cd81,Tnfrsf4,
71,Ccr2,,,,,,,,Bst2,Il10ra,
72,Ctla4,,,,,,,,Il2rg,Ly6a,
73,Sema4d,,,,,,,,Nrp1,Itgal,
74,Cd69,,,,,,,,,Cd3g,
75,Il10rb,,,,,,,,,Cd52,
76,Ly6e,,,,,,,,,Adgre5,
77,Cd53,,,,,,,,,,
78,Itgb2,,,,,,,,,,
79,Ly6a,,,,,,,,,,
80,Itgal,,,,,,,,,,
81,Cd8b1,,,,,,,,,,
82,Cd3g,,,,,,,,,,
83,Cd52,,,,,,,,,,
84,Adgre5,,,,,,,,,,
