gene_name,Ctrl_vs_Chd7,Chd7_vs_Ctrl
Dydc1,,
Vmn1r93,,
Selenbp1,,
Hspd1-ps3,,
Klk1b14-ps,,
Ugt2a2,,
Tsn,0.999,0.999
Atp5mpl,0.999,0.999
Adh7,,
Ksr2,0.999,0.999
Gm49478,,
Srsf9,0.999,0.999
Ldlrad4,0.999,0.999
Pgm5,,
Olfr304,,
Gm7707,,
Myom2,0.881,0.881
Zfp986,,
Dlg3,0.999,0.999
Gm13287,,
Gm12042,0.999,0.999
Mvb12b,0.984,0.984
Gm42924,,
Gm29800,,
Gm10181,,
Gm11743,0.999,0.999
Grin2d,0.999,0.999
Gm8649,,
Gm16490,,
Gid8,0.999,0.999
Olfr460,,
Prrg1,0.999,0.999
AC133103.3,,
Zcrb1,0.999,0.999
Gm18691,,
Gm46203,,
Gm11996,,
Olfr1556-ps1,,
Vps37a,0.999,0.999
Gm43959,,
Gm28185,,
Gm11258,,
4930513O06Rik,,
Gp5,0.999,0.999
Srek1ip1,0.999,0.999
Virma,0.999,0.999
Ube2j2,0.999,0.999
Olfr752-ps1,,
Gm15167,,
Mn1,,
Gm44419,,
Gm45234,,
Snip1,0.999,0.999
Tspy-ps,,
Ins2,,
Cntln,0.999,0.999
Cltc,0.999,0.999
Tmem127,0.999,0.999
Gm48288,,
Gm21869,,
Ighv5-5,,
Gm48258,,
Gm10769,,
Ifi203,0.999,0.999
Ccdc159,,
Gm18658,,
Iqcj,,
Zfp579,1.0,1.0
Rnf166,0.999,0.999
Tmie,,
Fabp6,,
Dock9,0.904,0.904
Cnot6,0.837,0.837
Gm4889,,
Gm4076,,
Gm41434,,
Gm12830,,
Ubap1l,0.999,0.999
Gsta2,,
Bace1,0.772,0.772
Ighv1-63,,
Gm14840,,
Gm18115,,
Olfr928-ps1,,
Adpgk,0.999,0.999
Clec2l,,
Dcbld1,0.999,0.999
Gm11868,,
Olfr1134,,
Zp2,,
Gm5027,,
Gm15136,,
Nsun7,0.999,0.999
Gm28624,,
Egf,0.999,0.999
Cep170b,0.999,0.999
Gm7436,,
Klk1b24,,
Gli1,,
Gm2736,,
Gm48652,,
Akirin2,0.999,0.999
Sp140,0.999,0.999
Gm28615,,
Tubb4a,0.999,0.999
Cd2bp2,0.999,0.999
Gm6345,,
Elfn2,,
Mlec,0.999,0.999
Gm21834,,
Taar4,,
Parvb,0.999,0.999
Gm2244,,
Slc25a22,0.844,0.844
Gm44807,,
Pcsk2,0.999,0.999
Tcrg-C3,,
Ncapg2,0.999,0.999
Gm43124,,
Gm44112,,
Vmn2r-ps45,,
Vmn1r-ps58,,
Nr1h2,0.999,0.999
Stk24,0.837,0.837
Cbx3-ps3,,
Gm39481,,
Gpn3,0.999,0.999
Gm16061,,
Gm48108,,
Gm12187,,
Gm21841,,
Rsph9,0.999,0.999
Gm18357,,
Fyn,0.999,0.999
Gm49255,,
Ighv6-7,,
Rps12-ps22,,
Gbp2,0.999,0.999
Plekhm2,0.772,0.772
Atxn1l,0.999,0.999
Pip4p1,0.995,0.995
Gm4759,0.999,0.999
Il18bp,0.966,0.966
Rnf122,0.999,0.999
Gm21249,,
Sp7,,
Olfr1288,,
Ptprcap,0.999,0.999
Msl1,0.999,0.999
Gm28435,,
Gm6479,,
Gm19057,,
Gm11858,,
Sp100,0.999,0.999
Mettl26,0.999,0.999
Gm6855,,
Sox12,,
Olfr576,,
IQCF2,,
Gm16167,,
Psmd6,0.999,0.999
Gm47748,,
Nin,0.999,0.999
Atxn2,0.863,0.863
Wdr53,0.999,0.999
Gm5958,,
Dhx36,0.999,0.999
Gm21940,,
Cyp2b13,,
Gm15765,,
Pla2g4e,0.999,0.999
Tubgcp3,0.999,0.999
Scrt1,,
Gm18692,,
Urah,,
Gm50085,,
AC127331.5,,
Ptpmt1,0.999,0.999
Aldh5a1,0.999,0.999
Cdo1,0.999,0.999
Gm49884,,
Kcnv1,,
Gm9560,,
Fkbp1a-ps3,,
Gm14567,0.999,0.999
Prss43,0.999,0.999
Gm44525,,
Ric3,,
Gm11522,,
Wdr47,0.999,0.999
Gm27179,,
Cep350,0.999,0.999
Olfr815,,
Gpr31b,,
Rtf2,0.999,0.999
Gm10053,0.999,0.999
Ap1g2,0.999,0.999
Nkd2,0.999,0.999
Gm21310,,
Gm38697,,
Gm14752,,
Gm8039,,
Nepn,,
Ssh3,0.348,0.348
Gm47994,,
Nt5c3b,0.999,0.999
Olfr292,,
Selenow,0.999,0.999
Gm12696,,
Rps13-ps4,0.999,0.999
Cd8a,0.999,0.999
A4galt,,
Fam57a,0.999,0.999
Dcstamp,,
Gm16378,,
Gm14998,,
Clrn1,0.999,0.999
Ybey,0.999,0.999
Pdpn,,
Gm8232,,
Gm9249,,
Rpl31-ps1,,
Vmn2r126,,
Gm20691,,
Olfr971,,
Ear-ps10,,
Tmbim7,,
Nme3,0.999,0.999
Gm29120,,
Dock7,0.999,0.999
Ralgapa2,0.999,0.999
Olfr960,,
Gprc6a,,
Gm13146,,
Ankrd16,0.999,0.999
Alppl2,,
Olfr694,,
Olfr478,,
Ctsl,0.999,0.999
1700001L19Rik,,
Arhgap25,0.999,0.999
AC162463.2,,
Crppa,0.999,0.999
Gm20861,,
Zfp973,0.999,0.999
D17H6S53E,0.671,0.671
Ccdc150,,
Nemp2,0.984,0.984
Rps3a1,0.999,0.999
Hck,0.999,0.999
Olfr70,,
Rps6ka3,0.999,0.999
Dnmt3c,,
Cldn12,0.999,0.999
Atp13a4,,
Olfr874,,
Hmgb1-rs17,,
Vmn2r77,,
Gm18012,,
Serpinb9,0.999,0.999
Zdhhc25,,
Atp6v0c-ps2,,
Slc22a14,,
Ccdc62,0.999,0.999
Gm1982,,
Spag6,,
Tepsin,0.999,0.999
Gm4064,,
Atp2a2,0.999,0.999
Slc15a2,0.999,0.999
Gm5754,,
1810009A15Rik,0.999,0.999
Cd14,,
Gm6461,,
Ripk4,,
Gm18146,,
Tm6sf1,0.999,0.999
Rax,,
Dclk1,0.947,0.947
Arf4,0.999,0.999
Setmar,0.999,0.999
Enpp4,0.999,0.999
Gm21907,,
AW822073,,
Rbm8a,0.999,0.999
Hbb-bh2,,
Psd3,0.999,0.999
Aass,,
Gm15181,,
Cebpg,0.851,0.851
Gm5446,,
Fgf23,,
Gm17304,,
Pzp,,
Ighv6-6,,
Pip4k2a,0.999,0.999
Erbin,0.999,0.999
AC127331.2,,
Olfr613,0.999,0.999
Gm7804,,
Osbp2,,
Olfr1209,0.999,0.999
Oxgr1,,
Akap14,,
Il1f8,,
Gm35843,,
Cmtm4,0.999,0.999
Ppib,0.999,0.999
Gm17938,,
Hoxc8,,
Chmp4c,0.999,0.999
Ccdc138,0.999,0.999
Zfp14,0.999,0.999
Ccdc47,0.999,0.999
Elp1,0.882,0.882
Sema3e,0.999,0.999
Vmn1r79,,
Csgalnact1,,
AC124578.2,,
Gm6069,,
Mdh1b,,
Nckipsd,0.999,0.999
Ndufb9,0.999,0.999
Gm8812,,
Gm44551,,
Gm42474,,
Gm14628,,
Pla2g12b,,
Gm19267,,
Hmgxb4,0.999,0.999
Slitrk1,,
Gm13215,,
Ripor3,0.999,0.999
Gm12313,,
Gm9192,,
Ptk2,0.999,0.999
Gm18642,,
Ltbp1,0.999,0.999
Sgk2,,
Mob3c,0.999,0.999
Gm47094,,
Il7,,
Gm47462,,
Elavl1,0.999,0.999
Cetn2,0.999,0.999
Gm48145,,
Dgat1,0.999,0.999
Gm13398,,
Gm45785,,
Gng2,0.999,0.999
Sema6c,0.999,0.999
Car10,0.999,0.999
Ube2l6,0.999,0.999
Stk19,0.999,0.999
AC165327.1,,
Mrc2,,
Sh2d1b1,,
Rorc,,
Slc34a3,,
Olfr1015,,
Gm7488,0.999,0.999
Sh3gl2,0.999,0.999
Obox4-ps33,,
Gm4451,,
4932414N04Rik,0.999,0.999
Gm9855,,
Gm21182,,
Gm7896,0.999,0.999
Lonrf3,0.999,0.999
Gm20128,,
Sptbn5,0.999,0.999
Gm15004,,
Mast2,0.999,0.999
Vmn2r-ps122,,
Retnlb,,
Osr2,,
Gm48248,,
Pcdhgc3,0.863,0.863
Tom1l1,,
Best1,0.999,0.999
Gm5764,,
Olfr727,0.999,0.999
Gm6356,,
Scaf11,0.999,0.999
Gm45815,,
Tenm2,,
Gm5255,,
Zscan4b,,
Gm5300,,
Tchh,,
Gm7675,,
Gm13023,,
Slc22a7,,
Olfr202,,
Arsi,,
Gm29605,,
Olfr1353,,
Pum2,0.242,0.242
Klf17,,
Camkv,,
Smok3a,,
Gm45013,,
Asb7,0.999,0.999
Tgfbr3,0.999,0.999
Caln1,0.999,0.999
Gm43555,,
Stambp,0.999,0.999
Spata3,,
Gm11260,,
Gm49053,,
Nr0b2,,
Gm13864,,
Gm15544,,
Gm15187,,
Gphn,0.999,0.999
Foxd3,,
Zdhhc4,0.999,0.999
Gm18482,,
Cldn18,,
Sel1l3,0.999,0.999
Otop2,,
Yod1,0.999,0.999
Bola1,0.999,0.999
Gm37944,,
Olfr536,0.999,0.999
Usp34,0.999,0.999
Rps4x-ps,,
Ecpas,0.999,0.999
Gm6039,,
Gm3726,,
Gas2l2,,
Pak3,,
Gm11107,,
Defa34,,
Rnf167,0.999,0.999
Sirt4,0.999,0.999
Fam57b,,
Obox3,,
Foxk1,0.999,0.999
Trbv28,,
Myh7b,,
Olfr883,,
Gm47740,,
Gm13756,,
Pecam1,0.999,0.999
Pcp4,,
Mab21l2,,
Alg8,0.938,0.938
Olfr540-ps1,,
4930578G10Rik,0.999,0.999
Gm15069,,
Aurkb,0.999,0.999
Dbn1,,
Gm6490,,
AW549877,0.999,0.999
C9orf72,0.999,0.999
Trim12c,0.999,0.999
Sirt2,0.999,0.999
Gm7898,,
Igkv13-87,,
Pi16,0.999,0.999
Syce1l,,
Rassf5,0.999,0.999
Gm15188,,
Gm15789,0.999,0.999
Tmem254c,0.999,0.999
B3gat1,,
Tmem67,0.999,0.999
Lect2,,
Gm18508,,
Zcchc10,0.999,0.999
Triap1,0.999,0.999
C1qbp,0.999,0.999
Doc2g,0.999,0.999
Mtss1l,,
Gm8582,,
Gm17851,,
Gm13586,,
Gm5116,,
Col1a2,0.999,0.999
Gm48361,,
Gm14122,,
Tcfl5,,
D9Wsu149,,
Gm6797,,
Prrg4,0.39,0.39
Vmn1r238,,
Tnrc6c,0.999,0.999
Rps12-ps16,,
Prima1,,
Ap3b1,0.999,0.999
Gm12713,0.999,0.999
Xkr8,0.999,0.999
Med15,0.999,0.999
Sidt1,0.999,0.999
Shox2,,
Slc36a1,0.999,0.999
Vmn1r20,0.999,0.999
Gm28341,,
Efhb,0.999,0.999
Vmn2r-ps13,,
Gm44634,,
Stx18,0.999,0.999
Gm45688,,
Hivep2,0.999,0.999
Gm18631,,
Gm14890,,
Cyp4v3,0.915,0.915
Gm8251,0.999,0.999
1700020A23Rik,,
Gm7255,,
Atp2b1,0.999,0.999
Gm15937,0.999,0.999
Gm20915,,
Gm47632,0.999,0.999
Gm28923,,
Gm47044,,
H2afz,1.0,1.0
Gm38432,,
Gbp2b,,
Pcdhga1,,
Ptma,0.999,0.999
Gm12892,,
Gm27037,,
Atp2a1,0.999,0.999
Gm12917,0.999,0.999
Gm9104,,
Cmtm8,0.999,0.999
Pgam2,,
Triqk,,
Gm7027,0.999,0.999
Gm15010,,
Fbxo7,0.446,0.446
AL844494.2,,
Ifnz,,
Gm43985,,
Gm14537,,
Traj60,0.999,0.999
Svs6,,
Cldn34a,,
Rpl19,0.999,0.999
Ehd4,0.999,0.999
Gm5297,,
Gm12338,0.999,0.999
Zfp407,0.999,0.999
Gm7733,,
Ggn,,
Klf8,0.999,0.999
Ttc17,0.999,0.999
Nutf2,0.999,0.999
AC133103.7,,
Gm7153,,
Gm9317,,
Cluap1,0.999,0.999
Rnf145,0.869,0.869
Tpp1,0.999,0.999
Gm12190,,
Gm27245,,
4930474N05Rik,0.999,0.999
Psmd12,0.999,0.999
Cpsf1,0.999,0.999
AC122252.4,,
Gm44743,,
Olfr414,0.999,0.999
Nkg7,0.999,0.999
Vwf,0.999,0.999
Gm37104,,
Rpgrip1l,0.7,0.7
Gm6472,0.999,0.999
Gm14657,,
L3mbtl2,0.999,0.999
Mbd1,0.999,0.999
Pmis2,,
Dcaf8,0.999,0.999
Gm6074,,
1700017D01Rik,0.999,0.999
Gm597,,
Gm3076,,
Gm11255,,
Wdfy2,0.999,0.999
Gm5513,,
Gm43531,,
Alox12,0.999,0.999
Pbx2,0.999,0.999
Klf9,0.999,0.999
Meiob,,
Extl1,0.999,0.999
Gp2,,
Gm14510,,
Zfp846,0.999,0.999
Tdrd6,,
Gm45192,,
Gpx4,0.999,0.999
Vmn1r186,,
Gm14020,,
Gm15670,,
Fnd3c2,,
Bnip3,0.999,0.999
Mpp6,0.999,0.999
Akap8l,0.999,0.999
Nipal1,0.999,0.999
Mrgprc7-ps,,
Map2,,
Gm44059,,
Mgat4d,,
Nkain1,,
Fbxw25,,
Gm6973,,
Gm37832,,
Olfr737-ps1,,
Gm28530,0.999,0.999
Mpv17l2,0.999,0.999
Gm8224,,
Gm42642,,
Srp9,0.999,0.999
Gm45252,,
Gm19936,,
Cbx3-ps4,,
Ighv8-5,,
Slitrk5,,
1300017J02Rik,,
Gm14613,,
Zfp51,0.999,0.999
Gm21524,,
Zfp39,0.999,0.999
Krt28,,
Inava,,
Olfr498,,
Spag17,,
Nmnat1,0.999,0.999
Gm49561,,
Tcrg-C4,0.999,0.999
Uqcc3,0.999,0.999
Ccdc172,,
Cer1,,
Olfr1398-ps1,,
Gm19254,,
Ect2,0.999,0.999
Pradc1,0.999,0.999
Slc14a2,,
AC124383.1,,
Pnkd,0.39,0.39
Gm47581,,
Gm6166,,
Gm47506,,
Ppp1r12b,0.999,0.999
Gm38203,,
Tfpi,0.999,0.999
Gm15021,,
Skint1,,
Klra8,0.999,0.999
Hist1h2ah,0.999,0.999
Gm49720,,
Gm12638,,
Cdcp1,0.999,0.999
Ccdc113,,
AC122861.1,,
Pip5k1c,0.999,0.999
Gm6468,,
Cstb,0.999,0.999
Gm12163,,
Thap2,0.999,0.999
Arl10,0.999,0.999
Adamts17,,
Vmn1r-ps23,,
Paqr5,0.999,0.999
Spata31d1a,0.772,0.772
Ly9,0.999,0.999
1700019N19Rik,,
Sars2,0.999,0.999
Igkv13-85,,
Gm15808,,
Adora1,,
Twsg1,0.999,0.999
Tent4a,0.999,0.999
Vim,0.999,0.999
B230207O21Rik,,
Gm47768,,
Gm15293,,
Gm6171,,
Rbm11,0.999,0.999
Gm12161,0.999,0.999
Tcf3,0.999,0.999
Gm9775,,
Pdcd6,0.999,0.999
Gm20825,,
Chrnb3,,
Gm3810,,
Timm17b,0.999,0.999
C2cd4d,,
Trav5d-3,,
Htatsf1,0.999,0.999
Axin1,0.999,0.999
Schip1,,
Prpf38b,0.999,0.999
Nxnl1,,
Spi1,,
Exoc7,0.999,0.999
Acta2,,
Hic2,0.999,0.999
Ankhd1,0.999,0.999
Atp6v1g1,0.999,0.999
Btbd35f18,,
Smoc1,0.999,0.999
2310009A05Rik,0.999,0.999
Bub3,0.999,0.999
Slc22a21,0.999,0.999
Hook2,0.999,0.999
Rnf26,0.999,0.999
Nfatc2ip,0.999,0.999
4921524J17Rik,0.999,0.999
4921507P07Rik,,
Usf1,0.714,0.714
Gm47147,0.999,0.999
Gm18268,,
Gm9772,,
Dynll2,0.999,0.999
Gm49114,,
Klk8,0.999,0.999
Calhm5,,
Gm4134,,
Ccl6,0.602,0.602
Orai1,0.999,0.999
Zfp157,0.999,0.999
Adra2b,0.999,0.999
Clec12a,0.999,0.999
Gm18889,,
Gm867,,
Olfr443-ps1,,
Olfr521,,
Pthlh,,
Gm12443,,
Tk1,0.999,0.999
Gm5436,,
Vmn1r-ps107,,
Golga1,0.999,0.999
Hps5,0.966,0.966
Gm12873,,
Pcsk1n,,
Atp6v0a1,,
Gm4764,,
Pcbd1,,
Gm15054,,
Gm43110,0.999,0.999
Dcaf12l1,,
Gnai1,,
Gm15321,,
Rhoh,0.999,0.999
Gm13539,,
Gm21034,,
Gm3591,,
Gm16560,,
Gm11168,0.999,0.999
Gm20403,,
Gm49868,,
Itch,0.999,0.999
Gpatch1,0.999,0.999
Cd300ld5,,
Otud4,0.999,0.999
Rer1,0.999,0.999
Gm44656,,
Gm48785,,
Tipin,0.999,0.999
Olfr639,0.999,0.999
Gpr50,,
Gm10256,,
Fh1,0.999,0.999
Pdia6,0.999,0.999
Gm9613,,
Cdc34,0.999,0.999
Gm13680,0.999,0.999
Cyp26c1,0.999,0.999
Ccn3,,
Slc6a15,,
Pabpn1,0.837,0.837
Vmn1r88,0.999,0.999
Gm9207,,
G3bp1,0.999,0.999
Gm28328,,
Pea15a,0.999,0.999
Rps6ka6,,
Olfr783-ps1,,
Gm17838,,
AC166748.1,,
Smco2,,
Gm6478,0.999,0.999
Gm13119,,
Gm5554,,
Gm44030,,
Timm29,0.999,0.999
Olfr116,,
Ncapd3,0.999,0.999
Apip,0.882,0.882
Gm49023,,
Gm11397,,
Gm5739,,
Glcci1,0.999,0.999
2310057J18Rik,,
Gm17229,,
Rpl29,0.999,0.999
Nrarp,0.999,0.999
Olfr803,0.999,0.999
Plekhb1,,
Ran,0.999,0.999
Zfp280d,0.984,0.984
Gm12838,,
Atxn2l,0.999,0.999
B020031M17Rik,,
Prop1,,
Gm20493,,
Gjb1,,
Gm3242,,
Ppp1r14a,,
Gm47965,,
Gm44651,,
Slc6a6,0.999,0.999
Heatr3,0.999,0.999
Mrpl51,0.999,0.999
Gm9387,,
Lce1l,,
Gm7645,0.999,0.999
Gm17152,,
Vps25,0.999,0.999
Ttn,0.999,0.999
Zfp57,,
Chrm2,,
Oat-rs1,,
Rbmx2-ps,,
Ric1,0.999,0.999
Gm16276,,
Higd1b,,
1700013H16Rik,,
Serpina3b,,
Ear6,,
Armc1,0.999,0.999
Dok2,0.999,0.999
Gm49846,,
Gm21729,,
Ank3,0.999,0.999
Usp26,,
Pnn,0.999,0.999
Pde4d,0.999,0.999
Gm5261,,
Nadk,0.999,0.999
Nr2f6,0.999,0.999
Neu4,,
Zfp687,0.999,0.999
Dusp14,0.999,0.999
Rhobtb3,,
Olfr209,,
Tusc3,0.999,0.999
Gm4536,,
Cdk5rap3,0.999,0.999
Gm15926,,
Pag1,0.999,0.999
Olfr945,,
Shbg,,
Trav14d-3-dv8,0.999,0.999
Tas2r141-ps4,,
Gm11763,,
Sox18,,
Vmn2r-ps131,,
Gm29410,,
Gm9616,0.999,0.999
Zfp451,0.999,0.999
Angptl7,0.999,0.999
Tmppe,0.999,0.999
Cavin2,,
Gm49051,,
Rarres2,,
Neurod1,,
Gm5979,,
Igkv12-47,,
Itpa-ps2,,
Gm7589,,
Gm18600,,
Zhx3,0.999,0.999
Dnm1l,0.999,0.999
Gm18500,,
Olfr1202,0.999,0.999
Gm16584,,
Gm37826,,
Gm6520,,
Gm28819,,
Pnpla3,0.999,0.999
Pebp4,,
Zfp3,0.999,0.999
Cst10,,
Gm48476,,
Scgb1b5-ps,,
Dnajc18,0.999,0.999
Ces2e,,
Utp14b,0.999,0.999
Gm43115,,
Ttk,0.999,0.999
Sostdc1,,
Vmn2r-ps117,0.999,0.999
Gm18702,,
Teddm1a,,
Gm11403,,
Gm5313,,
Pdyn,,
Vmn2r94,0.999,0.999
Gm14435,0.999,0.999
Gm43058,0.999,0.999
Fnbp1l,,
Gm7416,,
Gm11398,,
Pex7,0.999,0.999
Mindy4,,
Gm7611,,
Gm18042,,
Gm10224,,
Dhtkd1,0.999,0.999
Shc3,,
Gm7137,,
Tmco1,0.999,0.999
Trpm1,0.999,0.999
Cmc2,0.999,0.999
Plekho2,0.999,0.999
Gm12375,,
4933411K16Rik,,
