gene_name,Ctrl_vs_Chd7,Chd7_vs_Ctrl
Galnt10,0.102,-0.102
Gm37732,,
Sfn,-0.201,0.201
Tle2,0.486,-0.486
Cyp3a61-ps1,,
Ammecr1,0.685,-0.685
Npm2,1.514,-1.514
Gm48088,0.238,-0.238
Gm16103,,
Gm47563,,
Tmem81,0.203,-0.203
Spc24,-0.418,0.418
Myorg,-0.503,0.503
Olfr740,-0.668,0.668
Gm48915,,
Imp4,-0.444,0.444
Rnase10,0.247,-0.247
Strada,0.285,-0.285
Ap3s1-ps1,-0.259,0.259
Pgk1-rs7,,
Gm29484,,
Ism2,-0.532,0.532
Gm18860,0.464,-0.464
Gm6522,,
Rtl4,0.214,-0.214
Gm5674,0.312,-0.312
Gm4133,,
Olfr1351,-0.1,0.1
Dnajc8,0.34,-0.34
Gm50090,,
Gm5228,-0.718,0.718
Cand2,-1.438,1.438
Cby1,0.284,-0.284
Fga,,
Ighv8-16,,
Stk17b,0.888,-0.888
Gm7647,,
Klhdc8a,-0.389,0.389
Thoc1,1.107,-1.107
Oaz2,0.087,-0.087
E230015B07Rik,-0.004,0.004
Rlbp1,-0.425,0.425
Polr2f,0.18,-0.18
Gm5724,,
Zfp345,-1.56,1.56
Nthl1,-0.05,0.05
Slc25a41,0.312,-0.312
Gm7678,0.312,-0.312
Gpc4,-0.096,0.096
Phldb3,-0.714,0.714
Kyat3,0.969,-0.969
Enkd1,-1.526,1.526
Yif1b,-0.675,0.675
Gm14409,0.028,-0.028
Krtap22-2,,
Commd6,0.065,-0.065
Tvp23a,-1.036,1.036
Gm37597,,
Gm29730,,
Gm3699,-0.864,0.864
Gm8371,0.444,-0.444
Fam186b,-2.256,2.256
Pgam1-ps2,0.008,-0.008
Nhlrc3,-0.573,0.573
Plod1,-0.03,0.03
Socs3,1.374,-1.374
Gm48035,0.646,-0.646
Ndufa5,-0.139,0.139
Ttc9c,0.932,-0.932
Gm6263,0.068,-0.068
Slc35b4,0.996,-0.996
Rpl7a,-0.435,0.435
Gm49392,0.74,-0.74
Gm7731,0.195,-0.195
Olfr1502,,
Gm19093,,
Lrig3,0.407,-0.407
Gm21293,0.247,-0.247
Angptl2,-1.252,1.252
Umpk-ps,0.312,-0.312
Kirrel,,
Gm12133,,
Nop10,-0.308,0.308
Igkj2,-0.096,0.096
Dydc1,,
Vmn1r93,,
Selenbp1,0.886,-0.886
Hspd1-ps3,-0.196,0.196
Klk1b14-ps,,
Ugt2a2,,
Tsn,-0.344,0.344
Atp5mpl,0.179,-0.179
Adh7,,
Ksr2,-0.238,0.238
Gm49478,-1.161,1.161
Srsf9,0.243,-0.243
Ldlrad4,-0.418,0.418
Pgm5,-0.096,0.096
Olfr304,,
Gm7707,,
Myom2,-2.058,2.058
Zfp986,-1.399,1.399
Dlg3,1.362,-1.362
Gm13287,,
Gm12042,-1.336,1.336
Mvb12b,1.834,-1.834
Gm42924,,
Gm29800,,
Gm10181,-0.609,0.609
Gm11743,-0.404,0.404
Grin2d,-0.774,0.774
Gm8649,0.602,-0.602
Gm16490,-0.096,0.096
Gid8,0.562,-0.562
Olfr460,0.312,-0.312
Prrg1,-0.408,0.408
AC133103.3,-0.601,0.601
Zcrb1,0.735,-0.735
Gm18691,,
Gm46203,0.228,-0.228
Gm11996,-0.836,0.836
Olfr1556-ps1,,
Vps37a,1.093,-1.093
Gm43959,,
Gm28185,,
Gm11258,0.352,-0.352
4930513O06Rik,,
Gp5,-0.262,0.262
Srek1ip1,-0.865,0.865
Virma,0.635,-0.635
Ube2j2,1.367,-1.367
Olfr752-ps1,-0.422,0.422
Gm15167,,
Mn1,-0.263,0.263
Gm44419,,
Gm45234,-0.507,0.507
Snip1,0.628,-0.628
Tspy-ps,-0.19,0.19
Ins2,0.175,-0.175
Cntln,0.038,-0.038
Cltc,1.096,-1.096
Tmem127,1.371,-1.371
Gm48288,,
Gm21869,,
Ighv5-5,,
Gm48258,,
Gm10769,0.311,-0.311
Ifi203,-0.787,0.787
Ccdc159,0.717,-0.717
Gm18658,,
Iqcj,0.664,-0.664
Zfp579,-0.001,0.001
Rnf166,0.628,-0.628
Tmie,-0.541,0.541
Fabp6,,
Dock9,-2.009,2.009
Cnot6,-2.18,2.18
Gm4889,-0.378,0.378
Gm4076,-0.232,0.232
Gm41434,0.808,-0.808
Gm12830,,
Ubap1l,0.487,-0.487
Gsta2,-0.096,0.096
Bace1,2.271,-2.271
Ighv1-63,,
Gm14840,1.535,-1.535
Gm18115,,
Olfr928-ps1,,
Adpgk,-1.69,1.69
Clec2l,0.054,-0.054
Dcbld1,-0.202,0.202
Gm11868,-0.232,0.232
Olfr1134,,
Zp2,,
Gm5027,,
Gm15136,,
Nsun7,0.738,-0.738
Gm28624,,
Egf,-0.065,0.065
Cep170b,-0.513,0.513
Gm7436,-0.378,0.378
Klk1b24,,
Gli1,0.374,-0.374
Gm2736,,
Gm48652,0.043,-0.043
Akirin2,0.075,-0.075
Sp140,0.504,-0.504
Gm28615,,
Tubb4a,0.397,-0.397
Cd2bp2,-0.357,0.357
Gm6345,0.935,-0.935
Elfn2,-0.523,0.523
Mlec,-0.741,0.741
Gm21834,,
Taar4,,
Parvb,0.465,-0.465
Gm2244,-1.019,1.019
Slc25a22,-2.131,2.131
Gm44807,0.312,-0.312
Pcsk2,-1.592,1.592
Tcrg-C3,0.07,-0.07
Ncapg2,-0.183,0.183
Gm43124,-0.67,0.67
Gm44112,,
Vmn2r-ps45,,
Vmn1r-ps58,,
Nr1h2,0.444,-0.444
Stk24,-2.143,2.143
Cbx3-ps3,-0.077,0.077
Gm39481,,
Gpn3,1.788,-1.788
Gm16061,1.793,-1.793
Gm48108,,
Gm12187,-2.501,2.501
Gm21841,,
Rsph9,-0.421,0.421
Gm18357,,
Fyn,0.007,-0.007
Gm49255,-0.096,0.096
Ighv6-7,,
Rps12-ps22,-0.921,0.921
Gbp2,0.293,-0.293
Plekhm2,2.263,-2.263
Atxn1l,1.038,-1.038
Pip4p1,1.824,-1.824
Gm4759,-0.025,0.025
Il18bp,-1.903,1.903
Rnf122,0.893,-0.893
Gm21249,,
Sp7,-0.5,0.5
Olfr1288,,
Ptprcap,-0.211,0.211
Msl1,1.282,-1.282
Gm28435,,
Gm6479,,
Gm19057,,
Gm11858,,
Sp100,-0.05,0.05
Mettl26,-0.111,0.111
Gm6855,0.923,-0.923
Sox12,0.884,-0.884
Olfr576,-0.096,0.096
IQCF2,0.047,-0.047
Gm16167,,
Psmd6,0.755,-0.755
Gm47748,,
Nin,-0.271,0.271
Atxn2,-2.089,2.089
Wdr53,0.917,-0.917
Gm5958,,
Dhx36,-1.426,1.426
Gm21940,-0.096,0.096
Cyp2b13,,
Gm15765,,
Pla2g4e,-1.348,1.348
Tubgcp3,1.206,-1.206
Scrt1,0.587,-0.587
Gm18692,0.312,-0.312
Urah,,
Gm50085,,
AC127331.5,,
Ptpmt1,0.987,-0.987
Aldh5a1,0.083,-0.083
Cdo1,-1.493,1.493
Gm49884,,
Kcnv1,-0.096,0.096
Gm9560,,
Fkbp1a-ps3,,
Gm14567,-0.492,0.492
Prss43,0.635,-0.635
Gm44525,,
Ric3,1.719,-1.719
Gm11522,,
Wdr47,0.381,-0.381
Gm27179,,
Cep350,-0.62,0.62
Olfr815,,
Gpr31b,-0.438,0.438
Rtf2,1.231,-1.231
Gm10053,-0.14,0.14
Ap1g2,-0.085,0.085
Nkd2,-0.296,0.296
Gm21310,,
Gm38697,,
Gm14752,1.069,-1.069
Gm8039,,
Nepn,-0.096,0.096
Ssh3,2.89,-2.89
Gm47994,0.177,-0.177
Nt5c3b,-0.593,0.593
Olfr292,,
Selenow,1.775,-1.775
Gm12696,-0.964,0.964
Rps13-ps4,-1.326,1.326
Cd8a,0.697,-0.697
A4galt,-0.682,0.682
Fam57a,0.299,-0.299
Dcstamp,,
Gm16378,,
Gm14998,,
Clrn1,-0.493,0.493
Ybey,0.445,-0.445
Pdpn,-0.096,0.096
Gm8232,,
Gm9249,,
Rpl31-ps1,-0.531,0.531
Vmn2r126,,
Gm20691,-1.616,1.616
Olfr971,,
Ear-ps10,,
Tmbim7,-0.012,0.012
Nme3,-0.114,0.114
Gm29120,,
Dock7,0.67,-0.67
Ralgapa2,0.502,-0.502
Olfr960,,
Gprc6a,,
Gm13146,0.193,-0.193
Ankrd16,1.494,-1.494
Alppl2,,
Olfr694,,
Olfr478,-0.317,0.317
Ctsl,0.102,-0.102
1700001L19Rik,0.231,-0.231
Arhgap25,0.261,-0.261
AC162463.2,,
Crppa,-0.145,0.145
Gm20861,,
Zfp973,-0.514,0.514
D17H6S53E,2.441,-2.441
Ccdc150,-0.786,0.786
Nemp2,-1.836,1.836
Rps3a1,0.451,-0.451
Hck,-0.516,0.516
Olfr70,,
Rps6ka3,-1.402,1.402
Dnmt3c,-0.096,0.096
Cldn12,0.925,-0.925
Atp13a4,-0.354,0.354
Olfr874,,
Hmgb1-rs17,0.77,-0.77
Vmn2r77,-0.437,0.437
Gm18012,,
Serpinb9,1.155,-1.155
Zdhhc25,,
Atp6v0c-ps2,-0.685,0.685
Slc22a14,,
Ccdc62,-0.262,0.262
Gm1982,,
Spag6,1.18,-1.18
Tepsin,-0.226,0.226
Gm4064,,
Atp2a2,0.064,-0.064
Slc15a2,-1.645,1.645
Gm5754,0.041,-0.041
1810009A15Rik,0.312,-0.312
Cd14,0.848,-0.848
Gm6461,-0.388,0.388
Ripk4,0.145,-0.145
Gm18146,0.047,-0.047
Tm6sf1,-0.163,0.163
Rax,1.104,-1.104
Dclk1,-1.933,1.933
Arf4,0.206,-0.206
Setmar,-1.073,1.073
Enpp4,0.357,-0.357
Gm21907,,
AW822073,,
Rbm8a,0.023,-0.023
Hbb-bh2,,
Psd3,0.575,-0.575
Aass,0.898,-0.898
Gm15181,-0.096,0.096
Cebpg,-2.119,2.119
Gm5446,-0.009,0.009
Fgf23,0.413,-0.413
Gm17304,-0.188,0.188
Pzp,,
Ighv6-6,-0.536,0.536
Pip4k2a,-1.027,1.027
Erbin,0.817,-0.817
AC127331.2,0.02,-0.02
Olfr613,-0.367,0.367
Gm7804,,
Osbp2,-0.687,0.687
Olfr1209,0.278,-0.278
Oxgr1,-0.096,0.096
Akap14,0.786,-0.786
Il1f8,,
Gm35843,,
Cmtm4,0.586,-0.586
Ppib,-0.272,0.272
Gm17938,0.07,-0.07
Hoxc8,0.941,-0.941
Chmp4c,-0.922,0.922
Ccdc138,-0.633,0.633
Zfp14,-0.423,0.423
Ccdc47,1.569,-1.569
Elp1,-2.038,2.038
Sema3e,-0.769,0.769
Vmn1r79,-0.734,0.734
Csgalnact1,1.591,-1.591
AC124578.2,,
Gm6069,-0.096,0.096
Mdh1b,,
Nckipsd,-0.471,0.471
Ndufb9,-0.027,0.027
Gm8812,,
Gm44551,,
Gm42474,0.046,-0.046
Gm14628,,
Pla2g12b,-0.096,0.096
Gm19267,,
Hmgxb4,-0.225,0.225
Slitrk1,-0.096,0.096
Gm13215,-0.067,0.067
Ripor3,0.629,-0.629
Gm12313,,
Gm9192,,
Ptk2,-0.863,0.863
Gm18642,-0.096,0.096
Ltbp1,-1.179,1.179
Sgk2,0.846,-0.846
Mob3c,0.907,-0.907
Gm47094,-0.096,0.096
Il7,-1.166,1.166
Gm47462,,
Elavl1,0.511,-0.511
Cetn2,0.703,-0.703
Gm48145,-0.096,0.096
Dgat1,0.245,-0.245
Gm13398,-0.096,0.096
Gm45785,-0.232,0.232
Gng2,-0.077,0.077
Sema6c,1.347,-1.347
Car10,-0.169,0.169
Ube2l6,0.359,-0.359
Stk19,0.9,-0.9
AC165327.1,,
Mrc2,-2.201,2.201
Sh2d1b1,0.755,-0.755
Rorc,-0.751,0.751
Slc34a3,,
Olfr1015,,
Gm7488,0.538,-0.538
Sh3gl2,0.868,-0.868
Obox4-ps33,,
Gm4451,,
4932414N04Rik,-0.596,0.596
Gm9855,-1.672,1.672
Gm21182,0.527,-0.527
Gm7896,0.7,-0.7
Lonrf3,-1.093,1.093
Gm20128,,
Sptbn5,-1.364,1.364
Gm15004,,
Mast2,1.203,-1.203
Vmn2r-ps122,,
Retnlb,,
Osr2,0.177,-0.177
Gm48248,-1.79,1.79
Pcdhgc3,-2.097,2.097
Tom1l1,0.724,-0.724
Best1,0.705,-0.705
Gm5764,-1.258,1.258
Olfr727,-0.252,0.252
Gm6356,,
Scaf11,-0.188,0.188
Gm45815,,
Tenm2,2.267,-2.267
Gm5255,,
Zscan4b,,
Gm5300,0.312,-0.312
Tchh,0.183,-0.183
Gm7675,,
Gm13023,,
Slc22a7,,
Olfr202,,
Arsi,-0.278,0.278
Gm29605,,
Olfr1353,,
Pum2,-3.113,3.113
Klf17,,
Camkv,-0.445,0.445
Smok3a,-0.232,0.232
Gm45013,,
Asb7,-0.742,0.742
Tgfbr3,0.695,-0.695
Caln1,-0.128,0.128
Gm43555,,
Stambp,0.299,-0.299
Spata3,,
Gm11260,,
Gm49053,,
Nr0b2,,
Gm13864,-0.719,0.719
Gm15544,-0.764,0.764
Gm15187,,
Gphn,-0.054,0.054
Foxd3,,
Zdhhc4,0.441,-0.441
Gm18482,,
Cldn18,,
Sel1l3,-0.3,0.3
Otop2,,
Yod1,0.347,-0.347
Bola1,0.759,-0.759
Gm37944,,
Olfr536,-0.141,0.141
Usp34,-0.397,0.397
Rps4x-ps,-0.737,0.737
Ecpas,-1.32,1.32
Gm6039,-0.747,0.747
Gm3726,,
Gas2l2,,
Pak3,,
Gm11107,,
Defa34,,
Rnf167,-0.017,0.017
Sirt4,1.134,-1.134
Fam57b,-0.619,0.619
Obox3,1.056,-1.056
Foxk1,-0.708,0.708
Trbv28,,
Myh7b,0.177,-0.177
Olfr883,,
Gm47740,-0.254,0.254
Gm13756,,
Pecam1,-0.05,0.05
Pcp4,,
Mab21l2,0.097,-0.097
Alg8,-1.944,1.944
Olfr540-ps1,,
4930578G10Rik,0.758,-0.758
Gm15069,-0.567,0.567
Aurkb,-0.954,0.954
Dbn1,0.169,-0.169
Gm6490,,
AW549877,-0.461,0.461
C9orf72,0.243,-0.243
Trim12c,0.67,-0.67
Sirt2,0.682,-0.682
Gm7898,,
Igkv13-87,,
Pi16,-0.292,0.292
Syce1l,0.417,-0.417
Rassf5,0.709,-0.709
Gm15188,0.622,-0.622
Gm15789,0.555,-0.555
Tmem254c,1.194,-1.194
B3gat1,,
Tmem67,-0.502,0.502
Lect2,,
Gm18508,,
Zcchc10,0.094,-0.094
Triap1,0.483,-0.483
C1qbp,-0.762,0.762
Doc2g,-1.285,1.285
Mtss1l,1.652,-1.652
Gm8582,,
Gm17851,,
Gm13586,0.187,-0.187
Gm5116,,
Col1a2,-0.361,0.361
Gm48361,0.312,-0.312
Gm14122,2.229,-2.229
Tcfl5,-0.35,0.35
D9Wsu149,,
Gm6797,,
Prrg4,2.814,-2.814
Vmn1r238,,
Tnrc6c,-1.195,1.195
Rps12-ps16,0.364,-0.364
Prima1,,
Ap3b1,0.341,-0.341
Gm12713,-0.698,0.698
Xkr8,-0.453,0.453
Med15,-0.88,0.88
Sidt1,-0.305,0.305
Shox2,-0.232,0.232
Slc36a1,0.932,-0.932
Vmn1r20,0.586,-0.586
Gm28341,,
Efhb,0.076,-0.076
Vmn2r-ps13,,
Gm44634,-0.232,0.232
Stx18,-0.064,0.064
Gm45688,,
Hivep2,-0.737,0.737
Gm18631,-0.096,0.096
Gm14890,,
Cyp4v3,1.981,-1.981
Gm8251,-0.19,0.19
1700020A23Rik,0.932,-0.932
Gm7255,,
Atp2b1,1.734,-1.734
Gm15937,0.218,-0.218
Gm20915,,
Gm47632,-1.573,1.573
Gm28923,,
Gm47044,,
H2afz,0.003,-0.003
Gm38432,,
Gbp2b,0.023,-0.023
Pcdhga1,0.413,-0.413
Ptma,-0.436,0.436
Gm12892,-0.232,0.232
Gm27037,,
Atp2a1,-0.248,0.248
Gm12917,0.264,-0.264
Gm9104,-1.147,1.147
Cmtm8,-0.362,0.362
Pgam2,-0.096,0.096
Triqk,-0.232,0.232
Gm7027,-0.953,0.953
Gm15010,,
Fbxo7,-2.74,2.74
AL844494.2,,
Ifnz,-1.194,1.194
Gm43985,,
Gm14537,0.122,-0.122
Traj60,-1.783,1.783
Svs6,,
Cldn34a,,
Rpl19,0.479,-0.479
Ehd4,-0.076,0.076
Gm5297,-0.37,0.37
Gm12338,0.546,-0.546
Zfp407,-0.768,0.768
Gm7733,,
Ggn,-1.158,1.158
Klf8,0.865,-0.865
Ttc17,0.564,-0.564
Nutf2,-0.876,0.876
AC133103.7,-0.392,0.392
Gm7153,-0.096,0.096
Gm9317,,
Cluap1,-0.836,0.836
Rnf145,-2.079,2.079
Tpp1,-1.5,1.5
Gm12190,,
Gm27245,,
4930474N05Rik,-0.359,0.359
Psmd12,-0.133,0.133
Cpsf1,0.404,-0.404
AC122252.4,0.312,-0.312
Gm44743,,
Olfr414,-1.196,1.196
Nkg7,0.173,-0.173
Vwf,-0.834,0.834
Gm37104,,
Rpgrip1l,2.41,-2.41
Gm6472,-0.018,0.018
Gm14657,,
L3mbtl2,-0.417,0.417
Mbd1,0.718,-0.718
Pmis2,,
Dcaf8,0.547,-0.547
Gm6074,,
1700017D01Rik,0.053,-0.053
Gm597,,
Gm3076,-0.776,0.776
Gm11255,-0.096,0.096
Wdfy2,-0.615,0.615
Gm5513,-2.07,2.07
Gm43531,-0.096,0.096
Alox12,-0.523,0.523
Pbx2,1.754,-1.754
Klf9,0.807,-0.807
Meiob,-0.096,0.096
Extl1,-1.415,1.415
Gp2,,
Gm14510,,
Zfp846,-0.432,0.432
Tdrd6,-0.096,0.096
Gm45192,,
Gpx4,0.026,-0.026
Vmn1r186,,
Gm14020,0.312,-0.312
Gm15670,,
Fnd3c2,0.177,-0.177
Bnip3,0.188,-0.188
Mpp6,-1.59,1.59
Akap8l,1.595,-1.595
Nipal1,-0.352,0.352
Mrgprc7-ps,,
Map2,-1.159,1.159
Gm44059,,
Mgat4d,,
Nkain1,-0.233,0.233
Fbxw25,,
Gm6973,,
Gm37832,,
Olfr737-ps1,,
Gm28530,-0.483,0.483
Mpv17l2,0.329,-0.329
Gm8224,,
Gm42642,-0.096,0.096
Srp9,1.323,-1.323
Gm45252,-0.005,0.005
Gm19936,0.746,-0.746
Cbx3-ps4,0.628,-0.628
Ighv8-5,,
Slitrk5,-0.096,0.096
1300017J02Rik,-3.583,3.583
Gm14613,-0.54,0.54
Zfp51,0.454,-0.454
Gm21524,,
Zfp39,-1.034,1.034
Krt28,,
Inava,-0.145,0.145
Olfr498,,
Spag17,-0.096,0.096
Nmnat1,0.747,-0.747
Gm49561,,
Tcrg-C4,-1.775,1.775
Uqcc3,0.849,-0.849
Ccdc172,,
Cer1,0.476,-0.476
Olfr1398-ps1,-0.096,0.096
Gm19254,,
Ect2,-0.489,0.489
Pradc1,-0.816,0.816
Slc14a2,0.312,-0.312
AC124383.1,,
Pnkd,2.816,-2.816
Gm47581,,
Gm6166,-1.172,1.172
Gm47506,,
Ppp1r12b,-1.093,1.093
Gm38203,,
Tfpi,-0.068,0.068
Gm15021,,
Skint1,,
Klra8,-0.551,0.551
Hist1h2ah,0.034,-0.034
Gm49720,,
Gm12638,,
Cdcp1,-1.018,1.018
Ccdc113,0.177,-0.177
AC122861.1,0.659,-0.659
Pip5k1c,-0.231,0.231
Gm6468,,
Cstb,0.043,-0.043
Gm12163,-0.096,0.096
Thap2,-0.519,0.519
Arl10,0.133,-0.133
Adamts17,-0.478,0.478
Vmn1r-ps23,,
Paqr5,0.807,-0.807
Spata31d1a,-2.283,2.283
Ly9,1.043,-1.043
1700019N19Rik,,
Sars2,-0.982,0.982
Igkv13-85,-1.72,1.72
Gm15808,0.312,-0.312
Adora1,0.197,-0.197
Twsg1,-1.151,1.151
Tent4a,-0.211,0.211
Vim,0.584,-0.584
B230207O21Rik,,
Gm47768,,
Gm15293,,
Gm6171,,
Rbm11,1.099,-1.099
Gm12161,-0.174,0.174
Tcf3,-0.425,0.425
Gm9775,,
Pdcd6,1.374,-1.374
Gm20825,,
Chrnb3,-0.626,0.626
Gm3810,,
Timm17b,-0.496,0.496
C2cd4d,-0.284,0.284
Trav5d-3,,
Htatsf1,1.364,-1.364
Axin1,0.927,-0.927
Schip1,-0.645,0.645
Prpf38b,1.427,-1.427
Nxnl1,0.037,-0.037
Spi1,-0.297,0.297
Exoc7,0.692,-0.692
