gene_name,Ctrl_vs_Chd7,Chd7_vs_Ctrl
Pgk1-rs7,,
Gm29484,,
Ism2,0.595,0.595
Gm18860,0.643,0.643
Gm6522,,
Rtl4,0.831,0.831
Gm5674,0.755,0.755
Gm4133,,
Olfr1351,0.92,0.92
Dnajc8,0.734,0.734
Gm50090,,
Gm5228,0.472,0.472
Cand2,0.15,0.15
Cby1,0.777,0.777
Fga,,
Ighv8-16,,
Stk17b,0.375,0.375
Gm7647,,
Klhdc8a,0.697,0.697
Thoc1,0.268,0.268
Oaz2,0.931,0.931
E230015B07Rik,0.997,0.997
Rlbp1,0.67,0.67
Polr2f,0.858,0.858
Gm5724,,
Zfp345,0.119,0.119
Nthl1,0.96,0.96
Slc25a41,0.755,0.755
Gm7678,0.755,0.755
Gpc4,0.924,0.924
Phldb3,0.475,0.475
Kyat3,0.333,0.333
Enkd1,0.127,0.127
Yif1b,0.5,0.5
Gm14409,0.978,0.978
Krtap22-2,,
Commd6,0.948,0.948
Tvp23a,0.3,0.3
Gm37597,,
Gm29730,,
Gm3699,0.388,0.388
Gm8371,0.657,0.657
Fam186b,0.024,0.024
Pgam1-ps2,0.993,0.993
Nhlrc3,0.567,0.567
Plod1,0.976,0.976
Socs3,0.169,0.169
Gm48035,0.518,0.518
Ndufa5,0.89,0.89
Ttc9c,0.351,0.351
Gm6263,0.946,0.946
Slc35b4,0.319,0.319
Rpl7a,0.663,0.663
Gm49392,0.459,0.459
Gm7731,0.846,0.846
Olfr1502,,
Gm19093,,
Lrig3,0.684,0.684
Gm21293,0.805,0.805
Angptl2,0.211,0.211
Umpk-ps,0.755,0.755
Kirrel,,
Gm12133,,
Nop10,0.758,0.758
Igkj2,0.924,0.924
Dydc1,,
Vmn1r93,,
Selenbp1,0.376,0.376
Hspd1-ps3,0.844,0.844
Klk1b14-ps,,
Ugt2a2,,
Tsn,0.731,0.731
Atp5mpl,0.858,0.858
Adh7,,
Ksr2,0.812,0.812
Gm49478,0.246,0.246
Srsf9,0.808,0.808
Ldlrad4,0.676,0.676
Pgm5,0.924,0.924
Olfr304,,
Gm7707,,
Myom2,0.04,0.04
Zfp986,0.162,0.162
Dlg3,0.173,0.173
Gm13287,,
Gm12042,0.181,0.181
Mvb12b,0.067,0.067
Gm42924,,
Gm29800,,
Gm10181,0.543,0.543
Gm11743,0.686,0.686
Grin2d,0.439,0.439
Gm8649,0.547,0.547
Gm16490,0.924,0.924
Gid8,0.574,0.574
Olfr460,0.755,0.755
Prrg1,0.683,0.683
AC133103.3,0.548,0.548
Zcrb1,0.462,0.462
Gm18691,,
Gm46203,0.82,0.82
Gm11996,0.403,0.403
Olfr1556-ps1,,
Vps37a,0.274,0.274
Gm43959,,
Gm28185,,
Gm11258,0.725,0.725
4930513O06Rik,,
Gp5,0.793,0.793
Srek1ip1,0.387,0.387
Virma,0.525,0.525
Ube2j2,0.172,0.172
Olfr752-ps1,0.673,0.673
Gm15167,,
Mn1,0.792,0.792
Gm44419,,
Gm45234,0.612,0.612
Snip1,0.53,0.53
Tspy-ps,0.849,0.849
Ins2,0.861,0.861
Cntln,0.97,0.97
Cltc,0.273,0.273
Tmem127,0.17,0.17
Gm48288,,
Gm21869,,
Ighv5-5,,
Gm48258,,
Gm10769,0.755,0.755
Ifi203,0.432,0.432
Ccdc159,0.473,0.473
Gm18658,,
Iqcj,0.507,0.507
Zfp579,1.0,1.0
Rnf166,0.53,0.53
Tmie,0.588,0.588
Fabp6,,
Dock9,0.045,0.045
Cnot6,0.029,0.029
Gm4889,0.706,0.706
Gm4076,0.817,0.817
Gm41434,0.419,0.419
Gm12830,,
Ubap1l,0.626,0.626
Gsta2,0.924,0.924
Bace1,0.023,0.023
Ighv1-63,,
Gm14840,0.125,0.125
Gm18115,,
Olfr928-ps1,,
Adpgk,0.091,0.091
Clec2l,0.957,0.957
Dcbld1,0.84,0.84
Gm11868,0.817,0.817
Olfr1134,,
Zp2,,
Gm5027,,
Gm15136,,
Nsun7,0.461,0.461
Gm28624,,
Egf,0.948,0.948
Cep170b,0.608,0.608
Gm7436,0.706,0.706
Klk1b24,,
Gli1,0.709,0.709
Gm2736,,
Gm48652,0.965,0.965
Akirin2,0.94,0.94
Sp140,0.614,0.614
Gm28615,,
Tubb4a,0.692,0.692
Cd2bp2,0.721,0.721
Gm6345,0.35,0.35
Elfn2,0.601,0.601
Mlec,0.458,0.458
Gm21834,,
Taar4,,
Parvb,0.642,0.642
Gm2244,0.308,0.308
Slc25a22,0.033,0.033
Gm44807,0.755,0.755
Pcsk2,0.111,0.111
Tcrg-C3,0.944,0.944
Ncapg2,0.854,0.854
Gm43124,0.503,0.503
Gm44112,,
Vmn2r-ps45,,
Vmn1r-ps58,,
Nr1h2,0.657,0.657
Stk24,0.032,0.032
Cbx3-ps3,0.938,0.938
Gm39481,,
Gpn3,0.074,0.074
Gm16061,0.073,0.073
Gm48108,,
Gm12187,0.012,0.012
Gm21841,,
Rsph9,0.674,0.674
Gm18357,,
Fyn,0.995,0.995
Gm49255,0.924,0.924
Ighv6-7,,
Rps12-ps22,0.357,0.357
Gbp2,0.77,0.77
Plekhm2,0.024,0.024
Atxn1l,0.299,0.299
Pip4p1,0.068,0.068
Gm4759,0.98,0.98
Il18bp,0.057,0.057
Rnf122,0.372,0.372
Gm21249,,
Sp7,0.617,0.617
Olfr1288,,
Ptprcap,0.833,0.833
Msl1,0.2,0.2
Gm28435,,
Gm6479,,
Gm19057,,
Gm11858,,
Sp100,0.96,0.96
Mettl26,0.912,0.912
Gm6855,0.356,0.356
Sox12,0.377,0.377
Olfr576,0.924,0.924
IQCF2,0.963,0.963
Gm16167,,
Psmd6,0.45,0.45
Gm47748,,
Nin,0.786,0.786
Atxn2,0.037,0.037
Wdr53,0.359,0.359
Gm5958,,
Dhx36,0.154,0.154
Gm21940,0.924,0.924
Cyp2b13,,
Gm15765,,
Pla2g4e,0.178,0.178
Tubgcp3,0.228,0.228
Scrt1,0.557,0.557
Gm18692,0.755,0.755
Urah,,
Gm50085,,
AC127331.5,,
Ptpmt1,0.324,0.324
Aldh5a1,0.934,0.934
Cdo1,0.135,0.135
Gm49884,,
Kcnv1,0.924,0.924
Gm9560,,
Fkbp1a-ps3,,
Gm14567,0.623,0.623
Prss43,0.526,0.526
Gm44525,,
Ric3,0.086,0.086
Gm11522,,
Wdr47,0.703,0.703
Gm27179,,
Cep350,0.535,0.535
Olfr815,,
Gpr31b,0.662,0.662
Rtf2,0.218,0.218
Gm10053,0.889,0.889
Ap1g2,0.932,0.932
Nkd2,0.767,0.767
Gm21310,,
Gm38697,,
Gm14752,0.285,0.285
Gm8039,,
Nepn,0.924,0.924
Ssh3,0.004,0.004
Gm47994,0.859,0.859
Nt5c3b,0.553,0.553
Olfr292,,
Selenow,0.076,0.076
Gm12696,0.335,0.335
Rps13-ps4,0.185,0.185
Cd8a,0.486,0.486
A4galt,0.495,0.495
Fam57a,0.765,0.765
Dcstamp,,
Gm16378,,
Gm14998,,
Clrn1,0.622,0.622
Ybey,0.657,0.657
Pdpn,0.924,0.924
Gm8232,,
Gm9249,,
Rpl31-ps1,0.595,0.595
Vmn2r126,,
Gm20691,0.106,0.106
Olfr971,,
Ear-ps10,,
Tmbim7,0.99,0.99
Nme3,0.909,0.909
Gm29120,,
Dock7,0.503,0.503
Ralgapa2,0.616,0.616
Olfr960,,
Gprc6a,,
Gm13146,0.847,0.847
Ankrd16,0.135,0.135
Alppl2,,
Olfr694,,
Olfr478,0.752,0.752
Ctsl,0.918,0.918
1700001L19Rik,0.817,0.817
Arhgap25,0.794,0.794
AC162463.2,,
Crppa,0.885,0.885
Gm20861,,
Zfp973,0.608,0.608
D17H6S53E,0.015,0.015
Ccdc150,0.432,0.432
Nemp2,0.066,0.066
Rps3a1,0.652,0.652
Hck,0.606,0.606
Olfr70,,
Rps6ka3,0.161,0.161
Dnmt3c,0.924,0.924
Cldn12,0.355,0.355
Atp13a4,0.723,0.723
Olfr874,,
Hmgb1-rs17,0.442,0.442
Vmn2r77,0.662,0.662
Gm18012,,
Serpinb9,0.248,0.248
Zdhhc25,,
Atp6v0c-ps2,0.493,0.493
Slc22a14,,
Ccdc62,0.793,0.793
Gm1982,,
Spag6,0.238,0.238
Tepsin,0.821,0.821
Gm4064,,
Atp2a2,0.949,0.949
Slc15a2,0.1,0.1
Gm5754,0.967,0.967
1810009A15Rik,0.755,0.755
Cd14,0.396,0.396
Gm6461,0.698,0.698
Ripk4,0.885,0.885
Gm18146,0.963,0.963
Tm6sf1,0.871,0.871
Rax,0.27,0.27
Dclk1,0.053,0.053
Arf4,0.837,0.837
Setmar,0.283,0.283
Enpp4,0.721,0.721
Gm21907,,
AW822073,,
Rbm8a,0.981,0.981
Hbb-bh2,,
Psd3,0.566,0.566
Aass,0.369,0.369
Gm15181,0.924,0.924
Cebpg,0.034,0.034
Gm5446,0.993,0.993
Fgf23,0.68,0.68
Gm17304,0.851,0.851
Pzp,,
Ighv6-6,0.592,0.592
Pip4k2a,0.304,0.304
Erbin,0.414,0.414
AC127331.2,0.984,0.984
Olfr613,0.714,0.714
Gm7804,,
Osbp2,0.492,0.492
Olfr1209,0.781,0.781
Oxgr1,0.924,0.924
Akap14,0.432,0.432
Il1f8,,
Gm35843,,
Cmtm4,0.558,0.558
Ppib,0.786,0.786
Gm17938,0.944,0.944
Hoxc8,0.347,0.347
Chmp4c,0.357,0.357
Ccdc138,0.527,0.527
Zfp14,0.673,0.673
Ccdc47,0.117,0.117
Elp1,0.042,0.042
Sema3e,0.442,0.442
Vmn1r79,0.463,0.463
Csgalnact1,0.112,0.112
AC124578.2,,
Gm6069,0.924,0.924
Mdh1b,,
Nckipsd,0.638,0.638
Ndufb9,0.979,0.979
Gm8812,,
Gm44551,,
Gm42474,0.963,0.963
Gm14628,,
Pla2g12b,0.924,0.924
Gm19267,,
Hmgxb4,0.822,0.822
Slitrk1,0.924,0.924
Gm13215,0.947,0.947
Ripor3,0.529,0.529
Gm12313,,
Gm9192,,
Ptk2,0.388,0.388
Gm18642,0.924,0.924
Ltbp1,0.238,0.238
Sgk2,0.398,0.398
Mob3c,0.364,0.364
Gm47094,0.924,0.924
Il7,0.244,0.244
Gm47462,,
Elavl1,0.61,0.61
Cetn2,0.482,0.482
Gm48145,0.924,0.924
Dgat1,0.807,0.807
Gm13398,0.924,0.924
Gm45785,0.817,0.817
Gng2,0.939,0.939
Sema6c,0.178,0.178
Car10,0.866,0.866
Ube2l6,0.719,0.719
Stk19,0.368,0.368
AC165327.1,,
Mrc2,0.028,0.028
Sh2d1b1,0.45,0.45
Rorc,0.452,0.452
Slc34a3,,
Olfr1015,,
Gm7488,0.591,0.591
Sh3gl2,0.385,0.385
Obox4-ps33,,
Gm4451,,
4932414N04Rik,0.551,0.551
Gm9855,0.095,0.095
Gm21182,0.598,0.598
Gm7896,0.484,0.484
Lonrf3,0.274,0.274
Gm20128,,
Sptbn5,0.172,0.172
Gm15004,,
Mast2,0.229,0.229
Vmn2r-ps122,,
Retnlb,,
Osr2,0.86,0.86
Gm48248,0.073,0.073
Pcdhgc3,0.036,0.036
Tom1l1,0.469,0.469
Best1,0.481,0.481
Gm5764,0.209,0.209
Olfr727,0.801,0.801
Gm6356,,
Scaf11,0.851,0.851
Gm45815,,
Tenm2,0.023,0.023
Gm5255,,
Zscan4b,,
Gm5300,0.755,0.755
Tchh,0.855,0.855
Gm7675,,
Gm13023,,
Slc22a7,,
Olfr202,,
Arsi,0.781,0.781
Gm29605,,
Olfr1353,,
Pum2,0.002,0.002
Klf17,,
Camkv,0.656,0.656
Smok3a,0.817,0.817
Gm45013,,
Asb7,0.458,0.458
Tgfbr3,0.487,0.487
Caln1,0.898,0.898
Gm43555,,
Stambp,0.765,0.765
Spata3,,
Gm11260,,
Gm49053,,
Nr0b2,,
Gm13864,0.472,0.472
Gm15544,0.445,0.445
Gm15187,,
Gphn,0.957,0.957
Foxd3,,
Zdhhc4,0.659,0.659
Gm18482,,
Cldn18,,
Sel1l3,0.764,0.764
Otop2,,
Yod1,0.729,0.729
Bola1,0.448,0.448
Gm37944,,
Olfr536,0.888,0.888
Usp34,0.692,0.692
Rps4x-ps,0.461,0.461
Ecpas,0.187,0.187
Gm6039,0.455,0.455
Gm3726,,
Gas2l2,,
Pak3,,
Gm11107,,
Defa34,,
Rnf167,0.986,0.986
Sirt4,0.257,0.257
Fam57b,0.536,0.536
Obox3,0.291,0.291
Foxk1,0.479,0.479
Trbv28,,
Myh7b,0.86,0.86
Olfr883,,
Gm47740,0.8,0.8
Gm13756,,
Pecam1,0.96,0.96
Pcp4,,
Mab21l2,0.923,0.923
Alg8,0.052,0.052
Olfr540-ps1,,
4930578G10Rik,0.448,0.448
Gm15069,0.571,0.571
Aurkb,0.34,0.34
Dbn1,0.866,0.866
Gm6490,,
AW549877,0.645,0.645
C9orf72,0.808,0.808
Trim12c,0.503,0.503
Sirt2,0.496,0.496
Gm7898,,
Igkv13-87,,
Pi16,0.771,0.771
Syce1l,0.677,0.677
Rassf5,0.478,0.478
Gm15188,0.534,0.534
Gm15789,0.579,0.579
Tmem254c,0.232,0.232
B3gat1,,
Tmem67,0.616,0.616
Lect2,,
Gm18508,,
Zcchc10,0.925,0.925
Triap1,0.629,0.629
C1qbp,0.446,0.446
Doc2g,0.199,0.199
Mtss1l,0.098,0.098
Gm8582,,
Gm17851,,
Gm13586,0.852,0.852
Gm5116,,
Col1a2,0.718,0.718
Gm48361,0.755,0.755
Gm14122,0.026,0.026
Tcfl5,0.726,0.726
D9Wsu149,,
Gm6797,,
Prrg4,0.005,0.005
Vmn1r238,,
Tnrc6c,0.232,0.232
Rps12-ps16,0.716,0.716
Prima1,,
Ap3b1,0.733,0.733
Gm12713,0.485,0.485
Xkr8,0.65,0.65
Med15,0.379,0.379
Sidt1,0.76,0.76
Shox2,0.817,0.817
Slc36a1,0.351,0.351
Vmn1r20,0.558,0.558
Gm28341,,
Efhb,0.939,0.939
Vmn2r-ps13,,
Gm44634,0.817,0.817
Stx18,0.949,0.949
Gm45688,,
Hivep2,0.461,0.461
Gm18631,0.924,0.924
Gm14890,,
Cyp4v3,0.048,0.048
Gm8251,0.85,0.85
1700020A23Rik,0.351,0.351
Gm7255,,
Atp2b1,0.083,0.083
Gm15937,0.828,0.828
Gm20915,,
Gm47632,0.116,0.116
Gm28923,,
Gm47044,,
H2afz,0.998,0.998
Gm38432,,
Gbp2b,0.982,0.982
Pcdhga1,0.68,0.68
Ptma,0.663,0.663
Gm12892,0.817,0.817
Gm27037,,
Atp2a1,0.805,0.805
Gm12917,0.792,0.792
Gm9104,0.251,0.251
Cmtm8,0.717,0.717
Pgam2,0.924,0.924
Triqk,0.817,0.817
Gm7027,0.341,0.341
Gm15010,,
Fbxo7,0.006,0.006
AL844494.2,,
Ifnz,0.233,0.233
Gm43985,,
Gm14537,0.903,0.903
Traj60,0.075,0.075
Svs6,,
Cldn34a,,
Rpl19,0.632,0.632
Ehd4,0.939,0.939
Gm5297,0.712,0.712
Gm12338,0.585,0.585
Zfp407,0.443,0.443
Gm7733,,
Ggn,0.247,0.247
Klf8,0.387,0.387
Ttc17,0.573,0.573
Nutf2,0.381,0.381
AC133103.7,0.695,0.695
Gm7153,0.924,0.924
Gm9317,,
Cluap1,0.403,0.403
Rnf145,0.038,0.038
Tpp1,0.134,0.134
Gm12190,,
Gm27245,,
4930474N05Rik,0.72,0.72
Psmd12,0.894,0.894
Cpsf1,0.686,0.686
AC122252.4,0.755,0.755
Gm44743,,
Olfr414,0.232,0.232
Nkg7,0.863,0.863
Vwf,0.405,0.405
Gm37104,,
Rpgrip1l,0.016,0.016
Gm6472,0.986,0.986
Gm14657,,
L3mbtl2,0.677,0.677
Mbd1,0.473,0.473
Pmis2,,
Dcaf8,0.584,0.584
Gm6074,,
1700017D01Rik,0.958,0.958
Gm597,,
Gm3076,0.437,0.437
Gm11255,0.924,0.924
Wdfy2,0.539,0.539
Gm5513,0.038,0.038
Gm43531,0.924,0.924
Alox12,0.601,0.601
Pbx2,0.079,0.079
Klf9,0.42,0.42
Meiob,0.924,0.924
Extl1,0.157,0.157
Gp2,,
Gm14510,,
Zfp846,0.665,0.665
Tdrd6,0.924,0.924
Gm45192,,
Gpx4,0.979,0.979
Vmn1r186,,
Gm14020,0.755,0.755
Gm15670,,
Fnd3c2,0.86,0.86
Bnip3,0.851,0.851
Mpp6,0.112,0.112
Akap8l,0.111,0.111
Nipal1,0.725,0.725
Mrgprc7-ps,,
Map2,0.246,0.246
Gm44059,,
Mgat4d,,
Nkain1,0.816,0.816
Fbxw25,,
Gm6973,,
Gm37832,,
Olfr737-ps1,,
Gm28530,0.629,0.629
Mpv17l2,0.742,0.742
Gm8224,,
Gm42642,0.924,0.924
Srp9,0.186,0.186
Gm45252,0.996,0.996
Gm19936,0.456,0.456
Cbx3-ps4,0.53,0.53
Ighv8-5,,
Slitrk5,0.924,0.924
1300017J02Rik,0.0,0.0
Gm14613,0.589,0.589
Zfp51,0.65,0.65
Gm21524,,
Zfp39,0.301,0.301
Krt28,,
Inava,0.884,0.884
Olfr498,,
Spag17,0.924,0.924
Nmnat1,0.455,0.455
Gm49561,,
Tcrg-C4,0.076,0.076
Uqcc3,0.396,0.396
Ccdc172,,
Cer1,0.634,0.634
Olfr1398-ps1,0.924,0.924
Gm19254,,
Ect2,0.625,0.625
Pradc1,0.415,0.415
Slc14a2,0.755,0.755
AC124383.1,,
Pnkd,0.005,0.005
Gm47581,,
Gm6166,0.241,0.241
Gm47506,,
Ppp1r12b,0.274,0.274
Gm38203,,
Tfpi,0.946,0.946
Gm15021,,
Skint1,,
Klra8,0.582,0.582
Hist1h2ah,0.973,0.973
Gm49720,,
Gm12638,,
Cdcp1,0.308,0.308
Ccdc113,0.86,0.86
AC122861.1,0.51,0.51
Pip5k1c,0.817,0.817
Gm6468,,
Cstb,0.966,0.966
Gm12163,0.924,0.924
Thap2,0.604,0.604
Arl10,0.894,0.894
Adamts17,0.633,0.633
Vmn1r-ps23,,
Paqr5,0.419,0.419
Spata31d1a,0.022,0.022
Ly9,0.297,0.297
1700019N19Rik,,
Sars2,0.326,0.326
Igkv13-85,0.085,0.085
Gm15808,0.755,0.755
Adora1,0.844,0.844
Twsg1,0.25,0.25
Tent4a,0.833,0.833
Vim,0.559,0.559
B230207O21Rik,,
Gm47768,,
Gm15293,,
Gm6171,,
Rbm11,0.272,0.272
Gm12161,0.861,0.861
Tcf3,0.671,0.671
Gm9775,,
Pdcd6,0.17,0.17
Gm20825,,
Chrnb3,0.532,0.532
Gm3810,,
Timm17b,0.62,0.62
C2cd4d,0.776,0.776
Trav5d-3,,
Htatsf1,0.173,0.173
Axin1,0.354,0.354
Schip1,0.519,0.519
Prpf38b,0.154,0.154
Nxnl1,0.971,0.971
Spi1,0.766,0.766
Exoc7,0.489,0.489
Acta2,0.889,0.889
Hic2,0.905,0.905
Ankhd1,0.899,0.899
Atp6v1g1,0.972,0.972
Btbd35f18,,
Smoc1,0.528,0.528
2310009A05Rik,0.15,0.15
Bub3,0.874,0.874
Slc22a21,0.664,0.664
Hook2,0.574,0.574
Rnf26,0.923,0.923
Nfatc2ip,0.208,0.208
4921524J17Rik,0.814,0.814
4921507P07Rik,0.326,0.326
Usf1,0.018,0.018
Gm47147,0.964,0.964
Gm18268,,
Gm9772,0.924,0.924
Dynll2,0.927,0.927
Gm49114,0.966,0.966
Klk8,0.995,0.995
Calhm5,0.634,0.634
Gm4134,,
Ccl6,0.011,0.011
Orai1,0.206,0.206
Zfp157,0.652,0.652
Adra2b,0.728,0.728
Clec12a,0.616,0.616
Gm18889,0.143,0.143
Gm867,0.319,0.319
Olfr443-ps1,0.924,0.924
Olfr521,,
Pthlh,,
Gm12443,0.924,0.924
Tk1,0.581,0.581
Gm5436,0.763,0.763
Vmn1r-ps107,0.432,0.432
Golga1,0.435,0.435
Hps5,0.056,0.056
Gm12873,,
Pcsk1n,0.755,0.755
Atp6v0a1,0.925,0.925
Gm4764,,
Pcbd1,,
Gm15054,0.924,0.924
Gm43110,0.637,0.637
Dcaf12l1,,
Gnai1,0.795,0.795
Gm15321,0.809,0.809
Rhoh,0.543,0.543
Gm13539,,
Gm21034,,
Gm3591,,
Gm16560,,
Gm11168,0.2,0.2
Gm20403,0.552,0.552
Gm49868,,
