gene_name,Ctrl_vs_Chd7,Chd7_vs_Ctrl
Gm18357,,
Fyn,0.001,-0.001
Gm49255,-0.338,0.338
Ighv6-7,,
Rps12-ps22,-2.344,2.344
Gbp2,0.032,-0.032
Plekhm2,0.332,-0.332
Atxn1l,0.131,-0.131
Pip4p1,0.25,-0.25
Gm4759,-0.004,0.004
Il18bp,-0.26,0.26
Rnf122,0.316,-0.316
Gm21249,,
Sp7,-1.336,1.336
Olfr1288,,
Ptprcap,-0.024,0.024
Msl1,0.138,-0.138
Gm28435,,
Gm6479,,
Gm19057,,
Gm11858,,
Sp100,-0.003,0.003
Mettl26,-0.012,0.012
Gm6855,0.953,-0.953
Sox12,0.506,-0.506
Olfr576,-0.338,0.338
IQCF2,0.145,-0.145
Gm16167,,
Psmd6,0.069,-0.069
Gm47748,,
Nin,-0.023,0.023
Atxn2,-0.264,0.264
Wdr53,0.13,-0.13
Gm5958,,
Dhx36,-0.171,0.171
Gm21940,-0.338,0.338
Cyp2b13,,
Gm15765,,
Pla2g4e,-0.734,0.734
Tubgcp3,0.126,-0.126
Scrt1,0.341,-0.341
Gm18692,1.104,-1.104
Urah,,
Gm50085,,
AC127331.5,,
Ptpmt1,0.169,-0.169
Aldh5a1,0.033,-0.033
Cdo1,-0.456,0.456
Gm49884,,
Kcnv1,-0.338,0.338
Gm9560,,
Fkbp1a-ps3,,
Gm14567,-0.247,0.247
Prss43,0.291,-0.291
Gm44525,,
Ric3,1.181,-1.181
Gm11522,,
Wdr47,0.053,-0.053
Gm27179,,
Cep350,-0.052,0.052
Olfr815,,
Gpr31b,-1.139,1.139
Rtf2,0.095,-0.095
Gm10053,-0.022,0.022
Ap1g2,-0.006,0.006
Nkd2,-0.137,0.137
Gm21310,,
Gm38697,,
Gm14752,0.582,-0.582
Gm8039,,
Nepn,-0.338,0.338
Ssh3,0.42,-0.42
Gm47994,0.627,-0.627
Nt5c3b,-0.07,0.07
Olfr292,,
Selenow,0.181,-0.181
Gm12696,-1.006,1.006
Rps13-ps4,-0.92,0.92
Cd8a,0.06,-0.06
A4galt,-0.48,0.48
Fam57a,0.057,-0.057
Dcstamp,,
Gm16378,,
Gm14998,,
Clrn1,-0.15,0.15
Ybey,0.061,-0.061
Pdpn,-0.338,0.338
Gm8232,,
Gm9249,,
Rpl31-ps1,-1.231,1.231
Vmn2r126,,
Gm20691,-3.967,3.967
Olfr971,,
Ear-ps10,,
Tmbim7,-0.017,0.017
Nme3,-0.018,0.018
Gm29120,,
Dock7,0.165,-0.165
Ralgapa2,0.054,-0.054
Olfr960,,
Gprc6a,,
Gm13146,0.192,-0.192
Ankrd16,0.209,-0.209
Alppl2,,
Olfr694,,
Olfr478,-0.765,0.765
Ctsl,0.038,-0.038
1700001L19Rik,0.643,-0.643
Arhgap25,0.031,-0.031
AC162463.2,,
Crppa,-0.08,0.08
Gm20861,,
Zfp973,-0.122,0.122
D17H6S53E,0.271,-0.271
Ccdc150,-1.781,1.781
Nemp2,-0.209,0.209
Rps3a1,0.032,-0.032
Hck,-0.348,0.348
Olfr70,,
Rps6ka3,-0.177,0.177
Dnmt3c,-0.338,0.338
Cldn12,0.376,-0.376
Atp13a4,-1.25,1.25
Olfr874,,
Hmgb1-rs17,1.237,-1.237
Vmn2r77,-0.45,0.45
Gm18012,,
Serpinb9,0.147,-0.147
Zdhhc25,,
Atp6v0c-ps2,-2.385,2.385
Slc22a14,,
Ccdc62,-0.043,0.043
Gm1982,,
Spag6,1.332,-1.332
Tepsin,-0.028,0.028
Gm4064,,
Atp2a2,0.009,-0.009
Slc15a2,-0.274,0.274
Gm5754,0.146,-0.146
1810009A15Rik,0.037,-0.037
Cd14,0.803,-0.803
Gm6461,-1.369,1.369
Ripk4,0.161,-0.161
Gm18146,0.144,-0.144
Tm6sf1,-0.022,0.022
Rax,0.711,-0.711
Dclk1,-0.892,0.892
Arf4,0.033,-0.033
Setmar,-0.348,0.348
Enpp4,0.053,-0.053
Gm21907,,
AW822073,,
Rbm8a,0.003,-0.003
Hbb-bh2,,
Psd3,0.243,-0.243
Aass,0.764,-0.764
Gm15181,-0.338,0.338
Cebpg,-0.298,0.298
Gm5446,-0.024,0.024
Fgf23,0.538,-0.538
Gm17304,-0.265,0.265
Pzp,,
Ighv6-6,-1.784,1.784
Pip4k2a,-0.119,0.119
Erbin,0.104,-0.104
AC127331.2,0.035,-0.035
Olfr613,-0.056,0.056
Gm7804,,
Osbp2,-0.471,0.471
Olfr1209,0.072,-0.072
Oxgr1,-0.338,0.338
Akap14,2.642,-2.642
Il1f8,,
Gm35843,,
Cmtm4,0.098,-0.098
Ppib,-0.027,0.027
Gm17938,0.144,-0.144
Hoxc8,1.044,-1.044
Chmp4c,-0.26,0.26
Ccdc138,-0.073,0.073
Zfp14,-0.109,0.109
Ccdc47,0.193,-0.193
Elp1,-0.237,0.237
Sema3e,-0.293,0.293
Vmn1r79,-0.62,0.62
Csgalnact1,1.961,-1.961
AC124578.2,,
Gm6069,-0.338,0.338
Mdh1b,,
Nckipsd,-0.103,0.103
Ndufb9,-0.003,0.003
Gm8812,,
Gm44551,,
Gm42474,0.145,-0.145
Gm14628,,
Pla2g12b,-0.338,0.338
Gm19267,,
Hmgxb4,-0.025,0.025
Slitrk1,-0.338,0.338
Gm13215,-0.088,0.088
Ripor3,0.326,-0.326
Gm12313,,
Gm9192,,
Ptk2,-0.136,0.136
Gm18642,-0.338,0.338
Ltbp1,-0.226,0.226
Sgk2,0.838,-0.838
Mob3c,0.1,-0.1
Gm47094,-0.338,0.338
Il7,-1.02,1.02
Gm47462,,
Elavl1,0.059,-0.059
Cetn2,0.075,-0.075
Gm48145,-0.338,0.338
Dgat1,0.052,-0.052
Gm13398,-0.338,0.338
Gm45785,-0.819,0.819
Gng2,-0.008,0.008
Sema6c,0.529,-0.529
Car10,-0.08,0.08
Ube2l6,0.067,-0.067
Stk19,0.097,-0.097
AC165327.1,,
Mrc2,-2.159,2.159
Sh2d1b1,0.875,-0.875
Rorc,-0.714,0.714
Slc34a3,,
Olfr1015,,
Gm7488,0.073,-0.073
Sh3gl2,0.38,-0.38
Obox4-ps33,,
Gm4451,,
4932414N04Rik,-0.154,0.154
Gm9855,-1.891,1.891
Gm21182,1.73,-1.73
Gm7896,0.425,-0.425
Lonrf3,-0.475,0.475
Gm20128,,
Sptbn5,-0.488,0.488
Gm15004,,
Mast2,0.149,-0.149
Vmn2r-ps122,,
Retnlb,,
Osr2,0.162,-0.162
Gm48248,-2.722,2.722
Pcdhgc3,-0.415,0.415
Tom1l1,1.041,-1.041
Best1,0.348,-0.348
Gm5764,-1.328,1.328
Olfr727,-0.057,0.057
Gm6356,,
Scaf11,-0.014,0.014
Gm45815,,
Tenm2,4.941,-4.941
Gm5255,,
Zscan4b,,
Gm5300,1.104,-1.104
Tchh,0.155,-0.155
Gm7675,,
Gm13023,,
Slc22a7,,
Olfr202,,
Arsi,-0.501,0.501
Gm29605,,
Olfr1353,,
Pum2,-0.253,0.253
Klf17,,
Camkv,-0.743,0.743
Smok3a,-0.819,0.819
Gm45013,,
Asb7,-0.171,0.171
Tgfbr3,0.169,-0.169
Caln1,-0.065,0.065
Gm43555,,
Stambp,0.059,-0.059
Spata3,,
Gm11260,,
Gm49053,,
Nr0b2,,
Gm13864,-0.471,0.471
Gm15544,-1.527,1.527
Gm15187,,
Gphn,-0.008,0.008
Foxd3,,
Zdhhc4,0.057,-0.057
Gm18482,,
Cldn18,,
Sel1l3,-0.19,0.19
Otop2,,
Yod1,0.036,-0.036
Bola1,0.167,-0.167
Gm37944,,
Olfr536,-0.094,0.094
Usp34,-0.054,0.054
Rps4x-ps,-0.586,0.586
Ecpas,-0.149,0.149
Gm6039,-2.585,2.585
Gm3726,,
Gas2l2,,
Pak3,,
Gm11107,,
Defa34,,
Rnf167,-0.002,0.002
Sirt4,0.394,-0.394
Fam57b,-1.432,1.432
Obox3,0.708,-0.708
Foxk1,-0.049,0.049
Trbv28,,
Myh7b,0.624,-0.624
Olfr883,,
Gm47740,-0.455,0.455
Gm13756,,
Pecam1,-0.005,0.005
Pcp4,,
Mab21l2,0.063,-0.063
Alg8,-0.421,0.421
Olfr540-ps1,,
4930578G10Rik,0.466,-0.466
Gm15069,-0.658,0.658
Aurkb,-0.199,0.199
Dbn1,0.132,-0.132
Gm6490,,
AW549877,-0.073,0.073
C9orf72,0.076,-0.076
Trim12c,0.063,-0.063
Sirt2,0.063,-0.063
Gm7898,,
Igkv13-87,,
Pi16,-0.056,0.056
Syce1l,0.407,-0.407
Rassf5,0.062,-0.062
Gm15188,2.04,-2.04
Gm15789,0.27,-0.27
Tmem254c,0.131,-0.131
B3gat1,,
Tmem67,-0.105,0.105
Lect2,,
Gm18508,,
Zcchc10,0.026,-0.026
Triap1,0.076,-0.076
C1qbp,-0.12,0.12
Doc2g,-0.554,0.554
Mtss1l,1.422,-1.422
Gm8582,,
Gm17851,,
Gm13586,0.501,-0.501
Gm5116,,
Col1a2,-0.244,0.244
Gm48361,1.104,-1.104
Gm14122,1.676,-1.676
Tcfl5,-0.814,0.814
D9Wsu149,,
Gm6797,,
Prrg4,0.926,-0.926
Vmn1r238,,
Tnrc6c,-0.105,0.105
Rps12-ps16,0.969,-0.969
Prima1,,
Ap3b1,0.029,-0.029
Gm12713,-0.35,0.35
Xkr8,-0.121,0.121
Med15,-0.101,0.101
Sidt1,-0.048,0.048
Shox2,-0.819,0.819
Slc36a1,0.119,-0.119
Vmn1r20,0.147,-0.147
Gm28341,,
Efhb,0.032,-0.032
Vmn2r-ps13,,
Gm44634,-0.819,0.819
Stx18,-0.008,0.008
Gm45688,,
Hivep2,-0.088,0.088
Gm18631,-0.338,0.338
Gm14890,,
Cyp4v3,0.44,-0.44
Gm8251,-0.041,0.041
1700020A23Rik,2.925,-2.925
Gm7255,,
Atp2b1,0.246,-0.246
Gm15937,0.093,-0.093
Gm20915,,
Gm47632,-0.344,0.344
Gm28923,,
Gm47044,,
H2afz,0.0,-0.0
Gm38432,,
Gbp2b,0.028,-0.028
Pcdhga1,0.755,-0.755
Ptma,-0.079,0.079
Gm12892,-0.819,0.819
Gm27037,,
Atp2a1,-0.111,0.111
Gm12917,0.136,-0.136
Gm9104,-2.418,2.418
Cmtm8,-0.179,0.179
Pgam2,-0.338,0.338
Triqk,-0.819,0.819
Gm7027,-0.444,0.444
Gm15010,,
Fbxo7,-0.282,0.282
AL844494.2,,
Ifnz,-1.49,1.49
Gm43985,,
Gm14537,0.106,-0.106
Traj60,-0.748,0.748
Svs6,,
Cldn34a,,
Rpl19,0.036,-0.036
Ehd4,-0.014,0.014
Gm5297,-0.466,0.466
Gm12338,0.085,-0.085
Zfp407,-0.085,0.085
Gm7733,,
Ggn,-1.4,1.4
Klf8,0.366,-0.366
Ttc17,0.074,-0.074
Nutf2,-0.113,0.113
AC133103.7,-1.382,1.382
Gm7153,-0.338,0.338
Gm9317,,
Cluap1,-0.093,0.093
Rnf145,-0.181,0.181
Tpp1,-0.247,0.247
Gm12190,,
Gm27245,,
4930474N05Rik,-0.103,0.103
Psmd12,-0.013,0.013
Cpsf1,0.053,-0.053
AC122252.4,1.104,-1.104
Gm44743,,
Olfr414,-0.393,0.393
Nkg7,0.013,-0.013
Vwf,-0.209,0.209
Gm37104,,
Rpgrip1l,0.741,-0.741
Gm6472,-0.002,0.002
Gm14657,,
L3mbtl2,-0.043,0.043
Mbd1,0.074,-0.074
Pmis2,,
Dcaf8,0.051,-0.051
Gm6074,,
1700017D01Rik,0.03,-0.03
Gm597,,
Gm3076,-1.698,1.698
Gm11255,-0.338,0.338
Wdfy2,-0.058,0.058
Gm5513,-3.399,3.399
Gm43531,-0.338,0.338
Alox12,-0.114,0.114
Pbx2,0.218,-0.218
Klf9,0.237,-0.237
Meiob,-0.338,0.338
Extl1,-0.443,0.443
Gp2,,
Gm14510,,
Zfp846,-0.077,0.077
Tdrd6,-0.338,0.338
Gm45192,,
Gpx4,0.003,-0.003
Vmn1r186,,
Gm14020,1.104,-1.104
Gm15670,,
Fnd3c2,0.624,-0.624
Bnip3,0.124,-0.124
Mpp6,-0.27,0.27
Akap8l,0.222,-0.222
Nipal1,-0.103,0.103
Mrgprc7-ps,,
Map2,-0.993,0.993
Gm44059,,
Mgat4d,,
Nkain1,-0.649,0.649
Fbxw25,,
Gm6973,,
Gm37832,,
Olfr737-ps1,,
Gm28530,-0.185,0.185
Mpv17l2,0.052,-0.052
Gm8224,,
Gm42642,-0.338,0.338
Srp9,0.148,-0.148
Gm45252,-0.013,0.013
Gm19936,2.562,-2.562
Cbx3-ps4,1.146,-1.146
Ighv8-5,,
Slitrk5,-0.338,0.338
1300017J02Rik,-4.789,4.789
Gm14613,-0.869,0.869
Zfp51,0.089,-0.089
Gm21524,,
Zfp39,-0.13,0.13
Krt28,,
Inava,-0.287,0.287
Olfr498,,
Spag17,-0.338,0.338
Nmnat1,0.106,-0.106
Gm49561,,
Tcrg-C4,-0.717,0.717
Uqcc3,0.106,-0.106
Ccdc172,,
Cer1,0.49,-0.49
Olfr1398-ps1,-0.338,0.338
Gm19254,,
Ect2,-0.083,0.083
Pradc1,-0.124,0.124
Slc14a2,1.104,-1.104
AC124383.1,,
Pnkd,0.388,-0.388
Gm47581,,
Gm6166,-3.146,3.146
Gm47506,,
Ppp1r12b,-0.107,0.107
Gm38203,,
Tfpi,-0.034,0.034
Gm15021,,
Skint1,,
Klra8,-0.327,0.327
Hist1h2ah,0.018,-0.018
Gm49720,,
Gm12638,,
Cdcp1,-0.587,0.587
Ccdc113,0.626,-0.626
AC122861.1,0.981,-0.981
Pip5k1c,-0.023,0.023
Gm6468,,
Cstb,0.006,-0.006
Gm12163,-0.338,0.338
Thap2,-0.073,0.073
Arl10,0.043,-0.043
Adamts17,-0.254,0.254
Vmn1r-ps23,,
Paqr5,0.377,-0.377
Spata31d1a,-0.573,0.573
Ly9,0.1,-0.1
1700019N19Rik,,
Sars2,-0.147,0.147
Igkv13-85,-3.722,3.722
Gm15808,1.104,-1.104
Adora1,0.341,-0.341
Twsg1,-0.175,0.175
Tent4a,-0.023,0.023
Vim,0.083,-0.083
B230207O21Rik,,
Gm47768,,
Gm15293,,
Gm6171,,
Rbm11,0.317,-0.317
Gm12161,-0.397,0.397
Tcf3,-0.059,0.059
Gm9775,,
Pdcd6,0.113,-0.113
Gm20825,,
Chrnb3,-0.548,0.548
Gm3810,,
Timm17b,-0.088,0.088
C2cd4d,-0.457,0.457
Trav5d-3,,
Htatsf1,0.139,-0.139
Axin1,0.095,-0.095
Schip1,-0.594,0.594
Prpf38b,0.139,-0.139
Nxnl1,0.024,-0.024
Spi1,-0.318,0.318
Exoc7,0.062,-0.062
