pathway,comparison,NES,padj,pval,leadingEdge_signal,mlog10padj,mlog10pval,old_names
2017_IMMUNITY_WOLSKI---late_Resolver_vs_Chronic_up,P0_A,-1.3168842370863891,0.1044253816852993,0.031098723778788324,19,0.014751183195706485,0.014751183195706485,0_A
2017_IMMUNITY_WOLSKI---resolver_early_vs_late_dn,P0_A,-1.5995152345987331,0.04154938700521723,0.019943019943019943,9,0.13684865958358694,0.25887871733139034,0_A
2017_IMMUNITY_WOLSKI---resolver_early_vs_late_up,P0_A,-1.6599171414156255,0.011291512915129151,0.0025092250922509225,9,0.046710724944362944,0.0658013112230957,0_A
2017_IMMUNITY_WOLSKI_curated_human---AM01,P0_A,-1.8289519175198996,0.003937133894561635,0.0006361323155216285,11,0.03523115390542272,0.05243028438452518,0_A
2017_IMMUNITY_WOLSKI_curated_human---AM02,P0_A,-1.9041577929887519,0.001457000710732054,0.00019223375624759706,14,0.16206611514201458,0.29772871714208765,0_A
2017_IMMUNITY_WOLSKI_curated_human---AM03,P0_A,-1.5219965363928056,0.09568138688003283,0.028004308355131558,15,0.06723201711440845,0.1229340766867141,0_A
2017_IMMUNITY_WOLSKI_curated_human---AM04,P0_A,-1.4174166912684778,0.2315073108281113,0.09599083619702176,19,0.02572035282651312,0.02572035282651312,0_A
2017_IMMUNITY_WOLSKI_curated_human---AM05,P0_A,-2.2864677117722194,0.0008011881033337243,0.00011039964672113046,17,0.13250749480661975,0.188988850759068,0_A
2017_IMMUNITY_WOLSKI_curated_human---AM06,P0_A,-1.9930510892646598,0.0012801298863494444,0.00018733608092918696,20,0.177657697117826,0.2463735094872859,0_A
2017_IMMUNITY_WOLSKI_curated_human---AM07,P0_A,-1.7120743062379908,0.015604186489058041,0.003044719314938154,17,0.0663316625163566,0.11152189799024932,0_A
2017_IMMUNITY_WOLSKI_curated_human---AM08,P0_A,-1.3619263258161491,0.03751042703764496,0.006404219250329629,43,0.07513296375293048,0.12209385762633385,0_A
2017_IMMUNITY_WOLSKI_curated_human---AM09,P0_A,-2.0596738042866227,0.006534558784465812,0.000693721817551162,17,0.06099081597049735,0.07171468136227044,0_A
2017_IMMUNITY_WOLSKI_curated_human---AM10,P0_A,-3.264453602460499,0.0008011881033337243,0.00010658708164570452,38,1.8923661216001704,3.204119982655925,0_A
2017_IMMUNITY_WOLSKI_curated_human---AM11,P0_A,-1.5079510638863427,0.005154072188437907,0.0010683760683760683,5,0.00035397710159431136,0.00035397710159431136,0_A
2017_IMMUNITY_WOLSKI_curated_human---AM12,P0_A,-1.7464312402115147,0.014748201438848918,0.0013364517206815904,20,0.028794546386391333,0.03314224106192147,0_A
2017_IMMUNITY_WOLSKI_curated_human---AM13,P0_A,-1.599647984191691,0.0637326338288157,0.01399009035266686,32,0.08717206059793439,0.12773982477112633,0_A
2017_IMMUNITY_WOLSKI_curated_human---CM01,P0_A,-2.1523853319133823,0.0008011881033337243,0.00010749220681500592,17,0.2377255117151945,0.5274587328183423,0_A
2017_IMMUNITY_WOLSKI_curated_human---CM02,P0_A,-2.2832203863938703,0.0008011881033337243,0.00010614584439019212,20,0.5613218781232878,1.048994792399575,0_A
2017_IMMUNITY_WOLSKI_curated_human---CM03,P0_A,-1.335048410908535,0.1444416921256158,0.03875264910687254,5,0.005510759208522108,0.005510759208522108,0_A
2017_IMMUNITY_WOLSKI_curated_human---CM04,P0_A,-1.2950871184885275,0.15782295583455486,0.06543878656554714,12,0.010136411361319923,0.010136411361319923,0_A
2017_IMMUNITY_WOLSKI_curated_human---CM05,P0_A,-2.5479388331428923,0.0008011881033337243,0.00010078613182826043,23,1.4233817570706495,2.08192310435106,0_A
2017_IMMUNITY_WOLSKI_curated_human---CM06,P0_A,-1.6647964458641404,0.03278765641170383,0.009596387242449902,14,0.017872036345426178,0.017872036345426178,0_A
2017_IMMUNITY_WOLSKI_curated_human---all.down_early,P0_A,-1.3644405808861997,0.16312210648148148,0.08306709265175719,21,0.02279940600639092,0.06738153865913142,0_A
2017_IMMUNITY_WOLSKI_curated_human---all.down_late,P0_A,-1.9210401526612764,0.004826482083156754,0.0005688282138794084,13,0.0663316625163566,0.11878264799021405,0_A
2017_IMMUNITY_WOLSKI_curated_human---all.up_early,P0_A,-1.6156917002701718,0.02744769874476988,0.005355648535564854,10,0.08764131616697259,0.166705528818414,0_A
2017_IMMUNITY_WOLSKI_curated_human---all.up_late,P0_A,-1.6145319024757765,0.08386065835730265,0.028635346756152126,11,0.06723201711440845,0.15945026618537197,0_A
2017_IMMUNITY_WOLSKI_curated_human---chronic.up_early,P0_A,-1.5444723783073682,0.17218529070380922,0.05425182942215493,14,0.02886001918920832,0.02886001918920832,0_A
2017_IMMUNITY_WOLSKI_curated_human---chronic.up_late,P0_A,-1.670883989651106,0.00935930604169837,0.002282757571145944,10,0.020130828326543795,0.05313108842946917,0_A
2017_IMMUNITY_WOLSKI_curated_human---chronic:escape.up_early,P0_A,-1.6233716412319368,0.07447774750227068,0.01933058886701271,13,0.0950671589503168,0.1465725541222693,0_A
2017_IMMUNITY_WOLSKI_curated_human---chronic:escape.up_late,P0_A,-1.5386189718179857,0.0712878904446838,0.017387290352361903,13,0.016283819983446215,0.032321184807407,0_A
2017_IMMUNITY_WOLSKI_curated_human---chronic:resolver.up_early,P0_A,-1.7759581863745135,0.01623826686205394,0.0027723870252287213,11,0.15006453424561533,0.2773660774661877,0_A
2017_IMMUNITY_WOLSKI_curated_human---chronic:resolver.up_late,P0_A,-1.4650208433374554,0.15905172413793106,0.03879310344827586,32,0.034673569182485216,0.034673569182485216,0_A
2017_IMMUNITY_WOLSKI_curated_human---controller_DEG_pepstim_down,P0_A,-1.4283462798422315,0.03278765641170383,0.009224515322076295,12,0.03085128366462082,0.05005290012560703,0_A
2017_IMMUNITY_WOLSKI_curated_human---controller_DEG_pepstim_up,P0_A,-3.1085308648083187,0.0008011881033337243,0.00011279043537108052,45,1.8312609391983408,2.745074791582057,0_A
2017_IMMUNITY_WOLSKI_curated_human---controller_vs_progressor_pepstim_up,P0_A,-2.1486516980409798,0.0009024873431653092,0.00015408320493066254,10,0.19333544768956326,0.2876053645314112,0_A
2017_IMMUNITY_WOLSKI_curated_human---escape.up_early,P0_A,-1.796430415729669,0.016307590321511432,0.002784222737819025,8,0.046343691880191135,0.06806294157342742,0_A
2017_IMMUNITY_WOLSKI_curated_human---escape.up_late,P0_A,-1.1321691111897385,0.2467181617804825,0.13840287124270972,12,0.016301398441444622,0.021095711205788983,0_A
2017_IMMUNITY_WOLSKI_curated_human---escape:resolver.up_early,P0_A,-1.6693350975325052,0.020725912445657663,0.004549590536851683,16,0.028794546386391333,0.028794546386391333,0_A
2017_IMMUNITY_WOLSKI_curated_human---escape:resolver.up_late,P0_A,-1.6759506442016592,0.02073324905183312,0.003539823008849557,23,0.04966165420830377,0.08266191431122913,0_A
2017_IMMUNITY_WOLSKI_curated_human---progressor_DEG_pepstim_down,P0_A,-1.157938114231406,0.4666125956668421,0.2617582853740821,51,0.00035397710159431136,0.004287418644956811,0_A
2017_IMMUNITY_WOLSKI_curated_human---progressor_DEG_pepstim_up,P0_A,-1.394016398958418,0.17957990213629313,0.07687810581701257,12,0.17139994849141044,0.2524811176580429,0_A
2017_IMMUNITY_WOLSKI_curated_human---progressor_vs_controller_pepstim_up,P0_A,-1.3957701038712729,0.06718595672084042,0.02294154619736015,13,0.0663316625163566,0.13098261956938975,0_A
2017_IMMUNITY_WOLSKI_curated_human---resolver.up_early,P0_A,-1.3247844978811925,0.10401500110302228,0.04059121994264285,11,0.016283819983446215,0.027007685375219272,0_A
2017_IMMUNITY_WOLSKI_curated_human---resolver.up_late,P0_A,-1.616619164490844,0.014220159009657968,0.0020809988794621413,25,0.007650371626865307,0.007650371626865307,0_A
2017_NAT_Akondy---NAV,P0_A,-1.8224972874340704,0.0007844504488799791,0.00022441651705565533,13,0.012528879755464588,0.03718311889274113,0_A
2017_NAT_Akondy---YFV_D14,P0_A,-3.223839253938241,0.0007844504488799791,0.00010083694665725522,35,1.9265710828414664,2.57978359661681,0_A
2017_NAT_Akondy---YFV_MEM,P0_A,-2.030211026959264,0.002432991362880661,0.0003646973012399708,16,0.006382532109198803,0.04417109299859856,0_A
2018_CELL_Schmiedel_CD4---Memory_TREG_cells,P0_A,-2.5661426400570373,0.0009156993125211314,0.00010746910263299302,18,0.5361874847030925,1.2201524286886107,0_A
2018_CELL_Schmiedel_CD4---Naive_CD4+_T_cells,P0_A,-1.7031197423545807,0.006965423532050183,0.0017941242431038353,10,0.004231621853245365,0.03608585234565505,0_A
2018_CELL_Schmiedel_CD4---Naive_TREG_cells,P0_A,-1.3228509761235503,0.07636223393509761,0.03933812051201998,15,0.010863787736115628,0.04835802374884796,0_A
2018_CELL_Schmiedel_CD4---TFH_cells,P0_A,-1.2087202132301125,0.03452667970704635,0.013601419278533413,51,-0.0,0.007705641101887856,0_A
2018_CELL_Schmiedel_CD4---TH1-17_cells,P0_A,-1.5269460113559028,0.1673827517174429,0.052521635332736495,17,-0.0,0.01900909241079168,0_A
2018_CELL_Schmiedel_CD4---TH17_cells,P0_A,-1.046980078460325,0.5859027829921432,0.43348856043733547,51,4.342727686267685e-05,0.010416505200917343,0_A
2018_CELL_Schmiedel_CD4---TH1_cells,P0_A,-1.8369288967063364,0.0010255135336710278,0.00021753317380900588,22,0.04500679922371691,0.13215697494261708,0_A
2018_CELL_Schmiedel_CD4---TH2_cells,P0_A,-1.2445533125503776,0.17900862933975514,0.08950431466987759,35,0.010863787736115628,0.03576399379862333,0_A
2018_CELL_Schmiedel_allCellTypes---Classical_monocytes,P0_A,-1.8815185900651532,0.0006743915149285758,0.00016431153466973383,8,0.05309438271661665,0.14350562675729098,0_A
2018_CELL_Schmiedel_allCellTypes---NK_cells,P0_A,-2.047542638792252,0.0006743915149285758,0.00010525207872855489,13,0.01588246625736807,0.05641953827364591,0_A
2018_CELL_Schmiedel_allCellTypes---Naive_B_cells,P0_A,-1.6463586042006546,0.003728181664124725,0.0007468259895444362,7,-0.0,0.0011530152843406702,0_A
2018_CELL_Schmiedel_allCellTypes---Naive_CD4+_T_cells,P0_A,-1.5409014105011771,0.08979044834307992,0.03673245614035088,15,-0.0,0.04785384772159087,0_A
2018_CELL_Schmiedel_allCellTypes---Naive_CD8+_T_cells,P0_A,-1.817982536674696,0.013723859315589351,0.0016634980988593155,12,0.04698430883589702,0.08119840936699868,0_A
2018_CELL_Schmiedel_allCellTypes---Non-classical_monocytes,P0_A,-1.4792646267971477,0.03278063464191647,0.017383669885864792,10,0.05461897836024514,0.061249557259258215,0_A
2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_dn,P0_A,-2.4365631194284867,0.0003322840153899965,0.00014956625785222854,5,0.18466872383457508,0.23297340340913014,0_A
2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_up,P0_A,-2.8900736267974905,0.00030313666677303036,0.00010357327809425168,20,1.140104585154463,1.140104585154463,0_A
2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_dn,P0_A,-2.225732248781373,0.0003052208835341365,0.000106258633513973,7,-0.0,-0.0,0_A
2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_up,P0_A,-2.9456327112502447,0.00030313666677303036,0.00010263779123473264,28,1.402377395406326,1.4258584912558487,0_A
2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_dn,P0_A,-2.5150517539317168,0.00030313666677303036,0.0001219958521410272,30,1.1537272174223439,1.2563895593194918,0_A
2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_up,P0_A,-1.6953926399555663,0.00030313666677303036,0.00011555350127108853,10,0.17033893016659,0.2730012720637377,0_A
2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_dn,P0_A,-2.6859959976482357,0.00030313666677303036,0.00018747656542932132,21,1.0008330000222492,1.13345856529684,0_A
2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_up,P0_A,-1.6816857848186428,0.0003913088250437648,0.00014488554042306581,7,0.060894350144294875,0.06639413486008175,0_A
2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_dn,P0_A,-3.216632555380686,0.00030313666677303036,0.00010849517196484756,29,1.4877387134618356,1.5112198093113585,0_A
2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_up,P0_A,-2.0957357070831955,0.00030313666677303036,0.00011241007194244605,10,0.12267717370264593,0.17098185327720092,0_A
2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_dn,P0_A,-3.0928778533976744,0.00030313666677303036,0.000106928999144568,30,2.598617744916945,3.2097830148485156,0_A
2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_up,P0_A,-1.9745677366485992,0.00030313666677303036,0.00011514104778353483,11,0.1395957344492603,0.2142293527461644,0_A
2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_dn,P0_A,-2.7869710516897945,0.00030313666677303036,0.00011270145384875464,22,0.4227960133206713,0.4462771091701942,0_A
2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_up,P0_A,-2.082849418987185,0.00030313666677303036,0.00012027904738994468,9,0.001323582546752046,0.001323582546752046,0_A
2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_dn,P0_A,-2.784273288820662,0.00030313666677303036,0.0001905850962454736,8,0.3397777593741493,0.3632588552236722,0_A
2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_up,P0_A,-1.9603632734526697,0.00030313666677303036,0.00011380448389666553,11,0.002451507151442594,0.002451507151442594,0_A
2018_SCI_IMMUNOL_Buggert---CD69pos_CD69neg_dn,P0_A,-1.0003798138809787,0.18121893235357686,0.10242125562459824,8,0.0018632612716550606,0.012020886468324462,0_A
2018_SCI_IMMUNOL_Buggert---CD69pos_CD69neg_up,P0_A,-1.0003798138809787,0.18121893235357686,0.10242125562459824,8,0.0018632612716550606,0.012020886468324462,0_A
2018_SCI_IMMUNOL_Patil---CD4_CTL_EFF,P0_A,-2.370869146156387,0.0007844504488799791,0.00010949304719150334,16,0.25838795486387595,0.5645876986404303,0_A
2018_SCI_IMMUNOL_Patil---CD4_TCM,P0_A,-2.0367995398725616,0.0007844504488799791,0.00011334013374135779,19,0.13671794211342084,0.2249656728401228,0_A
2019_EJI_Remmerswaal---DP,P0_A,-1.5864088659536764,0.006844106463878327,0.0007686395080707147,11,0.02113084949065957,0.06974221291971107,0_A
2019_EJI_Remmerswaal---EE,P0_A,-1.7779494057498233,0.0035587188612099647,0.00039541320680110717,14,0.19089810863131204,0.2846976518810469,0_A
2019_EJI_Remmerswaal---MP,P0_A,-2.2460725091348266,0.0007844504488799791,0.00016347882949158083,17,0.4684333378353325,0.7025165438687004,0_A
2019_EJI_Remmerswaal---TE,P0_A,-1.9515511029327628,0.0007844504488799791,0.00017649135192375574,11,0.18108894921119095,0.26444072992926265,0_A
2019_JCI_Tian---DENV-TEMRA_vs_DENV-TEM_up,P0_A,-1.4904227220679294,0.1347573425475106,0.032958326731104416,6,0.017035214292496045,0.041858798017528176,0_A
2019_JCI_Tian---DENV_TEM,P0_A,-1.7024151118597608,0.0021041557075223566,0.0002395783421178725,15,0.0971172078378372,0.21988328748829086,0_A
2019_JCI_Tian---DENV_TEMRA,P0_A,-1.6882692044137069,0.0007844504488799791,0.00011950286806883365,15,0.0971172078378372,0.1910217107061684,0_A
2019_JCI_Tian---unstimuTEMRA_vs_unstimuTEM_up,P0_A,-1.781457076062574,0.0037780401416765055,0.0014692378328741965,7,0.06177578581439251,0.08170522956424835,0_A
2019_JEM_Beura---CD4_FRT_TRM_dn,P0_A,-1.924383757045136,0.0019066327709729605,0.00017001020061203673,14,-0.0,0.03138386789686015,0_A
2019_JEM_Beura---CD4_FRT_TRM_up,P0_A,-2.03328293597929,0.0010418968837811384,0.0002506265664160401,4,0.014344482980736638,0.020975061879749717,0_A
2019_JEM_Beura---CD4_IEL_TRM_dn,P0_A,-1.0801356699307414,0.2957184601702452,0.20162622284334902,7,-0.0,0.0378303715675352,0_A
2019_JEM_Beura---CD4_IEL_TRM_up,P0_A,-1.3688446248111632,0.05001894657067072,0.02197802197802198,4,-0.0,-0.0,0_A
2019_JEM_Beura---CD4_LP_TRM_dn,P0_A,-0.9796411178736071,0.023588277340957826,0.008220157255182273,4,-0.0,-0.0,0_A
2019_JEM_Beura---CD4_LP_TRM_up,P0_A,-2.1242154615904147,0.0006743915149285758,0.00014830194275545008,12,0.18487584730793652,0.3708828111214538,0_A
2019_JEM_Beura---CD4_NLT-SLO_TRM_dn,P0_A,-2.5121952266075724,0.0007703530784943098,0.0001893222264293828,21,0.1356105470459291,0.2873103125151363,0_A
2019_JEM_Beura---CD4_NLT-SLO_TRM_up,P0_A,-2.2295959912589374,0.0006743915149285758,0.00012090436464756376,17,0.010863787736115628,0.04487432913400242,0_A
2019_JEM_Beura---CD4_NLT_TRM_dn,P0_A,-2.065951345920011,0.0007703530784943098,0.00011664528169835532,13,0.057424968017940226,0.0974400198699936,0_A
2019_JEM_Beura---CD4_NLT_TRM_up,P0_A,-2.3347099763830093,0.0006743915149285758,0.00010576414595452142,16,0.010863787736115628,0.07742124729718207,0_A
2019_JEM_Beura---CD4_SP_TRM_dn,P0_A,-2.129734334672449,0.004480955937266617,0.00028272547356516815,11,0.12142997059046788,0.14163335667875482,0_A
2019_JEM_Beura---CD4_SP_TRM_up,P0_A,-1.5111003959577811,0.004594148725123729,0.00146177459435755,5,0.0070526709178086655,0.013683249816821764,0_A
2019_NAT_COMMU_BIOL_Schoettler---CD4_TCM-Lung_vs_LDLN_dn,P0_A,-1.885724946416614,0.0006743915149285758,0.00017571604287471446,8,0.010863787736115628,0.05941421692742437,0_A
2019_NAT_COMMU_BIOL_Schoettler---CD4_TCM-Lung_vs_LDLN_up,P0_A,-1.2850432012985518,0.2784223453123555,0.18025467173805196,11,-0.0,0.034361720598789364,0_A
2019_NAT_COMMU_BIOL_Schoettler---CD4_TEM-Lung_vs_LDLN_dn,P0_A,-2.0915447777208573,0.0006743915149285758,0.0001719986240110079,8,0.22411092334527333,0.2862880188500866,0_A
2019_NAT_COMMU_BIOL_Schoettler---CD4_TEM-Lung_vs_LDLN_up,P0_A,-1.8785479445631477,0.0032617290458618873,0.0007907221929362152,19,0.01479626023148959,0.08615216876715782,0_A
2019_NAT_COMMU_BIOL_Schoettler---CD4_TRM-Lung_vs_LDLN_dn,P0_A,-2.134572238670887,0.0006743915149285758,0.00015943877551020407,11,0.1926542828608616,0.5118833609788743,0_A
2019_NAT_COMMU_BIOL_Schoettler---CD4_TRM-Lung_vs_LDLN_up,P0_A,-1.6615605731338317,0.002522357257509745,0.0009172208209126348,11,-0.0,0.002076974221176975,0_A
2019_NAT_COMMU_BIOL_Schoettler---CD8_TEM-Lung_vs_LDLN_dn,P0_A,-1.995885239376848,0.0007491827097711588,0.00017966223499820338,10,0.18004825877697064,0.24867116827638355,0_A
2019_NAT_COMMU_BIOL_Schoettler---CD8_TEM-Lung_vs_LDLN_up,P0_A,-1.4668028339580812,0.08079563858664661,0.03305276123999179,19,0.010863787736115628,0.06359107457380997,0_A
2019_NAT_COMMU_BIOL_Schoettler---CD8_TRM-Lung_vs_LDLN_dn,P0_A,-1.7996644688560322,0.0007491827097711588,0.00016553550736633007,8,0.01588246625736807,0.05296103044060213,0_A
2019_NAT_COMMU_BIOL_Schoettler---CD8_TRM-Lung_vs_LDLN_up,P0_A,-1.4415268780185069,0.002029395486132464,0.0007063809748057452,19,0.015837867266329388,0.0950191133139542,0_A
2019_NAT_COMMU_Szabo---CD4-CD8,P0_A,-1.689315223794245,0.016324597410798863,0.003286384976525821,16,0.0727061462704879,0.20205400178384286,0_A
2019_NAT_COMMU_Szabo---CD4-NV-CM,P0_A,-2.0446247206703507,0.0016067776803973125,0.0006533812479581836,20,0.058748481950208785,0.14203938661385734,0_A
2019_NAT_COMMU_Szabo---CD8-cytokine,P0_A,-2.2827626346023138,0.0006743915149285758,0.00013440860215053763,25,0.2529590043159754,0.4192904260825003,0_A
2019_NAT_COMMU_Szabo---CD8-cytotoxic,P0_A,-2.0975076143094684,0.0006743915149285758,0.00017905102954341988,20,0.04500679922371691,0.13572591748557652,0_A
2019_NAT_COMMU_Szabo---IFN-Response,P0_A,-2.1556857994464265,0.0010255135336710278,0.0001467782181124321,15,0.1194786020223326,0.2488264575356876,0_A
2019_NAT_COMMU_Szabo---Proliferation,P0_A,-2.1778430133023527,0.003078358208955224,0.00029770765108663293,20,0.1089642883919302,0.22481840411287224,0_A
2019_NAT_COMMU_Szabo---Treg,P0_A,-1.6314472816685237,0.003897392290249433,0.001240079365079365,23,0.18942898061498015,0.2455449225939116,0_A
2019_NAT_IMMUNOL_Nakayama---Cir_CD44hi_vs_CD44lo_dn,P0_A,-1.8426199519370008,0.0007703530784943098,0.00017149717029669008,16,-0.0,0.0010616759375285942,0_A
2019_NAT_IMMUNOL_Nakayama---Cir_CD44hi_vs_CD44lo_up,P0_A,-2.9548960540384632,0.0006743915149285758,0.00010004001600640257,20,1.4147201888369207,2.360498744468001,0_A
2019_NAT_IMMUNOL_Nakayama---Cir_CD44lo_Foxp3Inhibited,P0_A,-2.330394363503101,0.0006743915149285758,0.0001044932079414838,11,0.27339666009184904,0.3854115401949767,0_A
2019_NAT_IMMUNOL_Nakayama---Cir_CD44lo_Foxp3Promoted,P0_A,-1.2102882892623772,0.07872172836727805,0.04174637110385957,10,-0.0,0.014785509753914603,0_A
2019_NAT_IMMUNOL_Nakayama---LungTRM,P0_A,-2.3665425315511524,0.0006743915149285758,0.00010306090899721736,16,0.010863787736115628,0.057516181567422414,0_A
2019_NAT_IMMUNOL_Nakayama---LungTRM_Foxp3Inhibited,P0_A,-1.5344972140496302,0.0009237228831350594,0.0003498950314905528,3,-0.0,-0.0,0_A
2019_NAT_IMMUNOL_Nakayama---LungTRM_Foxp3Promoted,P0_A,-1.9145563726886896,0.0006743915149285758,0.00010103051121438674,12,0.4191246359245704,0.6058669366542969,0_A
2019_NAT_IMMUNOL_Nakayama---LungTRreg,P0_A,-2.358062071729766,0.0006743915149285758,0.00010545186122535064,15,0.19136122581659606,0.3989898365211141,0_A
2019_NAT_IMMUNOL_Nakayama---LungTRreg_Foxp3Inhibited,P0_A,-1.7069096206485233,0.0007703530784943098,0.0002310536044362292,10,0.14960880722549366,0.2496912006502001,0_A
2019_NAT_IMMUNOL_Nakayama---LungTRreg_Foxp3Promoted,P0_A,-1.1421479349271495,0.2274881516587678,0.15165876777251186,6,-0.0,0.0015584746936173391,0_A
2019_NAT_IMMUNOL_Nakayama---LungTRreg_vs_LungTRM_dn,P0_A,-1.6263982670435155,0.004480955937266617,0.0004822182037371911,16,-0.0,0.03882814067920391,0_A
